# Created by Octave 8.4.0, Sat Feb 22 14:46:56 2025 CET <wbruzda@wbruzda>
# name: P
# type: matrix
# rows: 1
# columns: 19
 2 5 0 0 0 2 1.0532647183862729 1.0437364541555831 1.9681065541940344 1.9677209184791344 1.9718064555165775 -0.0051744640376088068 -0.015165922477353985 -1.9798806622758387 -2.9466163505924827 2.0292074998462333 -3.9920087541407914 -0.93651905663706525 0


# name: RESTORE_P
# type: matrix
# rows: 1
# columns: 19
 2 5 0 0 0 2 1.0447831862522547 1.0416412240443038 1.9729499340594634 1.9586641848841833 1.9670001506555563 -0.0011120219873304831 -0.0093571749308434538 -1.9728001442195906 -2.9521014863298194 2.0263374076238776 -3.9785358265808766 -0.9388165578090526 0


# name: X
# type: complex matrix
# rows: 36
# columns: 36
 (0.49365173137364643,-0.86965968522853876) (-0.5368034304133934,0.84370734090466049) (0.51813390034684592,-0.85529951555660588) (-0.99997324574191637,0.0073149026225197145) (-0.46227027537615722,-0.88673907802896101) (-0.99977805848996737,-0.02106736248398015) (0.99997324574191637,-0.0073149026225192149) (-0.99907370578955035,-0.04303173712430014) (-0.51813390034684526,0.85529951555660622) (0.99997324574191637,-0.0073149026225192149) (-0.99907370578955035,-0.04303173712430014) (-0.51813390034684526,0.85529951555660622) (0.4936517313736461,-0.86965968522853909) (-0.53680343041339296,0.84370734090466071) (-0.99977805848996737,-0.021067362483980317) (0.50632151436826989,0.86234478260601888) (0.99907370578955035,0.043031737124300293) (0.5181339003468457,-0.85529951555660599) (0.49365173137364643,-0.86965968522853876) (-0.5368034304133934,0.84370734090466049) (0.51813390034684592,-0.85529951555660588) (-0.99997324574191637,0.0073149026225197145) (-0.46227027537615722,-0.88673907802896101) (-0.99977805848996737,-0.02106736248398015) (-0.4936517313736476,0.8696596852285382) (0.53680343041339285,-0.84370734090466093) (-0.48164415814312156,-0.87636687804058622) (-0.4936517313736476,0.8696596852285382) (0.53680343041339285,-0.84370734090466093) (-0.48164415814312156,-0.87636687804058622) (0.50632151436826989,0.86234478260601888) (0.99907370578955035,0.043031737124300293) (0.5181339003468457,-0.85529951555660599) (0.4936517313736461,-0.86965968522853909) (-0.53680343041339296,0.84370734090466071) (-0.99977805848996737,-0.021067362483980317)
 (-0.5361415493751206,0.84412809397249966) (0.42724283892478215,0.90413691252348105) (-0.45083050894052995,-0.89260957434279331) (-0.46296559874076249,-0.88637624876945298) (0.56938411528217203,-0.82207160835558502) (0.9984378215123384,0.055874113627829958) (-0.53614154937512093,0.84412809397249933) (-0.99662695420695424,-0.082065304167896702) (0.99843782151233851,0.055874113627829833) (-0.53614154937512093,0.84412809397249933) (-0.99662695420695424,-0.082065304167896702) (0.99843782151233851,0.055874113627829833) (0.99910714811588275,0.042248154796955512) (-0.99662695420695435,-0.082065304167895814) (0.99843782151233851,0.055874113627829514) (-0.46296559874076099,-0.88637624876945376) (0.56938411528217237,-0.82207160835558468) (-0.45083050894053023,-0.89260957434279309) (0.53614154937512026,-0.84412809397249977) (-0.42724283892478243,-0.90413691252348083) (0.45083050894053023,0.89260957434279309) (0.46296559874076282,0.88637624876945287) (-0.56938411528217214,0.8220716083555849) (-0.99843782151233851,-0.055874113627829514) (0.46296559874076176,0.88637624876945342) (-0.56938411528217259,0.82207160835558446) (0.54760731257180806,-0.8367354607149633) (0.46296559874076176,0.88637624876945342) (-0.56938411528217259,0.82207160835558446) (0.54760731257180806,-0.8367354607149633) (0.4629655987407606,0.88637624876945398) (-0.56938411528217225,0.82207160835558479) (0.45083050894052995,0.89260957434279331) (-0.99910714811588275,-0.042248154796955387) (0.99662695420695435,0.082065304167896203) (-0.9984378215123384,-0.055874113627829958)
 (0.50190588945789616,-0.86492223819686709) (-0.45381028234407378,-0.89109832658287036) (-0.99953228408370076,-0.030581253643695128) (-0.99999757530553035,-0.0022021314811287995) (0.99861892926260476,0.052537930282878842) (0.47328199950683519,0.88091097674101659) (0.99999757530553035,0.0022021314811287674) (0.5448086469185317,-0.83856039629999135) (0.99953228408370076,0.030581253643694739) (0.99999757530553035,0.0022021314811287674) (0.5448086469185317,-0.83856039629999135) (0.99953228408370076,0.030581253643694739) (0.50190588945789771,-0.8649222381968662) (-0.45381028234407217,-0.89109832658287125) (0.47328199950683442,0.88091097674101715) (0.4980916858476328,0.86712436967799666) (-0.54480864691853215,0.83856039629999102) (-0.99953228408370076,-0.030581253643695572) (0.50190588945789616,-0.86492223819686709) (-0.45381028234407378,-0.89109832658287036) (-0.99953228408370076,-0.030581253643695128) (-0.99999757530553035,-0.0022021314811287995) (0.99861892926260476,0.052537930282878842) (0.47328199950683519,0.88091097674101659) (-0.50190588945789594,0.8649222381968672) (0.45381028234407322,0.89109832658287069) (-0.52625028457686596,0.85032972309732158) (-0.50190588945789594,0.8649222381968672) (0.45381028234407322,0.89109832658287069) (-0.52625028457686596,0.85032972309732158) (0.4980916858476328,0.86712436967799666) (-0.54480864691853215,0.83856039629999102) (-0.99953228408370076,-0.030581253643695572) (0.50190588945789771,-0.8649222381968662) (-0.45381028234407217,-0.89109832658287125) (0.47328199950683442,0.88091097674101715)
 (-0.99998609206826539,0.0052740563173565569) (-0.46972203614684749,-0.88281436823267645) (-0.99996498503548081,-0.0083683154213161082) (0.49542557928231212,-0.8686503873209207) (-0.52967865164198402,0.84819840013686054) (0.50722966625948107,-0.86181092222499456) (-0.99998609206826539,0.0052740563173556913) (0.99940068778883151,0.034615968095816352) (0.50722966625948163,-0.86181092222499422) (-0.99998609206826539,0.0052740563173556913) (0.99940068778883151,0.034615968095816352) (0.50722966625948163,-0.86181092222499422) (0.50456051278595138,0.86337633100356515) (0.9994006877888314,0.034615968095815686) (0.50722966625948074,-0.86181092222499456) (0.49542557928231407,-0.86865038732091948) (-0.52967865164198347,0.84819840013686076) (-0.9999649850354807,-0.0083683154213158861) (0.99998609206826528,-0.0052740563173569455) (0.46972203614684738,0.88281436823267656) (0.99996498503548081,0.0083683154213158306) (-0.49542557928231223,0.86865038732092059) (0.52967865164198358,-0.84819840013686076) (-0.50722966625948063,0.86181092222499478) (-0.49542557928231273,0.86865038732092026) (0.52967865164198447,-0.84819840013686021) (-0.4927353187759993,-0.87017923764631067) (-0.49542557928231273,0.86865038732092026) (0.52967865164198447,-0.84819840013686021) (-0.4927353187759993,-0.87017923764631067) (-0.49542557928231395,0.86865038732091959) (0.5296786516419838,-0.84819840013686054) (0.99996498503548081,0.0083683154213162192) (-0.50456051278595127,-0.86337633100356537) (-0.99940068778883151,-0.034615968095816074) (-0.50722966625948107,0.86181092222499445)
 (-0.46665557045926864,-0.88443913219584225) (0.57454814729752424,-0.81847078532894635) (0.99779121195982845,0.066428136627010692) (-0.53261897135302827,0.84635514493316699) (0.42154241870150522,0.90680868392141289) (-0.44136715213485966,-0.89732660554358012) (0.53261897135302916,-0.84635514493316644) (0.99609056599902956,0.088337898592465769) (-0.99779121195982845,-0.066428136627010137) (0.53261897135302916,-0.84635514493316644) (0.99609056599902956,0.088337898592465769) (-0.99779121195982845,-0.066428136627010137) (-0.46665557045926825,-0.88443913219584247) (0.57454814729752457,-0.81847078532894613) (-0.44136715213485983,-0.8973266055435799) (0.99927454181229725,0.038083987262675534) (-0.99609056599902945,-0.088337898592467101) (0.99779121195982834,0.06642813662700997) (-0.46665557045926864,-0.88443913219584225) (0.57454814729752424,-0.81847078532894635) (0.99779121195982845,0.066428136627010692) (-0.53261897135302827,0.84635514493316699) (0.42154241870150522,0.90680868392141289) (-0.44136715213485966,-0.89732660554358012) (0.46665557045926825,0.88443913219584247) (-0.57454814729752424,0.81847078532894646) (0.55642405982496901,-0.83089846891656949) (0.46665557045926825,0.88443913219584247) (-0.57454814729752424,0.81847078532894646) (0.55642405982496901,-0.83089846891656949) (0.99927454181229725,0.038083987262675534) (-0.99609056599902945,-0.088337898592467101) (0.99779121195982834,0.06642813662700997) (-0.46665557045926825,-0.88443913219584247) (0.57454814729752457,-0.81847078532894613) (-0.44136715213485983,-0.8973266055435799)
 (-0.99990694262391855,0.013642070681817433) (0.99965537114884817,0.026251455831224402) (0.5,0.8660254037844386) (0.48813909154128271,-0.87276584907365118) (-0.47709325793825841,-0.87885267436007641) (-1,3.3306690738754696e-16) (-0.99990694262391855,0.013642070681817331) (-0.52256211321058987,0.85260121852885162) (-1,1.2246467991473532e-16) (-0.99990694262391855,0.013642070681817331) (-0.52256211321058987,0.85260121852885162) (-1,1.2246467991473532e-16) (0.51176785108263578,0.85912377839183407) (-0.52256211321058876,0.85260121852885229) (-1,3.8857805861880479e-16) (0.48813909154128304,-0.87276584907365096) (-0.47709325793825946,-0.87885267436007575) (0.5,0.8660254037844386) (0.99990694262391855,-0.01364207068181731) (-0.99965537114884806,-0.026251455831224013) (-0.50000000000000033,-0.86602540378443837) (-0.48813909154128238,0.87276584907365129) (0.47709325793825869,0.87885267436007619) (0.99999999999999989,-7.2164496600635175e-16) (-0.48813909154128193,0.87276584907365162) (0.47709325793825869,0.87885267436007619) (-0.49999999999999978,0.86602540378443871) (-0.48813909154128193,0.87276584907365162) (0.47709325793825869,0.87885267436007619) (-0.49999999999999978,0.86602540378443871) (-0.48813909154128338,0.87276584907365085) (0.47709325793825919,0.87885267436007597) (-0.49999999999999978,-0.86602540378443882) (-0.51176785108263545,-0.85912377839183429) (0.52256211321058865,-0.8526012185288524) (1,0)
 (0.99991892812429772,-0.012733309811491345) (-0.51813390034684559,0.85529951555660599) (0.99997324574191637,-0.0073149026225192149) (-0.99991892812429783,0.012733309811490956) (0.51813390034684592,-0.85529951555660588) (-0.99997324574191637,0.0073149026225188263) (0.48893209429114043,-0.87232184838629345) (0.48164415814312167,0.87636687804058611) (0.50632151436826911,0.86234478260601932) (-0.51098683383315791,-0.85958853857480244) (-0.51813390034684526,0.85529951555660622) (0.99997324574191637,-0.0073149026225189234) (-0.48893209429113965,0.8723218483862939) (-0.48164415814312161,-0.87636687804058622) (0.99997324574191637,-0.0073149026225193814) (-0.99991892812429783,0.012733309811491844) (-0.99977805848996737,-0.021067362483980317) (0.50632151436826944,0.8623447826060191) (-0.48893209429114021,0.87232184838629345) (-0.481644158143122,-0.87636687804058599) (-0.4936517313736476,0.8696596852285382) (0.4889320942911401,-0.87232184838629356) (0.48164415814312167,0.87636687804058622) (0.49365173137364748,-0.86965968522853832) (0.51098683383315757,0.85958853857480266) (0.5181339003468457,-0.8552995155566061) (-0.99997324574191637,0.0073149026225190457) (-0.4889320942911401,0.87232184838629356) (-0.48164415814312156,-0.87636687804058622) (-0.50632151436826944,-0.8623447826060191) (-0.48893209429113965,0.8723218483862939) (-0.48164415814312161,-0.87636687804058622) (0.99997324574191637,-0.0073149026225193814) (-0.99991892812429783,0.012733309811491844) (-0.99977805848996737,-0.021067362483980317) (0.50632151436826944,0.8623447826060191)
 (-0.99965209392737786,-0.026375956979963922) (-0.99843782151233851,-0.055874113627829514) (0.5361415493751206,-0.84412809397249955) (0.99965209392737786,0.02637595697996431) (0.9984378215123384,0.055874113627829958) (-0.53614154937512093,0.84412809397249933) (0.47698379816991421,0.87891208677739918) (-0.99843782151233851,-0.055874113627829958) (0.53614154937512104,-0.84412809397249933) (-0.52266829575746365,0.85253612979743476) (-0.54760731257180839,0.83673546071496319) (0.99910714811588286,0.04224815479695393) (-0.99965209392737786,-0.026375956979964588) (0.45083050894052995,0.89260957434279331) (-0.99910714811588286,-0.042248154796953707) (-0.5226682957574631,0.85253612979743498) (-0.54760731257180839,0.83673546071496319) (-0.53614154937512026,0.84412809397249988) (-0.52266829575746332,0.85253612979743498) (-0.54760731257180828,0.8367354607149633) (-0.46296559874076187,-0.88637624876945331) (0.52266829575746288,-0.8525361297974352) (0.54760731257180839,-0.83673546071496319) (0.46296559874076176,0.88637624876945342) (-0.52266829575746365,0.85253612979743476) (-0.54760731257180839,0.83673546071496319) (0.99910714811588286,0.04224815479695393) (0.47698379816991421,0.87891208677739918) (-0.99843782151233851,-0.055874113627829958) (0.53614154937512104,-0.84412809397249933) (0.99965209392737786,0.026375956979964199) (-0.45083050894053023,-0.89260957434279309) (0.99910714811588286,0.042248154796953319) (0.52266829575746354,-0.85253612979743476) (0.54760731257180828,-0.8367354607149633) (0.53614154937512049,-0.84412809397249977)
 (-0.49721180180834507,0.86762919737783084) (0.99953228408370076,0.030581253643694739) (0.99999757530553035,0.0022021314811287674) (0.4972118018083454,-0.86762919737783073) (-0.99953228408370076,-0.030581253643695128) (-0.99999757530553035,-0.0022021314811286451) (0.50278302509013273,0.86441265011637525) (0.52625028457686585,-0.85032972309732169) (0.49809168584763375,0.86712436967799611) (0.99999482689847685,-0.0032165472614561486) (0.99953228408370076,0.030581253643694739) (0.99999757530553024,0.0022021314811292436) (-0.50278302509013262,-0.86441265011637536) (-0.52625028457686629,0.85032972309732147) (0.99999757530553035,0.0022021314811294106) (0.49721180180834418,-0.86762919737783128) (0.47328199950683442,0.88091097674101715) (0.49809168584763397,0.867124369677996) (-0.50278302509013206,-0.86441265011637558) (-0.52625028457686518,0.85032972309732191) (-0.50190588945789594,0.8649222381968672) (0.50278302509013173,0.8644126501163758) (0.52625028457686562,-0.8503297230973218) (0.50190588945789627,-0.86492223819686709) (-0.99999482689847707,0.0032165472614558155) (-0.99953228408370087,-0.030581253643695183) (-0.99999757530553035,-0.0022021314811295767) (-0.50278302509013262,-0.86441265011637536) (-0.52625028457686596,0.85032972309732158) (-0.49809168584763364,-0.86712436967799622) (-0.50278302509013262,-0.86441265011637536) (-0.52625028457686629,0.85032972309732147) (0.99999757530553035,0.0022021314811294106) (0.49721180180834418,-0.86762919737783128) (0.47328199950683442,0.88091097674101715) (0.49809168584763397,0.867124369677996)
 (0.99977622445935577,-0.021154219574257387) (-0.50722966625948063,0.86181092222499478) (0.99998609206826539,-0.005274056317355569) (-0.99977622445935577,0.021154219574257508) (0.50722966625948107,-0.86181092222499456) (-0.99998609206826539,0.0052740563173556913) (-0.51820820377821841,-0.85525449869436665) (-0.50722966625948174,0.86181092222499411) (0.99998609206826528,-0.0052740563173557242) (0.48156802068113724,-0.87640871826862365) (0.49273531877599902,0.87017923764631089) (0.50456051278595249,0.86337633100356448) (0.99977622445935577,-0.021154219574257862) (0.99996498503548081,0.0083683154213162192) (-0.50456051278595315,-0.86337633100356415) (0.48156802068113641,-0.8764087182686241) (0.49273531877599958,0.87017923764631044) (-0.99998609206826539,0.0052740563173562845) (0.48156802068113708,-0.87640871826862377) (0.4927353187759998,0.87017923764631033) (0.49542557928231307,-0.86865038732092015) (-0.48156802068113674,0.87640871826862388) (-0.49273531877599969,-0.87017923764631044) (-0.49542557928231273,0.86865038732092026) (0.48156802068113724,-0.87640871826862365) (0.49273531877599902,0.87017923764631089) (0.50456051278595249,0.86337633100356448) (-0.51820820377821841,-0.85525449869436665) (-0.50722966625948174,0.86181092222499411) (0.99998609206826528,-0.0052740563173557242) (-0.99977622445935577,0.02115421957425774) (-0.9999649850354807,-0.0083683154213158861) (0.50456051278595349,0.86337633100356392) (-0.48156802068113674,0.87640871826862399) (-0.49273531877599969,-0.87017923764631033) (0.99998609206826539,-0.0052740563173564068)
