# Created by Octave 5.1.0, Fri Sep 17 15:01:53 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
2.0373953327566108e-14


# name: H
# type: complex matrix
# rows: 14
# columns: 14
 (1,0) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999989,-1.3877787807814457e-17) (1,0) (1,0)
 (1,1.1102230246251565e-16) (-0.36708984434044534,0.93018549020187813) (-0.46727570709645672,0.88411165220095722) (-0.98269431922930139,-0.18523464836379999) (0.86264391998669332,-0.50581169155130401) (0.85574889961648548,0.51739136135538111) (0.33865638992120151,-0.94091011768688071) (-0.52429275832713373,0.85153808110132456) (-0.79245551447348661,0.60992971527919704) (0.1084476604038096,-0.99410216021943132) (0.98869273696892135,-0.14995556630183388) (-0.64789152041044695,0.76173261567313721) (0.22228423724074436,-0.97498190643432003) (-0.59477418026058515,-0.80389282525430539)
 (1,0) (-0.52943388047937434,-0.84835120451411605) (0.99742877593146806,-0.071664753846319457) (0.25833094901839582,0.96605647908352399) (0.28879953727099006,-0.95738959012100289) (-0.6055539992522101,0.79580421837890114) (0.044508604190450773,0.99900900103703671) (-0.99933618327474805,0.03643065738989168) (0.86133883523318466,0.50803091531829148) (-0.99598196409668049,-0.089554046218575378) (0.82807969130837411,0.56061040379449556) (-0.3704763243618906,-0.92884190963118329) (-0.99998827872870488,0.0048417357633760982) (0.2222842372407442,-0.9749819064343197)
 (1,0) (-0.98851230862260842,-0.15114038408579267) (0.29158453298912623,0.95654506434433761) (-0.10935317550559137,-0.99400295925457072) (-0.52696274596603987,0.84988838347393059) (0.81814672431357416,0.57500951078653295) (-0.69742181671750525,0.71666087486792129) (0.27943377629441235,-0.96016496742270518) (0.79351734655800066,0.60854763224545572) (0.91414528441558152,0.4053867276820432) (-0.2811630612864387,-0.9596600090490579) (-0.47504671170017376,-0.8799605796300487) (-0.37047632436189071,-0.92884190963118352) (-0.64789152041044684,0.76173261567313733)
 (1,0) (0.94638702388964135,-0.3230349841941394) (-0.99776406659985861,0.066834627268449465) (-0.68631547899979506,0.72730396897396488) (-0.22416702433322988,0.97455074018831123) (0.92337727159342542,0.38389375392767394) (-0.96809293201766744,-0.25059145032789187) (-0.58011092645520879,0.81453748410203908) (0.47346069071739316,-0.88081494897930157) (-0.99831399240605856,-0.058044573960673862) (-0.42406993237949786,-0.90562944544203505) (-0.28116306128643864,-0.9596600090490579) (0.82807969130837444,0.56061040379449589) (0.98869273696892135,-0.14995556630183376)
 (1,0) (-0.50242555486342155,0.86462047270474862) (-0.30295851990400591,0.95300374354856232) (0.96378436937167478,0.26668275038862788) (-0.36777161696100913,0.92991614555178281) (-0.79585073701794473,0.60549286072421526) (0.77708518600963317,-0.62939543506794982) (0.81671719474429116,-0.57703814762025563) (0.1131733084318815,-0.99357526250334061) (-0.73005061812775152,-0.68339307500975444) (-0.99831399240605845,-0.058044573960673695) (0.91414528441558152,0.40538672768204309) (-0.99598196409668049,-0.089554046218575212) (0.10844766040380943,-0.99410216021943132)
 (0.99999999999999989,6.9388939039072284e-18) (-0.96450943999117766,-0.26404836709948715) (0.78577450628380141,-0.61851307607394057) (0.92663128661753924,0.37597135351183913) (0.36071512366381603,0.93267604212834665) (-0.68822991130362932,-0.72549265274501451) (-0.91569683447315475,0.40186976414734682) (-0.97191696259998372,0.23532406976427694) (-0.98180243466418471,-0.18990518499366918) (0.1131733084318816,-0.99357526250334061) (0.473460690717393,-0.88081494897930135) (0.79351734655800032,0.60854763224545549) (0.86133883523318455,0.50803091531829148) (-0.79245551447348639,0.60992971527919682)
 (0.99999999999999989,0) (0.85825014265047084,-0.5132316169532487) (-0.98700320262057506,0.16070058499186607) (0.98465096245957706,0.17453504555655525) (-0.87220988534687849,-0.48913179809043794) (0.73842864454860924,-0.67433162235661381) (0.97076131688987577,0.24004679883354868) (-0.71337211896270947,0.70078543070375987) (-0.97191696259998361,0.23532406976427694) (0.81671719474429094,-0.57703814762025551) (-0.58011092645520856,0.81453748410203897) (0.27943377629441241,-0.96016496742270485) (-0.99933618327474782,0.036430657389891541) (-0.52429275832713351,0.85153808110132445)
 (1,0) (0.98455091443793219,-0.175098534772373) (0.82271622959626578,-0.56845228960652838) (-0.50292029668278382,-0.86433279191784773) (-0.78751935154115926,-0.61628992442534081) (-0.48206442889979062,0.87613576938138915) (-0.58456298071329871,0.81134833553756902) (0.97076131688987599,0.24004679883354862) (-0.91569683447315486,0.40186976414734693) (0.77708518600963328,-0.6293954350679497) (-0.96809293201766744,-0.25059145032789176) (-0.69742181671750525,0.71666087486792129) (0.044508604190450773,0.99900900103703694) (0.33865638992120134,-0.94091011768688071)
 (0.99999999999999989,-2.7755575615628914e-17) (-0.99953826051754802,-0.030385288571175978) (-0.99937746012206274,0.035280195577326895) (-0.69167178896423298,-0.72221197466603748) (0.16722169451060284,-0.98591931966312663) (0.75936335149472178,-0.65066681212945154) (-0.48206442889979051,0.87613576938138904) (0.73842864454860935,-0.67433162235661404) (-0.68822991130362932,-0.72549265274501473) (-0.79585073701794473,0.60549286072421526) (0.92337727159342531,0.38389375392767372) (0.81814672431357405,0.57500951078653295) (-0.60555399925221032,0.79580421837890125) (0.85574889961648537,0.51739136135538111)
