# Created by Octave 5.1.0, Fri Sep 17 15:07:15 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
7.8222689755184681e-14


# name: H
# type: complex matrix
# rows: 20
# columns: 20
 (1,0) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,0) (1,2.7755575615628914e-17) (1.0000000000000002,5.5511151231257839e-17) (0.99999999999999978,5.5511151231257815e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999978,5.5511151231257815e-17) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,5.5511151231257821e-17) (1,1.1102230246251565e-16)
 (1,5.5511151231257827e-17) (-0.95103503528660283,-0.30908309830433778) (-0.93759331649084054,-0.34773376722962462) (-0.76038769704469078,-0.64946943745111818) (0.965100805117171,0.26187866648924946) (0.24993921019879212,-0.96826153037555096) (0.91371959261982605,0.40634530397515278) (0.36461109775317946,0.93115989357103457) (0.99606563177711183,-0.088618605227468727) (0.39309834078040307,0.91949643527079239) (-0.44122370643459097,0.89739714780030488) (0.85076749334530599,0.5255422649672854) (-0.99101376292678367,-0.13375994052665857) (0.16040163248252554,0.98705183060310531) (-0.098032484687554378,-0.99518321526540243) (0.78749469822773144,-0.61632142609454454) (-0.6156074618355929,0.78805295058919644) (-0.99811962938298748,0.061296047510154106) (-0.73117212042179125,-0.68219303010064636) (-0.15701328779061186,-0.98759649020092311)
 (1,-5.5511151231257827e-17) (0.45457452076020111,-0.89070870944188718) (-0.73593552755025582,0.6770516223223495) (-0.93899797995356882,0.34392265648415477) (0.90420748722729472,-0.42709345586428987) (0.7805497887798386,0.62509361477761782) (0.67580954528191872,0.73707629083144866) (-0.97948606054341236,-0.20151192818576877) (-0.95406159050309136,0.29961054975869833) (-0.94438792100558355,0.32883347557502579) (0.20907479619262109,-0.97789965211007956) (-0.39201089229208241,-0.91996057541851506) (0.74809065212293224,-0.66359654625855669) (0.99146696927296762,0.13035815601900769) (0.10144721310077515,0.99484092344157515) (0.82273671541614024,-0.56842263950889593) (-0.98773838667820846,-0.15611815872065848) (0.72518879838257488,0.68855007566656778) (-0.74935600758926935,0.66216733073285217) (-0.73117212042179114,-0.68219303010064647)
 (0.99999999999999978,0) (0.90622463873105041,-0.42279652808032292) (0.076215642406007977,-0.99709135782667269) (-0.70553380006294697,0.70867627092258179) (0.66978233420462185,-0.74255748921373632) (0.80721363177946892,0.59025939439317654) (-0.94176867446314616,-0.33626145155210363) (-0.29096856261889376,-0.95673261445792357) (0.8041266191247527,-0.59445805606030189) (0.99376186955251744,0.11152285247196159) (0.58822649616256029,0.80869622801909791) (-0.013222947197139234,0.99991257301197167) (-0.85180021940294093,-0.52386676381032282) (-0.99777803163088152,0.066625817779615071) (0.65804373362648438,0.75297971063961311) (-0.99852320528799499,-0.054326867214921026) (-0.63822359497792591,-0.76985105235587636) (-0.79284509894518163,0.60942321015744316) (0.72518879838257488,0.68855007566656767) (-0.99811962938298726,0.061296047510153995)
 (0.99999999999999989,6.9388939039072284e-18) (0.93030116467225255,0.36679659623481986) (0.99979917428970011,-0.020040236765887523) (0.74764618940778926,-0.66409726355708754) (0.89546684513973207,-0.44512821664717478) (0.49941961960264081,0.86636022736270257) (-0.44361742873938781,-0.89621625566525753) (-0.031058745059612675,0.99951756080387155) (0.31707102455386832,0.94840179533168256) (-0.8300826113812253,-0.55764043817008502) (0.58918650096922442,-0.80799707120486564) (-0.014176704180579806,-0.99989950547971362) (-0.20720773364261413,0.97829696673284794) (-0.43642469668419148,0.89974078718490436) (-0.10334604856927855,-0.9946454615817214) (-0.96894947816043464,-0.24725878907052051) (-0.70245762872615547,0.71172556497882378) (-0.63822359497792613,-0.76985105235587636) (-0.98773838667820835,-0.15611815872065832) (-0.61560746183559278,0.78805295058919644)
 (1,0) (0.34189041659352504,0.93973982731472261) (-0.067508255130990236,0.99771871561536263) (-0.023686108719095544,0.99971944477125552) (-0.90204067621370998,-0.43165103782559411) (-0.64340642865324349,0.76552476613606568) (0.71955528009116576,-0.6944351653631351) (-0.99720425913979982,-0.07472392892134877) (0.75125960614797305,-0.66000682130595489) (0.98366391697195044,0.18001471730777696) (-0.9266685182292772,-0.37587957821988083) (-0.8676961957118392,-0.49709487217954706) (0.85607368477850865,-0.51685379579697932) (0.57739478717068793,0.81646510014091644) (-0.30479734306473522,-0.95241722982140442) (-0.13958863708656194,0.99020958003662762) (-0.96894947816043453,-0.24725878907052057) (-0.99852320528799521,-0.054326867214921054) (0.82273671541614013,-0.56842263950889582) (0.78749469822773133,-0.61632142609454443)
 (1,0) (-0.55844051218837387,-0.82954457044018226) (0.62121171804586695,-0.78364277662880466) (0.99126278350812513,-0.13190183483077622) (-0.81499437936457819,0.57946886163464117) (-0.97848846694574232,0.20630152702821097) (-0.97789374011167829,-0.20910244630418381) (0.45892675916473197,0.88847410188623832) (-0.79601025352687538,-0.60528313728376715) (0.44463233093860688,0.89571317411552065) (-0.96409819385287654,0.26554598963196996) (0.031959255977821344,-0.99948917250630831) (0.24965497950070514,0.96833485489808824) (0.040195529427213827,0.99919183314019677) (0.99876711902136273,-0.049641131753504208) (-0.30479734306473533,-0.95241722982140475) (-0.10334604856927843,-0.99464546158172151) (0.65804373362648438,0.75297971063961344) (0.10144721310077498,0.99484092344157538) (-0.098032484687554433,-0.99518321526540254)
 (1,2.7755575615628914e-17) (0.40082663908876515,-0.91615392014486519) (-0.99033264893899298,0.138712812838171) (-0.095286854694776726,-0.995449855754863) (-0.22882564306950001,0.97346742373529416) (-0.96449569996429252,0.26409855120842712) (0.30396059793641234,-0.952684604106805) (0.99792910185416384,-0.064323461291677653) (-0.89277355819755455,0.45050568673800129) (0.94130759784383178,0.33755000554210535) (0.094248190093439266,-0.99554873244061304) (0.37349363357672993,-0.92763274288785857) (-0.96527117534340012,-0.26124999148549455) (-0.31003637022314756,-0.95072469681756722) (0.040195529427213883,0.99919183314019666) (0.57739478717068793,0.81646510014091644) (-0.43642469668419154,0.89974078718490447) (-0.99777803163088152,0.066625817779615154) (0.99146696927296762,0.1303581560190076) (0.16040163248252559,0.98705183060310542)
 (1,0) (-0.45762861019782336,0.8891434390065569) (0.59890005287696058,0.80082378003151977) (0.66599170980909728,-0.7459591426248191) (-0.94583664812097501,-0.32464293473180428) (0.60086768712213123,-0.79934849882419912) (-0.30722826541816983,0.95163585101032344) (0.096578866820550002,-0.99532533499537623) (0.007994547061075219,-0.99996804309802145) (-0.75821002946337035,0.65201039195794641) (0.57157500801733141,0.82054982189382464) (-0.69033944972059014,-0.72348562125274607) (0.77880870612737574,0.62726150787387069) (-0.96527117534340001,-0.26124999148549449) (0.24965497950070509,0.9683348548980879) (0.85607368477850854,-0.51685379579697943) (-0.20720773364261419,0.97829696673284805) (-0.85180021940294093,-0.52386676381032293) (0.74809065212293224,-0.66359654625855669) (-0.99101376292678389,-0.13375994052665857)
 (1,0) (0.98383174584156741,0.17909521454894645) (-0.64139656606493589,0.76720951834561302) (0.069346757423342828,0.99759261586825521) (-0.75760026847881456,0.65271880101681512) (0.43414559661033264,-0.90084271709542008) (-0.80094674734521576,0.59873559098914453) (0.98102865436189968,-0.19386278477541985) (0.12583295980745907,0.99205144333653061) (-0.86272303803738493,0.50567673432692584) (0.37781305249479497,0.92588190249327507) (-0.18810634041067031,-0.98214866730923456) (-0.69033944972059025,-0.72348562125274618) (0.37349363357672988,-0.92763274288785857) (0.031959255977821246,-0.99948917250630809) (-0.86769619571183931,-0.49709487217954712) (-0.01417670418057973,-0.99989950547971362) (-0.01322294719713929,0.99991257301197189) (-0.39201089229208225,-0.91996057541851506) (0.85076749334530588,0.5255422649672854)
