# Created by Octave 5.1.0, Fri Sep 17 15:08:22 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
4.9995655603493677e-14


# name: H
# type: complex matrix
# rows: 21
# columns: 21
 (1,0) (1,0) (0.99999999999999989,0) (1,0) (1,0) (1,-1.1102230246251565e-16) (1,-1.3877787807814457e-17) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,0) (1,0) (1,0) (1,1.3877787807814457e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0)
 (1,0) (-0.32722690171617647,-0.94494579463228023) (0.55413207147606203,0.83242876413639655) (0.70293135373564286,0.71125769727671617) (0.072865518042473154,-0.99734177506028532) (-0.94637580814003697,0.3230678408125624) (-0.059971184708041136,-0.99820010869800746) (-0.97749998820618711,-0.21093547131031415) (0.60386886276202245,0.79708368229847781) (0.037259726186113173,-0.99930561531722417) (0.98479267605835696,-0.17373366162554477) (-0.59363710766231115,-0.80473286524555798) (-0.99120360127540419,0.13234583793481824) (-0.71889763309612809,0.69511595660636671) (0.95522113180257584,0.29589286804146786) (0.093025782868743467,0.99566370011247129) (-0.60638659093316738,0.795169983296937) (0.99013810080387887,-0.14009475841903418) (0.96064599136612006,0.27777559157025272) (-0.73762399715864746,-0.67521169925860958) (-0.99605840220588915,0.088699827480391069)
 (0.99999999999999989,2.7755575615628914e-17) (0.24212057591999381,0.970246168101771) (-0.67349404233950827,0.73919265075701868) (0.28861733708580928,-0.95744453245788408) (-0.81517572387991455,0.579213724972791) (-0.16644440781172851,-0.98605084002205556) (-0.29567307022958489,-0.95528918948191288) (0.2390051950711525,-0.97101828856566863) (0.34007588635377006,0.94039799634021815) (-0.86669346427326688,0.49884109592735293) (0.0485157717958212,0.9988224165921864) (0.66041715794999711,0.75089891296049116) (-0.6283961511094609,-0.77789348709885409) (-0.68768563562254859,0.72600858573326166) (0.92889645451002978,-0.37033954258044832) (0.29174067768221307,-0.95649745268114672) (0.79779657233047263,0.60292671957522992) (0.56445090774501605,-0.82546663939000375) (-0.97372626649963046,-0.22772166767501525) (0.44327622248001547,0.89638506825127706) (-0.73762399715864735,-0.67521169925860924)
 (1,0) (0.87940887092266551,0.47606726178400793) (-0.0023261582241189127,-0.99999729449029839) (0.70962064341263253,-0.70458394989003392) (0.93031002541764507,-0.36677412205255211) (0.11692048277316186,0.99314127932942664) (0.56655144385486744,-0.8240263718267542) (-0.73717492273889262,-0.67570195595758653) (-0.41007826909682082,0.91205033480315945) (-0.49671994828823829,0.86791087847343529) (0.13227502944798991,-0.99121305307412733) (-0.14492665398914728,0.98944240103378922) (0.99969830112569669,-0.024562302953828774) (-0.81473388416799786,0.5798350610203965) (0.31213061540805059,-0.95003919862550512) (-0.93694605940160625,-0.34947400729067357) (-0.97879490738379271,-0.20484269398626936) (-0.97259711760265977,0.23249698241267031) (-0.13953721633592434,0.99021682739550587) (-0.97372626649963068,-0.22772166767501528) (0.96064599136612006,0.27777559157025256)
 (1.0000000000000002,5.5511151231257827e-17) (-0.57683208850660461,-0.81686274346986176) (0.36405735974862025,0.9313765290218905) (0.48597800299338323,-0.87397104105717616) (-0.8362367904938901,-0.54836851680642429) (-0.5520410044821632,0.83381696394971749) (0.8966405994231087,-0.44275911675104862) (-0.50843714769664861,0.86109910396080225) (-0.18680343724542425,-0.98239731057922541) (0.98414122339877119,0.17738673120380394) (-0.063674788400499893,0.99797070163514889) (-0.70782285929097233,0.70638997718339136) (-0.26554986365455707,-0.96409712680468374) (-0.47606314930606924,0.87941109719674726) (-0.82555355006048148,0.56432378647593517) (0.99836433119222456,-0.057172215306936003) (0.66466125004321597,-0.74714484719563568) (-0.97681997860824776,0.21406244273992248) (-0.97259711760265999,0.23249698241267025) (0.56445090774501627,-0.82546663939000398) (0.99013810080387898,-0.14009475841903418)
 (0.99999999999999989,0) (-0.19161787017910076,-0.9814696082039549) (0.48746865619349022,-0.87314048653633758) (-0.53052722765524052,0.84766789529652775) (-0.75116635267535148,-0.66011295291670291) (0.92414693045194374,0.38203723763037745) (0.78669461138105468,0.61734235916872826) (-0.99443112950648105,0.10538846553804815) (-0.99967285033278341,-0.025577183338416354) (-0.99994917882862466,0.010081654624080227) (0.98961143506701288,0.14376789483263144) (0.90842472974171129,-0.41804845460029905) (0.71332642827190196,-0.70083193900453078) (0.78133268189452565,0.62411476525035647) (-0.80585604195507932,0.59211150946801638) (-0.52457623124589525,-0.85136348148828478) (-0.67048491467981308,0.74192316258949831) (0.66466125004321563,-0.74714484719563534) (-0.97879490738379271,-0.20484269398626923) (0.79779657233047252,0.60292671957522992) (-0.60638659093316705,0.79516998329693667)
 (1,5.5511151231257827e-17) (-0.55296652634096688,0.833203468995662) (-0.9903331968415815,-0.13870890106093914) (-0.79670937273021003,-0.60436261913178901) (-0.019354698768575151,-0.99981268027344905) (-0.25660576281274983,-0.96651615738759733) (-0.94938758176388904,0.31410701933021984) (-0.22445463732868104,0.97448453850312622) (-0.16460477483407115,0.98635960384731114) (0.83168537253068564,-0.5552471892035965) (0.74210811470216431,0.67028019968756281) (-0.4150380977301889,0.90980403243363683) (0.93755726476327506,0.34783095792296387) (0.81046171750012741,-0.58579160498145022) (0.31729873665430131,-0.94832563590656194) (-0.19126505809532079,0.98153842387946977) (-0.52457623124589525,-0.85136348148828489) (0.99836433119222434,-0.057172215306935836) (-0.93694605940160625,-0.34947400729067368) (0.29174067768221329,-0.95649745268114672) (0.093025782868743356,0.99566370011247129)
 (1,0) (-0.97128876499715655,0.23790362542487342) (-0.091632238408406008,0.9957929166670475) (-0.85398863458030438,0.52029166052096953) (0.68582746666005168,0.72776416920225984) (0.96762171188435553,-0.25240487849879167) (0.22442743405817742,0.97449080387762665) (-0.013823137141519226,-0.99990445587544385) (0.32290959981992956,0.94642981268773074) (0.29149193971003501,-0.95657328474303616) (-0.62107957163543959,-0.78374751399742137) (-0.98159099521503546,-0.19099507353006817) (-0.92551243086293433,-0.37871723002549318) (0.31472232839525671,0.94918378410583293) (-0.23022205404640728,-0.97313812268899069) (0.31729873665430108,-0.94832563590656171) (-0.80585604195507943,0.59211150946801661) (-0.82555355006048126,0.56432378647593495) (0.31213061540805048,-0.95003919862550501) (0.92889645451002978,-0.37033954258044827) (0.95522113180257595,0.29589286804146786)
 (1,0) (-0.59217677273104574,-0.8058080849916085) (-0.90352149581677466,-0.42854277102410415) (-0.55024419751173403,0.8350037862816363) (0.69946769957242005,0.71466421293840265) (-0.98280784616000616,-0.18463135575066769) (-0.57741754034549786,-0.81644900888013572) (-0.30906874992181271,-0.95103969834164603) (0.57142123023562763,-0.82065691835017229) (0.82986874430965063,-0.5579586608503575) (-0.1782657587153389,-0.98398237751986395) (0.035276853374640149,0.99937757810348316) (0.97111181705518823,-0.23862489135832143) (0.77721959105751803,-0.62922945518815665) (0.31472232839525671,0.94918378410583293) (0.81046171750012741,-0.58579160498145033) (0.78133268189452576,0.62411476525035658) (-0.47606314930606919,0.87941109719674726) (-0.81473388416799808,0.57983506102039672) (-0.6876856356225487,0.72600858573326166) (-0.71889763309612809,0.69511595660636671)
 (1,5.5511151231257827e-17) (-0.4216042548478427,0.90677993597906426) (-0.89935849622298103,0.43721195691739506) (-0.41864248907473717,0.90815112527668496) (-0.14610347880556263,-0.9892693129178286) (0.32880750048539886,0.94439696506529724) (0.77975271481503516,-0.62608761666286206) (0.35746389573210102,-0.93392695819749783) (-0.98124508876188421,0.1927643011054761) (0.15606952519866646,0.98774607227984623) (-0.99999792423402689,-0.0020375297881271015) (0.99893234607727632,-0.046197055756275418) (-0.56510601467514932,0.82501829808675742) (0.97111181705518834,-0.23862489135832149) (-0.92551243086293455,-0.37871723002549335) (0.93755726476327517,0.3478309579229637) (0.71332642827190229,-0.700831939004531) (-0.26554986365455702,-0.96409712680468385) (0.9996983011256968,-0.02456230295382883) (-0.6283961511094609,-0.77789348709885442) (-0.99120360127540419,0.13234583793481808)
