# Created by Octave 5.2.0, Fri Sep 17 14:08:09 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
4.2259577484784727e-14


# name: H
# type: complex matrix
# rows: 25
# columns: 25
 (1,0) (1,0) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (0.99999999999999989,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,6.9388939039072284e-18) (1,0) (0.99999999999999989,0) (1,0) (0.99999999999999978,0) (1,0) (1.0000000000000002,0) (1,-2.7755575615628914e-17) (1.0000000000000002,1.3877787807814457e-17) (1,0) (1,0) (1,0)
 (1,0) (-0.99873151452108411,-0.050352377326411457) (-0.29233060569353619,-0.95631732023154903) (0.79091764974295775,0.61192260239762042) (0.89660419647073542,0.44283282948655278) (-0.94958048596887212,0.31352336542452663) (0.48836729867658368,-0.8726381733475429) (0.29412321056565816,0.95576751200621457) (0.54033732367607101,-0.84144849910293451) (0.066281348554803804,-0.99780097355823238) (-0.13754879594250929,0.99049499177672062) (-0.35681727122275619,0.93417419947092684) (-0.70427119645394232,-0.70993104020414033) (0.73335942166710877,-0.67984112750854053) (-0.63711732053437264,0.77076683885277619) (0.99840333397283287,0.056487013657407992) (0.97461503578169806,0.22388731993625666) (-0.89986800450611948,-0.43616232582167619) (0.39039394629812063,0.92064790593026413) (-0.32059256640134087,-0.9472171907055964) (0.43683480540933017,0.89954174599236514) (-0.99683017568187071,-0.079558788641177963) (-0.83797124928785705,0.54571438075878853) (0.49556676821484502,-0.86856984649542968) (-0.97414515281648451,-0.22592304274718888)
 (0.99999999999999989,0) (0.98428522613091785,-0.1765859383428012) (-0.45660888767661156,-0.8896675354843111) (-0.13353561105932996,0.99104401545996534) (-0.62991356099927753,-0.77666524685298555) (0.99612733688231359,-0.087922287935141619) (-0.036565758693975992,-0.99933124903163817) (-0.99986860917162246,0.016210009043943679) (-0.99901406257809211,-0.04439485072861582) (0.91740860055735118,0.39794655372725918) (-0.99972214054541331,0.023572053438261797) (0.96243756370334854,0.27150310490446217) (-0.79944361643715112,0.60074112905467825) (0.98274512463082231,-0.18496491563090958) (-0.28085419084921404,-0.95975044854505431) (0.49634118353016821,-0.86812754220325927) (-0.99851917029690052,-0.054400979307265451) (0.90077729134962314,0.43428132746968889) (0.17668790735823608,0.98426692690213224) (-0.57735980731614156,0.81648983637021977) (-0.53497137456488264,0.84487018434559513) (0.56491026169428271,0.82515234728654663) (-0.74817512145678344,0.6635013094434159) (-0.28273535240651249,-0.95919795688875675) (0.49556676821484502,-0.86856984649542968)
 (1.0000000000000002,0) (-0.45120359232045004,-0.89242104316130999) (0.54645820392350164,-0.83748637682334937) (0.9446802815082318,-0.32799263060246975) (-0.99724813300467352,-0.074136099295101898) (-0.051942574019400056,0.99865007335114109) (0.99536621556573524,-0.096156626970512235) (0.75365092866141592,0.65727488749212504) (-0.99934702190189406,-0.036132116127004094) (-0.91801623691388379,0.39654279562548089) (-0.99958598610830862,-0.028772493390040871) (0.98434062337442374,-0.1762768764610132) (0.51915972194141113,-0.8546772391457006) (-0.94286641994154563,0.33317099835762071) (-0.99990518183418597,0.01377052435978901) (0.73396542940926124,-0.6791868288122781) (0.97441497986907344,0.22475641705355903) (0.012729513120512237,0.99991897646545069) (-0.8914294781451324,0.45315944820106885) (0.85339429941594569,0.52126592994782195) (-0.34765865346114988,-0.937621171195265) (0.99211897756264611,0.12529937892922668) (-0.12492952595689305,-0.99216561800144354) (-0.74817512145678344,0.66350130944341612) (-0.83797124928785716,0.54571438075878864)
 (1,0) (0.8094302785139712,0.58721599452398698) (0.98246675711599907,-0.18643784798686353) (-0.9706052109757306,-0.24067722041514045) (-0.76366893076780806,-0.64560805770990237) (-0.94521480206045716,-0.32644904344447356) (-0.41811678401210706,-0.9083932820796139) (0.18138825712303402,-0.98341156195047241) (-0.9569531517856068,-0.29024242503051478) (0.62856855098916253,-0.7777541878430384) (-0.30265763078526181,0.95309934347236447) (-0.82538089578424079,0.56457628082873368) (0.37218074845591476,0.92816027197828022) (-0.36679627104918761,0.93030129288548835) (-0.80061990211640444,0.59917257308318084) (0.81388570357815504,0.58102500936800616) (-0.99841059174575031,-0.056358586656344078) (0.31032258402514679,0.95063131330918993) (0.98667142318488743,0.16272523673453088) (-0.21766359091981313,-0.97602385277609527) (0.62372406534068026,-0.78164460614456677) (0.29725033010035673,-0.9547995817213315) (0.992118977562646,0.1252993789292266) (0.56491026169428271,0.82515234728654652) (-0.99683017568187049,-0.079558788641177824)
 (1,0) (0.99957168522436546,-0.029265100336779981) (-0.24867216476744142,0.96858771129406485) (-0.92440982424777873,-0.38140067754815382) (0.81261202942844357,0.58280501853380262) (-0.95436351660583418,-0.29864741447356569) (0.69117897881640189,-0.72268362320057877) (-0.68982271406132534,0.72397833059081707) (0.7815854540876167,0.62379818688310873) (0.27747718131924981,-0.96073222796319457) (-0.73977888521408997,-0.6728500583275574) (0.8294379657364489,0.55859883726604886) (-0.9939739206576258,-0.10961681008179214) (-0.93510186070102863,-0.35437904863785907) (0.55146877468893929,0.83419553495753018) (0.78655067691671232,-0.61752573439643932) (-0.7205883788340397,-0.69336309989018763) (-0.90976652373942435,-0.41512031061257737) (0.69940277993834021,-0.71472774635837488) (0.24017477011834809,0.97072966360289981) (-0.73091135017025455,0.68247241570066042) (0.62372406534068026,-0.78164460614456688) (-0.34765865346114988,-0.93762117119526489) (-0.53497137456488253,0.84487018434559524) (0.43683480540933017,0.89954174599236503)
 (1,-3.4694469519536142e-18) (-0.48157475221704993,0.87640501939861504) (-0.99205430143884588,-0.12581042483309454) (0.20740455129197075,0.97825525917491318) (-0.96412941977426914,0.26543259394002527) (-0.68554501771793053,0.72803023885146601) (0.3005092093490222,0.95377891311164198) (0.79357260940241148,-0.60847556533212377) (0.97732438927278487,0.21174758117290871) (-0.36980250052294933,-0.92911038666402468) (0.76512176386864494,-0.64388561597113891) (-0.015805366402870124,-0.99987508739485598) (-0.9655164419559884,-0.26034208325326247) (0.1845671889504848,0.98281989843659356) (-0.065669674835400788,-0.99784141716357544) (0.99714897690017767,-0.075458053691628627) (0.012284809171930127,-0.99992453888461486) (0.99512758971221482,0.098595538405938848) (-0.88741359093646965,-0.46097409755998203) (-0.78350312701486702,0.62138784181694862) (0.24017477011834801,0.97072966360289947) (-0.21766359091981297,-0.97602385277609505) (0.85339429941594547,0.52126592994782173) (-0.57735980731614145,0.81648983637021977) (-0.32059256640134071,-0.94721719070559607)
 (1.0000000000000002,5.5511151231257827e-17) (0.36788053678268401,-0.92987306158232386) (-0.50738089043202228,0.8617218994689696) (0.89613796210568686,-0.44377556588107342) (-0.83854472745247199,-0.5448327633886012) (0.25823886619258163,0.96608109803865339) (-0.99977680128428759,-0.021126940473202016) (-0.27386511931042301,-0.96176810948642277) (0.97060732088743307,0.24066871138500656) (0.8219057392432173,0.5696235211076347) (-0.085440528035266916,0.99634327225562902) (-0.99996512031367701,0.0083521348201578416) (-0.45364133073426161,-0.89118434852147632) (-0.15716022460688667,-0.98757311820518545) (0.73892667227654529,-0.67378585099296306) (0.9501264743160388,0.31186484701513495) (-0.45878417525106935,0.88854773678131482) (-0.70386686634248297,-0.7103319185178244) (-0.99971077573932032,-0.024049217673067003) (-0.88741359093646988,-0.46097409755998209) (0.69940277993834021,-0.7147277463583751) (0.98667142318488765,0.16272523673453099) (-0.8914294781451324,0.45315944820106874) (0.17668790735823614,0.98426692690213247) (0.39039394629812052,0.92064790593026413)
 (1,0) (-0.43625554799035571,0.89982281414044729) (-0.46277688106367548,0.88647479284691277) (-0.020893440171548261,0.99978170825325574) (0.38942546169921821,-0.92105798394039784) (0.6118108736287744,-0.79100408021046009) (0.60524884949341295,-0.79603632466546381) (-0.99236508067018558,-0.12333509908560464) (-0.63999202581120995,0.7683815503368514) (-0.75807226622914259,-0.65217055988001471) (0.41296103518143967,0.91074869388974311) (-0.75224512313880731,0.65888335440643864) (0.92540676174373682,-0.37897536241683438) (-0.68416832390649707,0.72932414231463238) (0.80400332106978567,-0.59462480583032773) (-0.27803110830134864,-0.96057207059997496) (0.80992006350357859,-0.58654027204818515) (-0.23943215265664652,-0.97091309820920824) (-0.70386686634248319,-0.71033191851782451) (0.99512758971221527,0.098595538405938932) (-0.90976652373942457,-0.41512031061257731) (0.31032258402514679,0.95063131330919026) (0.012729513120512237,0.9999189764654508) (0.90077729134962348,0.43428132746968912) (-0.89986800450611937,-0.43616232582167624)
 (1,0) (0.9206883450148009,-0.39029856693806442) (-0.9563475999604889,0.29223153158037729) (0.63521338340274669,-0.77233668665034638) (0.028317365919547588,-0.99959898298636651) (-0.36182335172793539,-0.9322466745150465) (0.75362529828821168,0.65730427488340892) (-0.99502519634604703,0.099623584740312798) (0.24076926305317592,-0.97058238288608489) (-0.9524895351164937,-0.30457131429858164) (-0.38674647094265419,0.92218608057886153) (0.87168127101856085,-0.49007322081038684) (-0.92819556217610799,0.3720927281694425) (0.016767215070539854,0.99985942036807274) (0.54627509509035044,0.83760582643868253) (-0.51343676869739197,0.85812742908590245) (0.48579467591066594,0.8740729562552837) (0.80992006350357826,-0.58654027204818504) (-0.45878417525106924,0.8885477367813146) (0.012284809171929978,-0.99992453888461497) (-0.72058837883403981,-0.69336309989018752) (-0.99841059174575042,-0.056358586656343856) (0.97441497986907333,0.22475641705355881) (-0.99851917029690052,-0.054400979307265285) (0.97461503578169784,0.22388731993625643)
