# Created by Octave 5.2.0, Fri Sep 17 14:14:20 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
9.4418463319843864e-14


# name: H
# type: complex matrix
# rows: 28
# columns: 28
 (1,0) (0.99999999999999989,-5.5511151231257821e-17) (1.0000000000000002,-5.5511151231257839e-17) (0.99999999999999989,-6.9388939039072284e-17) (1,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,0) (0.99999999999999989,-5.5511151231257821e-17) (1,-1.1102230246251565e-16) (1,-1.1102230246251565e-16) (0.99999999999999978,-5.5511151231257815e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (0.99999999999999989,-5.5511151231257821e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-8.3266726846886741e-17) (1,0)
 (1,0) (-0.25875191420854948,-0.96594381145769093) (0.34340819586967686,-0.93918624937204753) (-0.99754307735033509,-0.070055755155617017) (-0.74468732703740215,0.66741350372156028) (0.7341784315938622,0.67895657488706596) (-0.2833973665548527,0.95900257175347292) (0.17748551145185787,0.98412341361471112) (-0.98944918878494525,-0.14488030512396699) (0.6057799036115038,-0.79563226956957733) (0.73846947168093469,0.67428691177812461) (-0.98036033747758855,-0.19721462598100614) (0.37127012900570755,-0.92852490074746308) (0.4200964960442557,0.90747943999373204) (0.60193590306885902,0.79854440615201694) (-0.80127729009145321,-0.59829315923190707) (-0.99127012853444219,0.13184662405731573) (-0.79357155969960569,0.60847693434996786) (0.98460767899181056,0.1747790561547907) (0.94299240984653909,-0.33281423492966206) (0.99967210526987016,-0.02560628722220841) (-0.65302709815206306,0.75733454237813258) (0.5371483540326818,-0.84348778637273725) (0.093424491132138632,-0.99562636789947478) (-0.87967932623688483,0.47556732750623198) (-0.10395745073670853,-0.9945817454771253) (0.15070633213024925,0.98857857626788948) (-0.22420334886511703,-0.97454238407452864)
 (1,0) (0.99936623059083185,-0.03559687001229811) (0.30975846342404256,-0.95081527876721517) (-0.79802712346448179,-0.60262153148971209) (0.42094912179936084,0.90708425014237126) (0.23938840232722269,-0.97092388621931625) (-0.30600651088629793,-0.9520294193433283) (0.32879708690455489,-0.94440059066218252) (0.98141660865676272,0.19188913531687757) (-0.52143609523981238,-0.85329033662702269) (-0.046057251133032225,0.99893880173815874) (0.91864619772869838,-0.39508121114348749) (-0.69309827775278388,-0.72084310177466948) (-0.17208947076371167,0.98508132357296585) (-0.75348669767857512,-0.65746315213967321) (0.97555328162555133,0.21976304218320675) (-0.67078232373591073,0.7416542821041705) (0.53139465791084939,0.84712438138906887) (-0.24966381261337398,-0.96833257751216584) (-0.062479765110909857,0.99804623086893396) (0.13832500892850697,0.99038689001063074) (-0.61209352791243654,-0.79078537738611998) (-0.99781991881754073,0.065995527204172788) (0.77501517336111247,-0.63194262481656127) (-0.98456551987127783,0.17501639089125243) (-0.93100892079838871,0.36499642380963054) (0.029298650390789716,0.99957070239442269) (0.1507063321302492,0.98857857626788959)
 (0.99999999999999989,-2.7755575615628914e-17) (-0.9939069098076736,0.1102227500861773) (-0.89327305270850998,-0.44951446395507622) (0.85958727468722984,0.51098895995489091) (0.067283828906537377,-0.99773387552376724) (0.89465774834810285,0.44675218334184114) (0.6290678442184251,-0.77735040192334304) (-0.33173634667977236,-0.94337214093461397) (0.80702226341775951,0.59052101262196932) (-0.54440630100655563,-0.83882166127512403) (-0.94183459151916249,-0.33607678024215104) (-0.92266058075402968,-0.38561308681453632) (-0.99213482767590588,-0.12517381400476774) (-0.86644995373015821,-0.49926393589063345) (0.31617038535281483,0.94870242301042573) (0.99815848090417603,-0.060660093958594702) (-0.238307391421028,0.97118977918535832) (-0.97311508033933947,-0.23031943126050008) (0.97291293755076136,-0.23117183207810699) (-0.90460819501832601,0.42624407738487746) (0.98234368876290623,0.18708521359981028) (-0.66245207623420099,0.74910429627188491) (-0.059594780654503687,0.99822265157565992) (0.9840577966850923,0.17784896059094851) (0.85646558201547962,0.51620413289984812) (0.99171862823497881,-0.12842960099498249) (-0.93100892079838871,0.36499642380963049) (-0.10395745073670851,-0.9945817454771253)
 (1,-2.7755575615628914e-17) (0.98760927140678134,-0.15693287428504507) (-0.94133159111924336,-0.33748308929620863) (-0.59758079347367532,0.80180870241683733) (-0.090127111613658162,-0.99593027052709837) (0.6075524930253664,0.79427952776000788) (-0.6565110196195012,-0.75431643301612017) (-0.56964042488218081,0.82189402378898424) (-0.99607706123910145,0.088490045051827337) (0.18316080572164464,0.9830829666144143) (0.96417970122875762,0.26524988923357135) (-0.60152587687837888,0.79885331535000559) (-0.63684713910118895,-0.77099009164750631) (0.97928370533317344,-0.20249302325988705) (0.99981896308013452,-0.019027376733644796) (0.91152266121094072,0.41124984875246307) (-0.088666786232126399,-0.9960613440041054) (0.95252506582585872,-0.30446017633418565) (0.49012478554822353,-0.87165227848684435) (0.45147947831426866,0.89228150303649989) (-0.35395844338076676,-0.93526115088752837) (-0.53700434842115252,-0.84357947448759851) (-0.98463750241658843,0.17461096424572531) (-0.25450581667710542,0.96707124312406212) (-0.21106375154779869,-0.97747229770595911) (0.85646558201547962,0.51620413289984823) (-0.98456551987127794,0.17501639089125234) (-0.87967932623688461,0.47556732750623187)
 (1,-5.5511151231257827e-17) (-0.2317526073826367,0.97277475757307241) (-0.63543206919417528,0.77215677516914227) (-0.6137742779488482,-0.78948156136059944) (-0.39434894031715173,0.91896077896216011) (-0.91345694944244626,0.40693537756663539) (0.99156601754405438,0.12960259585295775) (-0.9214476194006368,0.38850261865385088) (-0.94805637850938518,0.31810234700119572) (0.87125264414701353,-0.49083482972058667) (0.86812234951816014,-0.49635026570665725) (0.57139811363372428,0.82067301389519332) (-0.049381021598681962,-0.99878001316900145) (-0.80900157420428753,0.58780647575114719) (-0.34685642019212698,-0.93791823938523677) (0.43752711289485841,0.89920521878039039) (0.70583011753993452,0.70838114399916297) (-0.24480101297025192,-0.96957334124280559) (-0.93521924175857685,-0.35406915969131347) (-0.6198530116110319,0.78471793913273935) (0.0015770282077341435,-0.9999987564902435) (-0.66344454320199242,-0.74822545940077434) (0.87959812594567466,0.47571749687483317) (0.40196251379983761,-0.91565612404423702) (-0.25450581667710537,0.96707124312406223) (0.9840577966850923,0.17784896059094835) (0.77501517336111225,-0.63194262481656105) (0.093424491132138687,-0.9956263678994749)
 (0.99999999999999989,5.5511151231257827e-17) (0.9375453626821959,-0.347863037578168) (-0.47138576106971897,0.8819271309245017) (0.78684260466121669,0.61715372111812905) (-0.085568075026603352,0.99633232635313096) (-0.49049484260924703,-0.87144409423308966) (0.97472207421310664,-0.22342085408864631) (-0.98993159632297778,0.14154658103056234) (0.34024265327823761,0.94033767173828886) (-0.97287231833364107,-0.23134271594352515) (-0.13299481127469914,0.99111673387851074) (-0.40267239342310712,-0.91534416673451624) (0.31588839716251538,0.94879635356492453) (0.54510444894275412,0.83836814093977607) (0.20157674151747529,-0.97947272411190545) (-0.98131971880658553,-0.19238401565973046) (0.77842758804742862,-0.62773441053256263) (0.039490888282295245,-0.99921993061721737) (0.98638646835551991,-0.16444371391185553) (-0.070869288093500682,-0.99748561092635346) (-0.85284562649539308,-0.52216313290740979) (-0.58070200994389853,0.8141161929645655) (-0.24926506383309649,-0.96843529879506285) (0.87959812594567477,0.47571749687483339) (-0.98463750241658854,0.17461096424572536) (-0.059594780654503743,0.99822265157565992) (-0.99781991881754062,0.065995527204172733) (0.5371483540326818,-0.84348778637273736)
 (0.99999999999999989,-1.3877787807814457e-17) (0.67577364246696436,-0.73710920774803157) (0.84092821221050007,-0.54114669167283336) (0.99998152850300948,-0.0060780467904149593) (-0.59129409082971873,-0.80645601129253008) (-0.96510280666022807,-0.26187129009601257) (0.71202311944763053,0.70215602067636385) (-0.56463439243743507,0.82534114333214315) (0.53430406702877353,0.84529235413347537) (0.26044383856739522,0.96548899887688056) (0.39530840812395079,-0.91854845406571073) (0.97248016806810078,-0.23298567061997094) (-0.56555879028663958,-0.82470798148769831) (-0.96920881829642003,-0.24624026181040415) (-0.97618179076012335,0.21695416886605023) (-0.96180246782585277,-0.27374442986862513) (0.48441412206866674,0.87483881849197964) (-0.94635441526555986,0.32313050104776703) (0.9387297999421913,-0.34465397531508923) (0.87793553896645204,0.47877885231042144) (0.78778574282129321,-0.61594936756806939) (0.76875298801279424,0.63954581026021962) (-0.58070200994389831,0.8141161929645655) (-0.66344454320199242,-0.74822545940077434) (-0.53700434842115263,-0.84357947448759851) (-0.66245207623420099,0.74910429627188502) (-0.61209352791243643,-0.79078537738611976) (-0.65302709815206306,0.75733454237813247)
 (1,-5.5511151231257827e-17) (-0.56257060273639914,0.82674924671075734) (-0.37183272042284898,0.92829975117035535) (0.93676241498868629,0.34996596672328706) (0.9925168161803879,0.12210802430285972) (-0.82652139910710876,0.56290530004435735) (-0.98734187801497342,0.15860648132363986) (0.99378091590156492,-0.11135300260813558) (-0.99942857806310004,-0.033801144222806556) (-0.5847023619793692,-0.81124789546460307) (0.97250086811733039,-0.23289925184731558) (0.9943177331173878,-0.10645302066310142) (-0.84386781054322735,0.5365511330050291) (-0.98464972994114963,0.17454199874764104) (-0.44582674305011749,0.89511927427652038) (-0.28489664214456906,-0.95855824199406336) (-0.53670085932722744,-0.84377259234785307) (0.29610440154351947,0.95515558072313778) (0.76104910773085144,0.64869426976201638) (-0.98591026016683658,-0.16727509945524421) (-0.23568217619695192,-0.97183018672146071) (0.7877857428212931,-0.61594936756806928) (-0.85284562649539297,-0.52216313290740968) (0.0015770282077341991,-0.99999875649024339) (-0.35395844338076671,-0.93526115088752859) (0.98234368876290612,0.1870852135998104) (0.13832500892850691,0.99038689001063074) (0.99967210526987005,-0.025606287222208368)
 (1,5.5511151231257827e-17) (-0.233932836142769,-0.97225275940683231) (0.56228966836646277,0.82694034177099685) (0.45885383944367186,-0.88851176358436645) (-0.94019765063754224,0.34062938472135146) (0.6260156083717533,0.7798105270352178) (-0.28111210559750027,-0.95967493667727977) (-0.30705865025447537,-0.95169059326227434) (-0.99823534889180321,-0.059381716233710524) (-0.65195692309123632,0.75825600586702158) (0.14062693338195159,-0.99006265741496779) (-0.99994023710229807,0.010932622000204839) (0.2948805634955749,-0.9555341193659872) (-0.82730176934508159,-0.56175776135136468) (-0.71439191439693706,-0.69974580573539669) (0.90401757294267604,-0.42749529565930017) (0.38528915677053216,0.92279589600033018) (0.93023513109940326,0.36696403211823947) (0.099157897960936381,0.99507171162281982) (0.92407415650002522,0.38221323013308584) (-0.98591026016683669,-0.16727509945524421) (0.87793553896645216,0.47877885231042167) (-0.070869288093500682,-0.99748561092635379) (-0.61985301161103212,0.78471793913273935) (0.45147947831426877,0.89228150303650011) (-0.90460819501832623,0.42624407738487746) (-0.062479765110909913,0.99804623086893418) (0.94299240984653931,-0.33281423492966217)
