# Created by Octave 5.2.0, Fri Sep 17 14:18:41 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
1.1703014581179901e-13


# name: H
# type: complex matrix
# rows: 30
# columns: 30
 (1,0) (1,0) (1.0000000000000002,6.9388939039072284e-18) (1,5.5511151231257827e-17) (1,0) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999978,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,-2.7755575615628914e-17) (0.99999999999999989,2.7755575615628914e-17) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,2.7755575615628914e-17) (1,0) (1,-5.5511151231257827e-17) (1,2.7755575615628914e-17)
 (1,0) (-0.30291077160444696,0.9530189213473147) (0.97206806704046878,-0.23469911171584651) (0.70024219261318787,0.7139053660565059) (-0.29948554222055107,0.9541008384866162) (0.88581679288724069,0.46403513815115599) (-0.42663666329560057,0.9044231075840532) (0.26756651775304008,-0.96353939129519328) (-0.77301372866258622,-0.63438929317822312) (-0.8026345496528271,0.59647110550604443) (0.15606781543592102,0.98774634243061554) (-0.25980328291258981,-0.9656615629649139) (-0.1450255174193317,-0.98942791515969242) (-0.82151322014454764,0.5701894677453585) (0.083862579882744648,0.99647732924307464) (-0.82828025060671062,-0.56031404270719909) (0.20110977228702631,0.97956871095939968) (0.98241736257552259,-0.18669795314934401) (-0.94606146894107102,0.32398718645196689) (0.10551931965771982,-0.99441725305777551) (0.18610262780711284,-0.98253031094378318) (-0.57998484527518479,-0.81462726399938279) (-0.061906363848055146,0.99808196162194618) (-0.76287239591124889,-0.64654907590733668) (0.9992182360483064,-0.039533741898668873) (-0.75536947272590926,-0.65529913755000579) (-0.23063389894219816,0.97304059764159889) (0.078929759381864584,-0.99688017990324251) (0.98551073429536173,0.16961306726964182) (0.39170019449734139,-0.92009290706468616)
 (1,0) (-0.9955161579829036,0.094591644424646903) (-0.94550889247578918,0.32559627493140575) (-0.1550439049487379,0.98790758046400562) (-0.76694191440299775,-0.64171652614831798) (-0.92709118091830711,-0.37483588710727661) (-0.86740294540242258,-0.49760640099098441) (-0.30425722972195635,0.95258991080208277) (-0.8495809100223799,-0.52745831809304544) (0.34698807840340562,0.93786953967271569) (0.36395623487346102,-0.93141605048266873) (0.732512639630998,0.68075343023801682) (-0.72486331847029006,-0.68889271264561824) (-0.40414360691143447,0.91469554770569161) (0.45966677448211402,-0.88809146850828902) (0.99413858315965387,0.10811326224528042) (0.99994793428361672,-0.010204348187267454) (-0.70187540347673272,0.71229973887007247) (-0.79573464713343101,-0.60564541718024534) (-0.80996518886112046,0.58647795596524166) (-0.10934951830152279,-0.99400336158748726) (-0.74062148934028849,-0.67192247285484696) (0.81875708245151302,0.57414008737893041) (0.93500634210702693,0.35463099162317596) (0.25807517682884845,-0.96612483826095585) (0.26919377026653435,-0.963086036680881) (0.85521595702446573,0.51827180788725791) (0.090613218728783307,0.99588616045791589) (0.98831378183453189,-0.15243316120819755) (0.98551073429536185,0.16961306726964187)
 (0.99999999999999989,0) (-0.13687735453414956,0.99058800205521058) (-0.87658378002392434,0.48124928737502493) (-0.95738739680100893,-0.28880680817215376) (-0.95841862385884513,-0.2853659780711747) (-0.53284069882129637,-0.8462155692727662) (0.60880504771262833,-0.79331986857737558) (-0.5820655738026379,0.81314184973705816) (0.73518515890151814,-0.67786634532992507) (0.96793309766621694,-0.25120811778738739) (-0.7766266417845491,0.62996115695370736) (-0.9981556757134753,0.06070623560207547) (0.41942779773191152,-0.90778869925206618) (0.99985185751345651,-0.017212292900421061) (-0.98696400612964141,-0.16094114018649722) (-0.78453620357984177,0.62008301482344264) (0.26152586631477504,0.96519646769365419) (0.93288979758993518,-0.36016194350959729) (0.27409541708291657,-0.96170250199016383) (-0.55291267144168366,0.83323920800645257) (0.57282371342005467,0.81967859148794286) (-0.62261544918036482,0.78252795633250871) (0.58777870416206368,-0.8090217518296805) (-0.41380317139623946,-0.91036637423754574) (0.98838857459363116,0.15194744358747833) (-0.72094907901138416,0.69298804136336789) (0.94446031695656385,0.32862548546073961) (0.4380279983227211,-0.89896132991658229) (0.090613218728783362,0.99588616045791556) (0.078929759381864584,-0.99688017990324229)
 (1,0) (-0.97395434808081893,-0.22674419034336346) (-0.98409113874633536,0.17766437639814736) (0.21233942602320466,-0.97719597223695898) (0.86875090833966684,0.49524929001363072) (0.63878756888612354,-0.76938315671488156) (0.19886062016227596,0.98002778213103436) (0.74890495928486278,-0.66267741923090939) (0.33473445528257467,0.94231249829696984) (-0.99419191223800241,-0.10762175263646212) (-0.88249819946050567,0.47031577471839647) (-0.52052244006111437,0.85384798962861241) (-0.95957886913049828,0.28143985843912295) (-0.96818249160670888,0.25024520564083536) (-0.98381032620715481,0.17921284007618504) (-0.62676695800381044,0.77920676354524199) (0.58139741020005231,-0.81361972162225293) (-0.86209107116525541,0.50675337691735622) (-0.70142467685496923,-0.71274358832535367) (0.29967611458676929,-0.95404099825226418) (-0.63964614710185252,0.76866950407685297) (0.96558119036717538,0.26010183545893645) (0.60917083318299292,-0.79303902552089967) (-0.31309079466090672,-0.9497231987787822) (0.8550320253754109,-0.51857519761595117) (0.7090181550159449,-0.70519022671743359) (0.81855333157204635,-0.57443053833540547) (0.94446031695656374,0.32862548546073983) (0.85521595702446573,0.51827180788725791) (-0.23063389894219821,0.973040597641599)
 (1,-2.7755575615628914e-17) (0.99718759307826621,0.074946008638049608) (0.23858122001691928,0.97112254708416634) (-0.37437065689918214,0.92727914419169066) (0.28153425593648695,-0.95955117775671017) (0.6946532350149941,-0.71934475954385302) (0.78392517287433461,-0.62085531594240539) (-0.16134928725861217,-0.98689736421835494) (0.26663419859114734,0.96379780251962421) (-0.35007069036826427,0.93672328451100517) (-0.960610115862785,0.27789963170556053) (0.55269966359122025,-0.83338051445072259) (0.16838874577967991,-0.98572066544977432) (-0.90216402297479836,-0.43139317988341708) (-0.84210392646549281,0.53931528536784457) (0.18084891241159398,-0.98351089006657377) (-0.23981695962398453,0.97081812193464345) (-0.98008323373758299,-0.19858714698208133) (-0.88850862005745623,-0.4588599264302724) (0.78605895892883626,0.61815152922864569) (-0.25593812819616363,0.96669316462642019) (-0.15675221252245289,-0.98763796194218634) (0.99573927147881724,0.092213357138936525) (0.43087184752634666,0.90241312657187844) (-0.83054052304477777,0.55695820272306507) (0.063291928237725198,0.99799505600977334) (0.70901815501594467,-0.7051902267174337) (-0.72094907901138416,0.69298804136336789) (0.26919377026653429,-0.963086036680881) (-0.75536947272590926,-0.65529913755000579)
 (1,0) (-0.39570292739788299,-0.91837856750293712) (-0.63986692230376863,0.76848573294596967) (-0.15973633267674403,-0.9871597155592321) (0.99964338438182776,-0.02670400834420239) (-0.053333847330420014,0.99857673752643361) (-0.88038170144903516,-0.47426581128487644) (0.89726950802873395,0.44148321594583123) (-0.18828737495826015,-0.98211397731186312) (0.99860753308924544,-0.05275409801533959) (0.87096155687458876,-0.49135116408388757) (-0.95178526774911942,-0.30676506335587894) (0.9625562030135415,-0.27108219425140001) (-0.91362795978957811,-0.40655128961882836) (0.34524825042197926,0.93851139874833822) (-0.77160396851379343,0.63610322729393975) (-0.74168337517869221,0.67075015541074912) (-0.61327577376981002,-0.78986886589296734) (-0.66402787884675873,0.74770781466711611) (-0.13176649696773662,-0.99128078276382037) (-0.13855715085229692,0.99035443955570446) (-0.47619780952130097,0.87933818648294482) (-0.68947384832419756,0.72431057736099747) (0.99673599433646687,0.08073015294234348) (-0.93188728431840862,-0.36274796943010162) (-0.83054052304477799,0.55695820272306529) (0.8550320253754109,-0.51857519761595139) (0.9883885745936315,0.15194744358747841) (0.2580751768288484,-0.96612483826095608) (0.99921823604830662,-0.039533741898668928)
 (1,0) (-0.34035037094371956,0.94029868924638693) (-0.56810232956783924,-0.82295792306751347) (-0.99912368177284117,0.041855328462239438) (0.98325229660160052,0.18224961242120516) (0.8797872168377826,0.47536770303506026) (-0.86094394859641254,-0.50869983032749055) (-0.72051209917221282,0.69344236598757902) (-0.37721103376253973,-0.92612733250228385) (0.7096288095355171,0.70457572529658175) (0.16912614511112881,0.98559441305227058) (-0.67200642796849186,-0.74054531310989102) (-0.20434803082517614,0.97889830028347313) (-0.66618883302717913,0.74578310436070128) (0.36558291303824764,-0.93077877806408416) (0.27809053793179583,-0.96055486710172089) (-0.75285175060989296,-0.65819012572631319) (-0.63446850386440135,0.77294871602459458) (0.81376327037418628,0.58119647262342311) (0.64371522047257479,0.76526512721536233) (-0.99552996320252418,-0.094446240613279886) (0.90468278710200434,-0.42608573635050162) (-0.82656698081159086,-0.5628383659915257) (0.99772693511853938,-0.067386667368005637) (0.99673599433646687,0.080730152942343453) (0.4308718475263465,0.90241312657187844) (-0.31309079466090683,-0.9497231987787822) (-0.4138031713962394,-0.91036637423754574) (0.93500634210702693,0.35463099162317596) (-0.76287239591124878,-0.64654907590733668)
 (1,-5.5511151231257827e-17) (-0.38509123683810353,-0.92287850734021315) (-0.55857902307541218,-0.82945130958973068) (0.49008789765316729,0.87167301929903629) (0.42663263405491852,0.90442500825627503) (-0.99930692599763593,0.037224557125038471) (0.23099531694196013,-0.97295486203157622) (0.10131427045428304,-0.99485447106715863) (-0.70944234668608508,0.70476347573390952) (-0.98752252779023775,0.15747779877423551) (-0.077856589693658385,-0.99696456879934925) (-0.42139475221577027,0.90687731408664607) (-0.014708889674637626,-0.9998918184306429) (0.89301053973137567,0.45003574961182358) (0.99832272607674333,-0.057894167225204185) (0.26284699035052317,-0.96483753019027618) (-0.81170135067284277,0.58407269865649636) (0.98516905545711841,-0.17158651511622297) (0.33882937324951168,0.94084783882588741) (-0.022860222330328861,0.9997386709710735) (-0.3481481589011251,0.93743952309136025) (-0.94154081812599089,-0.33689892817080969) (-0.88255466025931717,-0.47020981662930095) (-0.82656698081159086,-0.5628383659915257) (-0.68947384832419756,0.72431057736099747) (0.99573927147881736,0.09221335713893658) (0.60917083318299303,-0.79303902552089989) (0.5877787041620639,-0.80902175182968072) (0.81875708245151302,0.57414008737893052) (-0.061906363848055201,0.99808196162194629)
 (1,0) (0.96994309892159924,0.24333184102037569) (-0.76859028113571715,0.63974133815450751) (-0.9901542206504742,-0.13998078199542718) (0.26671520709305663,0.96377538789144712) (0.99979664913691624,-0.020165821941948686) (-0.94222269259920577,-0.33498716027797548) (-0.42776722840716974,0.90388893029002648) (0.74733070838316817,0.66445226488252107) (-0.9961600235553254,-0.087551170581859752) (-0.92985033529014027,0.36793797569809661) (0.39190371138573582,0.9200062396538865) (0.22554070647820329,-0.97423374490997439) (0.77543546996694812,-0.63142682229783076) (0.94895248988184,0.31541904182698954) (-0.45724273065311805,0.88934193945010864) (0.0015350849712884862,-0.99999882175637145) (0.76657026952442486,0.64216043313275772) (0.53484710959721526,0.8449488560590539) (-0.29733695497355006,-0.95477260916254669) (0.14756930321457351,-0.98905171793428759) (-0.31936669479386626,-0.94763121215821178) (-0.94154081812599089,-0.33689892817080969) (0.90468278710200434,-0.42608573635050179) (-0.47619780952130086,0.87933818648294482) (-0.15675221252245289,-0.98763796194218634) (0.96558119036717549,0.26010183545893639) (-0.62261544918036482,0.78252795633250904) (-0.7406214893402886,-0.67192247285484696) (-0.57998484527518479,-0.81462726399938268)
