# Created by Octave 5.2.0, Fri Sep 17 14:20:46 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
8.4953632425315818e-14


# name: H
# type: complex matrix
# rows: 31
# columns: 31
 (1,0) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000004,-1.110223024625157e-16) (1,-5.5511151231257839e-17) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-8.3266726846886765e-17) (1.0000000000000002,-6.9388939039072308e-17) (1.0000000000000004,-6.9388939039072321e-17) (1.0000000000000004,-5.5511151231257864e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-8.3266726846886765e-17) (1.0000000000000002,-4.1633363423443395e-17) (1.0000000000000004,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000004,-5.204170427930425e-17) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-4.1633363423443395e-17)
 (1,5.5511151231257827e-17) (-0.82208083430215706,0.56937079471383978) (0.85172987255016208,-0.52398112962747512) (-0.17063104749855035,0.98533499157877691) (0.38976086399921805,0.92091610307051519) (-0.37493292765058805,0.92705194016482084) (-0.99911358354048518,0.042095690811414177) (0.10806051855296189,0.99414431765718247) (-0.20214819741686685,0.97935494397134271) (-0.81965577743737472,-0.57285635766179033) (0.79046192024784012,-0.61251118572487928) (0.98558402228280062,-0.16918668689012129) (-0.49894612548930772,-0.86663300413681976) (-0.96555099757395291,-0.26021389487101615) (0.2024493305313525,0.97929273895368385) (-0.26317363267411042,-0.96474848487318798) (0.23399058021177721,0.97223886384579217) (-0.36183084354500866,-0.93224376675819454) (-0.57049052656686894,-0.82130418183365927) (-0.99259558874493603,-0.1214660331289959) (0.92022828391175571,-0.39138204543492539) (0.91918046068512627,-0.39383661675202197) (0.90017287327540496,-0.43553277513764987) (-0.14267141647715847,0.98977010811622368) (0.35963506251667521,-0.93309304027445594) (-0.99955941205449506,0.029681337120694706) (0.90758862353838687,0.41986056069092303) (0.99977031952418183,0.021431476816011985) (0.53682952030245024,-0.84369074081196471) (-0.96277569459543977,-0.27030161282587423) (-0.95928564656279269,0.28243768923181112)
 (1,-5.5511151231257827e-17) (0.94942211623548156,-0.31400261973897636) (0.64411973066073636,-0.76492468424907079) (-0.093576939071471521,-0.99561205118962626) (0.99835120845059477,0.057400911014012845) (0.96369435033434137,0.26700786343040911) (-0.58797298649576957,0.8088805642066359) (-0.13553580996069575,0.9907724482535325) (0.9280650271804376,0.37241818608195537) (-0.89114914520434418,0.45371048147642268) (0.97202623040924008,0.23487232147786907) (-0.85621220040496737,0.51662430051022978) (0.39498578857223887,0.91868723014199294) (0.027192389825811514,-0.99963021859863865) (-0.33887382144686495,0.94083183042348162) (-0.98314998791671804,0.18280071460297259) (-0.9767290661476481,0.21447687833970225) (-0.94921121235731098,0.31463959435386452) (0.77060926464159973,-0.63730790144837535) (-0.19769107986259471,-0.98026437094426822) (0.99998219114273501,0.0059680312814205938) (-0.8675206542356142,0.49740116050790689) (-0.84238761184863287,0.53887207331977915) (-0.021134244217040632,-0.99977664691738777) (-0.69859023454243407,-0.71552196626095776) (0.5847123031968009,-0.81124073029544874) (0.77128401929836077,0.63649113236161092) (-0.73775400109571299,-0.67506965112295392) (-0.76718580778145806,0.64142492650248017) (0.90300587723634052,-0.4296281946947007) (-0.96277569459543977,-0.27030161282587417)
 (0.99999999999999989,0) (0.63757760215175707,-0.77038613774808784) (-0.41338244524667145,0.91055749624166116) (-0.82666828324131736,-0.56268956759731503) (-0.71944581235005423,0.69454857504135148) (0.16726074028956722,-0.98591269631635592) (0.99896379800397461,-0.045511869632816296) (0.96975473659288158,0.24408144307929383) (0.99783603598681625,0.065751389993805531) (0.75319308879037339,0.65779949148537398) (0.16615761519677719,-0.98609920743915014) (-0.97872920717021838,0.20515637701995915) (-0.97325351669301252,-0.2297337420682567) (0.40457582369323025,0.91450445755225518) (-0.90028656101332372,0.43529772347073431) (-0.98118364770242927,0.19307679684870138) (0.63940250156583567,0.76887218768229115) (-0.7579036032838129,-0.65236655963454504) (-0.93235984755802015,-0.36153162332164718) (0.66527121410247991,-0.74660177583944454) (0.76744170857933247,0.64111872842152706) (-0.7822417985241068,0.62297493420022243) (0.32012317287264358,-0.94737593076347071) (0.64394531871280625,0.76507151725042177) (0.99733415531701219,0.072969737823997433) (-0.88045325705848509,-0.47413295828818441) (-0.70619586374401144,0.70801652666505577) (-0.90574286646592339,-0.42382762987574574) (0.85936548567490811,-0.51136186994214727) (-0.76718580778145795,0.64142492650248017) (0.53682952030245001,-0.84369074081196471)
 (1,0) (-0.92169012751708124,-0.38792693749924911) (0.91027711360187524,-0.41399948846905393) (0.030956040191656375,-0.99952074694608151) (0.93254020418681027,-0.36106615401505421) (0.58156712889965145,-0.81349841707492998) (-0.90443952637999314,0.42660185550643637) (-0.75149292479334351,0.65974114922865446) (-0.99321556563372093,0.11628774734634389) (0.10889421917142533,-0.99405334315168692) (0.48644374404596591,0.87371189981511788) (0.84203731356001299,-0.53941928272229589) (-0.27165840905697619,0.9623937389595969) (0.071565675865544187,0.99743588968810815) (-0.92726781295705496,-0.37439872202484914) (-0.28350041152622768,0.95897211464383025) (0.5426966971341195,-0.83992874395374628) (0.99821069772722837,-0.059794673198538706) (-0.89468314614618305,0.44670131855857204) (0.074927612325515702,0.99718897552630281) (0.97111155964328244,-0.2386259389236462) (0.27204875036482185,0.96228347041032514) (-0.99292209143733257,0.11876750538642417) (0.097500165998609278,0.99523550862609622) (0.78235743578188721,0.62282970600059728) (-0.49976355632825636,-0.86616187157259128) (0.35283192100320615,-0.93568671868376274) (-0.97160615968798847,-0.23660403727823154) (-0.90574286646592339,-0.42382762987574568) (-0.73775400109571299,-0.6750696511229537) (0.99977031952418183,0.021431476816011985)
 (0.99999999999999989,0) (-0.80968956139834947,0.58685842770002772) (-0.98480127524932493,0.17368491087973997) (0.27328506010598108,0.96193309326733889) (0.92458783700017311,-0.38096893793502695) (0.0065195684585983293,0.99997874738772041) (-0.52873755720851856,0.84878536485802425) (-0.54000016429768416,-0.8416649110890122) (-0.5127256276284029,-0.85855252068412247) (0.89065987302714222,0.45467019979241508) (-0.54094146507662844,-0.84106024240880117) (0.6437987277388374,0.76519487593805402) (-0.89727719799279504,-0.4414675865363154) (0.49421049279602125,-0.86934227368184169) (-0.95624261999647575,0.2925748651239129) (-0.095857391056328192,0.99539507763494273) (-0.99955514815906543,-0.029824583630112048) (-0.98348724205883764,-0.18097747016549143) (-0.63527647592740399,-0.77228479146831464) (0.93492760235682293,-0.354838524333706) (0.4781648198891793,0.87827012076032163) (0.78556625066438734,-0.61877755762236319) (0.67986946087409339,0.73333315496489748) (0.0026782897913340264,-0.99999641337546541) (0.96921148157776804,0.24622977882016805) (-0.81315990812489913,-0.58204034552452266) (-0.11123653020156717,-0.99379395970629458) (0.35283192100320626,-0.93568671868376274) (-0.70619586374401155,0.70801652666505588) (0.77128401929836066,0.63649113236161114) (0.90758862353838698,0.41986056069092292)
 (1,0) (-0.50705487173199415,0.86191377588065676) (0.041175531251704645,0.99915192820018128) (-0.42267220123621591,-0.90628263268261533) (-0.4442404641981833,0.89590759008336573) (0.42576872372061864,0.90483202524077155) (-0.46348084448676719,-0.88610693868958823) (-0.99987911815147357,-0.015548282369192812) (0.69657895590798702,-0.71748014480272548) (0.35382891886144474,0.9353101604159666) (0.81357426624664309,-0.58146101614917955) (-0.92263283167915433,-0.385679475611168) (-0.084230080238504423,-0.99644633251521153) (0.9590448459128138,0.28325427362719119) (0.99278183790626606,-0.11993424166374339) (0.83958587514372185,0.54322698594524044) (-0.8400249757702869,0.54254773069484807) (0.6987822504881408,0.71533444374133814) (0.75680711868323469,0.6536382677830147) (0.84141231571622743,0.54039366665520439) (0.36406651402001478,-0.93137295073956006) (0.97271449693195788,0.23200540394225494) (0.019687707710571545,-0.99980617829912588) (-0.50818834848500993,0.86124595933106074) (-0.99803270328030758,0.062695479765312756) (-0.97714908887411567,0.21255507077575597) (-0.81315990812489913,-0.58204034552452266) (-0.49976355632825636,-0.86616187157259139) (-0.88045325705848509,-0.47413295828818453) (0.58471230319680101,-0.81124073029544852) (-0.99955941205449494,0.029681337120694595)
 (0.99999999999999989,0) (0.83861832190091201,-0.54471947842178203) (0.0099314763243513182,-0.99995068167286061) (0.98723228627003334,0.15928720270644381) (-0.69161182535032784,0.72226939782576183) (0.64150604422719404,0.76711797998741882) (0.43697580164148153,0.89947326184816934) (-0.8469864004304537,0.53161455725540807) (-0.24622704657478206,0.9692121757051243) (0.98714655441171151,-0.15981764643832941) (-0.83668903451266374,-0.54767824452525682) (-0.72425565142344606,0.68953154487753443) (-0.096601554048356963,-0.99532313333682909) (0.2070898872334416,-0.97832191972051852) (0.11277254746748597,-0.99362082935981888) (0.3493228026651447,0.93700244372048902) (0.35954608012645012,-0.93312733121782732) (-0.79195999104936687,-0.61057298710071239) (-0.21792250815196762,0.97596607545588165) (0.64952686620383904,0.76033864171132337) (-0.98037183246782045,-0.19715747539388101) (0.0024857955708378898,0.99999691040541716) (-0.982602529744803,0.18572094265083494) (-0.98152240013012471,-0.19134727080049924) (-0.59731888752937112,-0.802003832036154) (-0.99803270328030746,0.062695479765312867) (0.96921148157776771,0.24622977882016794) (0.78235743578188699,0.62282970600059717) (0.99733415531701197,0.07296973782399746) (-0.69859023454243396,-0.71552196626095754) (0.35963506251667521,-0.93309304027445594)
 (1,0) (-0.82692501812103647,-0.56231220367827983) (0.99716279072037362,0.075275286799563357) (0.18539620907246834,0.98266385181381233) (-0.82063209678011417,0.57145687653074462) (0.70339738718546885,-0.71079681745253775) (0.44784308799494971,-0.89411216775925184) (-0.80065185055318744,-0.59912988091544628) (0.74861113930330947,-0.66300932279342917) (0.88191119613895463,0.47141557263709388) (0.92748038073442762,0.37387182743919389) (0.041693527946571329,-0.99913044680230234) (0.080218484905341114,0.99677730445646273) (-0.97979038686911413,0.20002699267566937) (0.35520722176812125,0.93478758528543437) (-0.49789872713649863,-0.86723518004971112) (-0.81971040190836075,-0.57277819180135892) (-0.36191974166718921,-0.93220925794134613) (-0.94980139848473921,0.31285348557501025) (0.99965088716273598,-0.026421653898943742) (-0.093687002813613585,0.99560170023147432) (-0.54318085796681526,-0.83961571896816878) (-0.68149513033041698,0.73182264746038617) (0.91651293450494864,-0.40000505107451934) (-0.98152240013012504,-0.19134727080049918) (-0.50818834848500982,0.86124595933106085) (0.0026782897913339432,-0.99999641337546541) (0.097500165998609334,0.995235508626096) (0.64394531871280614,0.765071517250422) (-0.021134244217040576,-0.99977664691738777) (-0.14267141647715853,0.98977010811622357)
 (1,5.5511151231257827e-17) (0.68083363013075071,0.73243809846497254) (0.097344660399744154,0.99525073076670423) (0.99463245176957871,0.10347118384766604) (0.66687475653406703,0.74516981896587198) (-0.9333665210333566,0.35892469602144955) (0.82820572331317288,0.56042419636495444) (0.2113145348306246,-0.97741811287151714) (-0.76303222073829935,-0.6463604490647461) (0.25515207551114766,0.96690093513366437) (-0.30648514123243176,-0.95187544258885981) (0.069958578597731524,-0.99754989713827658) (0.58415339973052149,0.811643274834009) (-0.99920891860061745,-0.039768542706326904) (-0.8533577544416171,0.52132575510362256) (-0.69800373811269911,-0.71609411503006981) (-0.78364646609044109,-0.62120706385549451) (0.99534747597918805,0.096350412878515423) (0.90035704380755444,0.43515192021421834) (-0.33309963962203498,-0.94289163220577521) (-0.5410773129002987,-0.84097285417817969) (0.89863988212608625,-0.43868708922467098) (-0.39198235132990072,0.91997273668619317) (-0.68149513033041709,0.73182264746038628) (-0.98260252974480322,0.185720942650835) (0.019687707710571434,-0.9998061782991261) (0.67986946087409339,0.73333315496489759) (-0.99292209143733279,0.118767505386424) (0.3201231728726438,-0.94737593076347093) (-0.84238761184863309,0.53887207331977904) (0.90017287327540496,-0.43553277513764999)
