# Created by Octave 5.1.0, Fri Sep 17 15:39:02 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.2010804158176348e-13


# name: H
# type: complex matrix
# rows: 34
# columns: 34
 (1,0) (0.99999999999999989,-8.3266726846886741e-17) (1,-5.5565361339882102e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (0.99999999999999989,-1.1102230246251565e-16) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1.0000000000000002,-5.5511151231257839e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,0) (1,-1.1102230246251565e-16) (1,-1.1102230246251565e-16) (1,0) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257821e-17) (0.99999999999999989,-5.5511151231257821e-17) (1,-5.5511151231257827e-17) (1,-1.1102230246251565e-16) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1.0000000000000002,-5.5511151231257839e-17) (1,-1.1102230246251565e-16) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-2.7755575615628914e-17) (0.99999999999999978,-1.1102230246251564e-16)
 (0.99999999999999989,0) (-0.43919796002483014,-0.89839031156286842) (-0.037409556791920096,0.99930001754259534) (0.53168597967277964,-0.84694156765351658) (-0.30525571643574795,0.95227041725725037) (0.3883942696149435,0.92149329424053572) (0.88437457355918181,-0.46677790612026127) (-0.35068444419428146,-0.93649368422864887) (-0.018652900556843904,-0.99982601951580363) (0.95646343260563738,-0.29185219219365327) (-0.17950582456620565,-0.98375691049507041) (-0.425290441552508,-0.90505692656543602) (-0.99620250165433544,-0.087066501581505612) (0.87394392443102042,0.48602676567253644) (-0.7943891022977061,0.6074092147396557) (-0.92333082381587794,0.38400545541891928) (-0.50952015862100819,-0.86045871949723551) (-0.60732877120312101,0.79445060492701991) (-0.90183899077963903,0.43207225635252411) (0.79705045400246066,0.60391272032841847) (0.38125145352304968,-0.92447137824086378) (0.99963988025653294,0.026834861667318993) (0.097621601618798404,0.99522360447156832) (-0.83018820968211349,0.55748321634360076) (0.94419394496045994,-0.32939003369865977) (0.71293437422091177,-0.7012307594895113) (0.4979812289099434,0.8671878087550251) (-0.63523935636898998,0.77231532428141758) (-0.98077022144600712,0.19516601324193053) (0.35189618491503538,-0.93603903499920527) (-0.98156824478479832,0.19111195888821284) (-0.86241894427419918,-0.5061951842490956) (0.99901559545342866,-0.044360343109929201) (0.36234527130595018,0.93204393907273331)
 (1,0) (-0.99648054879605319,0.083824315512366909) (-0.046487744279774701,-0.99891886038445488) (0.82420178465919136,-0.56629622828039683) (0.94629595712483106,-0.32330165717051218) (-0.27837466013900863,0.96047256524717639) (0.87090801125626927,-0.49144606614525882) (-0.89013142889587271,0.45570389431273489) (0.0061728717846231684,0.9999809476454693) (-0.99843430191353089,-0.055936971337748054) (-0.99440164580113688,0.10566629939573957) (0.24641934983338165,0.96916330101159598) (0.99982558909874764,0.018675957360777984) (-0.82233207861869695,0.56900786679504889) (-0.22361851668272076,0.97467674589918296) (-0.62578900173769458,-0.77999238797833137) (0.84832925761510702,-0.52946904600193645) (0.46961070476880545,-0.88287359568997559) (-0.83827338771400151,-0.54525015126131904) (-0.54164654790413902,0.84060633898604886) (-0.15977502454418702,-0.98715345389250642) (-0.70471806885518351,-0.70948745121321277) (0.95538266987030784,0.29537087553020924) (-0.94975456480689679,0.31299563356133525) (0.5279846033804787,0.849253942347728) (-0.67576122475656086,-0.73712059197631496) (0.5997491896321262,-0.80018804635885887) (-0.51227533299763139,0.85882127547130871) (-0.65040819686336271,-0.75958487179047274) (0.86080231431530019,0.50893946169404347) (0.8586921085610556,0.51249181719805859) (0.65126885808226187,-0.75884706923874101) (-0.75599659012946407,0.65457555386114341) (0.99901559545342855,-0.044360343109929312)
 (1,0) (-0.39891270908857213,-0.91698890425545332) (-0.0021295981473120063,-0.99999773240329459) (-0.84807192460887126,-0.52988112883004757) (0.24490650209298975,0.96954670090335315) (0.63168896249411932,0.77522193897173963) (0.15849631680411391,0.98735956852583884) (-0.73636120232084501,-0.67658863404331637) (0.43266068627331883,0.90155683711760592) (0.25510933108243483,0.96691221379951209) (0.080057240954004349,0.99679026789532443) (0.48010270863831789,0.87721228283588859) (-0.11716242686469752,-0.99311276586859665) (0.84158266336715126,0.54012833726796106) (0.3495373074808496,-0.936922446459171) (-0.12391082302588091,-0.99229335780153716) (-0.3934686233950086,0.91933804577186806) (-0.1386461557891514,0.99034198309719823) (-0.086327775534811246,0.99626678915399547) (-0.29679330339682486,-0.95494174432726542) (0.53362169117922564,0.84572329440723304) (-0.089131317523577391,-0.99601988345439774) (0.6708602609921972,-0.74158378503138955) (-0.96961786200007949,0.24462461382778863) (-0.81986101474293172,0.57256258741266997) (0.9605499907435362,0.27810738084882358) (0.34468673934427985,-0.93871777000342793) (0.19368352588942292,0.9810640610067427) (0.3762821661139894,-0.9265051168043078) (-0.95410164318604962,0.29948297859758322) (-0.92641023029609204,-0.37651571707266335) (-0.4417693973373108,-0.89712864159842221) (0.65126885808226209,-0.75884706923874123) (-0.86241894427419941,-0.50619518424909549)
 (1,0) (0.83353349030116441,0.55246893174762191) (-0.61872329014017668,0.78560899322634714) (0.99961656952801525,0.0276895995825579) (-0.33150665864048762,0.94345287920331167) (0.3836240332440104,-0.92348936166996409) (-0.99164661800090559,0.12898443707426793) (-0.49909984586834621,0.86654448463664768) (0.19248977819839613,-0.9812989785427948) (-0.95638704260311269,-0.29210242166211492) (-0.56594926584778116,0.82444006967538719) (-0.49740359992390665,0.86751925556885379) (0.81012316264129658,0.58625972175483998) (0.14019835938303976,0.99012343676245917) (0.81794137260334965,-0.5753015826362281) (-0.53779583895410898,-0.84307510673939667) (0.37200852857220246,-0.92822931146863963) (0.86465748936046904,0.50236184776797199) (0.74361591240473124,0.6686070406587703) (0.20265570448369258,-0.97925005256074282) (0.9043463866010788,-0.42679926551198766) (-0.87566267899366668,-0.48292325748262921) (-0.75325827995259587,0.65772483888238331) (-0.3771806092016437,-0.92613972382264054) (0.44147247426328928,-0.89727479317534009) (-0.33981612684647672,-0.94049189254084442) (-0.69628836857316512,-0.71776215265902621) (-0.87300984898514666,-0.48770257696154473) (0.79687774026574443,0.60414060206955134) (0.9770597182063101,0.21296550673431969) (-0.51720628100543431,0.85586077307499464) (-0.92641023029609171,-0.3765157170726634) (0.85869210856105549,0.51249181719805859) (-0.98156824478479821,0.19111195888821286)
 (1,0) (0.259409638445665,0.96576738373248538) (0.72775062947813751,-0.68584183402164534) (-0.15022409225404845,-0.98865197218558531) (0.50570153691948605,-0.86270849975948949) (0.9913916764876809,0.13092953750374858) (-0.10019992497557401,0.99496732360157891) (-0.29107642995456406,-0.95669980240664099) (-0.7672843290945156,-0.64130707022921485) (-0.089710070688601207,0.99596792278519031) (0.30337745115192039,-0.9528704645084578) (-0.93778673612197383,-0.34721180503216698) (-0.71740836882455694,0.69665287793885367) (-0.24210000056312742,-0.97025130235796808) (0.56560116654991177,0.82467891957863149) (0.68600781119886356,-0.72759417464280474) (0.61362520724210168,-0.78959743226348356) (-0.33785378393963778,-0.94119860851877024) (0.96328017359317208,0.26849824424436836) (0.0022335465369819896,-0.9999975056318221) (0.70560934785401508,0.7086010501128488) (-0.97549918667018787,0.22000303817402611) (-0.56341005130883004,0.82617741078062701) (-0.4385150601727632,0.89872384078852474) (0.50563065094260073,0.86275004771217645) (0.12724255582860342,0.99187163080017815) (-0.78027196727515902,0.62544037052668167) (-0.99391211367275167,-0.11017581537961318) (-0.87501750727746352,-0.48409127440797151) (-0.93224834368598153,0.36181905103897427) (0.97705971820630999,0.21296550673431963) (-0.95410164318604951,0.2994829785975831) (0.86080231431530008,0.50893946169404347) (0.35189618491503527,-0.93603903499920516)
 (1,0) (0.68637631373273855,-0.72724655787886483) (-0.55185640114969003,-0.83393915396155383) (0.85002376034909244,-0.52674434675845161) (0.19884972879361551,0.98002999207101049) (0.22631179077463481,0.97405491290603197) (0.65481170615016349,0.7557920543963873) (0.57902278020143028,0.81531136384071434) (-0.62380517285656367,-0.78157987839848619) (0.040430677893554201,-0.99918234586339028) (0.43519004122807953,0.90033861852966313) (-0.47119374293072958,-0.88202973681329466) (-0.082084628185252306,0.99662536281979497) (-0.58329527324475161,-0.81226019489467127) (-0.30874703709165091,0.9511441883789894) (0.21423418332558936,-0.97678232718186364) (-0.13779536966570483,-0.99046071910939049) (-0.81558614969962484,0.57863566466140048) (-0.40755522642186326,0.91318056123431779) (-0.53172717534237834,0.84691570477965206) (0.033780647630355487,-0.99942927105707358) (-0.43924277733993999,0.89836840024273767) (0.77808115845045867,-0.62816376118365191) (0.9385333552037004,-0.34518855886324373) (-0.97102626662012592,0.23897277990135163) (0.095887362723884151,0.99539219088249753) (-0.84600846489781256,-0.53316946398049248) (0.9404061983214892,-0.34005320489376933) (0.4310199998744022,0.902342373884918) (-0.87501750727746352,-0.48409127440797139) (0.79687774026574432,0.60414060206955122) (0.3762821661139894,-0.92650511680430758) (-0.6504081968633626,-0.75958487179047263) (-0.98077022144600701,0.19516601324193053)
 (1,0) (0.25541702506928665,0.96683097969849729) (-0.54840598494342008,-0.83621221928302225) (0.98517108016927191,0.17157488976569452) (-0.048113677361681872,-0.9988418663886367) (0.9200274578505292,-0.39185389726413722) (-0.49471489994986267,-0.86905533067095198) (-0.6403760086950393,0.76806156490727451) (-0.90485519860313435,0.42571947284671152) (0.69852768287023426,0.71558303240360721) (0.99841082514069557,0.056354451837238147) (-0.76926559743250444,0.63892913582557243) (-0.20556411474218822,-0.97864365053387026) (0.70763217070880102,-0.70658100100268062) (-0.88155599298491272,-0.47207947554663376) (-0.1159105602446959,0.99325965488575074) (0.99253157692711069,-0.12198798630431693) (-0.75778444312547422,-0.65250497144237585) (-0.64679828957256691,0.76266111255655422) (0.95348792507858871,-0.30143121392670602) (-0.4101161048415875,-0.91203332206096754) (-0.25423039994112873,0.96714368309252463) (0.85073983188150437,0.52558704174497128) (0.47651013836176637,-0.87916897581662323) (-0.88154546884604879,0.47209912768082901) (0.68075499527237737,-0.73251118517856484) (0.91273079535699408,-0.40856149501267147) (-0.99235783558930646,0.12339337966239168) (0.94040619832148908,-0.34005320489376933) (-0.99391211367275167,-0.11017581537961316) (-0.87300984898514666,-0.48770257696154468) (0.19368352588942289,0.98106406100674248) (-0.51227533299763139,0.85882127547130882) (-0.63523935636898987,0.77231532428141769)
 (1,0) (-0.41484477536121395,0.90989219820564649) (0.78899966442746505,0.61439362751687776) (0.65045643804460695,0.75954356175687665) (0.97892163659876075,-0.20423620981305809) (-0.90667725969984192,-0.42182501910529796) (-0.99998311182108823,0.0058117185593618559) (0.99997776016703432,0.0066692706738929464) (-0.011984375368499445,-0.99992818479480172) (0.98927954260001516,0.14603419665648332) (-0.99745609005808655,0.071283577393634223) (-0.47905645325745688,0.8777840933808192) (-0.96200330569859949,-0.27303779926040733) (-0.9257353508501035,0.37817199815221059) (0.84991514092676224,-0.52691958895399038) (-0.55702617313317704,-0.83049493824141229) (-0.89425943806744446,-0.44754894416957119) (0.9875569868837486,-0.15726155810334619) (-0.41161216537863698,-0.91135910886560512) (0.7878652124258636,0.61584771417059536) (-0.82343256138348964,0.56741414932430656) (-0.4677422562597886,0.88386491145932611) (0.50470813912107437,0.86329004066127268) (0.66408140429542084,0.7476602761074187) (-0.86417139846012281,0.50319756963192497) (0.92630381181630772,-0.37677745183938222) (-0.44466017500671656,-0.89569935177100346) (0.91273079535699431,-0.40856149501267142) (-0.8460084648978129,-0.5331694639804927) (-0.78027196727515913,0.62544037052668178) (-0.69628836857316523,-0.71776215265902632) (0.34468673934427996,-0.93871777000342793) (0.5997491896321262,-0.80018804635885887) (0.4979812289099434,0.86718780875502499)
 (1,0) (-0.99778546555885383,-0.066514394829254669) (-0.83407824508649364,0.55164615567720132) (0.17182323634679569,-0.98512779650729265) (-0.12297888197530402,0.99240928783849269) (0.99653234736211127,-0.083206253737090674) (-0.45385123845131209,0.8910774676515002) (0.98767644591210058,0.15650954664314354) (-0.87309352545831764,-0.48755276207069786) (-0.97737537276602404,-0.21151212899140426) (-0.88357997716013048,-0.46828028355003709) (0.99994337011552403,0.01064220663251092) (-0.44642909612123838,-0.89481901082642079) (-0.96497716569517911,0.26233388970336813) (-0.49631311920940513,-0.86814358702960626) (0.41490036152258758,0.9098668529012508) (0.56806971463272848,0.82298043677665256) (0.067138862729307691,-0.99774364097768919) (0.083340376794988569,0.99652113956286414) (-0.73478411699192225,-0.67830104040639716) (0.0050840089124234988,-0.99998707634317874) (0.055226654700754163,0.99847384372880021) (-0.78964278536744459,0.61356684356078517) (-0.82582896100006309,0.56392067453991801) (0.85737290166603786,-0.51469574263710327) (0.70551393114374561,0.70869605118280354) (0.92630381181630772,-0.37677745183938227) (0.68075499527237759,-0.73251118517856495) (0.095887362723884095,0.99539219088249775) (0.12724255582860344,0.99187163080017815) (-0.33981612684647677,-0.94049189254084453) (0.96054999074353609,0.27810738084882358) (-0.67576122475656075,-0.73712059197631508) (0.71293437422091177,-0.70123075948951108)
