# Created by Octave 5.1.0, Fri Sep 17 16:00:09 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.6631759806636813e-13


# name: H
# type: complex matrix
# rows: 36
# columns: 36
 (1,0) (1,0) (1,0) (0.99999999999999989,-5.5511151231257827e-17) (0.99999999999999989,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1,6.9388939039072284e-18) (1,0) (1,0) (0.99999999999999989,0) (1,0) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1.0000000000000002,0) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,0) (1,-2.7755575615628914e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999989,2.7755575615628914e-17) (1,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1.0000000000000002,0) (0.99999999999999989,-1.3877787807814457e-17)
 (1,0) (0.72092746844909206,-0.69301052317809919) (0.48084017684943298,-0.87680825972809262) (0.90129148089524336,-0.43321318824068467) (-0.95831675517146564,-0.28570788711134965) (0.99308751235904924,-0.11737628719854655) (-0.91254497753028108,0.40897636115582248) (-0.013529294313685995,-0.9999084749092656) (-0.9506008713956412,0.31041582321435751) (-0.13863418416841322,-0.99034365902950972) (0.96327695722936169,-0.26850978319410046) (-0.92663275630587727,0.37596773124960214) (0.44596153674107991,-0.89505212571533166) (0.50503442432190293,0.86309920070050072) (0.67857959911193333,-0.7345268733471142) (0.21983395492844415,0.9755373043920561) (-0.071623752902736149,-0.99743172098150545) (0.69970675826721973,0.71443015924244002) (-0.83427883479019649,0.55134274804436412) (-0.92102616848142604,0.38950070214625415) (0.38938257603505233,0.92107611492227159) (0.33175864591412679,-0.94336429912373976) (-0.257829107936972,-0.96619053560900969) (-0.87730720870914014,0.4799292255603701) (-0.93703795195099204,0.34922754273323137) (0.98258912970787959,-0.18579182484681853) (-0.34980456561536821,0.93682269713892152) (-0.9999860406234532,-0.0052838014940586008) (-0.35524374928480662,-0.9347737044836435) (0.67425221789933276,0.73850114871801609) (-0.99471771475351445,-0.10264827302758267) (0.2793570859870369,-0.96018728303848699) (0.76893844391935018,0.63932282100898552) (0.31297835162341159,0.9497602599683207) (-0.55919318059808931,0.82903738563022134) (-0.28948920570688985,0.95718127843120404)
 (1,0) (-0.87203741875549712,-0.4894392100049294) (-0.84845496862083081,0.52926757526096835) (-0.97130580573374592,0.23783404244960063) (0.43676821482716632,0.89957408061631527) (0.12129619671327099,0.99261635724125297) (0.73973246084918109,0.67290109701650358) (0.74613731949054407,-0.66579208501112774) (0.81221728371046098,-0.58335502401367934) (0.73277465375851891,-0.68047138573865262) (-0.76185712322068344,0.64774510712000311) (0.8139850038821701,0.58088588677548714) (0.97657232612776912,-0.21518943245753933) (-0.35308528563723585,-0.9355911399037885) (-0.077210937337193669,-0.99701477980795794) (0.22845433105256591,-0.97355463052841806) (-0.55388446891106791,-0.83259353534549185) (-0.90878595838871656,-0.41726260536441728) (0.081765254408164345,0.9966516157472316) (-0.95736989391246741,-0.28886482345559311) (-0.45916283365816341,0.88835212173270905) (-0.34804707578997551,-0.93747705733742925) (0.21461792939812147,0.97669808251110146) (0.49319131697662588,-0.86992087275732199) (-0.91317759766293183,-0.40756186662463445) (0.74284992244848458,0.66945798428152348) (0.99241945113029373,-0.1228968389269872) (-0.99762367281183018,-0.068898530067293573) (0.79512410237458386,-0.60644675102024592) (-0.98490418846036609,-0.17310037421457899) (-0.59718012528705666,0.80210716114627334) (0.99574699814445855,0.092129884870760959) (-0.77565217148825649,-0.63116060465269197) (0.99667282712931893,0.081506292162321498) (0.018607113852409318,0.9998268726705053) (-0.55919318059808942,0.82903738563022156)
 (1,0) (-0.97766935641237995,-0.21014906502814196) (0.91323283939053423,0.40743807021276557) (0.99959652362396634,-0.028404048283302841) (-0.51739374818278927,-0.85574745652053374) (0.39652974452664314,-0.91802187430672588) (-0.42091735599801816,0.90709899097046487) (-0.9914080181377013,-0.13080573982923832) (0.99776962388659163,-0.066751611585100845) (-0.2137856865013682,0.97688058648288112) (-0.99908133569804491,0.042854225693741643) (-0.99365856738831093,0.11243954578265336) (-0.88296619030500101,-0.46943658440546832) (0.22902544075923587,-0.97342043716219373) (0.20694554715567853,0.97835246231224615) (-0.77854520305973907,-0.62758853303153084) (0.42105458682081182,0.90703529970842656) (-0.92693903215445128,0.37521198097684566) (-0.67940691357338234,-0.73376170913225569) (-0.47541702266146629,0.87976056661099933) (-0.76462791203536706,0.64447199794594168) (0.21999320114653614,-0.9755014051498333) (0.93550089426170757,0.35332432245112111) (-0.25757277973438097,0.96625890067823084) (0.9071208617148816,-0.42087022018865922) (0.35274907554100732,0.93571795414268055) (0.87881221296275902,0.47716778427246975) (0.65284695079533872,0.75748984074852554) (0.63124886555170778,-0.77558034383272112) (-0.40241354316045957,-0.91545799482064916) (-0.31134322750463878,-0.95029752955955527) (0.32375267044072698,-0.94614174856756894) (0.19127965856695672,-0.98153557868194841) (-0.97396398339031398,0.2267027989647929) (0.99667282712931871,0.081506292162321581) (0.31297835162341153,0.94976025996832036)
 (1,5.5511151231257827e-17) (-0.43255916393917754,-0.90160555105447282) (0.51338864637930537,0.858156219909187) (0.2858750359706192,-0.95826690635166822) (-0.54774324995835477,0.83664647977808271) (-0.94170868198747126,0.33642942539174497) (0.95392833318005921,0.30003455660358924) (0.67373682706118942,-0.7389713714762699) (0.13347897341812032,-0.99105164530171908) (-0.99368484428621073,-0.11220708638890797) (0.9658919466277246,0.25894545263376362) (-0.109759358147345,-0.99395818991498985) (0.78512540384488705,0.61933682293030401) (-0.96172742068414607,-0.27400797124211401) (-0.96227149086689079,0.27209112051812823) (0.11153626453285259,0.99376036432032078) (0.60175942877802646,0.79867740037936619) (0.77786879137156639,0.62842672079578088) (-0.60540211500043373,-0.79591976929399177) (0.67582259484709872,-0.73706432575056469) (-0.40209528948589379,0.91559782556166791) (0.9990392671348699,-0.043823997109128987) (-0.2757406590273288,0.961232068212029) (-0.17792315786387908,0.98404438410863559) (-0.97543920013627283,-0.22026885126478579) (-0.29834170940229254,-0.95445912664237109) (-0.3099898763368405,0.95073985746294976) (-0.7318551136456376,0.68146026489497558) (-0.68615066090123067,-0.72745946316259014) (0.25856659668784943,-0.96599343428268813) (0.99997546539191562,0.0070048993012549188) (-0.2810092790299496,0.95970505109594384) (-0.22715823552478159,-0.97385786233580629) (0.19127965856695678,-0.98153557868194852) (-0.77565217148825638,-0.63116060465269208) (0.76893844391935007,0.63932282100898563)
 (1,0) (0.11129140310082591,-0.99378781618404322) (-0.80249337464597792,0.59666102910221241) (0.99395558453096744,-0.1097829494033733) (0.11370634534865631,0.99351440202316721) (0.22953538342949953,0.97330031735013467) (0.11248571147039305,-0.99365334232568203) (-0.39164442216213829,-0.92011664836002405) (0.26672537257510537,0.96377257463816157) (-0.76560126515097993,0.64331539916219849) (-0.65771198256332031,0.75326950555072036) (-0.68431829650344778,0.72918342621772525) (-0.94230361112538064,0.33475947254718269) (0.5270634538697283,0.84982593252672212) (-0.32382345076207086,0.94611752585846576) (-0.92867601560793234,-0.37089197623374881) (0.63940572138036456,-0.76886951003798787) (0.51714347915591108,0.85589872179278292) (-0.82642883331255945,0.56304119162779009) (0.98504155032811835,-0.17231698734361245) (0.93885790515518397,-0.34430485609067418) (0.99829788517276918,0.058320943575841777) (-0.84051332252242361,-0.54179087724168684) (-0.79245962190175745,-0.60992437863666704) (-0.76528782513670712,-0.64368823563704247) (-0.79096923974955358,0.61185591585765797) (0.80256755371221256,-0.59656124725663817) (-0.3645514560672512,-0.93118324505934202) (0.97233900609453405,-0.23357409365572879) (-0.58018587893364504,-0.81448409799454846) (0.32333325174263056,0.94628516226216741) (-0.39262848646402643,-0.91969716299277993) (-0.28100927902994943,0.95970505109594384) (0.32375267044072714,-0.94614174856756905) (0.99574699814445844,0.092129884870760959) (0.2793570859870369,-0.9601872830384871)
 (0.99999999999999989,2.7755575615628914e-17) (0.86681608816140898,0.49862798688456234) (0.3240530959959711,-0.94603889506479921) (-0.98001028917966515,-0.19894680973061354) (-0.10320005680904848,-0.99466061964602182) (-0.87042825145114033,0.49229529662156035) (0.59296779013579082,-0.80522617931949725) (-0.18289458131086311,-0.98313253029646175) (-0.53931488147727336,0.84210418513219221) (0.63823263440518263,0.76984355838067442) (-0.95017319104426756,-0.31172248398335595) (0.99878933928007263,0.049192029237223545) (-0.80328607604304469,0.59559338481498258) (0.40492796020659139,-0.91434859164485427) (0.092307121815032145,0.99573058367322642) (-0.17410894792343484,-0.98472639563129127) (-0.99968351110911646,-0.025157058980501912) (0.35637599227848438,0.93434263101258774) (0.15950466984377096,-0.98719717397186069) (0.95838064880715823,0.28549348852814616) (-0.65526194123035941,0.75540173972199764) (0.95637794274990262,-0.2921322142822716) (0.88442069375611976,-0.46669051464106615) (0.20956705959414193,0.97779427669273289) (-0.016093377882149179,0.9998704932081669) (0.22730158475523532,-0.97382441413622267) (0.83417186671048527,-0.55150457549212106) (-0.79381111754575306,-0.60816437717179861) (-0.85182022490453613,-0.5238342337453572) (-0.30693256935704061,0.95173126347088399) (-0.69724312081699202,0.7168347302366006) (0.32333325174263061,0.94628516226216752) (0.99997546539191551,0.0070048993012548078) (-0.31134322750463894,-0.95029752955955549) (-0.59718012528705655,0.80210716114627345) (-0.99471771475351467,-0.10264827302758264)
 (1,0) (-0.64598299052454433,0.76335180353030319) (-0.79608512729032344,0.60518465785836784) (0.21908206571217109,0.97570643560616566) (-0.92597042851558575,-0.37759603482380721) (0.31822921520000458,0.94801380084531994) (-0.5071804884225708,0.86183986457081563) (0.86862277869704019,0.49547398350330346) (-0.56661318108774905,-0.82398392157712719) (-0.94678134947751913,-0.32187742431168825) (-0.87569602457162565,-0.48286278853257092) (-0.98536996344454575,0.17042897389028544) (-0.39735318646136203,0.91766575898254044) (0.95517649091967849,0.29603694227979305) (0.48896124602393198,0.8723055083436787) (0.91434360100043366,-0.40493922915612934) (0.93953878780750477,-0.34244250058251396) (0.75303108972083832,0.65798493745210229) (0.86801402036398456,0.49653968668330151) (-0.3360595066508783,-0.94184075511180165) (-0.21165621339001728,-0.97734418059013373) (-0.58179116754395632,-0.81333820601754625) (0.61316394556656895,0.78995567967908042) (0.46341738166738106,-0.88614013020997351) (0.62154091602261552,0.78338170115836137) (-0.27021177203170649,-0.96280091309443927) (-0.88521565657482815,-0.46518086950647014) (0.77649482825519089,-0.6301236241349325) (0.18664096378389061,-0.98242819108463164) (0.28732709057030759,0.9578325234739119) (-0.30693256935704072,0.9517312634708841) (-0.58018587893364515,-0.81448409799454879) (0.25856659668784937,-0.96599343428268847) (-0.40241354316045974,-0.91545799482064949) (-0.98490418846036631,-0.17310037421457902) (0.6742522178993331,0.73850114871801631)
 (1,0) (-0.025702122894348145,-0.99966964587243734) (0.93120975674076178,0.36448372933618384) (0.35049629979568891,0.93656411624059732) (-0.69035036214631307,-0.72347520861772074) (-0.84656737079309019,0.53228158591902797) (-0.9999862639791044,0.0052413598534369887) (0.95157894103144258,-0.30740448758187999) (-0.80914855347371395,0.58760413409998746) (0.0015202020400808536,0.99999884449221099) (-0.71443603989059024,0.69970075382655639) (0.75681841041734998,-0.65362519355771176) (0.5140171103594855,0.85777993113483697) (-0.5803517588593704,0.81436591037987061) (0.21385876671469295,-0.97686459036003104) (-0.0074087995591176625,0.99997255446791822) (-0.96857650691372477,-0.24871580218154266) (0.92696709931288879,-0.37514263526217584) (-0.76697816390402307,0.6416732003866249) (-0.75749665391661647,0.65283904548144989) (-0.0027394355216385224,-0.99999624773947171) (-0.76099770198394479,0.64875457422291505) (0.14127796218280758,0.98996996792906522) (-0.91281064102819931,0.40838307215859027) (0.6485998855137981,0.76112954778505959) (0.99308907615324871,-0.11736305562265859) (0.73366583204312064,-0.67951044649253001) (0.94217903287570537,-0.33510993719882459) (-0.95386630303141895,0.30023170375757247) (0.1866409637838905,-0.98242819108463153) (-0.85182022490453624,-0.5238342337453572) (0.97233900609453416,-0.2335740936557289) (-0.68615066090123089,-0.72745946316259003) (0.63124886555170789,-0.77558034383272134) (0.79512410237458386,-0.60644675102024603) (-0.35524374928480679,-0.93477370448364361)
 (0.99999999999999989,0) (0.3917030371430798,0.92009169689378545) (0.74403043697734839,-0.66814572426327457) (-0.28422531095439002,0.95875751502289674) (0.95685478838898486,0.29056653960335682) (0.8695796581848223,-0.49379268734071718) (0.58058794335682762,0.81419754361499275) (-0.94127694488880675,-0.33763547358178086) (-0.26183192733816868,-0.96511348650113626) (-0.91949516596449243,0.39310130980184865) (-0.9959698869833683,-0.089688261340802933) (0.71543369824674752,0.69868063048361462) (0.99361570005544819,0.11281773177705867) (-0.64887763191594883,-0.76089277746549133) (-0.98764347238389338,-0.15671748931591567) (-0.34951553044128447,0.93693057052288942) (-0.29446776905423178,0.95566141126877313) (0.98715421548700677,-0.15977031904027611) (-0.56904883659745331,-0.82230372829452991) (0.66954231840893852,0.74277391167136686) (0.73297402183324012,-0.68025663048411644) (0.64314824226678702,-0.76574169174019846) (-0.82332787816213793,0.56756603584167298) (0.96128959866109531,-0.27554002886330364) (0.40250694960529482,0.91541692988465118) (-0.86308684479780118,0.5050555398537625) (-0.82369291109273179,-0.5670361436589213) (-0.36965390927322195,-0.92916951486745647) (0.94217903287570526,-0.33510993719882448) (0.77649482825519067,-0.63012362413493239) (-0.79381111754575306,-0.60816437717179872) (-0.36455145606725115,-0.93118324505934202) (-0.7318551136456376,0.68146026489497558) (0.65284695079533872,0.75748984074852577) (-0.99762367281182995,-0.068898530067293517) (-0.99998604062345298,-0.0052838014940586597)
