# Created by Octave 5.1.0, Fri Sep 17 16:09:05 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.7356029691354749e-13


# name: H
# type: complex matrix
# rows: 38
# columns: 38
 (1,0) (1,2.7755575615628914e-17) (1,0) (1,0) (0.99999999999999989,-1.1102230246251565e-16) (0.99999999999999989,0) (1,0) (1,0) (1,0) (0.99999999999999989,-2.7755575615628914e-17) (1,0) (1,2.7755575615628914e-17) (1,0) (1,0) (1,0) (1,-6.9388939039072284e-18) (1,0) (1.0000000000000002,0) (1,0) (1,-2.7755575615628914e-17) (1.0000000000000002,0) (1,-5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,1.3877787807814457e-17) (1,0) (0.99999999999999989,0) (1,0) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999989,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,-5.5511151231257827e-17) (1,1.7347234759768071e-18) (1,5.5511151231257827e-17) (1,0) (1,0)
 (1,-5.5511151231257827e-17) (0.12215235797486668,0.99251136086252467) (-0.35549345405145938,0.93467877055519077) (0.87150886682126061,0.49037974576028576) (0.53995376772211601,-0.84169467666291609) (-0.55008307030607195,-0.83510994232055791) (-0.34528421613354887,-0.93849816733387414) (-0.97801450305863136,0.20853688356494249) (-0.73728376425185338,-0.67558319322687277) (-0.28878191521636337,-0.95739490569146524) (0.99071996274366725,0.13591892959109009) (0.96949910558945884,-0.24509484747998789) (-0.0057589386930446129,-0.99998341717506967) (-0.91722045092488114,-0.39838002510813447) (-0.70870710304540896,0.70550282925937591) (-0.37854859492642673,0.92558141796344895) (-0.98909775809510836,0.14726039838065969) (-0.94858920379204026,-0.31650990892732378) (-0.97269231357471209,0.23209839101698876) (0.98565644850171863,0.16876423059102186) (0.73787681361832003,-0.67493541018713421) (0.79072188939672716,-0.61217554151474418) (0.89866764554302381,0.43863021197149432) (-0.72535164946657227,0.68837851841564768) (-0.86866097287971333,-0.49540701871861892) (0.97295076502990729,0.23101257287801319) (0.31102416764801688,0.95040200291185073) (-0.99163968065753627,-0.12903776092842145) (-0.81328486581114667,0.58186572939342718) (0.17145782954339306,0.98519145991440149) (0.97699295896191174,-0.21327155961085742) (-0.92988248804845142,0.36785670908768409) (0.90016790836072458,-0.43554303663068511) (-0.99227468902786531,-0.12406023341366779) (0.89687629976518868,-0.44228147476409541) (-0.26644495138902285,-0.96385013766627692) (0.718977421304271,0.69503342916341859) (0.90789037482528689,0.41920766607923704)
 (1,0) (0.52696932121190021,0.84988430653911284) (-0.9817029629269004,0.19041872959492367) (-0.4290086029576417,0.90330040329246608) (0.60545321090843762,-0.79588090151772195) (-0.90275957116019934,0.43014550640295229) (-0.20182272486221603,0.97942206822655842) (0.83886390217720086,0.54434121066114227) (0.99509318886472597,0.098942131951108458) (-0.016227979321817187,0.99986831767344764) (-0.5556842748658537,-0.83139340066349499) (0.85572342021553038,-0.51743350113288411) (-0.63340758635631178,-0.77381834402285243) (0.028577514713935659,0.99959157942270283) (0.69242264620667382,-0.72149211986004813) (-0.73622640083508784,-0.67673531510732654) (-0.19096253329733603,-0.98159732623752771) (0.9668199092634101,-0.25545892634999212) (0.94115697060344561,-0.33796975705607862) (-0.87890668973960417,0.4769937428635429) (0.53703856407806871,-0.84355769256937352) (-0.25849339736005561,-0.96601302450911908) (0.80370075664664342,-0.59503369128614247) (-0.73998397418895778,0.67262449995782492) (0.78163073862344945,-0.62374144357975725) (-0.94959679836430522,-0.31347395511630821) (0.49316533725198292,0.86993560114133561) (-0.58058281111096977,-0.81420120329221024) (0.60247749701158604,-0.79813586913172507) (-0.94111136325195277,-0.33809673461607215) (0.73101209337713935,0.68236450621084632) (-0.51978434581299005,0.85429750897902079) (-0.3058959915060927,0.95206493601040876) (-0.72563936262715312,0.68807522510700758) (-0.72045883134085653,0.69349770896735285) (-0.91696918078443623,-0.39895804477603708) (0.06614289021233577,-0.9978101613405016) (0.718977421304271,0.69503342916341859)
 (1,-5.5511151231257827e-17) (0.77765336196693768,0.62869328660446167) (-0.5734748821646436,0.81922314391516571) (-0.90151888173982553,0.43273976691144872) (0.9700619040834102,0.24285778193434154) (-0.76445879894259439,0.64467258722489951) (0.99998681914299103,0.0051343490611711062) (-0.69994931282125095,-0.71419252270032774) (-0.85310282183415187,-0.5217428249421423) (-0.82051788083740085,-0.57162085968419785) (0.57769074219893679,0.81625572364158205) (-0.99940585198595633,0.034466549235816601) (-0.96823541077962882,-0.25004037536446633) (0.86475651490350081,0.50219136783894469) (-0.99995597179600959,0.0093837343044999022) (0.92694753530471874,0.37519097376203991) (0.98508223477295553,-0.17208425475539607) (0.59604065024154251,0.80295425975558476) (-0.30484259219236243,0.95240274778343714) (0.58683692427043044,-0.80970514652731596) (0.42211609661861338,0.90654178115267614) (-0.75807274870398089,-0.65216999905882733) (-0.544551934029191,-0.83872712555697571) (0.55986997706376551,0.82858047815684011) (0.5504335658944508,-0.83487896699864128) (0.35407787505118188,-0.93521594212205339) (-0.69317707607405188,-0.72076732806463117) (-0.91471109932556005,-0.40410840720111973) (0.90554435473448247,-0.42425160177483029) (0.95704195922558655,-0.28994945815029849) (-0.80299366546931483,0.59598756129314812) (-0.92331290281223999,0.38404854315624604) (0.62295091171732264,0.7822609293519367) (-0.32707466522276896,-0.94499849913606426) (0.4028642466162965,0.91525974389693576) (0.97281495509726867,-0.23158381450157273) (-0.91696918078443657,-0.39895804477603708) (-0.26644495138902313,-0.96385013766627692)
 (1,0) (-0.98917909088535638,-0.14671307424773294) (-0.2549344145973631,-0.96695834670057068) (-0.17689112928981843,-0.98423042443249709) (-0.92393454059117253,-0.38255060410693253) (0.99772609751410846,-0.067399067792275724) (-0.70849445590124926,0.70571637784395536) (0.064713162752965847,-0.99790390647923) (-0.97225022119357096,-0.23394338500810952) (-0.86500245741564963,-0.50176762416968201) (0.84922910150586084,-0.52802455734137055) (-0.82881406286486392,0.55952412744888713) (-0.97378699303249416,-0.22746184779152187) (-0.80291815468544092,0.59608928599373989) (0.012701021377768795,-0.99991933877486361) (0.79696254900923824,0.60402872073825919) (0.48512634559154671,-0.87444406843033229) (0.40666959979881701,-0.91357530428502187) (0.82358538558141325,-0.56719230659161424) (-0.73233494485190986,-0.68094458551981396) (0.98786094060573348,0.15534079317924321) (-0.67864176083696381,0.73446944146649595) (0.99068795077574334,-0.13615206273780223) (-0.48415139138605573,0.87498424569757005) (0.98128387061458833,0.19256678132962513) (0.46628959373095441,0.88463213528461759) (-0.31015890951578362,0.9506847273665332) (-0.93348463582081442,0.35861739317339691) (-0.064640671816096673,0.99790860480665478) (-0.94250704980719635,0.33418626701846338) (0.23711357625338259,0.97148193599074828) (0.67833577350469243,0.73475205231682761) (-0.54393197605952548,-0.83912931388432654) (0.96148925913637928,-0.27484250865791626) (0.86700091775750343,-0.49830654080359754) (0.40286424661629633,0.91525974389693565) (-0.72045883134085642,0.69349770896735285) (0.8968762997651889,-0.44228147476409552)
 (1,0) (-0.32941383357430559,0.94418564183632903) (0.82422227764080735,-0.56626640112282978) (0.65402001914684016,-0.75647723994524019) (-0.65945994663435092,-0.75173970148251401) (-0.26502754655663374,0.96424084105900221) (0.038139820548312921,-0.99927241235237863) (0.86007911581276564,-0.51016067522176889) (-0.95350351357503149,0.30138189992113001) (-0.39063217776604153,0.92054684926610897) (-0.43557183690078671,-0.900153972884015) (0.94082175804118129,-0.33890178458707199) (0.14095859903893909,0.99001549147322976) (0.45594618391585362,0.89000734680819993) (0.57055639542299486,-0.82125842439631591) (0.65314202631720208,0.75723542802635646) (-0.57442929401300646,-0.81855420479020169) (-0.95991435591710128,0.28029346996363852) (-0.59936859482381821,0.80047316478375652) (0.99969684615283827,0.024621449836886598) (-0.89323093301066114,-0.44959815425878319) (0.99900131357428679,-0.044680817772851614) (-0.99618914181059581,-0.087219228032984056) (-0.90573460523490512,0.4238452841308612) (0.99604575121814809,-0.088841777786550419) (0.63326134757377583,0.77393802443674153) (-0.94167548023558756,0.33652234684055526) (0.78512605351168763,-0.61933599935508632) (0.86297569731727686,-0.50524543129033916) (-0.93919515991219626,-0.34338382547450569) (-0.99524838169611773,0.097368674281099854) (-0.15729977667020636,-0.98755090008541024) (0.67280652595532675,0.73981847681165991) (-0.0074056951154830714,0.9999725774639312) (0.96148925913637939,-0.2748425086579161) (-0.32707466522276879,-0.94499849913606426) (-0.72563936262715312,0.68807522510700769) (-0.99227468902786553,-0.12406023341366773)
 (1,5.5511151231257827e-17) (-0.24433988411785296,-0.96968965191409273) (0.83933152211272466,0.54361990028689855) (-0.97722657636694332,0.2121985354382625) (0.40035883183753279,0.9163584482994015) (0.14335618253453059,-0.98967115999665589) (-0.97830319703438406,0.20717831612478799) (-0.29199332884342527,-0.95642035523661595) (0.996639626878419,0.081911257685653549) (-0.66199441226687084,-0.74950877121448012) (0.40161394557376723,-0.91580906237090276) (0.73296588092703197,0.68026540217540132) (0.45812886563904337,0.88888578707744226) (-0.14344315793639473,0.98965855750417031) (0.9820328939028391,0.18870981769058826) (-0.6440388034067992,-0.76499282330381302) (0.83266619465594882,0.55377523263250128) (-0.40249385242374242,-0.91542268857675502) (-0.80047145155557231,0.59937088288013729) (0.63492170676061399,-0.7725764857178804) (-0.66699064931024599,0.74506608682230169) (0.95021402363652474,-0.31159799306877239) (-0.95966236325130772,-0.2811550258468013) (-0.69935491258745974,0.71477458421504236) (-0.99904251010599132,0.043750005727083041) (-0.99980441140681897,-0.019777232654355104) (0.42990289946612559,-0.90287512814930149) (-0.94335224495956815,0.33179292025259211) (0.15684772672225739,-0.98762279774317685) (-0.735467403489103,-0.67756010685768586) (0.99993711928971118,0.011214163660049348) (-0.82612139399986317,0.56349218483996943) (0.66908575465751674,0.74318520768001162) (0.67280652595532686,0.73981847681166013) (-0.54393197605952548,-0.83912931388432654) (0.62295091171732264,0.78226092935193692) (-0.3058959915060927,0.95206493601040898) (0.90016790836072502,-0.43554303663068522)
 (0.99999999999999989,0) (-0.32232377942095136,0.94662948465584673) (0.84338472253808106,0.53731016162861056) (0.032879563134911416,0.99945932099713652) (-0.72235336056056543,0.69152413008286084) (0.85578465373103696,-0.51733222056861061) (-0.97087221554607317,-0.23959787369811547) (0.99949210131051702,0.031867529208997936) (-0.78088826938848632,0.62467072184588079) (0.23740177217384728,-0.97141154953434428) (-0.13607077738086953,-0.99069911857383119) (0.57802180712698825,-0.81602131742108941) (0.92948240388160874,-0.36886645398364049) (0.37509793282223042,-0.92698518909014371) (-0.18743603365113487,-0.98227681092914465) (-0.8566379440486358,0.5159180485465944) (0.38658201928043623,0.92225503108904749) (-0.20964859647162148,-0.97777679763710768) (0.19654453649840758,0.98049489808597468) (-0.99974693714530416,0.022495814468108943) (0.38727256265945764,-0.9219652716947514) (-0.49861031987747639,0.86682625070522701) (0.83213991189416603,0.55456574635724576) (0.99972124236831117,-0.023610115577001989) (0.98513416849856161,0.17178669930075241) (-0.80209829359272167,-0.59719203562643353) (0.15353975410504148,-0.98814247146318002) (-0.8544156937929912,0.51959005206050768) (0.87343540044034085,-0.48694003866761693) (0.90651983761393695,0.4221632196347776) (-0.55689034377253999,-0.83058602505273482) (-0.99637669158945141,-0.085049917444160766) (-0.82612139399986295,0.56349218483996943) (-0.15729977667020639,-0.98755090008541024) (0.67833577350469265,0.73475205231682783) (-0.92331290281223977,0.38404854315624593) (-0.51978434581299005,0.85429750897902101) (-0.92988248804845153,0.36785670908768414)
 (1,0) (0.25151462438437316,-0.9678534980671345) (0.48158999681596781,0.87639664248945925) (-0.11407444381075089,-0.99347220457809893) (-0.61042462642555151,-0.79207434970034585) (-0.82452235154163045,-0.56582938400922633) (0.49650623673450406,0.86803315425376515) (-0.91768751752982136,-0.39730293249604071) (0.40818492351724933,0.91289926509621933) (-0.55715932568613413,-0.83040561522726486) (-0.68363685349841385,0.7298223431348132) (0.0074086057418712714,0.99997255590389167) (0.55098977357688783,0.83451199476921234) (0.91765259753734496,0.39738358072895208) (-0.021925160162621193,-0.9997596147833957) (-0.83844129048260907,-0.54499192876028735) (-0.95136057096704496,0.30807963906960589) (-0.29726649377741937,0.95479454945934816) (-0.068692786863217725,-0.99763786066536397) (0.34143796498526979,-0.93990431218646853) (0.92616927255518811,-0.37710804628726025) (-0.1153084518278778,0.99332973424591453) (0.97632664665809799,-0.2163013615892278) (0.97900132731700396,0.20385387195622298) (0.64376038535834446,0.76522713376047746) (-0.70917823032321359,-0.70502924594348304) (-0.64454525424374065,0.76456616144835421) (0.61331523368544916,-0.7898382265561491) (-0.70335578689324285,0.71083798227429218) (-0.29951961591068132,-0.95409014232656153) (-0.82668218586775355,-0.56266914218651898) (-0.5568903437725401,-0.83058602505273504) (0.99993711928971118,0.011214163660049431) (-0.99524838169611785,0.097368674281099882) (0.23711357625338247,0.97148193599074839) (-0.80299366546931505,0.595987561293148) (0.73101209337713957,0.68236450621084643) (0.97699295896191207,-0.2132715596108575)
 (1,5.5511151231257827e-17) (-0.092332452200605597,0.99572823514783582) (0.67294807872352713,0.73968972099273822) (-0.22308659707851536,0.97479863059194405) (-0.78321196920216662,-0.62175478389672589) (-0.51983551109654513,0.85426637613978129) (-0.44736736641519548,0.89435028901808544) (-0.49229599720437556,-0.87042785521635868) (0.20409834619608286,0.97895038948867275) (0.87830220451413377,-0.47810588528652659) (-0.2374090250618302,-0.97140977698353037) (-0.65941406987915407,0.75177994416279192) (0.97971646414901292,0.2003887468780523) (0.041110918900878757,-0.9991545888135257) (-0.987299483056438,0.15887016949852589) (0.83579172611565555,0.54904661965685086) (0.79999830547487938,0.60000225936018181) (0.97506191207799975,0.22193302506566215) (0.27877313200964088,-0.96035698616167542) (0.3105306222024064,-0.95056337646397193) (-0.17657771569544345,-0.98428670128158302) (0.67446353735180187,-0.7383081584155059) (-0.7065150815175365,0.70769798614117152) (-0.72321267089634367,0.6906253924197816) (-0.59098375474782772,-0.80668345813222142) (0.24872302456494177,0.96857465228616657) (0.62966061343330826,-0.77687033145228945) (0.86479866819332485,-0.50211877428657481) (-0.25142532768322939,0.96787669906831653) (-0.68022956618417296,-0.73299913866858879) (-0.29951961591068127,-0.95409014232656153) (0.90651983761393695,0.42216321963477765) (-0.73546740348910289,-0.67756010685768575) (-0.93919515991219626,-0.34338382547450563) (-0.94250704980719657,0.33418626701846332) (0.95704195922558655,-0.28994945815029838) (-0.94111136325195299,-0.33809673461607215) (0.17145782954339311,0.9851914599144016)
