# Created by Octave 5.1.0, Fri Sep 17 16:26:39 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
2.7661687217832507e-13


# name: H
# type: complex matrix
# rows: 41
# columns: 41
 (1,0) (1.0000000000000004,-1.110223024625157e-16) (1.0000000000000004,-2.4651903288156619e-32) (1,-5.5511151231257839e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-4.8572257327350623e-17) (1.0000000000000004,-2.7755575615628944e-17) (1.0000000000000002,-2.7755575615628932e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-2.775557561562892e-17) (1,-8.3266726846886765e-17) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-1.2325951644078309e-32) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1,-8.3266726846886765e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-1.2325951644078309e-32) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-2.7755575615628932e-17) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1.0000000000000004,-2.4651903288156619e-32) (1.0000000000000004,-5.5511151231257864e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,5.5511151231257827e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-1.2325951644078309e-32) (1.0000000000000002,-5.5511151231257852e-17)
 (1,0) (0.49297545081056604,-0.87004322013226465) (-0.20395007921911623,-0.97898128949766794) (0.74501439575236117,-0.66704838664203725) (-0.66231407642839268,-0.74922631037945009) (-0.78433333960820151,0.62033959439894448) (-0.75396379577753558,-0.65691597229533927) (-0.57120247557298753,-0.82080919335695268) (-0.69224218434433515,0.72166526742956383) (-0.52219865117540509,-0.85282387906917068) (0.94444738386438232,0.32866265244430115) (0.91780533019042099,0.39703069890633508) (-0.0028086896889765178,0.99999605562333671) (0.86246497226159691,-0.50611675690674662) (0.99630174173774366,0.085923450875406149) (-0.99661323821079628,0.082231705704012892) (0.84369669153108173,-0.53682016793289988) (-0.75430498419721004,0.65652417382397033) (0.15240253089875228,0.98831850563249801) (0.9767580287588491,-0.21434493988692194) (0.83819832471713518,-0.54536553653617292) (0.16624409968326603,0.98608463091182053) (-0.12183995147659565,-0.99254976007461782) (-0.092097850833724237,0.99574996152237427) (-0.88941154323047888,-0.45710732521846226) (-0.70568869516471133,0.70852202895656502) (-0.69229902074416672,0.72161074401415903) (-0.07924881210111151,0.99685486695935943) (-0.56292211603374542,-0.82650994626809604) (0.97493669432767616,-0.22248245336076405) (-0.92195262202495187,0.38730267587678219) (0.45379379939010078,-0.8911067206766522) (0.32707541718295302,-0.94499823887380696) (-0.9702909334151939,-0.24194111790324574) (-0.96430447959724952,0.26479590372337358) (0.9991850704649643,-0.040363287278471049) (-0.82396318622744336,0.5666433338017135) (0.25076671971512265,0.96804754649930103) (0.49637912215934871,0.86810585016132391) (0.85175798264344837,0.52393543400228448) (-0.52225303101744058,-0.85279057897768595)
 (1,0) (0.48450673802919664,0.8747875289487772) (0.75758543552350188,-0.65273601699512951) (0.92636959584066925,-0.37661568196504353) (0.61795897020428925,-0.78621034789937272) (-0.66478674654762149,0.74703318642121075) (-0.56219385528483956,0.82700548310151423) (-0.79106905992378773,-0.61172685279566907) (-0.64888039702008571,0.76089041941862789) (-0.69228820042120542,0.72162112466138884) (0.94442642454325465,0.32872287511586717) (-0.96156807543423195,0.27456663363509071) (-0.57304572640902429,-0.81952339530019136) (-0.99976622886301847,-0.021621462138763869) (-0.1046520107279782,0.99450890224803401) (0.52540891393446243,-0.85084985347487008) (-0.099333450468674311,-0.99505420235180508) (-0.66938031510875506,-0.74291991072046448) (0.94932677283969125,-0.31429075450890243) (-0.98375928040274552,-0.17949283612855202) (0.24096061922089912,0.97053489374915325) (-0.98117265475646898,0.19313265274971525) (-0.25739732305972457,0.96630565458434936) (-0.49651203560600499,0.86802983733186367) (0.43886656805950247,0.89855224413479329) (-0.23462157654676075,0.97208678409837002) (0.86444082008781487,0.50273459058026415) (0.98432288707125326,-0.17637588833996287) (-0.030900801807778766,0.99952245619977687) (0.96302396697553605,-0.26941573641994698) (-0.072509668796691462,-0.99736770948882947) (-0.81224557254317298,-0.58331563487018911) (0.97653045414271489,-0.21537936793439927) (-0.42931351294460879,-0.90315552791485398) (-0.50196081395302572,0.86489036371994366) (0.23879450357113621,-0.97107012365957068) (-0.093174454707864118,-0.99564979836782552) (0.95342327131596205,-0.30163565060046921) (-0.22155050026052747,-0.97514889931451432) (-0.83562166240873681,-0.5493054135116977) (0.85175798264344804,0.52393543400228415)
 (0.99999999999999989,-5.5511151231257827e-17) (-0.035950696665591031,-0.99935356476537396) (0.30328791388829079,-0.95289896698930798) (-0.40967585665860257,-0.91223116175180152) (-0.99588849610555219,0.090587545085520138) (0.52651520351827896,0.85016571353125381) (0.77862059946924755,-0.62749498968688955) (0.84597851921383671,-0.53321697743860863) (0.76521053943252759,-0.64378011024058568) (0.92308130839151104,-0.38460485969136743) (-0.52104736663881557,0.85352776271118169) (0.9816692651476121,0.19059237619733688) (-0.73576466159843745,-0.6772373016476112) (-0.99262039979326988,0.12126311027781872) (-0.90312136548246025,0.42938537377173941) (-0.50462320185195386,-0.86333969221430007) (-0.53535905195322875,-0.84462458257603434) (0.9793384424628333,0.2022281264178466) (0.13256704744490833,-0.9911740401825192) (0.46497019856965471,-0.8853263321748065) (-0.58345572587791261,0.81214494761728218) (-0.57201184071728328,0.82024536211991272) (0.76301328119692002,0.64638280663791681) (-0.98028285387012848,0.19759940892684486) (0.42851737547915336,-0.90353354055754842) (-0.97536934851646462,0.22057795441650058) (-0.90043203698533625,-0.43499672041342818) (-0.054599346712692065,0.99850834314919323) (-0.97035255093123707,-0.2416938702185899) (0.6779123175578271,0.73514276824530911) (-0.34180896989257908,0.93976945476056806) (-0.98831526710209161,0.1524235310341629) (-0.39360247495684775,0.91928074694722239) (-0.86573505625883951,0.50050255979815361) (0.95306092815850674,0.30277857787110102) (0.065926778971455435,0.99782446342753595) (0.79119885835945958,0.61155896406698884) (0.62298235138557656,-0.78223589144330241) (0.9813370180229033,0.19229575413387673) (-0.22155050026052747,-0.97514889931451421) (0.49637912215934865,0.86810585016132358)
 (1,-5.5511151231257827e-17) (-0.51058688777055727,-0.85982616268451428) (-0.27450337331930785,0.96158613656620628) (-0.99526775031427606,-0.097170495441577243) (0.58637714907092775,0.81003817135209821) (-0.23815401358356703,-0.9712274017005692) (-0.77653578596097994,-0.63007314902474909) (-0.72007972954426314,0.69389133378322354) (0.75073953238367841,0.66059833069448293) (-0.74555289016937509,0.66644646293613974) (0.4435271510772788,-0.89626093647847449) (0.094873702994322295,0.99548931711000543) (0.75575043878633219,0.65485973633616124) (-0.66891462954863101,0.74333923505746569) (-0.46522609528237568,0.88519188895307599) (-0.0067139552061939722,-0.99997746114874497) (-0.83854653822186598,0.54482997644781317) (0.7236558567050051,-0.69016099647585516) (0.841870461184548,0.5396796518166268) (-0.90629605397564739,-0.42264342245937059) (-0.91054388474322701,-0.41341242598247174) (-0.82791536086607198,0.56085306029476389) (0.84482383421875284,-0.53504456742959883) (0.2535136243812024,0.96733181600374751) (0.71404177180505424,-0.70010309820589989) (0.98474875527861316,0.17398243870351671) (-0.48740064109621845,-0.87317845544825234) (-0.49862078379857522,-0.86682023163058064) (-0.023865504038387386,-0.99971517829679557) (-0.51342722791972184,0.85813313747382503) (-0.8120147317827755,0.58363693797406913) (0.97332005775697639,-0.2294516619420256) (0.765093450801964,0.64391925855649235) (-0.39168346376088237,-0.92010002946216518) (-0.2693795194434947,-0.96303409830825459) (0.70799511478802746,-0.70621733017272281) (-0.98892326110525663,0.14842770511244141) (0.60264883780230727,0.79800650266493967) (0.62298235138557656,-0.78223589144330252) (0.95342327131596227,-0.30163565060046921) (0.25076671971512288,0.9680475464993008)
 (1,5.5511151231257827e-17) (-0.71862136789754127,-0.69540155996450637) (0.4686713762854201,0.88337259469078622) (0.98032510429004505,-0.1973896904570136) (0.93119933853660208,-0.3645103454073646) (-0.50425048721113763,0.8635574365074582) (0.74535544106352769,0.66666728319079516) (0.94696218013782096,0.3213450316849899) (-0.96861869485314389,-0.24855145137575324) (-0.91076612798126588,-0.41292258369095591) (0.14060538246649398,0.99006571823361866) (-0.43452832122656565,-0.9006581693695026) (-0.16056621562493539,0.98702507080615154) (0.42303564498357904,-0.9061130410016891) (0.47814981532021339,0.87827828967204191) (-0.79302505374128485,-0.60918902168262568) (-0.94926515697033076,0.31447680639769776) (-0.86185478626843703,-0.50715513147969615) (0.78923255552505722,-0.61409443353558224) (0.57082280131317242,-0.82107327900802107) (-0.11276675027541511,0.9936214873040552) (-0.87144716977240511,-0.49048937837191375) (0.8942305822936657,-0.44760659701431282) (0.97614565060627245,-0.21711671700369045) (-0.89070551193514791,-0.45458078600876622) (0.96604849296514961,0.25836081212088985) (0.36885942004583183,0.92948519527933038) (-0.17539421649530743,-0.98449828279179741) (0.76203613928985847,0.64753449515543804) (-0.99998624803173852,-0.0052444015300665558) (-0.92301890631150008,-0.38475459528318035) (0.99487456003393071,0.10111681263417094) (-0.9375891122666008,-0.34774510285427324) (-0.93111131046744688,0.3647351470856568) (0.91431596867106901,-0.40500161658083067) (-0.9982214226716849,0.059615361437462322) (0.90572844985528322,0.42385843759768183) (-0.98892326110525697,0.14842770511244138) (0.7911988583594598,0.61155896406698917) (-0.093174454707864063,-0.99564979836782597) (-0.82396318622744325,0.56664333380171361)
 (1,5.5511151231257827e-17) (-0.89919781398910814,0.43754233088606331) (0.91918803739483101,-0.39381893289967673) (-0.57744826272281624,-0.81642728021447353) (0.31472922886512705,0.94918149607857571) (0.90481290285107674,-0.42580935973063055) (-0.96191714026199104,-0.27334120668167494) (-0.6625249714805691,0.74903982682142589) (0.99239945819077346,0.12305817885317444) (0.29951454417576245,-0.95409173449264562) (0.20632938387740551,0.97848259327837328) (0.76409212115004399,-0.64510714644656231) (-0.98790004306850987,-0.15509192404905248) (0.23091138943309042,-0.97297478396414783) (-0.90237481676325815,0.43095207398442364) (-0.021553084187437399,0.99976770530059134) (0.77073639672043481,0.63715414678898674) (-0.90742525600544388,0.42021352282316532) (-0.83122539680139296,0.55593555356027158) (-0.96247056777375317,0.27138608322695706) (-0.59165388321751611,0.80619208782624097) (0.85335248006021869,0.52133438863657744) (0.83763229633008285,-0.54623450654896633) (0.22853034923526944,-0.97353678897019968) (0.65371979774473954,0.75673669531520549) (-0.95911831155169647,-0.28300541416415265) (0.99834012931608784,0.057593282569573301) (0.95415374234107464,0.29931694902982359) (0.98527917022393419,-0.17095308339668958) (-0.46920071611114,-0.88309155131322226) (-0.97803787320000224,-0.20842725010520347) (0.9947606848940671,-0.10223101187549138) (-0.8608426841807747,0.50887117534051662) (-0.36053282427095312,-0.93274652646000844) (-0.99924293461246338,0.038904467957722677) (-0.98949557772909147,-0.14456314071910459) (-0.99822142267168434,0.059615361437462211) (0.70799511478802757,-0.70621733017272248) (0.065926778971455324,0.99782446342753595) (0.2387945035711363,-0.97107012365957046) (0.99918507046496408,-0.040363287278471049)
 (0.99999999999999989,2.7755575615628914e-17) (0.52769151499453759,-0.84943608647312052) (0.57930887385909646,0.8151081085770806) (0.45835912752820346,-0.88876707309147418) (-0.26833831594373386,0.96332473662648188) (-0.81281752335561475,-0.58251838917415044) (-0.9501002959237983,-0.31194459072968794) (0.28665265318540156,0.95803457997181485) (-0.041633932658929645,-0.99913293192215058) (-0.37619098754738445,-0.92654214199253981) (0.6283615835785078,-0.77792141009404603) (-0.23851019115995484,0.97113999439465104) (0.6115202557464251,0.79122877653168522) (-0.94454779730539773,0.32837396152180176) (0.35172954574149817,-0.93610166469912848) (0.88350760311848475,-0.46841681783624123) (0.48357518176153513,0.87530282964486006) (-0.99988790678508133,-0.014972436840734488) (-0.51953368018343582,-0.85444997229507513) (-0.72128890529806544,0.69263432999954455) (-0.68856804998591592,0.72517173175641159) (-0.87446548656742262,-0.4850877372212179) (0.4498922866941002,-0.89308282391565119) (0.43069201306642313,0.90249896946245511) (-0.67847312491616241,0.73462522333942382) (-0.99381484450111657,-0.11104978545329774) (0.88753656638783862,-0.46073728232528244) (-0.17640347766868344,0.9843179430785538) (-0.25085760876318275,-0.96802399770130632) (0.93737415614288289,-0.34832411830853621) (0.74844570853972681,0.66319606555562927) (-0.66040578231021152,0.75090891770656065) (0.2678602500570772,-0.96345777615802131) (0.96912660163064412,-0.24656364292376773) (0.56171483961836433,0.82733091260542002) (-0.9992429346124635,0.03890446795772276) (0.91431596867106868,-0.40500161658083034) (-0.26937951944349448,-0.96303409830825426) (0.95306092815850674,0.30277857787110118) (-0.50196081395302572,0.86489036371994354) (-0.96430447959724919,0.26479590372337358)
 (1.0000000000000002,0) (-0.7057623163014195,0.70844869460593707) (0.81475968272907451,0.57979880941514461) (-0.88201821435627692,-0.47121531123655747) (0.99979523554721594,0.020235784568119419) (0.12915388147419216,0.9916245634816393) (0.035732953388201261,-0.99936137409955916) (-0.02273680515324028,-0.99974148543082175) (0.73721808210815354,0.67565486708287503) (0.94826182663362568,-0.31748938273501426) (-0.21549394321064591,0.97650517686263538) (-0.97695944314435446,0.21342503707642357) (0.8719464264677943,0.48960129633207239) (-0.7960040759127045,-0.60529126140260936) (0.99981104457018555,0.019439011175340748) (0.51849134615526826,-0.85508287549342188) (-0.70656124235915496,0.70765189945049123) (0.81512436581309733,0.57928599867232822) (-0.12960093881760226,0.99156623412538425) (0.47444546389236625,0.88028489808240928) (0.47663988663575019,-0.87909863978273717) (0.65206961614367387,0.75815909656367131) (0.60702559234637299,-0.79468228257369389) (-0.67718545882468117,-0.7358123771427113) (-0.29310510836736309,0.95608022437918738) (-0.22434692260943406,0.97450934234397046) (-0.91027247886696083,0.41400967889338114) (-0.13112278810417854,-0.99136613541102325) (-0.98838020653202485,0.15200186622444314) (0.20839518448780209,0.97804470607549265) (0.88444429147038017,-0.46664579210088036) (-0.99431242984461699,0.10650254389681874) (-0.24569628710957764,-0.96934685974658652) (0.70578427913836217,-0.70842681437191746) (0.96912660163064457,-0.24656364292376784) (-0.36053282427095323,-0.93274652646000888) (-0.931111310467447,0.36473514708565669) (-0.39168346376088226,-0.92010002946216551) (-0.86573505625883984,0.5005025597981535) (-0.42931351294460879,-0.90315552791485432) (-0.97029093341519412,-0.24194111790324568)
 (1,0) (-0.26783038101482004,0.96346607984166033) (-0.94482329300635948,-0.32758044049152213) (-0.93725517914874157,0.34864412967790093) (-0.45964989566955394,-0.88810020460022798) (0.6268408847603365,-0.77914729364407043) (-0.33616264158468373,0.94180394902697651) (0.68470647721336741,-0.72881893503260609) (-0.87878471487807852,-0.47721842472462778) (0.051916924645959484,0.99865140711626998) (-0.9730797205911208,0.23046877743916949) (0.37195205873109094,-0.92825194101908715) (0.44093186449133204,0.89754057895796402) (-0.96550777216432926,0.26037423430569018) (0.88148650121296279,0.47220922076906618) (0.953168777699957,-0.30243888840221927) (0.26282008287499625,0.9648448600876619) (0.17503413205779222,0.98456236603618708) (0.21870566191735547,-0.97579087587724966) (-0.32444083470148538,-0.94590599151194921) (-0.96759482692903276,-0.25250792245031528) (-0.99635196117577307,-0.085339143780508234) (-0.47413027147580455,0.88045470392875957) (-0.87749866470198323,-0.47957907945013345) (-0.49127813116828822,-0.87100275420677853) (0.67006367424768853,0.74230362551565632) (0.73401777360567966,0.67913025851522879) (0.55792926209828919,0.8298885096773293) (0.5621737793026893,-0.82701913028933682) (0.81311120571074391,-0.5821083809288623) (0.75260141062574237,0.6584763600343928) (0.25596156878001264,0.96668695827950157) (-0.017862765436849823,-0.99984044807706518) (-0.24569628710957769,-0.96934685974658641) (0.2678602500570772,-0.96345777615802164) (-0.8608426841807747,0.50887117534051673) (-0.93758911226660058,-0.34774510285427318) (0.765093450801964,0.64391925855649246) (-0.39360247495684786,0.91928074694722262) (0.97653045414271511,-0.21537936793439919) (0.32707541718295308,-0.94499823887380685)
