# Created by Octave 5.2.0, Sun Sep 19 17:48:32 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
2.1187047717876716e-13


# name: H
# type: complex matrix
# rows: 42
# columns: 42
 (1,0) (1.0000000000000002,0) (1,0) (1,5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0) (1,0) (1,0) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,0) (1,-2.7755575615628914e-17) (0.99999999999999978,-1.3877787807814457e-17) (1,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,-2.7755575615628914e-17) (1,0) (1,0) (1,4.3368086899420177e-19) (1,2.7755575615628914e-17) (1,0) (1,0) (1,0) (1,0) (1,-6.9388939039072284e-18) (0.99999999999999989,0)
 (1,0) (-0.94887861708030152,0.3156412046101944) (0.95925012486488903,0.28255830893232331) (0.73968322460649283,-0.67295521933910285) (0.95305894292882742,-0.30278482673903345) (-0.77438265802849626,-0.63271755068491697) (-0.83701717125414898,-0.54717662141734724) (0.60825448856678066,-0.79374207217355131) (-0.38378797617838467,-0.92342124154737704) (0.93711495917757137,0.34902084935662492) (0.3275131476385163,0.94484662148092124) (0.60879040321813105,-0.79333110675776763) (-0.99732744412213004,-0.07306140705474734) (0.91795731695568739,0.39667917042304424) (0.72657190484993817,0.68709043588361263) (-0.6357799913549449,0.77187032757627527) (0.85588467592737627,-0.51716672506329142) (0.27220825593207959,0.96223836205090829) (0.0031380245985247468,-0.99999507638868823) (-0.45403689261157321,-0.89098288431800188) (-0.9988672423560514,-0.047583948428193634) (-0.48952866755259172,0.87198720383052863) (0.71702956870708845,-0.69704275162986051) (0.97110481533349158,-0.23865338387733759) (0.095051837084976165,0.99547232420935283) (-0.24239406334624569,-0.97017787959450819) (-0.72884503743498275,0.68467869209315857) (0.80629052648526778,0.59151972655196361) (-0.72487137426947079,-0.68888423611277982) (-0.87179057832951479,-0.48987874778958312) (-0.75101157281522513,0.66028904087346618) (-0.20767384841239206,0.97819812547642226) (-0.93777393564737177,-0.34724637596444152) (0.4514440141984169,-0.89229944639925707) (-0.179495105509615,0.98375886633772791) (-0.8512199002354337,-0.52480918574580848) (0.93722977577804234,0.34871241359469696) (0.93825432379552454,0.34594627311043968) (-0.98485487276487627,-0.17338073592899228) (-0.4748210123640394,0.88008238603984612) (0.2446157773256824,0.96962009131584748) (-0.59608814630551499,-0.80291900079276624)
 (0.99999999999999989,-5.5511151231257827e-17) (0.31218097530969535,-0.95002265165346844) (0.56789643344487384,-0.82310001875871153) (-0.18579751431582803,0.9825880539035976) (0.39603055473106907,0.9182373330024225) (0.85004168450592432,-0.52671542088905099) (-0.94543513502977583,-0.32581038266333595) (0.29616105813379423,-0.95513801497221895) (0.78244649767748564,-0.6227178159264718) (0.82462841949709287,0.56567479151693478) (-0.78908647458953196,-0.61428213031136181) (-0.81889600724091927,0.57394192156077928) (-0.20309186644839844,-0.97915968758037897) (0.89994490983793485,-0.43600362298585366) (-0.97293253542282609,-0.23108933665513554) (0.49194243262232495,-0.87062772927677301) (-0.70802303303316239,-0.70618934054155891) (-0.98373532929812457,0.17962405710458174) (-0.35794956506394793,0.93374092170715639) (0.16964286385232147,-0.98550560563803069) (-0.97699107810702968,-0.21328017558897322) (0.36443411286204713,0.93122917554297668) (-0.92907043231698716,-0.36990286805366512) (0.3649914342848336,0.93101087689602191) (-0.95461087167753977,-0.29785581020864094) (-0.29417471114646671,0.95575166195089223) (-0.93576454799146069,0.35262545387753441) (0.49462197611853431,-0.86910822153549772) (0.89573487939184127,0.44458860291384383) (-0.94284693548315823,-0.33322613380408367) (-0.41629562081532512,0.9092293198582978) (0.9919952759802354,0.12627498736050796) (0.36007342823197364,0.93292396597004257) (-0.10894331514478733,-0.9940479636744215) (-0.96013265972508322,0.27954476516157123) (0.19789696848249094,0.98022282663965754) (0.99972416354001892,-0.023486098743900674) (-0.97529759460375332,0.22089500211668839) (0.91923331339655556,-0.39371324024217152) (0.26012737030929772,0.9655743115969736) (0.77471069791807867,-0.6323158502926236) (0.24461577732568224,0.96962009131584725)
 (1,0) (0.07394137313236418,0.99726258996279449) (-0.65917788784329745,-0.75198704256020876) (-0.99363643083549591,-0.11263500040616252) (0.99202296120707023,0.12605730616650315) (-0.86532843859855613,-0.50120524074732542) (-0.26806010258247492,0.96340219088575529) (0.33154857452370262,0.94343814992361852) (-0.15329256679142947,0.9881808483099106) (-0.068508249029877621,-0.99765054994966085) (0.87043828737309636,0.49227755166673176) (0.0076619527650200192,0.99997064680910885) (-0.28696924707028926,-0.95793979520422401) (-0.90022723326090803,-0.43542040431680412) (0.52562289928145034,-0.85071767805245591) (-0.39076002214983052,-0.92049258828600222) (-0.97635237894609084,-0.2161851801727166) (-0.72790292146821201,-0.68568020017938547) (0.99757492068738451,0.069600844934225178) (0.14142771309301014,-0.98994858551809672) (0.89373518085514003,0.44859494703109365) (-0.56232321084861581,-0.82691753309559402) (0.62382701074225988,-0.78156244834842037) (-0.37560450598271178,0.92678004676702164) (0.21988417976978666,0.97552598503933641) (0.95392608010600433,0.30004171992173306) (-0.97835338153834028,0.20694120138941607) (-0.49661151190237401,0.86797292944310112) (0.046307859966937898,0.99892721561947762) (-0.93902682584786579,0.34384388948777617) (-0.1339530775691474,-0.99098767550850708) (-0.77434992313514439,0.63275761278754739) (-0.6656537975091984,0.74626069296297715) (0.34022841817249888,-0.94034282230888533) (0.31308217348652345,-0.9497260408375432) (0.49366094701189439,-0.86965445401913544) (0.919453358385666,0.39319908666389203) (0.54541343595505365,-0.83816715748095383) (0.19734873642703912,-0.98033334954527074) (0.94367929202269907,0.33086159312851293) (0.26012737030929772,0.9655743115969736) (-0.47482101236403951,0.88008238603984601)
 (1,5.5511151231257827e-17) (0.72833777005848943,0.68521828106540394) (0.96041463053655507,-0.27857447379710137) (0.37267137610204648,0.92796338582629789) (0.63615102076523034,0.77156456552861163) (-0.31142328933911534,0.95027129539790112) (0.57222611062701878,-0.82009589580528608) (0.41730512439294948,-0.90876643487498154) (-0.94134697901711317,-0.33744016520763154) (0.99987731007916725,0.015664124260525603) (-0.78145415842825749,-0.62396265775700377) (-0.78103258730949032,-0.62449027018893055) (-0.90925895621152208,0.41623088610665854) (-0.929432009465751,0.36899341427789029) (-0.65427344623030537,0.75625806280522945) (0.67995783484954719,-0.73325121399607351) (-0.13066657024983175,0.99142637014512847) (-0.85119294250266364,0.52485290761665548) (0.96537606811665511,0.26086212279215032) (-0.62443024671070479,0.78108057650463136) (0.95377027317912932,-0.30053663004666842) (0.88607835024795178,0.46353549726193266) (0.28827206396422927,0.95754854557761382) (-0.99807180834305043,0.062069842845238365) (0.20347634471502912,0.97907986249407131) (-0.81993023201507675,-0.57246346139094495) (0.81002046763336599,0.58640160471729719) (0.070207904680245625,0.99753238048717474) (-0.70747413728568831,-0.70673923413934725) (-0.99957562316373705,0.029130286246900117) (-0.99999268549961029,-0.0038247806835397524) (-0.4076885253759126,-0.91312105784327047) (-0.73470839908792707,-0.67838305426186341) (0.64573990808380921,-0.76355744453702634) (0.03286642908852877,-0.99945975298606626) (0.93007957757873294,0.36735810780621936) (-0.92950397700594845,-0.36881208864423753) (0.25958732087559172,-0.96571963987517184) (0.96731351060871462,0.25358346198804682) (0.19734873642703915,-0.98033334954527063) (0.91923331339655578,-0.39371324024217147) (-0.98485487276487615,-0.17338073592899234)
 (1,-5.5511151231257827e-17) (0.87978162534910331,-0.47537805134239247) (-0.64703882814835523,-0.76245705116314821) (-0.36722949477565914,0.93013036622121614) (-0.76029086480307129,-0.64958278987131279) (0.1777536289865343,0.98407502121642976) (-0.66044889344900048,0.75087100033360621) (0.46353478947186361,0.88607872051487291) (0.99053728797106122,-0.13724387468639265) (0.86459078885771479,0.50247663410590038) (-0.47262488403591685,-0.88126370570337054) (0.91442175465907849,-0.40476271395252289) (-0.84009178182890665,-0.54244428110501186) (0.98091935679289255,-0.19441505977937512) (0.979001953496071,0.20385086472928055) (0.33614204317893337,0.94181130106167832) (-0.02990202608813386,0.99955283443939291) (0.94957858309467047,-0.31352912867533911) (-0.66213607819872211,-0.74938362268441383) (0.37244037406703434,0.92805612317618336) (-0.52076127080677148,0.85370234791039179) (0.032027057156568228,-0.99948700222158426) (-0.8944730121116693,0.44712194153706841) (-0.65005901605456573,-0.75988372508310054) (0.32552477959964454,0.94553350964764971) (-0.81154701947176522,0.58428711708071568) (-0.9495755574539938,0.31353829221633633) (-0.46665594914671038,-0.88443893238933224) (-0.49290171379481851,0.87008499615734713) (-0.43336972775748334,-0.90121622214838371) (-0.60215452229967059,0.79837956591714909) (-0.038750082131769947,0.99924893351695943) (-0.23726494776544416,-0.97144497762964455) (0.86224280708707379,-0.50649515459341155) (-0.75953151024853427,-0.65047051043039683) (0.39961967657925479,-0.91668103181569771) (-0.84826151803861682,-0.52957756468228556) (0.84899470603966376,0.52840135230393304) (0.25958732087559161,-0.96571963987517184) (0.54541343595505354,-0.83816715748095372) (-0.97529759460375343,0.22089500211668839) (0.93825432379552454,0.34594627311043979)
 (0.99999999999999989,0) (-0.78109456685772416,0.62441274620666087) (0.84609469561050243,-0.53303261256678358) (-0.97494071925521575,0.22246481505649773) (0.28099602548831071,0.95970893173908323) (0.507215197017862,0.86181943811574035) (0.047019618994960641,-0.99889396605924496) (0.52163600648327491,0.85316814095474713) (0.33506474801728992,-0.9421951043367337) (0.990981971288181,-0.13399527074412362) (0.15976894085846993,0.98715443854392027) (-0.98181885160441218,0.18982029036484144) (-0.7668741550788063,0.64179749942810338) (-0.80920820072016064,-0.58752198927975385) (0.97832828553248197,0.20705981195556589) (-0.51504595217840876,0.85716256751250808) (0.94565465431279394,0.32517268454860876) (-0.82588413348536416,0.56383986916244955) (-0.62021471896737834,-0.78443208907859874) (-0.022590662850050305,0.99974479841207209) (-0.63443890604112141,-0.77297301020238995) (-0.76093430611183765,-0.64882893106125794) (-0.8877709149577494,-0.46028556631191497) (-0.49081516031889999,0.87126372494275883) (0.40290762685127635,-0.91524064825873575) (0.59811725687459805,-0.80140860179362017) (-0.15992525683167524,-0.9871291264203087) (-0.99923092768847743,0.039211645602094274) (0.078722942571273574,0.99689653340400286) (0.62421404588051521,-0.78125336794504607) (0.99884259573946821,0.048098533620482789) (-0.87655159525951065,-0.48130790648815064) (0.040135019535310748,-0.99919426549940671) (-0.99227060701136527,0.12409287836655467) (0.64718732556736069,0.76233100791255148) (0.61575892888878214,0.78793460483325639) (0.4023219470462841,-0.91549825282459485) (-0.84826151803861671,-0.52957756468228556) (-0.92950397700594845,-0.36881208864423742) (0.91945335838566578,0.39319908666389192) (0.99972416354001892,-0.023486098743900563) (0.93722977577804201,0.34871241359469701)
 (1,0) (-0.77924928723719278,0.62671408819359475) (-0.7356867059087886,0.67732198454581138) (-0.085673046869052139,-0.99632330547878589) (-0.63084687479031687,0.77590735308237124) (0.044014567111928582,-0.99903088935325213) (-0.30425853886188331,-0.95258949266178283) (-0.94117697978362613,-0.3379140315603536) (0.26859782987934888,-0.96325241021453156) (0.33537481867328633,-0.94208477909361299) (0.73405006973956521,0.67909535053285464) (0.99050939902432222,0.13744500880161697) (0.88972703252496266,-0.45649294364132842) (-0.79901531626324063,0.60131067209617495) (-0.51544183756360462,-0.85692456616032153) (-0.51532802776065589,0.85699301269281913) (0.35103194435936563,0.93636348393093782) (0.29617913154768089,0.95513241073458577) (0.81462756923068735,0.5799844165572916) (-0.074223709517486636,0.99724161613195006) (-0.28211929588182583,-0.95937933211589654) (0.86182968380347802,-0.50719778796362847) (-0.91251007482670721,0.40905423031641935) (-0.99294457862539687,0.11857935645985523) (-0.99810131053679307,-0.061593619026129698) (-0.98268922333760211,0.18526168070094901) (0.45218175308745284,0.89192581651993808) (0.11586966030502438,-0.99326442693816397) (0.93429141147372208,0.35651025012815646) (0.076873335149502287,-0.99704086693725458) (0.39243307627127283,0.91978056113850659) (0.098722403798910285,0.99511501193990926) (0.87730317809646863,0.47993659341816841) (-0.988419921724496,-0.15174339635761017) (-0.29565139468311147,-0.95529589804517223) (-0.48607693821092141,-0.87391602007257974) (0.61575892888878225,0.78793460483325639) (0.39961967657925473,-0.91668103181569771) (0.93007957757873305,0.3673581078062193) (0.49366094701189428,-0.86965445401913566) (0.19789696848249105,0.98022282663965754) (-0.85121990023543348,-0.52480918574580837)
 (1,0) (0.64205295818732822,-0.7666602891000035) (0.58707119521971074,-0.80953530605113255) (-0.44753570170880475,-0.89426606538323239) (0.81101349084778152,0.58502745034989267) (-0.72787014574195941,0.68571499249876333) (0.070466771591261301,-0.99751412726913558) (0.97848896259057749,-0.20629917616998672) (-0.56603334005461503,-0.82438234936624866) (-0.075899123553858916,0.99711550135566362) (-0.85556338043420532,0.5176980800234785) (-0.7503382292048808,0.66105411411902115) (0.94225910441276495,-0.33488472666165969) (-0.8146655754840888,0.5799310304865386) (0.90468585832941617,-0.42607921533297932) (-0.91910417475686534,0.39401461387174719) (-0.52663546685826179,-0.85009122160329453) (0.37458137544178238,-0.92719404289077589) (-0.65995106069386422,0.75130859005407558) (0.39408524501662373,0.91907389238308101) (0.41741336033139465,0.908716725177243) (-0.94702813245358408,0.32115061317312982) (0.2810515829352595,0.95969266316336199) (0.34844262896896366,-0.93733010957570162) (0.69365107153556793,0.72031117647691512) (-0.67109963632803349,-0.741367168223938) (-0.077726011591450539,0.99697475751499631) (-0.37903984375573757,-0.92538035252842188) (0.31797061999282805,-0.94810056682895028) (0.94797281906080222,0.31835127504364713) (-0.93085476571376558,-0.36538938838993401) (0.73402261157760096,-0.67912502949957521) (0.29240543332208424,0.95629444344496972) (-0.40453882065880453,0.91452082676119772) (0.217923061654963,0.97596595186457602) (-0.29565139468311152,-0.95529589804517223) (0.6471873255673608,0.76233100791255159) (-0.75953151024853427,-0.65047051043039672) (0.032866429088528715,-0.99945975298606637) (0.31308217348652345,-0.94972604083754308) (-0.96013265972508344,0.27954476516157123) (-0.17949510550961512,0.98375886633772769)
 (1,-5.5511151231257827e-17) (0.4808339011054461,0.8768117013063399) (-0.69443644440406027,-0.71955404570014492) (-0.95789033263213463,0.28713430768526987) (-0.57997831521001586,0.8146319131277342) (-0.90419798677475527,0.42711356886954521) (-0.34953184853363728,-0.93692448300845432) (-0.51748711828197846,0.85569099703819096) (-0.70939323134631105,0.70481291370124532) (-0.9107774108114699,0.41289769671863741) (0.42428429401263362,0.90552903755440217) (0.99754425112549572,-0.07003903944568568) (-0.73764068676807959,-0.6751934665148327) (-0.11381255973436311,-0.99350224018202993) (0.041628271841671782,0.99913316779270023) (0.99766224999774578,0.068337653818637156) (0.90398762842968827,0.42755861311178012) (-0.84725612905704417,-0.53118457411268483) (-0.20514325170554193,0.97873195834185167) (0.068934742936974991,-0.99762117119486404) (-0.85876413056103862,0.51237112336834856) (0.099356828879528847,0.9950518682737115) (0.95763722007504315,0.28797735106592193) (0.76074132797933769,-0.64905518402076867) (0.080154266273547048,-0.9967824705511974) (-0.92905548545746797,-0.36994040728391403) (-0.099366431253555543,-0.99505090942118746) (0.86266869028317306,0.50576944431738347) (0.98186857580796527,0.18956291789492546) (0.79300789621370393,0.60921135621614564) (0.54608773008608158,0.8377279934736761) (-0.91997710914522113,-0.39197208911962278) (0.54165945431390139,0.84059802257224392) (-0.0088313406876078804,-0.99996100295044554) (-0.40453882065880448,0.91452082676119772) (-0.988419921724496,-0.15174339635761025) (-0.99227060701136527,0.12409287836655469) (0.86224280708707357,-0.50649515459341143) (0.64573990808380921,-0.76355744453702634) (0.34022841817249877,-0.94034282230888511) (-0.10894331514478739,-0.9940479636744215) (0.45144401419841695,-0.89229944639925673)
