# Created by Octave 5.2.0, Fri Sep 17 21:15:58 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
2.6935487152222781e-13


# name: H
# type: complex matrix
# rows: 45
# columns: 45
 (1,0) (0.99999999999999989,-5.5511151231257827e-17) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999989,-5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,0) (1,0) (1,-5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999989,-1.1102230246251565e-16) (1,0) (1,2.7755575615628914e-17) (1,0) (1,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (1,-2.7755575615628914e-17) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,0) (1,-5.5511151231257827e-17) (1.0000000000000002,0) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,0) (1,0) (0.99999999999999989,-2.7755575615628914e-17)
 (0.99999999999999989,0) (-0.63018352418371781,0.77644621568231476) (0.84140191028160427,-0.54040986794697432) (-0.88506246148622236,-0.46547227550945253) (-0.86886988635058748,-0.49504052419283401) (-0.31947334422977863,0.94759526292961194) (0.25221285982843089,0.96767177975652563) (0.34983784048414202,-0.93681027180822007) (0.94015945237336807,-0.34073480026702041) (-0.49804951580391549,-0.86714859153866197) (0.38418274959289489,-0.92325706870580793) (-0.10018367432261988,0.99496896001795865) (-0.69405083899505382,-0.71992599125900514) (0.32502019385379449,0.94570707599512038) (0.43177718916365881,-0.90198029851983352) (-0.98498257649884524,0.17265376912681521) (-0.74724513139304549,0.66454850357922635) (-0.69116649548992404,-0.72269556212292796) (0.79435022827444102,-0.60746005205308962) (-0.60564011162007314,-0.7957386852458691) (-0.77079892091471369,0.63707850655685472) (0.38689971149818825,0.92212179957021789) (-0.99875304935602582,-0.049923405352983896) (-0.11171042218645078,-0.99374080200770853) (0.0078694261511346175,0.99996903558662786) (0.23267313793763864,0.97255499118674582) (0.99177876923602226,0.12796434227033643) (0.24364069266113941,-0.96986556433332471) (-0.32715963682342575,-0.94496908522637024) (0.92111375834559805,0.38929351932243417) (0.71738878066051692,0.69667304912879779) (0.60542997469137227,-0.79589857754942739) (0.050488891364967037,0.99872462263065087) (0.99288236099788696,-0.11909919067424696) (0.65783751279481439,-0.75315988127351208) (0.64974109310626926,-0.7601555840280787) (-0.97883280883440305,0.20466150676019004) (0.27041937666009774,0.96274262434295621) (-0.98012386197722301,-0.19838652974144277) (0.88926706731502392,0.45738832843540622) (0.33542502819011499,0.94206690339044397) (-0.65153264414533196,0.75862059925432446) (0.13669458194750445,-0.99061324000146278) (-0.9138041386431579,-0.40615513809212783) (-0.65086954415610887,0.75918959192682323)
 (1,-2.7755575615628914e-17) (0.99963714875713172,-0.026936421898839963) (0.82653989835139086,-0.56287813639656681) (0.71420333299472383,0.69993828237868794) (0.28913237765722727,-0.95728912465893945) (-0.99099183453905759,-0.13392230537484628) (0.59600924651006693,0.80297757009427195) (-0.56982887310676666,-0.82176338162141982) (-0.76546698248169986,0.64347517335975013) (0.0069792178443202069,0.99997564496255698) (0.74180288331297606,0.67061798537509854) (-0.2124238301158223,-0.97717762786451656) (-0.98098591117344636,-0.19407895836283778) (-0.97226542974170094,0.2338801704488562) (-0.55910021350572947,-0.82910008518745604) (0.90653670565294719,-0.42212699665373377) (-0.99926489703484045,0.038336217261881578) (-0.58746622438070117,-0.80924868564112185) (0.52600295089608007,0.85048274271064139) (0.42717143418452413,0.90417065082689851) (-0.46107390322798925,-0.88736173895548798) (0.22398561343063023,0.97459245070752765) (-0.49231218833539847,0.87041869764867208) (0.7174028938765975,-0.69665851595848816) (-0.73694717307649582,-0.67595034144126398) (0.81424305265514341,0.58052411767542733) (0.68569487327321921,-0.72788909922241818) (-0.94464180600095271,0.32810342630831768) (0.71449886248889993,0.69963660246021087) (-0.80080335750053955,0.59892736004949998) (0.44563606708751136,-0.89521421777738563) (-0.75684355188766683,-0.65359608166363747) (-0.10871828928138447,-0.99407259975100848) (0.63821248931349761,-0.76986025906281796) (-0.99393765532804224,0.10994515596875332) (-0.65671801084968495,0.75413623054832257) (0.97852771588697829,-0.20611528143496038) (-0.37288896069137956,0.92787597392889887) (-0.7089088539803261,0.70530010403253229) (0.03395515811954497,0.99942335736017129) (0.83879535096066227,-0.54444683781502468) (0.33460176107973927,0.94235962428487829) (0.13756008661669286,-0.99049342378937955) (0.98826296393227919,-0.15276227976757628) (-0.9138041386431579,-0.40615513809212789)
 (1,0) (0.26050669255225145,-0.96547204161253974) (-0.52667973265000922,0.85006379714449376) (0.86182559057917585,-0.50720474309972063) (0.64103525350491342,0.76751143559160806) (-0.98001658934231495,-0.19891577266234117) (0.51317765033775076,0.85828241225940538) (-0.7652501347584284,0.64373304346771432) (0.98035207956906789,0.19725567186928172) (-0.9977008443736235,0.067771860946554519) (-0.99952265241242078,0.030894454428558704) (0.40515741876529471,-0.91424693930001411) (0.17056039764206588,-0.98534722344774472) (0.52605672610103305,0.85044948170003776) (-0.20635375665199124,-0.97847745355506799) (-0.92652389927249867,-0.3762359154531687) (-0.010125845664015365,-0.99994873231060599) (-0.93899281099377441,-0.34393676875555074) (0.99178983826752565,-0.12787852325263405) (0.051886938898829893,0.99865296553492899) (0.99979009623340609,0.020488130065901999) (-0.27258776289165776,0.96213092223549346) (0.55984646051330011,0.82859636775134948) (-0.99988076725601172,0.015441867488371397) (-0.9308898326813857,-0.36530004025515933) (-0.089067391760438486,0.99602560194253653) (-0.94622177309000388,-0.32351871063418958) (0.83457622567636336,0.55089247910621753) (-0.88469249410750228,-0.46617506461612229) (-0.72723546483078072,-0.68638806712555633) (0.95834271454116648,-0.28562080016320363) (0.7687269141244607,0.63957715054611164) (-0.24117191129361032,0.97048241055826812) (0.60244330090006804,0.7981616811151917) (0.54712091728939793,0.83705358362795845) (0.17788164514663918,-0.98405188903833951) (-0.091967887377748692,0.99576197341095152) (-0.78312454061435655,-0.62186490002857731) (-0.16286080716212936,0.9866490548774165) (0.74781408913945679,-0.66390819251197952) (0.70081239108868199,-0.7133456332638225) (-0.2805519287101842,-0.95983884860792912) (-0.81253918154016003,0.58290657781676003) (0.137560086616693,-0.99049342378937966) (0.1366945819475045,-0.99061324000146289)
 (1,-5.5511151231257827e-17) (-0.85530057479243171,-0.51813215182975769) (0.90282531710029401,-0.43000749621692935) (0.62025062272200626,0.78440370028000483) (-0.15060546910793837,-0.98859394731850192) (-0.48625305677162312,-0.87381803871301078) (0.98165530068677775,-0.19066428777710465) (0.3132458195444402,0.94967207842387957) (-0.926193504459209,-0.3770485277753608) (0.89609062380587701,-0.44387114563484875) (-0.98212213120575509,-0.1882448389620959) (0.99771117465536963,-0.067619612301475562) (-0.46804176426358918,-0.88370634653431535) (0.29242204114873793,0.95628936512459717) (0.24218660529782182,0.97022968838018797) (-0.86856639442055783,0.49557281854765955) (0.46025552590958652,0.88778648946111427) (-0.78971961809181757,-0.61346794928578996) (-0.42492298965372155,-0.9052295028686056) (0.60905831179393566,-0.79312544583736599) (0.63735441493291278,-0.77057079477847079) (-0.87083328403122284,0.49157846924310622) (0.982211030370014,0.1877804351349594) (0.74682071971038899,0.66502542253003849) (0.98715774447771343,-0.15974851335043044) (0.99999798830018172,0.0020058403697604255) (-0.9967714394059074,-0.080291329448920867) (-0.9054150986145747,-0.42452738333440737) (0.99362081252541179,0.11277269579263771) (0.67995623545944905,-0.73325269713776964) (0.9837252923421137,-0.17967901715677037) (0.97512147607884714,0.22167116837741896) (-0.87453808926835241,-0.48495683356239022) (-0.99991636680298046,0.012932880557997795) (0.065691379159354746,0.99783998852728906) (0.0088008091417670076,0.99996127212930097) (-0.9865153481942206,0.1636687745944066) (-0.31347898914831784,-0.94959513655165062) (-0.66962916917311976,0.74269561449662325) (-0.87685201729049633,-0.48076037666761412) (-0.35749401010202841,0.93391543125765442) (-0.97550711858936023,0.21996786488367631) (-0.28055192871018425,-0.95983884860792901) (0.33460176107973932,0.94235962428487852) (-0.65153264414533207,0.75862059925432446)
 (1,-5.5511151231257827e-17) (0.99961323123791346,-0.027809853183681343) (0.67122599250499115,0.74125276861924083) (0.6209357654436094,0.78386145152887743) (-0.65184335322331788,0.75835363970813885) (-0.51036574064465579,-0.85995744707295385) (-0.99515964078537356,-0.098271508342581138) (-0.85562261347286184,0.5176001770806008) (0.19365472480376583,-0.98106974653241474) (0.66422221911215351,-0.7475351788629927) (-0.71428483667062292,0.69985510793479311) (-0.91313939728698512,0.40764744709413048) (-0.026418364322073562,0.99965097410373516) (-0.99907191113621163,-0.043073383645114538) (-0.53110098913829018,-0.84730852665149625) (-0.42869801164288657,0.90344784841928538) (-0.92710221421341599,0.37480859702064206) (-0.92859356299406448,0.37109836265603202) (0.64575954676982106,0.76354083568309228) (0.97406306749147176,-0.22627669024692965) (0.73479471747314851,-0.67828955702823313) (-0.40393103191628754,-0.91478944104916471) (-0.92213379683932928,-0.38687111642856353) (-0.80646628955785171,0.59128007222194756) (0.99994944530535768,0.010055189382010499) (0.44925572811123565,-0.89340320726939593) (-0.54742235865766165,-0.83685647589158452) (0.92750761564753692,-0.37380425748755297) (0.82280945537299854,-0.56831734105936704) (-0.19545894586289325,-0.98071188454212477) (-0.69033136976454523,-0.72349333094300694) (-0.9713481604449502,0.23766100058741435) (0.85945923841730398,-0.51120428157356901) (0.31710155496359493,0.94839158781574573) (0.99998945538529649,-0.0045922889955047341) (-0.068045300657411933,-0.99768223250614319) (-0.60221642667020781,0.79833287258421626) (-0.41045801892869926,0.91187949571044036) (0.67580058058960302,-0.7370845102664656) (0.87798378706656077,0.47869036928714159) (-0.8524525510031975,0.52280459857210648) (-0.35749401010202841,0.93391543125765453) (0.7008123910886821,-0.71334563326382283) (0.83879535096066238,-0.54444683781502479) (0.33542502819011522,0.94206690339044408)
 (1,-5.5511151231257827e-17) (0.52008495569279767,0.85411453497878098) (-0.25387192354179716,-0.96723784377845101) (-0.99592004105225596,-0.090240078847881433) (-0.98200387595712479,-0.18886076248173711) (-0.98132689215457203,0.1923474219589365) (-0.4336324340354345,-0.90108984688126559) (0.69822254959662744,0.71588076607406093) (0.52241933379212802,0.85268871206331021) (-0.01559374761838711,0.999878410125558) (-0.99417748014429685,0.10775499048273673) (-0.94513580919535023,0.32667767321420782) (0.66379072282747098,-0.74791836204774642) (-0.037435966985781111,0.99929902850740282) (0.67369033222524299,0.73901375918601253) (0.92438873030329483,-0.38145179942983803) (-0.9983058068145515,-0.058185187808818317) (0.69294120587101216,-0.7209940951256304) (0.63730376051163884,0.77061268925298798) (-0.84711431364312584,-0.53141070710038818) (0.54542764426346591,0.83815791165698972) (0.69624525504227552,-0.7178039738195352) (0.99971656813015797,-0.023807213319872456) (0.80958686756836395,0.58700008846749263) (-0.95579094902526607,0.29404704004866428) (0.99312983554853029,0.11701764714498725) (-0.59276822269516038,-0.80537310245799709) (-0.0088931692741431312,0.99996045498822594) (-0.93074655878419299,0.3656649331168923) (0.13702895648485092,-0.99056704219586877) (-0.60893396346055229,-0.79322092013777745) (-0.2283819529319287,0.97357161193976749) (-0.99866959053826365,-0.051565966820532771) (-0.30878146232542331,-0.9511330130555733) (0.67231271672057158,-0.74026725642554569) (-0.5021545975800995,-0.86477786750654495) (0.99769971181676509,0.067788531778922967) (-0.65524150943436599,0.75541946249363534) (-0.56964365745946821,-0.8218917833365893) (-0.011633306093742857,-0.99993233080510391) (0.87798378706656055,0.47869036928714154) (-0.87685201729049633,-0.48076037666761406) (0.74781408913945679,-0.66390819251197952) (0.033955158119545026,0.9994233573601714) (0.88926706731502403,0.45738832843540622)
 (1,0) (-0.20526401771017069,0.97870663788158641) (0.99975504555696981,-0.022132529981475024) (0.24504798497653529,0.96951095148994559) (0.99114353096749341,0.13279495856879947) (0.040108702172018826,-0.999195322251899) (-0.79776302174250591,-0.60297111136460424) (-0.84395722347448143,0.53641048176302775) (0.99969076455121475,-0.024867152450704394) (0.024703917873199893,-0.99969481165089269) (0.99787919012251325,-0.065093178755047554) (-0.46414463681086976,-0.88575942338747082) (0.99999140263007524,-0.0041466451420600625) (0.99678463184783006,-0.080127384282695543) (0.9999608319781037,0.0088506784857509679) (-0.98329746672490004,-0.18200574697628324) (0.022513642840347223,0.99974653582098361) (0.92458312552043598,0.3809803722015897) (-0.35447707420986846,-0.93506470570737044) (-0.24335579725410905,-0.96993708865205086) (0.82222150016415196,-0.56916764197186365) (-0.12127463880168522,0.99261899134739551) (-0.33823557283248473,0.94106147369376492) (-0.57353088750025738,-0.81918393605048589) (-0.14392122081939518,0.98958914818113042) (-0.84594766947089572,-0.53326591914049815) (0.97379082684401475,-0.22744543423522467) (-0.64983431736176467,0.76007589093390426) (0.69709467076265808,-0.71697909313612485) (-0.9006476474542362,0.43455012959973865) (0.41973629664876361,-0.90764609913533012) (-0.88724135880915156,0.46130550746602761) (-0.95675820920088306,0.29088439134253935) (-0.85624001015899587,0.51657820802171139) (-0.99747887099036536,0.070964089001313568) (-0.56569851540548899,-0.82461214499182955) (0.93464609076392979,0.3555793652895276) (0.62960458008704923,0.7769157436514007) (0.42517718958786693,-0.90511013553830177) (-0.56964365745946821,-0.8218917833365893) (0.67580058058960302,-0.73708451026646549) (-0.66962916917311965,0.74269561449662336) (-0.16286080716212928,0.9866490548774165) (-0.70890885398032621,0.7053001040325324) (-0.98012386197722334,-0.19838652974144277)
 (1,5.5511151231257827e-17) (0.4636214392172725,-0.88603338599519121) (-0.53448826392145909,-0.8451758963258621) (0.96579034149609255,0.25932415289143435) (-0.070542192615292543,0.99750879648303181) (0.25577625463126913,-0.96673600717403707) (-0.9152942979166736,0.40278573485318675) (0.7207659992214811,-0.69317845780596765) (0.4414449437474936,-0.89728833807186514) (0.67865454851894869,0.73445762558131378) (0.97604617391644166,0.21756347667537024) (-0.16375778688764203,-0.98650057639803745) (0.12101818406668191,-0.99265029044734676) (-0.50974743380829568,-0.86032409807342713) (-0.16576859576024433,0.98616467826609777) (0.93434349052377308,-0.35637373881341394) (-0.73605325764838203,0.67692363077765683) (-0.55258902136671384,0.83345388202645965) (-0.89529016520285076,0.44548346780890963) (0.35055164181560283,-0.93654340338309194) (-0.90705595683707496,-0.4210100843998606) (-0.93293188279818762,-0.36005291563689296) (0.028189655388431489,0.9996025926982588) (-0.99944274607832584,-0.033379594236814358) (-0.68339703130721507,0.73004691465719129) (0.95821125534679796,-0.28606151458508633) (0.88183290039831497,0.47156201689183469) (0.1820266147881161,0.98329360391938769) (-0.98483798366370956,-0.17347664376854011) (-0.82572727284391512,0.56406956209473791) (0.99262804405764582,0.12120052042088053) (0.63425693821775919,0.77312232946839177) (0.66663701999819491,0.74538250822508934) (0.81720876475072191,-0.57634176910458146) (-0.024614851709861496,-0.99969700863576694) (0.42277797887848867,-0.90623329257725904) (-0.84529092746902568,-0.53430632406752765) (-0.10978445907468487,-0.99395541778576668) (0.62960458008704911,0.7769157436514007) (-0.65524150943436599,0.75541946249363512) (-0.41045801892869932,0.91187949571044014) (-0.31347898914831773,-0.9495951365516504) (-0.78312454061435632,-0.62186490002857731) (-0.37288896069137978,0.92787597392889876) (0.27041937666009774,0.96274262434295643)
 (1,0) (0.57710403155592493,0.81667064154522995) (-0.98293946026743595,-0.18392938169080286) (0.98122270324088001,0.19287821713366049) (-0.86942258955397178,0.49406918622118634) (-0.62067483480461949,0.78406807704449899) (0.27396448785430388,-0.96173980857336239) (0.97661911669331647,0.21497697762589629) (-0.74448246286968933,-0.66764201671216028) (-0.20815570428722641,0.97809570225652642) (-0.077699698827021046,-0.99697680855784676) (0.8289893999679121,0.55926431563335077) (0.61135420287112374,0.7913570866756755) (0.064067161618260593,-0.99794558909901454) (-0.1843392868383501,0.98286266961764657) (-0.96460824663534295,-0.26368718308459593) (0.72940020401019268,0.68408723302652663) (0.3315518841817654,-0.943436986817626) (0.97876747074704562,0.204973750044805) (0.66861202979606837,-0.7436114264936905) (0.99827686239479307,-0.058679689903813281) (-0.95199126339294093,-0.30612519403588984) (0.63815338460707982,-0.76990925290876144) (0.13329324592219544,-0.99107664213799573) (-0.95552987952716706,-0.29489430196393629) (-0.71134427430224711,0.70284374039853903) (0.11179653114181604,-0.99373111837390748) (-0.53100702709616332,-0.84736741569079332) (-0.24014452254646856,-0.97073714685847245) (-0.74999322872821983,0.66144550558743609) (-0.4307033809340054,0.90249354438246077) (-0.50135360582959887,-0.86524248735349241) (0.44728619386867063,0.89439088813251999) (0.83906075867746432,-0.54403772226528313) (-0.92957891633546397,-0.36862316571884596) (-0.81715333306208771,0.57642035899638389) (0.87555192676714066,0.48312402500222151) (-0.8452909274690259,-0.53430632406752787) (0.93464609076392979,0.35557936528952777) (0.99769971181676509,0.067788531778923078) (-0.60221642667020781,0.79833287258421604) (-0.9865153481942206,0.16366877459440654) (-0.091967887377748581,0.99576197341095174) (0.97852771588697851,-0.20611528143496038) (-0.97883280883440338,0.20466150676018996)
