# Created by Octave 5.2.0, Fri Sep 17 23:04:32 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
6.248479943308609e-26


# name: H
# type: complex matrix
# rows: 47
# columns: 47
 (1,0) (1.0000000000000002,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (0.99999999999999989,-2.7755575615628914e-17) (0.99999999999999989,2.7755575615628914e-17) (0.99999999999999989,6.9388939039072284e-18) (1,5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,-5.5511151231257827e-17) (0.99999999999999989,0) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,-2.7755575615628914e-17) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,-2.7755575615628914e-17) (0.99999999999999989,0) (1,1.7347234759768071e-18) (0.99999999999999989,-5.5511151231257827e-17) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (0.99999999999999989,0) (1.0000000000000002,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-2.7755575615628914e-17) (1,0) (1,-5.5511151231257827e-17) (1,5.5511151231257827e-17)
 (0.99999999999999989,0) (0.13578571860557248,0.99073822911138776) (0.68731176133641325,0.72636254221197094) (-0.52717582699001508,-0.84975622824277885) (0.56324836436007464,0.82628764969936508) (0.97544531798477152,-0.22024175721599254) (-0.98938226229310189,-0.14533664045856953) (0.95935103824374535,-0.28221549465018436) (0.89642133407673141,0.44320287884003234) (0.23779940289256696,-0.97131428692464916) (-0.92724188359155257,0.37446293449898266) (0.20795487549136299,-0.97813842055169853) (-0.90798055001139999,0.41901231581064069) (-0.37150823743589689,-0.92842965781865927) (-0.8270428528127165,-0.56213887929176654) (0.21521730803125072,0.97656618327883016) (-0.64094011245564064,0.767590888589326) (-0.99328167287623059,-0.11572172798656788) (0.14818091193639688,-0.98896027085909644) (-0.45071856043268904,0.89266610738925456) (-0.82331224410174075,-0.56758871439815928) (0.96701924072843859,0.25470333343125645) (0.50478770538624407,-0.8632435186498022) (0.14300351906434827,-0.98972217997537704) (0.79356007561367981,-0.60849191152554316) (0.30790111730813657,-0.95141836326634022) (-0.6110347088408794,0.79160380531661256) (0.81589051324614648,0.57820642541824063) (-0.30694236646850243,-0.95172810385462314) (-0.54522923348531938,-0.83828699319088229) (0.83713188565456664,-0.54700110239416433) (-0.76297487648647588,-0.64642813819514888) (-0.80572848083800597,-0.59228507930428109) (-0.87756488142219424,0.47945790106582875) (-0.42205321941898882,0.90657105622122436) (0.086335361121903931,0.9962661318241981) (-0.77397488519192648,0.63321629566218895) (0.15265516920192923,0.9882795147709631) (-0.83296968717751074,-0.5533186245224353) (0.74495134130904772,0.66711880432337556) (0.989451000155261,0.1448679339666078) (0.80213002356068019,0.5971494162289227) (0.17857891741793064,0.98392559182787809) (0.90205501192295212,-0.43162107856855414) (-0.99999321860664225,0.0036827626489513987) (-0.62254447105222621,0.7825844245589767) (0.76742731733950464,-0.64113595484974195)
 (0.99999999999999989,0) (-0.53099223076498092,0.84737668770578656) (-0.98045989047616477,0.19671909710922297) (0.81557297651197858,-0.57865423180288955) (0.89711190793294671,-0.44180337781065998) (0.12407599370688821,0.99227271845276954) (-0.81401295935733198,-0.58084671127442822) (-0.84951655526932635,-0.52756196064854666) (0.64555743940909505,0.76371172075827976) (0.98463051912748689,-0.17465033868486018) (-0.52461234067492168,0.8513412312413754) (-0.49830592155753339,0.86700127366728674) (-0.45565148989022153,0.89015825545844496) (0.11674585955968991,0.99316182179726886) (-0.79092200196181028,0.61191697705875325) (0.8800810781169508,-0.4748234365956529) (-0.38574087632878379,-0.92260716251777652) (0.99800892291152299,-0.063072892663828206) (-0.81958582206229047,0.57295643837422749) (0.25565001740493404,0.96676939784048654) (0.98078997049443251,0.19506674185398903) (-0.013703301595222817,-0.99990610535459301) (0.99611802261141102,-0.088027751469259063) (-0.2008125324548144,-0.97962968861151078) (0.1842553953360338,-0.98287840005239768) (0.34740747571529862,-0.93771426661703516) (-0.095389205098667162,0.99544005321799545) (-0.92142005621511958,-0.38856798633511469) (0.84175592646174269,-0.53985827794573493) (-0.98149770289671845,0.19147391260551772) (-0.443466559033802,-0.89629091874163302) (-0.68215285034998496,-0.73120960658308676) (-0.44570958316234927,0.89517761783751326) (0.67499926382651998,0.73781840166375401) (0.59047690605236547,-0.80705453559150875) (-0.50169127185083995,-0.86504674310044471) (-0.076093526903899422,-0.99710068456667245) (-0.14249190120843774,-0.9897959679095516) (0.90401340800710983,-0.42750410307197206) (0.42762042858566268,-0.90395838900704617) (-0.0008951611782255231,0.99999959934315241) (0.089377220850873018,0.99599784758450927) (-0.91535077954636046,0.40265736102034877) (-0.070088988016358433,0.99754074290669603) (-0.96989289750119867,-0.24353186111211339) (0.97875214378464848,-0.20504692398803848) (-0.62254447105222643,0.78258442455897637)
 (1,-5.5511151231257827e-17) (0.6908036585519618,-0.72304239525163705) (0.76432918531539007,0.64482625293571327) (0.14500925420533062,-0.98943029880573929) (-0.31132121521203843,-0.95030474110092711) (-0.97608558080365593,-0.21738661170180196) (-0.79576097454366601,0.60561082502983321) (0.33190666708990918,0.94331223056910951) (-0.33622597806159393,0.94178133963066191) (-0.90596059825576025,-0.42336201342121571) (0.94294183462750958,0.33295749955408127) (0.089633017637072099,-0.99597486019942938) (-0.83497805324193908,0.55028324579647325) (-0.54762147105848613,-0.83672619442428109) (-0.98161828019540254,0.19085479293489283) (-0.023407907655912163,0.9997259973908712) (0.8911009404047221,-0.45380514982734665) (0.58003960413234246,-0.81458827492052455) (-0.83295144412348165,0.55334608676000074) (-0.68621157828780033,0.72740200015106227) (-0.94703084552049899,0.32114261260805699) (-0.21639794820260688,-0.97630524325832746) (0.15591883215349772,0.98776987086056123) (-0.81582830170052301,0.57829420033789147) (-0.042447612101268184,0.99909869393714046) (0.17281747026399236,0.98495386794080564) (0.33365876976727787,-0.94269391923221102) (0.9991971749044064,0.040062521925784411) (0.83377194883872396,-0.55210899044452866) (0.24558665778467276,0.9693746404348289) (0.99190001943354722,0.12702106694454357) (0.90956554123318978,-0.41556049643965814) (0.70469667457787244,-0.70950870103113539) (-0.75832277504281609,0.65187925941186575) (0.82895942248232213,0.55930874825786014) (-0.12644384724627084,-0.99197376653496305) (-0.30738911641407451,-0.95158390650019664) (-0.78420347767380627,-0.62050375148286463) (0.97397886239927944,-0.22663886603891648) (-0.37406234935928634,-0.92740355767692129) (-0.99641072855247881,0.084650221650731106) (0.99951481248057461,-0.031147064579544026) (0.80816426588716006,0.58895714559131418) (0.99927431189697802,0.038090019464701363) (-0.8222027267065225,0.56919476121654466) (-0.96989289750119878,-0.24353186111211311) (-0.99999321860664236,0.0036827626489512877)
 (0.99999999999999989,-2.7755575615628914e-17) (-0.13213614404414276,-0.99123157709848286) (-0.99996386545035665,-0.0085010466167540766) (-0.14865210778871979,0.98888955442454274) (-0.90083528230838184,0.43416102329478878) (0.50980882957865825,0.86028771773380486) (-0.93280666231621412,-0.36037720618607938) (0.59546406167085164,-0.8033819460620536) (0.12420556642344796,-0.99225650779898111) (-0.83277817841841528,-0.55360681494189157) (-0.99837489245771927,-0.056987490820680164) (-0.52490605501359155,0.85116016906929315) (-0.33246968581565012,-0.94311394222206446) (-0.81899288161874895,-0.57380367710377878) (0.021131985094750616,-0.99977669467034258) (0.39426180199422334,0.91899816729320405) (0.74994644324562965,0.66149855046192618) (0.93890325353815773,-0.34418117394108266) (0.71708266447495783,0.69698812924575293) (0.11486901533143536,0.99338064673960003) (-0.97859607431823525,0.20579048405827349) (0.9978417377616875,-0.065664803210964906) (0.95089073195929907,0.30952676115952987) (-0.99995601413142099,0.0093792218441329234) (0.29903769750140674,-0.95424129834809412) (-0.93620318473711173,-0.3514592392982287) (0.88357207434648544,0.46829519475972403) (-0.81941721353161012,0.57319754898995379) (0.26501803481535036,0.96424345536934331) (0.91595098105580919,0.40129016970628628) (-0.73333861576712489,-0.67986357059689406) (0.67196195861322594,0.74058566430675499) (0.97823561425692729,0.20749718793123925) (0.28177295309244799,-0.959481111281281) (0.26737543112144391,0.96359243398473238) (0.48886785414435219,-0.87235785156339074) (-0.72346076981366847,-0.69036549344576459) (-0.89515403124813386,0.44575695209409205) (-0.30637786235808345,-0.95190997760129148) (-0.8749848321349335,-0.48415033154362447) (0.23218478388858202,0.97267169493648342) (0.84785282396772055,0.53023163701344811) (-0.20553592683964977,-0.97864957097940131) (-0.98253635356851021,-0.18607072288862436) (0.99927431189697802,0.038090019464701419) (-0.070088988016358322,0.99754074290669603) (0.90205501192295223,-0.43162107856855403)
 (1,0) (-0.30513731501244024,0.95230836339234148) (0.90303371622233153,-0.42956967696252296) (0.10031435638317993,0.9949557929392786) (-0.999996030470228,0.0028176308821100671) (-0.97482088594887895,0.2229893278115439) (0.057148605977025702,-0.9983656829212848) (-0.86338350138146813,-0.50454824302763912) (0.99962202053382587,-0.027492109120100638) (-0.68883477504960267,-0.72491837656550284) (0.79659145147849153,0.60451803896276757) (-0.65394792490797982,0.75653956374306519) (0.5367129545697491,-0.84376489877039274) (-0.96289490499813346,0.26987664205825002) (-0.083507796470047246,0.99650712387253804) (0.96878653810073112,0.24789643723700749) (-0.74065807276725304,-0.6718821468417655) (-0.28183915558688788,-0.95946166696646651) (0.24124757187321183,-0.97046360522447195) (-0.99348038106925096,-0.11400321236919753) (0.80444470926758926,-0.59402753280583231) (-0.87922725943363411,-0.47640258843631544) (0.78932758500780686,-0.61397228239208335) (0.78610377617942695,-0.61809453409365034) (-0.97649409408426324,0.2155441583958001) (-0.48628835397111758,-0.87379839596560382) (0.99417249558625653,-0.10780096947521189) (0.020616751670226585,0.99978745218699749) (0.45830956577874571,0.88879263156019583) (0.92160680219678626,-0.38812485380945988) (0.96093474768925069,0.27677501817071143) (-0.32022118630039437,0.94734280587566055) (0.33662105459773306,-0.94164019965245283) (-0.98797012298579423,-0.1546448708733511) (0.39232404244438518,0.91982707381338635) (-0.99602628921414738,-0.089059705783789078) (-0.2680600710029003,0.96340219967255658) (0.86991446019276897,-0.49320262767702694) (0.84157030061442128,0.54014759938719792) (0.76124959515465596,-0.64845898395879509) (-0.45621391709718667,-0.88987013763067779) (-0.75253859444202276,0.6585481484866732) (-0.73496894624404929,0.67810076541537123) (-0.20553592683964966,-0.97864957097940131) (0.80816426588715995,0.58895714559131418) (-0.91535077954636057,0.40265736102034894) (0.17857891741793053,0.9839255918278782)
 (0.99999999999999989,5.5511151231257827e-17) (0.99906116505432474,0.043321916858507559) (0.26495475578837274,0.96426084509593368) (-0.68240554687444921,0.73097378174253558) (0.49623194302503981,0.86818998999158781) (0.04532244784913525,0.99897240988976421) (0.10034606797854084,-0.99495259517287904) (-0.99878100746441556,0.049360906883564371) (-0.91979945834539734,0.39238878223964696) (-0.92409103782029611,-0.38217241373522537) (0.5701105061820243,-0.82156801954608483) (-0.50778354758233046,-0.86148468866527317) (-0.89606322345645562,-0.44392645738773739) (-0.35736544575275808,0.93396463433147858) (0.48227230302920188,-0.87602136145810428) (-0.046216307136954626,0.99893145558372665) (0.43047923105665303,0.902600482843253) (0.85846572122655584,-0.51287094427250435) (-0.042547305773392941,0.99909445337837055) (0.77755194269079309,-0.62881871506641218) (0.78168793481017773,-0.62366976243217009) (-0.19766306237926529,-0.98027002084673098) (0.35747211283995861,0.93392381302852345) (-0.94340454441703414,0.33164418519444705) (-0.90902283358203495,-0.41674631135318685) (0.96234937253597896,0.27181553520652157) (0.32316496780322929,-0.94634264597171025) (0.63503959118828646,-0.77247959042515424) (-0.15245802049808244,-0.98830994732715627) (-0.76639675289148879,-0.64236750941916543) (-0.71584379746065563,-0.69826045114778612) (-0.9179462127430793,0.39670486575114972) (-0.41814246367999935,-0.90838146175911194) (0.99973937698142901,0.022829325719022353) (-0.71754934783100277,-0.69650766932410901) (0.30511373577343681,0.95231591829727269) (-0.40500282182263991,-0.91431543480119537) (-0.29329005774192746,0.9560235049567225) (-0.24751787314224799,0.96888332758652518) (0.99592505262087272,-0.090184752381493316) (-0.37151186340078979,-0.92842820689188055) (-0.94082198305513753,-0.33890115992749098) (-0.75253859444202253,0.65854814848667309) (0.84785282396772055,0.53023163701344811) (0.9995148124805745,-0.03114706457954397) (0.089377220850873185,0.99599784758450927) (0.80213002356068019,0.5971494162289227)
 (0.99999999999999989,5.5511151231257827e-17) (0.70053655681383342,0.71361651646204127) (0.97667511756560077,0.21472241319484886) (0.10721660337424965,-0.99423568632436876) (-0.88364435503311478,0.46815879124300386) (0.98209135214367616,0.18840535036087802) (-0.51364476751108734,-0.85800294452203407) (-0.73490736639982945,-0.6781675035057837) (-0.97363102362336429,0.22812853797392213) (0.71949174517049452,0.69450099253457953) (0.80707551945010092,-0.59044822457549073) (-0.98452016125848107,-0.17527136695870599) (0.99941818880654421,-0.034106947718116398) (0.53169426776759732,0.84693636456529497) (0.31691270253591797,-0.94845471108080881) (0.93812866031450537,-0.34628689940064405) (-0.99480123031194467,-0.10183571166266353) (-0.82431133747950747,-0.56613674929538516) (-0.85716496944732934,-0.51504195474966774) (-0.99158620452267265,0.12944805522030634) (-0.75417362960602619,0.65667506150825616) (0.49250524818217256,-0.87030947398785441) (-0.95240066855832262,0.3048490881233859) (0.65091523727362532,-0.75915041584986298) (0.061312471521541623,0.99811862062378065) (-0.10272508111187684,0.99470978567145796) (-0.28854180138974805,0.95746729910256378) (0.30092079596042731,-0.95364913598164724) (-0.96539006104256364,0.26081033346137855) (-0.1997828209787923,0.97984020352389822) (-0.86725372841499437,0.49786641837976109) (0.6704987264841139,0.7419106804617267) (0.91552908818437995,-0.40225177275964569) (0.99999983026526995,-0.00058264005329905499) (0.18040910251588727,0.98359166107150975) (0.04411897849947749,-0.99902628380646796) (-0.99789435209953115,0.064860327225951475) (0.35285200084814733,-0.93567914666164176) (0.24165097090201626,-0.97036323521767454) (-0.33396726704895024,0.94258467234506527) (0.83378354744339511,-0.55209147431626426) (-0.37151186340078984,-0.92842820689188066) (-0.45621391709718673,-0.88987013763067768) (0.23218478388858205,0.97267169493648342) (-0.99641072855247859,0.084650221650730884) (-0.00089516117822546759,0.9999995993431523) (0.98945100015526088,0.14486793396660796)
 (0.99999999999999989,0) (0.27787951543418721,0.9606159351697543) (0.10830101713304308,0.99411814674511811) (-0.46554074707449333,-0.88502644752194959) (0.80431875799061081,-0.59419806087233362) (-0.65648424765913327,0.75433973286273481) (-0.98200199056157311,-0.188870565555111) (-0.8253995538219554,-0.56454900278941) (-0.48969602590088029,-0.87189322867934016) (0.13502130603081963,0.99084269534458991) (-0.97168655682523308,-0.2362736449228372) (-0.53753398901832339,-0.84324208306396131) (0.92045419151582297,-0.39085045902615062) (-0.53129299739767344,-0.84718814375331974) (-0.10879379796926519,-0.99406433872432176) (0.99920724013387596,-0.039810692835500205) (-0.1954660938715933,0.98071045989455141) (0.99736471570718421,0.072550836399919216) (-0.56889429205779218,0.82241065439600392) (0.75995718001682799,-0.64997314139960483) (0.94656531051826609,0.32251219034860984) (-0.82293404810453974,0.56813691349029138) (-0.62261015180878143,-0.78253217113716578) (0.30664290084503959,0.95182463267207984) (-0.090624362786497104,-0.99588514642479731) (0.99436016836655139,0.10605590773758572) (-0.8168345127819584,-0.57687206443739358) (-0.69170889111457656,0.72217643962749301) (-0.98851559187688753,0.15111890886413609) (0.83377128117891175,0.55210999871517974) (0.49949946893780006,0.86631419273313071) (0.99933842142870832,0.036369210279810327) (-0.24388359805591578,-0.96980451153791902) (-0.489402883257678,0.87205780648938169) (-0.28570959923110889,0.95831624472675991) (-0.91583060628566526,0.40156481493082852) (0.70820178360238439,0.70601008045381441) (-0.35558487324768967,-0.9346439952823884) (-0.71845668302772947,0.69557170343020136) (0.73727086576984202,-0.67559726944903087) (-0.33396726704895013,0.94258467234506527) (0.99592505262087294,-0.090184752381493316) (0.76124959515465584,-0.64845898395879509) (-0.87498483213493361,-0.48415033154362441) (-0.37406234935928634,-0.9274035576769214) (0.42762042858566263,-0.90395838900704639) (0.74495134130904761,0.66711880432337567)
 (1,-5.5511151231257827e-17) (0.7620938560080821,0.64746656642233913) (0.19759668792313131,0.98028340234944789) (0.1757567469388488,-0.98443362696805203) (-0.23973748450431229,-0.97083775087475077) (-0.017867695699601338,-0.99984035998272613) (0.1312872340541687,-0.99134437113164986) (-0.67750937124933619,0.73551414117563318) (-0.9464560795427801,-0.32283260290204674) (-0.53863861006314284,0.84253691180223456) (-0.94885427611891759,-0.31571436883810816) (0.27858613682970851,0.96041124752175755) (0.98732185532943562,-0.15873107442728879) (-0.99830257800782196,-0.058240559260163915) (0.63922554462605974,0.76901931256472211) (0.49213271068399478,-0.87052018648324503) (0.074364534541150329,0.99723112466593145) (-0.40558629441192823,-0.91405675851404422) (-0.48729654705068071,-0.87323655170433834) (-0.9419527688369731,-0.33574541140626257) (-0.67168946576413846,0.74083281621529595) (0.98959080816040634,-0.14390980649154289) (0.72113452477043061,0.69279506146054892) (-0.30685186019200722,0.95175728833390383) (0.99215260756766355,-0.12503280888105023) (-0.8736718741483136,0.48651562803487991) (-0.033282199982221428,0.99944599412091462) (-0.87706023801192035,-0.48038041061066766) (0.96147978062545236,-0.274875665435179) (0.99372345354813174,0.11186464083155984) (0.74901689387139203,-0.6625508981921715) (-0.52308081010262586,-0.85228309035342287) (-0.9981966246416879,0.060029147536353078) (0.99557993249696308,0.093918038785656799) (-0.97659521282492534,-0.21508554179079215) (-0.86430439872810783,0.50296909083883501) (-0.25559652764495316,-0.96678354095208086) (0.099575119674907897,0.99503004755722224) (0.48602105365921439,0.87394710103071349) (-0.71845668302772936,0.69557170343020136) (0.24165097090201609,-0.97036323521767454) (-0.24751787314224805,0.96888332758652518) (0.84157030061442128,0.54014759938719781) (-0.30637786235808351,-0.95190997760129137) (0.97397886239927922,-0.22663886603891639) (0.90401340800710983,-0.42750410307197229) (-0.83296968717751074,-0.55331862452243519)
