# Created by Octave 5.2.0, Fri Sep 17 22:49:50 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
2.451099717878589e-13


# name: H
# type: complex matrix
# rows: 48
# columns: 48
 (1,0) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (1.0000000000000002,5.5511151231257839e-17) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999989,-6.1629758220391547e-33) (0.99999999999999989,1.1102230246251565e-16) (1,0) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,-6.1629758220391547e-33) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,2.7755575615628914e-17) (1,0) (1,5.5511151231257827e-17) (1,0)
 (0.99999999999999989,0) (-0.31537616135925478,0.9489667416966211) (-0.76727202318438514,-0.64132179320411353) (0.86333436662809526,0.50463231307444678) (-0.71036201610370453,0.70383649100986501) (0.86139520953123982,-0.50793532363543292) (-0.2604407182632808,0.96548984058378673) (0.80960494124965809,0.58697516055122656) (-0.25087470666352751,-0.96801956672191802) (-0.77868000423844153,-0.62742127075771081) (-0.16792228712002005,0.98580023609673662) (-0.99881525447562369,0.048662998538876234) (0.85560775055939031,0.51762474552778071) (0.69460664894041291,-0.71938974363537511) (-0.90035271180960619,-0.43516088328006708) (-0.9983467584825837,-0.057478255256377536) (-0.186007243367177,-0.98254837306615261) (0.92057997432318073,0.39055410748721131) (0.98556653877799527,-0.16928850416127547) (-0.91126289661427085,-0.4118251246028688) (0.56135040495609001,-0.82757822763508848) (0.76404088223012045,0.64516783109592457) (-0.93803679870051615,-0.34653566091195864) (-0.9975532452709851,-0.069910820688397296) (-0.49983916514160698,0.86611824192228015) (0.98407923029724009,-0.17773032520532947) (-0.77673727760468225,-0.62982473877997758) (0.46027963015499873,-0.8877739926717706) (0.16849673348988187,0.98570221203122022) (0.77860085382907163,0.6275194900691452) (-0.76871228711703932,0.63959473077511464) (-0.91539251935431798,-0.40256246162571485) (-0.27463470887782343,0.9615486345888038) (-0.46566647540993611,-0.88496030062330333) (-0.49964947332005227,-0.86622768589499299) (-0.0048511869773845695,-0.99998823292322314) (-0.052622807388622933,-0.99861446021101674) (0.73590567626150027,-0.67708406837415946) (0.5486160696867225,0.83607440343637718) (0.97430133704663868,0.2252485396825748) (0.48256058913884603,-0.87586259071270389) (0.99916262543250567,-0.040915130927592275) (0.90685832026747382,-0.42143562611822094) (0.2042067370378447,0.97892778515493983) (0.53432324793389108,0.84528022969745287) (-0.84911021964777522,0.52821570867374579) (-0.85835290281858745,0.51305973747986044) (-0.94660591846159003,0.32239298245075132)
 (1,0) (0.604477158986513,-0.79662247285875221) (-0.97468976554480147,0.22356176091232416) (0.017363324547594372,0.99984924611696058) (0.99708076516029787,0.076354094502880998) (0.55260166099792007,-0.83344550167502829) (0.058914680514678408,-0.99826302166305458) (0.93877335642540549,-0.34453531787870106) (-0.64573858061663014,0.76355856717295789) (0.68376487920052276,-0.72970239822265548) (-0.92277275505755096,0.38534457635147373) (-0.43343034870280683,0.90118706871734622) (0.6795504458160363,0.73362878323524439) (-0.99759240371877245,-0.069349809247044869) (0.99970111282569984,-0.024447597326887616) (-0.67044846158911509,-0.74195610406060297) (0.19736509631417448,-0.98033005603056755) (-0.51618692351368345,0.85647595412450317) (-0.84758317889419166,-0.53066256213870644) (0.83503239574008892,0.55020077977458981) (0.97544421818912985,-0.22024662812719059) (-0.99850325536197571,-0.054692312362316475) (0.18632631569222347,0.98248791548830861) (-0.73025605425330253,-0.68317354693108301) (-0.79659247913863518,0.60451668478195209) (0.62332672379641874,-0.78196150506353124) (0.67420814171875154,0.73854138789924839) (0.99656557544618085,-0.082807329600834811) (-0.80372780082086326,-0.59499716149546344) (0.74284844427044083,-0.66945962450694951) (0.95152223110131584,0.30757997938743281) (-0.99881925966657958,-0.048580721681612649) (-0.85251629063770529,0.52270065448335468) (-0.99255766104049648,-0.12177557025043267) (0.77799679986608616,-0.62826823841264567) (0.98010849266377054,-0.19846244634275617) (0.96356842833077949,0.26746192985946826) (0.45126624166091744,0.89238936520850021) (-0.83943606216912658,-0.54345845980165786) (-0.025250894135966873,-0.99968114533851982) (-0.87188104172065772,0.48971772388601609) (-0.7109904392551456,0.70320167469067785) (-0.98911246329236358,0.14716159471721241) (-0.30736691029788515,-0.95159107943167043) (0.90428093597703474,-0.42693792151611187) (0.71172328075890046,0.70245994307560944) (-0.72000477375403704,0.69396911009885498) (-0.85835290281858778,0.51305973747986033)
 (1,0) (0.75758067095448733,-0.65274154685920682) (0.95132832796716194,0.30817918879639417) (0.66579726259716365,0.74613269940281013) (0.25650302174100348,0.96654342884204358) (-0.99660803168590384,-0.082294782210966089) (-0.18206821950099589,-0.98328590117408721) (-0.94080992379668715,0.33893463571265753) (0.066532652076850218,0.99778424832607049) (-0.93999638182111589,-0.34118441078574013) (-0.11019504868399867,-0.99390998145985676) (-0.99553987287551604,-0.094341727326786418) (0.99921275841941315,-0.03967194741713051) (-0.84753707125955458,-0.53073619891691726) (-0.49029498686266487,-0.8715565534475318) (0.84092525031944165,0.54115129434861908) (0.92748629176199848,-0.37385716335731339) (-0.908068293696773,0.4188221269019004) (0.79013600281243546,-0.61293155984953762) (-0.048193889795259647,-0.9988379993704698) (-0.98927773680532582,-0.14604642912900295) (-0.52513610045576209,-0.85101825832241496) (-0.58384416447645349,-0.81186574728017269) (-0.40893974869051947,0.9125613853001534) (-0.97050921401598189,-0.24106402782265482) (0.95850286739129142,-0.28508288830210915) (0.94851993484502117,0.31671743431898042) (-0.9618353616807106,-0.27362883075534494) (0.28263404961761646,-0.95922781131321866) (-0.27978936979474023,0.96006140873897361) (0.63041673006711596,-0.77625688174178964) (0.30037668921220834,0.95382065640135583) (-0.76145533860768866,0.648217376584315) (-0.4756102633122638,-0.87965611316698045) (0.1371960823908398,-0.99054390865655539) (0.14491871329339034,0.98944356409923073) (-0.28241401428265728,0.95929261674254329) (-0.9978418287623364,-0.065663420351336849) (0.8726731460128786,-0.48830480258542014) (0.22827050129087309,0.97359774971001978) (0.52586211042050357,0.85056983300849265) (0.99990274421274472,-0.013946401536683816) (0.77997353920217505,-0.6258124943978296) (-0.18433415223535815,0.98286363261628129) (-0.94362317810260443,0.33102159710137058) (0.89655978348313103,-0.44292274116450925) (0.71172328075890046,0.70245994307560933) (-0.84911021964777533,0.5282157086737459)
 (1,0) (0.76904826161652473,-0.63919071590926668) (0.85692624039391962,0.51543905413185587) (-0.17121624730505464,-0.98523347317210774) (0.81506878920824766,0.5793641936283267) (-0.2335147454436351,-0.97235326073418127) (-0.7847944683527035,0.61975611529294117) (-0.84186300614603515,0.53969128108832731) (-0.042857076575672837,-0.9990812134092939) (-0.92002845456920523,0.39185155707614572) (-0.87882599098460668,0.47714240806065966) (0.38701886356779125,-0.92207179722768651) (0.36696449986318885,0.93023494658078665) (-0.95934957127405174,0.28222048135508077) (-0.0046125670414091102,-0.99998936205606137) (0.10140499343155412,-0.99484522781543583) (-0.80826909974085148,0.58881326615839247) (-0.83942772115766995,-0.54347134326663527) (0.99895329917865561,-0.045741732149960357) (0.94886092950840339,0.31569437190492983) (0.44975804155891996,0.89315043752611167) (0.16571689972358006,0.98617336667849886) (0.34993169043178962,-0.93677521958661492) (0.0030100631700328839,-0.99999546974959475) (0.069537353618108144,0.99757934844892915) (0.81313388431477507,0.58207670128529121) (0.58271364896876454,0.81267755186513368) (-0.97724833958811919,0.21209828564197258) (-0.61655322350690567,0.78731323028591649) (-0.99878025371770263,0.049376156022937878) (-0.14558236938023394,0.98934613443710262) (0.99663120635227653,0.082013648405661055) (0.86299908591427954,0.50520548068198767) (-0.59167161952440162,-0.80617907108121578) (0.89500500622771995,-0.44605609381255984) (0.77170616490058419,0.63597924105620918) (-0.93645229065792757,-0.35079496478929206) (0.098852743779263952,-0.99510207267762785) (-0.041488544275489037,0.99913897966894516) (-0.96281798665859464,-0.2701509292352906) (-0.67504341411122815,-0.73777800798414739) (-0.038147838055912986,-0.99927210631121888) (-0.99422495283436974,-0.10731608994692071) (-0.31961985444673091,-0.9475458556943035) (0.98416696381180868,0.17724386404456144) (-0.94362317810260432,0.33102159710137052) (0.90428093597703474,-0.42693792151611193) (0.53432324793389108,0.84528022969745287)
 (1,0) (0.63363001053816281,0.77363622571943169) (-0.53666621581131468,0.84379462714973574) (0.99799174560529647,0.063344105516562263) (0.92523530140792565,-0.37939377568508459) (0.60428575608410762,-0.79676767316066388) (0.55760246038473571,-0.8301081231820876) (-0.49912835901227803,0.86652806142081185) (0.96640355294396973,-0.25702951748246994) (0.3632208342217475,0.9317030780174862) (-0.94611188211387998,-0.32383993966608182) (0.017623552170677091,-0.99984469314433411) (-0.065573507346334464,-0.99784774145873589) (0.81679641348196108,-0.57692600818736295) (0.66524057351026888,-0.74662907749144669) (0.81584678869261573,0.57826811893787322) (-0.46017261874802212,0.88782946614458969) (-0.32910019746262786,0.94429500688612111) (-0.82384766929401765,0.56681127176408053) (-0.8089743398514071,0.58784395672829604) (-0.089763409417853893,-0.99596311695247142) (0.69781388521122634,0.71627912269339056) (-0.73094040225694779,-0.68244130029508854) (0.54770882707672308,0.83666901504850744) (0.88668705641696499,-0.46237005091443567) (0.95066188207329583,0.31022892510670019) (-0.95665127765449509,-0.29123587169512949) (0.40771773529222949,-0.91310801569593836) (-0.9837215591995111,-0.17969945455143427) (-0.32936512576007632,0.9442026339367251) (-0.17869531796513327,-0.98390445843960905) (-0.43196769366226101,-0.90188907945052055) (0.60261489967547499,0.79803213136384299) (-0.82025514350329742,-0.57199781429336294) (0.55853445475688046,0.82948132157959698) (-0.9953473124431953,-0.096352102271344303) (-0.36204402560684085,-0.93216099656786355) (-0.17739004157144794,0.98414062671514535) (0.0819213976989564,-0.99663879344477135) (0.67309871555742795,0.73955264796695908) (0.22794222770100039,0.97367465861585667) (-0.97627933320739257,0.2165148113920341) (-0.99590568000869484,-0.090398432101556597) (-0.89356277866248945,-0.44893825921720021) (-0.31961985444673102,-0.94754585569430372) (-0.18433415223535804,0.98286363261628151) (-0.30736691029788538,-0.95159107943167043) (0.20420673703784475,0.97892778515494017)
 (1,5.5511151231257827e-17) (0.86456797378407946,0.50251588900938471) (-0.97684036700847954,-0.21396938421825346) (0.26644790910580651,0.9638493200356284) (0.48969862296236666,0.87189177004302687) (-0.65657879108184125,-0.75425744351746904) (0.89922775084660689,-0.43748080198718692) (-0.14580903446293053,-0.98931275412226827) (0.45703795543282622,-0.88944719196463995) (-0.58423993420523634,0.8115809875051665) (-0.0026524391083104226,0.99999648227720139) (0.46776149202270889,-0.88385473160508066) (-0.71975271447371059,-0.69423053088129583) (-0.78821662947891502,0.6153978753724294) (-0.040898655270380002,0.99916329996506337) (0.54787093082405292,0.83656287459938494) (-0.80497636766245551,-0.59330687464832166) (0.46684518945214987,0.88433905776313337) (0.93200291859219764,0.36245076870607656) (0.027475704861727623,-0.99962247155731276) (0.98502474495402292,0.17241302685198029) (-0.68440294444152494,-0.72910397724863008) (-0.97744081601208466,0.21120949598356248) (0.8556050442981421,-0.51762921881552826) (-0.14888740346793244,0.98885415562082624) (-0.43828750172438158,-0.8988348379052743) (-0.93291134675563447,0.36010612198987724) (0.55745274538925216,0.83020867055095571) (0.44063158343544223,-0.89768803471984371) (-0.87464231291444294,0.48476883610611143) (-0.98836603864299066,0.15209396325023428) (0.90462065833692284,0.42621762576185579) (0.037181124234223206,-0.99930854294390969) (-0.79892641072067971,-0.60142879067514943) (0.95784299865997269,0.28729216821568915) (-0.38186726641057439,-0.92421717731500541) (0.96903403000988986,0.24692721332974232) (-0.61485088862456827,0.78864338249780441) (0.19545460000186687,0.98071275067580865) (-0.8703593394144884,-0.49241712022834472) (-0.029157522626667431,-0.99957482905197026) (0.99787282117750986,-0.065190741330631852) (0.43281916279224064,0.90148076647248798) (-0.99590568000869473,-0.090398432101556681) (-0.99422495283436985,-0.10731608994692066) (0.77997353920217527,-0.62581249439782982) (-0.98911246329236335,0.14716159471721252) (0.90685832026747404,-0.42143562611822094)
 (1,-5.5511151231257827e-17) (-0.68592988889494033,0.7276676353394963) (0.086848004348272112,-0.99622157381815502) (-0.3812756910980743,-0.92446138230738717) (-0.57733574056673098,-0.8165068540216075) (0.57245956437462275,0.8199329528418875) (0.99984216337082266,-0.017766495038448349) (0.8199056472123919,0.57249867219865913) (-0.999383589171293,-0.035106148964295758) (-0.99985327270178681,-0.017129888135251292) (-0.33641145839348313,-0.9417151005806208) (0.37926149531042558,-0.92528953207895925) (0.99449889223947374,-0.10474709224822498) (-0.92127319321982826,-0.38891606222235314) (0.97538100532804461,0.22052640305698906) (0.50850514475050379,-0.86105895138618038) (0.94542946015945672,-0.3258268495115122) (-0.099210915595787375,-0.99506642704225778) (0.21901015045666045,0.97572258044843363) (-0.33387960404491912,-0.94261572764451962) (-0.49015946623440998,-0.87163277683941931) (0.25828517684880636,0.96606871775261383) (-0.035111494687343703,0.99938340137347681) (0.95761721374279607,0.28804387156036326) (-0.4026070538314821,0.91537290772948532) (-0.39474590536498994,0.91879032983460029) (-0.61521828653904864,0.78835681002193192) (-0.51838074031920556,0.85514993309133258) (-0.94746184921267218,0.31986879229850318) (0.99999939153798789,-0.0011031426257369636) (0.72135328258164155,-0.6925672831636579) (0.76699235848192604,0.64165623353189127) (-0.91420631614300929,0.40524907344030742) (-0.99992594568774684,0.012169763369292375) (-0.52874563658588147,0.84878033188298563) (0.66056812312823765,-0.7507661118529767) (-0.99995548939052936,0.0094350006755006821) (0.99824480583401909,-0.059222526334157422) (-0.86954472894869217,-0.49385419341901371) (-0.44887409743295675,0.89359501154255994) (-0.99312497293105184,0.1170589088480527) (0.35689287698546523,-0.93414531758021269) (0.99787282117750975,-0.065190741330631963) (-0.97627933320739246,0.21651481139203413) (-0.038147838055913152,-0.99927210631121899) (0.99990274421274483,-0.013946401536683972) (-0.71099043925514538,0.70320167469067785) (0.99916262543250589,-0.040915130927592469)
 (1,-2.7755575615628914e-17) (-0.35393917186498658,0.93526844414827126) (0.99697750019752029,-0.077690823781848467) (0.61061752138736713,-0.79192565470172038) (0.90485252394059346,0.42572515772307484) (-0.89450447214957762,-0.44705899980249186) (-0.95381774817933818,0.30038592386810598) (0.79579522094679034,0.60556582327460307) (0.38655467324861975,-0.92226649325975851) (0.72876679802639432,0.68476196893107022) (0.2248400980779458,-0.97439567440352481) (0.34370489934383475,0.93907770826862003) (0.82713867501395288,-0.56199787570431403) (0.64716512288116457,-0.76234985651353449) (0.62894703194322155,0.7774481532615618) (-0.94898641446158116,-0.31531695984731412) (-0.92594069724010675,-0.37766893596707696) (0.99392600225967043,0.1100504522121985) (-0.22657087041320018,-0.97399468205950901) (0.24215145435125784,-0.97023846200589769) (-0.95635711618660091,-0.29220038726745046) (0.22787702613000724,-0.97368992033508439) (0.13315853619497836,-0.99109475038384176) (0.14549488613027134,-0.98935900365334428) (-0.75556954598852855,0.65506844006919451) (-0.27309621169963372,0.96198672504110361) (0.90357650854285732,-0.42842676528141765) (0.3791678198747821,0.92532792261522268) (-0.91447875354549646,-0.40463392012271382) (-0.92349649360064201,-0.38360686425990709) (-0.79356692849770938,0.60848297428499276) (-0.95239425935565625,0.30486911084331125) (-0.84989818442117659,0.52694693861677189) (0.75830709020040976,0.65189750494367382) (0.4745366625139838,0.88023573883936879) (0.82915753100039713,0.55901501660091879) (-0.75845660265316184,-0.65172354713622482) (-0.7568596151842053,0.65357748041316133) (0.56384882573940009,0.82587801866395438) (-0.70764175596601331,-0.70657140135540197) (0.53185445759145022,0.84683577861360082) (-0.99312497293105195,0.11705890884805273) (-0.029157522626667542,-0.99957482905197015) (0.2279422277010002,0.97367465861585645) (-0.67504341411122815,-0.7377780079841475) (0.52586211042050368,0.85056983300849276) (-0.8718810417206575,0.48971772388601598) (0.48256058913884603,-0.87586259071270389)
 (1,0) (-0.98335257510846619,0.18170776820914808) (0.85020410921253764,0.52645320084326186) (0.052365081533971014,0.99862800793685969) (-0.8094863083810071,0.58713875408091587) (0.5618321812507453,0.82725123155606717) (0.97515480331940341,0.22152451233011289) (-0.18036305121102644,-0.98360010662761144) (0.9943147709712411,-0.10648068476680772) (-0.8410612766217731,-0.54093985707040837) (-0.91332414599050993,-0.40723335368152952) (-0.94749761525884169,0.31976283254751242) (-0.95222286915367149,0.30540400694940006) (0.94522858550939359,-0.32640913151428774) (-0.79578048627853604,-0.60558518612850576) (0.43003570793776114,-0.90281187957318676) (-0.93236996120075932,0.36150553999972895) (0.28109511756113531,-0.9596799127226181) (0.53407204925142571,0.84543896657794471) (-0.95304013298423784,0.30284402738272026) (0.33067948235294659,-0.94374312180316711) (0.47432214226079444,-0.88035135335906145) (-0.99678599933026424,-0.080110370983827617) (-0.95532089701727962,0.29557060699957927) (-0.16509108322750848,0.98627832493610423) (-0.98485377711947497,-0.17338695941016902) (0.89854130593768944,0.43888896263609967) (0.89246476296408861,-0.45111710992540782) (-0.8732228617561173,-0.48732107866011465) (0.55749545077235951,-0.83017999395801123) (0.72003170880856748,0.69394116343549983) (0.67680140683232193,0.73616564420637731) (0.86018343152375076,-0.50998476852943897) (-0.027825007178000349,0.99961280952954246) (0.95027270951235943,-0.31141897430317211) (0.84301531002512831,0.53788956772114216) (0.99931652493044809,0.036965970850692365) (-0.5120023222773844,-0.85898406386996784) (-0.22387559927383788,-0.974617728163089) (-0.64067715338629116,0.76781038357711662) (-0.70764175596601353,-0.7065714013554022) (-0.44887409743295675,0.89359501154256016) (-0.8703593394144884,-0.49241712022834472) (0.67309871555742795,0.73955264796695885) (-0.96281798665859464,-0.27015092923529072) (0.22827050129087309,0.97359774971001989) (-0.025250894135966984,-0.99968114533851971) (0.9743013370466389,0.22524853968257486)
