# Created by Octave 5.2.0, Fri Sep 17 23:17:55 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
3.7826143127224031e-26


# name: H
# type: complex matrix
# rows: 49
# columns: 49
 (1,0) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (0.99999999999999989,-2.775557561562891e-17) (0.99999999999999989,-2.775557561562891e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1.0000000000000002,-2.775557561562892e-17) (0.99999999999999989,-2.775557561562891e-17) (1,-8.3266726846886741e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-8.3266726846886741e-17) (1,-8.3266726846886741e-17) (1,-2.0816681711721685e-17) (0.99999999999999989,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-8.3266726846886741e-17) (1,-2.7755575615628914e-17) (1,-8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-2.775557561562891e-17) (1,-8.3266726846886741e-17) (1.0000000000000002,-2.775557561562892e-17) (1,-1.3877787807814457e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (0.99999999999999989,-8.3266726846886741e-17) (1,-2.7755575615628914e-17) (1,0) (0.99999999999999989,-2.775557561562891e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-8.3266726846886741e-17) (0.99999999999999989,-2.775557561562891e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-8.3266726846886741e-17)
 (1,0) (0.68727215796355234,-0.72640001437783697) (-0.23989969154656737,-0.97079768128887722) (-0.99201887704162828,0.12608944282955198) (0.9112282700793497,-0.41190173562173138) (-0.67635952406887923,0.73657164906159633) (-0.79911195889255382,0.6011822329002291) (-0.9998147417158898,-0.019247915408897087) (0.40591705239938985,-0.91390992256971937) (-0.48010683258509718,0.87721002576640983) (0.70290394052660621,-0.71128478852859567) (0.98133561136057046,-0.19230293257143538) (-0.15638061881877052,0.98769686749420171) (-0.62702941755390951,0.77899557734431613) (-0.74632905460867482,-0.66557714973316306) (-0.91086819471534719,0.41269738532731676) (-0.92896085553546448,-0.37017796920240531) (0.99176274513757701,0.12808847472422236) (-0.3657858628812658,-0.9306990397095114) (-0.37420533242748211,-0.92734587354602371) (0.32960922709336682,0.94411744895161864) (0.36520663377965057,-0.93092648186810956) (0.46383658323508542,-0.88592077752629872) (0.16947707001466461,-0.98553413068206042) (0.9936106469529421,0.11286222690411041) (-0.84323548804548099,0.53754433463733831) (-0.97593146497258365,0.21807745338862394) (0.54645447034369965,0.8374888129649174) (0.57929936670974769,0.81511486535928479) (-0.64657188052988868,0.76285306796790353) (0.16816787984096121,-0.98575837008355949) (-0.22443364177850428,0.9744893742047871) (0.78600787937779171,0.61821647790723522) (0.7988319868848065,-0.60155420099079349) (-0.83312554537118821,0.55308392279107144) (0.47644073755431421,0.87920658755419956) (-0.92817052890639207,-0.37215516826940326) (0.67588837616752495,-0.73700400471206828) (-0.39802248981655197,-0.91737565784155828) (-0.2855912853904457,0.95835151051638334) (0.045897556912550819,0.9989461518367535) (0.51093077491215022,-0.85962186061527601) (0.38010992895628998,0.9249413180893391) (0.28765990473591557,-0.95773262406964288) (0.0078885526055303967,-0.99996888488481916) (-0.51720098031482009,0.85586397631947853) (0.99985641149156279,0.016945689694268906) (-0.92679635572571506,-0.37556426216232724) (0.61035685820749919,0.79212657172895662)
 (1,-5.5511151231257827e-17) (-0.15591947802485934,-0.98776976890997048) (-0.92151956662078405,0.38833193061483157) (0.9588642548935058,0.28386500433748846) (-0.10534912599780699,0.99443529787085616) (0.56135027979783347,0.82757831253053893) (-0.72872354725999056,-0.68480799620683275) (0.030775542949932899,-0.9995263207920726) (0.45916422839939597,0.88835140083099295) (0.99998999510800779,0.0044732185154584547) (0.93377952796880725,0.3578488411974427) (-0.32245480668227722,-0.9465848602462934) (0.81386230788668612,0.58105778008848397) (-0.99683945722454514,0.079442410086017268) (0.4721388760913347,-0.88152418099744234) (0.81882691491601689,-0.57404048934645591) (0.57311184922453728,-0.8194771554341409) (-0.91845363438799676,0.39552866075605786) (-0.91693125470097681,-0.39904520314432146) (0.10133150286632969,0.99485271599712277) (-0.062876817988179234,-0.99802129524358452) (0.63998299606421283,-0.76838907120590483) (-0.99831211118103713,0.058076920280443756) (-0.96596051223512036,0.25868956067546517) (-0.58985805935105007,-0.8075069472262224) (-0.20071922464486142,0.97964881098175449) (-0.13048213679318371,-0.99145066038501661) (-0.99001150511635561,0.14098659417564907) (0.51369222491184741,0.85797453229400478) (-0.6755601468106428,0.73730488133551852) (0.99910834023461981,-0.042219953500967577) (0.86833908075623789,-0.49597100805532202) (0.021450266090247305,0.99976991657313741) (0.62687620962976209,-0.77911887270186375) (0.5438310973416346,0.83919469586276196) (-0.91056300892364517,0.41337030224717164) (-0.85707104453381366,-0.51519823817800248) (-0.20769111680643682,0.97819445919494741) (-0.83565280036829015,0.54925804248698529) (0.51136648504109772,-0.85936273946262876) (-0.78346407107215876,0.62143708397474939) (0.91147866262942556,-0.4113473563440922) (0.71934788262244287,-0.69465000091168827) (0.52981162861677245,-0.84811534485731599) (-0.81699603145045652,0.57664329060018071) (0.93489991437493114,-0.35491146797722212) (0.34642882601803776,0.93807625942871242) (-0.87160308053347391,0.4902122703529147) (-0.92679635572571528,-0.37556426216232719)
 (1,-5.5511151231257827e-17) (-0.36415144595785232,0.93133974703477884) (0.70821738107865206,-0.70599443421183961) (-0.6135465662284717,0.7896585408068808) (-0.86696172760129586,0.49837472134386585) (0.89456099189475802,0.44694589357132208) (0.99847656742014057,-0.055177389507786667) (-0.92544656997572594,-0.37887814151804089) (0.99796821605944563,0.06371373270439934) (0.9354440175612172,-0.35347487889371915) (-0.38844150183776882,0.92147338520980615) (-0.9774960128356478,0.21095389280696153) (-0.84921359227403226,0.52804950023367503) (0.79119237204815551,-0.61156735558138886) (-0.96542301003170361,-0.26068834208941061) (-0.31333552050805646,-0.94964248619569769) (0.81548086805330078,-0.57878403039392434) (-0.34640302759701624,0.93808578630721251) (-0.91923222536643812,-0.39371578054208828) (-0.35046721853494955,-0.93657499898960417) (0.6804638384050391,-0.73278166231359854) (0.99725813857917378,-0.074001385376230022) (0.70257156332718473,0.71161309600371703) (-0.26944445949731188,-0.96301593094102156) (0.86099801574495993,-0.50860831381647942) (-0.99992043875993142,0.012614125024975553) (0.39195675193276924,0.91998364366673047) (-0.45894793995514194,0.88846316097569944) (0.91043410767961019,0.41365412553682152) (0.97558960852309251,-0.21960172071675352) (-0.86497819289658329,-0.5018094516979148) (-0.1995280124652368,-0.97989212275723114) (-0.97193233435155924,0.23526057349655949) (-0.86836839336206006,-0.49591968443468237) (-0.28933260249060044,-0.9572286274114542) (0.11394519302193007,-0.99348703715106157) (-0.90903746326064727,0.41671439906565216) (0.7823330914621287,-0.62286028449669928) (-0.83362828820480395,0.55232587944503231) (0.62634700732992266,0.77954437103275342) (-0.99440259581172863,-0.10565735867839876) (-0.49628465916495657,-0.86815985686826314) (-0.93162264977527165,-0.36342707442580668) (0.75859640319185706,0.65156081609039218) (0.98361705550616263,0.18027059692968955) (0.44039836026018209,0.89780247509134392) (-0.74458833784449108,0.66752393750784589) (0.34642882601803771,0.93807625942871253) (0.99985641149156279,0.016945689694268962)
 (0.99999999999999989,0) (0.67486412434194065,-0.73794201240760482) (0.99356437039577383,0.11326889193441003) (-0.60007715939522766,0.79994212463912373) (-0.21730972233405307,0.97610270186036063) (0.20272441348665471,-0.97923583072541398) (-0.98034811642664188,0.19727536749106866) (-0.99860097199579456,0.05287814982631478) (-0.71008527087072015,0.7041156922640317) (-0.52062849325826421,0.85378332849009753) (0.39056225786534954,-0.92057651649991623) (-0.18737077971707411,0.98228926030381469) (-0.072408672837242449,-0.99737504685947975) (0.10429538035900182,-0.9945463657546445) (-0.99858094127752262,-0.053255081610081467) (0.98408896599030937,-0.17767641097265541) (-0.043536923102123315,0.99905181863945369) (0.87481526933489306,-0.48445664877109396) (0.99928983328499354,-0.037680619597474319) (-0.0041841634045052256,0.99999124634998937) (0.75777096496541285,-0.65252062393106558) (-0.44886307621358079,-0.89360054767892838) (0.38139540785385279,-0.92441199844441291) (0.8105813159573203,-0.58562610104135426) (-0.17574194727332459,-0.98443626912491389) (-0.43744908110051767,0.8992431825954047) (0.96905944687430601,-0.2468274466579119) (-0.54212793918783342,0.84029595830989945) (-0.9875432093910943,0.15734805237287636) (-0.89685157524262982,0.44233160862051629) (-0.069326271714693577,-0.99759403970259375) (0.67066484058121689,-0.74176052173742102) (0.43374850597344822,-0.90103398025035786) (-0.62170518702636102,0.78325133924208368) (0.99646448310918012,-0.084015081395868108) (0.6916118309981365,-0.72226939241768029) (-0.4605161666155454,0.8876513168388378) (-0.29111775022036912,0.95668722971859055) (-0.89061703258297809,-0.45475411078195915) (-0.30741461372332746,-0.95157566975482211) (-0.73865836488908032,0.67407998040246719) (-0.58523971019555487,0.81086033421929238) (0.60089531780329231,-0.79932772818292763) (-0.60261983591640389,0.79802840385545559) (0.64466291673584342,-0.76446695401804954) (-0.6502339643187558,0.75973402691094172) (0.44039836026018203,0.89780247509134403) (0.93489991437493125,-0.35491146797722201) (-0.51720098031482009,0.85586397631947864)
 (1,0) (-0.9771574385457733,-0.21251668239143789) (0.045044023270802314,0.99898500287420644) (0.52820971354012602,0.84911394907977922) (0.94780394113350852,-0.31885371124041878) (-0.40619761863790249,0.91378525628995411) (0.5533482202214226,-0.83295002681900643) (-0.66156669945566504,-0.74988632616639839) (0.98411147086470585,-0.17755171897930211) (-0.67930744334984838,0.73385379838867959) (0.70575025628682653,-0.70846070868544231) (-0.94413270113795678,0.32956553618657514) (0.19677483957413383,0.98044870468096079) (0.061645471328602097,-0.99809810933829268) (0.95847947234570663,0.28516153508475767) (-0.79299560314004114,-0.60922735772498093) (0.33631526397409978,0.94174945883607053) (0.93175291302419405,-0.36309297579398131) (-0.14647117438199453,0.98921493876465449) (-0.56957589465221536,0.82193874481686824) (0.76772472689321281,0.64077979346788205) (-0.63666652875152419,0.77113924239885778) (0.50272569810291756,0.86444599164258573) (-0.018026094463394593,0.99983751675879662) (-0.87045521864303577,-0.49224761283027441) (0.27927350275374752,-0.96021159681585377) (-0.95213159299446781,0.30568845189476418) (0.19836466795719077,-0.98012828675956132) (0.55509632363341543,0.83178607315142372) (-0.99999887494484363,-0.0015000363485668244) (0.67280446575016495,-0.73982035040044392) (-0.37703913928443672,-0.92619732640925434) (-0.65395260035847946,-0.75653552228853282) (-0.73821650926547733,0.67456384831081284) (-0.8966196828788493,0.44280147275526494) (0.43181384055539396,-0.90196275261498493) (0.82450419706329392,0.56585583766981939) (0.62658898775667171,-0.77934988318602394) (-0.61117362653816387,-0.79149655604063662) (-0.97630120170666301,-0.21641618134078261) (-0.78454740192162697,-0.6200688462888817) (0.73371108789866046,-0.67946158058757367) (0.30345523409420605,0.95284569627029847) (-0.38280067732896766,0.92383095934076787) (0.11086291096124301,-0.99383570824014877) (0.64466291673584331,-0.76446695401804965) (0.98361705550616285,0.18027059692968944) (-0.81699603145045674,0.57664329060018082) (0.0078885526055302302,-0.9999688848848195)
 (1,-3.4694469519536142e-18) (0.73179899493013489,0.68152052868511959) (-0.99935201948553265,0.03599362652174172) (0.98395559638436114,-0.17841352063085361) (-0.5495928836167393,0.83543261983108863) (-0.91696113503932097,-0.39897653668781147) (0.97261221405038978,-0.23243382086090361) (-0.82661011655557282,-0.56277501295631627) (-0.30773603429159524,-0.95147177215011602) (-0.95098525832164793,-0.3092362178899945) (-0.99862772264663013,0.052370521876395085) (0.83531841914194904,0.54976644008359987) (0.98262084338868372,-0.18562402360177321) (0.45447077124778146,-0.8907616505448841) (-0.70946128954299648,-0.70474440660425863) (-0.14362862987035124,-0.9896316570732594) (-0.8554389765528142,0.51790361786173378) (-0.97536012360736613,0.22061874189792638) (0.72899004058014638,-0.68452430251595608) (0.24200166770927159,0.97027583337210455) (0.25921709719100577,-0.96581908063770849) (0.48758073976954913,0.8730779015676543) (-0.91863037166758088,0.39511800800505431) (0.35633139247474754,0.93435964100393765) (-0.99241535490913502,-0.12292991231012571) (0.060703508954089755,0.99815584154011694) (-0.99847108397896711,-0.055276527187105393) (0.62421118259769781,-0.78125565567231803) (0.41329386379249966,0.91059770598847123) (0.10651218839403585,-0.99431139675833569) (-0.98681260328389531,-0.16186687740257907) (-0.81715975379271977,0.57641125664010229) (0.96323939278362247,0.26864450895158504) (0.20323925277700439,-0.97912910595622926) (0.97217039577101616,0.23427488466847143) (0.57088630317521705,-0.82102912789190019) (-0.6822621026248048,-0.73110766876157174) (0.2328864066806631,0.972503944250803) (0.25700311993062064,-0.96641057338272462) (0.36702409120632296,0.93021143643484283) (0.98652657421266743,0.16360109526594893) (-0.36495762976352625,-0.93102412883737251) (-0.41319882621103038,0.91064083480691049) (0.024420435319574899,0.99970177670083293) (-0.38280067732896766,0.92383095934076764) (-0.60261983591640378,0.79802840385545537) (0.75859640319185706,0.65156081609039207) (0.52981162861677233,-0.84811534485731577) (0.28765990473591541,-0.95773262406964277)
 (1,-5.5511151231257827e-17) (0.89339763538175487,0.44926680836034294) (0.9768068311479825,0.21412242905084999) (0.43875249070315231,0.89860795228051504) (0.78064457628906725,0.62497523591776138) (0.85878997950076086,-0.51232779654151339) (0.50239099001436971,0.86464055719841304) (-0.48565538961755067,-0.87415035465040281) (-0.74920288098567345,-0.66234057940214275) (0.10363235288811962,0.9946156722246402) (-0.69521368809370099,-0.71880312178450811) (-0.51214936446366099,-0.85889640148243018) (-0.9016064805012306,-0.43255722663964807) (-0.9802163869564875,-0.19792886283200123) (-0.61511674667696892,-0.78843603923053995) (-0.064821351874997546,0.99789688462340531) (-0.99839247153482547,0.056678680141497961) (-0.65011798813367161,-0.75983327217556562) (-0.63041516090548599,0.77625815609274629) (0.14105115405219343,-0.99000230905818842) (-0.76568172136188029,-0.64321963711651997) (0.33752249403505863,-0.94131746293179597) (0.31340663016222103,0.94961902053947966) (-0.86397766687136346,0.50353012933439811) (-0.85615313648438807,0.5167221757269026) (0.67137543123476628,0.74111742007210357) (0.8406210408057071,-0.54162373078986226) (0.68615747239518987,-0.72745303839921105) (0.23335838347247068,0.97239079842577469) (-0.014768374236051596,-0.999890941614346) (-0.01609647138754533,-0.99987044341198006) (0.9952835403359237,0.09700863021602657) (-0.23735400701444664,-0.97142322154362104) (0.61724979499103483,0.78676724041073642) (-0.7818437088518162,0.62347447015001056) (-0.85152362601904419,0.52431623504463276) (-0.76668647499742648,-0.64202168892960354) (-0.29596479200281367,-0.95519884939981559) (0.80530363172998021,0.59286259851883416) (-0.25491583450787425,0.96696324507043929) (-0.65448711969868489,-0.75607315132103403) (0.9175887620094646,0.39753095959175005) (0.87004076453844181,0.4929797846173446) (-0.41319882621103043,0.91064083480691049) (0.30345523409420583,0.95284569627029847) (0.60089531780329231,-0.79932772818292774) (-0.93162264977527176,-0.36342707442580685) (0.71934788262244287,-0.69465000091168816) (0.38010992895629026,0.9249413180893391)
 (1.0000000000000002,0) (-0.41063841562158948,-0.91179827353192078) (-0.81758205164608455,-0.57581211243441099) (-0.46114265036768209,0.88732601450192505) (0.8828805986013013,-0.46959753897716211) (-0.23481429198128961,0.97204025034014174) (0.7124319512745505,0.70174120215584923) (-0.99314021688337384,0.11692950700676841) (-0.2962695127619186,0.95510437953545957) (0.043819832284420476,-0.99903944982095938) (0.87506416266939113,-0.48400693302030129) (-0.84065199570797899,0.54157568456513216) (0.0092547257189078969,-0.99995717410890572) (-0.055791063983033212,-0.99844246563316852) (0.96807322408469232,-0.25066757430962056) (0.76610832947017771,-0.64271146521313416) (-0.67193155407488603,-0.74061325038005399) (-0.44542366923142851,0.89531991762074148) (0.63831059994752304,0.76977891501042883) (0.63535130572349852,-0.77222323088304379) (0.19430471319074011,-0.98094122068137402) (0.10811885654966361,0.99413797475923482) (-0.93789770496241598,0.34691194131397796) (0.2390971234880559,-0.97099565680786515) (0.024658978985009961,0.99969592114573369) (-0.65985443563985957,-0.75139345470026653) (-0.84405702511485126,0.53625342735899373) (0.72443825243993298,-0.68933969739292922) (0.50401393595617794,-0.86369552063326216) (-0.75618761554460101,0.65435486557140443) (-0.51766282471108394,0.85558471229454625) (0.56479085078793589,-0.82523408489121397) (0.9142075694809384,-0.40524624600822129) (-0.87988735023009024,0.47518233437815333) (-0.65138456787184595,0.75874774776496601) (-0.71100801195837204,0.70318390690558585) (0.21757876289868491,-0.97604276644800658) (-0.25555384120506247,0.96679482530955774) (0.31448158336849641,0.94926357442074183) (0.2538406826655254,0.96724604306448381) (-0.56609593447999806,0.82433936759396487) (-0.21107859393384196,0.97746909269956561) (0.91758876200946482,0.39753095959175011) (-0.36495762976352641,-0.93102412883737284) (0.73371108789866046,-0.67946158058757367) (-0.58523971019555499,0.81086033421929249) (-0.49628465916495662,-0.86815985686826325) (0.91147866262942567,-0.41134735634409203) (0.51093077491215033,-0.85962186061527623)
 (1,0) (0.97557782815430361,0.21965404893543955) (-0.93264792499944205,-0.36078781575080154) (0.049076344949246398,0.99879503020711058) (-0.88628977873490544,0.46313111330381601) (-0.96041917310484815,0.27855881234058932) (0.58637535727195567,-0.81003946841137675) (0.25787336844929221,-0.96617872355202239) (-0.97240181555636318,0.23331247095405927) (0.26219271700952829,-0.96501553311185695) (0.28311325834997747,-0.95908648355946458) (0.94414936163845953,0.32951780364297356) (0.58041961058175517,-0.81431755209630807) (-0.15015161569765134,0.98866298216499682) (-0.99074187811848402,-0.13575909156391286) (-0.93738695661981786,-0.34828966903862602) (-0.75463583083081676,-0.65614385833160283) (0.41337429488291266,-0.91056119636741339) (0.43415211587853025,0.90083957521758284) (0.9991467726567258,-0.041300444182231166) (0.18266216533000279,0.98317573879594633) (0.03313008549814761,-0.99945104804331697) (0.1615656124138698,0.98686197256016062) (-0.75164433319098456,0.65956864417729921) (0.98353284265585272,-0.18072948685064461) (0.4280603235086235,-0.90375016428086574) (-0.093921384073143654,0.99557961691357688) (-0.10936855887288999,-0.99400126676481992) (0.33717724999209853,0.94144118355198636) (-0.64042745619432773,0.7680186673203081) (-0.4707765231309981,0.88225249518983462) (0.23207619629510992,-0.97269760928728166) (0.74491816406973621,0.66715585048695591) (0.99960341131049224,-0.028160612500918392) (0.99890959105621713,-0.04668649586230994) (-0.31785033634868576,-0.94814089864483064) (0.804482066249679,0.59397693985764044) (0.41253516085805708,-0.91094167818572069) (0.63438054297674162,0.77302090960887626) (-0.53672794747091157,-0.84375536170365351) (-0.74386157234498607,-0.66833371992474322) (-0.56609593447999773,0.82433936759396453) (-0.65448711969868489,-0.75607315132103392) (0.98652657421266765,0.16360109526594885) (-0.78454740192162686,-0.6200688462888817) (-0.73865836488908021,0.6740799804024673) (-0.99440259581172863,-0.10565735867839876) (-0.78346407107215876,0.62143708397474928) (0.045897556912551041,0.9989461518367535)
