# Created by Octave 5.2.0, Sun Sep 19 16:09:22 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
2.7858877336603564e-13


# name: H
# type: complex matrix
# rows: 50
# columns: 50
 (1,0) (0.99999999999999989,0) (0.99999999999999989,0) (0.99999999999999989,0) (1,0) (1.0000000000000002,-5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1.0000000000000002,0) (1,0) (1.0000000000000002,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,-5.5511151231257827e-17) (1.0000000000000002,0) (1,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,2.7755575615628914e-17) (1,5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1.0000000000000002,0) (1,2.7755575615628914e-17) (0.99999999999999989,-5.5511151231257827e-17) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,0) (1,-1.1102230246251565e-16) (1,0) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0) (1,0) (1,0) (1,0)
 (1,0) (0.9986315875015449,-0.052296772789005241) (0.99998972512617357,-0.0045331713048668565) (-0.53665822895901794,0.843799706856177) (-0.53106803179814888,0.84732918373088095) (-0.40653131607230497,0.91363684746868645) (-0.43758797684191708,0.89917560160593624) (0.97942766782200685,0.2017955487733698) (-0.52239040409412885,0.85270643583262151) (-0.95462749630202037,0.29780252400565116) (0.75575970191773112,-0.65484904593136772) (0.86835333658749203,0.49594604831309069) (0.4496141364094165,-0.89322288838834329) (-0.11627543210306657,0.99321700745066011) (-0.52289801654351986,-0.85239525121556892) (-0.84665669191068904,-0.53213949866820542) (0.021728056391699724,-0.99976391791534447) (0.26433631535098012,-0.96443056379744951) (-0.75264828806356165,0.65842277791324177) (0.34748149115472193,0.93768684181068263) (-0.14228573883950307,-0.98982562531129559) (-0.96997121678959752,-0.24321973316264267) (0.96898097708181896,-0.24713531931628691) (-0.28857391122434295,0.95745762191372474) (-0.19311588698932464,0.98117595475649888) (-0.44209807022349334,0.89696671973081799) (-0.54914247618534751,-0.83572874836816813) (-0.03453859595621861,0.99940336470785052) (-0.35817366294547842,0.93365498294188942) (0.46616486748899422,-0.88469786725128285) (-0.27659054105911518,0.96098786287685523) (0.71687315269544616,0.69720361656010643) (0.72690342798612917,-0.68673969332055818) (0.99734391716732551,0.072836192166649383) (-0.24582370309803189,-0.96931455523744692) (-0.91040299914526179,-0.41372258718531796) (0.43645913659081303,-0.89972408108619717) (0.85154509255311006,0.52428137040020317) (-0.52274157418074552,-0.85249120032000081) (0.98061724308215159,0.19593320946169523) (-0.25748198136571943,0.96628309996190254) (-0.99908092236099399,-0.042863860935577147) (0.97955998716062331,-0.20115225962906913) (0.31829317452657574,-0.94799232858172189) (-0.76964642740215516,0.63847034135275149) (-0.91689108660835039,-0.39913748921663472) (-0.80525087345362212,-0.59293425504197184) (-0.62150258391022817,-0.78341211261564614) (0.48631815622681851,-0.87378180967799257) (0.31627298360433381,-0.94866822432398012)
 (1,0) (0.36545247828026578,0.93082999850607095) (0.36966833514109887,0.92916377565744979) (-0.97130461339974294,-0.23783891184659978) (0.72050759771115125,-0.69344704314064698) (0.61051968471442575,-0.79200108243372891) (0.52249155151440219,-0.85264446200985311) (-0.94463790189773944,-0.32811466638697651) (-0.90852983812098598,-0.41781997707607887) (0.99722345895346431,-0.074467260678016234) (-0.97306452208148786,-0.23053293878820341) (0.49415023354373777,0.86937652756942396) (0.7878667074260205,0.61584580158484614) (-0.25811843131165041,0.96611328291107357) (0.68565740819190035,0.72792439071071424) (-0.95205253528788536,0.30593458459597178) (-0.96611767599247544,-0.25810198785537969) (-0.032547007755018204,-0.99947020580215096) (-0.71581638651436719,0.69828855124333311) (0.17449507091829222,-0.98465804735716289) (0.73077211807632381,0.68262149939937034) (-0.97614025599391196,0.2171409694832824) (-0.320101934294029,-0.94738310712257257) (-0.96139079823159745,0.27518672401773137) (0.1645242375230738,-0.98637304062279174) (0.32449237032590411,-0.94588831349175528) (0.43063805940390337,0.90252471533628353) (0.76341933650633487,0.64590317900458283) (0.078975960927495537,-0.99687652073643418) (-0.50507051310568452,0.8630780826733816) (-0.42901047945455562,0.9032995120767926) (-0.74521744467964823,-0.66682153545392886) (0.30248933510789389,0.95315276957368378) (0.84463969642652725,0.53533520640856902) (0.87888962375606861,-0.47702518723220055) (-0.98970316480453258,0.14313506061021877) (-0.84916167164599976,-0.5281329902660612) (0.77648238083735144,0.63013896264963454) (0.94923825394854,-0.31455800298311631) (0.78092377423045445,-0.62462633537312651) (-0.99078979309022808,-0.13540895800582517) (0.9998287724391941,-0.018504750815225512) (-0.46306953254646455,-0.88632195506328171) (0.97998627084633805,-0.19906508722698876) (-0.77100478794233496,0.63682934681906334) (0.56771818982530264,0.82322296915324333) (-0.66199367466519987,0.74950942269144627) (-0.93668371291188512,0.3501765582753994) (-0.46584238707485759,-0.88486771350546944) (0.48631815622681845,-0.87378180967799257)
 (1,0) (0.53134864115150793,0.8471532456093448) (-0.63210998221994608,0.77487868107072033) (-0.31461538037110237,-0.94921923833956612) (0.95763269713642218,0.28799239117591535) (-0.65585690399277996,0.75488523729438883) (-0.56609412771132439,0.82434060834751688) (0.97011543561866653,0.24264385748335993) (0.93010863272556343,0.36728453728598875) (0.37019276433140963,0.92895495974598785) (0.9625862985221334,0.27097530864906849) (0.24127379110369396,-0.97045708700923583) (0.5298255973385807,0.84810661853614644) (-0.96320137986347065,-0.26878076908347842) (0.71529366274302997,0.69882399503713377) (0.76338948308135324,-0.64593846233273922) (-0.6988118205113103,0.7153055567473724) (-0.99978572736916504,-0.020700225817832152) (-0.30663071148543841,0.95182855954942502) (-0.064916774430645585,-0.99789068158667593) (-0.45755935026235189,-0.88917908263043144) (0.4698816854816395,-0.88272940454531967) (-0.82853064129256815,-0.55994372613623) (0.51496869735443473,0.85720898312201299) (0.82964869478628289,-0.55828580784345339) (-0.11508538755623504,0.99335560277829615) (-0.68800318088558554,-0.72570767054738849) (-0.79470732972221925,-0.60699280068694317) (-0.84691194495370703,-0.53173316380937574) (0.056108547879647142,-0.99842467460236439) (0.29727464348719346,-0.95479201208407805) (-0.76030409298119594,-0.64956730690209519) (-0.50978076887214341,-0.86030434596608063) (-0.73693358107104079,0.67596515967157167) (0.98175105861584933,-0.19017060473863723) (-0.5468512851945535,-0.83722976050846765) (-0.98009833804249924,0.19851258843290026) (0.56497280078622236,-0.82510952871226251) (0.93006643872652384,-0.36739137109431491) (0.58967233054836465,0.80764258344001383) (-0.60414117599438688,0.79687730515313315) (0.32325570693158751,0.9463116547608188) (0.66605773687126257,0.74590018846621287) (-0.61737221747456106,-0.78667117977624113) (-0.98558269202988202,-0.16919443599341955) (0.70871422083589197,0.70549567906896138) (0.88842005255312262,-0.4590313826107173) (0.43951147249984357,0.89823697627130628) (-0.93668371291188512,0.35017655827539917) (-0.62150258391022817,-0.78341211261564614)
 (1,0) (-0.57968218675296823,0.81484266110783454) (-0.99439420530623535,-0.10573629676407614) (0.93916412068155353,0.34346870952743885) (-0.78979110238677552,0.61337591621344434) (-0.18822355834986604,-0.98212620985396493) (0.96427738716355083,0.26489454619722702) (-0.095042642079531781,-0.99547320214385593) (-0.10519997169562589,-0.99445108776411861) (0.67749912798722522,-0.73552357649265698) (-0.91205022822672766,0.41007850613214852) (-0.99430155170143131,0.10660405378842691) (0.98198051183829893,-0.18898220648990516) (0.22681225013867545,-0.9739385007211856) (-0.92394079147967678,-0.38253550663945973) (0.90697933934679154,0.42117511559689408) (0.99995136132636386,-0.0098628079952546299) (-0.99005997560919212,-0.14064581293705564) (0.027356907128923136,0.99962572977706987) (0.58706339648071182,-0.80954096160264233) (0.44656852025938665,-0.89474943795083883) (-0.90428483861201381,-0.4269296553958799) (0.61367213602993242,0.78956095993942133) (0.01308177951947892,0.99991442986117707) (0.31838461854949818,-0.94796162088509162) (-0.85961662899689384,-0.51093957681120861) (-0.20323660969360091,0.97912965458117518) (0.053503630399698854,0.99856765496087041) (-0.11816827151931858,0.99299358487662759) (0.14494705658706419,-0.98943941238801769) (-0.84525473556095065,0.5343635766140753) (-0.17232466596025442,0.98504020704826423) (0.58158858108719946,-0.81348308055483076) (0.97831557599298336,0.20711985363435953) (-0.94924053057385116,0.31455113275248847) (0.78695764892295827,-0.61700701681719183) (0.51732303601612772,-0.85579020583730514) (0.85351287272892984,-0.52107175713716103) (0.6601329840828819,-0.75114874913417085) (-0.47209482813015108,0.88154777139572105) (0.29592294140871939,-0.95521181564510171) (0.2070634439488902,0.97832751682656038) (-0.99036096332674006,-0.13851051338628256) (-0.2625623207351393,0.9649150365343977) (-0.77299495751395209,0.63441216543978962) (-0.94937723702614152,0.31413828454457871) (0.86896806917689273,0.49486815895850789) (0.88842005255312251,-0.4590313826107173) (-0.66199367466519987,0.74950942269144627) (-0.80525087345362212,-0.59293425504197184)
 (0.99999999999999989,-5.5511151231257827e-17) (-0.77314041007924861,0.63423489836376257) (-0.020890935672018579,-0.99978176058915369) (-0.037699223305356133,0.99928913161415589) (0.27228838310214476,-0.96221569121877271) (0.76842195597630769,0.6399435112363796) (-0.93191576704612333,0.36267478976465256) (-0.9866778667817917,0.16268616168234415) (-0.98380207324092273,0.17925813980643313) (-0.86365839465722893,-0.50407755091662065) (0.56820558769606622,0.82288663259951478) (0.85857427205655701,-0.51268920347765712) (-0.27171206808425663,-0.9623785908141228) (-0.65053176819580127,-0.75947904419282353) (0.57667634172367155,-0.81697270266282662) (-0.94955996561708289,-0.31358550938665009) (0.17728547066916123,0.98415946974543422) (0.36817478737516651,0.92975659499744889) (-0.35086143455686247,0.93642738839736039) (0.52596917504058638,-0.85050363133094631) (0.98876486258508756,-0.14947925112567972) (0.073845255944510968,-0.99726971185055557) (0.90333002546857444,-0.4289462263348931) (0.53805878337928914,-0.84290731734182966) (0.89894409350799442,-0.43806337069776879) (-0.98917631755979007,-0.14673177153859351) (-0.62860501452736051,-0.77772471717893688) (0.92280789128633545,-0.3852604259194905) (0.94863095923163543,-0.31638473918200927) (-0.99951013208605755,0.031296898525444372) (-0.97824013217185679,0.20747588729389194) (0.91022748752404437,-0.41410858594777539) (-0.93858387180891101,-0.3450511782043274) (-0.058848995832764761,0.99826689602003571) (0.62445783793769738,0.78105851806262039) (-0.86374466197227129,0.50392971624464455) (0.74994057980844475,0.66150519783035322) (-0.4447481293964467,0.89565568239048354) (0.98689514311454063,-0.16136287211415648) (-0.27972429449952474,0.96008037114959477) (0.99311850906279897,0.11711373513334711) (-0.28729280272822144,-0.95784280834621438) (-0.86532796302616122,-0.50120606181988137) (-0.17096807239505366,-0.98527656940654029) (0.87310257188742368,0.48753656166852455) (-0.61266376616362839,0.79034366552165114) (-0.94937723702614152,0.31413828454457887) (0.70871422083589208,0.70549567906896138) (0.56771818982530264,0.82322296915324311) (-0.91689108660835039,-0.39913748921663472)
 (1,0) (-0.89476279880057641,0.44654174931640933) (0.45169890549139718,-0.89217044267217993) (-0.99090088756268591,-0.1345935772148168) (0.98256774294087668,0.18590489647148128) (-0.95998468850419594,-0.28005249121816822) (0.67189412491410638,-0.74064720677655049) (0.83727192023637964,-0.54678673318185489) (0.024334170750453465,0.99970388022348289) (-0.62692358687899086,0.77908075076642758) (0.82744987364575229,-0.56153958596311659) (-0.47588989941069865,-0.87950486277159112) (0.46404544903936468,0.88581139145184573) (-0.84232783068410955,0.5389655143466987) (-0.098153019144713749,-0.99517133441070205) (0.69268426049701159,-0.72124095506266694) (-0.069822678674035688,-0.99755941855249031) (-0.94882952951435751,0.31578873305037675) (0.99792356351127476,0.064409326878624884) (0.91832479715702386,-0.39582769853373262) (0.99999987096155141,0.00050801267856270815) (0.95081692987100819,-0.30975339525285345) (0.55335452440714594,0.83294583876632733) (-0.53217274013172955,-0.84663579812141576) (-0.93872183015186106,-0.34467568175944946) (-0.39501369949932302,-0.91867522945155045) (-0.74773896507188253,-0.66399280125105975) (-0.49254146088462025,0.8702889803448296) (-0.42571773098143922,-0.90485601812001848) (0.24502080032409657,0.96951782212011905) (0.16093068151829676,0.98696571153513524) (0.98848244060684709,0.15133560259215395) (0.023734955446552186,0.99971828626366011) (0.9998931575375587,0.014617575365728441) (-0.82530042130896186,0.56469391229873356) (0.61191056246039688,0.79092696473783253) (-0.46802887924033848,-0.88371317077263989) (-0.6493103154017823,-0.76052357906434309) (-0.87770398053733079,0.47920321633825136) (-0.93034695322375294,0.36668044211176382) (0.99112253767123593,0.13295155252997201) (0.96883423099600308,-0.24770997729276467) (0.78612198162693292,0.61807137937534651) (0.42444105873433652,-0.90545556912555092) (-0.95654035173731422,-0.29159999228095906) (0.87310257188742368,0.48753656166852449) (-0.77299495751395186,0.63441216543978962) (-0.98558269202988202,-0.16919443599341952) (-0.77100478794233474,0.63682934681906334) (-0.76964642740215516,0.6384703413527516)
 (1,0) (-0.8019831719857502,-0.59734662621603141) (0.97477640028840151,0.22318371231069928) (0.15621080661238768,-0.98772373865241647) (-0.98322504756802065,0.18239656201492394) (0.96306331927925215,-0.26927503237179312) (-0.99000218776522575,0.1410520053741397) (-0.99809920073163827,-0.061627798101709541) (0.61598786801665772,-0.78775563879688726) (-0.3576802890796309,0.93384410412226293) (0.61005056927581147,-0.79236248202843307) (-0.81666505630107011,-0.57711193525759807) (0.78823126177353076,0.6153791335127542) (0.94717342962428575,0.32072183307933494) (-0.41409345290365263,-0.91023437216045089) (0.91492553658563258,-0.40362267342592706) (0.091226250426653999,0.99583019196703093) (0.62929911200821298,0.77716319240277598) (-0.94022704152165471,0.34054824972599113) (0.39133256659701943,-0.92024932617230926) (-0.14228535903791734,0.98982567990704895) (0.59083651165559059,0.80679130913430996) (-0.99183796710541494,-0.1275046940633856) (0.92150432749615874,0.38836809138477285) (-0.94743301161213167,-0.31995419751515564) (-0.99765769958509143,0.068404052939756155) (0.95682788800355878,-0.29065510960354618) (-0.99309359000603437,0.11732485452335123) (-0.0030314488476784751,0.99999540514838547) (0.74001407432938382,0.6725913839727844) (0.74835854604100494,0.66329441921924293) (0.96418808251468691,-0.26521942149218775) (-0.99618006969579587,-0.087322784775099804) (0.67552220664890483,-0.73733964244722094) (-0.44283473928158157,0.89660325322040513) (-0.86832254974430112,-0.49599994919914658) (-0.88435090662583904,-0.46682274360838111) (-0.68697725811890475,0.72667891590951794) (0.84499963787171795,-0.53476687630842035) (0.92491990502245891,0.38016203031502993) (-0.54591945731054359,0.83783766096408019) (0.64579480262109112,0.76351101688684586) (-0.97141892531291663,-0.23737158958876625) (-0.99374256605410471,-0.11169472866793362) (0.42444105873433657,-0.90545556912555092) (-0.17096807239505363,-0.98527656940654018) (-0.26256232073513919,0.9649150365343977) (-0.61737221747456106,-0.78667117977624101) (0.97998627084633771,-0.19906508722698874) (0.31829317452657557,-0.94799232858172189)
 (1,0) (0.3674345575819386,0.93004937820234324) (0.30670270399540961,-0.95180536422206807) (-0.89264246530038749,-0.45076538148181389) (-0.38276303888809066,0.92384655439155816) (0.99606894982842553,-0.088581302698129) (-0.98969946421397603,0.14316064590022048) (-0.25926548326550697,-0.96580609295401698) (0.9589868717989769,0.28345048900506792) (-0.9993036523987302,-0.037312334456007734) (-0.78249801024719157,0.62265308475842818) (0.65914137412521767,0.75201904824034882) (-0.72649237428914226,-0.68717452666678847) (-0.8980511104528367,-0.43989112631925925) (0.85373263895339491,-0.52071161038109404) (-0.98205150492302118,0.18861294143941565) (0.75333897190656851,-0.65763241511254189) (0.14722889052578264,0.98910244858383922) (-0.15191398987403174,-0.98839371693700673) (0.51797679340543668,-0.85539467001695846) (-0.064574586269866591,-0.99791288337613671) (0.99791896545229908,0.064480527220341866) (-0.35699582507286304,0.93410597946943119) (0.99533193283739207,0.096510846406922202) (-0.96396578981526948,-0.26602623191298902) (0.89619049277030305,0.44366947231934067) (-0.56222390819798018,0.82698505249526089) (-0.83410148448106092,0.55161101655649469) (0.99717282516594186,-0.075142243449160595) (-0.16331892257105191,0.9865733269910707) (-0.7686802809963702,-0.63963319614239911) (-0.92182901970446052,0.38759677298800271) (0.97558173302875928,0.21963670499395488) (-0.16286485779723173,-0.98664838625251294) (0.16856617281174829,-0.98569033949998663) (0.84652733400969149,0.53234525711651159) (-0.79806635450265273,-0.60256957590874594) (0.6545876947991367,-0.75598607779346838) (0.11640655243090278,0.99320164848390735) (0.63727058064879716,0.77064012810101223) (-0.94718403610458135,-0.32069050773079588) (0.95638404525504239,0.29211223524802726) (-0.33562624341139813,0.94199523604610269) (-0.97141892531291651,-0.23737158958876636) (0.78612198162693292,0.61807137937534651) (-0.86532796302616122,-0.50120606181988148) (-0.99036096332673995,-0.13851051338628273) (0.66605773687126257,0.74590018846621287) (-0.46306953254646444,-0.88632195506328171) (0.9795599871606232,-0.20115225962906902)
 (1,-5.5511151231257827e-17) (0.98873915904902177,0.14964917428115998) (0.17730582515549115,0.98415580289196558) (0.47068208720512233,0.88230288041251947) (0.94249455271203675,-0.334221510540744) (-0.52849155660977898,-0.84893855760718773) (-0.53689383397124635,0.8436498154113794) (-0.96585557065498429,-0.25908110049699667) (0.88236846147027759,0.47055913358745299) (-0.98246689286549249,-0.18643713262980621) (-0.88969128073789028,0.45656261890234917) (-0.99878355339012104,-0.049309365007095818) (0.9987094981937521,-0.050787185564704296) (0.88038140073735316,-0.47426636949686274) (-0.10755578997590515,0.99419905051385871) (-0.97676783554147417,-0.21430024603724418) (-0.034507451426180835,0.99940444055250677) (-0.24509905912658325,-0.96949804085168867) (-0.61623507678899181,-0.78756227063951223) (0.95389070809199494,-0.30015415541976509) (-0.82292966762819453,-0.56814325846334623) (-0.3742597875112228,0.92732389781135982) (0.99984972448113774,0.017335756545130643) (-0.65219420964946029,-0.75805191965967278) (-0.47373952953794368,0.88066500904326106) (0.80146378530078621,-0.59804331018023671) (0.08079716683694349,-0.99673056431069829) (-0.67180600574633287,-0.74072713642957466) (-0.015448707631786907,-0.99988066159542588) (0.57472804378191666,-0.81834447251179609) (-0.79799684055128339,-0.60266163182184418) (0.097094783024470332,-0.99527513940087475) (-0.57966130105853497,0.81485751886763946) (0.8790755753157633,0.47668242350988765) (-0.97814980976498278,0.20790129787167361) (-0.71627404550611706,0.69781909671081688) (0.93756504352452796,-0.34780999002451041) (-0.16886133616929339,-0.98563981714778559) (-0.933727888817526,-0.35798356057836628) (-0.27930673540969975,0.96020193061395953) (-0.97411999459959586,0.22603149364918868) (0.84089066868743456,0.54120502890715827) (0.9563840452550425,0.29211223524802699) (0.64579480262109112,0.76351101688684597) (0.96883423099600319,-0.24770997729276467) (-0.28729280272822144,-0.95784280834621438) (0.20706344394889026,0.97832751682656027) (0.32325570693158756,0.9463116547608188) (0.99982877243919399,-0.018504750815225623) (-0.99908092236099399,-0.042863860935577092)
