# Created by Octave 5.2.0, Fri Sep 17 23:35:20 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
2.187480170984146e-13


# name: H
# type: complex matrix
# rows: 52
# columns: 52
 (1,0) (1,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000004,0) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,5.5511151231257839e-17) (1,2.775557561562892e-17) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000004,1.387778780781446e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1,6.9388939039072299e-18) (1.0000000000000002,-5.5511151231257839e-17) (1,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,5.5511151231257839e-17) (1,0) (1,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1,0) (1.0000000000000004,0) (1,-5.5511151231257839e-17) (1.0000000000000002,0) (1,-5.5511151231257839e-17) (1,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000004,0) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,-2.775557561562892e-17) (1.0000000000000002,2.775557561562892e-17) (1.0000000000000002,0) (1.0000000000000002,0)
 (1,5.5511151231257827e-17) (-0.20587867266428989,0.97857752485022353) (-0.99898894819898776,-0.044956438652098696) (0.58492533132121483,-0.81108714499661927) (-0.21305066354459451,0.97704115305508421) (-0.73218910643045987,-0.68110139658098223) (0.97479245043621066,0.22311360015150861) (0.77362000480481552,-0.63364981509174101) (0.82922657532919419,-0.55891259313761743) (0.90250410475532128,0.43068125208766095) (0.21098309870889731,-0.97748970943902647) (-0.58654693739084007,0.80991523645220165) (0.95936896207625622,-0.28215455800806516) (0.62537241339576843,0.78032643461794404) (0.82303336758171586,0.56799302447045963) (-0.99047967800250925,0.13765902608999309) (-0.21517782371228644,0.97657488406288806) (0.99749270530050882,0.070769363938591456) (0.93694179124341481,0.34948545008566723) (-0.8662617307855871,-0.4995904460419146) (0.95222384490780909,0.30540096461699051) (-0.91077712383513498,-0.41289832973578161) (0.95306814296026965,0.30275586678752192) (0.20424632288796302,-0.97891952661429005) (-0.41780253383215077,-0.90853785981841939) (0.087599859642513433,-0.99615574313990296) (0.7918813704739851,-0.61067495044110265) (-0.87565456577847234,-0.48293796851284571) (0.12289555544683878,-0.99241961006996071) (-0.99947053872094682,0.032536782706034995) (0.052776822875928886,-0.99860633232877249) (0.069470809106572939,-0.99758398477625854) (0.17530135594922602,-0.98451482193127093) (-0.29156616870904351,0.95655066215246998) (-0.24850660562103755,0.96863020134760924) (0.97421560123451156,0.22561906460066489) (0.87295416544050775,0.48780223968332354) (0.99846882616972366,0.055317295371825004) (-0.033888229756547261,0.99942562899095622) (0.10472061388451614,-0.99450168075657341) (-0.22908675312169807,0.9734060096096373) (-0.31262412932347494,0.94987691506044059) (-0.17003044661817085,0.98543880947668416) (-0.99967812173556481,-0.02537031578939275) (-0.9717429884882669,0.23604144619937389) (-0.27359438800226532,-0.96184515950004434) (-0.88849466634092478,-0.45888694455576856) (-0.77171498370710467,0.63596854004104841) (-0.9916027478102416,-0.12932126868840199) (0.2164586671005298,0.97629178294045982) (-0.99975821288019551,0.021988992214220404) (-0.99997599802341519,0.0069284469453669284)
 (1,5.5511151231257827e-17) (0.21265375363206249,-0.97712761759464861) (-0.25636692746712603,0.96657953552776243) (0.62621433164291984,-0.77965095449502952) (-0.66267392519931256,-0.74890805100555335) (-0.82538883617030823,0.5645646722257992) (0.55602408347752486,0.83116617989002495) (-0.89855699515068421,0.43885684051382035) (-0.29398075017749709,0.95581134044594596) (-0.99009030426768907,0.14043215228399014) (-0.61686756234679796,0.78706696698839984) (-0.66275998427230576,-0.74883189251485072) (0.34071572161066205,-0.94016636668587805) (-0.81615161400486436,-0.57783781717472837) (-0.064569952977654499,-0.99791318318402) (0.89025288328905361,0.45546657813227748) (-0.085599985340356011,0.99632958528276661) (0.29038675849363743,-0.95690936378089519) (-0.90696317738868526,-0.42120991780942252) (0.63168125987238621,0.77522821538307984) (0.66715455083546016,0.7449193280480344) (0.7364951254588743,0.67644285063508192) (0.73837048057922283,0.67439530945077564) (-0.49705815661732938,0.8677172286754381) (0.97624470738925129,-0.21667088243341326) (0.94395422376544502,-0.33007639030287489) (0.53310967203114645,0.84604614388746158) (0.98936421246040884,-0.14545946205934507) (0.59248680485871352,-0.80558015496182134) (0.097438163002536771,-0.99524158091927151) (0.027183981336271479,-0.99963044729475337) (0.99165798104260428,0.128897046647726) (0.96824910804307351,0.24998732922648703) (-0.88745437013978279,-0.46089558570222855) (0.85046355591765732,0.52603397234008853) (0.46677899413035034,-0.88437399930044203) (-0.73571315025622541,-0.677293260368107) (-0.84090423941907655,-0.54118394296858419) (0.096020601386353654,-0.99537934683687468) (-0.98939926416348478,-0.14522085274765187) (-0.94175640348511092,-0.33629581694512356) (0.84936132073999449,0.52781184794471159) (0.87961530514813302,0.4756857312860629) (-0.2017674069200471,0.9794334655834257) (-0.97885925587109435,0.20453497792672748) (-0.48685857079112149,-0.87348081378312259) (0.20507714258994664,-0.97874581255152371) (-0.97894022591023888,0.20414708936159259) (-0.85113643614591106,0.52494453713210221) (0.081482264423024586,0.99667479178741958) (0.23113872020618287,0.97292080459893904) (-0.9997582128801954,0.02198899221422046)
 (0.99999999999999989,-2.7755575615628914e-17) (0.22734682742794002,-0.97381385287869637) (0.27755905112726564,-0.9607085786737477) (-0.61686705830843214,-0.78706736203065963) (-0.611077597460297,-0.79157069796838231) (0.046855860294263973,-0.99890166100376732) (0.93837175206278645,-0.3456276246636209) (-0.9501964944487955,-0.31165144302123804) (0.51874912441618615,-0.85492651492244653) (0.69298933093992954,-0.72094783944709107) (0.093536541709378279,-0.99561584728501085) (0.25443191795006365,0.96709068816127686) (0.83522780017007658,0.54990410238791165) (-0.95356429579347346,0.30118953133848697) (0.32277818200595182,0.94647464055881236) (-0.17973955726010557,-0.98371423266919422) (0.6531681743485519,-0.75721287364794532) (0.17757742538897534,-0.98410683261128884) (-0.62383780640752184,0.78155383134922429) (-0.55710922114585082,-0.83043923059683589) (-0.34418422079489525,-0.93890213662330713) (0.27900481358862417,0.9602897031596126) (-0.47793351502684067,-0.87839601274942547) (-0.82365704134569684,0.56708824555059612) (-0.99382690791780925,-0.11094177346034587) (0.10848606257031118,0.99409797013573586) (-0.56422143144538262,0.82562350759757519) (0.036266354152502955,0.99934215940111581) (0.00077956114352614736,0.99999969614216544) (0.5839536894790941,-0.81178697239100472) (0.98517844244974995,0.17153261069629028) (0.9929628417906593,0.11842632656220661) (-0.32163836375946853,0.94686258926949474) (0.54007117166703444,-0.84161934954835516) (-0.68319793851634536,0.73023323452648725) (-0.69419196356886526,-0.71978991220800204) (-0.85064255039041159,0.52574447354708043) (0.68118696638349796,0.73210949784116819) (-0.5873089356920459,0.80936284449947238) (0.97522233381487733,0.22122703186695919) (-0.38837391705838059,0.92150187224374669) (-0.63106550330799938,0.77572954728733989) (0.68081414967374965,-0.73245620592907024) (0.85610699365599108,0.51679862172155733) (0.013136910308401833,0.99991370707053961) (-0.44495667422667817,-0.89555209678786085) (-0.0097567151084387571,-0.99995240212236747) (-0.44460177720837735,-0.89572834034831805) (-0.998546823410984,0.053891014611282789) (0.68079309956015144,0.73247577133396158) (0.081482264423024642,0.99667479178741958) (0.21645866710052991,0.97629178294045982)
 (1,-1.1102230246251565e-16) (0.91081297341214862,0.41281924308845003) (0.88114901589659755,0.47283867416324815) (-0.90193361939082528,0.4318746880896891) (-0.22980178714206156,-0.9732374523343803) (0.95232432905260578,0.30508748301840344) (-0.88230173896184971,-0.47068422687072953) (-0.73181668792891175,-0.68150152990933066) (0.057925214685824011,0.99832092510554982) (-0.35412288102178852,-0.93519890137704265) (-0.93072617888644793,0.36571680291645348) (0.80675990173914625,-0.59087939627799069) (0.94761439908535794,-0.3194165785398364) (0.99221929647685136,0.12450248069409203) (-0.49367545978457406,0.8696462156569702) (-0.96926394039561259,0.24602319778583992) (0.25160466090891531,-0.96783009594086788) (-0.53964986708287621,-0.8418895538949478) (-0.72914007981245799,-0.68436448184507848) (-0.15521106820032021,-0.98788133108593357) (-0.99805652319685301,0.062315138643917301) (0.95754043859808724,0.28829899141235793) (0.97061785884266327,0.24062620824773906) (0.074352547463259921,0.99723201848201981) (0.68528162700753459,-0.72827816916745869) (0.91428033247986895,0.405082057909877) (0.85386658653641034,-0.52049193307548847) (-0.24654533155643643,-0.96913126019529794) (0.30040610452126681,-0.95381139244944979) (-0.98296133458048363,-0.18381244440938721) (-0.77994478497110542,0.62584833018581765) (-0.89600915935121273,-0.44403556879909251) (-0.87122577234025544,-0.49088252526457377) (-0.74564927255049507,0.66633862438321645) (0.86232602364536237,-0.50635346245876289) (0.36431687813833696,0.93127504653756066) (-0.99921837014012493,0.039530352572575145) (0.27641220411077505,0.961039173716984) (0.47705635906597593,0.87887270424943553) (0.81389717050334243,-0.58100894644286971) (0.78233056782982646,0.62286345424905232) (-0.80460287088801008,0.59381328728715099) (-0.87814571462554669,0.47839325234036001) (0.54665476905940757,0.837358085567104) (-0.49948375056216421,0.86632325544472932) (-0.072017245098187632,-0.99740338700470987) (0.97279262621720886,0.23167759144428685) (0.88660943570499828,-0.46251887368934946) (0.9936381248539663,-0.11262005521528473) (-0.998546823410984,0.053891014611282817) (-0.85113643614591117,0.5249445371321021) (-0.99160274781024182,-0.12932126868840199)
 (0.99999999999999989,5.5511151231257827e-17) (0.077598970505848103,-0.99698465373165712) (0.94247609954491873,0.33427354335423581) (-0.83471392393352228,0.55068381598835991) (0.35373238565272275,0.93534667334653721) (0.37806692613712051,-0.9257782668442962) (-0.91896315439163201,-0.39434340475096208) (0.94736925948594464,-0.32014291524419702) (0.99963405948319228,0.027050824777685223) (0.25476566174224302,-0.96700282191782438) (0.96130931016512411,-0.27547125111316562) (-0.12239376798586032,0.99248161975838267) (-0.49941571997952183,0.86636247531696253) (-0.90458572858128206,-0.42629175413919373) (-0.82578299751319983,-0.56398797949789192) (-0.24597849303964517,0.9692752864702292) (0.16068610355679463,0.98700556033070774) (-0.19423937459589197,0.98095416068060848) (0.33601602243608453,0.94185626964321489) (-0.41106600621129813,-0.91160558277003401) (-0.024831353398552247,0.9996916544056953) (-0.97284075117645208,-0.23147542601847954) (-0.89141046611716546,-0.45319684563860085) (-0.3136363795209543,0.94954316460126631) (-0.80499399362840984,0.59328295965937072) (0.75639109566921403,0.65411964531905442) (-0.93249772964601574,0.36117583557739041) (0.98505476493625055,-0.17224142961664951) (0.9675139583497161,-0.25281760302333195) (0.14240563734378761,-0.98980838269470584) (0.10777075331571398,-0.9941757715463414) (-0.67160757448281128,-0.74090705618000097) (0.4852289559269144,-0.87438713412885727) (-0.62823433340012769,0.77802417850430339) (0.57109068412766562,0.82088697791023268) (-0.90768720460697694,0.41964739793399369) (0.0069866736809845453,-0.99997559289758409) (0.99352272535390651,-0.11363359628800507) (0.9301964685988241,-0.36706202446763347) (-0.86678687292228151,0.49867877128429372) (-0.49558903738459481,-0.86855714033344422) (0.75827787206670072,-0.65193149082859625) (0.56018891833403828,0.82836488081988358) (-0.82356110987244113,0.56722755425461502) (0.81128031229054687,0.58465738248118604) (-0.99325750147241787,-0.11592901176482762) (0.27152570203570309,-0.96243118877871869) (0.83363170424181721,-0.55232072356818473) (0.88660943570499806,-0.46251887368934919) (-0.44460177720837729,-0.89572834034831794) (-0.97894022591023877,0.20414708936159254) (-0.77171498370710467,0.63596854004104841)
 (1,0) (0.78122417631674268,-0.62425057976603215) (0.72560387986903097,-0.68811264304546038) (-0.99646660973754375,-0.083989854614503923) (-0.31530300980724235,0.94899104948703028) (-0.88052576451080289,0.4739982890609068) (-0.96408533239773764,0.26559268035008782) (0.91777562021609671,0.39709937161491371) (-0.97373672840000969,0.22767692848605892) (-0.39790467211777392,-0.91742676650882959) (0.39984474578455709,0.9165828818325612) (0.86086732595468618,-0.50882948725838162) (0.50201336285933718,-0.86485986351007127) (0.85946279203974019,0.51119830701915903) (-0.16220150315648996,0.98675765635427193) (-0.40814733201069564,-0.91291607246917916) (0.40422413575739419,0.91465996308529163) (0.56357380241703492,-0.82606571725814004) (0.94635636825561942,-0.32312478125646021) (-0.76413873241817687,0.64505193404743943) (-0.54467310506649014,0.83864844161139929) (-0.90852107279793382,0.41783903633108654) (0.33382313930697338,0.94263572585768152) (0.97896085248274245,-0.20404815438092638) (-0.83796225816976566,-0.54572818681375324) (0.14136905536474426,-0.98995696380462916) (-0.73483807571512971,-0.67824258379969415) (-0.67948109802830925,-0.73369301306625734) (-0.59668622925672199,0.80247463749042836) (0.92062074071573852,0.39045800256110053) (0.63332380489016216,0.77388691561458023) (0.64729180867563563,0.76224229377634556) (0.99167837158350813,0.12874007664080947) (-0.078962384181573642,-0.99687759623955907) (-0.048867017271763957,0.99880529364984894) (0.30411324969543829,-0.95263588603394544) (0.72084441125814647,0.69309691584791833) (-0.6828050805585506,0.73060058990082311) (0.57227557517366734,-0.82006137944647106) (-0.40623254898066319,0.91376972818575797) (-0.38787822707205394,0.92171062756346711) (-0.88294185063238206,-0.46948236218399586) (0.14943281573062636,-0.9887718814685299) (-0.11973416315370153,0.99280598818393684) (-0.98844556635768921,0.15157625918271894) (-0.86067431380321524,0.50915589514348547) (-0.28461144813869982,-0.95864295939019573) (0.2715257020357032,-0.96243118877871892) (0.97279262621720874,0.23167759144428682) (-0.0097567151084388959,-0.99995240212236747) (0.20507714258994655,-0.97874581255152371) (-0.88849466634092478,-0.45888694455576851)
 (1,0) (-0.26613434781389483,-0.96393594647864056) (0.44829229670505516,-0.89388702681877352) (0.57355478283350492,0.81916720581869662) (0.1770190908008728,0.98420741792166588) (-0.55909986065234551,0.82910032313256787) (0.73470766215067873,-0.67838385238527321) (0.13852674249799157,-0.99035869341006699) (-0.7890951703602519,0.61427095984925484) (0.96608444017703898,-0.25822636280561401) (0.78170999416401743,-0.62364211293344474) (0.966054758791278,-0.25833738215117968) (-0.27076780983798804,0.96264468686818083) (-0.81012819655810686,0.58625276557258921) (-0.78759402547292945,-0.6161944912439139) (0.43669206549149342,0.89961104925227142) (-0.77738915484246784,0.62901995352557238) (-0.73253869144012651,-0.68072539657573139) (-0.46087913323316981,0.88746291446473546) (0.96032093167249255,-0.27889730760922776) (0.64675532628725096,-0.76269754681595214) (-0.50111890932025815,0.86537843670944015) (0.82520877018922911,-0.56482783713515761) (-0.81884245296007874,0.57401832482101267) (0.89714292071469148,0.44174039866364079) (0.18711858728905389,-0.98233733222908126) (0.83701799752332096,0.54717535746965906) (-0.71607514988284426,-0.69802319425665316) (0.45307007537545568,-0.89147490531101248) (-0.1297141830346335,0.99155142615986214) (0.022809683531480607,0.99973982532316541) (-0.4597737763818176,0.88803607728042366) (-0.53646269972276728,0.8439240320112702) (-0.051756796979774367,-0.99865971880635773) (-0.95395243758450521,0.29995790842479958) (-0.19894092292499643,-0.98001148421115447) (-0.33521720695685236,0.94214087277861303) (-0.94128496763224034,-0.33761310654293558) (0.95271479714234464,0.303865949566616) (0.97194119831398273,0.23522395077878311) (0.98512015148283893,0.17186706241286676) (0.97144702293795115,0.23725657340733847) (-0.18180618568686036,0.9833343840454245) (-0.29683293073675432,-0.95492942735587993) (0.56051711353962907,0.82814284119903014) (-0.78706270620210272,-0.61687299868434975) (-0.86067431380321513,0.50915589514348547) (-0.99325750147241787,-0.11592901176482762) (-0.072017245098187577,-0.99740338700470965) (-0.44495667422667795,-0.89555209678786063) (-0.48685857079112138,-0.87348081378312248) (-0.27359438800226527,-0.96184515950004412)
 (1,5.5511151231257827e-17) (-0.88491280602241695,-0.46575672377061011) (-0.99861066983531699,-0.052694687503198723) (0.9792587323592844,-0.20261375841262019) (-0.11873376124444729,-0.99292612713169526) (0.66115660322671199,0.75024792302925891) (-0.45765958891799075,-0.88912749404762881) (0.9146715760895765,0.40419785735925284) (0.98438125118904463,-0.17604985744808521) (0.06087611222686351,-0.99814532957888535) (0.97400210813644073,0.22653894443510114) (-0.97354691251395864,-0.2284872187553133) (0.26693566979479322,0.96371434989378679) (-0.12397036143207191,-0.99228592123762449) (0.25202065340500801,-0.96772185583323111) (-0.71939587362254909,0.69460030018338537) (0.042071216569764314,-0.99911461441435212) (-0.32625141691158938,-0.9452830332568023) (0.98239979353475204,-0.18679037893552441) (0.28744368462509051,0.95779754028142716) (-0.30014231811691794,0.95389443277304209) (-0.16396798788340966,-0.98646566029916405) (-0.44501779407666658,-0.89552172667955876) (0.99311619850550903,-0.11713332687995676) (-0.72117314678108368,0.69275485733545739) (0.68048061814699412,0.73276608022361756) (0.98170908300175586,-0.19038717486178541) (0.97788984358707143,-0.20912066805854496) (-0.38741698268193331,-0.92190459459188423) (-0.75522981970959646,-0.65546008224865271) (-0.44395716063470381,0.89604801183930505) (-0.31821230781316123,0.94801947614815496) (-0.80226532446135557,0.59696762824035621) (0.90831242076319385,-0.41829241720034355) (-0.45865968472479457,0.88861200397482354) (0.19872611164607101,-0.98005506608048998) (0.83292642066684253,0.55338375270251827) (-0.78113835609735838,-0.62435796513980368) (0.79280255193003701,0.60947855881336921) (0.77074363569540616,0.63714539002885939) (-0.73460202350569659,-0.6784982439633398) (-0.71943554663405873,-0.69455920859157416) (-0.77281628586590378,-0.63462980413815273) (0.88452384958718711,0.46649497265400747) (-0.96573478005977864,0.25953098963879251) (0.56051711353962919,0.82814284119903059) (-0.9884455663576891,0.15157625918271878) (0.81128031229054687,0.58465738248118615) (-0.49948375056216426,0.86632325544472921) (0.013136910308401695,0.99991370707053961) (-0.97885925587109446,0.20453497792672742) (-0.97174298848826668,0.23604144619937367)
 (1,0) (0.43104601082464528,-0.90232994882812145) (-0.71947424337414689,-0.69451912365405688) (0.79304849544236933,-0.60915850472319155) (0.24639625746396626,-0.96916917218190135) (0.76338762530805793,-0.64594065789863775) (-0.2561737327737591,-0.96663075609912119) (0.79761638558809422,0.60316506981205886) (-0.9981206417975016,-0.061279559542675305) (-0.87441601883204101,-0.48517690176875006) (0.87187195490212166,0.48973390147625373) (0.88828687805454831,-0.45928904001304505) (0.98334319023042782,0.18175854925544593) (0.75996929613493802,-0.64995897480700005) (-0.65792893924722529,0.75308001626720966) (0.34755318799034518,-0.93766026977671824) (0.30762889105645796,0.95150641899430888) (-0.34402702930304074,0.93895974520153147) (-0.25995610583419115,0.96562043424915334) (0.83999512740808857,0.54259394203277789) (0.25427000851861215,-0.96713327042757946) (-0.82418752955795238,0.56631697495409739) (-0.37199869129021246,0.92823325391755374) (0.99985190758403042,-0.017209384084742096) (0.30519002825216557,0.95229147148099702) (-0.4253056744038074,-0.90504976842156237) (-0.91959203928799627,-0.39287463812028456) (0.85213727645492343,0.52331831811621621) (-0.15025038867114449,0.98864797612910216) (-0.19090152277006209,-0.98160919341867992) (0.84463509330612518,-0.53534246903804839) (-0.71942162418485933,-0.69457362939807832) (-0.73958336471774033,-0.67306496464515631) (0.10536616639680846,0.99443349248647095) (0.057831511139996655,-0.99832635762022437) (0.80894474206678579,-0.5878846862119318) (-0.81220294646251168,0.58337498554327383) (-0.63710723163858063,-0.77077517824189401) (-0.81137125675792698,0.58453116572776787) (-0.84071689437710817,0.54147493340773489) (0.91689030337554356,-0.39913928843939106) (-0.96408087808758558,0.26560884869648144) (-0.9234428681768142,0.38373593682815166) (-0.58071259583691903,-0.81410864203516942) (0.88452384958718722,0.46649497265400752) (-0.29683293073675454,-0.95492942735588016) (-0.11973416315370157,0.99280598818393662) (-0.82356110987244113,0.56722755425461524) (0.54665476905940746,0.837358085567104) (0.85610699365599108,0.51679862172155744) (-0.2017674069200471,0.9794334655834257) (-0.9996781217355647,-0.025370315789392806)
