# Created by Octave 5.2.0, Sat Sep 18 22:12:27 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
3.6202288437727561e-13


# name: H
# type: complex matrix
# rows: 59
# columns: 59
 (1,0) (1,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1.0000000000000002,5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,0) (0.99999999999999989,0) (1,5.5511151231257827e-17) (1,0) (1,0) (1,-2.7755575615628914e-17) (1,-1.7347234759768071e-18) (1,5.5511151231257827e-17) (1,0) (1,0) (1,0) (0.99999999999999989,-5.5511151231257827e-17) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (0.99999999999999989,-5.5511151231257827e-17) (1.0000000000000002,-5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,0) (1,-2.7755575615628914e-17) (1,0) (0.99999999999999989,-3.4694469519536142e-18) (0.99999999999999989,3.4694469519536142e-18) (1,0) (0.99999999999999989,-2.7755575615628914e-17) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,0) (1,0) (1,0) (1,1.1102230246251565e-16) (0.99999999999999989,0) (1,0) (1.0000000000000002,1.3877787807814457e-17) (1,0) (1,0) (1,0) (0.99999999999999989,0) (1,-4.3368086899420177e-19)
 (1,-5.5511151231257827e-17) (-0.22007869120826179,-0.9754821216588534) (0.32482341189288716,0.94577468304362189) (-0.83533598808412002,-0.54973974479887033) (-0.93789471123188994,-0.34692003494069046) (0.99641817931859977,0.084562473493897394) (-0.9619128828737693,0.27335618844554144) (0.78284450218566581,-0.62221739400122589) (-0.99723279618589022,0.074342115999416036) (0.96240744403089762,0.271609851945606) (-0.40870356736950292,0.912667186886568) (0.6508533037874058,-0.7592035148423768) (0.34692129870997612,-0.9378942437723895) (0.99805119400037823,-0.062400433928139321) (0.018283398858696509,-0.99983284469263833) (0.9998057258832671,0.01971066947196537) (-0.45318119279883179,-0.89141842391406134) (0.34471233881308505,-0.93870836976667671) (0.70287758371228071,0.71131083382357219) (-0.38133817635319434,0.92443560903700683) (-0.40329933313025151,0.91506811106971331) (-0.92496720158027901,-0.3800469392071818) (-0.14092300214807135,0.99002055911257392) (0.55951735145129233,0.82881863723309879) (-0.69111260334829439,-0.72274709926304304) (0.20087635757280298,0.97961660304850073) (-0.41825257924312692,-0.90833076572164573) (0.63681607380559901,-0.77101575090449459) (-0.81331306635686096,0.58182631093239545) (0.97531378746470421,-0.22082349508431687) (-0.081148332648281085,-0.99670203577017114) (-0.099639107548167904,0.99502364205430038) (-0.69619502609655237,-0.71785269076490965) (-0.77589067763995589,-0.63086738412396126) (-0.16506947078434625,0.98628194235470801) (0.83384196366550367,-0.55200324240936949) (-0.50416089996236735,0.86360974227317167) (0.59625405631391071,-0.80279580238639014) (0.98253850918344765,0.18605933992027396) (-0.63457777671232041,0.77285900738934765) (-0.32435544351788481,-0.94593527593610582) (-0.98659781092467091,-0.1631709516998856) (-0.61473591963692553,0.78873300242106215) (-0.47543455176659632,0.87975109376828597) (0.95145339662112116,-0.30779284276625352) (0.07817164154663464,0.99693991516936642) (0.44082921753637627,-0.89759099871058534) (0.9884184385048409,-0.15175305737827038) (0.80025860716510466,0.59965503554807742) (-0.99852370415849756,-0.054317697241252627) (-0.10807688864262011,0.99414253814095066) (0.6615261627783553,-0.74992208659282988) (-0.9088793456220402,-0.41705915060294751) (-0.70957095750014787,-0.70463398745187089) (-0.74170851887867029,-0.67072235166483707) (0.1888942127089282,0.98199744215811169) (0.24400850868390445,0.96977309082581664) (0.9697437597254519,-0.24412505089306991) (-0.82435020196872943,0.56608015732236583)
 (0.99999999999999989,0) (-0.37077915934725492,0.92872106414883426) (-0.9987986216792506,-0.049003197157213206) (-0.75323764494250034,0.65774847034521944) (-0.032709676769776028,-0.99946489535431771) (0.50562357070381914,0.86275419717826907) (0.91730959223478747,0.39817472545862015) (0.94049595834630173,-0.33980487391188408) (0.98961546370654851,-0.14374016137764936) (0.69498478611006775,0.7190244412226493) (0.9629785375192258,-0.26957807083910257) (0.1599970018529901,-0.98711750029976364) (-0.093802919364375709,0.99559078557343017) (-0.77932539224267117,0.62661944831437077) (-0.5291397137633671,0.84853471544682368) (-0.59698634862236832,0.80225139423906988) (-0.15054953816996011,0.98860246639223637) (0.88544554379665541,0.46474314300551595) (-0.98485851026503235,-0.17336007256153338) (0.97728440624663471,0.21193203935970659) (0.16197363246691515,0.9867950863200895) (-0.98656794716644902,0.16335141757504648) (-0.9056811783439791,0.42395943578774198) (0.98887049076522571,0.14877887112671917) (-0.72821143738876037,0.68535253881210323) (-0.93464505506674977,0.35558208762432403) (-0.9994870786860286,0.032024670797190589) (0.65199481503932377,0.75822342430304601) (0.62187305698301343,-0.7831180632564938) (0.9708874225802584,-0.2395362450141153) (-0.29346229336737606,0.95597064932536469) (-0.81369827501294212,-0.58128746523640296) (-0.9976523557813074,0.068481946555335127) (0.49195192115287606,-0.87062236777720925) (-0.99274212980681598,0.12026247838218733) (0.18179018847062067,-0.98333734159535324) (0.51875008987791082,-0.85492592910243326) (0.1968887887663765,-0.98042582833078606) (-0.98978199583110682,0.14258892218048125) (0.99554372980209216,-0.094301018296402528) (-0.5744413688748512,-0.81854573099197536) (0.42169745683797932,-0.9067365962044216) (-0.98977888203515829,0.14261053494476281) (-0.18734213479769588,0.98229472386318051) (0.70635001630987915,-0.70786273701829638) (0.20906537561325528,-0.97790166618105723) (-0.55701109273525817,-0.83050505270580555) (-0.78699533702032631,0.61695894475099688) (-0.46029281723852894,-0.88776715550791696) (0.26831063323651771,0.96333244733696044) (-0.69208659440924869,0.72181448159413408) (-0.13747614347358855,-0.99050507821799127) (0.98311862485480495,0.18296931290136242) (0.24067483633655046,-0.97060580214336989) (0.52101195306158776,-0.85354938039163852) (-0.9114888340010675,0.41132481749995864) (0.98638386562042968,0.1644593251953165) (0.1084149581856973,-0.9941057271948458) (0.96974375972545168,-0.24412505089306996)
 (1,1.1102230246251565e-16) (0.024719685147491066,-0.9996944218941155) (-0.95661582259590894,-0.29135230899917913) (0.63892767938928641,0.76926680710285555) (0.9931722688616702,-0.1166569516323962) (0.29414938754168013,-0.95575945603946555) (-0.53149763462469202,-0.84705977616007611) (0.99988098312929496,-0.015427883082096472) (-0.98481297657531608,0.17361855076248844) (0.9296100723352998,0.36854458809316243) (-0.99492918362232174,0.10057792787992992) (0.63063435963512171,-0.77608008893902203) (-0.72373867980704254,-0.69007414337240514) (-0.27454584799126197,0.96157401033449308) (0.40072319682783403,0.91619917022669317) (-0.73381158003549263,0.67935304886768144) (0.91470221336962165,0.40412852022186763) (0.73191118768490682,0.68140003914123015) (0.049452897120306816,0.99877645695441242) (0.72573431465490335,-0.68797507551682346) (-0.76772832119465084,0.64077548707456344) (0.45624784516729866,-0.88985274275028092) (0.22205759817299336,-0.97503354972720824) (-0.70682423068565547,-0.70738921882909078) (-0.35888842137774191,-0.93338046958407717) (-0.65238173990690962,-0.75789053657902006) (0.52135677129989244,0.85333880552788199) (-0.78639356584152331,0.6177257964526448) (-0.88410136722651655,-0.46729516632231971) (0.64045521144403161,-0.76799552220972034) (-0.076433859193636988,-0.99707465375906923) (-0.79953923912322089,-0.60061385690163793) (-0.096692787325872387,0.99531427442750697) (0.65186709829651845,0.75833322896895283) (0.6004152053015438,0.7996884276033418) (-0.89662812414027671,0.44278437980657026) (0.5752929416902266,0.8179474501711006) (-0.13950730630325936,-0.99022104173159697) (0.59071996681073879,-0.806876645349907) (0.71105876790405109,-0.70313258250970967) (-0.17721334557108742,-0.98417245955752253) (0.20004156499161424,0.97978741177650686) (0.22487165936858344,0.9743883911525324) (0.5637977331195585,-0.82591289863353468) (-0.12189672052251643,0.99254278977072663) (0.57948933532242097,0.8149798219879919) (-0.6107738745089345,-0.79180507337181461) (-0.476357069109687,-0.87925192220957338) (-0.97483544846678871,-0.22292565669423503) (0.17643477574705152,0.98431233351365055) (-0.99653532146828683,-0.083170626221635902) (-0.16232739279614766,0.98673695458719168) (-0.5132022021506194,0.85826773195067496) (-0.35065075276904195,-0.93650629980929878) (-0.94075860408093737,0.33907705443997105) (0.82271959933568728,0.56844741258002662) (-0.41121527495861515,-0.91153825901094931) (0.98638386562042946,0.16445932519531659) (0.24400850868390433,0.96977309082581664)
 (0.99999999999999989,0) (-0.9996973854012644,-0.024599545155851332) (-0.059570351860444272,-0.99822410969642617) (0.90191803939849047,-0.43190722407431814) (-0.99574142838347834,0.092190063460386398) (0.21260248724866548,-0.97713877336624022) (0.9642541712020618,0.26497904317025739) (-0.5524943633240218,0.83351663360438288) (-0.15601791585645097,0.98775422546897196) (-0.34013428806448948,0.94037687449387153) (0.50192510105273336,0.86491108961164453) (0.656628348489395,0.75421430108430654) (-0.95891540211343951,0.2836921775263096) (-0.81087612445636803,0.5852178319110074) (0.51662028511820757,-0.85621462321335162) (0.98934681063905028,-0.14557777398469193) (0.5647101882477169,-0.82528928460826967) (-0.52808250351658281,-0.8491930696135348) (0.97660454348936199,0.21504317156314195) (-0.55492059626477153,0.83190331880642976) (0.99529158613933322,-0.096926046861767257) (-0.059129228419350692,-0.99825033651210571) (0.75892771662740766,-0.65117487738295665) (-0.12306913253694972,-0.99239809986547289) (0.96396601721670072,0.26602540790565599) (-0.31725350091400123,-0.94834077005990292) (0.780675702744001,0.62493635447552598) (0.37872537735411455,-0.92550909695582317) (-0.86256754600098207,-0.50594192214704226) (-0.48823599626175751,0.87271164307249172) (-0.75807109979817111,0.65217191571762023) (0.26653232027558377,-0.96382598131017061) (0.99272669703057626,0.12038980439705929) (-0.51823374737009043,-0.85523902102672633) (0.29333968018184553,0.95600828031498342) (0.55512107199423544,-0.83176955668500574) (-0.95042219039867282,-0.31096247361665263) (0.269006901298876,-0.96313824919041402) (-0.95718414544785557,-0.28947972589329668) (0.99998806235810478,-0.0048862195286303728) (-0.6496848211907349,0.76020367870351924) (0.97315173143769895,0.23016452289570616) (-0.64966822129082735,0.76021786498661803) (-0.49265995712692634,0.87022190655240061) (-0.86148894263870346,-0.50777633039680803) (-0.28637987953243149,0.958116154022564) (0.084815482609406689,-0.99639667497926387) (-0.84572069304203668,0.53362581399375475) (-0.92374123424841603,-0.38301714341425014) (0.50178075190025007,-0.8649948421941136) (-0.17649297445709344,0.98430189980883831) (0.4953001580841857,0.86872190797848514) (-0.66764653820786679,-0.74447840802742637) (-0.0034803104124753736,-0.99999394370137695) (0.81189033142343858,0.58380997742513641) (-0.95839402306833521,0.2854485882727239) (0.82271959933568739,0.56844741258002651) (-0.9114888340010675,0.41132481749995869) (0.18889421270892817,0.98199744215811158)
 (1,0) (-0.99949253944975847,0.031853784457634038) (-0.99325787816522415,0.11592578428768968) (0.75674105423918581,0.65371475188262806) (-0.097559386665667325,0.99522970518037679) (-0.1813690320014984,0.98341510779062125) (0.99189646167741041,0.12704884616490547) (-0.21173889560535369,-0.97732627105170222) (-0.76421109454231606,-0.64496620297379581) (0.81285501616067657,0.58246607000101358) (-0.81811695445718247,0.57505186620834814) (0.36433692132545009,-0.93126720534929852) (-0.17117002334551074,-0.98524150496611573) (0.15936493433701432,0.98721974134625112) (0.91437764466067706,-0.40486235061412229) (-0.72988210263678066,-0.68357305114414224) (-0.91046399122222066,0.41358834689544288) (-0.90948779501929988,0.41573062277264677) (-0.9110154691378739,-0.41237218018617527) (0.69812898273450119,0.71597201304666425) (-0.92963573011039291,0.36847986281765488) (-0.4642649789955432,0.88569635275204073) (0.26891454518164437,-0.96316403970961706) (0.44206313502772338,-0.89698393778788543) (0.6414396056685977,0.76717353465804117) (0.96714389554949087,0.25422959171063519) (0.53483858250182492,0.84495425359450005) (-0.015348089319350167,-0.99988221114001508) (0.99909625655383105,-0.042504942537570811) (-0.47753837693999374,0.87861089143574611) (0.5801115422275418,-0.81453704555065032) (-0.91284195911268384,0.40831306332680217) (0.30530043705041876,0.95225608065101042) (-0.83788075120946903,0.5458533198146327) (-0.18779824714357207,-0.98220762487867175) (0.76968602064682068,-0.63842261051819149) (0.96539520383545718,-0.26079129665595613) (0.41298387342121379,0.91073833799506343) (-0.79635746739505797,-0.60482624291950915) (-0.38906373375689868,-0.92121083964266348) (-0.98947980505823308,0.14467105924102791) (-0.48790384875197862,-0.87289737906182685) (0.46750170939389069,0.88399216722422946) (-0.98417241308733716,0.17721360364782279) (0.92402937464333545,0.38232148095058299) (-0.79946868246770131,-0.60070777067835346) (0.80578781384934417,-0.59220435581975817) (-0.9924925811684786,-0.12230484996733032) (-0.26694721364851481,0.96371115233004045) (0.59514070238669714,-0.80362151810579852) (0.73385568133228218,-0.67930540920585425) (0.8867704025396288,-0.46221018290351928) (-0.99479610477972225,-0.10188576895274215) (0.97112362757361059,0.23857682194268398) (0.60443655914992567,0.79665327838589794) (0.81189033142343869,0.58380997742513652) (-0.94075860408093748,0.33907705443997121) (0.52101195306158776,-0.85354938039163863) (-0.74170851887867029,-0.67072235166483696)
 (1,0) (0.81751190273886698,0.57591170232968625) (0.89023755994868825,0.45549652782058075) (-0.96395294742018212,0.26607276290507897) (0.94552725455196729,0.32554294785699056) (-0.52507553766376502,-0.8510556267055096) (0.73771824643199613,0.67510872374847897) (-0.28732720214515517,0.95783249000409065) (-0.85364661761650196,-0.52085262045218272) (0.97113267423926941,0.23853999460233885) (0.30278178783723575,-0.95305990837621823) (-0.59650699387345829,-0.80260787826936331) (0.99996819953332805,-0.0079749559291931726) (0.82468235521716604,0.56559615715938816) (-0.63950263901031434,0.76878890125888433) (-0.42457979876913476,0.90539052042594292) (-0.43754460433216069,-0.89919670774520388) (-0.72404009204552311,-0.6897578887629412) (0.93139606469232805,-0.36400737722695242) (-0.081028651545016928,0.99671177259466404) (0.45996228051743737,-0.88793845535667526) (-0.75001702256127556,0.66141852549525637) (0.99384758926173589,-0.11075635114355309) (-0.4917310100869175,0.87074715831801541) (0.5059510426608631,-0.86256219626783159) (-0.062969979423950717,-0.99801542156990042) (0.7892900575594517,0.61402052493202275) (-0.82014192873404657,0.57216013207178062) (-0.98020679976546721,-0.19797633619587404) (-0.54000040039619035,0.84166475961154119) (-0.94968456905637277,0.31320794896715309) (-0.99986368133203019,0.016511170556893662) (-0.93762058747254307,0.34766022773340466) (0.35486115262387091,0.93491901379662679) (0.91143607085367251,0.41144171974511523) (0.99808299488693053,0.061889702839286798) (-0.78284139088351534,-0.62222130847437374) (0.35245876582086777,0.9358273443301548) (-0.82700557453660573,-0.56219372078081553) (-0.56614981568305101,0.8243023633364438) (0.10547224369711511,-0.99442224724183248) (-0.75413592068527124,0.65671836667796712) (-0.83491504357405777,0.55037884226569722) (0.74771184567370463,-0.66402333983017614) (0.33780813726049602,-0.94121499265608466) (-0.40878869567520926,-0.91262906062000926) (0.35762750880215644,-0.93386431827539174) (-0.049460493589826848,0.99877608079781866) (0.99953492483767181,0.030494819719901978) (0.39917229495310586,0.91687593432365211) (-0.9999443823420695,-0.010546668788627922) (0.68830214916725929,0.72542411832784515) (0.7070623332915682,-0.70715122628776017) (-0.98895150006763521,-0.14823943643299856) (0.97112362757361037,0.2385768219426839) (-0.0034803104124752626,-0.99999394370137684) (-0.35065075276904212,-0.93650629980929856) (0.24067483633655035,-0.97060580214336967) (-0.70957095750014787,-0.70463398745187067)
 (1,0) (0.84351930471851488,0.53709885735048213) (-0.47855937202557963,-0.87805519612748872) (0.96294605047295023,0.26969409314730386) (-0.76681078596195495,0.6418732106361883) (-0.9338887895104514,0.35756360109315305) (-0.99916799446451632,0.040783806072468218) (-0.75681677769456168,0.65362708404718051) (0.53531678950327488,0.84465136883563163) (0.99915930515845675,0.040996132930674452) (-0.11972402309348519,-0.99280721104064795) (0.97265137445837624,0.23226989422701905) (0.48296153978179412,-0.87564156542023375) (-0.65823596709721033,0.75281167075145683) (0.16175301764959799,0.98683127295462625) (-0.068290902317488009,-0.99766545127144823) (-0.68678458800976827,0.72686101124785429) (0.6349588557944521,-0.77254595426304606) (0.71748671137270459,0.69657219224110645) (-0.69125950859448049,-0.72260659544299721) (0.95947304615856832,-0.28180041464695876) (0.085786996137818344,-0.99631350050757139) (0.97853370158148845,0.20608686243725083) (-0.99646553337513311,-0.084002623741227023) (-0.5140831589610354,0.8577403486327565) (-0.89884233655288603,0.43827212325237969) (0.29012434811707927,-0.95698895637809667) (-0.53929430531330846,0.84211736251940306) (0.42704346113070368,0.90423110005435514) (0.69291445233779392,-0.72101980676082356) (-0.95746621645138941,0.28854539392314127) (0.84183363151149881,0.53973709975891193) (-0.99999736894040525,-0.0022939294379269309) (-0.89856357113680252,0.43884337596217182) (0.55798198558192946,-0.82985306155128857) (-0.58765673824913434,0.80911034969921625) (-0.19039828824314808,-0.9817069276693926) (0.50423568969435728,-0.86356607693821297) (-0.81628743050524766,-0.57764593896186978) (-0.48169766910461215,0.87633746672111568) (-0.87254430031741459,0.48853499770599174) (-0.49021340505521949,-0.87160244234637563) (0.74217849656459212,0.67020226740672917) (0.76385620067094595,0.64538647700160845) (0.24756877730249874,0.96887032182069954) (-0.87001109390743314,0.49303214548139823) (0.7340624447528229,-0.67908197384668412) (0.53838770138643854,0.84269726651735766) (-0.089237671269195171,-0.99601036040116131) (0.76673082441648654,-0.64196872423009388) (0.46759107993265181,-0.88394489758548711) (-0.048489271501422862,-0.99882370343782922) (0.89607451407936289,0.44390366659606884) (0.70706233329156831,-0.70715122628776028) (-0.99479610477972213,-0.10188576895274225) (-0.66764653820786657,-0.74447840802742649) (-0.51320220215061929,0.85826773195067507) (0.98311862485480483,0.18296931290136242) (-0.90887934562204009,-0.41705915060294746)
 (1,2.7755575615628914e-17) (0.60685872193812274,0.79480972037817221) (-0.19282290732145932,-0.98123357383046161) (-0.34023598874005984,-0.9403400831433667) (0.98062815695179273,0.19587857921000465) (0.50407797541065069,-0.86365814689951137) (-0.47771422612537168,0.87851529193147082) (0.41525398118301571,-0.90970551889699747) (-0.34647545557131221,0.93805903795371604) (-0.65940317040319651,-0.75178950435757774) (0.031828149369489245,-0.99949335610984058) (0.98746693042049671,0.15782604767883207) (-0.15782737824455453,0.98746671775632433) (-0.01138523884180645,0.99993518606783438) (-0.95338026491861028,-0.3017715534368991) (-0.54212345698550535,-0.84029885004448501) (0.56622130284065952,-0.8242532597505613) (-0.77833853822672872,-0.62784482152127286) (-0.86697976811570254,0.49834333714623125) (0.66809456639481146,-0.74407637400587456) (-0.71209525275948571,0.70208286618988547) (0.94732126080229617,-0.32028491820869093) (-0.9794820859641602,0.20153124639940329) (-0.72870995418571194,-0.68482246069376085) (-0.895312747491945,-0.44543808119470785) (0.99572296156816675,-0.092389305690210838) (-0.96756409456236803,-0.25262565767099932) (0.85015790000667724,0.5265278198312362) (0.46318071480650774,0.8862638576808447) (-0.88850946211597159,-0.45885829591540128) (0.96789533188634413,0.25135358862093748) (0.58356332091496788,0.8120676391056928) (0.58927865713539052,0.80792986344404338) (-0.96772447837924025,-0.25201058300322754) (0.65839912761284081,0.75266897688070633) (0.41051606843217081,0.9118533640662807) (0.74759518126483993,0.66415468450473902) (0.99985462169151185,0.017050967190248234) (-0.28157907157146672,0.95953802762212126) (-0.76632212762412832,0.64245653293715399) (-0.96691584021606269,0.25509558588745745) (-0.71322112629413015,0.70093910221054967) (-0.96091971689873745,0.27682719822165236) (0.71716933307246389,-0.69689895085327547) (-0.99913690316043713,0.041538521193848377) (0.72577997270731354,-0.68792690833908399) (-0.46996968809283335,-0.88268255464460388) (-0.2393886801293845,0.9709238177251146) (-0.34820906710870714,-0.93741690062814798) (-0.44861881916574742,-0.89372319825006785) (-0.85157480386161954,-0.52423310981665849) (0.71147001186764391,0.70271645932983096) (-0.048489271501422904,-0.99882370343782911) (0.68830214916725951,0.72542411832784526) (0.8867704025396288,-0.46221018290351923) (0.49530015808418565,0.86872190797848514) (-0.16232739279614758,0.98673695458719179) (-0.13747614347358861,-0.99050507821799116) (0.6615261627783553,-0.74992208659282988)
 (1,0) (0.58594777600412484,-0.81034881612538967) (-0.99090360876600569,0.13457354173279207) (-0.94446368282883941,0.32861581187974898) (-0.75461135943468105,0.65617200200263315) (0.42687578837713619,0.90431026826935845) (-0.89092503128950351,0.45415040308448168) (-0.62444697129228888,0.78106720584331801) (-0.93267376971048732,0.36072099924183787) (-0.99558755601947846,0.09383719038399288) (0.8530714078552265,0.52179418653325504) (0.017688411212037999,-0.99984354781575424) (0.97801490632226418,-0.20853499229494418) (-0.80990689019267503,0.58655846189312622) (0.6389881615277988,0.76921656861206766) (-0.38627507966438746,-0.92238363105069809) (-0.98098006483601519,0.19410850675415681) (0.22894572120426274,-0.97343919005876289) (0.67965377467467114,-0.73353305758532228) (0.65750373050721045,-0.75345128865050337) (-0.4113298289476956,0.91148657248357767) (0.89628630807384824,0.44347587753941264) (-0.61572656460168418,0.78795989596159532) (0.051197555078300913,-0.9986885452201828) (-0.74416034828608069,0.66800102996832267) (0.89451958872493709,-0.44702875230500511) (0.31826840413795426,-0.94800064500372594) (-0.97525990418125508,-0.22106134735943739) (-0.70986972485171218,-0.70433299918359227) (-0.14321071549558856,0.98969222032268278) (-0.94688812475050788,0.32156318073819712) (-0.93269973741259449,0.36065385043068343) (0.85499830301218305,-0.51863079531231837) (0.78360605553126073,-0.62125803796388757) (0.95466431342062397,-0.2976844784014242) (0.43992065165316663,0.898036647497781) (-0.57896759417410859,-0.81535055337949214) (0.80069770868047718,0.59906859316261385) (0.49570840884767592,0.86848901743067874) (0.2474518435048752,-0.96890019359376678) (0.17911373934075292,0.9838283734368376) (0.72902384814967669,0.68448829707237258) (0.66931173708471059,-0.74298169466053965) (0.87377514102560017,-0.4863301377929326) (0.97228277977542088,-0.23380803269387601) (0.66548420475053438,-0.74641193266690853) (0.51913431243478736,-0.85469267321819298) (0.2048850115160146,-0.97878605019487441) (-0.98691407273111698,-0.16124705592748231) (-0.51981024141463894,0.85428175265567652) (0.88185548236981592,0.47151978560215363) (-0.85157480386161954,-0.52423310981665838) (0.4675910799326517,-0.883944897585487) (-0.99994438234206962,-0.010546668788627866) (0.73385568133228207,-0.67930540920585425) (-0.17649297445709344,0.98430189980883831) (-0.99653532146828683,-0.083170626221635804) (-0.69208659440924858,0.72181448159413397) (-0.10807688864262004,0.99414253814095044)
