# Created by Octave 5.2.0, Sat Sep 18 13:16:51 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
3.8703137550553216e-13


# name: H
# type: complex matrix
# rows: 61
# columns: 61
 (1,0) (1,-2.7755575615628914e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,-2.7755575615628914e-17) (1,-5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,0) (0.99999999999999989,0) (1,0) (0.99999999999999989,0) (1,0) (1.0000000000000002,-5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,0) (1,0) (1,-1.3877787807814457e-17) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,0) (0.99999999999999989,5.5511151231257827e-17) (0.99999999999999989,2.7755575615628914e-17) (1,5.5511151231257827e-17) (0.99999999999999989,0) (1,0) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (1.0000000000000002,-5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0)
 (1,0) (0.9869434234303941,0.16106731185282047) (-0.96165381774772507,0.27426617511320189) (0.23515441557600142,-0.97195802421458033) (0.34467858707153898,0.93872076338726396) (-0.89274126090070705,0.45056968504928907) (-0.7541412776730626,0.65671221498434207) (0.50516262492525665,0.86302417253436459) (-0.97276117465411194,-0.23180961387645854) (-0.61141137746530239,0.7913129137743049) (0.78088712453641906,0.62467215299967094) (0.20920863545003923,-0.97787102771946988) (-0.96070456579830388,-0.27757294042159897) (-0.41241712217574289,0.91099512475988542) (0.90962168936092347,0.41543757923926267) (0.30994498353854705,0.95075449364138698) (0.91164342625191874,-0.41098207183727931) (-0.42280188230618487,-0.90622214071294183) (-0.62214033726055984,-0.78290574193405826) (-0.94856178930103296,-0.31659205908869881) (0.38988945297784128,0.92086166955555249) (-0.98689378727643184,-0.16137116419974359) (0.4320950330258892,0.90182807809158161) (0.9934828460143823,0.11398172956734552) (-0.36843448093735748,-0.92965371685182885) (0.98224829895156707,0.187585391773327) (0.43580404165688963,0.90004157530389706) (-0.93605670239574867,-0.35184918630003548) (-0.36040275905394742,-0.93279678990994774) (-0.18829905324178864,-0.98211173832117815) (-0.62194169125363197,-0.78306355596501254) (0.80542759889876969,0.59269417318897566) (-0.12108171067848358,-0.99264254358715276) (0.93882977433728343,-0.34438155411956217) (-0.037417265325478122,-0.99929972893800201) (-0.47198264008270985,0.88160784221815724) (-0.96106744497721908,-0.2763138907202452) (0.97601725187547483,0.21769318786183176) (0.88048028647778331,0.47408276189289911) (0.94289407314080342,0.33309273008570117) (-0.82273288827550228,-0.5684281788844131) (-0.99155359967747925,-0.12969756731193272) (0.7050951889004935,0.70911266706312415) (0.97044740628617832,0.24131272579876473) (0.30985041300906346,-0.95078531833327784) (0.30769929634997717,0.95148365357778453) (0.18943143991875699,0.98189395026668047) (0.99916712693924603,-0.040805054147401293) (-0.98323345083255875,-0.18235125764276783) (0.42702248728541803,-0.90424100512671668) (-0.86059056191068062,-0.50929744231662799) (0.87880564647822512,0.47717987773793336) (-0.10425233342364087,-0.99455087902818051) (-0.9810586632671322,0.19371086502441534) (-0.25789539073739937,-0.96617284552837868) (-0.9886663696746828,0.15012930917806694) (0.023667994818767767,-0.99971987377527871) (0.47939789256794496,0.87759766442340414) (0.43561391673035255,-0.90013360983291868) (-0.39153026398684121,0.92016523102233883) (-0.70218671449069792,0.71199284967811272)
 (1,-5.5511151231257827e-17) (-0.57833978553070708,-0.81579598704105893) (0.77990790774945529,0.62589428454801133) (0.68301539861579463,-0.7304039740128121) (-0.77894585890583712,-0.62709118068543135) (0.026964263184113491,0.99963639815231686) (-0.92432935656018733,0.38159565065790441) (0.43828430420812947,0.89883639706277774) (-0.47652635729245396,0.87916018495242665) (-0.99358656513601251,-0.11307403584032577) (0.8503793676966378,0.52617005900741487) (-0.99427955866387807,-0.10680898474924577) (0.95925814868373505,-0.28253106764363561) (-0.99740253149457447,0.072029092512782389) (0.99718391304648901,0.074994956905725052) (0.78680848994686525,-0.61719721333422473) (0.053640226282506476,-0.99856032673262241) (0.067681996726066729,0.99770694460807108) (0.95058663168619817,-0.31045942675249738) (0.42864565571311486,-0.90347269014523857) (-0.65482816703765834,0.7557777925118595) (-0.52600854238143591,0.85047928448713939) (-0.4860790621751272,0.8739148387085256) (0.44372193751087341,-0.89616451735805558) (-0.50487549031782897,0.86319217980489849) (-0.56770143785492544,0.823234521541371) (0.50562315841498418,-0.8627544388031021) (-0.64494144416701171,0.76423198938265446) (0.70553546548021528,-0.70867461288634903) (0.97269969175822868,0.23206746789123117) (0.99766726000001837,-0.068264473366856482) (-0.68566151819566901,0.72792051933271473) (-0.96497614446285429,0.26233764620733663) (-0.3139710442770241,0.94943255861361442) (-0.39247985012936615,0.91976060322370334) (-0.31869445740925073,-0.94785750132423596) (-0.999975714847819,0.0069691975573194509) (0.27544946502514744,0.96131555288435888) (-0.065045826405308038,-0.99788227786009398) (0.05501180638753711,-0.99848570403285142) (-0.16495432650185221,0.98630120661404508) (-0.043792045636125598,-0.9990406682107611) (-0.139383484889128,0.99023847841828583) (0.25078700498502049,-0.96804229149900434) (-0.97596067330666436,0.21794670027050711) (-0.70057465455212997,-0.71357911502451055) (0.95853645406679755,0.28496993916034397) (0.53197624172539404,-0.8467592799844148) (0.59390444017750044,0.80453559022422982) (0.98818236500648315,-0.15328278928240452) (0.98063830735083823,0.19582775634746658) (-0.250645487511099,0.96807894285038709) (-0.92662431220362473,0.37598854242271795) (0.47322393510224497,-0.88094217020548293) (0.33022852887581766,-0.94390101107929358) (0.3716538760043423,-0.92837136774619933) (0.61729781217856039,-0.78672956667431992) (-0.95047554814307511,-0.31079934424339017) (-0.73638561488791554,-0.67656206380948292) (0.074481071274275279,-0.99722242755657819) (-0.3915302639868411,0.92016523102233883)
 (1,0) (-0.23820967889458144,-0.9712137503561924) (0.27056860993011328,-0.96270069456736473) (-0.87207926166037297,-0.48936465072775753) (-0.0023072977487463842,-0.99999733818500725) (-0.19070878554923038,-0.98164665695673747) (-0.4123972698729782,0.91100411184654573) (-0.24489358757161178,0.96954996300670593) (-0.81268826713811015,0.58269870469742446) (-0.68328208257353296,0.73015450120777536) (-0.37623928210205104,0.92652253216170299) (-0.93499121459310941,-0.35467087367544242) (-0.014013610859378245,-0.99990180453416677) (0.96545303161283269,-0.26057713589183418) (0.045945572063026074,0.9989439445773729) (0.80068188614722291,-0.59908974051950314) (-0.99681800794235143,-0.07971109735690185) (0.70694046192396554,0.7072730613382151) (-0.90925944627044741,-0.41622981556822758) (0.38557946034230162,0.92267463374807279) (-0.35209863359057442,-0.93596290109365499) (-0.88986777339140821,-0.45621852864544682) (0.29093894477936572,0.95674162155237519) (0.97599916003815723,0.2177742859127581) (0.31444401612852735,0.94927601924886074) (0.95059572891736022,0.31043157082370515) (0.24693343781431271,0.96903244387853471) (0.88357413439098897,0.46829130787920281) (-0.069989742316769632,-0.99754771112485296) (-0.19028700204339383,0.98172850465560901) (-0.66797552222124978,0.74418324471412789) (0.16305679106932475,-0.98661668488130383) (0.22976723523281373,-0.97324561011774846) (0.85175083621731495,0.52394705171716094) (-0.12005704036279907,-0.99276699535154067) (-0.4728923844230421,0.88112019200259517) (0.90188220834184119,-0.43198203929844697) (0.18867519939000627,0.98203954560656159) (0.98248649520882358,-0.18633380458811555) (-0.99184416693947441,0.12745645730264182) (0.96707047980282701,0.25450871712758577) (-0.99433228045257538,0.10631705437032352) (-0.94203922700438025,-0.3355027492957251) (0.99982446911107536,-0.01873582041856503) (-0.16547025165160034,0.98621478178861011) (-0.5939968692887736,0.80446735127979929) (-0.9797240725846168,-0.20035154503575142) (-0.15352576422345526,-0.98814464514037814) (0.94208044490328946,0.3353869933834952) (-0.56216384257987873,-0.82702588477980865) (0.021813552407837056,0.99976205615703928) (0.28810784299567771,-0.95759796929837826) (-0.25068634711782128,-0.96806836296241183) (-0.83199866698339309,-0.55477762944972542) (0.16937006991869347,0.98555252494006496) (0.97666656667019014,-0.21476130365748536) (-0.0021660340424241586,0.99999765414551223) (-0.23474787709139899,-0.97205629168329666) (0.93431635388520462,0.3564448777337913) (-0.7363856148879151,-0.67656206380948281) (0.43561391673035266,-0.90013360983291857)
 (1,2.7755575615628914e-17) (0.28494418942761335,0.9585441090066964) (-0.56606744136629827,0.82435893385406689) (0.060603706713012767,-0.9981619060716781) (0.95788410645283084,-0.28715507762368286) (-0.60547730831131785,0.79586256924175258) (-0.21016253193832191,0.97766646161626902) (-0.52711889976239445,-0.84979154238747467) (0.9995310208641548,0.030622513454346134) (0.91514748243107069,-0.40311919502806304) (-0.56014150593230327,-0.82839694188951063) (-0.14526360525307852,0.98939298814418486) (-0.1919107260422856,0.98141238693523924) (0.039618140478982544,0.99921489327621127) (0.28203669862113045,0.95940361716583822) (-0.7255388731984701,-0.68818118506531079) (0.99853255189248802,0.054154804136629264) (-0.69133635401404891,0.72253307579553883) (0.94389613968528163,-0.33024245258177487) (-0.29619776786123392,0.95512663155940969) (-0.94805585668330472,-0.31810390222140694) (-0.79701924834947646,0.60395390367182566) (0.91153545042185347,-0.41122150068330399) (-0.80702580269322133,0.59051617572032911) (0.8204999781127611,-0.57164655681370113) (-0.8354266131252035,0.54960201426318744) (-0.8331569171091846,0.55303666376933924) (0.94252476072417457,-0.33413631263578525) (0.94537154239293153,-0.32599485706619868) (-0.65198325651954492,-0.75823336329798308) (0.80191014767652713,0.59744465438516603) (-0.60966009399522536,-0.79266296103055933) (-0.39706030309420537,-0.91779252323536542) (0.84165176740274261,-0.54002065000131205) (0.99799518446817304,0.063289902657057862) (0.079445402857168973,0.99683921871326064) (0.94866548584441512,0.31628119761942991) (0.62720479549552433,0.7788543795263787) (-0.98927182381248269,0.14608647648131073) (0.29415161251539668,0.95575877126741182) (-0.026066861873754787,0.99966020162456015) (-0.063274272863713149,-0.99799617554055253) (0.2289514566441577,-0.97343784110775178) (0.13472605752318795,-0.9908828838083038) (0.9881006880182559,-0.15380842089381955) (-0.56237847623061954,-0.82687994864582837) (-0.0052851143940653156,-0.99998603368539263) (-0.28577959385329688,-0.95829537395160436) (-0.9124851612965641,0.40910980239244449) (0.94523151004524297,0.32640066240372562) (-0.87110330538703107,0.49109981810604453) (-0.99968982697392117,-0.024904815696025262) (-0.25989357899326415,-0.9656372650214331) (-0.62235179430841214,0.78273765983316601) (-0.99238752962269861,0.1231543383294256) (0.71678915343183114,-0.69728997520578206) (0.80000221810622407,-0.59999704251364649) (-0.81255527072166167,-0.58288414974371117) (-0.2347478770913991,-0.97205629168329699) (-0.95047554814307511,-0.31079934424339029) (0.47939789256794496,0.87759766442340426)
 (0.99999999999999989,5.5511151231257827e-17) (0.61449089397331469,-0.78892391345672574) (-0.99776929308439244,0.066756556066588202) (0.97327218138055138,-0.22965465584382233) (0.20720099650795054,-0.97829839366428128) (0.25581472023514978,0.9667258292354729) (-0.90734012191428204,-0.42039731583892931) (-0.1811339071127897,0.98345844228114476) (0.98407570108735443,0.17774986506164109) (0.37310883161173752,0.92778758332568934) (0.68874559141983427,-0.72500311054487421) (-0.11591633621756053,0.99325898082921826) (-0.60022435298357535,-0.79983168609742428) (-0.89930729555157929,0.43731726259971115) (0.63037216743817914,0.77629306999308745) (0.10091094409561174,0.99489546252947192) (-0.74157609903405297,0.67086875716598726) (-0.99309133940769612,-0.11734390309439968) (0.5578822696652781,-0.82992010048746145) (-0.46668835800071828,0.88442183176728184) (-0.38957148325609631,0.92099623204095971) (0.83370152181612067,-0.55221533166101455) (-0.8279809882760516,0.56075617076712836) (0.1892563767971468,-0.98192770805269336) (0.87320579984716085,-0.48735165036478534) (0.080074769399435475,-0.99678885994257937) (-0.86136244212721258,0.50799088898586087) (0.2701123922204634,-0.96282879868071003) (-0.97815168576390477,0.20789247133369726) (-0.99976833935713516,0.021523652549613859) (0.77166099161470081,0.6360340509911524) (0.9792878246954746,0.20247310044350353) (0.27351235886550707,0.96186848869677921) (-0.96640975078702973,0.25700621312285415) (-0.99418237826260125,0.10770978949063975) (0.49336773589175892,0.86982083050536374) (-0.76458712278059648,-0.64452038887694574) (0.86302406572371537,-0.50516280740144437) (0.95050741794525173,0.31070186422203988) (-0.63880118188319834,0.76937185419316489) (-0.69239376451888202,-0.72151983677191522) (-0.79237598408159282,-0.61003303177018875) (-0.33904863152591508,-0.94076884804951089) (-0.56142691907250941,-0.82752632256669112) (-0.81349762480663868,0.58156823712609806) (0.99946301265199278,0.032767153379608782) (-0.28391436806201625,-0.95884963972874582) (-0.89875837443855677,-0.4384442773905971) (0.92356279843697564,0.3834472028105857) (0.86797436270305461,0.49660900685572168) (-0.97927086164317179,0.20255512715465851) (-0.465376118654517,0.88511302565607797) (0.9129119759165305,0.40815649477642385) (0.99911336815264407,0.042100802589486397) (0.79003674231309207,-0.61305949613012001) (0.22388772319010258,-0.9746149431466522) (-0.96941240405294637,0.24543754983353172) (0.80000221810622363,-0.59999704251364627) (-0.0021660340424241031,0.999997654145512) (0.61729781217856017,-0.78672956667431948) (0.023667994818767857,-0.99971987377527838)
 (1,5.5511151231257827e-17) (-0.13766322084265764,0.99047909499758036) (-0.93581092932248988,-0.35250234688662369) (-0.98922943914931594,-0.14637321039155848) (-0.82119781131669345,0.57064363195314272) (-0.96040040250549863,0.27862352174085642) (0.54130211651404436,-0.84082817427665724) (0.99288535439243875,-0.11907423328748423) (0.92399139761461146,0.38241325439136914) (-0.68741530915935423,-0.72626454734714163) (-0.9641211214906138,-0.26546273391133762) (0.81158082269059384,-0.58424016315284177) (0.93095591742122963,0.36513159246824628) (0.2399807622739431,0.97077764381881959) (-0.047841516522414085,-0.99885493906614664) (-0.85254625388484873,-0.52265178176957572) (-0.85342006373598611,0.52122374736082933) (-0.36646934897128886,0.93043012433205319) (-0.83781431420123553,0.54595528655698033) (-0.62918179182558975,-0.77725817643505046) (0.061322402432431977,-0.99811801053779003) (0.85843997406961514,0.51291403852824979) (-0.49278930828495876,0.87014866410288305) (-0.4835790073372459,-0.87530071613287541) (-0.20903680412691461,-0.97790777403618478) (0.33727535051938989,0.94140604307175701) (0.38429220789643964,0.92321151365766696) (0.19570375204610041,0.98066306213453347) (-0.11858040482315035,-0.99294445342726978) (-0.91205848722413729,0.41006013690972137) (-0.75416452594489902,0.65668551667164476) (-0.96357887924644037,0.26742427614218967) (0.99826984242653893,0.058798994053415654) (-0.79469406616123872,0.60701016565467569) (-0.94891429252874748,0.31553393705696248) (0.93591480061847565,0.3522264697368433) (0.96647452241900567,-0.25676253136888266) (0.78094413958766273,-0.62460087323320879) (0.059284034214572845,0.99824115487553677) (-0.59063284719256981,0.80694041900080815) (0.29258913916896101,0.95623825255025596) (-0.79096749291436297,0.61185817405079113) (0.98875234537383827,-0.14956202565402371) (0.99209041578683177,-0.12552532375545356) (-0.30004861681205963,-0.95392391077547223) (0.57589371035756676,-0.81752457722725136) (-0.98357760556541174,0.18048571641604155) (0.93856064959495233,-0.34511433907025785) (-0.57579325240907631,0.81759533418444785) (0.68873530875120637,0.72501287883690768) (0.85749745031280777,-0.51448821435192726) (0.26654467927973602,-0.96382256351865037) (-0.34847833755666474,0.93731683450887837) (0.20045303585248481,-0.97970331244592779) (0.9707646368692151,-0.24003337227181792) (-0.74082426705061333,-0.67169889485462297) (0.22388772319010286,-0.97461494314665265) (0.71678915343183114,-0.69728997520578206) (0.97666656667019047,-0.2147613036574853) (0.37165387600434263,-0.92837136774619933) (-0.98866636967468302,0.15012930917806672)
 (1,0) (-0.9515768472575985,-0.30741096884022928) (-0.01097409411189304,0.99993978281615692) (0.68040874299752219,-0.7328328202615737) (0.054269639403512648,0.99852631724908147) (-0.6026379256030675,0.79801474336307376) (-0.66140015137277186,0.75003322577341525) (-0.98141144063981323,-0.1919155652397338) (0.96501934057322647,0.26217870302451379) (0.93238242734221377,-0.36147338654932931) (-0.067435323311264728,0.9977236476950444) (0.58926476326615296,-0.80793999701270169) (0.98162883060611628,-0.19080052128563213) (0.81317052351156116,-0.58202551463998065) (0.33044671156386551,-0.94382465046036357) (-0.97754973687870328,0.21070479806681622) (0.96184559682991544,0.27359285052593091) (-0.74070566868641652,-0.67182967512294955) (-0.98942440118867769,0.1450494892525559) (-0.99452445510518417,0.10450410612859684) (-0.59758340152183254,0.80180675865547291) (0.3654720017593297,-0.93082233317106688) (0.24009179947893827,-0.97075018816530001) (0.70343684068345558,-0.71075777250008243) (0.74426381984656387,-0.66788574357250829) (-0.12845655520320987,0.99171513723716243) (0.79954832903551964,-0.60060175618833189) (-0.11554524586968501,0.99330221793616991) (-0.91512615892374527,0.40316759945892644) (0.98760822468934995,-0.15693946134083575) (-0.80934779811090218,-0.58732967036668038) (0.99764222046926787,0.068629439289188077) (-0.23906171376317423,-0.97100437538283746) (-0.9899281392799919,0.14157075637875244) (-0.51329506486216714,-0.85821219776238566) (-0.3157225890688603,0.9488515409439221) (0.70341572256641616,0.71077867247573345) (-0.99390345753600984,-0.1102538756596203) (-0.99955005500555238,0.029994791854538461) (0.41774500705648021,-0.908564312021654) (-0.98318180365113306,0.18262951834056279) (0.016169617763072019,0.99986926318464076) (0.96090874848027674,0.27686526884762624) (-0.97030879057018149,-0.24186949154912529) (-0.33337154189210505,0.94279553194554322) (-0.89300457609231676,0.45004758312669874) (-0.83983729094787929,-0.54283821230024665) (0.99743798810723694,-0.071536423453978093) (0.99983284744015533,-0.018283248609348934) (-0.3572536548637873,-0.93400740151589046) (0.074606558814979906,0.99721304713776515) (-0.99420260206083177,-0.10752295594649408) (0.95046645029107746,0.3108271655938063) (-0.30668001451561594,0.95181267521330137) (0.99580068770144292,0.091547749144004875) (0.97076463686921488,-0.24003337227181812) (0.79003674231309229,-0.61305949613012012) (-0.99238752962269849,0.12315433832942563) (0.16937006991869352,0.98555252494006484) (0.33022852887581777,-0.94390101107929336) (-0.25789539073739942,-0.96617284552837868)
 (0.99999999999999989,0) (-0.4101470228357344,0.91201941846595758) (-0.29120653616884384,0.95666020785467165) (-0.48747454938104684,0.8731371963819583) (-0.61095563617348603,0.79166483478038274) (0.96616945804476506,-0.25790808118685493) (0.98177783188455858,0.19003233624848131) (0.4385250947268195,-0.89871894455098378) (-0.63491187778158842,0.77258456330155723) (-0.37725538984875162,-0.9261092650600502) (-0.53601301500022358,0.84420971787250287) (-0.51335992235701522,0.85817340329189806) (-0.38807103932025971,-0.92162946374391319) (-0.8804568436999376,-0.47412629792276256) (-0.067997208791488017,0.99768551136947292) (-0.27874296013820926,0.9603657439608041) (-0.36625733448091136,-0.93051360276942607) (0.99485990253648848,0.1012609220039461) (-0.94731624345165177,-0.32029975787167142) (-0.42359913452573827,0.90584975201688167) (0.97029150747451831,-0.24193881565971742) (0.48589721185806711,0.87401596067151743) (-0.18706006048812757,0.98234847878447795) (0.81530900015085772,0.57902610845540359) (0.61606732949046206,-0.78769349720211035) (0.27810222169476273,0.96055148445486127) (-0.061237327863859728,-0.99812323371219736) (-0.023862099818899307,-0.99971525955755658) (-0.007947460489551611,0.9999684184371862) (-0.94156072031231808,0.33684330179617616) (0.84299601100702948,-0.53791981319359838) (0.99885790376512862,-0.047779578126358607) (0.97841547809848495,0.20664741038133808) (0.94534799004222392,-0.32606314990063934) (-0.99669134483646682,-0.081279536957806625) (-0.21174659933083223,0.97732460199865434) (0.6509068741005879,0.75915758657119459) (-0.955366590125033,0.29542288075378925) (0.76125334301837944,-0.6484545841794489) (0.53999040053300129,-0.84167117530078761) (-0.27096652640901442,-0.9625887707457601) (-0.20576654374318148,0.97860110845838855) (-0.51232029388239786,-0.85879445531294252) (-0.70689019443385848,0.70732330161904211) (-0.68209612856069657,-0.73126251880053994) (0.28398400579990268,-0.95882901731739456) (0.9223957511015578,-0.38624613700306992) (0.71305065286024294,-0.7011125205383093) (0.36405965194895518,-0.93137563304115167) (0.77520525204616786,0.63170944048671385) (-0.90901341126614144,-0.41676686305210631) (-0.77529759120706399,-0.63159610913029218) (-0.96531937326958805,-0.26107184373350295) (0.37274290777613073,-0.92793465540553799) (-0.30668001451561577,0.95181267521330137) (0.20045303585248461,-0.97970331244592757) (0.99911336815264418,0.042100802589486341) (-0.62235179430841192,0.7827376598331659) (-0.83199866698339342,-0.55477762944972531) (0.47322393510224509,-0.88094217020548282) (-0.98105866326713209,0.19371086502441537)
 (1,0) (-0.93704890740474311,-0.34919814594521814) (-0.33323440697889967,0.94284401149152042) (-0.74663406799592802,-0.66523497240287499) (0.93860160716794894,0.34500293190311404) (-0.37538029485049307,0.92687088326150247) (0.7092490345266772,-0.70495801791523538) (-0.14294076019274379,-0.98973124588219508) (0.77254382217048556,-0.63496144987409986) (0.030111112568664999,0.99954655764495415) (-0.46428217727639104,0.88568733753142015) (-0.5641308285430916,-0.82568541726694344) (-0.84964171797393984,0.52736036168666733) (-0.97556651868396349,-0.21970427311013652) (0.43807651809277592,0.89893768654768869) (0.99864090377793879,-0.052118569642525245) (0.053871051370199541,-0.99854790061582455) (0.81586352724892675,-0.57824450270187622) (0.36636143718608405,0.93047262041553358) (-0.66513350807269955,-0.74672445817644495) (0.97324375821023668,0.22977507938158925) (0.99366061760785407,0.11242142596132916) (0.72534510262801011,-0.68838541682226329) (0.47709102800597208,-0.87885388489566707) (-0.42154865371627664,0.90680578546345658) (-0.86612002825562351,0.49983606978136264) (0.85883463442468522,-0.51225293626549329) (0.47345880142631724,-0.88081596451923816) (0.98053648874117316,-0.19633694060754953) (-0.99990940387087124,-0.013460462495808651) (-0.73103589928878843,-0.68233900222032817) (-0.96603545804106505,-0.25840954666457477) (-0.025763089518871421,0.99966807652262468) (-0.99867362993541242,-0.051487676890951184) (0.17373281558070119,0.98479282531424039) (-0.69459074993678827,0.71940509457624169) (-0.63519544307878328,0.77235144143838386) (-0.29015117114522093,-0.95698082419819586) (0.92530125501522231,0.37923289344050093) (-0.98541039386837304,0.17019505179699013) (0.97990069360932985,-0.19948591595387385) (0.050588636458816422,-0.99871957518676857) (0.92852838205989163,-0.37126142232831305) (0.099060111750817817,0.99508145106816115) (-0.27224506934198361,-0.96222794712010928) (-0.64600584076861944,0.7633324660282903) (-0.95758168418517298,-0.28816196507014658) (-0.97075711782363427,0.24006377943111701) (0.92159130439814441,-0.3881616514517226) (0.53290733672718105,0.84617360539214637) (0.15707527585116524,0.98758663301822858) (0.43363649783845742,0.90108789124169175) (0.69908092266169497,-0.71504256067067407) (-0.96531937326958805,-0.26107184373350306) (0.95046645029107746,0.31082716559380646) (-0.34847833755666469,0.93731683450887837) (0.91291197591653095,0.40815649477642402) (-0.25989357899326415,-0.9656372650214331) (-0.25068634711782134,-0.96806836296241205) (-0.92662431220362496,0.37598854242271773) (-0.10425233342364086,-0.99455087902818073)
