# Created by Octave 5.2.0, Mon Sep 20 14:25:21 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
6.7113324759228206e-13


# name: H
# type: complex matrix
# rows: 62
# columns: 62
 (1,0) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1.0000000000000002,0) (1,-5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,0) (1,0) (1,0) (1.0000000000000002,-3.4694469519536142e-18) (1,0) (1,5.5511151231257827e-17) (0.99999999999999978,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999978,0) (1,0) (1,-1.3877787807814457e-17) (1,0) (1,0) (1,0) (0.99999999999999978,0) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,0) (1,0) (1,0) (1,0) (1.0000000000000002,-2.7755575615628914e-17) (0.99999999999999989,0) (1,0) (1.0000000000000002,0) (1,0) (1,0) (0.99999999999999989,0) (1,0) (1,0) (1.0000000000000002,-5.5511151231257827e-17) (0.99999999999999989,0) (1,-2.7755575615628914e-17) (1,0) (1,0) (1,-1.3877787807814457e-17) (0.99999999999999978,5.5511151231257827e-17) (1,0) (1,0) (1.0000000000000002,1.3877787807814457e-17) (0.99999999999999989,-5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17)
 (0.99999999999999989,5.5511151231257827e-17) (-0.96455462633052003,-0.26388325605159613) (0.96632157987950662,0.25733752983032493) (0.17077591011987139,-0.98530989466397378) (-0.95967667682223645,-0.28110616493315693) (-0.44550729843318826,-0.89527830703237854) (-0.9993474712421494,0.036119686071773349) (-0.12589652453751365,-0.99204337864297742) (0.53886459064744874,0.84239239843813707) (-0.7610634623295609,-0.64867742854745647) (0.79165522065251914,-0.6109680937770916) (-0.99666588101538089,-0.081591185920011716) (0.88201403714093951,-0.47122313004174754) (0.99781595663552691,-0.066055406164269304) (0.046310751635842862,0.99892708156447718) (0.93737692620081414,0.34831666372184256) (0.93376743742792456,0.35788038895598323) (0.99983831958858449,0.017981509454846722) (-0.9687620741253552,0.24799202353370015) (0.87670807393450589,0.48102281972693428) (-0.93727708886156558,-0.34858522443613216) (-0.79068177467771017,0.61222735253540117) (0.98940848554774363,-0.14515801295871467) (0.80117143442462702,0.59843490261011978) (0.28005264150416914,0.95998464466185007) (-0.86311519359609412,0.50500709161711477) (-0.90387679007053767,0.42779288022567663) (0.97966000543542719,0.20066458020851463) (-0.54449784073125285,-0.83876224368947538) (0.78022675990279255,-0.6254967650848321) (-0.36891264119083345,0.92946407309244861) (0.56594201064481386,-0.82444505007144353) (-0.96802002701516254,0.2508729305795338) (-0.99906828028192352,-0.043157517705739501) (-0.066534894793404409,0.99778409877830299) (-0.99671327958235723,0.081010112357552511) (-0.99221563897734111,0.12453162557674152) (0.82132686485965234,0.57045786966244361) (-0.76654095346484619,-0.64219542715687683) (0.8306400897944981,-0.55680969929248614) (-0.37037607340120399,0.9288818892905103) (-0.67487816040997373,0.73792917587099816) (0.73676982147682835,0.6761436460997029) (-0.50590996111183895,-0.8625862920588403) (-0.42005363680210162,0.90749927945388931) (-0.53119397111208766,0.84725023756513151) (-0.32657303504728719,-0.94517196995044417) (0.60778853804898891,-0.79409891891141116) (0.42709684133360581,0.90420588812662317) (0.6456028354855623,-0.7636733456216761) (0.9323213996031392,0.36163076174745229) (0.54635821715712729,-0.83755160948140162) (-0.40679749956017652,-0.91351836016118904) (-0.48594761016221466,0.8739879405218538) (-0.83942961413859774,-0.54346841942023161) (0.20899836030520913,-0.97791599096739057) (0.99351769392428557,0.11367757852527613) (0.4127780518043529,0.91083164193422883) (-0.68367829643186306,-0.72978352063336294) (-0.16071960916354744,-0.98700010497989066) (-0.8733965535195154,0.48700971273705806) (0.99677358382303372,0.080264703279752936)
 (1,0) (-0.98262308292803491,-0.18561216796590824) (-0.90176491311029205,-0.43222684030863578) (0.34433641197743148,-0.93884633214733737) (-0.36740051377167993,0.93006282716830735) (0.25432084912985192,0.96711990244119606) (0.54653374756322715,0.83743707988988403) (0.24033424741005821,0.97069019234864062) (0.71395113955117551,-0.70019552293168497) (0.056375622280523507,-0.99840962996782145) (-0.99949478271442316,0.031783318370622982) (-0.79246762499466128,0.60991398027535071) (-0.88264038221522068,0.47004888648200022) (0.80380539971115672,-0.59489232588358854) (0.19159009255916937,0.98147503097794953) (-0.22709747963325083,0.97387203201664363) (0.80124662171224381,0.59833423033845945) (0.95425797067467433,0.2989844902396267) (-0.9514216109481155,0.30789108174952107) (-0.98543841556859058,-0.17003272956012444) (-0.71264770459112048,-0.70152209454942183) (0.92748623133823516,-0.37385731326001459) (-0.63336817134739343,0.77385060542979478) (0.91490558673867983,0.40366789239961953) (-0.27380412095976436,0.96178547678026893) (-0.7793264894397276,-0.62661808373007466) (0.49601683135278724,-0.86831290616616941) (-0.94912072384863433,0.31491245062881129) (-0.43865836738464264,-0.89865390263629275) (-0.97160197919580926,-0.23662120366269934) (0.36932292461819177,0.92930112307661905) (0.62234356302405525,0.78274420442602044) (-0.26445846247318749,0.96439707674085984) (0.95802566445334358,-0.28668244844902813) (0.02939963544714097,-0.99956773729226334) (-0.094723807548739103,-0.99550359129611887) (0.95929367458052384,-0.28241042103611591) (-0.92033652338612504,-0.39112745201729049) (-0.3398198380968544,-0.94049055159306361) (-0.99964975048046023,-0.026464624772557732) (0.28736756660335522,0.95782038068965103) (-0.50633900799416742,-0.86233451107066572) (-0.98594923065921769,0.16704524705149387) (0.13134750965306435,-0.99133638675675384) (0.98432643558741062,-0.17635608354628379) (-0.61124591016039265,-0.79144073518627645) (0.98921750496666883,0.14645384210569257) (-0.97127945372127211,-0.2379416373376157) (0.99134769777567411,0.13126211225965972) (0.98381115289681531,0.17920830180502001) (0.83683587249937474,-0.54745385421806125) (0.76282779033780002,-0.64660170297359176) (-0.99690372025178364,-0.078631879973414254) (0.9999667864568631,0.0081502136863116359) (0.84236641793188993,-0.53890520311145185) (-0.64785326094168316,0.76176515560061298) (0.24170571119142392,-0.97034960152382588) (0.38197210375664731,0.92417385374815764) (0.3071074853654564,-0.95167483545195519) (-0.54487029487524896,0.83852034069696713) (0.68195592761509305,0.73139326821528505) (-0.87339655351951551,0.4870097127370584)
 (1,0) (0.71392497759257301,0.70022219785539908) (0.5770996978593993,0.81667370395439409) (0.9032314073499832,-0.42915384744467788) (0.91076840109377111,-0.41291756994476997) (-0.9118063634285507,-0.4106204520128055) (-0.21372822228106514,0.97689316048408048) (-0.98089462473756184,0.1945398035389104) (0.95440500042879395,-0.29851481563988402) (0.90524652104888526,0.42488673329357746) (0.092083997502930531,0.99575124273278226) (-0.84802123912442706,-0.52996224204547893) (0.80330859987678671,-0.59556300536886697) (0.9989056891430026,-0.046769906967412629) (-0.17390752674986484,-0.98476198755828492) (0.6222827046637841,-0.78279258777553951) (0.8929047424451857,-0.45024562287588898) (-0.39193193933338893,-0.91999421461787889) (0.8463593735256798,0.532612251872988) (0.7664451450629397,0.64230976919976013) (-0.51002124732048171,-0.86016180296596545) (-0.80960393344994697,-0.58697655058986331) (-0.99979650387539998,0.020173022543186495) (0.96501111798990924,0.26220896658173998) (0.59746502302294213,-0.80189497209060712) (-0.25381136845502511,0.96725373570898487) (-0.73588789476654781,-0.67710339412534204) (-0.94238998075298175,0.33451625397937484) (-0.37786754148423185,-0.9258596659821946) (0.58201995868689327,0.81317450014748127) (-0.90243500205954064,0.43082602876079429) (-0.7438673757949853,-0.66832726057514802) (0.40470149846678305,0.91444884883668598) (-0.73078824704312728,0.68260423232179912) (0.28066288103043141,-0.95980641132037525) (0.44122889581842517,-0.89739459631471752) (0.28493721066662059,-0.95854618353917909) (-0.67530360071010187,-0.73753986120613846) (0.037073131638870743,-0.99931255516504125) (0.41560026374489967,0.90954737137499753) (-0.79228462081030848,0.61015168575319556) (0.5751695210435317,0.81803424259780022) (-0.65956849818444707,0.75164446129983065) (-0.18847184971700764,-0.98207859250889307) (-0.47670364165049883,-0.87906406935851455) (0.77794501591144682,-0.62833235808649901) (0.88623332045532055,-0.46323914095717095) (-0.96590538517087476,0.25889532034763268) (-0.30279998121304252,0.95305412825157942) (-0.97396666052474312,0.22669129711190661) (-0.48986552078402285,-0.87179801074962138) (-0.48586628042429947,0.87403315586232622) (0.575654235238792,0.8176932196439205) (-0.88884713368269996,0.45820385522608603) (0.46126447277204119,0.88726269286966508) (-0.14951368859110148,0.98875965579299474) (0.97051288934440783,-0.24104923069026579) (-0.9469189389518855,-0.32147242969535528) (-0.80444389579961939,0.59402863441986686) (0.79036291748554666,0.61263893009156178) (-0.54487029487524907,0.83852034069696701) (-0.16071960916354758,-0.98700010497989088)
 (1,0) (0.41547564398609399,-0.90960430366964673) (-0.93109172915457439,0.36478513113879352) (0.27840789370689106,0.96046293250791037) (0.0028104892840445928,-0.99999605056719354) (0.74785165790902508,-0.66386587332285862) (-0.5213451992075071,0.85334587551782737) (-0.24796393655895582,0.96876926363617977) (0.82337857059005759,-0.56749249289578674) (0.53467990188884795,-0.84505467427624614) (0.056995527866501194,0.99837443366866085) (0.988638130072654,0.15031516146565854) (0.22729465972543869,-0.97382603049019922) (0.51640725341836824,0.85634312551505753) (-0.99766809296279924,-0.068252298744956752) (0.94195221188647693,0.33574697395832953) (0.36322245296525191,0.93170244695498439) (0.28368827552918197,0.95891655649867669) (-0.88142862987362647,0.47231723495877376) (-0.94078032457914684,0.33901678555014808) (0.93736556800329085,-0.34834722895678238) (-0.51253289622292686,0.85866759010069782) (0.59965210014534409,-0.80026080673195643) (0.70526117383788045,-0.70894758387120183) (-0.98980982028487863,-0.14239564483374348) (-0.9631372058728056,-0.26901063671075781) (0.99971174508889471,-0.024008888589774735) (0.89448375475799713,-0.44710045009375382) (-0.727954536076314,0.68562540312179099) (0.62016731470303754,-0.78446956714331684) (-0.081860258846989054,-0.99664381702868432) (-0.94999164290750604,-0.31227532468303976) (-0.59703146507152027,0.80221781936987335) (0.97759904285735055,-0.21047591644745084) (0.86616648499566551,-0.49975556051959424) (-0.93419320755367663,-0.35676750266886087) (-0.88066532294287603,-0.47373894600921529) (0.49111778212435653,0.87109317761147287) (-0.9931162569416383,-0.11713283142752579) (0.92413203538535682,-0.38207326676243147) (0.11199543200794138,-0.99370872151217216) (0.96990225952954912,0.24349457275158648) (-0.95792180932119197,-0.28702927938943024) (-0.34405079306661079,0.93895103801542179) (-0.39431123862481732,0.91897695678083402) (-0.22264607686166743,0.97489934067990291) (0.65948449679152321,-0.75171816426878668) (0.94505099787688307,0.32692294415031253) (0.8568136823213921,-0.51562613761024179) (-0.92108629314357304,0.38935849879389056) (0.29815289433131564,-0.954518125339618) (0.22553691550423685,-0.97423462253444693) (-0.2472373847014161,0.96895493992548809) (0.055434323162950605,-0.99846233570198595) (-0.25709001951422988,0.96638745949343419) (0.1072428869650921,0.99423285159734687) (-0.91086549449874321,-0.41270334494835414) (-0.8739480806626323,0.48601929211308259) (-0.96533113690024297,0.26102834353932919) (-0.80444389579961939,0.59402863441986686) (0.30710748536545646,-0.95167483545195508) (-0.68367829643186329,-0.72978352063336294)
 (1,0) (0.85202271538265073,-0.52350481609243604) (0.12891391672058733,0.99165578810177801) (-0.85199819363409846,-0.52354472401528063) (0.72785916787652882,0.6857266450547822) (0.28964961835113728,-0.95713274867650455) (-0.009312623352222188,-0.99995663658295753) (-0.92268449863059321,0.38555585326488256) (0.42075767904308381,-0.90717306812221676) (0.75468847352986235,-0.65608330867441411) (0.79021468379233606,0.61283011799272735) (0.71270695614835622,0.70146189822237959) (-0.40135990523294995,0.91592042584025724) (0.6090086089729756,0.7931636112409598) (0.16308191134753328,-0.98661253295872731) (0.92340964286775407,-0.38381588223892882) (-0.99399881551589298,0.10939083486746895) (-0.92143079614870682,-0.3885425175045315) (0.97707318259968678,0.212903724355679) (0.69087178284544937,-0.72297730231864943) (-0.69107890022795804,0.72277932570025494) (-0.25890732086847301,-0.9659021685454019) (-0.41281808585862384,-0.91081349791712285) (-0.44985878594880935,0.8930996991963801) (-0.94952983568216243,0.31367673032822585) (-0.35814672616959276,0.93366531612457582) (-0.55062034224491818,0.83475579585055293) (-0.8021075813124241,0.59717956093718816) (0.95923308565565168,-0.28261614848330668) (-0.6275788336203314,-0.77855302169585305) (-0.97394162960406494,-0.22679881420364334) (0.95581344496390086,-0.29397390773033061) (-0.72895647814280351,0.68456004336627807) (0.1346287091747683,0.99089611497166397) (-0.82118412581880118,-0.57066332587893931) (0.14783171990813487,-0.98901252903540315) (-0.83752662889840235,0.54639650976747578) (0.96033659088934442,0.27884338292136807) (0.59238731684982526,0.80565331677804419) (0.27602248567135645,-0.96115117822525986) (-0.7383564884595244,-0.6744106285859679) (-0.99938667999452435,-0.035018050338697926) (-0.98550381391635022,-0.169653272165108) (-0.87104101596674455,-0.49121028949282369) (0.99944649948834707,-0.033267020613383325) (0.98916770370833185,0.14678982914489308) (-0.60091341905249163,0.79931412023224324) (0.84968945084244418,0.52728345045816438) (-0.79936588188193214,-0.60084456133272979) (0.61148113538055981,0.79125901010585831) (0.66154149779262139,-0.74990855889121166) (0.99803113708124269,0.062720406697676645) (0.53232065988590826,-0.8465428016696096) (0.99815649448933685,-0.060692771470413728) (-0.18687389817322372,-0.98238390977333467) (-0.94024579292473764,0.34049647411879602) (-0.72534190268907894,-0.68838878855148922) (0.72983959276423849,0.68361843804400924) (-0.87394808066263263,0.48601929211308265) (-0.94691893895188561,-0.32147242969535528) (0.38197210375664736,0.92417385374815775) (0.41277805180435301,0.91083164193422905)
 (1,-5.5511151231257827e-17) (-0.63850019890401322,0.76962165769911683) (0.13440065227253828,-0.99092707333522556) (0.45096425633452464,-0.89254200994051325) (0.95253419917280846,-0.30443160053814622) (-0.75222578785718508,-0.65890542878522163) (0.77553439613692099,0.63130531473174156) (-0.28591171623439937,0.95825596294513082) (-0.8580186074583912,0.51361860290994454) (0.005168604672929622,0.99998664267365744) (-0.81189925653468653,-0.58379756528990823) (-0.91950567748976331,0.39307672160036677) (0.6535547748459879,-0.75687922172299671) (0.71623819533585753,0.69785589310546947) (0.27215841947472308,0.96225245892594113) (-0.58566971344811725,-0.81054980522457831) (0.38718249951075157,-0.92200309764805333) (-0.32770581163703133,0.94477981615787776) (0.54294855528065622,-0.8397659592521276) (0.90941232614681478,-0.41589568530130361) (0.026535824242030548,0.99964786301567066) (-0.863005098963184,-0.50519520896732928) (-0.99983910897728545,-0.017937562808517438) (-0.80119773710009823,-0.5983996875548) (-0.57144061131278401,0.82064342301786219) (-0.41045313569590008,-0.91188169375056749) (-0.93946366935806747,-0.34264852831476666) (0.35241545412621172,0.93584365558196581) (0.70365453892177532,-0.71054225057682707) (-0.5113770401272244,-0.85935645853785225) (0.12457688206613265,-0.99220995784898314) (0.30974930582696564,0.95081826209834241) (0.1261249483541102,0.99201436350623129) (-0.2814713220371905,-0.95956964044859017) (-0.34950928954931343,0.93693289862120577) (0.81441270303790692,-0.58028609248412333) (0.90087217492728511,0.43408446694368502) (-0.43902172745891521,0.89847644533342663) (-0.98636147731625923,0.16459354807065235) (0.69738292999978402,-0.71669871560155263) (0.88410218041100308,-0.46729362781072825) (0.32940319332640566,-0.94418935401028881) (-0.93313743517996439,0.35951985628857369) (0.99785281016814209,0.065496329970025913) (-0.19701395175023606,-0.98040068483031861) (0.57986121563383231,0.81471526965170882) (-0.97130264065341543,-0.23784696815327117) (0.98837588811790089,0.15202994371882689) (0.85790263135294165,0.51381229560774289) (-0.19972307162641006,0.97985238411717546) (0.99054978818429262,0.13715362601131931) (-0.98792057745337036,-0.1549610681564848) (-0.99759847320778383,-0.069262444755423425) (0.99707471159030514,-0.076433104785226691) (-0.80716593099015199,0.59032462243142336) (-0.43323006017753962,0.90128337106515199) (-0.19080382824515341,0.98162818782214822) (-0.72534190268907872,-0.68838878855148899) (-0.91086549449874321,-0.41270334494835426) (0.97051288934440771,-0.24104923069026574) (0.24170571119142403,-0.97034960152382577) (0.99351769392428557,0.11367757852527616)
 (1,0) (-0.98829969757720948,-0.15252444974100737) (-0.74390178565609022,0.66828895943123312) (-0.98152866609078671,-0.1913151265374527) (-0.59628716929244963,0.80277120759105325) (-0.77391898681903815,-0.63328461361460053) (0.8422724042977584,0.53905212823851723) (0.428723926147483,-0.90343555118707175) (-0.9237433425889312,0.38301205858644616) (0.99862089936052478,0.052500470096712271) (0.70069800187848963,0.71345799467347171) (0.83029675320758689,0.55732154239087128) (-0.53306596054300959,0.84607368574513619) (0.50746838170193276,-0.86167037872542573) (-0.57462704992861002,0.81841539177262612) (0.033778125816111337,0.99942935629105456) (-0.36500014448094864,-0.93100746212309515) (0.29707931118901887,-0.95485280690976437) (-0.030651754899491235,-0.99953012456932955) (0.82024628951627565,-0.57201051086040489) (-0.98260539157807858,0.18570580077555887) (-0.71689423923118412,-0.69718193447416732) (-0.9637677958513774,-0.26674263941068305) (-0.85483640375227588,-0.51889760340540692) (0.2413234947188953,-0.97044472840891893) (-0.035046601268818367,-0.9993856791747151) (0.82989770288842202,0.55791558746867764) (-0.90566659238543601,-0.4239905935713113) (0.49768809906344058,-0.86735607223943456) (-0.0091639871473100931,-0.99995800978819194) (0.9630010281864988,-0.2694977174518321) (-0.81818285363347965,-0.57495810109970202) (-0.63068464600145346,-0.77603922407183779) (-0.19593876038352143,-0.98061613395832414) (0.94517480803841081,-0.32656482090015881) (0.16131650190295105,-0.9869027237847694) (-0.65405809654481384,0.75644431807250434) (0.58804141241452657,0.80883082117679439) (0.86136193867180866,-0.50799174265684865) (-0.64497188575345676,0.76420629844802335) (0.50860766914893496,0.86099839656232113) (-0.14018533126673749,0.99012528141525413) (0.82162926996196961,-0.57002223004174035) (0.84795414823780257,0.53006958268354021) (-0.37567389285079827,0.92675192270117646) (0.96946072093021574,0.24524663213481523) (0.48436623704020221,-0.87486533158853463) (-0.70292209556758356,0.71126684694485542) (0.39179493248584496,0.92005256962763249) (0.9033475217587954,-0.42890937846151667) (-0.44140860575533586,0.89730621460298043) (0.5660227755331243,-0.82438960302625053) (0.36839447131862385,0.92966957221470403) (0.44649215232686329,-0.89478754903637536) (-0.9271241003845736,-0.3747544562591551) (0.50969841485504841,0.86035314022455422) (-0.43323006017753968,0.90128337106515211) (-0.94024579292473764,0.34049647411879597) (0.10724288696509204,0.99423285159734709) (-0.14951368859110165,0.98875965579299474) (-0.64785326094168338,0.76176515560061309) (0.20899836030520919,-0.97791599096739101)
 (1,0) (0.056465320513515826,-0.99840456107697517) (0.20144941261059146,-0.97949891993756066) (-0.71732579582471412,0.69673790096738819) (-0.26374036544123813,0.96459370702743108) (0.033417080981152314,0.99944149338452992) (-0.42513576781813311,0.90512959233564416) (0.97308666990271164,0.23043943425041546) (0.33024152232867904,0.94389646515390502) (-0.10206192855368557,0.99477804697324368) (0.72793739969005489,0.6856435970185113) (0.61749370034107642,-0.78657582599459785) (0.10984907975542713,0.99394827816988884) (-0.95950234366041975,-0.28170064343228107) (-0.27189945008260269,0.96232566683258325) (-0.7266436490789181,-0.68701456116539095) (-0.99260832651750741,-0.12136189734885217) (0.84394492077173167,-0.53642983763358587) (-0.98730282283369086,0.15884941304462835) (0.96623198606867255,0.25767372605251898) (-0.44703168246864627,-0.89451812439393918) (0.87049896959874928,0.49217023876654376) (0.40340565285204605,-0.91502124524352813) (0.64498771309736969,-0.76419294026667317) (0.99869154546020544,0.051138997118706009) (-0.87939263616674634,0.47609724999804648) (-0.77273727570955619,0.63472600602856544) (-0.55082942245134636,0.83461784510152692) (-0.9398881039689595,0.34148257937651005) (0.93398541659097556,-0.35731112716424251) (-0.15746605497100852,0.98752440047416901) (0.9930280030107107,0.11787868864455836) (-0.14787611393945588,0.9890058922605891) (-0.66012228030792142,0.75115815581079193) (0.33460042251853772,0.94236009956407663) (-0.58454277341588567,-0.81136289417699303) (-0.98500697836488649,0.17251449960069282) (-0.44515461041246662,-0.89545372456008321) (0.98995941617645933,-0.14135188121692016) (0.97208098236485541,0.23464561305206039) (0.76423205006740957,-0.64494137225779391) (-0.003317906753819766,-0.99999449573223886) (-0.78219582834873025,-0.62303265252620854) (0.22142574633642176,-0.9751772345883376) (-0.70976169941737821,-0.7044418571040163) (0.67027731578299166,-0.74211071946627327) (0.95667061928919317,-0.29117233074046528) (0.81246089746423289,-0.58301568597389797) (0.12732078081214043,-0.9918615925487716) (-0.088563948094971756,0.99607049303642703) (0.28002414919500751,0.95999295615520697) (-0.73429476993000375,0.67883075273107951) (-0.027819263870948907,-0.99961296938249) (-0.080298406450009074,-0.99677086931831427) (-0.67719389623042314,-0.73580461191015778) (-0.9271241003845736,-0.3747544562591551) (-0.80716593099015199,0.59032462243142347) (-0.18687389817322375,-0.98238390977333467) (-0.25709001951422994,0.96638745949343419) (0.46126447277204125,0.88726269286966508) (0.84236641793189004,-0.53890520311145174) (-0.83942961413859796,-0.5434684194202315)
 (0.99999999999999989,0) (0.95308793387405299,-0.30269355841129159) (0.25495599329882734,0.96695265731110591) (0.98004492766815554,-0.1987761045798041) (-0.48847359432805892,0.87257867705108783) (-0.71832370899264331,0.69570902617333585) (0.60049046713405163,0.79963191462142813) (-0.96595591682351456,0.25870671957574876) (-0.79019243367444236,-0.61285880736403064) (0.20383891425533279,0.9790044417852285) (-0.90424419401449929,-0.42701573459425218) (0.96571675364007281,0.25959805804142516) (0.38913107849910766,0.92118239439652805) (-0.6821787309248869,-0.73118546147588959) (0.32907583596328782,0.94430349686160908) (0.056547338383063639,-0.9983999191315025) (0.85314802390391398,0.52166890774594377) (0.90690408917534293,-0.42133712515874999) (0.17846363109772384,-0.98394650889944946) (0.9731469197005902,-0.23018486630804375) (0.999113437816469,0.042099149332930574) (-0.99206169485024498,0.12575211175506446) (-0.97892742526810239,0.20420846225846323) (-0.46374577185660382,0.88596831720164948) (-0.98763735432412925,0.15675604085212702) (0.49514695837346523,-0.86880923660692444) (-0.057939503091423872,0.99832009595195459) (0.48871406752354624,-0.87244401551308304) (-0.843518171978203,0.53710063632670402) (-0.028025399040194965,-0.99960721136286168) (-0.53297440849975919,-0.84613136089163654) (-0.982911208577949,-0.18408029783720586) (0.75836709073979724,-0.65182770398538348) (0.37367893819251446,0.9275581120077141) (0.97740068331059815,0.21139513774913382) (0.83976141163987839,0.54295558890262918) (-0.96963543975602529,-0.24455493037176756) (0.99009251472055759,-0.14041656702227989) (-0.33212115201688575,-0.94323673612883419) (-0.2608145951877846,0.96538890968201529) (0.041692267889853973,-0.9991304993834399) (-0.50959194641546213,-0.86041620634928928) (-0.16389172857389234,0.98647833291211251) (-0.41903858836879848,-0.90796842536394684) (-0.99662206912321161,-0.082124608593085402) (-0.69403752030038723,0.71993883102336587) (0.98513183779888047,-0.17180006447903928) (0.21504975803313486,0.97660309316010885) (-0.99772393180381724,0.067431119714357446) (0.96768442317478454,0.25216434550682371) (-0.11560782722906476,-0.99329493620141496) (-0.96095233511182476,0.27671394913002406) (-0.98577331092797382,0.1680802768384817) (-0.99549665247861396,0.094796703022171247) (-0.080298406450009019,-0.99677086931831427) (0.44649215232686312,-0.89478754903637536) (0.99707471159030547,-0.076433104785226746) (0.99815649448933685,-0.060692771470413798) (0.055434323162950494,-0.99846233570198617) (-0.88884713368269996,0.45820385522608614) (0.99996678645686332,0.0081502136863116914) (-0.48594761016221455,0.87398794052185402)
