# Created by Octave 5.2.0, Tue Sep 21 10:04:16 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
3.8325839186414554e-13


# name: H
# type: complex matrix
# rows: 63
# columns: 63
 (1,0) (1,0) (1,0) (1,0) (1.0000000000000002,-5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1.0000000000000002,-1.3877787807814457e-17) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,1.3877787807814457e-17) (0.99999999999999989,0) (1,0) (1,-2.7755575615628914e-17) (0.99999999999999989,0) (1,0) (1,-1.3877787807814457e-17) (1,0) (1,-5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,-5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,1.3877787807814457e-17) (1,2.7755575615628914e-17) (1,0) (1,5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,2.7755575615628914e-17) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,0) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,1.3877787807814457e-17) (0.99999999999999989,0) (0.99999999999999989,0) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,0) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257827e-17) (0.99999999999999989,0)
 (1,0) (-0.24976406606451851,-0.96830672377244154) (-0.24649356619199728,-0.96914442774333232) (-0.39897996629043553,0.91695964278635689) (0.1111076838220299,-0.99380837317649162) (0.91277015288591989,0.40847355850852174) (0.84583348493858657,0.53344701307313147) (0.27626102886337728,-0.96108264157217405) (-0.8383064534498964,0.54519931227419716) (-0.92014796620397288,0.3915708368746233) (0.99933767743135371,-0.03638964778762882) (-0.68907371530163997,-0.72469125486678476) (0.96715768756869824,0.2541771181219275) (-0.95950265829587511,-0.28169957174825294) (0.74369991976578798,-0.66851359697493185) (-0.36440081712277572,-0.93124220505744559) (-0.19771544874989577,-0.9802594561266047) (-0.99650554729167207,-0.083526607838017852) (-0.73446755592452506,0.67864380148517889) (-0.33021045474458177,0.94390733421103168) (-0.92798852834298173,0.37260876434113682) (0.93984434372699932,0.34160299993466869) (-0.046097868145465737,0.99893692821541213) (0.12890020239582556,-0.99165757084908868) (-0.054334368606150985,0.99852279712992642) (0.89624968177045183,-0.44354989339009343) (0.98203659231186236,0.18869057040696308) (-0.99910544790911504,-0.042288343054883382) (0.40796532533977953,-0.9129974224062235) (-0.1129296376879087,0.99360298758190024) (0.83147365319111222,0.55556418535487428) (0.24288028784592261,0.97005626938641154) (-0.92619264083574804,-0.37705064919941933) (0.99875209803371712,-0.04994243359358172) (-0.98550967656415756,-0.16961921294007049) (-0.78228978988307618,-0.62291466883088664) (-0.057115624043933388,0.99836757033172485) (0.80478014777199347,-0.59357300625288656) (-0.87068070308288725,0.49184866908337715) (0.95884889747038693,0.28391687484160599) (-0.87964377183595754,-0.47563308828361606) (0.44625885227271544,-0.89490392599889723) (0.18676353372284499,0.98240489741824644) (0.94673034555861924,0.32202741001110069) (-0.96773844347781057,0.25195695071806401) (-0.99252812723535744,0.12201605077478517) (-0.74569287805383055,0.66628982554125415) (-0.11012719051890477,-0.99391750256669376) (-0.26078639656136099,0.96539652753080762) (0.76396923657887117,-0.64525266799998326) (0.64862537413581467,0.76110782680719757) (-0.82442274050115327,0.56597450909433011) (-0.78488027896049606,0.61964743822507096) (0.055154972590610474,0.99847780596192048) (0.60772406199822071,-0.79414826353042101) (0.99128639825763398,-0.13172424465301538) (0.32533955267083858,-0.94559725859793986) (0.99827248993459516,-0.058754028285590842) (-0.64840623164018663,-0.76129452826759036) (0.4802709807685418,-0.87712016567379369) (-0.98447158666293677,-0.17554399748598382) (-0.51941425669463537,0.85452257427311995) (0.90762973925272883,-0.41977167177410202)
 (1,2.7755575615628914e-17) (0.17977443807122095,-0.98370785877524447) (-0.99766823220969081,0.068250263293190963) (0.82840770239566985,0.56012559181984056) (0.5776614303440869,0.81627646780537777) (0.82222677545929634,-0.56916002118719478) (0.1535410545224051,0.98814226940058936) (0.95679330315887523,-0.2907689375265653) (-0.13604523983890368,0.99070262577484625) (0.85472721024557341,-0.51907744707877623) (-0.99998464274468291,0.0055420460832197871) (-0.35546736337087959,-0.93468869340446969) (-0.069962372666957526,-0.9975496310514127) (-0.56054258310053939,-0.82812560190527518) (-0.99990955504815993,0.013449227613164444) (-0.62255542888354454,-0.78257570749904204) (-0.99037963948108521,0.13837691173499359) (-0.31246889998023752,0.94992799018933005) (0.97387191333869083,-0.22709798856449095) (0.023803469291647089,-0.99971665728329295) (0.37824677341721807,-0.92570480089468288) (-0.92106213548081362,-0.3894156424484303) (-0.73653274538877533,0.67640188865058049) (0.82046763770899322,0.571692973082776) (0.81572507947782968,0.57843979350567587) (-0.027995580395600572,0.9996080469255505) (0.98666904486311557,0.16273965684155067) (-0.7867172543835661,-0.61731350354190651) (-0.78065867831333702,0.62495762094247187) (0.56810977109658189,0.82295278599965194) (-0.90670554820639793,0.42176421001755737) (-0.70107302438783381,0.71308948560169849) (0.54338963481468072,-0.83948061608113866) (-0.71802178842032915,-0.69602062566684952) (-0.85059852906608124,-0.52581569237767967) (0.29044925380450598,0.95689039652637609) (0.91791904570667282,-0.39676772238798708) (0.14464172076815698,0.98948409416888872) (-0.75410283986161175,0.6567563527767758) (-0.97868093542238699,-0.20538652984254244) (-0.346692274458962,-0.93797892664519467) (-0.98396190077205059,0.17837874825509059) (0.75972416255861674,0.6502454896611034) (-0.5423210620373573,0.84017133114066211) (-0.87451470664717168,-0.48499899779052197) (0.99842282594377219,0.056141434203733853) (0.91376078493102075,-0.40625266512632829) (0.39528625279898133,0.91855798856040627) (0.83278353621002821,0.55359875525286473) (0.0043235167424404419,0.99999065355781092) (0.82710500336888804,0.5620474298510324) (-0.76702920350180714,-0.64161218892363836) (0.66990573166052281,-0.74244616686220255) (-0.28622307744972791,-0.95816300801857668) (0.51378772812523044,0.85791734475292869) (0.81589598033178734,-0.57819871089308994) (0.59112777962932705,-0.8065779244130733) (0.64862513934182775,-0.76110802690143409) (-0.32506760257686307,-0.94569078125724071) (-0.97396912869216123,-0.2266806925051896) (-0.89597228917473737,0.44410996051763985) (0.91512481852922489,-0.40317064192702806) (-0.51941425669463548,0.85452257427311995)
 (1,0) (-0.69770893756006569,0.71638134987505397) (0.57652449394516292,0.81707986628069151) (-0.97925098547251876,0.20265119652027808) (-0.98727350471937581,-0.15903152794059566) (0.73762844380560544,-0.67520684155962241) (-0.55551201834108976,-0.83150850715949298) (-0.40813901045743434,-0.91291979283112568) (0.98832231825624695,0.15237780427804265) (-0.68802305245628759,0.72568883089705394) (-0.90370023572530034,-0.42816572019492294) (0.25599688458695113,-0.96667760658958857) (-0.79451818965613752,0.60724035299503376) (0.94584126681038772,-0.324629478018434) (0.29802044833915869,0.95455948603097907) (0.59574431693591257,-0.80317414602224513) (0.98822665142125499,0.15299701114967112) (-0.5657674412942556,-0.82456485637659238) (-0.56175646499738008,0.82730264959907307) (0.90528950191966129,-0.42479514794080631) (0.61833160028813483,-0.78591731886065164) (-0.98193651315479247,-0.18921068715431427) (-0.99499876621273708,0.099887212570636152) (0.39954864142872387,-0.91671199573937057) (0.99319087303636122,0.11649845371193213) (-0.37917657489271467,-0.92532433505913447) (0.94657975326895627,-0.32246979812267945) (0.33386199395634591,0.94262196504828599) (0.85802608421001503,0.51360611251739241) (-0.44638801600925204,0.89483950469529672) (0.84654727784680417,-0.5323135414116047) (-0.33716774294790613,0.94144458844661383) (-0.81541786561092811,-0.57887278778892148) (-0.99976545454635379,0.021657236567102278) (0.38399422369497854,-0.92333549491443823) (0.62877083608985684,-0.77759066074822569) (0.70591554685152313,0.70829601206932802) (-0.99982228364090064,0.01885208569613217) (-0.35719997914493085,0.93402793047042243) (0.8275885399852323,0.56133520153747019) (0.15574034284293758,-0.98779802875444311) (0.4237915122411276,0.90575976624730836) (-0.61108120783108355,0.79156791081732425) (0.47028383652163486,-0.88251521975912228) (-0.9741949392790441,0.22570826365709051) (-0.16141489560737055,-0.98688663557475609) (0.9388298431526968,0.34438136651956403) (-0.47585039763245018,0.87952623557972343) (0.63554028685341879,0.77206770673709335) (-0.6137801448398037,-0.78947700017190492) (0.95094173500532275,0.30937003187940937) (0.52347220684961626,0.85204275048614286) (-0.49502229680157739,-0.86888027119349931) (0.13234407940063114,-0.99120383607389206) (0.18223246617734834,0.98325547456951479) (0.34564755918526746,-0.93836440940035026) (-0.67390570827821239,0.73881736332468539) (-0.99962181293182528,-0.027499656559499375) (0.5191684900046023,0.85467191306743029) (0.36746786095134237,0.93003622035265099) (-0.14057159998381652,-0.99007051530584889) (-0.89597228917473748,0.44410996051763973) (-0.98447158666293677,-0.17554399748598393)
 (0.99999999999999989,0) (0.4158660594934942,0.9094258741433271) (-0.94050746241687155,-0.33977303179943147) (0.92847057027688817,-0.37140597750939613) (-0.26594615573625335,-0.96398788490784937) (0.91948321246519171,0.39312926880949939) (-0.9376351008652819,0.34762108340167319) (0.88442522292664527,-0.46668193135277269) (-0.92211040870385863,-0.3869268589281486) (0.91069919963476764,-0.41307017295442017) (0.51919201043183671,-0.85465762519487809) (-0.47433312379882098,-0.8803454365572948) (-0.33293766861547869,0.94294883679703978) (-0.85591638383875202,0.51711424644501369) (-0.32547091393994781,0.94555205260159858) (-0.65842973381783942,0.75264220292551332) (0.96569054251670983,0.25969554500180075) (0.9981543146398919,0.060728610767650293) (-0.99889289298101513,-0.047042410142534685) (0.72719089565369976,0.68643528557204136) (0.54281374184948405,-0.83985310719158746) (-0.74382940358837824,0.66836952231333691) (-0.05997812342591493,0.9981996918003464) (-0.14672095847817843,-0.98917792147987516) (-0.9585500804773005,-0.28492410080047847) (-0.86819141421339363,0.4962294512482589) (0.36677121203782015,0.93031117268380092) (0.89494211506229315,-0.44618226173597553) (-0.99533479596769447,0.096481313921135292) (0.45831201084376694,-0.88879137074813208) (0.76774078124948031,-0.64076055809205212) (-0.83223312501368452,-0.55442585223811214) (-0.52614278184169372,0.85039624476821651) (0.92455733285429864,0.38104296118068726) (-0.99961709988955716,0.027670446479812837) (0.77714915247308591,-0.62931645045268381) (-0.8469044128589811,-0.53174516027885443) (-0.99969080097358098,0.024865688182720856) (-0.75867255147228185,0.65147214801750242) (0.45883775456796061,-0.88852007010704748) (0.60961337062197052,0.79269889514173109) (0.903684401011285,0.42819913985069613) (0.69530493257789816,-0.71871486052039091) (0.72348525037656308,-0.69033983840392832) (0.058418859987621086,-0.9982921600402096) (-0.86459668697524217,0.50246648532159388) (-0.8761443677621169,-0.48204880130410099) (-0.064725149225269257,0.99790312909508794) (0.83464464120085369,0.55078881879963693) (-0.99999085822818856,-0.0042759162821008265) (-0.027717605958042794,0.99961579335260409) (0.89447412488269873,-0.44711971541784068) (0.98470502084326816,0.17422979632100122) (-0.73202837916295993,0.68127413872834641) (0.81995339845992621,0.57243027903319188) (-0.47223356268837408,-0.88147346089978584) (0.87379631818690884,0.48629208745670977) (0.48313897808696371,-0.87554367558282598) (-0.75420611477579202,-0.65663775130189195) (-0.97559702055024977,0.21956878988935669) (0.36746786095134254,0.93003622035265088) (-0.97396912869216123,-0.22668069250518957) (0.4802709807685418,-0.87712016567379403)
 (0.99999999999999978,0) (0.72936692100878664,-0.6841227189168344) (0.92419371158628849,0.38192405457677064) (0.96738116201590418,0.25332526004478712) (0.71780699227082878,-0.69624214311337573) (0.93958930385874662,-0.34230387096005205) (-0.4490835938480302,0.89348974573664641) (-0.8385963854927051,0.54475324894723653) (-0.99997058214362267,-0.0076703876919401726) (0.48468695041343668,0.87468769289325365) (0.82101352039762077,0.57090874868432828) (-0.65582009259723173,-0.75491721807477641) (0.73969910997102573,-0.67293775842054904) (0.99231954524577914,0.12370093016307493) (-0.97888727219889526,0.20440085207015657) (0.51623001976344041,0.85644997909687537) (-0.018738973883292542,0.9998244100129785) (-0.15401716752235961,-0.9880681717920019) (-0.9269170078767941,-0.37526638606292922) (0.99311918732951754,-0.11710798332290562) (-0.12587189568757029,-0.99204650388780591) (0.91249995305952081,0.40907680900580623) (0.37456937014834957,-0.92719889287394475) (0.30666729907376777,0.95181677211467575) (0.55956017948958992,0.82878972334940282) (-0.6222330625845669,-0.78283204828790021) (-0.73819141481063677,-0.67459130968303349) (0.6717715013523331,-0.74075842888949472) (0.85604142076984246,-0.51690723145101225) (0.88494324529656154,-0.46569888619577893) (0.84503121303033935,0.53471698028440473) (-0.1286526775356614,0.99168971385353455) (-0.45584301821924811,0.89006019051565599) (-0.99999509676487564,-0.0031315245819369397) (0.06036701546976625,-0.99817624868721089) (-0.14333006645933655,0.98967494261942546) (-0.43163639684277988,0.90204768217682485) (-0.54450186026738978,-0.83875963432043621) (0.86242630256826391,0.50618264750822173) (-0.79718025053844654,-0.60374137521910831) (-0.89093034984586805,-0.45413996930849287) (0.63958319133037667,0.76872188818040799) (-0.96981355745495246,0.24384762409457472) (0.82772751723547389,0.56113024977379189) (-0.99858669633350727,-0.053147059238790317) (-0.84467835171555838,0.53527421210356074) (0.98278163543838726,-0.18477082303504577) (-0.99413879766761903,0.10811128975264778) (-0.17150441291467655,-0.98518335164110082) (0.58022796246230146,0.81445411876719409) (0.3600594979042992,-0.93292934243108916) (0.47585775713722805,-0.87952225382438565) (-0.99807840582541507,0.061963665361215281) (-0.92828467645133916,0.37187035303400046) (-0.82687183755735993,0.56239040199359269) (0.023602895886057795,0.99972141284749516) (-0.61423470488460463,-0.78912339169189694) (0.051886938206340161,0.99865296557090977) (-0.6459112548075906,-0.76341250377032965) (-0.75420611477579214,-0.65663775130189173) (0.5191684900046023,0.85467191306743007) (-0.32506760257686312,-0.9456907812572406) (-0.64840623164018674,-0.76129452826759025)
 (1,5.5511151231257827e-17) (0.89911518736870144,0.43771209698036095) (0.95622704190215913,-0.29262577524040068) (-0.062984096752577601,-0.99801453073402824) (0.47754078689899271,0.87860958158211067) (-0.34864149583777326,0.93725615889147396) (-0.79486914986371837,0.6067808785673201) (-0.99284853027364106,0.11938088596366717) (0.43247199980743684,0.90164736420762459) (-0.30584078017656596,0.95208267350109377) (-0.98673090287236365,-0.16236417497924344) (0.85100973452429096,0.52514991359124896) (0.96959709412036799,0.24470691668471223) (0.25019418615885058,-0.96819567712953103) (-0.097145887224699412,0.9952701525693044) (-0.99199083437546776,-0.12630987497050095) (0.035973194714889911,0.99935275516806588) (0.69105176011966507,0.72280527449342324) (-0.98103639895701011,0.19382358969295205) (0.14359843566516006,0.98963603879129158) (0.20483301385862085,-0.97879693319584671) (0.59951256627639449,0.80036534337556842) (-0.38734583090909236,-0.92193449185793341) (0.93864534207430517,-0.34488392511424909) (0.4333084884991234,-0.90124566783680371) (-0.9400833624644731,0.3409446753030338) (0.97507763391520408,0.22186393992338244) (-0.99659094055349173,0.082501498208863822) (0.957809616789836,0.28740344115008115) (-0.96230942950910614,-0.27195691180379888) (-0.72436040673672808,0.68942149745435155) (-0.51967321617390216,-0.85436511421726047) (0.34260392645007892,0.9394799356989959) (-0.4277041359917072,-0.90391878620570087) (-0.77014208354710778,0.63787237841884936) (-0.13205366104795327,-0.9912425690030835) (0.78732687789369404,-0.61653579567302363) (-0.86964981052834522,-0.49366912709629057) (-0.92697943437398733,0.37511215422548327) (-0.99891078401097899,0.046660964269624017) (-0.96145172890713426,-0.27497376780609967) (0.068625877669558688,-0.99764246547251745) (-0.17542115627607399,-0.98449348292955496) (0.70825830550148083,-0.70595337855142459) (0.8656953436688003,-0.50057124562858957) (-0.59425603545218864,0.80427592549363769) (0.55516843822076278,0.83173794262587242) (0.91739986950629482,0.39796668130615331) (0.65167720743606006,0.75849641878412244) (0.98588411469008219,-0.16742912650358474) (-0.58046241191761494,-0.81428704297120325) (-0.89056709302822723,-0.45485190206841242) (-0.86121815683575387,-0.50823546347773296) (0.83188378943811769,0.55494987239396443) (-0.55896640578381418,-0.82919030216538603) (-0.023890705078591534,-0.99971457637210004) (-0.84855844238798683,0.52910166305925876) (0.99989174204124809,-0.014714081613151742) (0.05188693820634005,0.99865296557090999) (0.48313897808696382,-0.87554367558282586) (-0.99962181293182517,-0.02749965655949943) (0.64862513934182775,-0.76110802690143409) (0.99827248993459516,-0.058754028285590787)
 (1,-5.5511151231257827e-17) (-0.19244067548876193,-0.98130860916300422) (0.25976597559675113,-0.96567159941787029) (-0.17137031210441867,0.98520668701000691) (-0.99427031392207654,-0.10689500855183365) (0.018283572743362841,0.99983284151288965) (-0.82914682630914893,0.55903089397766359) (0.30821393298953736,0.95131707201706428) (0.80358311167787466,-0.59519255928321602) (-0.71090407720524329,-0.70328898257612593) (-0.32707966211379141,0.94499676964079016) (0.51270810608534423,0.85856298426753763) (0.6458380062442115,0.76347447219307996) (-0.83006603093297227,-0.55766511840994926) (-0.40825312247045698,-0.91286876822088925) (0.97656882433828562,-0.21520532365752271) (0.013590338900065835,0.99990764707975943) (0.1062301439191442,-0.99434156934270757) (-0.99272140171659473,-0.1204334611884893) (0.19892047106179028,-0.98001563568779604) (-0.45032325007986307,-0.89286559483357353) (0.57589864672372182,-0.81752109985112065) (-0.85874043255292432,0.51241084053600683) (-0.97809274286668857,0.20816960957718778) (0.2366982303394784,0.97158321710194273) (0.04737507350373249,-0.99887717083258865) (-0.99507329717131021,0.099141985337283522) (-0.94770994863998492,-0.31913297110890454) (-0.38611558793398887,0.9224504066638981) (-0.44705807626982608,0.89450493371580853) (-0.6032270770917243,-0.79756949130679211) (-0.81180472960806371,-0.58392900337796005) (0.10089870191635469,0.99489670416159037) (0.33430009738422967,0.94246668104973119) (0.21111955584567943,0.97746024632182515) (0.99921924790969097,0.03950815873705249) (0.99986378085333216,-0.016505142764593972) (0.32381383631172245,-0.94612081649918567) (0.99814738713754714,0.060842366410981563) (-0.99928365139079711,0.037844207787671669) (0.87381950978101552,0.48625041318858053) (-0.71730784981460327,0.69675637678772007) (0.99817653883346247,-0.060362217673385454) (0.20877729756389768,-0.97796320995317432) (-0.55728631538368045,0.83032039760930898) (-0.83216737906780591,0.55452452895739357) (-0.034087375223228022,-0.99941885656134721) (0.80201895216486585,-0.59729858560720794) (-0.6683020904309066,0.74388998912855442) (0.97623742048981232,0.21670371209418132) (0.72786994332726795,0.68571520735707825) (0.91764899471756212,0.39739190038782662) (0.99058920258638472,-0.13686866595122976) (0.51133676769552072,-0.85938042216628241) (0.96363362007311337,-0.26722695647106287) (-0.61820663554474464,-0.78601562056262408) (-0.93367122231742605,-0.35813132872772169) (-0.84855844238798683,0.52910166305925899) (-0.61423470488460485,-0.78912339169189694) (0.87379631818690884,0.48629208745670982) (-0.67390570827821228,0.73881736332468573) (0.59112777962932694,-0.8065779244130733) (0.32533955267083842,-0.94559725859793986)
 (0.99999999999999989,0) (0.8343700539544926,-0.55120469252717452) (-0.6990585193645098,-0.71506446318069727) (-0.33519596964789639,0.94214842882202265) (0.047794623805864467,0.99885718395336953) (0.19524765586500653,-0.98075397163571065) (-0.9773979103367666,-0.2114079583869104) (-0.79928863227101876,0.60094732075475887) (0.3424127526134203,-0.93954962979488232) (-0.98014950648601762,-0.19825979152419146) (0.40066723468413523,-0.91622364466901229) (0.68773853214734071,0.72595847773810163) (-0.81809249747491197,0.57508665918734447) (0.73310085284514515,-0.68011994497861972) (-0.45467641959397054,-0.89065669787253532) (-0.90222435170830462,-0.43126699292263287) (0.73352684046235839,-0.67966048459602901) (0.96604526500411092,-0.25837288163260608) (-0.5645945589397714,0.82536839291046571) (0.99208728758141562,0.12555004507903872) (-0.8713088426626171,0.49073506161464719) (0.90050095935434527,-0.43485402401484552) (-0.32257284090733213,0.94654464359002777) (-0.73840058315048451,0.67436234978164689) (0.88387510502961519,-0.4677229935644478) (-0.51491097494700422,0.85724365724053386) (0.99557121929888959,-0.094010357427903146) (0.37868489765190239,0.92552566052507124) (-0.91565252982328094,-0.40197070120622619) (0.17727525100751867,-0.98416131064994694) (-0.75105070590956968,-0.66024452830200431) (0.94054994870670727,0.33965540476755324) (-0.62785886236004573,0.77832721201044253) (-0.88588191702929175,0.46391079862459295) (0.87672297156870294,-0.48099566642927621) (0.991771619642137,0.12801974251033382) (-0.97258284198627831,0.23255669303181359) (0.83236872278492802,0.55422225625590626) (-0.86988619519303267,0.49325247836436581) (-0.017384926025534153,0.99984887075351903) (-0.12612277284527515,0.99201464009853146) (0.80269062149296544,0.59639564566421555) (0.27702187298090963,-0.96086361253309449) (0.063856055661059896,0.99795911948105931) (-0.93023332752969168,0.36696860404268622) (0.99057240472695507,0.13699018575597818) (0.99699154956427316,-0.077510322521771535) (-0.4580637727228265,-0.88891933274000201) (-0.7598833367199489,0.65005947002974829) (-0.95509953169165418,0.29628514063716138) (-0.68316303092968922,0.73026589210434889) (-0.17647075215186181,-0.98430588418182086) (-0.55718445138055062,-0.83038875663134637) (-0.86589806071545117,0.50022049982904593) (0.75690248410872152,-0.65352783379902579) (0.66983990961263151,0.74250555249785277) (-0.61820663554474442,-0.78601562056262397) (-0.023890705078591812,-0.99971457637209993) (0.023602895886057795,0.99972141284749505) (-0.47223356268837396,-0.88147346089978584) (0.34564755918526718,-0.93836440940035004) (0.81589598033178712,-0.57819871089308994) (0.99128639825763387,-0.13172424465301558)
 (1.0000000000000002,0) (-0.12003824968191734,-0.99276926756084771) (-0.64479856262049839,-0.76435254538893171) (0.97330780710763698,-0.22950362224444973) (0.83356905388555425,0.55241527169724625) (-0.48387435425905473,0.87513748022261195) (0.77788227486287675,-0.62841003051682431) (-0.58511753154731883,0.8109485028508111) (0.46319056955439086,-0.88625870730609968) (-0.079170796833061302,0.99686106601111601) (-0.95671701756817495,-0.2910198417556038) (-0.97679320933196589,0.21418456107515979) (0.3609294452261988,0.93259312434132235) (0.98104051171510243,-0.19380277184233066) (0.22093196393271869,-0.97528922239140559) (-0.75647491659490862,0.65402270645806104) (-0.36997115584915319,0.92904324110325565) (-0.862013605628839,0.5068851385775367) (-0.64088641487101317,0.76763572300524119) (-0.48137230117309515,-0.8765162335423794) (-0.99234307759833218,0.12351200890063985) (-0.99948152724700356,0.032197464061585412) (0.26832493065313373,0.9633284650574756) (0.8310439235103515,0.55620679355480807) (-0.52577970640806515,-0.8506207735115866) (0.68647921322266403,-0.7271494274309741) (-0.75969279723985339,0.6502821340171413) (-0.99678091479534781,-0.080173610993583166) (0.98658903491793759,0.16322400613786539) (0.6122848948924966,-0.7906372161026094) (0.78293307878329599,-0.62210593482694643) (0.57116014547220539,-0.82083864932407347) (-0.64843572268333849,-0.76126940930799059) (-0.68960550151033506,0.7241852334083313) (0.98386995425033685,-0.17888519537245184) (-0.95451090293970442,-0.29817601541577976) (-0.31231308264608526,0.94997923051406707) (-0.7397559181745702,0.67287530904744797) (-0.97899482377147184,-0.20388510251772907) (-0.99541086472735052,0.095693314200885476) (0.60134033654083974,-0.79899299098862564) (0.75104812852583636,0.66024746015250968) (-0.55073515250831639,0.83468005354844854) (0.67478376466823053,-0.73801549505425035) (-0.18541411266764421,-0.98266047382789845) (0.93378035635167167,-0.35784667958742611) (-0.89618932743814839,0.44367182622514928) (-0.055801981503103781,-0.9984418555230582) (0.99681201388105711,-0.079786019968362487) (-0.28967555700315284,0.95712489868089523) (-0.76720339192560449,-0.64140389413991539) (0.278832909911088,-0.96033963177123693) (0.65454832039215172,0.75602016922289317) (0.87075232937575742,-0.49172185317178346) (-0.25847799848848901,0.9660171449293149) (0.75690248410872174,-0.65352783379902568) (0.96363362007311326,-0.26722695647106265) (-0.55896640578381418,-0.82919030216538592) (-0.82687183755736005,0.5623904019935928) (0.8199533984599261,0.57243027903319188) (0.18223246617734856,0.98325547456951479) (0.51378772812523055,0.85791734475292869) (0.60772406199822071,-0.79414826353042112)
