# Created by Octave 5.2.0, Sat Sep 18 22:44:20 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
4.4992118764610122e-13


# name: H
# type: complex matrix
# rows: 64
# columns: 64
 (1,0) (1.0000000000000002,0) (1.0000000000000004,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000004,0) (1,0) (1.0000000000000002,-1.387778780781446e-17) (1.0000000000000002,0) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1,0) (1,0) (1.0000000000000002,0) (1.0000000000000002,-1.7347234759768075e-18) (1,0) (1.0000000000000002,0) (1,-6.9388939039072299e-18) (1.0000000000000004,0) (1.0000000000000002,0) (1,0) (1.0000000000000002,0) (1,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1,0) (1,0) (1.0000000000000002,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1,0) (1.0000000000000002,0) (1,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,-2.775557561562892e-17) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1,2.775557561562892e-17) (1,0) (1.0000000000000002,0) (1,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,-6.9388939039072299e-18) (1.0000000000000002,-5.5511151231257839e-17)
 (0.99999999999999989,0) (-0.98484475988685494,-0.17343817031842526) (-0.61661741536033288,0.78726295675228053) (-0.39342478236535045,-0.91935680811139808) (-0.99907316104444532,-0.043044382684148737) (-0.75935274980957723,0.65067918466524954) (0.65188092302653,0.75832134494162806) (-0.62494540366787121,0.78066845871624746) (-0.89257088472274226,-0.45090710323220823) (0.96712962944161218,0.25428385685318272) (-0.41555844308786527,0.90956647936167401) (0.28379105430290802,0.95888614417856932) (0.31221805204740305,0.95001046729797956) (0.3533178776909176,-0.93550332832330707) (0.09297434098280577,-0.99566850503509086) (-0.51465879923012947,0.85739507834778306) (-0.29238579261985831,-0.95630044874718012) (-0.79530514404288977,-0.60620931027073355) (0.61106440276414209,-0.79158088384858161) (0.32220970079722028,-0.94666832032775139) (-0.62041357845955158,0.78427481896527484) (-0.0051676420335444034,-0.9999866476487641) (0.015890113216204746,0.99987374418072206) (0.9942533618863576,0.10705256829089249) (0.37603282588886805,-0.92660634244215756) (0.92809008582711627,-0.37235573392847876) (-0.98767206134155872,-0.15653721361170259) (0.43548850766879277,-0.90019428996656525) (0.9979941650725741,0.063305975082097371) (-0.96131982575406616,-0.27543455232082326) (-0.51892777270457935,0.8548180898389226) (-0.161793847590047,-0.98682457958950842) (0.95476511623361371,-0.29736101429644946) (0.53132821881447712,0.84716605449665838) (-0.077077854627011277,0.99702507707985866) (0.77736104977728659,-0.62905468624687488) (-0.39774509598777713,0.91749596109066034) (0.99648532128479617,-0.083767562122443281) (-0.99435890319314768,0.10606776909372362) (0.71985455045773827,-0.6941249355737682) (0.67656532332409325,0.73638262016112699) (-0.96175837194317082,-0.27389931361217668) (-0.71114380789215803,0.70304657349043431) (0.93219973185662386,0.36194427737766405) (-0.26308732666078727,-0.96477202413341168) (-0.90398031532745582,0.42757407486945792) (-0.88893346140775686,0.4580363535677317) (-0.097569288151508574,0.99522873451765281) (0.90569938440616327,-0.4239205410053819) (-0.93001643217580388,0.36751793953899697) (-0.0011528058727916235,0.99999933551908871) (-0.95291772518256967,-0.30322897129541782) (-0.53931070794627478,-0.8421068580022889) (0.99853715713454805,-0.054069823577074808) (-0.64327242601652468,0.76563737234203355) (0.54945432852818776,0.83552375242217913) (0.38029684235442218,-0.92486448288127943) (-0.77876628337996545,-0.62731417636663978) (-0.01816225464069772,-0.999835052649369) (0.87529865752531932,0.48358273349487285) (-0.014344704584452445,-0.99989710943195786) (0.99809118100426786,0.061757545300198939) (0.36902603009884805,-0.92941906000979158) (0.71033189529728136,0.70386688977630718)
 (1,0) (-0.82164403037454925,0.57000095381487503) (0.05789938210388279,-0.99832242364478074) (0.8674503890438684,-0.4975236904385989) (0.90951793560569816,0.41566467833044179) (0.12422703562958237,-0.99225382015827313) (-0.80886853009817994,0.58798954158795247) (-0.6852661256965733,0.72829275499129376) (0.35416052475953108,-0.93518464631432741) (-0.99843586735132361,0.05590902240614215) (0.095019300139740304,0.99547543043560605) (-0.80208654524791978,0.59720781469456485) (-0.18364900201319234,0.98299188402527471) (0.74032796038310489,-0.67224587099884225) (-0.94713781015964438,0.32082700722662549) (0.98919908328534745,-0.14657821675620059) (0.85927906956800326,-0.51150706798865153) (0.41347005058569475,0.91051771936007064) (-0.50368871478026001,0.86388522304934123) (-0.97913408327667106,-0.203215272472206) (0.97665398872035936,0.21481849621625554) (0.99319543462209237,-0.11645955798402313) (0.69535315174970336,-0.71866820880831672) (0.63612013455224314,0.77159003001414983) (-0.28409023828678065,-0.9587975471965714) (-0.70104478189257513,-0.71311725107530044) (-0.53592863520137257,0.84426328711557375) (0.17219957001187569,0.98506208336719858) (-0.26374004633235254,-0.96459379427850789) (-0.90541644905031982,0.42452450316690699) (0.043797136695883532,-0.99904044503575662) (0.92193921428765502,-0.38733459070764942) (-0.94748007931614786,-0.31981478905620864) (0.99740008716972328,-0.072062931621101944) (-0.30215868101072824,0.95325764171595173) (0.98260588526508175,0.18570318856289247) (0.86846888567874814,0.49574367833378707) (0.44003233009468606,0.89798193103839385) (-0.56450721242707125,0.82542813564708195) (0.083404609953565245,0.99651576557448052) (0.75159318966122757,-0.65962692277897794) (-0.94786560830869782,-0.31867034469116173) (0.28378794562204207,-0.95888706421539593) (-0.37152387864220293,0.92842339888579606) (-0.6262195850368879,-0.77964673494873871) (0.99664469031761693,0.081849625910575596) (-0.1272766202903019,-0.99186726023570237) (-0.91635802953314549,-0.4003597903263163) (0.90047985774540118,0.43489771877399203) (0.024136502304377805,0.99970867219230986) (-0.91520352475855149,-0.40299194566333968) (-0.45430735607057809,-0.89084500684471535) (0.86359938544267645,0.50417864042721172) (-0.98621143157479108,-0.16549021793206231) (0.13573783357304908,0.99074479081996447) (-0.78767335192904908,0.61609308603558954) (0.56330126301985883,-0.82625158824672362) (-0.2834503495702233,0.95898691301212202) (0.12059612613826493,0.99270165425491474) (-0.29001899901247463,-0.95702088807496888) (-0.28636293396700485,-0.95812121887045609) (-0.66938081425469875,-0.74291946098330019) (-0.33449466836516556,-0.94239764263037007) (0.3690260300988481,-0.92941906000979169)
 (1,-5.5511151231257827e-17) (-0.20223661077753041,-0.97933669044982552) (0.94922626769360074,-0.31459417146615526) (-0.66267343111240296,-0.74890848819980427) (-0.75499396395366902,-0.65573173965694698) (-0.61135040528201723,-0.79136002044677112) (0.82117917306132526,0.57067045282747708) (0.94556486698064368,-0.32543368346235652) (0.66388868729082917,0.74783140538978432) (0.9710609804563104,0.23883168180798126) (0.99998572954567244,-0.0053423501392330097) (-0.68955117366643748,-0.72423696322076725) (0.23312804545053917,-0.97244604705063864) (-0.16706473263887855,0.9859459290997149) (0.52158365061250889,-0.85320014967985558) (0.98658966605759579,-0.16322019123981091) (0.68091150571213344,-0.7323657019473504) (-0.26057050150586514,-0.96545482221851397) (0.14629128300759109,0.98924155822326476) (-0.4599734355577928,0.8879326768292517) (0.87951719269879602,0.47586711143682647) (0.9861505494238092,-0.16585262696478414) (-0.87246313291038513,0.48867993790639308) (0.87844008310093091,0.47785250904607551) (0.63027633199319599,0.77637088129913989) (0.49968235410146022,-0.86620871907388708) (-0.54228772927802149,0.84019284612194101) (-0.59577263310167661,0.8031531420887893) (-0.88342482199966776,0.46857292268637823) (-0.93383194874341191,0.35771202315002143) (0.96355683328218311,-0.26750369910565824) (-0.47648989670068148,-0.87917994650820785) (0.88083688766804447,0.47341987423773496) (0.81815895710445286,-0.57499210508471732) (-0.93126310577894644,0.36434739990145476) (-0.73077409858012232,0.68261937918902471) (-0.97635694229889036,-0.21616456977211063) (-0.056833584438129137,0.99838366557146485) (0.58989848468367967,-0.80747741625874503) (-0.85495703790258137,0.51869881756260439) (-0.93367844878953143,-0.35811248828541958) (-0.73171732589148397,-0.68160821223795209) (0.74015916225434242,0.67243171737430019) (0.96101838706737563,0.27648446560054596) (0.26049212967860541,0.96547597089492831) (-0.074264728179806505,0.99723856230511831) (-0.69742959041313046,-0.71665330977828667) (0.39664475888510958,0.91797218653343404) (-0.39293498144235006,-0.91956625664434855) (-0.29969691793048719,-0.95403446341469644) (-0.39029032822131277,-0.9206918375313744) (-0.33810458047775638,0.94110854456856419) (-0.98852730562723345,-0.15104226570520213) (-0.096224425061545882,0.99535966365006745) (0.88371317683175821,0.46802886779975511) (-0.88930813371883155,-0.45730847718091711) (-0.79510442031700546,0.60647255567944602) (-0.62277286171039059,-0.78240268578082728) (0.1085198694874262,0.99409428020003854) (-0.99998264207743159,-0.0058919898030139195) (-0.63387473125699034,-0.77343572782350711) (0.82159522646290584,-0.57007129716673699) (-0.66938081425469875,-0.74291946098330008) (0.99809118100426808,0.061757545300198724)
 (1,0) (-0.99367598516155908,-0.11228551337196041) (0.92144966401249184,0.38849776922302309) (-0.70765925736483104,-0.7065538730103007) (0.67659019590102354,0.73635976724058894) (0.99848105822715172,-0.055096064846660908) (0.14070293240812187,-0.99005185965774323) (-0.93930084621479359,0.34309462295432702) (-0.99722510517334595,-0.074445212149668039) (0.50613417301911079,0.86245475179991926) (-0.57116328325776022,0.82083646596518578) (0.34748221176679411,0.93768657477093975) (0.41741920069447425,-0.9087140424201593) (-0.86046657709348184,-0.50950688877092498) (0.98023237258118379,0.19784967966580713) (0.51694437859612552,0.85601898894701189) (-0.49902327244979466,-0.86658858378904169) (-0.97313921229770028,0.23021744827143492) (-0.94539412322820426,-0.32592936622153923) (0.99287460068924571,0.11916386745222091) (-0.46652502877961821,-0.88450799743257047) (0.41594810479906841,-0.9093883516485477) (0.24188706811321564,0.97030440907974469) (-0.89377005985941893,0.44852545089313617) (0.73245618677737845,-0.68081417027816227) (0.90237620048850031,0.43094917657647097) (-0.57991049519989823,0.81468019342378084) (0.57192837090584903,0.82030356487886968) (-0.59701798052716359,0.80222785474406588) (0.9636561521792526,-0.26714569127552135) (0.11770909599992407,-0.99304812004196452) (-0.47512530581223189,-0.87991814606634478) (-0.75809187746763884,-0.65214776340764269) (0.12843944464257756,0.99171735341270795) (0.56235990972229422,0.82689257581449693) (-0.44011879035561313,0.89793955830885974) (-0.3931730749973294,-0.91946448169417849) (-0.99739314395813017,-0.072158966077108699) (-0.11097127835516013,-0.99382361381696938) (-0.19677481414239323,-0.98044870978507914) (-0.97577009669648773,-0.21879835098310932) (0.83542334969391097,0.54960697483402188) (0.99581577669349275,-0.091383471636484581) (0.50099765792828932,0.86544863900197444) (-0.047865405668955585,-0.99885379457663659) (-0.6940764557127157,-0.71990129436282679) (-0.44685672347714411,-0.89460553803521203) (0.74124261083249721,-0.67123720984926294) (0.78792101255197267,0.61577632138551186) (0.74594776489842363,0.66600445347088089) (0.93411697274785133,-0.35696705901860132) (0.15404854652155842,0.98806328001530042) (0.95923513676489913,-0.28260918667945822) (-0.99936177017646832,-0.035721874387481756) (-0.74294195396275153,-0.66935584933726244) (0.15581149877446365,0.98778680738793756) (-0.71964205199571296,0.69434524337637704) (0.99937652980479663,-0.03530653870492334) (-0.73015887697644222,0.68327740660181491) (-0.3280252380334443,0.94466895959013186) (0.070192275468696885,0.99753348037272693) (-0.63387473125699012,-0.773435727823507) (-0.28636293396700485,-0.95812121887045609) (-0.014344704584452583,-0.99989710943195798)
 (1,-5.5511151231257827e-17) (0.1875476323086841,-0.98225550933319106) (0.70291642132418086,0.71127245457194976) (0.99995957128219137,0.0089919853834600216) (-0.74598948925079112,0.66595771782249302) (0.13314434513736018,-0.99109665691997151) (-0.73111538001785092,0.6822538391986912) (-0.73832143843967302,0.67444899995505359) (-0.13153475763107281,0.99131155926627534) (0.33910606142969019,-0.94074814860388789) (-0.087681889254401235,-0.99614852622326322) (0.3283178321080053,-0.94456730894092411) (-0.61158815057143734,-0.79117629772422393) (0.7215676797557613,-0.69234390553531089) (-0.80086046356820606,-0.59885099807324216) (-0.72887527590410928,-0.68464650161649643) (0.73499073910597612,0.67807714415724862) (-0.98977017789497812,-0.14267093239249012) (-0.90498638106071627,-0.42544053649673119) (-0.78108015388780316,-0.62443077534872105) (-0.69450630140367375,-0.71948662066128066) (-0.45838789579696876,-0.8887522359954021) (-0.41454207117783742,0.91003014852453545) (-0.99248094994322433,0.12239919934295135) (-0.99787142002267881,0.065212185225796138) (0.89838320435261088,0.43921249770143767) (0.57865064522819354,-0.81557552119775822) (-0.88362307042960875,0.46819896348085982) (-0.86221946220328505,0.50653489415624398) (0.59529331975957156,0.80350847129923109) (-0.95838345376559131,-0.28548407231986772) (-0.030175779699661176,-0.99954460746858009) (0.70902007738194794,-0.70518829391113391) (0.9864853411036798,0.16384954008954772) (-0.037287008434891356,-0.99930459770881486) (-0.30274163926919206,0.95307266242013366) (0.7701868291388243,-0.63781835048944946) (0.88993180322451571,-0.45609361496250134) (0.019699461265384244,0.99980594678460144) (0.64935625536178976,-0.76048435462047037) (0.79970904933328402,0.60038773839449455) (-0.49024695619408593,0.87158357140462128) (-0.18240664840622167,-0.9832231764036119) (-0.28900449340586465,0.95732774053153835) (0.70087739072196298,0.71328176983207248) (-0.88913444312762735,0.45764608819930153) (-0.33557951077342157,0.94201188524830726) (0.34400480377421455,0.9389678881518071) (0.91652380087804097,0.39998015253768265) (0.29683570016016048,-0.95492856649616853) (-0.73553685717043926,-0.67748470960150264) (-0.042581596544237099,-0.99909299248655703) (0.65178644667293151,0.75840255005733725) (0.32050645676852368,0.94724633077657616) (0.73247946934451058,0.68078912079202769) (0.98625763975737757,0.16521461200573778) (-0.24547872497612527,0.96940197832689379) (0.074994410419199742,0.99718395414581207) (0.99923444353922808,-0.03912194837746702) (-0.23104676881409575,-0.97294264508272332) (-0.3280252380334443,0.94466895959013175) (-0.99998264207743159,-0.005891989803014086) (-0.29001899901247452,-0.95702088807496866) (0.87529865752531921,0.48358273349487269)
 (1,1.3877787807814457e-17) (-0.94590500069474359,0.32444372341082189) (0.93993366043410098,0.34135716483318912) (-0.11751809437850325,-0.99307074143469087) (-0.89927227130724641,0.4373892797702138) (-0.362736163955171,-0.93189187965079279) (0.47021271814277144,-0.88255311437713901) (-0.54846101814686277,-0.83617612473288605) (0.71289391328584695,-0.70127189334807372) (0.1154609921477231,0.9933120150749527) (0.96382957689538873,0.26651931768946324) (0.63693276523420916,-0.77091935542643153) (0.88339045502988933,-0.46863771077676425) (-0.6954903184969069,0.71853546668001855) (-0.92321594147376629,-0.38428157047757078) (0.62718367443525269,-0.77887138766416075) (0.047327683246442639,0.99887941734652053) (-0.6281013078346952,-0.77813157441164504) (-0.29152501716258783,0.95656320458626876) (-0.25975463359212214,0.96567465034939248) (0.74392799059986481,-0.66825978840720923) (-0.28897109678492106,0.9573378218909564) (0.54298006939509735,-0.83974558304268276) (-0.029949907488479158,0.99955140090013972) (0.2395856087680005,0.97087524227949507) (-0.58042343076189429,0.81431482918008713) (-0.99426361248663009,-0.10695732272751078) (-0.84570532089759642,-0.53365017586944963) (-0.59891853947029083,0.8008099544078946) (0.72699375615021211,-0.68664406974691516) (-0.82715073439898068,0.56198012650201978) (0.36882070456531846,0.92950055830211453) (-0.74253763579220811,-0.66980434414246537) (0.96193396656919572,-0.27328198616164423) (0.25997586198319222,0.96561511545030054) (-0.93991302713455893,-0.34141397367821669) (-0.977636740167108,-0.21030074720607034) (0.28645518545897836,-0.95809364193885693) (-0.46725610296073156,0.8841220132119495) (0.96129033639586325,0.27553745507993765) (0.85714572966476454,-0.51507397344212558) (-0.91443456531047551,-0.40473377146643369) (-0.69760027001074953,-0.71648716895763731) (-0.31250040889376873,-0.94991762508189503) (0.88801910927445804,-0.45980654797795056) (-0.98841242847964794,0.1517921975167551) (0.11466935102624067,-0.99340371447625475) (-0.99790133413017934,0.06475281724534096) (0.96185155034163738,0.27357191943872577) (-0.8917553245909331,0.45251789032448253) (0.97962448961353488,-0.20083789321097031) (0.85373817096304294,0.52070254026716523) (-0.43842024061953905,0.89877009997835677) (0.95473780895664673,0.29744867817601928) (-0.99126868157376224,0.13185750236909127) (0.33123753038744813,0.94354740128030856) (0.05132701781249948,-0.99868189992733747) (0.40901083539637384,-0.91252952638715257) (0.82647934927328515,-0.5629670374229816) (0.9992344435392283,-0.039121948377467047) (-0.73015887697644222,0.6832774066018148) (0.10851986948742598,0.99409428020003854) (0.12059612613826494,0.99270165425491452) (-0.018162254640697914,-0.99983505264936912)
 (1,0) (0.19129656346235493,-0.98153228413918869) (0.93862349162047465,0.34494338807721681) (0.99928452470154028,-0.03782114080799226) (-0.99840038111354923,0.056539181036869252) (0.90988581307277527,0.41485877979005681) (0.87386741645692745,0.48616431219793926) (-0.92565256961628406,0.37837457679232461) (-0.99553083273620224,0.094437074666488818) (0.48110054818157122,0.87666542223324406) (0.32498971551160427,-0.94571755022928849) (-0.9999999804462828,-0.00019775599777058228) (-0.38125122715567139,0.92447147159460585) (0.99412295850684362,-0.10825683982825615) (-0.77097720115459223,0.63686274447468849) (0.57907521352584357,0.8152741238871738) (0.3888422043190507,-0.92130436889244294) (0.81265448847332833,0.58274581282421334) (-0.0035429263577221315,-0.99999372381671625) (-0.59883585597386368,0.80087178599326925) (0.81353257613596541,-0.58151934410265294) (0.75254935685717173,-0.65853584981674107) (0.29114587151705829,-0.9566786720203253) (0.76522652705340533,0.64376110654013907) (-0.42016650150663881,0.90744702931447885) (-0.82231905860539489,0.56902668290189939) (0.70057347038014184,0.71358027761389631) (-0.83869900553225674,-0.54459524246838997) (0.60073680911514615,-0.79944686263325371) (0.59030883301265091,0.80717747841924015) (-0.98141340972973035,0.1919054954988636) (-0.737711071234043,0.67511656428999045) (-0.78906911804325275,0.61430442530592511) (0.98163583334025417,0.19076449015051139) (-0.98357663802969353,0.18049098903326249) (-0.60169841132814639,0.7987233700131634) (0.71397169140558825,0.70017456671279055) (0.1456599365622919,-0.98933471731293787) (-0.97958282712809797,-0.20104100277237466) (-0.96565191321908206,0.25983914735144642) (-0.90227622188585854,0.431158462075584) (-0.24302742617209452,-0.97001941739749098) (0.33802878179608686,0.94113577271159676) (0.92735073038348559,-0.37419329611474483) (-0.53616032600021124,-0.84411616784856547) (-0.78420976791506369,-0.62049580168330121) (0.57286985587616668,0.81964634338745201) (-0.2287662774169576,0.9734813764611977) (-0.46568154276347562,-0.88495237201186616) (-0.080982075475094728,-0.99671555794607092) (0.90032928720753191,-0.43520934571350484) (0.12371167975279385,-0.99231820516039226) (0.9999928502689428,-0.003781456200363742) (-0.91394026984919441,-0.40584871953473256) (-0.52426270269376285,-0.85155658565020187) (0.76754732302617401,-0.64099228303884803) (-0.070606842171124368,0.99750422246656256) (-0.73331425122961957,-0.67988985059606777) (0.40901083539637395,-0.91252952638715246) (0.074994410419199686,0.99718395414581218) (0.99937652980479674,-0.035306538704923313) (-0.62277286171039048,-0.78240268578082739) (-0.2834503495702233,0.95898691301212191) (-0.77876628337996545,-0.62731417636663966)
 (1.0000000000000002,5.5511151231257827e-17) (0.87576411632716056,-0.48273928010232209) (-0.98405388024442175,-0.17787062932338615) (0.66707448965416183,0.74499102360541303) (0.78203492683206077,-0.62323460527699692) (-0.12730250263175319,0.99186393866482181) (-0.81940610434105043,-0.57321342985717294) (0.48350727534263516,-0.87534034220452894) (-0.82626169456819243,0.56328643875855899) (0.87001161623380929,-0.49303122377617781) (0.73069797642882084,-0.68270086219575543) (-0.80516413926160846,0.59305202878593533) (0.83899233464645806,0.54414323702908185) (-0.99725102562168833,-0.074097178735036295) (0.6392020203140486,0.76903886587508641) (0.73652071056748936,0.67641499311085718) (0.02161618338108201,0.99976634301022371) (0.36400149991253156,-0.93139836163771972) (-0.56580431536768472,0.82453955436431614) (0.93813920263019401,-0.3462583377889738) (0.8061280095421639,0.59174118686431565) (0.96458415210584625,0.26377530875016708) (-0.98755425702548671,-0.15727869986377518) (0.27194833829104298,0.96231185241622252) (-0.39568606344510499,0.91838583351188385) (-0.5859215403840885,-0.81036778595520342) (-0.43005948231380586,0.90280055475834897) (-0.53716869094219621,0.8434748351145096) (0.9992456352877046,-0.038835040343379146) (0.24290998853894857,-0.97004883251721319) (0.7221126934535379,-0.69177543896359717) (-0.85920363853261217,-0.51163376308871711) (-0.14978755317786979,-0.9887182050073654) (0.94637397782251664,-0.32307320238668291) (-0.39769597462092426,-0.91751725420850483) (0.030869666567930609,-0.99952341827792324) (0.92992624367876053,0.36774608266779857) (-0.99990647748815786,-0.013676120693589977) (-0.59574046821763404,-0.80317700074630805) (0.32206857325550076,-0.94671634300943897) (0.9935943855912035,-0.11300529598934922) (-0.66266038004473604,0.7489200362648657) (-0.99123980750213458,0.13207438821789674) (-0.6072291016836997,-0.79452678876700478) (0.97063273034642172,0.24056621288171698) (-0.99339564805012548,0.11473921053881719) (-0.88490340018492475,0.46577459391980597) (0.37130916008410891,-0.92850929324247233) (-0.77395242600601277,-0.63324374634054381) (-0.99948953452545486,-0.031947932234972942) (-0.7262002838859829,0.68748319811026537) (0.68200839926127377,-0.73134433978603774) (0.43235945895199246,-0.90170133539589492) (-0.74117506690437707,0.67131179060053248) (-0.42464745036841073,0.90535879235560968) (0.23854111598636937,0.97113239879224333) (0.83259294257755168,0.55388535995281107) (-0.07060684217112434,0.99750422246656278) (0.051327017812499431,-0.99868189992733747) (-0.24547872497612533,0.96940197832689412) (-0.71964205199571307,0.69434524337637726) (-0.79510442031700568,0.60647255567944613) (0.56330126301985883,-0.82625158824672362) (0.38029684235442207,-0.92486448288127987)
 (1,0) (-0.21412654869084413,-0.97680592808691891) (-0.97378973933913249,0.22745009025679364) (-0.81639887876978545,0.57748841611190527) (0.47367755514167076,-0.88069834435804939) (-0.97993295325233709,0.19932738680410506) (-0.82631358017086221,-0.56321032237097002) (0.62523281179864998,0.78043829419778787) (-0.83518833429916883,-0.5499640408704729) (-0.66788840682160744,-0.74426142989764998) (-0.88831611688240408,0.45923248631490265) (-0.14100959275497887,0.99000822963805457) (0.22632980147470916,-0.97405072812683557) (0.85441847734459708,0.51958547475092143) (-0.97527301995594651,0.22100347632109285) (-0.51667920318368288,-0.85617907063737153) (0.99842981946360121,0.056016922495621124) (0.97144473612734772,0.23726593655741612) (0.59707339540515214,-0.80218661201703068) (-0.51358173293683929,0.85804067712060783) (-0.99723158414013491,0.07435837271858442) (0.97182742567105573,0.2356935610354412) (-0.99034479263453634,0.13862608593499237) (-0.12459999977277209,-0.99220705503268058) (0.27637792063984479,0.96104903359963711) (-0.93417784164833817,0.35680773558494056) (-0.65323257895193199,0.75715731377026763) (-0.48382696017750138,0.87516368332181105) (-0.97126474244617511,-0.23800168083642792) (-0.14935935778906212,-0.98878298035556744) (-0.39019509321394319,0.9207322027776379) (0.2514964327967843,-0.96785822530497367) (-0.15434006067563572,-0.98801778611047308) (0.89149669296013578,0.45302720276065067) (-0.80093695146122179,0.59874869501653505) (0.091211265445087786,-0.99583156460111499) (-0.049794598953400937,0.99875947951199384) (0.09724505174157555,0.99526046837588145) (0.46417977376051189,0.88574101047181908) (-0.2228253572375003,-0.97485837954647547) (0.72103291932747549,0.69290080765294104) (-0.22400246893730552,-0.97458857673891897) (0.90242795633064987,-0.4308407868724673) (-0.15163867064035819,-0.9884359936619187) (-0.96590242682967309,-0.25890635728878614) (-0.55550946927339373,-0.8315102101282893) (0.83099537943255253,0.55627931775480099) (0.71308872530130107,-0.7010737977190179) (0.90154539545812007,-0.43268452702663363) (0.080631174380300596,0.99674400611092384) (0.93694556902887371,-0.34947532198591447) (0.74468017354060589,0.66742148537152512) (-0.20770703755400066,-0.97819107875227496) (0.99999581129154125,0.002894373744274148) (0.91007566416002339,-0.41444213770282906) (-0.50833977943983422,-0.86115658775803361) (0.23854111598636935,0.97113239879224311) (0.76754732302617379,-0.64099228303884803) (0.33123753038744813,0.94354740128030845) (0.98625763975737768,0.16521461200573784) (0.15581149877446354,0.98778680738793745) (-0.88930813371883133,-0.45730847718091705) (-0.78767335192904897,0.61609308603558954) (0.54945432852818799,0.83552375242217902)
