# Created by Octave 5.1.0, Fri Sep 17 15:04:25 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
2.2520607516757841e-14


# name: H
# type: complex matrix
# rows: 16
# columns: 16
 (1,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,-2.775557561562892e-17) (1.0000000000000002,0) (1.0000000000000004,-5.5511151231257839e-17) (1,0) (1,0) (1.0000000000000002,0) (1.0000000000000002,0)
 (1,0) (0.46120171687793093,0.88729531518477467) (-0.96639148334839442,-0.25707489358490426) (-0.16665861785536207,0.98601465764690355) (0.93195336170651721,-0.36257817309363993) (-0.99097470921811981,-0.13404896750837952) (-0.99064008322856012,0.13649991025971997) (0.77746143720309135,-0.6289306111663695) (-0.033271424782959802,-0.9994463528838915) (0.37716106119626813,-0.92614768472274678) (-0.78274495659221077,-0.62234261699602256) (0.24187514819187461,0.9703073805177197) (-0.24960793205000859,-0.9683469833988837) (-0.68433549087406598,0.72916728939945707) (0.093981880283564911,0.99557390794373746) (0.98099009249043356,0.19405782240252634)
 (1,5.5511151231257827e-17) (0.62462091158954891,0.78092811244380311) (-0.40287131787749964,-0.9152566313508177) (0.23005786055425353,-0.97317695245890401) (0.38839557337381647,0.92149274472652509) (-0.9081820818500087,0.41857532919008011) (0.98050705443219743,-0.19648388282171042) (-0.52982572013902529,0.84810654182075673) (-0.78873683029865249,-0.614731008271451) (-0.9875196132957087,-0.1574960740980369) (-0.75990315047679524,0.650036308136277) (0.23005786055425309,-0.97317695245890423) (0.7700542210206569,-0.63797844531635151) (0.95351011372379824,0.30136101776180296) (-0.89414676159439965,-0.44777401524680749) (0.093981880283564911,0.99557390794373746)
 (1,0) (0.92671266898087312,-0.37577071353465952) (-0.94906822521179979,0.31507063318139472) (-0.1524938638467061,-0.98830441741859199) (-0.99899777131017931,0.044759947690932084) (-0.9855313669589878,0.16949314068701746) (-0.45705620634615224,-0.88943781358814733) (-0.70599477122159371,-0.70821704512654127) (0.58041504179168579,-0.81432080856500044) (0.41496251850127941,0.90983850668076005) (0.79802294574622112,-0.6026270638317901) (-0.65409606987049229,0.75641148284513526) (-0.073915100075204923,0.99726453761320133) (0.98786557697132449,0.15531130620502953) (0.95351011372379835,0.30136101776180269) (-0.68433549087406587,0.72916728939945707)
 (1,0) (0.33137001655849818,-0.94350088082948835) (0.7700542210206569,0.63797844531635206) (-0.61628228997980561,0.78752532597831226) (-0.28880685794868061,0.95738738178535154) (-0.61628228997980539,-0.78752532597831215) (-0.87281205752545521,-0.4880564641905501) (0.33137001655849785,0.94350088082948846) (1,2.7755575615628914e-17) (-0.24960793205000903,0.96834698339888381) (-0.87281205752545499,0.48805646419055015) (-0.073915100075205326,-0.99726453761320166) (-0.28880685794868033,-0.95738738178535143) (-0.073915100075204923,0.99726453761320155) (0.7700542210206569,-0.63797844531635162) (-0.2496079320500085,-0.96834698339888381)
 (1,0) (-0.97432934865095266,0.22512734253619859) (-0.65996454606255261,-0.75129674426317639) (-0.4432408665504064,-0.89640255143526049) (-0.85499470052157012,-0.5186367342177286) (0.77775540599859194,0.62856704371130134) (-0.85322143467161116,0.52154883128707874) (0.081868274985975598,-0.99664315858326158) (0.11847852877888743,0.99295661446932837) (0.80268992414814533,0.59639658422147634) (0.38435924215986972,0.92318360739686611) (0.87667768158519255,-0.48107820841357152) (-0.073915100075205353,-0.99726453761320133) (-0.65409606987049218,0.75641148284513526) (0.23005786055425304,-0.97317695245890401) (0.24187514819187456,0.97030738051771936)
 (1,0) (0.97250242663877984,-0.23289274394382664) (0.27368124387495235,-0.96182044933088173) (-0.30413828879099503,-0.95262789235424195) (-0.83318945342000594,0.55298764426492553) (0.79802294574622101,-0.60262706383178966) (-0.70829497725921919,0.7059165851496636) (0.83302004228296833,0.55324281211316362) (-0.28880685794868033,0.95738738178535177) (0.49015667741986413,-0.87163434511308646) (-0.99987578185551462,0.015761372364841236) (0.38435924215986977,0.92318360739686611) (-0.87281205752545488,0.4880564641905501) (0.79802294574622101,-0.6026270638317901) (-0.75990315047679502,0.65003630813627722) (-0.78274495659221066,-0.62234261699602256)
 (0.99999999999999989,-1.3877787807814457e-17) (-0.91320500635827251,-0.40750044952390813) (0.79802294574622124,-0.60262706383178921) (-0.97432934865095255,0.22512734253619815) (0.97611567242056441,0.21725145351630981) (-0.4327782152765266,0.90150042505928085) (0.11509234624631122,-0.99335479655333581) (-0.53527137837760119,-0.84468014744620479) (0.118478528778887,0.99295661446932837) (-0.9999681804484698,-0.0079773485931292631) (0.49015667741986402,-0.87163434511308646) (0.80268992414814533,0.59639658422147646) (-0.24960793205000897,0.96834698339888359) (0.4149625185012793,0.90983850668075994) (-0.98751961329570859,-0.15749607409803665) (0.37716106119626819,-0.92614768472274678)
 (0.99999999999999989,5.5511151231257827e-17) (-0.64781917286049784,0.76179414494621867) (-0.28880685794868072,0.95738738178535165) (-0.64781917286049817,0.76179414494621844) (-0.83318119760362142,-0.55300008314628246) (-0.03327142478295958,-0.99944635288389116) (0.99710699554902593,-0.07601078493999891) (0.58041504179168579,-0.81432080856499989) (-0.8331811976036213,-0.55300008314628246) (0.11847852877888693,0.99295661446932837) (-0.28880685794868038,0.95738738178535165) (0.11847852877888732,0.99295661446932848) (0.99999999999999978,5.5511151231257827e-17) (0.58041504179168579,-0.81432080856500022) (-0.7887368302986526,-0.61473100827145077) (-0.033271424782959802,-0.99944635288389139)
 (1,-5.5511151231257827e-17) (-0.9021489049252619,0.43142479453799443) (0.54199265426826893,0.84038322372548391) (0.47388538680578213,-0.88058653190469249) (-0.93342129680519992,-0.35878222178711544) (-0.68433549087406575,0.72916728939945685) (-0.99064008322856001,0.13649991025971986) (0.66162479167503785,0.74983507189312126) (0.58041504179168601,-0.81432080856500022) (-0.53527137837760153,-0.8446801474462049) (0.83302004228296855,0.55324281211316362) (0.081868274985975542,-0.99664315858326202) (0.33137001655849796,0.94350088082948835) (-0.70599477122159382,-0.70821704512654127) (-0.52982572013902507,0.84810654182075695) (0.77746143720309135,-0.62893061116636984)
