# Created by Octave 5.1.0, Fri Sep 17 15:06:39 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
3.9771090631664867e-14


# name: H
# type: complex matrix
# rows: 19
# columns: 19
 (1,0) (1.0000000000000002,0) (1,0) (1,0) (0.99999999999999978,1.1102230246251565e-16) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999989,2.7755575615628914e-17) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,0) (1,1.7347234759768071e-18) (0.99999999999999989,0) (1,0) (1,0) (1,0)
 (1,0) (-0.80342226835068908,-0.59540965621850062) (0.16467375113413352,-0.98634809052758499) (-0.82420158195414217,-0.56629652330231495) (-0.29248628181271752,0.95626971872551247) (-0.94263143947875294,-0.33383524275638399) (0.28911766573890046,-0.95729356801228394) (0.92584146452660587,-0.3779121360359165) (-0.29831870726811693,0.95446631626992395) (0.10320495159918588,-0.99466011177960179) (0.99704208765061564,-0.076857500956649338) (0.78954745559231287,0.61368951055701104) (-0.23685204229350235,0.97154573235715314) (-0.44843530572516277,0.89381529220481537) (0.533664519606591,0.84569626965776934) (-0.92502460779983264,-0.37990719256782279) (-0.8058337301031071,-0.59214187440858479) (-0.15796054095822626,0.98744542507430988) (0.93207460989590418,-0.36226636828085168)
 (1,0) (-0.53315260355702465,-0.84601909039948187) (-0.92226555352007822,0.38655691533111142) (-0.90785142018761267,0.41929202098696722) (0.95496136072763926,-0.2967301796535291) (0.84570953859525511,-0.5336434917892291) (-0.84382546233662881,0.53661773089637588) (0.27295480346307571,-0.96202685787166786) (-0.2822021540685905,0.95935496258634489) (0.71300755865190757,0.7011563458353971) (0.38679538747186304,-0.92216556443541742) (0.57802499911456806,0.81601905639427541) (-0.95526301053508389,0.29575763845325864) (-0.47587589212082021,-0.87951244180978716) (-0.9630244584892107,-0.26941397950285234) (0.19618563219643587,-0.9805667737179784) (0.17576997833083741,0.98443126459777641) (0.91801183722169299,-0.39655298097587466) (-0.15796054095822637,0.9874454250743101)
 (0.99999999999999989,2.7755575615628914e-17) (-0.46102552495146604,0.88738687467373822) (0.5273854233157127,0.84962616207018149) (0.046468441490667756,-0.99891975851187764) (-0.95695770414792902,0.29022741509362004) (0.11923802411233209,0.99286569766801114) (-0.90970515420059495,0.41525478013006867) (0.89684682192293486,0.44234124610613845) (0.4084623893998503,-0.91277515108911911) (0.22880789460437412,-0.97347159556235296) (0.51538744197688779,-0.85695728286334083) (-0.62219405594953114,-0.78286305107666876) (0.51053496625832817,0.85985699289335726) (-0.99998114702319307,-0.0061404884316182962) (-0.9382415909209485,-0.34598080447638679) (0.48280548860187572,-0.8757276175706139) (0.78223203728296886,0.62298719075767173) (0.17576997833083727,0.98443126459777597) (-0.8058337301031071,-0.5921418744085849)
 (1,0) (0.99999175322712985,0.0040612162871889179) (-0.99994099228463906,-0.01086333046588811) (0.55405638065049179,0.83247914512045162) (-0.95812848864026323,0.28633860943981043) (-0.83215746431574222,0.55453940760201559) (-0.8960828627256241,0.44388681342145181) (0.12102171848729365,-0.99264985954483587) (0.12707943416102324,-0.991892543279419) (0.99400471017338554,-0.10933725875987671) (0.46159703878507929,0.88708972138383257) (-0.53834380028533713,0.84272531271722251) (-0.48351363969193717,0.87533682673120505) (0.76193090296797839,-0.64765831971989729) (0.92855523677766194,0.37119425137356349) (-0.99403644028497906,-0.10904840845040975) (0.48280548860187583,-0.87572761757061424) (0.19618563219643576,-0.98056677371797818) (-0.92502460779983298,-0.37990719256782285)
 (1,-5.5511151231257827e-17) (0.96938577960049199,0.24554268530816969) (0.21843211664091972,0.97585214577812351) (-0.97520008414967108,-0.22132509092842395) (0.77751033219025389,-0.62887016413358421) (-0.94284470754788485,0.33323243757015014) (-0.63205352509855817,-0.77492473273892026) (0.32747370434665135,-0.94486029282718964) (-0.99940307668412587,-0.034546929158797757) (0.98740463590610394,-0.15821531212602391) (-0.83854693044207562,0.54482937278213384) (-0.20725240011754981,-0.97828750510548512) (0.91394361742259944,0.40584118097168653) (0.83647232189164167,0.54800917392796111) (-0.99627549093289081,0.086227293628105883) (0.92855523677766194,0.37119425137356349) (-0.9382415909209485,-0.34598080447638691) (-0.96302445848921048,-0.26941397950285217) (0.53366451960659111,0.84569626965776967)
 (1,0) (-0.93229368406280888,0.36170220714918933) (-0.55998011799493397,-0.82850604551227014) (-0.58596511049103728,-0.81033628160611593) (-0.46874516971859292,-0.883333439798068) (-0.22134933853511723,0.97519458075302401) (0.86955149564518286,0.49384227889198151) (-0.87332351925001728,0.48714066831333747) (0.93185310482122574,-0.36283576316984195) (0.76428100255985587,0.64488336086931386) (0.32130904008171512,-0.94697439287541818) (-0.60316821249412644,0.79761400905239888) (0.55908905062840208,-0.82910761271829592) (0.12463057881980871,0.99220321447929161) (0.83647232189164167,0.54800917392796111) (0.76193090296797839,-0.64765831971989707) (-0.99998114702319307,-0.0061404884316182407) (-0.47587589212082015,-0.87951244180978683) (-0.44843530572516288,0.89381529220481537)
 (1,0) (-0.17190334532026283,0.98511382076778453) (0.78402044839822316,-0.62073499699424783) (0.89721683886428993,-0.44159024452355311) (-0.71334432136454717,-0.700813726447302) (0.81820503682050982,-0.57492653245571179) (0.051466190017508018,-0.99867473748217073) (-0.32976177050758093,-0.94406417933936349) (-0.78326495204011715,0.62168803664345473) (-0.74321447837355348,0.66905324088291163) (0.15825516764656222,-0.98739824889107375) (-0.86641322620936645,-0.4993276694210701) (-0.40920052972047194,0.91244447857197619) (0.55908905062840231,-0.82910761271829603) (0.91394361742259977,0.40584118097168659) (-0.48351363969193706,0.87533682673120505) (0.51053496625832817,0.85985699289335749) (-0.95526301053508389,0.29575763845325853) (-0.23685204229350248,0.97154573235715325)
 (1,0) (-0.38817550542038481,0.92158546917343942) (0.098902326552344266,-0.99509714591216314) (0.30200843718547637,0.95330525219825879) (0.92118986254627944,-0.38911339882091733) (0.76932409157297577,-0.63885870278600387) (-0.84813902231234106,0.52977372417954649) (-0.83909677569337471,0.54398216976384661) (-0.26889439229332646,-0.96316966615088218) (0.69193438028264809,-0.72196039599334538) (0.86692121638377539,0.49844518714064795) (-0.83617537845504175,-0.54846215591011105) (-0.86641322620936634,-0.49932766942106993) (-0.60316821249412622,0.79761400905239876) (-0.20725240011754997,-0.97828750510548523) (-0.53834380028533702,0.84272531271722251) (-0.62219405594953148,-0.78286305107666898) (0.57802499911456784,0.81601905639427508) (0.7895474555923131,0.61368951055701115)
 (1,0) (-0.99973666824814156,0.022947639532327035) (0.99533332957450094,-0.096496440546467221) (-0.040333710200960993,0.99918626482824768) (-0.78338797986242548,0.62153300234747599) (-0.75178942546445204,0.65940326034971153) (-0.87256753481158367,-0.4884934975952458) (0.035795029424727509,0.99935915259154107) (-0.80339200426173263,-0.59545049121511062) (-0.67518488506624585,0.73764854163624627) (0.026503399361889612,-0.999648723213442) (0.86692121638377528,0.49844518714064789) (0.15825516764656214,-0.98739824889107364) (0.32130904008171518,-0.9469743928754184) (-0.83854693044207551,0.54482937278213384) (0.46159703878507924,0.88708972138383257) (0.51538744197688791,-0.85695728286334094) (0.38679538747186304,-0.92216556443541731) (0.99704208765061586,-0.076857500956649366)
 (1,5.5511151231257827e-17) (-0.75528411747895308,-0.65539751440178617) (-0.21765473646566458,0.97602582737039423) (-0.83520437548726734,-0.54993967957124579) (-0.91547728716974008,-0.40236965178344763) (0.96806680512651733,-0.25069236289152785) (0.34269709570026491,0.93944595405941489) (-0.98011510072445518,-0.19842980958488032) (-0.94139248298729494,-0.33731319715513031) (-0.72988157085106997,0.68357361895554136) (-0.67518488506624585,0.73764854163624616) (0.69193438028264809,-0.72196039599334527) (-0.74321447837355348,0.66905324088291152) (0.76428100255985598,0.64488336086931386) (0.98740463590610394,-0.15821531212602391) (0.99400471017338532,-0.10933725875987649) (0.22880789460437423,-0.97347159556235308) (0.71300755865190746,0.7011563458353971) (0.10320495159918597,-0.9946601117796019)
 (1,0) (0.50931307889010691,-0.86058130799563592) (-0.71319753813847864,-0.70096310287575969) (0.75310498184464636,0.65790036200079371) (0.71391092259265809,0.70023652761256272) (-0.60604906886700582,0.79542726010958098) (0.99798585787297212,-0.063436799143304468) (-0.66692982908413978,0.74512052922852701) (0.92133443611044585,0.38877095678181334) (-0.94139248298729505,-0.33731319715513014) (-0.80339200426173274,-0.59545049121511073) (-0.26889439229332657,-0.96316966615088229) (-0.78326495204011704,0.62168803664345484) (0.93185310482122574,-0.36283576316984212) (-0.99940307668412598,-0.034546929158797757) (0.12707943416102324,-0.99189254327941889) (0.40846238939985036,-0.91277515108911955) (-0.28220215406859039,0.95935496258634489) (-0.2983187072681171,0.95446631626992429)
 (1,5.5511151231257827e-17) (-0.32862256875761869,0.94446133181996617) (-0.38654547653313581,0.92227034787624518) (0.87998081324537136,-0.47500922972087056) (0.75710732591942509,0.65329051503839963) (-0.72646745668252311,0.68720086901955124) (0.5983646027782924,-0.80122394007042541) (-0.68452378688153281,-0.72899052476240445) (-0.66692982908413967,0.74512052922852678) (-0.98011510072445507,-0.19842980958488032) (0.035795029424727509,0.99935915259154107) (-0.83909677569337482,0.54398216976384672) (-0.32976177050758093,-0.94406417933936326) (-0.87332351925001728,0.48714066831333747) (0.32747370434665146,-0.94486029282718964) (0.12102171848729371,-0.99264985954483564) (0.89684682192293508,0.44234124610613867) (0.27295480346307571,-0.96202685787166764) (0.92584146452660598,-0.37791213603591634)
 (0.99999999999999989,-1.3877787807814457e-17) (-0.5188291145651458,-0.85487797367785023) (0.63111062087159842,0.77569284141538009) (0.98305235742034447,-0.18332501894259651) (-0.18826123586257357,0.98211898824505794) (-0.130590301393293,-0.99143641913236646) (0.076708327261278964,0.99705357555588625) (0.59836460277829251,-0.80122394007042552) (0.99798585787297189,-0.063436799143304412) (0.34269709570026513,0.93944595405941489) (-0.87256753481158378,-0.4884934975952458) (-0.84813902231234106,0.52977372417954649) (0.051466190017508059,-0.99867473748217062) (0.86955149564518308,0.49384227889198151) (-0.63205352509855839,-0.77492473273892037) (-0.89608286272562399,0.44388681342145175) (-0.90970515420059506,0.41525478013006889) (-0.8438254623366287,0.53661773089637577) (0.28911766573890063,-0.95729356801228427)
 (0.99999999999999989,2.7755575615628914e-17) (0.33769826340217202,-0.94125441985424774) (-0.62361494754639069,-0.78173166572469843) (0.93076974414455138,-0.36560591267796305) (-0.98369170929299221,0.17986278399999894) (0.97217435534984109,0.2342584529960885) (-0.13059030139329289,-0.99143641913236635) (-0.72646745668252299,0.68720086901955124) (-0.60604906886700582,0.79542726010958076) (0.9680668051265171,-0.25069236289152785) (-0.75178942546445182,0.65940326034971142) (0.76932409157297554,-0.63885870278600365) (0.81820503682050938,-0.57492653245571157) (-0.22134933853511723,0.9751945807530239) (-0.94284470754788474,0.33323243757015009) (-0.83215746431574189,0.55453940760201537) (0.11923802411233211,0.99286569766801125) (0.84570953859525466,-0.53364349178922887) (-0.94263143947875294,-0.3338352427563841)
 (1,2.7755575615628914e-17) (0.95609981644789366,0.2930411933300579) (0.98566445186350971,0.16871748081513832) (-0.40018833666956977,-0.91643291909099567) (-0.40577555774630708,-0.91397275491979157) (-0.98369170929299254,0.17986278399999905) (-0.18826123586257365,0.98211898824505828) (0.75710732591942542,0.65329051503839985) (0.7139109225926582,0.70023652761256283) (-0.91547728716974064,-0.40236965178344775) (-0.78338797986242559,0.6215330023474761) (0.92118986254627966,-0.38911339882091733) (-0.71334432136454728,-0.70081372644730222) (-0.46874516971859304,-0.88333343979806833) (0.77751033219025423,-0.62887016413358454) (-0.95812848864026356,0.28633860943981054) (-0.95695770414792947,0.29022741509362016) (0.95496136072763937,-0.2967301796535291) (-0.29248628181271774,0.95626971872551281)
 (1.0000000000000002,0) (-0.3343822324830874,0.94243754307626504) (-0.98625235780233045,-0.1652461398319014) (-0.45707878542016062,0.88942621049687498) (-0.40018833666956977,-0.91643291909099545) (0.93076974414455182,-0.36560591267796322) (0.9830523574203448,-0.18332501894259651) (0.8799808132453717,-0.47500922972087067) (0.75310498184464636,0.65790036200079383) (-0.83520437548726767,-0.5499396795712459) (-0.040333710200961104,0.99918626482824802) (0.30200843718547621,0.95330525219825901) (0.89721683886429016,-0.44159024452355322) (-0.58596511049103728,-0.81033628160611637) (-0.97520008414967119,-0.22132509092842401) (0.55405638065049168,0.83247914512045174) (0.046468441490667811,-0.9989197585118782) (-0.90785142018761278,0.41929202098696733) (-0.8242015819541425,-0.56629652330231539)
 (1,-1.3877787807814457e-17) (0.9993603228089869,0.035762343255405338) (-0.99543107087427807,0.095482894479002739) (-0.98625235780233056,-0.1652461398319014) (0.98566445186350971,0.16871748081513838) (-0.6236149475463908,-0.78173166572469888) (0.6311106208715983,0.77569284141538031) (-0.38654547653313603,0.9222703478762454) (-0.71319753813847864,-0.70096310287575991) (-0.21765473646566461,0.97602582737039445) (0.99533332957450127,-0.096496440546467221) (0.098902326552344419,-0.99509714591216336) (0.78402044839822327,-0.62073499699424795) (-0.55998011799493408,-0.82850604551227036) (0.21843211664091966,0.97585214577812385) (-0.99994099228463917,-0.010863330465888131) (0.52738542331571281,0.84962616207018193) (-0.92226555352007811,0.38655691533111136) (0.16467375113413374,-0.98634809052758543)
 (1,0) (0.45497861881880153,-0.8905023618260286) (0.99936032280898657,0.035762343255405282) (-0.33438223248308746,0.94243754307626482) (0.9560998164478931,0.29304119333005768) (0.33769826340217202,-0.94125441985424774) (-0.51882911456514558,-0.85487797367785001) (-0.32862256875761858,0.94446133181996605) (0.5093130788901068,-0.86058130799563526) (-0.75528411747895285,-0.65539751440178595) (-0.99973666824814122,0.022947639532327035) (-0.38817550542038493,0.92158546917343909) (-0.17190334532026275,0.9851138207677842) (-0.93229368406280866,0.36170220714918927) (0.96938577960049177,0.24554268530816961) (0.9999917532271293,0.0040612162871890289) (-0.46102552495146598,0.88738687467373811) (-0.53315260355702443,-0.84601909039948153) (-0.80342226835068897,-0.5954096562185005)


# name: N
# type: scalar
19


# name: argn
# type: sq_string
# elements: 1
# length: 1
x


# name: defect
# type: scalar
0


# name: info
# type: complex matrix
# rows: 1
# columns: 18
 (-2.7755575615628914e-16,0) (5.5511151231257827e-16,3.3306690738754696e-16) (2.2204460492503131e-16,2.7755575615628914e-16) (-2.9143354396410359e-16,-7.7715611723760958e-16) (-6.6613381477509392e-16,-1.1102230246251565e-16) (4.4408920985006262e-16,6.6613381477509392e-16) (-8.8817841970012523e-16,-6.6613381477509392e-16) (-8.8817841970012523e-16,2.2204460492503131e-16) (9.9920072216264089e-16,9.4368957093138306e-16) (-1.1102230246251565e-16,-3.8857805861880479e-16) (5.2735593669694936e-16,0) (1.1102230246251565e-16,1.6653345369377348e-16) (3.3306690738754696e-16,-3.3306690738754696e-16) (0,-3.1225022567582528e-16) (3.3306690738754696e-16,-5.5511151231257827e-16) (-7.7715611723760958e-16,-1.1102230246251565e-16) (-1.1102230246251565e-15,4.4408920985006262e-16) (8.8817841970012523e-16,1.1102230246251565e-16)


# name: is_convergent
# type: scalar
1.2424571412271256e-14


# name: is_unimodular
# type: matrix
# rows: 1
# columns: 19
 1.7579181529311163 1.7579181529311165 1.7579181529311163 1.7579181529311163 1.7579181529311163 1.7579181529311163 1.7579181529311159 1.7579181529311163 1.7579181529311165 1.7579181529311161 1.7579181529311163 1.7579181529311165 1.7579181529311165 1.7579181529311165 1.7579181529311161 1.7579181529311165 1.7579181529311165 1.7579181529311163 1.7579181529311165


# name: spectrum
# type: scalar
4.3588989435406829


# name: x
# type: complex matrix
# rows: 1
# columns: 19
 (-1.5226077412361962,0.87860224147924615) (1.2499950353739473,1.236037476755957) (-0.97264391028630226,-1.4643223880647729) (-1.2016128101298269,1.2831223195536143) (-1.2923567142990555,1.1916754404664456) (1.152695522865369,1.3272412229775268) (-1.0474342712947247,-1.4117923642384653) (1.7454108750575275,0.20932536787418707) (1.7274163621782244,0.32605052382061517) (-1.5803850905354411,-0.76984361919680311) (1.3774120219176047,-1.0922510491098663) (1.4411189229675687,1.0067037708628805) (1.297266267192009,1.1863289865844378) (1.4038286296721683,1.0580838392667711) (-0.014295242889431967,1.757860028112443) (1.7578031897900137,-0.020104187842369954) (-0.47739700968325188,-1.6918535183491026) (-0.11158972901182693,-1.7543728123702256) (1.3698836593333248,1.101678261697256)


# name: x0
# type: complex matrix
# rows: 1
# columns: 19
 (-1.5226077412361962,0.87860224147924615) (1.2499950353739473,1.236037476755957) (-0.97264391028630226,-1.4643223880647729) (-1.2016128101298269,1.2831223195536143) (-1.2923567142990555,1.1916754404664456) (1.152695522865369,1.3272412229775268) (-1.0474342712947247,-1.4117923642384653) (1.7454108750575275,0.20932536787418707) (1.7274163621782244,0.32605052382061517) (-1.5803850905354411,-0.76984361919680311) (1.3774120219176047,-1.0922510491098663) (1.4411189229675687,1.0067037708628805) (1.297266267192009,1.1863289865844378) (1.4038286296721683,1.0580838392667711) (-0.014295242889431967,1.757860028112443) (1.7578031897900137,-0.020104187842369954) (-0.47739700968325188,-1.6918535183491026) (-0.11158972901182693,-1.7543728123702256) (1.3698836593333248,1.101678261697256)


