# Created by Octave 5.1.0, Fri Sep 17 15:10:58 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.2664474571133143e-13


# name: H
# type: complex matrix
# rows: 23
# columns: 23
 (1,0) (0.99999999999999989,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,0) (1,5.5511151231257827e-17) (0.99999999999999978,0) (1,-5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,0) (1,0) (1,0) (0.99999999999999989,2.7755575615628914e-17) (0.99999999999999989,0) (1,5.5511151231257827e-17) (1,0) (1,2.7755575615628914e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,0) (1,0)
 (1,5.5511151231257827e-17) (0.49792519530727286,-0.86721998355562191) (-0.7664639041360557,0.64228738400852647) (-0.96509306580882381,0.2619071864759045) (0.84651766156936625,-0.53236063777399345) (-0.19262526265235635,-0.98127239245181608) (-0.90866604452798416,0.41752367540280494) (0.93633886068007111,0.35109761887592655) (-0.8289648569418413,0.55930069368399005) (0.7311523417445408,-0.68221422820216526) (0.92903757889103455,-0.36998537404643933) (0.4676516118526674,-0.88391287462713353) (0.58227568238410199,-0.81299140813672111) (-0.50992453841860452,0.86021913784719628) (0.7266172183748385,0.68704251539567152) (0.80536566866696613,0.59277832258999719) (-0.88777617350949456,-0.46027542379410163) (-0.10979313068484314,0.99395445994996223) (0.5688605985316143,-0.82243396053315687) (-0.990826660362637,0.13513892523852417) (-0.48666768928350723,0.87358717951184062) (-0.74055876941638421,-0.67199159893594607) (-0.70438232225994257,0.70982078307675123)
 (1,-5.5511151231257827e-17) (-0.9663004732095295,0.25741677388048484) (0.57529888696908316,-0.81794326860249467) (-0.98503265415402574,0.1723678341520658) (0.99931035712523264,-0.037132332841320226) (-0.034013596454774697,0.9994213702218957) (0.16394510739290863,-0.98646946316747464) (0.75360405805503794,0.65732862685492066) (0.85019283276824942,0.5264714114835648) (0.8498556439094177,-0.52701554485167634) (-0.94257567630622019,0.33399265626038932) (-0.78138527672018321,0.6240489158110285) (-0.32082893191665052,0.94713715820108135) (0.36633722072543023,-0.93048215496653486) (0.87227767944152956,0.48901088939623683) (0.5731646529844715,-0.81944022391458693) (-0.32523201974318972,0.9456342492389771) (-0.98138866775642719,0.19203198379245023) (-0.066369051654958988,-0.99779514379576961) (0.95172570288495784,-0.30694981099217455) (-0.9175845459549643,0.39754069103001438) (-0.89444247896900986,-0.4471830182551329) (-0.74055876941638399,-0.67199159893594607)
 (1,0) (0.21402167348058077,0.9768289119802771) (0.12360836912664491,0.99233107936910403) (-0.37919222097022198,-0.92531792350287345) (0.099118717064603457,-0.99507561518081045) (0.82368118464765039,0.56705317745114847) (0.90593936051537838,0.42340745750280323) (0.21184575017413965,0.97730311476693577) (0.81782886413104217,-0.57546150956786635) (-0.59523621134096205,0.80355077792785345) (0.10000932497198223,0.99498649986753529) (-0.55702481217827593,-0.83049585105390933) (-0.70984882648355274,-0.70435406120780053) (0.9922217380007331,0.12448302148809542) (-0.38534868169432013,0.92277104067934945) (-0.9176919384341149,-0.39729272096658963) (0.34456297180614526,-0.93876320680995851) (0.95662087238229443,-0.29133572819436016) (-0.31931569949878452,-0.94764839685064772) (-0.80688898724366154,-0.59070310839278517) (-0.51465921321882913,-0.85739482984735638) (-0.9175845459549643,0.39754069103001421) (-0.48666768928350729,0.87358717951184051)
 (1.0000000000000002,0) (-0.99991636368688908,-0.012933121478867216) (-0.14880142299360666,0.98886709749848523) (-0.6238052729707686,0.78157979849396275) (-0.11197986095233986,0.99371047631646414) (0.56697281456969517,0.82373650370668827) (0.32977547852260869,0.94405939101583203) (0.28372372429979392,-0.95890606853302052) (-0.25274855826001985,0.96753199755743435) (-0.95491292773145542,0.2968860058193038) (0.96898539604708378,-0.24711799256119582) (-0.12151481583433305,-0.99258961788482758) (0.45960037472140786,0.88812583317677574) (-0.69070076497932342,-0.72314068704296841) (0.36529211455024863,-0.93089294284971769) (0.86691405261082266,0.49845764653165781) (0.36961914486420905,-0.92918334452886631) (-0.046466301303156321,-0.99891985806830519) (-0.98030936656161172,0.19746783492906322) (0.56626249980897525,-0.82422495795146267) (-0.80688898724366187,-0.59070310839278517) (0.95172570288495795,-0.30694981099217472) (-0.99082666036263722,0.13513892523852433)
 (1,0) (-0.61055273489979656,0.79197560436315073) (-0.85305110021150743,0.52182738566305253) (-0.019910604823174527,0.99980176425908318) (0.24524159742294838,-0.96946199455854876) (-0.99854601790845565,-0.053905937698604023) (0.7820764831128667,0.62318245687905105) (0.1575715775007907,-0.98750756856031752) (-0.16949092953562092,-0.98553174723351777) (-0.35200571939607683,-0.93599784909605976) (0.85519489862138032,-0.51830655540130433) (-0.3639273265983613,0.93142734604206734) (0.80491575308263108,0.5933891054269711) (0.98141298882689298,0.19190764800253718) (-0.13013682717612257,0.9914960444764922) (-0.91029846382762736,0.41395254166759443) (0.42151786936053803,0.90682009561420263) (-0.81144981602032518,-0.58442210437369668) (0.76857189165276207,0.63976343077835773) (-0.98030936656161161,0.19746783492906306) (-0.31931569949878458,-0.94764839685064783) (-0.066369051654958988,-0.99779514379576983) (0.56886059853161441,-0.82243396053315698)
 (1,0) (0.99648119035561478,-0.083816688478221602) (0.79859426926944266,-0.60186974761156131) (0.98851757367968862,0.15110594470906463) (-0.41159335476010844,0.91136760438218323) (-0.52369941157104727,-0.8519031202666989) (0.83155759469476642,0.55543853548835909) (-0.41362194472437547,0.9104487282886522) (-0.50584874362177623,0.86262219341741231) (0.044561893167860633,-0.99900662544214225) (0.22502641913033272,-0.97435266238327567) (0.78792938613101537,-0.61576560676218262) (-0.37915797071103496,0.92533195840535443) (-0.84446000996987836,-0.53561860643714843) (-0.33857000910780177,0.94094120375969426) (-0.98724457395466891,-0.15921102724705299) (0.5257581980790863,0.85063406771221628) (-0.80175346270465897,-0.59765490464070292) (-0.81144981602032507,-0.58442210437369657) (-0.04646630130315621,-0.99891985806830508) (0.95662087238229454,-0.2913357281943601) (-0.98138866775642719,0.19203198379245012) (-0.10979313068484309,0.99395445994996212)
 (1,-1.3877787807814457e-17) (-0.9166459364524906,-0.39970017161009003) (0.77795777976571712,0.62831655469356817) (0.85255420081404143,0.52263881856816741) (-0.49663255060709049,-0.86796089179034697) (0.12005963509984445,-0.99276668156203374) (0.46078129791043348,-0.88751371566639747) (0.74305138779833801,-0.66923436484609888) (-0.96184511006155993,0.27359456180754793) (0.94590093565482136,-0.32445557465904784) (-0.90285521635299026,0.42994471540442758) (-0.56759958185053883,0.82330475201051256) (-0.98849335717770315,0.1512642813606426) (-0.72701759795490073,0.68661882603369218) (-0.9365433696547012,0.35055173192528505) (0.64491363051677497,0.76425546067638406) (0.5039638616947113,-0.8637247397786818) (0.52575819807908641,0.85063406771221639) (0.42151786936053798,0.90682009561420274) (0.36961914486420927,-0.9291833445288662) (0.34456297180614531,-0.93876320680995873) (-0.32523201974318983,0.94563424923897721) (-0.88777617350949467,-0.46027542379410169)
 (1,2.7755575615628914e-17) (-0.042886079130080884,0.99907996887979278) (-0.72166307674376284,0.69224446813587903) (0.99795807606827169,-0.063872360298584535) (-0.88245097154899921,0.47040438222047543) (0.36993529563097716,-0.92905752084917781) (-0.70941923617563407,-0.70478673891041699) (-0.35163118688341344,0.93613861602380188) (-0.23209308079538402,-0.97269358065472233) (0.064531051852588978,-0.99791569951915227) (-0.37376185859588335,0.92752470212870819) (-0.42241210948758712,-0.90640388886977208) (-0.73386163955760753,-0.67929897246044646) (0.094912413960954123,0.995485627056515) (0.88804433460248955,-0.45975782731827419) (0.97967503824044766,-0.20059117490202946) (0.64491363051677497,0.76425546067638417) (-0.98724457395466902,-0.15921102724705299) (-0.91029846382762747,0.41395254166759443) (0.86691405261082255,0.49845764653165797) (-0.91769193843411512,-0.39729272096658974) (0.57316465298447172,-0.81944022391458704) (0.80536566866696613,0.5927783225899973)
 (1,0) (-0.11305734930385483,-0.99358846398717082) (-0.96058078768996058,-0.27800098978409282) (-0.093165022170110717,-0.99565068103428822) (0.30600076286238592,-0.95203126688551432) (0.96823932549129366,0.25002521587264837) (0.63366626146931981,0.77360653375956812) (-0.87451503979279932,-0.48499839708621462) (-0.76351146834231498,-0.64579426887342328) (-0.99881323674416067,0.048704395126647149) (-0.81278774402354914,-0.58255993954708951) (0.97247022849541942,0.23302715440494268) (-0.90084512494953561,0.43414060032972623) (0.60311436389383477,-0.79765472735070875) (-0.027847628532128688,0.99961217959023196) (0.88804433460248955,-0.4597578273182743) (-0.9365433696547012,0.35055173192528494) (-0.33857000910780188,0.94094120375969437) (-0.13013682717612271,0.99149604447649231) (0.36529211455024868,-0.93089294284971758) (-0.38534868169432013,0.92277104067934967) (0.87227767944152967,0.48901088939623699) (0.72661721837483861,0.68704251539567163)
 (1.0000000000000002,-1.3877787807814457e-17) (-0.23401597853052875,-0.97223275083304961) (0.99999660208504693,0.002606879046224822) (0.73799882264301764,-0.67480199894303794) (-0.98743383800413476,-0.15803295720964394) (-0.80194144952761826,0.59740263769884949) (-0.59347798878171476,0.80485022012273255) (0.88428059283482596,0.46695592204798819) (0.66403669541780508,-0.74769998471218435) (-0.69229290562037515,0.7216166106927544) (-0.37617853329571027,0.9265471985212016) (-0.34392701735242753,0.93899638270605867) (0.099140322515512219,-0.99507346284157305) (-0.62208113846883673,-0.78295278092699594) (0.60311436389383488,-0.79765472735070886) (0.094912413960954234,0.995485627056515) (-0.72701759795490062,0.68661882603369229) (-0.84446000996987836,-0.53561860643714854) (0.98141298882689298,0.19190764800253712) (-0.69070076497932331,-0.72314068704296841) (0.99222173800073321,0.12448302148809538) (0.36633722072543029,-0.93048215496653497) (-0.50992453841860463,0.86021913784719639)
 (0.99999999999999989,0) (-0.99990350196213096,0.013891967602371103) (0.10183721285571594,-0.99480107663682182) (0.7156037198889118,0.69850648964855833) (-0.96472912432432278,0.2632445947791251) (0.84177380406770075,-0.53983040187209963) (-0.99937781498572398,0.035270141966817131) (0.89648744394953594,0.44306914002311848) (0.59943402853731109,0.80042416594673571) (-0.84742551276429356,0.53091430600067202) (0.9888562972404451,-0.14887317894071603) (0.33084932174278658,-0.94368359438020133) (0.42369784384649561,-0.90580358639156988) (0.099140322515512233,-0.99507346284157283) (-0.9008451249495355,0.43414060032972623) (-0.73386163955760753,-0.67929897246044635) (-0.98849335717770315,0.15126428136064257) (-0.37915797071103496,0.92533195840535454) (0.80491575308263097,0.5933891054269711) (0.45960037472140752,0.88812583317677563) (-0.70984882648355274,-0.70435406120780075) (-0.32082893191665063,0.94713715820108157) (0.5822756823841021,-0.81299140813672099)
 (1,2.7755575615628914e-17) (0.99497212846896854,-0.10015220202236771) (0.97183501054830879,0.2356622843659297) (-0.70773536077038468,0.70647764233216359) (0.39824567028956842,0.91727879409458324) (-0.46978797750524348,0.8827792794303303) (-0.99866474594595456,0.051659705813156487) (-0.29366573290790343,-0.95590817410233608) (-0.68605130626486222,-0.7275531631243688) (0.42983436941487352,0.90290775545994584) (-0.99994383234233331,-0.010598686735952434) (0.95985216881478042,-0.28050635290766668) (0.3308493217427867,-0.94368359438020144) (-0.34392701735242759,0.93899638270605856) (0.97247022849541931,0.23302715440494279) (-0.42241210948758723,-0.90640388886977197) (-0.56759958185053883,0.82330475201051245) (0.78792938613101549,-0.61576560676218273) (-0.36392732659836124,0.93142734604206734) (-0.12151481583433282,-0.99258961788482758) (-0.55702481217827604,-0.83049585105390933) (-0.78138527672018343,0.62404891581102839) (0.46765161185266757,-0.88391287462713353)
 (1,-5.5511151231257827e-17) (0.99940242876624497,0.034565667592698135) (-0.9592769904330003,-0.28246708768599033) (-0.49142913548215916,-0.87091756487009486) (-0.96594342983315118,0.25875333884255025) (0.88666040624194986,0.46242115436348752) (0.90967316339227933,-0.41532485575014977) (-0.17860819129282013,-0.98392027827619533) (-0.19137500506271604,0.98151699294369976) (-0.41019717700021274,-0.91199686182631989) (-0.25791312328198662,0.96616811210002584) (-0.99994383234233331,-0.010598686735952434) (0.98885629724044488,-0.14887317894071606) (-0.37617853329571022,0.92654719852120138) (-0.81278774402354892,-0.58255993954708951) (-0.37376185859588318,0.92752470212870808) (-0.90285521635298993,0.42994471540442758) (0.22502641913033267,-0.97435266238327567) (0.85519489862138021,-0.51830655540130421) (0.96898539604708345,-0.24711799256119563) (0.10000932497198228,0.99498649986753529) (-0.9425756763062203,0.33399265626038921) (0.92903757889103444,-0.36998537404643916)
