# Created by Octave 5.2.0, Fri Sep 17 14:22:05 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
7.434870937648497e-14


# name: H
# type: complex matrix
# rows: 32
# columns: 32
 (1,0) (1.0000000000000002,0) (1.0000000000000004,-5.5511151231257839e-17) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1,2.775557561562892e-17) (1.0000000000000002,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,-2.775557561562892e-17) (1,0) (1.0000000000000002,-3.469446951953615e-18) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,1.387778780781446e-17) (1,0) (1.0000000000000002,0)
 (0.99999999999999989,2.7755575615628914e-17) (0.98459289810810602,0.17486230295601307) (-0.99989898695531221,-0.014213229250997911) (-0.43944365104442407,-0.89827015844719404) (-0.71031350733153686,-0.70388544615041682) (-0.89098637916153389,-0.45403003441250439) (-0.98617464313497938,0.16570930341292492) (-0.57153537779163377,0.82057742592187755) (-0.69009768456849407,0.72371623289325471) (-0.21763688201870832,0.97602980875851097) (0.97541403429664675,0.22038026612457909) (-0.906022580405489,0.42322935129239347) (0.29044849753862356,0.95689062607884101) (0.57021123383908334,0.8214981124772659) (-0.45292651594175865,0.89154785129955882) (0.68561313525016221,-0.72796609040012528) (0.99361724268356166,0.11280414461320512) (0.011496523778764478,-0.9999339127867426) (-0.10392982387381905,-0.99458463275357167) (-0.91700694378048486,-0.39887123869536517) (-0.033147070578789406,-0.99945048487258525) (0.71552186370168813,-0.69859033958741756) (-0.64811366882487831,-0.76154361154326344) (-0.22339597011014597,0.97472777765822749) (-0.52054154723734214,-0.85383634122690855) (0.26730776635215814,0.96361120689198132) (-0.67023424756613248,-0.74214961657974388) (0.98669146318646883,0.16260367915562507) (0.70531903949481778,-0.70889001440710731) (0.77359877974730029,0.6336757277768249) (0.023711744698234644,0.99971883705538211) (0.99786125764984612,-0.065367503252522524)
 (1,5.5511151231257827e-17) (0.97105679542203993,0.23884869701272771) (-0.96756389473162563,-0.25262642302769539) (0.36659945999592169,0.93037886687666083) (-0.38137914483129137,0.92441870810134175) (0.25054782795647412,0.96810422264665963) (0.93224769574241595,0.36182072049974701) (0.4858301278326439,-0.87405325174735016) (-0.13496925036477941,-0.9908497875338973) (-0.50066385672617786,-0.86564178651915225) (-0.48556653255038251,0.87419971543520802) (-0.98886231423492565,0.14883320693295493) (-0.61807220456616585,-0.78612133283782581) (-0.67040316036764946,0.74199703676569173) (-0.99745896831796443,0.071243291067033088) (0.27625131015119914,0.96108543514078204) (0.80394808354613478,-0.59469948626385871) (0.18881537349137884,-0.98201260416214187) (-0.99962991470010043,0.027203559264736499) (-0.36308983156039987,0.93175413828833631) (-0.42824212027238256,0.90366403404396634) (-0.6751473867134532,-0.73768286289841078) (-0.98759422005065634,-0.15702756612307417) (0.9153606535071408,-0.40263491404866986) (0.96721433341171248,-0.25396147984081363) (0.72986698516138093,-0.68358919240391514) (0.59002358417824963,-0.80738601060053838) (-0.4844911115511808,-0.87479618359244182) (0.84769029169726784,-0.53049144136564674) (0.99934435931152921,-0.036205683424424262) (-0.66537471456458974,0.74650953725862768) (0.023711744698234671,0.99971883705538245)
 (1,0) (0.1981595535876457,-0.98016977678458606) (-0.27549802188981454,0.9613016383710159) (0.98457443160985647,-0.17496624994589366) (-0.90929253912543651,-0.41615751620127889) (-0.63229451389077351,-0.77472811211652259) (-0.92260769246345953,0.38573960881305791) (0.53835715319173028,0.84271678255941707) (0.96156623842244104,-0.2745730670078867) (0.1075159723799729,-0.9942033573083473) (-0.96148339642960623,0.2748630175017896) (-0.99561164458558038,-0.093581265035246552) (-0.9129380990332554,0.4080980609284327) (-0.94877536540522545,-0.31595142981189567) (-0.94199010763580482,0.3356406368667007) (0.7597577324008955,0.65020626577806018) (0.98977399011729505,-0.14264448284910691) (-0.82438525396943096,0.56602910970881837) (-0.1093328097646139,0.9940051995381991) (0.39566575401797111,-0.91839458355185788) (0.35427879542111501,-0.93513984789172788) (0.95319460813957368,-0.30235746892320292) (0.98903241288594979,0.14769863324011318) (-0.91843470696064311,-0.39557260907463987) (-0.59126914585318102,0.80647430037295631) (0.87582300135544966,-0.48263243809003598) (-0.10711106333743214,0.99424706190701173) (-0.68358660062676035,-0.7298694125962194) (-0.29628984032848515,0.95509807376945388) (0.15025801871077793,-0.98864681651897923) (0.99934435931152921,-0.036205683424424262) (0.7735987797473004,0.63367572777682479)
 (1,0) (0.87248586161067176,-0.48863935708197259) (0.45520451612635099,0.89038690943778787) (0.65079371309293044,-0.75925459695593334) (-0.99669582561643544,0.081224572629057801) (0.97714607852142221,0.212568909368722) (0.99943851607761824,0.033506008126442832) (-0.45638583233576274,-0.88978198006207865) (-0.88084227623027689,0.47340984823455523) (0.67800746139428392,0.73505501990917577) (-0.34887178450494999,-0.93717046367047441) (0.16824294259409198,-0.9857455616269758) (-0.77535219878359196,-0.63152907125598745) (-0.98984530426045203,0.1421487728878939) (0.10501494043683657,-0.99447064425504683) (0.26975163647254197,0.96292993235249758) (0.99095439430398269,0.13419906262573983) (-0.72973303410712864,-0.68373218363099242) (0.98407525314887734,0.17775234496336004) (-0.16569042861364575,-0.98617781452729236) (-0.95151998256638848,0.3075869353156272) (-0.89010624573272568,-0.45575308151190058) (-0.99184865131892053,0.12742155577781911) (0.30768343619597044,0.9514887824302718) (0.73596391047137633,0.67702076961026836) (-0.94788615111854146,0.31860923482799081) (-0.93810399268846534,0.34635371934188897) (0.40378436473924917,0.91485418881487424) (-0.79238480817252033,0.61002156992798151) (-0.29628984032848538,0.95509807376945399) (0.84769029169726773,-0.53049144136564663) (0.70531903949481767,-0.70889001440710719)
 (1,0) (0.57049397672527991,0.82130178528977738) (-0.95778300817675865,-0.28749210293133182) (0.99026367720716435,-0.13920434477467089) (-0.76056783085350199,-0.64925848063063396) (0.38287272741556655,0.92380110121246672) (-0.67069628038704332,-0.74173209413843311) (-0.99007805373794777,0.14051849524698792) (0.47518842721772292,0.87988405977057382) (0.49180188460310381,-0.87070713003904776) (-0.26198553957657078,0.96507179891071992) (0.0054504086163484622,0.99998514641264313) (0.78859556229328476,0.61491222067164886) (0.76089025040015701,-0.64888059521454866) (0.89805883710780798,-0.4398753517674886) (0.077703042225704733,-0.99697654798338697) (-0.58739229047918018,0.80930235208210188) (0.80401982588729226,-0.59460248871003629) (-0.99101858118991359,0.1337242376547004) (-0.19267308903770367,-0.9812630028492203) (-0.8318786281707905,-0.554957609185318) (-0.95587914757617953,0.29376020021275284) (-0.52782392319022209,0.84935381679726574) (0.77420079132658592,-0.63294007197308089) (0.99738610247419068,-0.07225622873734408) (-0.95240549089712057,0.30483402190210823) (0.26756311627904777,0.96354033584850241) (-0.82670488225410133,-0.56263579485954529) (0.40378436473924917,0.91485418881487435) (-0.68358660062676047,-0.72986941259621962) (-0.48449111155118085,-0.87479618359244182) (0.98669146318646905,0.16260367915562504)
 (1,6.9388939039072284e-18) (0.9999226610835662,0.012436713856946578) (-0.68617836488178652,-0.72743333135632338) (0.32092002937425895,0.94710629537894275) (-0.88797831575854269,-0.45988532346947403) (0.52799070949302429,0.84925014612247984) (-0.66141969965014857,-0.75001598710608042) (0.9582152014399149,-0.28604829614850763) (0.44153617057004574,-0.89724345084170987) (-0.90512852510584019,0.42513803998198818) (0.54218340146894517,-0.84026017350078241) (-0.32901142954687962,-0.94432593908433926) (-0.89450444978165655,0.44705904455766921) (0.10760842792138525,0.99419335455447944) (0.3888620340707325,0.92129599937173989) (0.13623192185361946,-0.99067697231139373) (0.027493861866687702,-0.99962197232736738) (0.88883457856997405,0.45822820945281922) (-0.78594180458090246,-0.61830047696254831) (0.99364136774749656,0.11259143973182104) (-0.92476924904388069,0.38052836428158354) (-0.93990568620976911,0.34143418257483188) (0.91941559603625456,0.39328737809049946) (-0.81503617053880639,-0.57941007992046334) (-0.98478959441620217,-0.1737511287145268) (0.48489768546514955,0.87457088599526434) (0.93477224568809258,0.3552475878753304) (0.26756311627904777,0.96354033584850241) (-0.93810399268846545,0.34635371934188908) (-0.10711106333743223,0.99424706190701195) (0.59002358417824952,-0.80738601060053827) (-0.67023424756613248,-0.74214961657974388)
 (1,0) (-0.78968187131550016,0.6135165377686651) (0.68977273759455282,-0.72402594599317838) (-0.45882932943118104,-0.88852442085388583) (0.37288827988872175,0.92787624752529974) (-0.99363611102736127,-0.11263782163386599) (0.99993021197988985,0.011814024286966818) (-0.58118981310837259,0.81376802661388425) (-0.35671406045481113,-0.93421361533315406) (-0.98729582032036389,0.15889292991804438) (0.49480836248782012,-0.86900211991232923) (-0.64440521639198112,-0.76468419434875523) (-0.10438185251560927,0.99453729385348344) (0.94417552157107254,-0.32944283945169239) (0.88972952125479043,-0.45648809295284132) (-0.88689219282280773,0.46197644778706248) (0.55350789507597964,0.83284392900984705) (0.6986568789829346,-0.71545689279636271) (0.44787659455915985,0.89409538419907419) (-0.97119706026943686,-0.2382777163815446) (0.68644895549734941,0.72717799162007024) (-0.41620594798964816,-0.90927037170361991) (-0.9495423553614416,0.31363882950720101) (-0.20530023343184511,-0.97869904166338606) (-0.69307951455121197,-0.72086114232177634) (0.80295262378082488,0.59604285413340052) (0.48489768546514966,0.87457088599526434) (-0.95240549089712057,0.3048340219021084) (-0.94788615111854169,0.31860923482799086) (0.87582300135544977,-0.48263243809003598) (0.72986698516138093,-0.68358919240391525) (0.26730776635215819,0.96361120689198143)
 (1.0000000000000002,0) (0.43168860315083052,-0.90202269922085909) (-0.3669184772304051,-0.93025310054141774) (-0.54533937469603377,0.83821534608126769) (0.83931537189933758,0.54364483488163229) (-0.93598083330438675,-0.35205096177517575) (0.21529919388252106,-0.97654813353645664) (0.62879943948688322,0.77756753076564433) (-0.99667128143368711,-0.081525190986175292) (0.12491535332043098,-0.99216740246030688) (-0.32709999056797706,0.94498973336773862) (0.93895861408553349,0.34403011646449577) (-0.66264329244563425,-0.74893515538850874) (0.22952787813434028,0.97330208730853318) (0.91913007225462473,0.393954198197212) (-0.85147762869508781,-0.52439093034852391) (0.09642954149526195,0.99533981309250064) (-0.29979283947301122,-0.95400432567190696) (-0.80755732602607178,0.58978908533612329) (-0.97665642567331512,-0.21480741651773499) (0.88789968438526135,0.46003711857691815) (0.30636731692295172,-0.95191337164756351) (0.76030041528021397,0.64957161154466636) (-0.9843988237166964,-0.17595157249989157) (0.46502026466477364,0.88530003583593253) (-0.69307951455121186,-0.72086114232177656) (-0.9847895944162024,-0.17375112871452691) (0.99738610247419091,-0.07225622873734408) (0.73596391047137644,0.67702076961026836) (-0.59126914585318113,0.80647430037295653) (0.9672143334117127,-0.25396147984081369) (-0.52054154723734236,-0.85383634122690888)
 (1,-5.5511151231257827e-17) (-0.6618252995545657,0.7496581039844159) (-0.53350025030138304,-0.8457999071461062) (-0.27941849424617204,-0.96016941477699769) (-0.32814155028040193,0.94462856349973623) (0.99974132809149641,0.022743722339387928) (-0.67485582422165469,0.73794960296358403) (-0.98047428481702692,0.19664734122926725) (0.58841798171397652,-0.80855691129051033) (0.66111419263327786,0.75028529527030541) (0.62557194711451358,0.78016648158156388) (0.90316455646853011,0.42929451887836156) (-0.82307315939161074,-0.56793536101312825) (0.7058487094634377,0.70836261854279081) (0.70748813243171771,-0.70672522416302663) (-0.1366353745233449,0.99062140822256883) (0.93650596501034644,-0.35065164693758388) (-0.44609935932464329,0.8949834420871392) (0.1384456168668064,-0.99037003749627317) (-0.32117791327252326,0.94701887416561414) (-0.74462292975190547,-0.66748535001727827) (-0.24943483686067364,0.96839158513500589) (0.15314964053624158,-0.98820300930710636) (-0.09086777005599872,-0.99586296666009744) (-0.98439882371669629,-0.17595157249989135) (-0.20530023343184506,-0.97869904166338595) (-0.8150361705388065,-0.57941007992046334) (0.77420079132658581,-0.632940071973081) (0.30768343619597061,0.95148878243027157) (-0.91843470696064322,-0.39557260907463987) (0.9153606535071408,-0.40263491404866986) (-0.22339597011014573,0.97472777765822749)
