# Created by Octave 5.2.0, Fri Sep 17 14:33:48 2021 UTC <root@0x00>
# name: F_norm
# type: scalar
1.1899046884347186e-13


# name: H
# type: complex matrix
# rows: 33
# columns: 33
 (1,0) (1,0) (1,2.7755575615628914e-17) (1,-6.9388939039072284e-18) (1,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1.0000000000000002,0) (1,-1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,0) (0.99999999999999989,0) (1,0) (1,0) (1,0) (1,0) (1,1.3877787807814457e-17) (1,0)
 (1,0) (-0.35450966335040029,-0.93505235072223947) (-0.6241022072434832,0.78134271284361079) (0.59425676421885754,-0.80427538702867984) (-0.066315506118539813,0.99779870397201975) (-0.63502236982308524,0.77249374743377275) (0.9305399692028623,0.366190340828286) (0.11056977504862964,0.99386836394247691) (0.48321804343582098,-0.875500041403801) (-0.45506875434029975,0.89045630371353335) (-0.28085270675880547,-0.95975088283692278) (0.96902983811568433,-0.24694366329487144) (0.69449311621551901,-0.71949934783101621) (0.2114588861879024,-0.97738689343175267) (0.1202862644431304,0.99273924803359981) (-0.70622858443133252,0.70798388861055039) (0.76301199822926202,0.64638432109557631) (0.9819852204446613,-0.18895773820685768) (-0.69002865038699623,-0.72378205396728434) (-0.99973377575271849,-0.023073309671844233) (0.85249866655138662,0.52272939799489837) (-0.9037644262124378,0.42803021144879799) (-0.32237559437935431,0.94661184027486034) (-0.91168090779890065,-0.41089891987564814) (-0.15879527282951506,-0.98731153205409217) (-0.017735243379354559,-0.99984271820235582) (-0.96854266213635321,-0.24884756704019928) (-0.81284185076564019,-0.58248444240502151) (0.99368723042751816,0.11218595315496849) (-0.072050472392412745,-0.99740098728045701) (-0.4184886898784016,0.90822200834589972) (-0.24119114872612213,0.97047762971444862) (0.93429271418291771,-0.35650683615425532)
 (1,0) (0.0021367596188668347,-0.99999771712655994) (0.78000737274260024,0.62577032405443034) (-0.10386558418248137,0.99459134342826039) (0.48255063763971312,0.8758680734639811) (-0.43664704212625549,-0.89963290324575906) (-0.98974714347025738,0.14283064094397474) (-0.58804669915902963,0.80882697754721944) (0.72617340676012743,0.68751158776735577) (0.22748468002960071,0.97378165948626816) (0.85132357856942487,0.52464098636281631) (-0.16886798165680361,-0.98563867860953913) (0.77246690689666841,-0.63505501946641907) (-0.22358147034529738,-0.97468524463964001) (0.89737346590587885,0.44127186935954882) (-0.51644239710869055,-0.85632193155882042) (-0.96085532459632039,-0.2770506184705237) (0.63925911105857702,0.76899141017868278) (-0.55395138183302173,-0.83254901751505739) (0.36527378818058648,0.93090013410043249) (-0.59168318608942061,-0.80617058201045277) (-0.89054079036127987,-0.45490339711053751) (0.24784213854499348,-0.96880043061584331) (0.89844020803692859,-0.43909588085355777) (-0.58792874141750517,0.80891272397906377) (-0.98250687117327451,-0.18622633567060731) (-0.56322240725434169,0.82630534305825776) (0.32687769940522754,0.945066648248443) (-0.45472683600399744,-0.89063095871286324) (0.39386806179826517,-0.91916698694811594) (0.74903361734268348,0.66253199174872668) (-0.50630642702604345,-0.86235364088761324) (-0.24119114872612196,0.9704776297144484)
 (0.99999999999999989,0) (-0.82194279604984766,0.56957004838892089) (0.41916522658735322,-0.90790996955643821) (-0.48111787092733643,-0.87665591555315814) (0.073110303509227384,0.99732386090015313) (0.059085646853236716,0.99825291701849495) (-0.94906237899103851,0.31508824285249154) (-0.87867806671535631,0.4774147621024763) (0.77667843351836141,-0.62989730187345927) (0.55126797129453442,0.83432824704956965) (-0.68730288861737621,-0.72637093781222417) (0.059140803652764695,-0.99824965081051009) (-0.34706623629572358,0.93784061952099329) (-0.75272455385329973,0.65833558769547784) (-0.55607739405359191,-0.8311305143132246) (0.54233755864303723,0.84016068253942311) (-0.99652022927390305,0.083351260625660811) (0.15237460992018495,0.98832281075146289) (-0.99183706793673387,0.12751168835312171) (0.69121984761163158,-0.72264453382541594) (0.99772473042612375,-0.067419302103463571) (0.24909534469585806,-0.96847896686032919) (-0.84889312625208591,-0.52856452794522613) (0.90884103868897725,0.41714262116779827) (-0.65421245338522482,0.75631082620552548) (0.35897240511243111,-0.93334817317429675) (0.19397946379973377,-0.98100559000648235) (-0.55995137647119564,-0.82852547093496975) (0.8941942007724264,-0.44767927281141978) (0.70878298159588116,0.7054265978824813) (0.55887094467666942,-0.82925464556805883) (0.74903361734268348,0.66253199174872657) (-0.41848868987840143,0.9082220083458995)
 (1,0) (-0.70087683931676448,0.7132823116475987) (-0.9345580632550361,0.35581066089283486) (-0.59485580877053579,0.80383242455872062) (-0.76261478740920607,-0.64685290911057269) (-0.18206017453809825,0.98328739076994032) (0.9932808077689671,-0.1157291532753448) (-0.65006481030921126,0.75987876822401756) (0.91097103873255703,-0.41247032207242063) (0.80164631982061263,-0.59779860983283306) (-0.9636507724215484,-0.26716509654397819) (-0.13134077217257642,0.99133727941862038) (-0.38490957781744517,0.9229542875486284) (0.13531143729969636,-0.99080311613149996) (-0.29535971454309978,0.95538612038537496) (-0.23506202245075958,-0.97198037305357032) (0.95469553057811296,-0.29758434752885643) (0.6482846549921798,0.76139806021664569) (-0.9749018550975922,-0.22263506670620048) (-0.51118679804198652,-0.85946963733897064) (-0.6360371159632312,-0.77165846533111815) (0.80847909462285694,0.58852489629395) (0.14766145514416285,-0.98903796421811174) (0.52146577382168757,-0.85327219967168166) (-0.98707517950997181,0.16025788590692275) (0.26058108055495527,-0.96545196693404267) (0.98258939218253127,0.18579043670319711) (0.92671644767820638,0.37576139450811763) (-0.61083215496799859,0.79176011421209613) (-0.5668971576131997,0.8237885728086275) (0.70878298159588149,0.70542659788248163) (0.39386806179826522,-0.91916698694811616) (-0.072050472392412579,-0.99740098728045712)
 (1,-5.5511151231257827e-17) (0.9581647264813451,-0.2862173246449784) (0.99884460313237999,-0.048056828789653228) (-0.94118604903865011,-0.337888770300249) (0.70011848585839331,-0.71402668420679494) (0.10699024900387083,0.99426006991032756) (-0.80796513112130863,-0.58923030038527946) (-0.98806204979740087,0.15405643689946175) (-0.95918597966873731,0.28277598272647708) (-0.99288049486136498,-0.11911474687817059) (0.65748397791290314,-0.7534685254128568) (0.092903817014451939,-0.9956750879599956) (-0.82576063781493825,0.56402071684953736) (-0.62901862297359068,0.77739023144905017) (-0.087151800955628911,0.99619504294600358) (0.91523949871413834,-0.40291023813436611) (0.85890595012843551,0.51213335063630483) (0.40789655826619325,0.91302814729590587) (0.98454296072903169,0.17514325130850056) (-0.31428638914485341,0.94932821805647893) (0.99633878323693537,0.085492859455885861) (-0.48926377249662317,0.87213586150460098) (-0.51517540525526151,-0.85708476933152622) (-0.79984692382577993,-0.60020404734259902) (0.44503246355459258,-0.89551443672479669) (-0.9943262446463752,0.10637348921341311) (-0.83248016308282513,-0.5540548511416471) (0.77122992250712907,-0.63655667982485942) (-0.53942477208440853,0.84203379698304437) (-0.61083215496799825,0.79176011421209591) (0.8941942007724264,-0.44767927281141984) (-0.45472683600399744,-0.89063095871286313) (0.99368723042751783,0.11218595315496843)
 (1,0) (-0.45717146475001924,-0.88937857620831062) (-0.26796743119217181,0.96342797126732271) (0.45808819151118796,-0.88890674921389179) (0.29419623125022842,-0.95574503792494858) (0.21785685784222275,0.97598073213107717) (-0.1546702031537851,0.98796615744486249) (0.3957523388155576,-0.91835727596726557) (-0.23501269174753142,0.97199230177896956) (0.073274095670067763,-0.99731184035071707) (0.27415107556978491,0.96168663698937318) (0.34808449333671021,-0.93746316487557313) (-0.7328258242970378,-0.68041627790887471) (0.47819831217269837,0.87825188541510268) (-0.9016228486226443,-0.43252310787007464) (-0.72552672890075565,-0.68819398838595558) (0.98460107035146538,0.17481628145784367) (0.9724809225730191,0.23298252130048208) (0.27317882500112839,-0.96196326830654177) (-0.99624356190880947,-0.086595411860257099) (-0.68698491872582013,0.72667167375870578) (-0.89195862431192352,0.45211703409137471) (-0.74713126904426641,-0.66467651291158447) (0.22816744528340571,0.9736219065493773) (-0.3633519625064231,0.93165194753337466) (-0.94570101795283146,-0.32503782032707912) (0.99947216629380553,0.0324867481285398) (0.45663567908900971,0.88965378467295864) (0.77122992250712918,-0.63655667982485953) (0.92671644767820638,0.37576139450811752) (-0.55995137647119586,-0.82852547093496987) (0.32687769940522765,0.94506664824844311) (-0.81284185076564008,-0.58248444240502151)
 (1,-5.5511151231257827e-17) (0.83281373800199154,0.55355331973997768) (-0.91202070831368942,0.41014415466637655) (-0.95942455907715674,-0.2819654507907009) (-0.99683562983326368,0.079490421403586975) (-0.93417013668696347,-0.35682790771219097) (-0.44975250214448237,-0.89315322695200372) (0.83794770343105773,-0.54575053487341263) (0.95840621389706038,0.28540765435338677) (0.99613935146189347,0.087786060790297327) (0.67256681672012897,-0.74003640251473635) (-0.91236058666994668,-0.40938754242315611) (0.87688149230115586,0.4807066137049687) (0.3331250911227201,-0.94288264045133385) (0.32388610422495506,-0.94609607941793161) (-0.57259238908332288,0.81984020148066183) (0.66742470319750613,0.74467728954341061) (-0.80438109241585753,0.5941136744461214) (0.91201364943986729,0.41015985083303208) (-0.31647434314888373,-0.94860107006501027) (0.9998879273166601,0.014971065639893921) (0.3019736258781977,0.95331627976971745) (0.69086242011763654,0.72298624915637388) (-0.86345406981038708,-0.5044274668650397) (-0.53063460383616035,0.84760068263990929) (-0.96439379257561531,0.26447043850234048) (-0.9992302133176526,0.039229845693795007) (0.99947216629380575,0.032486748128539744) (-0.83248016308282546,-0.55405485114164721) (0.98258939218253127,0.18579043670319706) (0.1939794637997338,-0.98100559000648269) (-0.56322240725434181,0.82630534305825787) (-0.96854266213635332,-0.24884756704019928)
 (1,0) (0.57604323562690696,0.81741922578838522) (0.84636167824867881,-0.53260858948394696) (-0.037752127290533899,-0.99928713435380434) (-0.10054587947723392,0.99493242289119754) (-0.34943956488442757,0.93695890544536753) (0.88313562482586061,0.46911775511425252) (-0.67577940659802371,0.73710392321437446) (0.31878571264257166,0.94782681404092317) (0.48851841984908545,-0.87255358200408062) (0.43341023292873981,0.90119674322128707) (-0.2344538015887882,0.97212726271850092) (0.80638142117405032,-0.59139580957707061) (-0.44666782234653307,0.89469986949826086) (-0.99947346702478179,0.032446705741288162) (-0.65054014446122077,-0.75947186942267497) (0.87284899805859684,-0.48799039599986249) (-0.92165947813888793,-0.38799975045965263) (-0.99692940224421944,0.078305599678329896) (0.98119957529615509,0.19299583787906821) (0.023449076842803618,0.99972503259407308) (0.77830743680782677,-0.62788337596215271) (0.9736630968263349,-0.22799160922838874) (0.55696878698454166,0.83053342517021511) (0.11748626028224241,-0.99307450810344178) (-0.95820877827968032,-0.2860698118078191) (-0.96439379257561519,0.26447043850234042) (-0.94570101795283135,-0.32503782032707923) (-0.9943262446463752,0.10637348921341294) (0.26058108055495532,-0.96545196693404245) (0.35897240511243123,-0.93334817317429686) (-0.98250687117327451,-0.18622633567060742) (-0.017735243379354504,-0.99984271820235548)
 (1,2.7755575615628914e-17) (0.94119259916747866,-0.33787052442076959) (0.077759732141251037,-0.99697212802430979) (0.99573436935226045,0.092266276020305821) (-0.046322699192186123,0.99892652759827594) (0.72186238214913023,-0.69203663287284345) (-0.73194733270977552,-0.68136121267580585) (-0.92290750562248991,-0.38502173453673122) (-0.95333148033533233,0.30192563422412988) (0.16497978498201057,-0.98629694846293059) (0.24104715321038458,-0.97051340533202768) (-0.7775335712716922,0.62884143116169433) (-0.85320938863816476,0.52156853733683872) (0.92028611923266879,-0.3912460335232476) (0.35245714461242594,-0.93582795492101789) (0.71829987294257713,0.69573363619324624) (0.99992463957298516,0.012276610885524258) (0.63046366079042293,0.77621876582748162) (-0.94096307410274094,0.33850922169878916) (0.037565475090621914,0.99929416844151298) (-0.69036981996157321,0.72345664119297759) (0.90130346489200208,-0.43318825488887763) (-0.94511284676654861,0.32674409998778703) (0.20959579338340789,-0.97778811784352382) (0.66870501672884219,0.74352780755105508) (0.11748626028224224,-0.993074508103442) (-0.53063460383616035,0.84760068263990929) (-0.36335196250642315,0.93165194753337466) (0.44503246355459269,-0.8955144367247968) (-0.98707517950997181,0.16025788590692275) (-0.65421245338522493,0.75631082620552559) (-0.58792874141750529,0.80891272397906389) (-0.15879527282951506,-0.98731153205409217)
