# Created by Octave 5.1.0, Fri Sep 17 15:44:32 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
2.2803096059564751e-13


# name: H
# type: complex matrix
# rows: 35
# columns: 35
 (1,0) (0.99999999999999989,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,6.9388939039072284e-18) (0.99999999999999978,0) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,2.7755575615628914e-17) (0.99999999999999989,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,0) (1.0000000000000002,0) (1,5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,0) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,-2.7755575615628914e-17) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,0)
 (0.99999999999999989,-5.5511151231257827e-17) (0.4651159671978754,0.8852497597049005) (0.97722808934771321,-0.21219156766897457) (0.058019739123601533,0.99831543605817785) (0.99509163880736917,-0.098957720141804595) (-0.5815891631010095,0.81348266445171824) (-0.35147181467484578,0.93619846372933735) (0.80069859148219891,0.599067413233621) (-0.94544474718611637,-0.3257824888145166) (-0.46862314608799721,-0.88339818142816384) (-0.99484141419564243,-0.10144240041133123) (0.92449229162931457,0.3812007380868766) (-0.8889018866878946,0.45809762697780854) (-0.89478558022159915,0.44649609788608158) (-0.43174828525392184,0.90199413422721175) (-0.93823867327230071,0.345988716544678) (0.4485423920542258,-0.89376155798415968) (-0.98467755656403888,0.17438494659538051) (0.99970989918769471,-0.024085627791904207) (0.62347412797414259,-0.78184398171686531) (0.8585488997984998,0.51273169070653868) (-0.062798063374156887,-0.9980262537811595) (0.34644670950077194,-0.9380696549169939) (0.9737889924075247,-0.2274532880965604) (0.14497087608837489,-0.98943592267825442) (-0.40289100282331658,0.91524796631515226) (0.0994404968977326,0.99504351039375716) (-0.99631389296406514,0.085782438102381231) (0.19340077748104684,-0.98111983940277503) (-0.37535205228240071,-0.92688232092719769) (-0.17331673866270747,0.98486613714723803) (-0.52422520167056907,-0.8515796720997113) (-0.96453488008590704,0.26395542255779758) (0.19535156308485346,-0.98073328015332661) (0.87543304704555114,-0.48333940470495729)
 (1,5.5511151231257827e-17) (-0.02069820347739848,0.99978576923899398) (0.19191924387080561,0.98141072127425666) (-0.23050428801557626,0.97307130941490194) (-0.34035367410356782,0.94029749362858661) (-0.85524643983234383,0.51822150394797339) (-0.086399563650556954,-0.99626056601724089) (-0.99789782031150354,0.064806945750819911) (-0.09202551674294196,-0.99575664912075457) (-0.34155696880828396,0.9398610732754582) (-0.11807484189578377,0.99300469873575303) (-0.54267542130644619,-0.83994249035863788) (-0.91320871391179059,-0.407492140826756) (0.90719250411871055,-0.42071577159743201) (0.46890429459032484,-0.88324898104370875) (0.5626625493106977,-0.82668667317381261) (-0.57802531376711275,0.81601883351086357) (-0.71338583061935967,0.70077147250121774) (-0.95381805356943206,-0.30038495415885874) (0.91421062957602817,-0.40523934257448668) (0.98947541462504207,0.14470108449006411) (0.83049147022580594,-0.55703134371611351) (-0.69999456376195668,-0.71414817139281972) (0.58816195053307418,-0.80874317304390808) (0.40820526639582611,-0.91289016890681407) (0.48483467800238367,0.8746058169291604) (-0.68256218276901448,-0.73082752182276001) (0.3135907493060191,-0.94955823515447846) (-0.57549106269990613,0.81780806840757714) (-0.95100809916830342,-0.30916596726724199) (0.95712569301214556,0.28967293241864772) (0.99196447995289616,0.12651668076495032) (0.30930348063927438,0.95096338355608157) (-0.42046740883260758,0.90730764248384466) (0.19535156308485352,-0.98073328015332695)
 (0.99999999999999989,0) (-0.77733276938250373,0.6290896324405032) (-0.92501043157671992,0.37994170799512117) (-0.43297053582052969,-0.90140807357782393) (-0.99800733500766359,0.063098013208825854) (0.69710948682059437,-0.71696468768324118) (0.92783022391070991,-0.37300278229230666) (0.93617392934012145,0.35153715880953079) (-0.070312882329967075,0.99752498644317344) (-0.70078931267170719,-0.71336830546718) (0.96802194296202226,0.25086553757746527) (-0.95146650677440381,-0.30775231353559862) (-0.31903154207804707,0.94774409792902548) (0.23746495415847901,0.971396106408973) (-0.98304278257900046,0.18337635512610451) (-0.99808737552268179,0.06181901667162093) (0.76182186252636619,-0.6477865773361301) (0.97028033898032606,0.24198360231268506) (-0.83994518836853405,-0.54267124535629097) (-0.70974603627447308,-0.70445763818179652) (0.075421305502759273,0.99715175709430526) (0.99348119785930633,-0.11399609423150525) (0.90744137209541498,-0.42017871936783247) (0.3609896799920696,-0.93256981022292562) (0.54605830032304414,-0.83774717704586021) (-0.59602749253264853,0.8029640266819198) (-0.71902275251073133,-0.69498653323060189) (-0.51158602281704935,0.85923206484525039) (0.31170172817418301,-0.95018000013325254) (-0.031806641508990763,0.99949404078059345) (0.95769987729749007,0.28776890906484742) (0.89846491798254946,-0.43904531788257428) (-0.33054411072315076,-0.94379054395890338) (0.30930348063927415,0.95096338355608145) (-0.96453488008590726,0.26395542255779747)
 (1,0) (-0.21495409925514758,-0.97662415248313761) (0.80974566065224518,-0.58678101967843044) (0.17968363489014075,0.98372444889443811) (0.27614881142004205,0.96111489112972182) (-0.73431816960058816,0.67880544030999113) (-0.17231056222284444,-0.98504267427682912) (-0.86421244424910348,-0.50312707262180711) (0.57501603125125389,0.81814214156468978) (-0.98873521121584385,0.14967525547651714) (-0.39655892236196483,-0.91800927070216198) (-0.61233170149227234,-0.79060096594146556) (-0.99458683068474274,-0.10390878802332587) (-0.12862530852423676,0.99169326407263891) (0.88984290472781857,0.45626703245529221) (-0.96361294005825093,0.2673015184249673) (0.62129642444158317,-0.78357562045797746) (0.81802022424723297,-0.57518945811141708) (-0.88353359258468256,-0.46836779433945341) (0.99838259510706728,-0.056852385941814104) (-0.016345945272462831,0.99986639611157546) (-0.99171823435541762,-0.12843264245110597) (-0.48525684728334317,0.87437165562741714) (-0.92261781194608283,0.38571540425529005) (0.70955261034101524,0.70465246267805737) (-0.3063443110070232,-0.95192077564975497) (0.69234652920425321,0.72156516233727797) (-0.58198079924494817,-0.81320252662556924) (-0.5413305116692031,-0.84080989357640046) (0.98019992815760415,0.19801035538533324) (0.8901467691720133,0.45567392873920909) (-0.0072120768489872256,0.99997399263557063) (0.89846491798254935,-0.43904531788257428) (0.99196447995289594,0.12651668076495037) (-0.5242252016705693,-0.85157967209971153)
 (0.99999999999999989,0) (-0.99768621180035466,-0.067986930975417567) (0.99264695029207839,0.12104557850592207) (-0.9911253653578771,0.13293047109001638) (-0.96323007019615692,-0.26867793335126089) (0.77876901150107436,-0.6273107895817166) (0.98644903167252074,0.16406799783121795) (0.52254251233565319,0.85261323166013692) (-0.98723705304793941,0.15925765629701477) (0.52145074593176699,0.85328138358175964) (-0.48221592095110727,0.87605239887878461) (0.86020010193964636,0.50995664974879984) (-0.83478433382557038,0.5505770754393936) (-0.19185913637783536,0.98142247365156132) (0.9032216351502288,-0.42917441419141605) (0.62279356297480593,-0.78238620764756983) (-0.73417382933580566,-0.67896155142864822) (-0.50024032080377667,-0.86588661003744227) (0.085015924303420004,0.99637959263266407) (0.14115656807925217,-0.98998728440727279) (-0.85898579445076406,0.51199941887836964) (-0.48408071875222908,0.87502334696413919) (-0.51106414188383842,-0.85954257770080011) (-0.67561313579352233,-0.73725632635009797) (-0.95494988682329796,-0.29676710339282725) (0.17668288639815871,-0.98426782821242986) (-0.14038434011967416,0.99009708465844937) (0.95568484012975241,-0.29439172261829316) (0.12494246095673715,-0.99216398919234716) (-0.39400981706472549,-0.91910623110531597) (-0.60157175589956058,-0.79881876699531584) (0.89014676917201307,0.45567392873920914) (0.95769987729748973,0.28776890906484737) (0.95712569301214534,0.28967293241864767) (-0.17331673866270753,0.98486613714723814)
 (1,0) (0.79124012871640004,-0.61150556719367211) (0.31454189986201153,0.9492435900395616) (0.99385627682308331,-0.11067836744078513) (0.39552687796939134,0.91845440213642915) (-0.75279085937107626,-0.65825976790880558) (0.88084655286484281,-0.47340189089833856) (0.59152799487797525,-0.8062844605197601) (-0.92407522741526327,0.38221064097880497) (0.68085526703307897,-0.73241798541086722) (-0.81322168490212032,0.5819540284291832) (0.75175246842324983,0.65944539290190662) (0.11466310993867934,0.99340443486990115) (-0.93913280010133027,-0.34355433889536918) (-0.44868187163463952,0.89369154525844952) (0.8254885859276484,0.56441881125913118) (-0.82104868794144692,0.57085817155369567) (0.3865333066112267,-0.92227544848607446) (-0.75037928465622228,0.66100751066747832) (0.40214947988442096,-0.91557402531345788) (-0.87478873196825591,-0.48450456594481256) (0.71473819395154248,-0.69939210326317414) (0.63259282954952201,-0.7744845460062646) (-0.58972311861019788,0.80760549984300023) (0.69650047641886836,0.71755632973884953) (-0.85679090270555192,-0.51566398850511608) (-0.096037959602530976,-0.9953776722005474) (-0.99289995018872124,0.1189524649397069) (-0.96149962918551946,0.27480622823383449) (0.42023394129775132,0.90741580027094282) (-0.39400981706472554,-0.91910623110531631) (0.98019992815760437,0.19801035538533329) (-0.031806641508990652,0.99949404078059367) (-0.95100809916830353,-0.30916596726724216) (-0.37535205228240082,-0.92688232092719802)
 (0.99999999999999989,0) (-0.99510458471255958,0.098827453088928652) (0.46797896083082657,0.8837396065695482) (0.0067501572510418363,-0.99997721742902035) (-0.17386297369423792,0.98476985452347987) (0.56366487387335718,-0.82600357745068587) (0.10816028200347935,0.99413346860314833) (-0.50894917999055189,0.86079656841029728) (-0.21942773680366304,-0.97562875537840821) (-0.87990107296022158,0.47515692334580417) (-0.32921567910680632,-0.94425475197652153) (0.15412506099147039,-0.98805134764058444) (0.58833923547784162,-0.80861421209211226) (0.98143614027064752,-0.19178921390592571) (0.37916212386911968,0.92533025662357837) (0.87912459336363524,0.47659201561002085) (0.12086073320606648,0.99266947327340094) (0.38762635506177839,0.92181658092134589) (0.72651593118705782,0.68714962106618493) (-0.94414886677024068,-0.32951922155842589) (0.23166889525659015,0.9727946972360566) (-0.67654625997843953,-0.73640013451192854) (0.99935244821338076,-0.035981721052812332) (0.66730538182082422,0.74478421532210526) (-0.91719245232523205,0.39844448220251089) (0.028937021142752789,-0.99958123672235033) (0.67712044251564207,0.73587220787812024) (-0.97952612226594826,-0.20131710259844601) (-0.89597747078494872,-0.44409950669394471) (-0.96149962918551934,0.27480622823383455) (0.12494246095673713,-0.99216398919234727) (-0.54133051166920299,-0.84080989357640046) (0.3117017281741829,-0.95018000013325243) (-0.57549106269990624,0.81780806840757714) (0.19340077748104678,-0.98111983940277514)
 (1,-5.5511151231257827e-17) (-0.77858231239809883,0.62754249483268321) (-0.48593555023659069,-0.87399464587390996) (-0.67405304698448609,-0.73868294271015256) (0.95909828861477209,-0.28307326397280036) (0.56530644519512818,-0.82488097506297564) (-0.69133245239322094,0.72253680893638528) (-0.94297575806568434,-0.33286141215293569) (0.78309105790554945,0.62190706301534016) (-0.78555133799124433,-0.61879648946981314) (0.55482479596874179,0.83196721436499055) (0.99035431490747461,-0.13855804178807268) (-0.8699284052184254,0.49317803052662923) (-0.99959477652761453,0.028465465720903416) (-0.99827071687747204,-0.058784146033912632) (0.59236095996365834,-0.80567269601925362) (0.71980103720898536,0.69418042815457404) (0.88183103521163364,-0.47156550482152249) (-0.81575073316781854,0.57840361456008116) (0.32847332326376188,0.9445132481358105) (0.62842800275590893,-0.77786775569644218) (0.47173681581346055,0.88173940402262652) (-0.55128952521029051,-0.83431400527224353) (0.44401826669204308,0.8960177335543047) (0.70308642581891356,0.71110440712260048) (0.98204687584300632,-0.18863704208609361) (0.26219033495542499,0.96501618030785385) (0.51964783299744277,-0.85438055318520667) (-0.97952612226594826,-0.20131710259844598) (-0.99289995018872146,0.11895246493970701) (0.95568484012975263,-0.29439172261829333) (-0.58198079924494828,-0.81320252662556936) (-0.51158602281704924,0.85923206484525039) (0.3135907493060191,-0.94955823515447857) (-0.99631389296406558,0.085782438102381231)
 (0.99999999999999989,0) (-0.38746261724162817,-0.9218854160036738) (0.69215779667201449,-0.72174620505142961) (-0.88718065923575029,0.4614222338357995) (0.68376797070708006,0.72969950132580008) (0.40736954748976806,-0.9132634076639552) (-0.50117913937855607,-0.86534355619705638) (0.9968620833565045,-0.079157986117180751) (-0.72685579630867891,-0.68679010721797262) (-0.26608768172074121,0.96394882936620618) (-0.65643360543009943,-0.75438380262439197) (-0.11094076557000859,-0.9938270204289773) (0.8633267339208196,-0.50464537102564111) (-0.62731414628837445,0.77876630760869869) (-0.48279962610946259,0.87573084964991488) (-0.97832463040856199,0.20707708114600426) (0.37628972166461078,0.92650204822740045) (0.77889927583733942,0.62714903978246384) (-0.90927182581847332,0.4162027712218393) (0.1418162765983384,-0.98989299608179038) (0.28553514160782884,-0.95836823972155716) (0.76317805612864476,0.64618825015911852) (-0.99866948249781118,0.051568059179629672) (0.66499168658048391,0.74685075937488543) (-0.97396040859790933,0.22671815649345772) (0.96128525372026496,-0.27555518681375718) (-0.20208972824874358,-0.97936701074538302) (0.26219033495542488,0.96501618030785363) (0.67712044251564207,0.73587220787812024) (-0.096037959602530892,-0.99537767220054718) (-0.14038434011967416,0.99009708465844914) (0.69234652920425288,0.72156516233727763) (-0.71902275251073133,-0.69498653323060167) (-0.68256218276901426,-0.7308275218227599) (0.099440496897732378,0.99504351039375705)
