# Created by Octave 5.1.0, Fri Sep 17 16:03:16 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
2.2194166775262235e-13


# name: H
# type: complex matrix
# rows: 37
# columns: 37
 (1,0) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (1,5.5511151231257827e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (0.99999999999999989,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (1,8.3266726846886741e-17) (0.99999999999999989,5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (0.99999999999999989,8.3266726846886741e-17) (1.0000000000000002,2.775557561562892e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,2.0816681711721685e-17) (1,2.7755575615628914e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17)
 (1,0) (0.50516437292897187,-0.86302314935538116) (-0.98815914578261954,0.15343240402914793) (0.79531236152385887,0.60619984131253535) (0.36799466656526764,0.92982790094700851) (0.99469411890018611,0.10287667289226704) (-0.64482303372434313,-0.76433190119118832) (0.019635667943117829,0.99980720168661885) (-0.47951028958231828,-0.87753625690605008) (-0.98750293070574113,-0.15760064037805704) (0.97980708734962718,0.19994517143317492) (-0.39271905874979451,-0.91965849144923106) (0.68981897210293375,0.72398189599385232) (0.99164057850468657,0.12903086089339921) (0.65604681053510827,-0.75472020139036489) (-0.94616334546481262,0.32368954833116581) (-0.46073736543565658,-0.88753652324364141) (-0.87055286154160882,-0.49207490818138466) (0.18903543363730974,0.98197026677468957) (-0.036549105181715169,0.99933185824850801) (0.54550073483137251,0.83811034374862237) (-0.90918352368293898,0.41639562949612696) (0.90162968694080703,-0.43250885265740391) (-0.49104371110396572,-0.87113493431571531) (-0.65442330899983725,0.7561283837006153) (-0.1855406601310613,-0.98263658767528606) (-0.58791912724146111,-0.80891971160532361) (-0.045525927820814827,0.99896315742676633) (-0.96108317136806842,0.27625918575333613) (-0.44201676401252588,-0.89700678945696766) (0.72528958535925458,-0.68844391011134742) (0.45253143486208425,-0.89174845133684721) (0.99924242555028153,0.038917540780355031) (-0.57852970173650076,0.81566131709716105) (-0.064923507603677821,0.99789024354406708) (-0.048557209799206913,-0.99882040296367403) (-0.037880187866198567,0.99928228812844599)
 (1,0) (-0.88153946874552147,-0.47211033143097386) (0.94353831152769108,0.33126342188577712) (-0.4433597646871843,0.89634375049783421) (0.97215625883125401,0.23433354095225237) (0.95181921597924135,-0.30665971384038004) (-0.80470260075647948,0.59367813193325447) (-0.68770123362220359,-0.72599381076872804) (-0.52917056890411251,-0.84851547363951874) (0.92876646519766304,-0.37066541938011754) (-0.31615434642625484,0.94870776809078006) (-0.9712966902924024,0.23787126650149454) (-0.93301929262841965,-0.35982634642722194) (0.7839851924711132,-0.62077952445778362) (-0.69161679419678435,-0.72226463985506295) (0.94003849668434303,0.3410683578865692) (0.66272731562376574,-0.74886080490710527) (0.99999748339237882,-0.0022434814262949354) (-0.95926636885203564,-0.28250315677781601) (0.19034325532027768,0.98171759949288828) (0.54661661813942575,0.83738299049707077) (-0.50246141977472158,0.86459963083381663) (0.79234304424892532,0.61007581514951637) (-0.54160576138668715,0.84063261846822668) (0.16153212766659156,-0.9868674539833121) (0.4696624348110513,-0.88284607793621372) (0.75325389236965568,0.65772986372063347) (-0.58171178353452313,-0.81339498455368209) (-0.96316906080706333,0.26889656060284395) (0.71397682234198001,-0.70016933463159448) (-0.31050089610548737,0.95057308688900399) (-0.94680811587679992,0.32179868195787431) (-0.89127818961549099,-0.45345693148934652) (0.81506029525632373,0.57937614301649776) (-0.60040295885088946,0.79969762223173946) (-0.021494704999412889,-0.99976896213924815) (-0.048557209799206955,-0.99882040296367403)
 (1,5.5511151231257827e-17) (0.83747575736672353,0.54647447865662879) (-0.37668825228151703,0.92634008905644172) (-0.86113203846776332,0.50838136504434872) (0.13069345158514745,-0.99142282690724948) (-0.37849360939791432,0.92560390429434791) (0.57032317813576872,-0.82142039935779465) (0.82154393992030506,-0.57014520499625587) (-0.93555886265332999,-0.35317080076190943) (-0.93910290782916628,0.343636040756502) (0.12948253125402964,0.99158170318942995) (0.033330678810950642,0.99944437856741308) (0.57937367332762946,-0.81506205080033645) (0.51931542051661639,-0.85458264317364308) (0.99554682729436739,0.094268312089060502) (-0.50209631509391206,0.86481170804350027) (0.99662378234607285,-0.082103815150140591) (-0.27951943280496339,-0.96014003493469247) (-0.98967185521956291,0.14335138292416344) (0.93177076178873341,0.36304716976674528) (-0.65932597387778102,-0.75185720730077221) (0.57415923125937807,-0.81874365778285019) (-0.99185155369137212,-0.12739896169126985) (0.98173028420344122,0.19027782077223748) (0.97217470881760248,-0.23425698609734397) (0.024194875277274264,-0.99970726115714381) (-0.090873788423685653,-0.99586241749426829) (-0.68810726623928176,-0.7256089788231006) (-0.65836266445184544,0.75270087156576837) (-0.77661815966117276,0.62997161371326404) (0.99644071952439828,0.084296455878643595) (-0.74055660732118966,0.67199398163445745) (-0.23782396892970092,-0.97130827228152739) (0.42109742634349034,0.90701541195664892) (-0.74416752497320393,-0.66799303497510865) (-0.60040295885088935,0.79969762223173957) (-0.064923507603677877,0.99789024354406686)
 (1.0000000000000002,0) (-0.89399942370136831,-0.44806810913255257) (-0.35146796515537082,0.93619990892412641) (0.56321651662460148,0.82630935817116846) (-0.5610648218018458,0.8277718681716989) (-0.98572683453823384,-0.16835262894066469) (-0.36868377382560497,-0.92955487999241415) (0.49886883104607627,-0.86667750023334655) (-0.38854127573954766,0.92143131976652703) (0.43878795645908136,-0.89859063497594016) (0.21281321864540359,0.97709289935490973) (-0.56332338955090289,-0.82623650293658757) (0.75754564838673433,0.65278219232016665) (-0.77607244865496305,-0.630643761912135) (-0.93081969920204966,0.36547871015615307) (0.29569893918429074,0.95528118235694637) (-0.017772999621398444,-0.99984204776777508) (-0.35910247504171566,0.93329813694173558) (-0.51279951788890321,-0.85850838927345863) (-0.98520008579928453,0.17140825808893204) (0.9636589067394723,-0.26713575474220058) (0.34892887217112167,-0.93714921019301334) (-0.99507041663873064,-0.099170892556352641) (0.90022492222074613,-0.43542518233635985) (0.66754055908023635,0.74457343625920891) (-0.88325102572563874,0.46890044311624046) (0.62040264130626643,0.78428347085744954) (-0.11020257472993286,-0.99390914701641297) (0.45025432964331225,-0.89290035202000584) (0.19457724961214734,-0.9808871973541976) (0.99789025190066138,0.064923379160620937) (-0.88278921390920584,-0.46976930913541742) (0.69104940034052675,0.72280753059787584) (0.30680167830070393,-0.95177346579523359) (0.4210974263434904,0.90701541195664892) (0.81506029525632384,0.57937614301649798) (-0.57852970173650087,0.81566131709716105)
 (1,0) (-0.99618719268705436,0.087241487414457586) (-0.30159262321599223,-0.95343688287253503) (0.92357759267023376,0.38341156779295971) (0.99977415626077004,-0.021251740471461555) (0.99665578181385772,0.081714457576425703) (0.40980278667718184,-0.91217414786411144) (-0.84903416099807916,-0.52833795383096305) (0.56028382644861563,0.82830069046216459) (-0.9982234603457093,0.0595812320738493) (-0.99925409291280576,-0.038616807182976998) (-0.9441365086569431,-0.32955462828046783) (-0.91879863721108335,0.39472656898042296) (0.22185644291296364,-0.97507933971447069) (0.71019139009438947,0.70400865721651429) (-0.96888818331555959,-0.24749886511148778) (-0.98475117203331641,-0.17396875920408941) (0.99278139987423042,-0.11993786751382968) (0.42575731490240576,0.90483739357251092) (-0.89958144763220305,-0.43675304128986875) (-0.20320099097065267,0.97913704723524042) (0.96792145604262725,0.25125296999701607) (-0.7598132163847926,0.65014142785012363) (0.51406573749771634,-0.85775078987485021) (0.93798813238243017,-0.34666736724087882) (-0.99933946214924407,-0.036340602516470921) (-0.1619418020642186,-0.98680031047025629) (0.94599143848946787,0.32419160739387998) (0.53418627323589862,-0.84536679937547932) (0.57099763100131029,0.82095170710029697) (-0.38051805725312554,0.92477349016086485) (-0.99661083836882158,0.082260785589460983) (0.088850818549888244,0.99604494479065353) (0.69104940034052686,0.72280753059787561) (-0.23782396892970109,-0.97130827228152727) (-0.89127818961549099,-0.4534569314893464) (0.99924242555028142,0.03891754078035492)
 (1,5.5511151231257827e-17) (0.47119493469770429,-0.88202910015215918) (0.96096673847404246,-0.27666392527137107) (0.30123128678092204,-0.95355110605793425) (0.022289612963130867,0.99975155571469643) (0.99908086659346595,0.042865160758476017) (-0.61146714551535275,-0.79126982120848588) (0.93459641501451785,0.35570991136319496) (-0.017616938968515017,0.99984480968867395) (-0.45768998228271357,-0.88911184904828) (-0.99472503559850134,-0.1025773052558977) (0.39299582123141291,0.91954025713649346) (-0.44782789714364796,-0.89411977639458284) (-0.9507015309843031,0.31010739911215218) (-0.62132841536014916,-0.78355025382297461) (-0.91613244185498899,-0.40087572760247836) (0.26447089302595728,0.96439366792926062) (0.79584003796141412,0.60550692314586874) (0.34227252851773965,0.93960072170155073) (-0.9038257554094703,0.42790069392150043) (-0.16319453987357513,-0.9865939094457522) (-0.26073036454564191,-0.96541166193696781) (0.97315642710240169,-0.23014466839205788) (0.95208587112954657,0.30583082577708409) (0.3488895396931207,0.93716385391921941) (-0.54766020853182984,-0.83670084019969426) (0.59000318419363085,0.8074009181573788) (0.98784984824278732,-0.15541131659793345) (-0.99993581559828548,-0.011329813934567667) (-0.99777159464573462,-0.066722147133534027) (0.98645003568530032,0.16406196115026112) (0.68146696561954689,0.73184887426933265) (-0.99661083836882169,0.0822607855894609) (-0.88278921390920573,-0.46976930913541726) (-0.74055660732118966,0.67199398163445734) (-0.94680811587679992,0.32179868195787442) (0.45253143486208425,-0.89174845133684699)
 (1,0) (0.99820231542826021,0.059934443132974649) (-0.99116881293424175,0.13260612454379758) (0.098489248106084643,0.99513811504107197) (0.51453888954325144,0.8574670437676295) (-0.92535154807578823,0.37911015875829857) (0.42890553292116484,-0.90334934761121721) (0.91159703000401016,0.41108497283149192) (0.82191865039290646,-0.56960489125033187) (0.9571724262362713,-0.28951847342262965) (0.73597175266460524,-0.67701224455676645) (-0.71761104807244491,0.69644409946841113) (-0.99795704737763935,0.063888430793876572) (0.69343916881126344,-0.72051517621653416) (-0.99759699875534302,0.069283678267915122) (-0.10095866724836969,0.99489062087620139) (-0.85978118052036645,0.5106626299456466) (0.97528574510311361,-0.22094731362626796) (-0.99995601627589248,0.0093789932107688906) (-0.70496885529894859,-0.70923826254545086) (0.081947035676601013,-0.99663668573047115) (-0.48624663837658177,0.87382161032299577) (0.38031987311171017,-0.92485501248373714) (0.34822835370974881,-0.93740973628003155) (-0.85009609328844971,-0.52662760293751743) (0.84821711870120564,0.52964867557865625) (-0.99429644023980679,0.10665171787856408) (-0.86996096154560176,-0.49312059923172158) (-0.78676197192694963,-0.61725651031772599) (-0.60890432029294628,0.79324367550493879) (-0.91766817929182565,-0.39734759684088333) (0.98645003568530032,0.16406196115026109) (-0.3805180572531256,0.92477349016086485) (0.99789025190066116,0.064923379160620839) (0.99644071952439817,0.084296455878643525) (-0.31050089610548731,0.95057308688900388) (0.72528958535925447,-0.68844391011134731)
 (1,0) (0.96053349003874944,-0.27816436600323391) (-0.78674959845141113,-0.6172722813609427) (-0.28899718618042303,-0.95732994645513814) (-0.95998692882186543,-0.28004481157694172) (-0.31639856229668567,0.9486263488732487) (0.32431247042802225,0.94595001005596235) (0.37816288582220692,0.925739073274225) (0.63103660634284775,-0.77575305442860032) (-0.95185137482332949,-0.30655988036097931) (0.78573081537062839,0.61856857807118648) (-0.37828262087094144,-0.92569015266827437) (-0.69780457634897886,-0.71628819146096656) (-0.67870311010400131,-0.73441275066215783) (0.62127222098593171,-0.78359481074800885) (0.93576438100012538,0.35262589702325131) (0.92805264412134203,0.37244904314467919) (0.73991141210909994,0.67270432006247649) (-0.33949120906552033,0.94060922755798648) (0.70789924452630826,-0.70631342872628622) (0.82532189415405555,-0.56466252844505549) (-0.40035399453627163,0.91636056171075597) (-0.73104836009537744,0.68232565187149508) (-0.80436163950229012,-0.59414001119028248) (-0.25480422591474228,0.96699266101454495) (-0.90327747901057198,0.42905686792347936) (0.63579934025029927,-0.77185438972469733) (0.64270825142216681,-0.76611102560520716) (0.54440648203285158,0.83882154378664753) (-0.82304213692528227,0.56798031730462784) (-0.60890432029294639,0.79324367550493902) (-0.99777159464573473,-0.066722147133534027) (0.57099763100131029,0.82095170710029708) (0.19457724961214728,-0.98088719735419749) (-0.77661815966117265,0.62997161371326404) (0.7139768223419799,-0.70016933463159448) (-0.44201676401252588,-0.89700678945696755)
 (1,0) (0.55084650301382965,0.8346065720550222) (0.021920602276171014,-0.99975971472941938) (0.97934623854817726,0.20219036832039039) (0.21059623127324581,0.97757313147073854) (0.74780220566334588,-0.66392157760162884) (-0.078902522929853641,0.99688233602331633) (0.10771461689476758,-0.99418185524943747) (0.41692699805532252,0.90893997507677926) (-0.26846711033266235,-0.96328885110834261) (0.82529505795911418,-0.5647017507572144) (0.75102775858996063,0.66027063074722625) (0.63756512671764709,0.77039646234488357) (0.98291959289919362,-0.18403552345914911) (0.41452361059034426,-0.91003855756948282) (-0.69772135354116138,-0.71636925730567824) (0.9429560146161603,0.33291733883834806) (0.97658380633585362,-0.21513732638149277) (-0.53564609766407556,-0.84444257238562281) (0.74516280298893844,-0.666882596145429) (-0.61892930801688473,0.78544669563105329) (-0.54102536359009545,-0.84100627581023768) (-0.91207678404493031,-0.41001943857121992) (-0.69211519158058343,0.7217870611083107) (-0.23446207248982245,0.97212526793812848) (-0.5045571411767904,0.86337830137634608) (-0.81730006710461889,0.5762122875388771) (-0.92926977090337137,0.36940180411740753) (-0.64024878380707229,-0.76816762157328977) (0.5444064820328518,0.83882154378664753) (-0.78676197192694963,-0.61725651031772599) (-0.99993581559828537,-0.011329813934567584) (0.53418627323589873,-0.84536679937547932) (0.45025432964331213,-0.89290035202000584) (-0.65836266445184544,0.75270087156576837) (-0.96316906080706344,0.26889656060284406) (-0.96108317136806842,0.27625918575333624)
 (1,0) (-0.72392305012393499,0.68988072700957503) (0.44172399573290788,0.89715099709789869) (-0.81521228070834373,0.57916227206397031) (0.10644015435780729,-0.99431911051748689) (0.16994495441194896,-0.98545355672904289) (0.91151087796961905,0.41127596494696372) (0.94300540676816302,0.3327774072950439) (0.9937040109358326,-0.11203721993176596) (-0.0080981718459212093,0.99996720926876093) (-0.20787326125400463,0.97815576840073204) (0.66220568724978968,0.74932211216140798) (0.23754692037294217,-0.97137606549746325) (-0.27831786519816981,-0.96048902435766259) (-0.72454768270003489,0.68922467707853396) (0.36877659436932836,-0.92951805977364432) (0.56436051803870846,-0.82552844026058847) (0.42324992793472016,0.90601296817609345) (-0.12677056449375856,-0.99193206621115715) (-0.96920471756891258,0.2462564018298089) (-0.85580459441429291,-0.51729923272646317) (-0.49497072181573776,0.86890965269423071) (0.67357106864678074,0.73912246311557572) (0.18796278702565666,-0.9821761505420239) (-0.18585153567496265,0.98257783747001892) (-0.94606088978345537,-0.32398887762103334) (-0.98379270799094254,-0.17930953043229225) (0.28465388637737249,0.95863035888201376) (-0.92926977090337137,0.36940180411740747) (0.6427082514221667,-0.76611102560520694) (-0.86996096154560176,-0.49312059923172158) (0.98784984824278732,-0.15541131659793356) (0.94599143848946787,0.32419160739388014) (-0.11020257472993289,-0.99390914701641275) (-0.68810726623928176,-0.72560897882310038) (-0.58171178353452313,-0.81339498455368198) (-0.045525927820814827,0.99896315742676633)
