# Created by Octave 5.1.0, Fri Sep 17 16:23:47 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
1.2982376324396581e-13


# name: H
# type: complex matrix
# rows: 40
# columns: 40
 (1,0) (0.99999999999999989,2.775557561562891e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (0.99999999999999989,2.775557561562891e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (1.0000000000000002,2.775557561562892e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,4.163336342344337e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (0.99999999999999989,2.775557561562891e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17)
 (1,-5.5511151231257827e-17) (-0.8223995679282996,0.56891031865430786) (-0.98428947701199609,0.17656224240604679) (0.94747480247637661,0.31983042174307225) (0.40153196736346736,0.91584500827663151) (-0.75956332563818185,0.65043335888118847) (0.86516348381046149,-0.50148992640026724) (-0.36423121708508066,-0.93130855279049229) (-0.87930493029914714,-0.47625921466320426) (0.042839630440787424,0.99908196163462826) (0.46818022825826566,0.88363299727207922) (0.99771781660618475,0.06752154046367187) (-0.56540698623799357,-0.82481206338975765) (0.14204513125071871,-0.98986018239343654) (0.65150673040970697,0.75864285420140409) (-0.32163282693932382,-0.94686447004575036) (0.37676217782643506,-0.92631002442998633) (-0.36235157474838675,-0.9320414884957452) (0.37444649951325071,0.92724852062555141) (-0.052547315669514205,-0.99861843544765816) (-0.72223237202514301,0.69165049034822168) (-0.73832070396145377,0.67444980398978804) (-0.9663647847607798,0.25717523748263921) (0.67607293808195457,-0.7368347049326831) (-0.99341299852121634,0.11458889286962171) (-0.11702583891512336,0.99312887030143893) (-0.44213904356495193,0.89694652357622184) (-0.65078635878752977,-0.75926090062380314) (-0.9433271749637534,0.33186419055828276) (0.77091460387160504,0.63693851629296705) (0.99866632362255769,-0.051629197768363722) (0.88074952581940402,0.47358238224082549) (0.9155396386688065,0.40222775889561824) (0.87503531340243024,-0.48405908761091415) (0.6981736228178651,0.71592848274208121) (0.024869741111479771,-0.99969070015532702) (0.93225978616934313,-0.36178956741660068) (-0.99039803273468419,-0.13824520518002403) (-0.52741590829169105,-0.84960723848190634) (-0.83679952343684905,-0.54750941323036872)
 (1,0) (0.37669981176994932,-0.92633538840556262) (-0.20722580732059837,0.97829313847145338) (0.90841166852847288,-0.41807683561914333) (-0.61865017338373995,-0.78566657239077475) (0.99157064391064853,-0.12956719544167575) (-0.23970653653007382,-0.97084539260623581) (0.9956521937008922,0.093148854950563353) (-0.44017777773061756,-0.89791064365678108) (0.12551033389905883,0.9920923122797326) (0.44513798193454762,-0.89546199084005695) (-0.84095314281542999,-0.54110794818488039) (0.89691309825225496,0.44220684547340589) (0.50812974412285672,-0.86128053683897998) (-0.41174645255949527,0.91129844661596549) (0.045595139805746941,0.99896000081389336) (0.86755071670892603,-0.49734872467699059) (0.84518971445442426,-0.53446641295824027) (-0.23461437359271964,0.97208852256556144) (-0.52697731150909977,0.84987935211690002) (-0.98471470226403313,-0.17417507038912469) (0.49042708218199504,0.87148222991777313) (0.0089057899784531058,0.99996034266607781) (-0.096910771780089028,-0.99529307357832442) (0.048175060050324292,-0.99883890772694051) (0.54545471807097379,0.83814029287113667) (0.99999156089492158,-0.0041083012230325473) (-0.6748590891257672,0.7379466171914737) (-0.99846096789233729,0.055458954150767112) (0.97431361720951959,-0.22519541585054881) (-0.99823138918723364,-0.059448243383008165) (-0.99053660551762002,0.13724880010269899) (-0.94671508115446368,-0.32207228243780567) (-0.78337202541529849,0.62155311100237665) (-0.95917678598418254,0.28280716615576468) (-0.24104298008047459,0.97051444180595481) (0.79843986485938778,0.60207456531838532) (0.68885905339929088,-0.72489530592343654) (-0.83943991159767928,-0.543452513856436) (-0.52741590829169083,-0.84960723848190622)
 (0.99999999999999989,0) (-0.049603709678149525,-0.99876897828585243) (-0.72187074441305632,-0.6920279101022877) (-0.46262276263024382,-0.88655523206191789) (-0.95854074090149044,0.28495551939210079) (-0.68249743159376786,0.73088799132829507) (0.099531292351758505,0.99503443249105128) (-0.059279801699789018,-0.99824140622919133) (0.91080746993627359,-0.41283138532369829) (-0.056876062274569622,0.99838124658876626) (-0.057484570389081315,-0.99834639487864263) (0.46739239552054312,0.88404996952070991) (-0.86462962816536792,-0.50240979896755322) (0.40287445696008739,0.91525524960478377) (-0.36999092252816929,0.92903536921193397) (-0.60715279863313798,0.79458509872256522) (-0.78098638597994907,0.624548048523072) (0.94415570161716444,-0.32949963748659855) (-0.92410101968662917,0.38214827673840474) (-0.67414499986038634,0.73859902461568416) (0.94045689189189663,0.33991298076571491) (0.0095949599491215523,0.99995396731228303) (0.97652156672248247,-0.21541965956213854) (-0.96057696496054734,0.27801419817553158) (-0.94153051872293581,-0.33692771081245182) (-0.66016956985971542,0.75111659483148063) (0.42286692586521968,-0.90619179151507379) (0.98767391674424521,-0.15652550649361233) (0.57511563959521861,0.81807212462776291) (0.92858779947613213,-0.37111278429080596) (-0.2732407773845138,0.96194567288090982) (0.8949830749268024,-0.44610009593651218) (0.73915950099463468,-0.67353042402653429) (0.36923544974673705,-0.9293358825797724) (0.63095651147613252,-0.77581820075702623) (-0.95717669487007306,-0.28950436058478113) (-0.90946128038845686,-0.41578862355070401) (0.97356281018097246,-0.2284194707824338) (0.68885905339929099,-0.72489530592343654) (-0.99039803273468419,-0.13824520518002398)
 (1.0000000000000002,0) (0.73585379046664512,-0.67714045740590012) (-0.35770225201285338,-0.93383569159940261) (0.58074268396710238,0.81408717900399774) (-0.51239092676756515,0.85875231479529468) (-0.42140322089864279,0.90687337893239017) (0.087054419096374125,-0.99620355757033585) (-0.81896404215538687,0.57384483761423744) (0.29398323442493313,-0.95581057635760414) (-0.57049026480521015,-0.82130436365727522) (0.84243326436851362,-0.53880070070983666) (0.12827827020909111,0.99173821414331109) (-0.33804749600675049,0.94112905089767929) (0.50572436990305003,-0.86269511513985342) (0.30304168862047182,-0.95297730033723971) (-0.99620540072123154,0.08703332450189305) (-0.62154618384145488,-0.78337752160253216) (-0.92613430197396951,-0.37719392188526607) (-0.75670795985264305,-0.65375306002775413) (-0.55084872749666758,-0.83460510387566123) (0.16193845034016152,0.98680086050906335) (0.86175152982919345,-0.50733056367327789) (0.39712534046983416,0.91776438368282665) (-0.37704980406850025,0.92619298488592894) (-0.86013770867520944,0.51006188067229796) (-0.31670830392540467,0.94852298349839415) (0.50592943418003733,0.86257487073892236) (0.91684063203630828,-0.3992533724932873) (0.80558136947715253,-0.59248515352818465) (-0.06087673725339382,-0.99814529145880448) (-0.84160478187249355,0.54009387251602214) (0.59029543527440098,-0.80718727634558674) (-0.98253967941140941,0.1860531600971238) (-0.18674189744600533,0.98240901041178685) (-0.86111050701012148,0.50841783477448244) (0.84245720093368948,0.53876327324250095) (0.97694071195767918,-0.21351076160143251) (-0.90946128038845697,-0.41578862355070417) (0.79843986485938789,0.60207456531838544) (0.93225978616934335,-0.36178956741660068)
 (1,0) (-0.97251586342737872,0.23283662809381894) (-0.85190947736583444,0.52368907032157075) (0.32397784781711264,-0.94606466698835767) (-0.78836908431123542,0.61520255762006093) (0.19866797756465593,-0.98006685215365219) (-0.27621995764939811,0.961094446449549) (-0.99642825459075501,-0.084443670296959872) (0.96756500234605791,0.25262218080578897) (0.81053835459396861,0.58568556046064657) (0.74906539004722117,-0.6624960689946805) (0.99139866912218466,-0.13087657874028158) (0.9361176814757175,-0.35168691535018304) (0.65428809704701896,0.75624538746533299) (0.98184536745348305,0.18968308941530643) (-0.93916125555872565,-0.34347654367854319) (-0.62046979018468773,0.78423034847433082) (-0.78300263991774288,0.62201838066237725) (0.36455190260728509,-0.93118307024204872) (-0.85737561061727341,0.51469123007746909) (0.8288034648117738,0.55953982585335149) (-0.50785003409143648,-0.8614454961710154) (-0.9122734504466028,0.4095816788019821) (0.76211407762631411,0.64744276402149448) (0.59876204017426105,-0.80092697497734244) (-0.047757166379646721,-0.99885897556130898) (-0.40809857362455099,-0.91293786984964487) (0.64567301074414851,-0.76361401453652422) (-0.92911105051827481,0.36980083261781299) (0.91039151159440745,0.41374786478826731) (0.25478002876036543,-0.96699903668249165) (-0.95738404401498256,-0.28881792234125259) (0.98797508130919365,-0.15461319061481416) (-0.94852701157426389,0.31669623981663603) (-0.97701652514677484,0.21316357472636394) (0.13784701722977205,0.99045353239859524) (0.84245720093368937,0.53876327324250106) (-0.95717669487007295,-0.28950436058478113) (-0.24104298008047437,0.97051444180595481) (0.024869741111479826,-0.99969070015532679)
 (1,-5.5511151231257827e-17) (-0.58918721912568506,-0.80799654752909822) (0.42354807050672322,0.90587362913931446) (-0.24788583991300422,-0.96878924971875346) (0.10791958432306298,0.99415962667950786) (0.9847045387976866,0.1742325207050496) (0.93930626329508871,-0.34307979208140188) (0.11754827203532386,0.9930671698034883) (-0.52785033634756762,0.84933740198919772) (-0.98244266772948918,-0.18656474646772075) (-0.99355184055726264,-0.11337874635607945) (0.62991632334570125,0.77666300644657627) (0.72686378697937748,-0.68678165029214233) (0.97092825392330173,-0.23937068687174279) (-0.99243100022611896,-0.1228035414399169) (0.98698938557076743,-0.16078542462126261) (-0.75702908469602792,-0.65338117888740477) (-0.27027591971593629,0.96278290762856067) (0.47133727488595178,-0.88195304484030557) (0.29141691666703651,-0.95659614293612849) (0.97097919872498917,0.23916395138770119) (-0.17042512119525133,-0.98537062979651702) (-0.68393206574305654,0.72954570072644231) (-0.95664147795185039,-0.2912680598041954) (0.53500251299118506,-0.8448504667058645) (-0.67012476167899093,0.74224847846571995) (-0.37586907186785595,0.92667277979511065) (-0.91433483247376879,-0.40495902771165104) (-0.94316981659292221,-0.33231114496518765) (0.28293572816637197,-0.95913887092900452) (-0.34293775270746912,0.93935813072967622) (0.74776839938778528,0.66395965304906135) (0.63040003239447651,-0.77627044202200812) (0.63297947074942518,0.77416857958055751) (0.43571847962508398,-0.90008299979124495) (-0.97701652514677484,0.21316357472636399) (-0.86111050701012126,0.50841783477448244) (0.63095651147613263,-0.77581820075702623) (-0.95917678598418243,0.28280716615576462) (0.69817362281786499,0.71592848274208121)
 (0.99999999999999978,0) (-0.16687858449385495,0.98597745310799378) (0.99939794535235738,-0.034695054769900535) (0.78935706967924613,0.61393437478886381) (0.10894026537774132,-0.99404829791083471) (-0.99905655530916659,0.043428093370326049) (0.41017826177593641,-0.91200536926405817) (-0.99875812809496034,-0.04982169772549061) (-0.40719263013984031,-0.91334230273200367) (-0.95973521557164987,0.28090624057083274) (-0.89007923458038041,-0.455805831652913) (-0.8157584412255986,0.5783927433579894) (-0.48776596918142962,-0.87297443221923754) (-0.98749379284976979,-0.1576578862067371) (0.98412120922781365,-0.17749773392352164) (0.84270725375528088,0.53837206880393851) (-0.54227383672637863,-0.84020181266291782) (0.44098918546873528,0.89751241679411919) (-0.61526579026007799,0.78831973674115396) (-0.93599606684941239,0.35201045842763051) (0.9539132517615726,0.30008250217842058) (-0.27070829759462928,0.96266142418475331) (0.94225867049844736,0.33488594755602641) (0.76638247028650741,0.64238454934528944) (0.8154777800604508,-0.57878838121344378) (0.99326243039128381,-0.11588677393559593) (-0.92322502851727106,-0.3842597386134593) (0.43456751361219048,-0.90063925969997483) (0.7522683445719105,-0.65885684162421598) (-0.97336454079568235,-0.229262885617385) (-0.53351558272929789,-0.84579023580614665) (-0.045427585047824515,0.99896763436896319) (0.94205312434975819,0.3354637251669077) (-0.58198879566503248,-0.81319680380604309) (0.63297947074942496,0.77416857958055751) (-0.94852701157426378,0.31669623981663597) (-0.18674189744600522,0.98240901041178652) (0.36923544974673705,-0.9293358825797724) (-0.78337202541529827,0.62155311100237665) (0.87503531340243002,-0.48405908761091415)
 (1,0) (-0.99501487344440176,0.099726634478566001) (0.47543449399948978,-0.87975112498674846) (0.69947333248725707,0.71465869975756369) (-0.68392841755589606,0.72954912079961265) (0.093573269221222943,0.99561239610967722) (-0.99798618644604553,0.063431629829915848) (-0.84983198608657085,-0.52705369311309724) (0.49624727732445251,0.86818122517598129) (0.99907320771616703,0.043043299405704227) (-0.26353113000705236,-0.96465089204188603) (-0.50091743163108582,-0.86549507606231746) (0.65364899958871281,0.75679784971726427) (-0.99045372706032275,-0.13784561854595467) (-0.045946663872925952,-0.99894389435991293) (-0.0006091028740477511,-0.9999998144968274) (0.9938783209297738,-0.11048023889281761) (-0.9053287510264868,0.42471149332790836) (-0.94434034958668178,0.32897006572407783) (0.43978315354082659,0.89810399056105239) (0.81492159111641405,-0.57957122110426851) (-0.99756165812755659,-0.069790674404247521) (0.49628843716011578,-0.86815769716173707) (0.99983081128185924,0.018394260285756803) (-0.4642115802443566,-0.88572434129758326) (-0.0053400199637549939,0.99998574199174839) (-0.74937779976268137,0.66214266832975155) (-0.18991322515270087,0.98180087946186934) (-0.5782372956430174,0.81586863521491637) (0.88860116702781444,0.45868067972916243) (-0.77444705450479334,-0.63263872768654472) (0.42221701313910842,-0.90649478421880081) (-0.82186643869383413,0.56968022341372815) (0.9420531243497583,0.33546372516690792) (0.63040003239447651,-0.77627044202200823) (0.98797508130919365,-0.1546131906148141) (-0.98253967941140918,0.18605316009712369) (0.73915950099463457,-0.67353042402653429) (-0.94671508115446357,-0.32207228243780561) (0.9155396386688065,0.40222775889561824)
 (0.99999999999999989,5.5511151231257827e-17) (-0.52410788077754356,0.85165188270024483) (0.77039604408826834,-0.6375656321141745) (0.39591084057137516,-0.91828895578574099) (0.030996782075265572,0.99951948430282167) (-0.36065475696849864,-0.9326993868744593) (0.85882895010503835,0.51226246637976292) (0.75143234648904267,0.65981014591317966) (0.80354064148979498,0.5952498949803926) (-0.56028004861424097,0.82830324587364945) (0.75661624587356968,0.65385920233654748) (-0.57537026296111793,-0.81789306177522614) (-0.0312573533622581,0.99951136955053499) (0.55384788875352542,-0.83261786920727499) (-0.83340017718932691,-0.55267001425877849) (-0.70571457355128919,0.7084962531145258) (-0.99960072624898566,0.028255761934523838) (-0.78048720581593733,-0.62517175364665234) (-0.94460591003512173,-0.32820675606501437) (0.71856246171545901,0.69546242789486457) (-0.99806113247757944,0.062241271175739632) (0.20021188337274784,0.97975262273511554) (0.82295721388852394,-0.5681033568892524) (-0.66164234171055702,-0.74981958607105692) (-0.87255176473057239,0.4885216657074315) (0.71133644989186529,-0.70285165935298055) (-0.99878138602590094,-0.049353246379347737) (0.96230383174563094,-0.27197671850302985) (-0.53216369284077625,-0.84664148494038949) (-0.77904311803961934,0.6269703503636419) (0.99994049824446729,0.010908710767370267) (-0.72182496092232085,-0.69207566478636562) (0.42221701313910842,-0.9064947842188007) (-0.04542758504782457,0.99896763436896319) (0.74776839938778528,0.66395965304906146) (-0.95738404401498256,-0.28881792234125253) (0.59029543527440076,-0.8071872763455864) (0.8949830749268024,-0.44610009593651201) (-0.99053660551762002,0.13724880010269894) (0.8807495258194038,0.47358238224082561)
