# Created by Octave 5.2.0, Sun Sep 19 18:50:07 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
2.0586887376959859e-13


# name: H
# type: complex matrix
# rows: 43
# columns: 43
 (1,0) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-1.2325951644078309e-32) (1.0000000000000002,-5.5511151231257852e-17) (1,-4.8572257327350611e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-1.2325951644078309e-32) (1,-5.5511151231257839e-17) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-1.2325951644078309e-32) (1,-1.6653345369377353e-16) (1.0000000000000002,-5.5511151231257852e-17) (1,-6.9388939039072296e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1.0000000000000004,-5.5511151231257864e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-1.6653345369377353e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000004,-8.326672684688679e-17) (1.0000000000000002,-4.8572257327350623e-17) (1.0000000000000002,-1.110223024625157e-16) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1,-5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257852e-17) (1.0000000000000002,-2.7755575615628932e-17) (1.0000000000000002,-1.6653345369377353e-16)
 (1,-1.3877787807814457e-17) (-0.4277422327829265,0.90390075909575229) (-0.99974967576366391,0.022373775060302914) (-0.99999845202603976,-0.0017595299158672251) (-0.83873865572599093,-0.54453417467681353) (0.059129328538890372,-0.9982503305817334) (-0.3332505283854158,-0.94283831346145563) (0.20883241752480342,-0.97795144122330857) (0.1738439599284628,-0.98477321125038308) (0.94736056126458879,-0.32016865393171157) (0.89071815608747373,0.45455601020790609) (0.70597781741859178,-0.70823394532660067) (-0.61648326254887253,0.78736801242944732) (-0.26211517126420214,0.96503659878428394) (0.55126944663410693,0.83432727224256875) (-0.68747177814007543,-0.72621109483463786) (-0.4039911729862069,0.914762883018998) (0.80009631931983816,0.59987155276012805) (0.99455477918738533,0.10421511980289751) (-0.52545610660842257,-0.85082070968443069) (0.406147646121362,0.91380746853485328) (-0.98166382399977892,-0.19062039935466302) (0.82588939403454764,0.56383216369878086) (0.99321786593413686,0.11626809875988595) (-0.78061740471376972,0.62500917389902333) (0.83356745314813407,-0.55241768712825756) (-0.95089121813041566,-0.30952526759935806) (0.75639225749228278,0.65411830184281561) (-0.99356620924669392,0.11325276086328016) (0.24556028561464602,-0.96938132132244714) (0.90258703970173049,0.43050741661726044) (0.77465864789901806,0.63237961639767093) (0.033663502035888686,-0.99943322369765164) (0.3153749536471096,0.94896714306243735) (0.090158494344597884,0.99592743003570028) (-0.7978347584667117,-0.60287618810363064) (-0.68261472846208804,-0.73077844281740445) (-0.97077573275500884,0.23998849283658652) (-0.10393574581146761,0.99458401391869045) (0.75050920014597977,-0.66086000067808826) (-0.12822377078580577,0.99174526195261914) (-0.10247589816887656,-0.99473548760184605) (-0.67191319925114257,-0.74062990263160122)
 (1,-5.5511151231257827e-17) (-0.38205027911371442,-0.92414153906700536) (0.40263117758832034,0.91536229703535565) (-0.6565025877394054,0.75432377152749519) (-0.96730560438842828,0.25361361895359336) (-0.19769885584054209,-0.98026280272146438) (0.44054326013671258,-0.89773138295824162) (0.57075151586287332,-0.82112283316214829) (0.90092731149077943,-0.4339700213263547) (0.83337332040295742,0.55271051088300349) (-0.77249140278846584,0.63502522203287948) (-0.40928399095696699,0.9124070444414254) (-0.81731318405569764,-0.57619368199307619) (0.9954457795308207,0.095329428899357416) (0.40604069286270866,-0.91385499710816909) (0.56884261503513378,0.82244639905588424) (-0.38449693783815292,0.92312626698252065) (0.22331003203461081,-0.97474746965185843) (-0.9962817315483592,0.086155158771854479) (0.95883017534051396,0.2839800958808204) (0.23254781896279997,0.97258496384410797) (0.87257422920230954,0.48848153960205615) (0.99906725311058309,-0.043181289490648977) (-0.99299215175842548,0.11818031369975457) (0.17723607780436368,-0.98416836604542723) (-0.50001507124413513,-0.86601670222272431) (0.4495136876380228,-0.89327344336774384) (0.98129820559643455,0.19249371858119985) (0.97263360361548723,-0.23234429865600736) (-0.64376324743443147,-0.76522472598098568) (0.14038953582802716,0.99009634795306223) (-0.95660750154800289,-0.29137962863262884) (0.11545821484210367,0.99331233790055928) (-0.43461170912537528,0.90061793358289344) (0.31993051232747571,-0.94744100992192593) (0.27365132635546008,0.96182896170987553) (-0.8065193117037297,-0.59120774677683541) (-0.96718235706194977,0.2540832308281914) (0.82614853713902692,0.5634523889230092) (-0.99293394131521606,-0.1186683958947431) (-0.98973544687006387,-0.14291166925382714) (-0.69088367220758717,0.72296594074476228) (-0.10247589816887676,-0.99473548760184627)
 (1,0) (-0.85530889285360068,-0.51811842063909319) (-0.95180335242796554,0.30670894722339914) (0.95234154262926429,-0.30503374597331578) (0.17522443874876426,0.98452851460238622) (-0.99552929921583133,0.094453239239508546) (-0.42241029789634654,-0.90640473312484426) (0.69558995607668095,-0.71843901133307142) (0.77379378123057563,-0.63343759292363533) (0.62266673063427835,0.78248715169082483) (-0.91686020271969315,0.39920842760242775) (-0.98037969036934847,-0.19711839769869371) (0.92784537924947541,-0.37296508175082083) (0.55541585985824771,0.83157274042498808) (-0.92651481734437191,0.37625827996381023) (-0.23500961435503809,-0.97199304583967916) (-0.086458007554719274,-0.99625549580901573) (-0.41699519534531748,-0.90890869016580533) (0.9080172214280755,0.41893284138395942) (-0.8593203220655502,0.51143776169262167) (-0.99961815820208244,0.027632187620183102) (0.99821527883392758,0.059718147179095349) (-0.9363283632321342,0.35112561314582735) (-0.1750859328314609,0.98455315556070278) (0.63726521046461493,0.77064456887172772) (0.95401844141066694,-0.29974791650378807) (-0.99435904490843474,0.10606644053981157) (0.28490086223318928,0.95855698771579856) (0.18184518471803862,-0.98332717281424831) (0.99324866226677089,0.11600471932326784) (0.9885163602059498,-0.15111388290021893) (-0.79824377171637284,-0.60233452575460056) (-0.90813240932971684,-0.4186830867434273) (-0.32774138779301631,-0.94476747548140572) (0.44572331149730271,-0.8951707823582481) (-0.47536852536754914,-0.87978677251359139) (0.79914153594664983,0.60114291605643133) (-0.47314532590048797,0.88098439292561914) (0.99874426516787496,-0.05009883026859413) (0.020747708121175323,0.999784743136101) (0.93931009836338464,0.34306929199881542) (-0.98973544687006365,-0.1429116692538272) (-0.12822377078580571,0.99174526195261903)
 (1.0000000000000002,-5.5511151231257827e-17) (0.95128601712035521,0.30830976895209222) (0.38360445768096851,-0.92349749325447061) (-0.42462859597659042,-0.90536763553760335) (-0.13685120042434662,0.99059161562291487) (-0.24308758287501331,-0.9700043438315028) (0.84569985608143394,-0.53365883617142829) (0.34693366448535801,0.93788966965563814) (-0.72799626232663861,0.68558109807552703) (-0.90883090005468958,-0.41716470980391579) (0.94641430622333689,-0.32295504482172238) (0.97024111094250665,0.24214084049794632) (-0.74242833915359652,-0.66992548930581308) (0.96999962967284836,-0.24310639324077371) (0.9639119682952817,0.26622118130816919) (0.29405072880362748,-0.95578981417990461) (0.050048597762284652,-0.99874678365541181) (-0.90971600695532273,-0.415231004007725) (-0.89856407744838196,0.43884233925105665) (-0.96902140247476942,0.24697676316980072) (-0.46808909227597345,0.8836812783420589) (0.035573125492895874,-0.99936707607498643) (0.50570112752790231,-0.86270873973607676) (0.36237896568277767,0.93203083920580709) (-0.80936396193156024,0.58730739577026403) (0.16525086475241679,-0.98625156613238385) (0.11803659914814957,0.99300924530516821) (-0.46015722804468739,0.88783744316075719) (-0.86231273776384254,0.50637608779466203) (-0.2977954290367551,0.95462970959677107) (0.41936308041318315,-0.90781859795135689) (0.39341982970965583,-0.91935892750939585) (0.85173189494547064,0.52397784221529731) (-0.9998480176796285,0.017433919298870892) (-0.52504736956029263,-0.85107300492837734) (0.55660260292274455,0.83077887697005537) (0.98095046608800907,0.19425803221931148) (-0.2705831875439168,0.96269659738599622) (-0.45146244774942818,0.89229012001259778) (-0.78373802142771309,-0.62109155023118401) (0.020747708121175379,0.99978474313610111) (-0.99293394131521606,-0.1186683958947431) (0.75050920014597966,-0.66086000067808826)
 (1,0) (-0.91837633726351231,0.39570810347332497) (-0.52931430231553667,-0.84842581842151465) (-0.89897330045130652,0.4380034304382624) (-0.75735046074176082,0.65300863670723619) (0.60708446325344578,0.79463731002028559) (-0.99067554592682661,-0.13624229410350094) (0.36107824377822451,-0.93253552311428523) (0.85647430690292148,0.51618965663325855) (-0.93612734539151754,0.35166119093558201) (0.05333947585152321,-0.99857643689198139) (0.9234271226945876,-0.3837738254128279) (-0.99820006620575263,-0.059971891973085251) (0.98869780571458721,0.14992214304485144) (0.10728110286344353,0.99422872869798062) (0.2313185490867069,-0.97287806473803373) (0.13408922873449114,0.99096926225659976) (0.98794626673523978,-0.15479720295891189) (-0.31098651889766271,-0.95041432284236638) (0.28173027297733277,0.95949364421455019) (0.054144085952990972,-0.99853313312894887) (0.9855998097881139,-0.16909469224559806) (0.97713972600947596,-0.21259810877363855) (0.97964598416790882,-0.20073302095990495) (-0.31835936081650407,-0.94797010363223366) (-0.88184963091338597,0.4715307290706785) (-0.93300332359861371,0.35986775092239198) (-0.96788280790720149,0.25140181017182767) (0.88506800147830045,-0.46546174145595232) (-0.42511114635142222,0.90514115653183025) (-0.99486393978953114,0.10122124928320525) (0.96416127106204352,0.26531687353808769) (-0.39935568329391535,-0.91679607231971183) (-0.81494072187274247,0.57954432085349139) (0.57634429617162386,-0.81720698251448898) (-0.72861285510103979,0.68492576778911707) (0.81407516407005653,-0.58075952617612003) (-0.78063752473861647,-0.62498404377229244) (-0.45351891446217618,-0.89124665173286877) (-0.45146244774942823,0.89229012001259767) (0.99874426516787529,-0.050098830268594158) (0.82614853713902703,0.56345238892300931) (-0.1039357458114675,0.99458401391869078)
 (0.99999999999999989,0) (0.94346295314496054,0.33147798726761724) (-0.50841073751087051,-0.86111469734504742) (0.78989631681582007,-0.61324041670522855) (0.018332283798311727,-0.99983194956489529) (0.72723578895072527,-0.68638772371686285) (-0.88950435473846834,-0.45692669313720546) (0.9706386725332441,0.2405422361725742) (-0.42596825793531146,0.90473810753806383) (0.11212848561745072,-0.99369371675236995) (-0.0084047488665934811,0.99996467947447532) (-0.66913474052005495,0.74314110304111169) (0.98620978544745541,0.16550002745523856) (-0.97565736228333511,-0.219300504838284) (0.85898147769800703,-0.51200666106189319) (-0.82466725262197982,-0.56561817726529595) (0.5185760355668636,-0.8550315171593128) (0.91921172799284279,0.39376363356766719) (-0.15451968329934831,-0.98798971020606796) (0.82691866913169854,0.56232154026096182) (0.72287571866231948,0.69097807155396451) (0.98995743645843182,0.14136574549957287) (0.31929332200628191,-0.94765593678412285) (-0.20045783103279,-0.97970233131172579) (0.8312614854769983,0.55588159059513331) (-0.52899203870191824,0.84862678663237401) (-0.27679370739844722,-0.96092936449284516) (-0.23844702305063067,0.97115550618749691) (-0.45444438389594105,-0.89077511300296164) (-0.94269382184595818,0.33365904491480702) (0.71090244931829705,0.70329062808574849) (-0.46098292052776157,0.8874090077194936) (-0.98044648558514857,-0.1967858960996241) (-0.74182616459578798,-0.67059223192720052) (-0.68763161714463239,0.72605974898974956) (0.40188156336288161,0.91569165608790359) (-0.039153953434134109,-0.99923318996642541) (0.82269704100650065,0.5684800600893134) (-0.78063752473861658,-0.62498404377229233) (-0.27058318754391686,0.96269659738599611) (-0.47314532590048808,0.88098439292561936) (-0.96718235706194966,0.25408323082819134) (-0.97077573275500884,0.23998849283658669)
 (0.99999999999999989,0) (0.63216756030934462,-0.77483170798085632) (0.8483962313657788,0.52936172378095492) (-0.28520918100763215,-0.95846529570399985) (0.9875390352158937,0.15737424797235006) (0.94928223189494965,0.31442526013115346) (0.75385209333720415,0.65704415481085876) (0.79998603325237205,-0.60001862187863408) (-0.61312489374325707,0.78998599017471227) (0.34897612153282148,-0.93713161647652832) (-0.73562743328432745,0.67738635902969946) (-0.51090277448274879,-0.85963850252639951) (-0.068815494136122257,0.99762940402075284) (0.62398530894100368,-0.78143607174598828) (0.12014261139788873,0.99275664335550839) (0.86899476312499468,0.49482128254687546) (-0.95191047901566928,0.30637630446912634) (-0.99022756706664483,0.13946098171629928) (-0.73067847633262184,-0.68272173264386338) (0.89335544846272408,-0.44935069010959106) (0.40895644081585414,-0.91255390499149625) (0.3651621972922503,0.93094391327764525) (-0.55435094513030225,-0.83228302255491271) (-0.63179700414921725,0.77513388878830081) (-0.59286711714347351,-0.80530030510983197) (-0.96976867452315796,-0.24402605990671916) (-0.89767300893478674,0.44066219378336335) (-0.62483058500199218,0.78076036019131312) (-0.36126500270320516,0.93246318845402909) (0.99982509912939843,0.018702169683973813) (0.9403201327208347,0.34029112242295145) (0.13577398297852511,-0.99073983746801431) (-0.72818493693250308,-0.6853806953982633) (-0.1192960939091724,0.99285872206372616) (-0.77523039885354494,0.63167858020782519) (-0.9970461183439816,-0.076805194454536763) (-0.60378827958224179,0.79714472552925908) (-0.039153953434134026,-0.99923318996642552) (0.8140751640700562,-0.58075952617611992) (0.98095046608800907,0.19425803221931154) (0.79914153594664983,0.60114291605643133) (-0.8065193117037297,-0.59120774677683552) (-0.68261472846208826,-0.73077844281740445)
 (1,0) (-0.36856804111057889,-0.92960077402716867) (-0.15683956155744228,-0.98762409444609478) (0.96642748804781575,-0.25693950717160874) (-0.50799259314266376,-0.86136143709373958) (0.56651172642709802,0.82405367775442206) (0.74421550798887737,0.66793957636066004) (-0.10760157470411777,0.9941940963017204) (0.96034982898011567,0.27879778689556256) (-0.46652589841422154,-0.88450753875182131) (-0.0088902461260095822,0.9999604809810333) (-0.703181772148886,-0.71101012321735135) (-0.77033633195193285,0.63763777779774167) (0.88449849167333416,-0.46654305077623692) (-0.74549823189385633,0.66650760403999465) (0.12675881467308114,0.99193356778701469) (0.11379620839732643,-0.99350411320456666) (0.88350431919009798,-0.46842301178789286) (0.6562381248805319,-0.75455385722510515) (-0.58203710859448976,-0.81316222503198343) (-0.9911767399984075,0.13254685996329493) (-0.20489588499719477,-0.97878377403347661) (-0.55988759347694983,-0.82856857451305177) (0.96097707079651373,0.27662803437712558) (0.72479416138109853,0.68896547346573966) (0.89222779095911575,-0.45158561651166157) (-0.9668377164894062,0.25539152290855438) (0.84577434737475465,-0.53354077006617628) (0.2551892047238567,0.96689113647421876) (-0.97971944097618902,0.20037419238341067) (-0.93740172786482845,0.34824991112135861) (-0.97753073742947016,-0.21079292535708266) (0.79632754043244391,-0.60486564487397909) (0.37573245490479784,0.92672818147028158) (0.70373034094346865,-0.71046717533999382) (-0.65540545625948587,0.75527722586166679) (-0.99704611834398182,-0.076805194454536985) (0.40188156336288144,0.91569165608790359) (-0.7286128551010399,0.68492576778911696) (0.55660260292274455,0.83077887697005548) (-0.4753685253675492,-0.87978677251359161) (0.27365132635545997,0.96182896170987575) (-0.79783475846671192,-0.60287618810363075)
 (1,0) (-0.203672623089247,-0.97903905060214302) (-0.86589910133373471,-0.50021869848040468) (-0.71932591907402532,-0.69467274464189832) (0.94567828950866573,-0.32510394145867327) (0.43497118295343939,-0.900444373628979) (0.018319542447644277,0.99983218310099886) (-0.29046852744629059,0.95688454609904938) (-0.93428102086322307,0.35653747917263073) (-0.77094886752092906,0.63689704322456842) (0.61358006973880719,0.78963250820829312) (-0.98942019432324946,-0.14507818259594979) (-0.72297641765538334,0.69087270861873618) (0.87878764294219214,0.47721303273496929) (-0.98942363977841041,0.14505468295661073) (-0.84521923656791742,0.53441972468795262) (0.93648513921762722,-0.35070726257741108) (-0.11005918873228859,0.99392503488723405) (-0.51464606424391701,0.85740272250456817) (0.88489397276145121,-0.4657925042016634) (0.11551244308913011,0.99330603314969346) (-0.83191570743298771,0.5549020235377331) (0.25170348837075085,0.96780439859611889) (0.90218982956158966,0.43133920693072803) (0.50452805694190672,-0.86339529750770838) (-0.89052322919366311,0.45493777405980507) (0.69602551371822319,-0.71801705011321515) (0.98156009963806023,-0.19115378834467583) (0.24490078260885406,-0.96954814562123259) (-0.79179934244319516,0.61078130399229102) (0.91957999006048585,-0.39290284025488659) (0.94980525896316026,-0.31284176518796852) (-0.39038092213362813,-0.92065342862235522) (-0.99890724161482758,0.046736737685215579) (0.4333683711989294,-0.9012168744782727) (0.70373034094346854,-0.71046717533999382) (-0.77523039885354472,0.63167858020782508) (-0.6876316171446325,0.72605974898974956) (0.57634429617162375,-0.81720698251448876) (-0.52504736956029263,-0.85107300492837723) (0.44572331149730271,-0.89517078235824821) (0.31993051232747571,-0.9474410099219257) (0.090158494344597995,0.99592743003570039)
