# Created by Octave 5.2.0, Sun Sep 19 18:58:05 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
1.7463201178916934e-13


# name: H
# type: complex matrix
# rows: 44
# columns: 44
 (1,0) (0.99999999999999989,-6.1629758220391547e-33) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,1.1102230246251565e-16) (1,2.7755575615628914e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1.0000000000000002,5.5511151231257839e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,8.3266726846886741e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (0.99999999999999989,4.8572257327350592e-17) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,5.5511151231257827e-17) (1.0000000000000002,6.2450045135165068e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999978,5.5511151231257815e-17) (0.99999999999999989,-6.1629758220391547e-33) (1,0) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,8.3266726846886741e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17)
 (1,0) (-0.88260994977993135,0.47010602692314712) (0.44561740146689838,-0.89522350924776783) (-0.58269612225304823,0.81269011874838282) (0.96229414457737139,0.27201099116047633) (0.040182651914596412,-0.99919235109417714) (-0.95879921979016625,-0.28408459326364111) (0.91033863149640526,0.41386419995603729) (-0.11441180983143301,-0.99343340882572284) (0.9670084052884822,0.25474446824499536) (0.96150306742834535,0.27479419812995065) (-0.18140480232330766,-0.98340851007810659) (0.92912412453504478,0.36976798293928331) (0.14796295940203169,-0.98899290323287559) (-0.96852842788778026,0.24890296176065219) (-0.97168503556153096,0.23627990110414859) (0.57025209934112198,-0.82146974575880916) (-0.57422027973597656,0.81870084300673351) (0.97007029031651748,0.24282428182788401) (0.23357400232045705,-0.97233902803497618) (-0.76961251510618867,0.63851121884578221) (0.82811081635281192,0.56056442612734425) (-0.62957653355954279,-0.77693847143203643) (-0.48273630090294717,0.87576575851681837) (-0.37457010784666311,-0.92719859485858769) (-0.81262565140671061,0.58278602477737784) (0.6167189001804636,-0.78718345902349818) (0.97149640425541506,-0.23705429023495581) (-0.44434762777179054,-0.89585444447944851) (0.89213101695949559,-0.45177676852491594) (0.60935994552462525,0.79289372351546894) (-0.63384354765818252,0.77346128351203802) (0.78274713673759067,-0.62233987493097609) (-0.60698410327514085,-0.79471397267902144) (-0.3543008268333121,0.93513150096937236) (-0.34578211170286166,0.93831483587669495) (0.66291060672414581,0.74869855582378708) (-0.040188069750397404,0.99919213320048539) (-0.72825826775784264,-0.68530277647354221) (0.99995965011591881,0.0089832143494987249) (-0.79356463615105932,0.60848596388942) (-0.56652110516749965,-0.82404723007834546) (-0.7930623932644143,0.6091404110627695) (-0.8910328096200113,0.45393890798285563)
 (1,0) (0.99983383984864271,-0.018228897210727402) (0.42922442028131896,-0.90319787258062423) (-0.015708591720173082,-0.99987661246084203) (0.97964905059464646,-0.20071805516447272) (-0.7081373513751793,0.70607470680328543) (0.71695607662397376,-0.69711834303219877) (0.37543772261397856,0.926847623095851) (-0.70555986230288004,0.70865032329572852) (-0.57622445042480708,0.8172914919003067) (-0.53428040218352857,-0.8453073120721285) (-0.53722359664094277,0.84343986579493047) (-0.61904453808044702,0.78535588103277498) (-0.84063170976469415,0.54160717179343809) (0.35988238929969296,-0.93299767731326355) (-0.99982136320956616,0.018900837805907844) (0.74428134708323979,-0.66786621144055336) (0.1185692290986361,-0.99294578800202138) (0.97069560028867363,-0.24031240413306135) (-0.81469843144959964,0.57988487287871382) (0.014369992276256127,-0.99989674633032988) (0.93098811234502366,0.36504949619503674) (-0.37578172041786351,0.92670820574752166) (-0.95710705155228304,-0.28973451963632979) (-0.83037030168998238,-0.55721195435066506) (-0.50975931585727108,-0.86031705777389278) (0.49131229147913613,-0.870983485630767) (-0.78109410859803352,0.62441331945550593) (0.22661174053344779,0.97398517393870054) (0.44217382378087583,0.89692937824724994) (-0.60743534186119341,-0.79436912418470496) (0.87640999260210928,0.48156570150621303) (0.46706181667342789,-0.88422466568498159) (0.75313040954451793,0.6578712535286112) (-0.983648476914329,-0.18009906680524801) (0.37498153666732825,0.92703227945881661) (0.99504863936474919,0.099389160869589321) (0.97733348851757207,-0.2117055791000147) (-0.95402783692139415,0.29971801143589238) (0.32934767627163075,0.94420872064098071) (0.98490241066426476,-0.17311048919034386) (-0.70700079244674341,-0.70721275404200423) (-0.7075839697778179,-0.70662927034864909) (-0.79306239326441408,0.60914041106276939)
 (1,2.7755575615628914e-17) (0.98632533757450758,0.16480997681734141) (-0.89057606937061362,0.45483432661177559) (0.14929585928865347,-0.98879256995553) (-0.7924096388086147,0.60998931492543385) (-0.47334025823399239,0.88087967392543265) (-0.98737214713130106,-0.1584179379657604) (-0.95224178742515075,-0.30534501515720236) (-0.98794283404895622,-0.15481910945137101) (0.9922006283870336,0.12465116537110327) (0.99972756734151358,-0.023340760429316237) (0.99585374205806931,-0.090968810198547856) (0.99954759775593849,0.030076565966408036) (-0.099620791772484063,-0.99502547597869195) (-0.98576708599357765,0.1681167813507328) (0.70652980755177741,-0.70768328441531514) (0.94671774385839635,-0.32206445544900941) (0.51009008368749253,-0.8601209836550241) (-0.85163732403594916,0.52413153722027339) (-0.60362517903769253,0.79726823794235824) (-0.79233261218592832,0.61008936367275135) (-0.9534309278676506,0.30161144836598919) (-0.34069326217442625,0.94017450566846728) (0.026800190110235572,0.99964081039644126) (0.53540958031736474,-0.84459255342702522) (-0.81163676123399786,-0.5841624498489999) (0.70764341500543937,0.70656973979886761) (-0.80116503111807735,0.59844347511988905) (-0.46164600547775181,-0.88706423985325578) (-0.042364509530195632,-0.99910222116271208) (0.89680692889797231,-0.4424221200172811) (-0.77209787049259193,-0.63550364151655669) (-0.88435393696929832,-0.46681700286825623) (0.8829528032664965,0.46946176330329026) (0.98652737445199534,0.16359626969112553) (-0.92804735866812127,0.37246221294128978) (0.89865606548570121,-0.43865393645305206) (0.71367357222265948,-0.70047843101051077) (0.36545397591763501,0.93082941051837831) (0.93605084518542414,0.3518647683807693) (0.32856863555540206,0.944480095994225) (0.12099153527090574,0.99265353895142483) (-0.70700079244674319,-0.70721275404200423) (-0.56652110516749954,-0.82404723007834524)
 (1,0) (0.11262759485200274,-0.99363727027414483) (0.3345137344538604,0.94239087509468811) (0.73023252319276466,0.68319869882160156) (0.51686092602234535,0.8560693798701855) (-0.99990785223993717,0.013575235869622851) (0.1862931673693593,0.98249420140349564) (0.92764654118122059,-0.37345936142305702) (-0.69820030415775458,-0.71590246212317132) (0.84964184621332139,-0.52736015507736123) (-0.84449947111301482,0.53555638665768712) (0.92241046116018843,0.3862110059828035) (-0.77703557208528284,0.62945668613026662) (0.71030329911704582,0.70389574743952021) (-0.96867837457006534,-0.24831876014569831) (-0.19359335551390675,0.98108185830789207) (0.9119120787583489,0.41038562427871039) (-0.63249970385986742,-0.7745606009972239) (0.18684795563300488,0.98238884433597229) (-0.95928554017930245,-0.28243805055782378) (0.84844493153915923,0.52928366510361147) (0.51514073115711401,-0.85710561023885168) (-0.92675620409982329,0.37566333087285309) (0.99315306613308274,-0.11682032028057716) (-0.19037242591237397,0.98171194321564514) (-0.8550662768332804,-0.51851871925946114) (0.3144688941693991,-0.94926777813211161) (-0.91177451680922339,0.41069116194204658) (-0.87771446396678632,0.47918401449077652) (0.94062555655542124,-0.33944596382164277) (0.095207887328389612,0.99545741154027489) (-0.67451209102547471,-0.7382638004537686) (0.58039214003807271,-0.81433713152602016) (-0.90657231287262252,-0.42205052011907723) (-0.11739960031136822,-0.99308475662791806) (-0.43596585900097107,-0.89996320468425006) (0.87561804698727186,-0.48300417781857319) (-0.98230953190373149,-0.18726447482390263) (0.54905211872423931,-0.83578811365346872) (-0.97201363163307342,-0.23492445577139151) (0.30285717743364005,-0.95303595424145937) (0.32856863555540222,0.94448009599422522) (0.98490241066426487,-0.17311048919034377) (-0.79356463615105921,0.60848596388942)
 (1,-1.3877787807814457e-17) (0.986460962582973,0.16399624782254682) (0.33529104963623613,0.94211459601994885) (0.59373442574842639,0.80466106633860845) (0.11074364906690599,-0.99384900472423221) (-0.98859635016080571,-0.15058969569241223) (-0.5989338850664796,-0.80079847734568843) (0.77924371260436065,-0.626721019566579) (-0.15611182913537472,0.98773938708750864) (-0.13840845679859484,0.99037523145857731) (-0.92975981420430764,-0.36816665776625035) (-0.093294044999395864,-0.99563859967743829) (-0.14089502657935099,-0.99002454084997515) (0.12150476703280814,-0.99259084802767672) (0.37771302512455313,0.92592271310906893) (-0.78595320912064959,-0.61828598000678714) (-0.11475546848931441,-0.99339377008908114) (0.9930598050479067,0.11761047401576781) (-0.21300672847045238,0.97705073237079954) (-0.76358422940724779,-0.64570823488673224) (-0.96942400917282268,-0.24539170817142736) (0.23398868836864806,-0.97223931915733575) (0.87062986113246499,0.49193865969698392) (-0.69815366226249076,0.71594794773745318) (-0.15253278431296008,0.9882984112654114) (-0.22168280807168844,0.97511882999224797) (0.95737004862745112,0.28886431069114793) (-0.67037631836995215,0.74202128794849864) (-0.22749707972116728,-0.97377876271684072) (0.95100391462621048,-0.30917883880631736) (-0.34048214075248601,-0.94025098342336444) (0.31976826719148255,0.94749578115016242) (0.68738382026592171,0.72629435054709512) (0.8132380500586146,0.58193115910463333) (-0.99295480274587755,0.11849371166393394) (-0.62975968909321467,-0.7767900192415047) (-0.86699337421458056,0.49831966554413215) (0.18912186272459264,-0.98195362468885461) (0.026747768059000504,-0.99964221444667989) (-0.9471925066892436,0.3206654881207941) (-0.97201363163307308,-0.23492445577139148) (0.93605084518542425,0.3518647683807693) (0.32934767627163081,0.94420872064098071) (0.9999596501159187,0.0089832143494986971)
 (1,0) (-0.87835127336392727,0.47801573256532848) (0.57909719180915198,-0.81525851264415117) (-0.9634649086303092,-0.26783459417706013) (0.36086298288736995,0.93261884367711001) (-0.98990923992790458,-0.14170284649702064) (0.90886861139454511,0.41708254245622789) (-0.22257768315780491,-0.97491495780919402) (-0.71804157431142235,-0.69600021376460364) (-0.39434326403447056,0.91896321477556375) (-0.39700058323670628,0.91781835725252003) (-0.18457390612357727,0.98281863697138161) (0.27284215748224694,-0.96205881166404372) (-0.99999830628977571,0.0018404938412353578) (0.13828047408556146,0.99039310906663314) (-0.59305191372054078,-0.80516422401420995) (-0.95342351400179171,0.30163488350732143) (0.8834320492044011,0.4685592966087776) (0.93793251865468941,0.34681780584345839) (0.90414604788223152,0.4272235060234178) (0.99999991805050736,0.00040484438781174248) (-0.67191299599754972,-0.74063008702698319) (-0.89878197933450055,0.43839588686888631) (-0.84635722174760841,0.53261567118858688) (0.92870211180355988,0.37082662732280669) (-0.46000933301022096,-0.88791408004575056) (0.63782586960696741,0.77018060223568052) (0.99900002879497829,0.044709534415293906) (0.9650174053056455,0.26218582619424419) (-0.64974266925475277,-0.76015423681625882) (0.82969767963714802,0.55821300630201354) (0.94601010521125961,0.32413713276664513) (0.84480290607563369,0.53507761108661933) (0.15109122796077884,-0.98851982318682052) (-0.82730004002227242,0.56176030812006161) (0.22341446517540164,-0.97472353862538319) (0.15523914175626424,-0.98787691989780702) (-0.47101761217242,-0.88212380594981721) (-0.80537263246242619,0.59276886126089756) (0.026747768059000476,-0.99964221444667978) (0.54905211872423931,-0.83578811365346861) (0.36545397591763512,0.93082941051837831) (-0.95402783692139426,0.29971801143589244) (-0.72825826775784264,-0.6853027764735421)
 (0.99999999999999989,3.4694469519536142e-18) (0.32060302764519105,-0.94721364995693391) (-0.71144324233631617,-0.70274356128959958) (-0.88484096460943173,-0.46589319307009608) (0.97836477931257382,-0.20688730894054275) (-0.46778001460752383,0.88384492866892905) (-0.94771890491756494,0.31910637295712524) (-0.99481183469070134,-0.10173206750734894) (0.4588108163700037,-0.88853398065684042) (0.96313442015841988,0.26902061018833479) (-0.071230253211543026,-0.99745989945832847) (-0.86321748272421639,0.50483222710051534) (-0.18946944656229317,-0.9818866170894569) (0.94598883575570336,-0.3241992020742312) (-0.53320881978428258,0.84598366089674137) (0.90538259022814571,0.42459670902136459) (0.7087647680479493,-0.70544489761705453) (0.43476280546881219,0.90054500330682419) (-0.99975616084815822,0.02208209333717415) (0.16434252431135896,0.98640333267024705) (0.53510699443307141,-0.84478429466272942) (-0.9872993052984097,0.1588712741727645) (-0.56630832735243031,-0.82419347144423083) (0.64807648273476737,0.7615752572964356) (-0.99158207796228082,0.12947966119821794) (0.54259470267080545,-0.83999463607429037) (0.8427324258143728,-0.53833266525543755) (-0.99336863040168077,0.1149728843418675) (0.92103938718933631,0.38946944327622257) (-0.57475734458086969,0.81832389360836) (0.51988985886807382,0.85423330223431015) (0.50010802104289054,-0.86596302882314991) (-0.45658056227130556,0.88968207251580511) (0.7464291630509684,0.6654648785225481) (-0.97105656992227818,0.23884961379658773) (0.84063750366202916,0.54159817894530604) (-0.31114098934746609,0.95036376443332449) (-0.8478118849739954,0.53029709380387924) (-0.47101761217242,-0.88212380594981743) (0.18912186272459278,-0.98195362468885461) (-0.98230953190373138,-0.18726447482390257) (0.71367357222265959,-0.70047843101051088) (0.97733348851757218,-0.21170557910001453) (-0.040188069750397411,0.9991921332004855)
 (1,5.5511151231257827e-17) (0.5051966340958951,0.86300426470451375) (-0.68019671553781935,0.73302962298365726) (-0.20817275333419993,-0.97809207376875218) (-0.65932985716061154,0.75185380191668072) (-0.9783636575105894,0.20689261384230753) (-0.74207880514488223,-0.6703126486608646) (-0.061670314146493099,0.99809657466252844) (0.9985982947586467,-0.052928685087790028) (-0.76866753050371361,-0.6396485187580141) (0.48865959734876463,-0.87247452565616102) (0.28969129580139263,0.9571201351642904) (0.1894747705604779,0.98188558973082662) (0.082219513540166933,0.99661424412518695) (0.58258973373187695,0.81276638842303284) (-0.96003905178472793,-0.27986607341419689) (-0.53597828573563622,-0.84423176747850937) (0.97769652378304972,-0.21002263540518801) (0.97021064159477899,-0.24226289632596995) (0.98499195099659331,0.17260027946653034) (-0.62329066137080757,0.78199025022562862) (-0.43612998956306814,-0.89988367704038197) (0.63656963843503134,-0.77121922656446618) (-0.13800037753135819,-0.99043217627518632) (-0.90406543727897137,-0.42739406303501942) (-0.71189721478968626,-0.70228367172723505) (-0.93127309504364164,0.36432186655186627) (-0.74995156322710876,-0.66149274585078865) (0.8162697309234318,-0.57767094991715418) (-0.10868423852479531,-0.99407632317457617) (0.083048644254546,0.99654549453975305) (-0.099426980767183926,0.99504486104673817) (-0.98234186820582825,0.18709477269523769) (-0.21658108235009002,-0.97626463357435167) (0.49749832078265221,0.86746493924448642) (-0.99743120856900069,-0.071630888397267334) (0.98151726071682299,-0.19137363171279315) (-0.31114098934746598,0.95036376443332449) (0.15523914175626446,-0.9878769198978069) (-0.86699337421458056,0.49831966554413198) (0.87561804698727186,-0.48300417781857313) (0.89865606548570121,-0.43865393645305201) (0.99504863936474919,0.099389160869589432) (0.66291060672414559,0.74869855582378697)
 (0.99999999999999989,0) (-0.23312379386796345,0.97244706628824129) (0.61070742868705619,-0.79185632317134635) (-0.86583643965158097,-0.50032715274255735) (-0.7035074989207688,-0.7106878351021948) (0.99630633084432518,-0.085870222542610231) (0.72038234475291418,-0.69357716035657768) (-0.9507256745521443,-0.31003337198980535) (0.62235377136527159,-0.78273608787855387) (0.80121901645599414,-0.59837119555447216) (-0.99203224443616544,-0.12598422916755544) (-0.86883166809926293,0.49510759689975681) (0.68982091678688107,0.72398004306976993) (0.63079760968092757,-0.77594740518982785) (-0.92458944304487345,-0.38096504014144172) (-0.99080047749541267,0.13533075701724931) (-0.04435608907828606,0.99901578434060734) (0.69662683723461671,-0.71743365522150848) (0.68774468191000349,-0.72595265169603751) (-0.75459878826814841,-0.65618645882419879) (-0.20416079045271471,0.9789373686001176) (-0.40950762923123563,0.91230669273080134) (0.39640891899403674,0.91807405417100163) (0.94015142581012623,0.34075694644010668) (-0.20094684210160929,0.97960214712371385) (0.51769539378022722,-0.85556500586380635) (-0.56222293804285528,0.82698571205218507) (-0.1122256321699307,0.99368274991772831) (0.55114438820812717,0.83440988929104165) (-0.35220759194240031,-0.93592190495689043) (-0.039442561588370367,-0.99922183940071407) (-0.97068575493954723,0.2403521690300312) (0.9883848642177101,0.15197157689955951) (0.99330679090495966,-0.11550592686996547) (0.76339628965379847,-0.64593041803495643) (-0.52869242987429543,0.84881347455940648) (-0.99743120856900058,-0.071630888397267223) (0.84063750366202894,0.54159817894530593) (0.22341446517540153,-0.97472353862538297) (-0.62975968909321467,-0.77679001924150481) (-0.4359658590009709,-0.89996320468424973) (-0.92804735866812116,0.37246221294128989) (0.37498153666732814,0.92703227945881639) (-0.34578211170286144,0.93831483587669473)
