# Created by Octave 5.2.0, Fri Sep 17 22:07:18 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
2.7984700388672858e-13


# name: H
# type: complex matrix
# rows: 46
# columns: 46
 (1,0) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,8.3266726846886741e-17) (0.99999999999999989,2.775557561562891e-17) (1,2.7755575615628914e-17) (0.99999999999999978,2.7755575615628907e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,-8.3266726846886741e-17) (1,-2.7755575615628914e-17) (1,8.3266726846886741e-17) (0.99999999999999989,4.163336342344337e-17) (1,8.3266726846886741e-17) (1,5.5511151231257827e-17) (1,2.7755575615628914e-17) (0.99999999999999989,4.163336342344337e-17) (1.0000000000000002,2.775557561562892e-17) (1,5.5511151231257827e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,3.4694469519536142e-17) (1,2.7755575615628914e-17) (1.0000000000000002,3.4694469519536148e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (1,8.3266726846886741e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,4.163336342344337e-17) (0.99999999999999989,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17)
 (0.99999999999999989,0) (0.90701743503392041,-0.42109306874429681) (0.22617751232209948,-0.97408610138929075) (-0.15640670476051288,0.98769273699160021) (0.18995419681023806,0.98179295328199323) (0.7022762851546509,-0.71190450153751927) (0.90317593728107581,0.42927057471535501) (-0.9963873000301553,-0.084925545854103529) (-0.49104453508316265,-0.87113446985236487) (0.35424700885198979,-0.93515188965184681) (-0.99907452921672013,-0.043012615247025182) (-0.76338591956655433,-0.6459426737780436) (0.95853328420282435,-0.28498060122637742) (0.87891233525186119,-0.47698334031926221) (-0.97296738002340466,0.23094258466205864) (0.64510251829923615,0.76409602857493275) (-0.68971006862181083,0.72408564496314787) (0.99967267369893797,0.025584086061795783) (0.86350545870261752,0.50433949160340674) (0.87289830495464338,0.48790219225507836) (-0.96015362786600855,0.27947273730319871) (-0.9561772716394128,-0.29278836247400453) (-0.43449816189264528,-0.90067271931146764) (-0.95225624844130152,-0.30529991369880577) (-0.98438415054001915,0.17603364498187676) (0.1342882787232339,0.99094230820848073) (-0.090537100880205862,-0.99589308329971316) (0.38671690542475357,0.92219847921079467) (-0.56220119346891173,0.82700049459606262) (-0.63020891704118032,-0.77642560550369755) (-0.97380756069944685,0.22737377756591437) (0.30028486702013552,0.95384956813886546) (0.89897609654234989,0.43799769159834678) (-0.82396069692161,0.56664695351555139) (-0.17127560750776474,0.98522315557078077) (-0.95267194010211997,0.30400028707562621) (0.95096397618006878,-0.30930165859205083) (-0.99999618043851779,-0.00276389369857441) (-0.48447706296949411,0.874803964015055) (0.20166733000324449,-0.97945407651883387) (0.73948821152087885,-0.67316950690123578) (-0.037229899588812183,0.99930672697456013) (0.77785190169667029,-0.62844762631970696) (0.67139674137302496,-0.74109811474168763) (-0.23645695741845946,-0.97164196455711271) (0.7561617556697765,-0.65438474864746243)
 (1,5.5511151231257827e-17) (0.96140877804577074,0.27512390208147641) (0.48544341492057641,-0.87426808869490968) (0.45486837867542085,0.89055867750597673) (-0.77800972051210038,-0.62825223818836007) (0.26668633532892416,0.96378337739806907) (0.93417826021843986,0.35680663970174248) (-0.32282679417966309,-0.94645806085620154) (-0.28126133066708592,0.95963121243078564) (-0.84609030451035283,-0.53303958259549489) (-0.89944735246183716,0.43702912963484686) (0.11190934372508821,0.99371842027156787) (-0.42969622692865622,-0.90297350601403437) (0.99734857676742594,-0.072772360274969305) (-0.99985725078157117,0.016896095984538728) (-0.2190445252325175,-0.97571486406924279) (-0.71560965519432196,-0.69850040901395638) (-0.99749810706477171,0.070693184977033918) (0.29859856197956336,0.9543788025641271) (-0.17988948552705125,0.98368682668663077) (-0.58994255717509225,-0.80744521748147913) (0.74699519597517239,0.66482943465975808) (-0.53205804713269489,0.84670788025230026) (-0.54311374650009225,0.83965913224512356) (0.66248399098245825,0.74907607203270998) (0.39099993840529734,-0.92039070408552792) (0.88326660854373484,0.46887108914034115) (0.97465143581388936,0.22372880607093204) (-0.61110151639443755,-0.791552232427159) (0.80885652613882142,0.58800605449488219) (0.19654559561974116,0.9804946857798269) (0.17804310481239283,-0.98402268918392499) (-0.75898156185046339,0.65111211689772108) (-0.84495884409820321,-0.53483133021563767) (0.27929732913679634,-0.96020466669197813) (0.5451802148034266,-0.83831887333334543) (-0.99595082607724184,-0.08989967761932538) (-0.92040782258988685,-0.39095964000820377) (0.93974986059861765,-0.34186283726793154) (0.1480561025495053,0.98897896362756343) (0.17700450343451485,-0.98421004148702929) (-0.012120338829628707,0.99992654599558262) (-0.070991542713061295,0.99747691745885536) (0.69606680227707884,-0.71797702384391215) (-0.35232434491346526,-0.93587795998265566) (-0.23645695741845946,-0.97164196455711305)
 (1,0) (0.19468111356247561,0.98086658828918982) (0.7346890903581671,0.67840396557559202) (-0.78496496919173153,0.61954014974158444) (-0.41197649905289718,-0.91119447113561802) (0.1254844220850817,-0.99209559005872672) (-0.9161416505813349,-0.40085468198601309) (0.63545143123991588,-0.77214084112624304) (-0.56735090072015493,-0.82347614139817582) (-0.77450662227831013,0.63256580056705813) (-0.74726227562231529,0.6645292254158266) (-0.4694627904838361,0.88295225711877023) (-0.98684002788458558,0.16169959605623552) (0.76312728651445805,-0.6462482066335512) (-0.067114827506368935,-0.99774525803372782) (0.88730108565248123,-0.46119061503886699) (-0.70254768374392684,0.71163667138930053) (0.86118908151560603,-0.50828472914136136) (0.64160004718393404,-0.76703935978121351) (-0.90253370420173673,-0.43061922017008558) (0.99071914506290493,0.13592488957445281) (-0.99547872149766203,0.094984814814685015) (0.86955184785630901,0.49384165872238694) (0.44466106960701512,0.89569890765588489) (0.80453567575947726,0.59390432430673656) (-0.58112258188994792,-0.81381603868291996) (0.52249479892969686,-0.85264247201943721) (-0.94615208802785511,-0.32372245260489835) (-0.48764906653862683,-0.8730397401630734) (-0.89145938442644868,-0.45310061346020813) (0.59553325370826482,-0.80333065653418689) (-0.26104739362743506,-0.96532598549936643) (0.64399661177988587,0.76502834196912439) (0.8785231289658153,0.47769981355670776) (0.56104376451048088,0.82778614043961163) (-0.97742414171757042,-0.21128664696963434) (0.87716836957484645,0.48018293536672563) (-0.32546445608280244,0.94555427545261828) (0.41199211828395871,0.91118740908327822) (0.99568982231166459,0.0927457694181546) (-0.7970684694059299,0.60388894266983162) (-0.43847246846673488,0.89874462134506694) (-0.90949965152386858,0.41570468349293621) (-0.86535633364046272,0.50115707700114964) (0.69606680227707873,-0.71797702384391215) (0.67139674137302507,-0.74109811474168785)
 (1,-5.5511151231257827e-17) (0.92103982962748354,0.38946839697179153) (0.64717470217127993,0.76234172447106441) (-0.98616295938757625,-0.16577882112000336) (-0.024565314495459178,-0.99969822712843737) (-0.37289218101643357,-0.92787467975842941) (0.98615581853941525,-0.1658212940513264) (0.2363564537969155,0.97166641742346271) (-0.53185303089234925,-0.84683667464902679) (-0.8289727346691157,-0.55928901757070915) (0.98145840136084617,0.19167526287502928) (0.68942722605452678,0.72435495440754827) (-0.85955615093132787,0.51104131280760579) (-0.98471390605564135,-0.17417957176615739) (-0.99490386549951737,0.100828063623772) (0.99779754438505452,0.066332951232061954) (-0.89855093118012119,0.43886925624306139) (-0.99765710253708229,-0.068412760193651334) (0.67478022012017858,0.73801873589670075) (0.89148881658810231,0.45304270206940334) (0.54312803118248287,0.83964989236219201) (-0.29800615344240733,-0.95456394888475704) (-0.28604345566835337,0.95821664641630377) (0.090539547290223565,-0.99589286089241624) (0.19568206522782056,-0.98066738976483525) (-0.97254134808870396,0.23273015760276239) (-0.99232978571064767,-0.12361875420607044) (0.55085340805991345,0.83460201463259087) (0.98188802537992148,0.18946214823948293) (-0.93711961196806037,0.34900835643983247) (0.4752352940491269,0.87985874735098268) (0.3923213117025196,0.91982823852283147) (0.85417778210261797,-0.51998107327310783) (-0.45059992817931604,-0.89272599644280315) (-0.99782720640735056,0.065885249891786846) (-0.069773856521601896,-0.99756283458542272) (-0.7430787710236455,-0.66920395998080329) (-0.23037664756971499,-0.97310153645677711) (0.10100377561349216,-0.99488604237461298) (0.81785374495940744,0.57542614804670811) (0.98217434619050836,0.18797221519482132) (0.22171389300954292,-0.9751117626439304) (-0.57208600362669493,0.82019363838939707) (-0.90949965152386869,0.41570468349293627) (-0.070991542713061295,0.99747691745885536) (0.77785190169667051,-0.62844762631970708)
 (1,0) (0.97016017622520512,0.24246490976361834) (0.96560544587310781,-0.26001177454145857) (-0.99120364886808909,-0.1323454814891204) (0.60914980127881568,-0.79305518067911263) (-0.13678809354833046,-0.99060033185105201) (0.67511221843424873,-0.73771504832203882) (-0.82646715162871465,-0.56298494409594924) (0.99738410726052718,-0.072283764318975652) (-0.88658942952677866,-0.46255722181302261) (0.25194220124688749,0.96774228347782376) (0.0038858158113376784,-0.99999245018924054) (0.36173507324106113,0.93228093233063847) (-0.93797309816770169,0.34670804304729391) (0.81295819572980443,0.5823220517855574) (-0.12229434924891183,-0.99249387511550224) (-0.9979673705139801,0.063726975366892646) (-0.96871347381925621,-0.24818179957650033) (-0.28993347797297309,-0.95704680050167645) (-0.4336809489569301,0.90106649838500696) (-0.64750810264605052,-0.76205856533977245) (0.39175615335293162,-0.92006908235746876) (-0.99737097124188601,0.072464789546496461) (0.95798846062926457,-0.28680674556427799) (-0.55907013863193444,0.82912036526071986) (0.73724446150384948,0.67562608296445981) (-0.34666253222317778,0.93798991932355835) (0.39532607625723581,-0.91854085017001741) (-0.76919587722275007,-0.63901306908663857) (0.18723633440337706,-0.9823148960894299) (0.99561680854428325,0.093526309368525906) (-0.99272858564424593,0.12037422998621888) (-0.66669982657687732,0.74532633204681731) (-0.89170247494449018,0.45262202352279701) (0.92708250287686278,0.37485735001407194) (0.95392679838643546,0.30003943627497587) (0.29099501026688956,-0.95672457060523564) (0.15471557212021442,0.98795905367758829) (0.57935724023835644,0.81507373174664155) (-0.5538692088957855,-0.83260368689860864) (0.8503246510827992,0.526258479989554) (-0.78697553060899961,0.61698420905456308) (0.22171389300954286,-0.9751117626439304) (-0.43847246846673482,0.89874462134506672) (-0.012120338829628707,0.99992654599558262) (-0.037229899588812176,0.99930672697456013)
 (1,-5.5511151231257827e-17) (-0.45456930431015108,-0.8907113716457119) (-0.9065246150691515,-0.4221529607544251) (0.98976133830530266,-0.14273224301501519) (-0.99543197641189163,0.095473453570698003) (-0.98482096837423738,0.17357321294033051) (-0.96397647403954512,-0.26598751380147045) (0.70462183173358328,0.70958302843600352) (0.9988736932354807,0.047448339929972549) (-0.96828504533442716,-0.24984809581365106) (0.46768047997062617,-0.88389760077423229) (-0.91698830659696295,-0.39891408293570541) (-0.94849709215016453,0.31678583646161068) (0.61801104997559198,-0.78616941056496659) (-0.58456516952650417,-0.81134675852957594) (0.99318501432945427,-0.11654839042819057) (0.56567271531668362,-0.82462984371550074) (0.075350330667690424,0.99715712285891522) (-0.67589709334193515,0.73699601030936679) (-0.98414856639124848,-0.1773459874653239) (-0.99180762787543597,-0.12774047631076613) (0.9028658849821608,-0.42992231127888669) (0.084080602864334747,0.99645895661686479) (0.19914610782117304,-0.97996980960623403) (0.48388278502577903,0.87513281869422299) (-0.40897465160706525,0.91254574369884556) (-0.81739963464730725,-0.57607103492403555) (0.080210449677075524,0.99677795108168499) (0.82274831955270478,-0.56840584327855082) (0.99966600425525254,-0.02584337316099164) (0.99693842720290438,-0.078190615589086854) (0.96926605553967582,-0.24601486454797603) (-0.29118453103191722,0.95666690592270553) (-0.99594347635623859,-0.089981064138243083) (-0.94447017494808894,0.32859715250367977) (-0.038106290747760896,0.99927369154073475) (-0.046945843117049302,-0.99889743608341941) (0.96618604594119939,0.2578459319603692) (-0.30809239224736751,0.95135644100373618) (-0.43687211345753424,-0.89952362752912007) (-0.20656903163746057,0.97843202889539627) (0.85032465108279942,0.526258479989554) (0.98217434619050836,0.18797221519482127) (-0.79706846940592979,0.60388894266983173) (0.17700450343451468,-0.98421004148702929) (0.73948821152087907,-0.673169506901236)
 (0.99999999999999989,5.5511151231257827e-17) (0.95419571429761418,0.29918311920304907) (-0.88008760887430892,-0.47481133169491757) (0.97147110779781487,-0.23715793622412507) (-0.39323709012368208,0.91943710548958146) (-0.98886965024823481,0.14878445758187986) (-0.53379455522808372,-0.84561419856152598) (0.46005186825969024,0.88789204214857598) (0.84900768519679515,-0.52838049782025354) (0.91197035314407304,-0.41025610901761683) (0.51135476193377782,0.85936971522601868) (-0.93708478778506965,-0.34910184832196278) (-0.65256425948523999,-0.75773338796867062) (-0.99671550102187489,0.080982776086723551) (-0.92139327413468586,0.38863148917626755) (0.83259776251594841,-0.55387811461858316) (-0.98237343169969416,0.18692897231452893) (0.97896436499227479,-0.20403130170459638) (-0.92899264366860324,0.37009818698504704) (-0.91326975458936166,-0.40735531830612903) (0.80594240400424277,0.59199395387779219) (0.3959274543561575,0.9182817927450444) (-0.15477647277790474,-0.98794951463849134) (0.82179825304784027,-0.56977858093080125) (-0.69038228237936594,0.72344474853070639) (-0.9951325896368769,-0.098545060975182674) (0.48086487874623352,0.87679471279676979) (0.8165051973743821,-0.57733808350101168) (-0.31035022151278724,-0.9506222909268246) (-0.52089804717885146,-0.85361889883323117) (-0.88548465765509865,-0.46466861423753703) (-0.34780109669020753,0.93756834265086442) (0.5871278941718534,0.80949418520785277) (0.41825252514582589,-0.9083307906314414) (0.84185641047284121,-0.53970156952317916) (0.99551175478621934,0.094637973786751484) (-0.44586775500898956,0.89509884652101013) (-0.63983792044294807,0.7685098799386012) (-0.99783908974843771,0.065705030020611344) (0.31082662217622037,0.95046662800254067) (-0.43687211345753396,-0.89952362752911974) (-0.5538692088957855,-0.83260368689860864) (0.81785374495940744,0.57542614804670822) (0.99568982231166436,0.092745769418154655) (0.14805610254950524,0.9889789636275631) (0.20166733000324455,-0.97945407651883387)
 (1,0) (0.5953571071651097,0.80346120936109566) (0.9463891024487755,0.32302889463050111) (0.90099390498897991,0.43383174523392193) (-0.80589265360236273,0.59206167826481015) (-0.83031890711877665,0.55728853611130569) (0.091159404883653206,-0.99583631330719224) (-0.77687204825611955,0.62965849524829121) (0.92999599320118864,0.3675696568403547) (0.92197625547172446,-0.38724641295477397) (-0.5503379266309566,-0.83494201386176525) (0.99929459559811007,-0.037554110406337771) (-0.13501999238525675,-0.99084287435308638) (0.15887740859586685,-0.98729831815812552) (0.49442902821243628,0.86921800260976356) (0.26425664630511725,-0.96445239638023272) (-0.9995799274238425,0.028982213361777587) (-0.35742390599058399,-0.93394226343304276) (-0.11979446964370677,0.99279871325600788) (-0.072426302486768956,-0.99737376680364753) (0.066698949247742834,0.99777314564446407) (0.66508858208886179,-0.74676447289291181) (0.87216894816368939,0.48920478928465727) (-0.99883823093648616,0.048189090255702394) (-0.83396364305696769,-0.5518193926088063) (0.41164851402268487,-0.91134269125445699) (-0.98104458522075588,0.19378215038810181) (-0.89200866349065566,-0.45201830079944283) (-0.97557347668548466,0.21967337478128257) (-0.93219973964152958,-0.36194425732737651) (-0.55673801940669154,0.83068813507062644) (0.99969272171282753,-0.024788347149431122) (-0.82219771142557974,-0.56920200572954849) (0.1373637672915487,-0.99052066885829049) (-0.38995706847489231,0.92083303847465703) (-0.88291343464850647,-0.46953579939891571) (0.41025960453621396,0.91196878065303855) (0.96591338653360992,0.25886546643995367) (0.83984233628865845,-0.54283040645970626) (-0.99783908974843794,0.065705030020611621) (-0.30809239224736751,0.95135644100373606) (0.57935724023835677,0.81507373174664177) (0.10100377561349205,-0.99488604237461309) (0.41199211828395876,0.91118740908327811) (0.93974986059861743,-0.34186283726793171) (-0.48447706296949411,0.87480396401505511)
 (1,0) (-0.80780302874413201,-0.58945251441639268) (-0.79275988826868016,-0.6095340511835512) (0.9998042724998818,-0.019784253611993655) (0.96937102885743087,-0.24560091288895364) (0.93561821492898789,-0.35301353499985721) (0.60772833423307859,0.79414499417316076) (0.94622003824240886,-0.32352378464115383) (-0.1290103345039135,-0.99164324915323698) (-0.97303858341515281,-0.23064239676485107) (0.7580920661423648,0.65214754408185949) (0.92631819767722445,-0.37674208240123597) (-0.73949134314997811,-0.6731660667370587) (-0.41903128419443991,0.90797179629455427) (0.83686898648919661,-0.54740323295770354) (0.98827190174123147,-0.15270444731169541) (0.49927027139982166,-0.86644630306577541) (0.4874480616431246,0.87315198402131711) (-0.94186541660422962,0.33599038231018158) (0.99232154486516055,0.12368488831067215) (0.65129998171350278,-0.75882035675118253) (-0.96232408893948107,0.27190503461098153) (0.22567307589490918,0.97420309115508974) (-0.31044947020798797,0.95058988341323147) (-0.66756143915003596,-0.74455471589395894) (-0.99843709629793387,0.055887071279065094) (0.17131508218664601,0.98521629230102803) (-0.45551111435190339,0.89023009649297313) (-0.84709228464082975,-0.53144582160553355) (0.16102500421225538,-0.98695032702686936) (-0.35675549856161476,-0.93419779182251084) (0.21852512930408374,0.97583132141914475) (-0.077109419369558133,-0.9970226363751683) (-0.48175911586213577,-0.87630368838875417) (-0.19459208681541063,-0.98088425400188051) (-0.9154912139920004,0.40233796378598674) (0.32542290354819625,0.94556857701927788) (-0.60124336598124062,0.7990659640252169) (0.96591338653360981,0.25886546643995378) (-0.63983792044294829,0.76850987993860154) (0.96618604594119928,0.25784593196036926) (0.15471557212021439,0.98795905367758841) (-0.23037664756971499,-0.97310153645677711) (-0.32546445608280244,0.94555427545261828) (-0.92040782258988674,-0.39095964000820377) (-0.99999618043851801,-0.0027638936985744343)
