# Created by Octave 5.2.0, Sat Sep 18 00:12:53 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
3.4552145577392884e-12


# name: H
# type: complex matrix
# rows: 51
# columns: 51
 (1,0) (1.0000000000000002,5.5511151231257839e-17) (0.99999999999999989,6.9388939039072284e-17) (1,0) (0.99999999999999978,8.3266726846886728e-17) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1.0000000000000002,5.5511151231257839e-17) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999978,5.5511151231257815e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,0) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999989,6.9388939039072284e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,0) (1,5.5511151231257827e-17)
 (1,-5.5511151231257827e-17) (-0.95301795092666375,0.30291382472831696) (-0.13866134926483253,-0.99033985591818607) (-0.86730127546796321,-0.49778358507653497) (-0.99999973058284386,0.00073405329783465811) (-0.0037257157975696953,-0.9999930594968145) (0.27037837117970598,0.96275414120022984) (0.63358334020585838,-0.77367444769334215) (0.68728469022889405,0.72638815696360171) (-0.65668094257569065,-0.75416850879488073) (0.92639268267811881,-0.37655888979072971) (-0.51796656957629239,-0.85540086088416756) (0.88444150563220891,0.46665107212459106) (0.81002690312230796,-0.58639271501110335) (-0.37489271974896821,-0.92706820066229134) (-0.71636189708854181,-0.69772891039407425) (-0.98328440839427356,-0.18207628129088249) (-0.28677904273533678,0.95799675398604922) (-0.88819126425835293,0.45947391448825026) (-0.93761696336126543,-0.34767000160668787) (0.62262081045748163,0.78252369062237603) (-0.62311584489954253,0.78212955693742592) (0.99991134493267475,-0.013315490037028255) (-0.56670926003497346,-0.82391784456377237) (0.78301367955625634,0.62200448360744565) (-0.70141626940371049,-0.71275186216226671) (0.92667903362714377,-0.37585365321606357) (-0.55913291017068778,0.82907803538874614) (0.31075615614074981,0.95048966928664269) (-0.36556978156075493,0.93078393562073281) (0.90424673999529226,-0.42701034320949394) (-0.2041060855606201,0.97894877590050866) (0.92404838630150654,0.38227552860938774) (-0.68455529459249798,0.72896093766769765) (0.39797645660885617,0.91739562893283677) (-0.99040164508690887,-0.13821932357357986) (-0.62413747368668249,-0.78131454225555019) (0.77783050558237388,-0.62847410812656257) (0.92132046332555473,-0.38880406872558693) (0.13782901365122152,0.99045603789160808) (0.6124997244429724,-0.79047080120475499) (0.98727983832402111,0.15899220370470507) (0.64097071256164684,0.76756533639698765) (-0.28285280316246186,-0.95916332902333978) (-0.53736172693716511,-0.84335186869011725) (0.06356631445229749,0.99797761681660391) (-0.44919844071986115,-0.89343201244126236) (-0.79775999695533817,0.60297511329890263) (0.84715327521235628,0.53134859395407297) (-0.0020414598695751573,-0.99999791621862899) (-0.35697112580012574,0.93411541864214731)
 (0.99999999999999989,1.3877787807814457e-17) (0.62315636504860383,0.78209727316965016) (0.68813439844422919,-0.72558324793078466) (0.99985705613312958,0.016907610735674206) (0.15466063000737593,-0.98796765611315718) (0.93251412244037402,-0.36113350917529652) (-0.59922692463515581,-0.80057922330789755) (0.047348964135952,-0.99887840881422696) (-0.42285325886207276,-0.90619816898387984) (-0.96420155375356575,0.26517044280839913) (-0.10310113309624222,0.99467087840865609) (-0.2717605256047565,0.96236490829779242) (-0.9114526760435363,0.41140493353030944) (-0.48478839472554325,-0.87463147230101179) (-0.19366212079356562,0.98106828659871625) (0.99973739761489733,0.022915841904290635) (0.55660738700784962,-0.83077567172388944) (-0.99407220844453137,-0.10872186715745943) (-0.85170641103405975,0.52401926434386703) (-0.46827831101451584,-0.88358102256295101) (-0.7762972688764761,0.63036699654638539) (0.3563799722406516,0.93434111296985611) (0.95698194047155805,0.29014748941062601) (-0.55632009311819985,0.83096808241529341) (-0.95644391622706459,0.29191614397327315) (-0.89106689350232371,0.45387199881035284) (-0.04305923679238266,0.99907252095473498) (0.9877005465623776,-0.15635738012764333) (0.087559990208433358,0.99615924837081449) (0.30197811687485787,0.95331485718450593) (0.90814591809751666,-0.41865378469902409) (0.82496456069352031,-0.56518445980027665) (0.97302776650192024,0.23068802659927848) (0.71004957975587601,0.70415168414802221) (0.02033853856863678,0.99979315053109596) (-0.80467399384871841,0.59371690528698795) (0.62130660216774936,-0.78356755044013271) (0.14730606796282145,0.98909095756726662) (-0.99196533939223652,-0.12650994207743893) (0.61955103212676976,-0.78495638005601809) (0.15529543649741201,-0.98786807186136494) (-0.89875903233072196,-0.43844292878769131) (0.62073550908757624,-0.78402004295666672) (-0.97518446286266736,-0.22139391001391986) (0.93878835321739629,0.34449445258722033) (-0.83926946801131697,-0.54371569782745732) (-0.77989656206388225,-0.62590842180060857) (0.092547155678716492,-0.99570830265483856) (0.43681673893416845,0.8995505191966221) (-0.98140890157726013,-0.19192854895742684) (-0.0020414598695751435,-0.99999791621862855)
 (1,-5.5511151231257827e-17) (-0.30096764562033068,-0.95363435146273479) (0.72417693721463239,0.68961421360527664) (-0.28480094574256376,-0.95858667907713713) (0.018214816950907708,-0.99983409645973165) (0.1529964139316658,-0.98822674388222276) (-0.80136197289300393,0.59817972917930085) (0.045666523698174921,-0.9989567401110615) (0.65057108940393671,0.75944536184755962) (-0.91315545981238666,-0.40761146477354299) (-0.60710970877570369,-0.79461802239205648) (0.42516659451278599,0.90511511251905707) (-0.72292914436043798,-0.6909221752370357) (-0.8667017448550548,-0.49882670885310099) (-0.77603897530463928,-0.63068495210217934) (0.56599445986516117,0.82440904374099699) (0.20655912209189831,-0.97843412097116089) (-0.77277440753451476,0.63468079777134401) (0.35827924635301278,0.93361447162772582) (0.19321399279285029,0.98115664039390071) (0.91575658980389429,0.40173357866966575) (0.99997361578509458,-0.0072641402572485303) (-0.93026383716658523,0.36689125536062583) (0.95352090038022153,-0.30132688651710204) (-0.30268071518989148,-0.95309201268929034) (-0.47874575427898791,0.87795358804428303) (-0.75416538884036477,-0.65668452568584812) (0.5959543650366641,-0.80301830290083975) (-0.89113827966759973,0.45373182223762687) (0.284623903213297,-0.95863926151583967) (-0.73447101938102222,0.67864005311314135) (-0.97493436147974333,0.22249267584814755) (0.20489630386043078,0.97878368634970825) (-0.54967627828618393,-0.83537775233090006) (-0.93088835969856643,-0.36530379381785966) (0.99276490181245958,0.12007435083853324) (-0.2601142542606909,0.96557784498734534) (0.99997451490179334,-0.0071392959679324464) (-0.85505688923621004,0.51853419961433866) (0.99995602823806229,-0.009377717758840054) (0.97101255765813255,-0.23902847711143449) (0.94997585052772204,0.31232336354190421) (0.97137235309594183,-0.2375621005986539) (0.3755173093562878,-0.92681538095448102) (-0.94207890390203441,0.33539132192522314) (-0.95820598368127119,-0.28607917232368524) (-0.99384232330475064,-0.11080359384159622) (-0.031107019542912506,0.99951605956840694) (0.79310096818389653,0.60909018565870854) (0.43681673893416861,0.89955051919662243) (0.84715327521235617,0.53134859395407275)
 (1,0) (-0.64639944360505508,0.76299918696357549) (-0.5360810841915139,0.84416649493571527) (-0.75061373808013609,-0.66074126267803601) (0.75109855515480151,0.66019009417316632) (-0.85476336613291992,0.51901790712569318) (0.77733496324622597,-0.62908692158952761) (0.49274660016474847,0.87017284951099694) (0.29412772045892788,-0.95576612414211548) (-0.40240357519513836,-0.9154623764361729) (-0.86460441265091181,0.50245319147615342) (0.18521005070990279,0.98269895548740283) (0.49152247989182701,0.87086488720178612) (-0.91143984654790711,0.41143335562972638) (0.40979401292766199,0.9121780895026258) (0.62593527497336809,0.77987501020613614) (-0.8297910076843853,-0.55807426348662004) (0.9981234704735914,-0.061233468705828312) (-0.15378088580217658,-0.9881049737562817) (-0.54092026675759008,-0.84107387607207229) (-0.14358241051461085,0.9896383639445363) (-0.50202414774646376,0.86485360326441596) (0.83603945113297251,-0.54866933224782577) (0.99947408687813344,0.032427606435306344) (0.98105241067422277,-0.19374252891478205) (0.074213720957931523,0.99724235952027707) (0.43161641392524053,0.90205724387663366) (0.68131820119085784,-0.73198736923942331) (0.97187586688485883,-0.23549373530269391) (-0.61066129261993496,-0.79189190278456734) (-0.65392553612020288,-0.75655891588819624) (-0.8914569967531949,-0.45310531109199181) (-0.92403043562486731,0.38231891666371121) (-0.99992117476000308,0.012555646799873248) (0.019316727432075798,-0.9998134146136044) (0.99886879419910857,-0.047551361444534784) (-0.89740576058935406,-0.44120618860238364) (0.82862169565090638,0.55980897232594828) (0.56804802173228497,-0.82299541007591592) (-0.94694605593111436,-0.32139254371642251) (0.089529477149508138,-0.9959841729271367) (0.80096736366049481,-0.59870801092915649) (0.80656386363280175,0.5911469647065255) (-0.88514897927715208,-0.46530773095298239) (-0.73675181210637686,0.67616326974922869) (-0.82251639575425972,-0.56874139880567265) (0.67127467107031624,0.74120868584997179) (0.45681459109203298,-0.88956193115793203) (-0.03110701954291252,0.99951605956840683) (0.092547155678716561,-0.99570830265483878) (-0.79775999695533795,0.60297511329890252)
 (0.99999999999999989,1.7347234759768071e-18) (0.94292909541499348,0.33299357504289945) (-0.35211016351967683,-0.93595856358395479) (-0.98670296522344381,-0.16253386852979801) (-0.20111818424057409,-0.97956698391063268) (-0.97881087602665695,0.20476637656590915) (0.17141169506468454,0.98519948781708344) (-0.60759039528272196,0.79425053450418936) (0.81051678841210428,-0.58571540504082165) (0.97381241533916019,0.22735298487441014) (0.15239844191509708,0.98831913616090039) (-0.41111845307707168,-0.9115819313366833) (0.81133961739441884,-0.58457508093166977) (-0.47345597196404438,-0.88081748541430394) (-0.16038626821462451,-0.98705432726278386) (-0.83996528719074703,0.54264013518590193) (-0.15338470653042266,0.98816655063940018) (-0.99917410879139801,0.040633733780116213) (0.99411416506493044,0.10833755958692999) (0.74990376610494347,-0.66154693074763415) (-0.82736684630527868,0.56166191043620672) (0.10656777020254043,0.99430544117693676) (0.91674198618263469,-0.39947982523516268) (0.51074652581612801,0.85973134546016539) (-0.21807128705918133,-0.97593284285361626) (0.3194347480314999,0.94760827442041839) (0.18652649401978569,-0.98244993105433664) (0.70079795100321507,0.71335981935464243) (-0.47062377812219697,-0.88233398408198416) (0.70593581259749461,-0.70827581385525162) (0.43573448111488955,0.90007525350247708) (-0.99021402237789136,-0.13955712051412072) (0.061029878547912177,0.99813593960162705) (-0.84625380590168886,0.53277996959053164) (-0.22345648696040371,0.97471390594128338) (0.72097368114725002,-0.69296244565847276) (0.074302653051322443,0.99723573730063098) (0.91121281654920705,0.41193592093487563) (-0.66593693451483138,-0.74600804234873186) (-0.44189335051571038,-0.89706759320019636) (0.99802573817847273,0.062806257119175077) (-0.78117427206072454,0.62431302779166142) (-0.63686425053374318,-0.77097595707783562) (-0.8376345699840908,0.54623101996094192) (0.53448795551172024,-0.84517609136374561) (0.15825829526728963,0.98739774760684984) (0.70776686748360707,-0.70644607812093219) (0.67127467107031613,0.74120868584997168) (-0.99384232330475031,-0.11080359384159628) (-0.77989656206388225,-0.62590842180060868) (-0.44919844071986098,-0.89343201244126225)
 (0.99999999999999989,0) (0.15746126951099476,-0.98752516352950814) (0.7861541455326444,0.6180304680691926) (-0.80974164413717953,-0.58678656234615312) (-0.58784472318473069,0.80897378290267929) (0.25673548337523039,-0.9664817078331549) (0.99989998842966954,-0.014142600126363036) (-0.83037571814965683,0.55720388253084285) (0.35334738475501526,-0.93549218365884934) (0.63999559493181102,-0.76837857756959649) (-0.30424678816533052,0.95259324577233051) (0.22953384255473364,0.97330068073645415) (0.86397365816000737,0.5035370075829747) (0.70688643823756991,0.70732705549540786) (-0.40009760050811949,-0.91647253645029569) (-0.47396483598944916,-0.88054377190773014) (-0.075317117089191324,0.99715963209176073) (0.78994759894672428,-0.61317435605079207) (0.052156077421781917,0.99863894555939459) (0.80132302641629893,-0.59823190096735457) (-0.59855584206125201,0.80108108449415749) (0.8565780525115323,0.51601748028099714) (-0.94081084197467846,-0.33893208703647221) (0.8537829083397348,-0.52062918226598021) (-0.82470544369046461,-0.56556249093031186) (-0.50669973165219317,-0.86212260261727458) (-0.97023844605492826,0.2421515182626538) (-0.94798121903477195,0.31832626086664362) (-0.58642320023570105,-0.81000483345799767) (-0.34300605948712115,0.93933319070238108) (0.69063648264623101,0.72320208022243093) (0.21878030011968819,-0.97577414409254293) (0.84046441700149555,-0.54186673984877376) (0.9163206824901371,-0.40044526072959996) (0.87501753732009746,-0.48409122010450673) (0.6749566220537293,0.73785741057863774) (0.56220301231933412,-0.82699925812484887) (-0.95878740098841686,0.2841244792443729) (-0.47160709675011303,0.88180879236653109) (0.39047753574126931,0.92061245596691588) (0.61892933730845123,-0.78544667254939804) (-0.6352910819386739,0.77227277642629566) (0.61835687568097741,-0.78589743242872512) (-0.48933168425585261,-0.8720977598774815) (-0.77801535691528012,0.62824525816276544) (-0.82270920181479323,0.56846246072125162) (0.15825829526728971,0.98739774760685006) (-0.82251639575425961,-0.56874139880567254) (-0.95820598368127097,-0.28607917232368518) (-0.83926946801131708,-0.54371569782745743) (0.063566314452297462,0.99797761681660369)
 (1,5.5511151231257827e-17) (0.24172137815588035,0.97034569888386679) (-0.082524985987235899,0.99658899586931171) (-0.94926347164089286,0.31448189360959145) (0.6365061640602061,-0.77127161435733427) (0.63520623752973482,-0.77234256376515342) (0.049445958715671201,-0.99877680047480066) (-0.74139995379350854,-0.67106341616495879) (-0.28177783927440986,0.95947967633184239) (0.28753602903926284,0.95776982203676597) (-0.93159396999420718,-0.36350058469062091) (-0.17087260816429711,-0.9852931298751274) (0.95001543929551413,0.31220292295258834) (-0.035294003349915171,-0.99937697258219416) (-0.89380458053010292,-0.44845665545669905) (0.91136495072810586,0.41159923054392489) (0.96963040526376609,-0.24457489075540711) (-0.41674414909240654,0.9090238248787843) (0.87905028980404309,0.47672905092456513) (-0.93358213273365154,-0.35836350461576122) (0.31553962706119332,-0.94891240046385383) (-0.98147737003993674,0.19157810965631711) (0.55842699883616742,-0.82955366732407976) (0.98141106864072347,-0.19191746754654382) (0.18622797066565822,-0.98250656127160108) (0.99366076753347166,-0.1124201008039854) (-0.65768039611861284,0.75329708386615579) (-0.91617513544353701,-0.40077814460748185) (-0.83846136535774085,0.54496104338056361) (-0.18766256261743508,-0.98223355806644008) (0.99962301151568034,-0.027456053036216566) (0.47345494457652215,0.88081803765365696) (-0.77981184616892585,-0.6260139651594171) (0.97015040546717402,0.24250400155847868) (0.72641616755387184,-0.68725508475118069) (0.29843434928149248,0.95443016463695618) (-0.97601242681177591,-0.21771481968156997) (-0.99982076728342673,0.018932335005924561) (0.58413759476555505,0.81165464970115886) (-0.4045186380359363,0.91452975428990624) (0.31615893862054756,-0.94870623774187779) (-0.62890070695158851,-0.77748562738855775) (-0.05620268484481683,0.99841937992821128) (-0.42909656685369052,0.9032586209466148) (0.84949095510954864,0.52760318155510211) (-0.77801535691528012,0.62824525816276533) (0.53448795551172035,-0.84517609136374572) (-0.73675181210637675,0.67616326974922858) (-0.9420789039020343,0.33539132192522303) (0.9387883532173964,0.3444944525872205) (-0.53736172693716489,-0.84335186869011713)
 (1,-1.1102230246251565e-16) (0.25665243177537256,-0.96650376577837371) (-0.18301918852197679,0.9831093411379771) (0.38926208264660844,0.9211270439052478) (-0.24416719576115875,0.96973314912615316) (0.95009482468486883,-0.31196125417595422) (-0.8314959776570926,0.55553077245105509) (0.96434254555390142,-0.26465724028376508) (0.85502175269235337,0.51859213494122491) (-0.13611896848277721,0.99069249841673046) (-0.99390918504599546,0.11020223174325944) (-0.92305182318972734,-0.38467561880903506) (0.6363099524693876,0.77143349965398389) (-0.2553583356008805,0.96684648235339898) (0.1471865874751494,-0.98910874451064656) (-0.9728001224605124,-0.23164611315712896) (0.9225399516514563,-0.3859015905731803) (-0.81902461125692927,-0.57375838656653078) (0.86793665171190271,0.49667491240764533) (0.98854946152078549,-0.15089719058671525) (0.9659431080870462,0.25875453993917114) (-0.99995251613892888,0.0097450226995856037) (0.35341575689310512,-0.93546635577110104) (0.52888625267788991,-0.84869271926200296) (-0.86517045088581823,0.50147790670579251) (-0.022753428109878404,-0.99974110724188825) (-0.069274079425027724,0.9975976653540215) (0.95306773425680491,0.30275715337311204) (0.78772863503419943,0.61602240019917831) (0.93404953413523206,0.35714348346532815) (0.99803749376370354,-0.062619174714026893) (-0.73481893294619272,-0.678263323336743) (-0.89321349958526053,-0.44963278812676527) (-0.41408189442791027,0.91023963037597033) (-0.9199114630479146,-0.39212612786328438) (-0.051711564987676706,-0.99866206198419349) (0.39840137875180404,0.91721117601599578) (0.1069831144987024,-0.99426083761362793) (0.14848787574587152,-0.98891422821013975) (-0.19355132226715865,-0.98109015164185598) (-0.99739609616230673,-0.072118148618746158) (0.49873862097928467,0.86675243751816422) (0.72331778016006776,0.69051530678494011) (-0.33044111416474575,0.94382661017241642) (-0.42909656685369058,0.90325862094661502) (-0.48933168425585272,-0.87209775987748173) (-0.83763456998409103,0.54623101996094214) (-0.8851489792771523,-0.46530773095298256) (0.3755173093562878,-0.92681538095448102) (-0.97518446286266758,-0.22139391001391995) (-0.28285280316246192,-0.95916332902333978)
 (1,5.5511151231257827e-17) (-0.020980033649852348,-0.99977989487088992) (0.39605315490532911,-0.9182275853455526) (0.54712965411950854,0.8370478729338382) (0.99353206766618762,-0.11355188470012911) (-0.50527633196416277,0.86295760519091624) (-0.95406424865749107,0.29960208516231562) (-0.92719526590031964,-0.37457834813565705) (-0.73925985806946137,0.67342027163363838) (0.99333022245560976,0.11530424604620543) (-0.99930700727413968,-0.037222375163221633) (-0.93300139085817158,0.35987276175992572) (0.91962469033014682,-0.39279820383394803) (-0.5152160015417393,0.85706036645929529) (-0.1600134996066378,0.98711482611884027) (-0.3560932147882262,-0.93445043869741529) (-0.64699299521233455,0.76249594369161089) (-0.98358394709886654,-0.18045115408165263) (-0.40817280946770101,0.91290468155840099) (0.91744706023837808,-0.39785787872048572) (-0.85935148781889126,0.51138539320502074) (-0.34249989461675778,-0.93951786688040784) (0.2606602311164728,-0.96543060025788285) (0.045465057437414136,-0.99896592962533237) (0.055413069519346769,0.9984635154708621) (-0.52683675135915842,0.84996649193795915) (0.99265143076842843,-0.12100883022895448) (0.81308745805620974,-0.58214155112968657) (-0.96150658458072091,-0.27478189133913883) (-0.24362444852796633,-0.96986964489020078) (-0.20923347514022739,0.97786571311235904) (-0.9091085224319454,-0.41655935284373452) (0.9893062930443397,-0.14585286607694214) (0.063638567788745937,0.99797301200472677) (0.29971219053411141,-0.95402966560021185) (-0.73683170631431194,0.67607620618532538) (-0.4250296761371497,-0.90517941558717596) (-0.69484201935153422,0.71916240734863091) (0.99998553938923029,-0.005377825993217733) (-0.29316624348740811,0.95606148007305092) (0.68252031021416149,-0.73086662678301073) (0.49568005161457146,-0.86850520230529771) (-0.80229979418346797,-0.59692130155755951) (0.72331778016006776,0.69051530678494022) (-0.056202684844816886,0.99841937992821139) (0.61835687568097764,-0.78589743242872512) (-0.63686425053374318,-0.77097595707783573) (0.80656386363280197,0.5911469647065255) (0.97137235309594172,-0.23756210059865379) (0.62073550908757646,-0.78402004295666683) (0.64097071256164662,0.76756533639698765)
