# Created by Octave 5.2.0, Fri Sep 17 23:39:08 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
7.3849851884717887e-13


# name: H
# type: complex matrix
# rows: 53
# columns: 53
 (1,0) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999989,4.1633363423443364e-17) (0.99999999999999989,4.1633363423443364e-17) (1,0) (1,1.1102230246251565e-16) (1.0000000000000002,5.5511151231257839e-17) (1,0) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,1.1102230246251565e-16) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,0) (0.99999999999999989,-6.1629758220391547e-33) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1.0000000000000002,5.5511151231257839e-17) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999989,1.1102230246251565e-16) (1,0) (0.99999999999999989,5.5511151231257821e-17) (1.0000000000000002,1.2325951644078309e-32) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,1.1102230246251565e-16) (0.99999999999999989,5.5511151231257821e-17) (1,1.1102230246251565e-16) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,5.8980598183211441e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,4.1633363423443364e-17) (1,5.5511151231257827e-17) (0.99999999999999989,5.5511151231257821e-17) (1,5.5511151231257827e-17)
 (1,0) (-0.62921900717695367,0.77722804954996827) (-0.80233321339799757,-0.59687638140442756) (-0.99116847391811957,-0.13260865850623929) (0.65793896807731422,0.75307125445429146) (0.73606126774359226,-0.67691492089308736) (-0.28588484097026345,-0.9582639812198972) (-0.76413061373840008,0.64506155144123745) (0.36489735448848576,-0.9310477542464215) (-0.71797833363462793,0.69606545125529729) (-0.59050516704549083,-0.80703385783533066) (0.99904095266868675,0.043785555732949344) (-0.63780302097753638,0.77019952378064216) (0.96091979690480711,0.27682692050525681) (-0.75149151648167944,0.65974275339413002) (0.96903087590723591,-0.24693959086881145) (0.69469097717759998,0.71930831096827208) (-0.28064064318834642,-0.95981291374456468) (-0.74848584569105781,0.66315076626672209) (-0.71541433316769321,0.69870045935166447) (-0.25516262966703507,0.9668981499731002) (-0.57048923308171451,-0.82130508030684735) (0.68212334625269677,0.73123713014112157) (-0.76960740342408429,-0.63851738002566427) (-0.24895203710717667,-0.96851581464640368) (0.78610025531817107,-0.61809901196224537) (-0.68645181619442119,-0.72717529113920032) (-0.095668451224824369,-0.99541325460345575) (-0.99476161414100428,0.10222196941744821) (-0.75462639733553194,0.65615470770573481) (0.58599074359831727,0.81031774534258427) (0.31296216318871933,-0.94976559445593689) (0.69937234952578597,-0.71475752302356454) (0.9772234161673542,0.2122130884139897) (-0.88730235569138416,-0.46118817155746739) (0.2385004693068577,0.97114238201224268) (0.95897112614899405,-0.28350375520004722) (-0.98623940450589653,-0.16532343149067971) (0.45874568876231009,-0.88856760746833086) (0.97685205484752569,0.21391601842818755) (-0.97866405489208841,0.20546695029170398) (-0.92401920603494214,0.38234605644436326) (0.55593987502606013,0.83122250652638641) (0.93265745014267853,0.36076319198798079) (-0.79650967486373181,-0.60462578331433203) (0.9964503596637474,0.08418242527979744) (0.7822799830444751,-0.62292698458803175) (0.18801200065363588,0.98216673106464869) (0.93402305126290408,0.35721273732823949) (0.6250460092829464,0.78058791066699307) (0.74529475635534026,-0.66673512443040972) (-0.96892706896718606,0.24734658886400113) (-0.98668893499705179,-0.16261901965755554)
 (0.99999999999999989,0) (0.49445136860316052,-0.86920529455730999) (-0.91552286635334812,0.40226593341239836) (-0.82007270524937237,-0.57225934514429266) (0.68048378180173974,0.7327631422941534) (-0.99853208546350392,0.054163403695715651) (0.93088839260959444,0.3653037099520407) (-0.9145435206262017,-0.4044875138748194) (-0.47144246694302833,-0.88189681956715993) (-0.53095290289988861,-0.84740133048171429) (-0.99998280415748764,-0.0058644172195415623) (0.68253787198171911,0.7308502263190908) (0.54139677740397973,-0.84076722665467007) (0.7234512332127897,-0.69037548708140895) (0.82345054542860829,-0.56738804995640235) (0.42363526220328124,-0.90583285688804616) (-0.92493151332063306,-0.38013378653626817) (-0.3475905412840084,0.93764642355734862) (-0.92184964757312793,-0.38754770966849711) (0.091021811776666739,0.99584889907098517) (0.62794348195306438,0.77825894371517712) (-0.87155569051426007,0.49029652082409375) (-0.049667557185906375,0.99876580526326797) (0.21963142725640539,0.97558292121239676) (0.27407501641445531,-0.96170831616317809) (0.88255316607295387,0.47021262111368556) (0.99988036384233558,-0.01546796698069397) (0.52697608308654431,-0.84988011381298012) (-0.3537340403339802,-0.93534604757223216) (-0.55581188766791534,0.8313080930238973) (0.99784660340565901,0.065590823076017213) (-0.89105308274194761,0.45389911184763382) (0.59824687089029416,0.80131185032418717) (-0.73455703471340861,0.67854694955694916) (0.86289377517914834,0.50538533096744498) (-0.075097154723458903,0.99717622181460153) (-0.63777937426363807,-0.77021910503692614) (0.95974475229531953,-0.28087365565604849) (0.4611799866287703,-0.88730660987794163) (-0.50451545731933689,0.86340266001782839) (0.98805730500785294,-0.15408686517876319) (-0.72302911898985389,0.69081755412898604) (0.9107809744247235,0.41288983594410689) (-0.3744018464362775,-0.92726655142149106) (0.6561901391631656,0.75459558789130332) (0.84177483582792045,0.5398287930139285) (-0.73063758370001319,0.6827654950896449) (-0.85469386444336282,-0.5191323512196796) (0.012799602137872956,-0.99991808173725494) (-0.45578403503009651,-0.89009039620236396) (-0.99999701851469014,-0.0024419176334982695) (0.41477144080790707,-0.90992562986770054) (-0.96892706896718617,0.24734658886400107)
 (0.99999999999999989,5.5511151231257827e-17) (0.80191203518801424,-0.59744212089592075) (0.98657399391393708,-0.16331489378713082) (-0.99951800893418163,0.031044320193020447) (-0.14065248175229061,0.99005902822858061) (-0.94644624181962134,-0.32286144295272096) (-0.094039652214845948,-0.99556845259947391) (0.99702125105863759,-0.077127329381150023) (0.8623443506187819,-0.50632225010942578) (-0.84730365000278574,-0.53110876917252536) (0.5886014635686877,-0.80842335263449472) (0.95545320447664428,0.29514263340850871) (0.9819373796107661,0.18920619049899506) (-0.89235153085170493,0.45134105218406406) (0.33183937957613441,-0.94333590314507143) (-0.82368879146964868,0.56704212789463182) (-0.99675400731334818,0.080507446269159844) (0.3479843480623116,-0.93750034320188136) (0.11979113076456965,0.99279911613082195) (-0.99211407669323437,0.12533817785148804) (0.9143855671548895,0.40484445726578916) (-0.50960683892621439,0.8604073859048591) (0.84850386978735659,0.52918917501766827) (-0.83723055232437471,0.54685007292184029) (-0.97521758966205951,0.22124794420225086) (0.1383088006583435,0.99038915364640767) (0.017125032081456271,0.99985335588585522) (-0.13821334345885861,0.99040247964649297) (0.64618770845042461,-0.76317851479689069) (-0.73612766405525232,-0.67684271600761026) (0.97736351316281822,0.21156692354437662) (-0.59228271910666885,0.80573021579658555) (0.52551765454597144,-0.85078269538143525) (-0.17660053953503269,-0.98428260648857036) (-0.99986374464990635,0.016507335783321364) (0.51323321312485271,-0.85824918814149764) (0.037653999424967888,-0.99929083670736474) (-0.27210987735389863,-0.96226618700152122) (-0.42758502178190627,0.90397513746107172) (-0.81040754455085695,0.58586654771803748) (-0.54116395849117538,0.84091710056946822) (0.95619054446833218,-0.2927450130563376) (0.89219030597662707,0.45165967046143402) (-0.50220326900827306,-0.86474960340979867) (0.49295699941320181,-0.87005367462561101) (-0.37234624401904426,-0.92809389318371616) (-0.98911279761719006,-0.14715934761303834) (0.6371060995836717,0.77077611397427404) (0.39836904784565957,0.91722521864509599) (-0.91614158570254312,0.40085483026455904) (0.81523310093720891,0.57913296498843869) (-0.99999701851468981,-0.0024419176334984916) (0.74529475635534004,-0.6667351244304095)
 (1,5.5511151231257827e-17) (-0.98715886697559974,0.15974157677777467) (-0.74576482120455911,-0.66620930003545609) (-0.76563386962812696,-0.64327659500269319) (-0.01930724574840742,-0.99981359775790724) (-0.12703257919937189,0.99189854512543518) (-0.69515903802965873,0.71885597434095194) (0.065416392170247972,0.99785805385106219) (0.85530440016487441,-0.51812583708844817) (-0.84136206453952544,0.54047190153955904) (-0.61157003424113365,0.79119030151936109) (0.98594631946726408,-0.16706242883711159) (-0.98873063640115111,-0.14970547298536957) (0.36173919092467488,0.93227933461445023) (0.89652945100395165,-0.44298413457205882) (0.73015687877334623,-0.68327954190065443) (-0.59806222646711127,-0.80144966983161348) (-0.35672820211241774,0.93420821545180321) (-0.35247941882371359,0.93581956557110646) (-0.16310736823210592,-0.98660832473094129) (0.75925442749151739,-0.65079391080013149) (0.51373007831558504,-0.85795186731766249) (-0.87084145708477501,-0.49156399036388804) (0.39791048108203719,-0.91742424703354242) (0.10020737824735826,0.99496657297860569) (-0.98729147477765367,0.15891992899370311) (0.98633076256656005,-0.16477750700525345) (0.81568810455814111,0.57849193259919063) (0.69331272218197526,-0.72063684977984332) (-0.65688976397578192,0.75398662984421927) (0.74941786601203053,-0.66209732071801519) (0.95248943666323838,-0.30457162219246164) (-0.53746757335482531,0.8432844167847986) (0.99727696111717545,-0.073747290288451561) (-0.85813273950682623,0.51342789307409897) (0.45510484146116836,-0.89043786042519868) (0.83123274126496827,-0.55592457208611101) (-0.80374811673869084,0.59496971758149875) (-0.59717836864463758,-0.80210846898840982) (-0.98319733615458837,0.18254587965363972) (0.99469296491315151,-0.10288782995225237) (0.78907774339514991,-0.61429334594997831) (0.15612874475793259,0.98773671343142555) (0.0032660676360799501,0.99999466638687418) (-0.75323770126025347,0.6577484058514832) (0.97104975961815998,-0.23887729977021915) (-0.31854584570946159,-0.94790745549407063) (0.63528506306077037,-0.77227772766788627) (-0.39343381671694783,0.91935294194533257) (-0.93760859987033929,0.34769255593006793) (-0.91614158570254345,0.40085483026455915) (-0.45578403503009651,-0.8900903962023643) (0.62504600928294651,0.7805879106669934)
 (1,0) (0.21340398990905957,0.97696404083819488) (0.9145378364592176,-0.40450036549364699) (0.99943922121302375,-0.033484968285851333) (-0.79251032423558243,-0.60985849668592207) (-0.99615846999685631,0.087568845222043085) (0.49047744247443648,-0.87145388772082322) (-0.73662652024953812,-0.67629976317093099) (0.83230324266415778,-0.55432058616898794) (0.59669047731489533,0.80247147879642522) (0.86407220009433217,-0.50336789033880613) (0.19255266129158194,0.9812866414200947) (0.36330506976953963,0.93167023472887101) (-0.89389103010510218,0.4482843141329374) (-0.91494743810334656,0.40357302376165627) (-0.033248646635106197,-0.99944711090529348) (0.66369797114742601,-0.74800067051760821) (0.24774512044815591,0.96882524497152211) (-0.95081703312276244,-0.30975307831178667) (-0.9659178181235103,-0.25884893013400206) (0.69568065140723179,-0.71835118936186715) (-0.80177282651247772,0.59762892723344174) (0.44757775958668766,-0.89424501626979347) (0.95207416957720647,0.3058672516368432) (-0.7398386643841427,0.67278432701891122) (0.99581610774127649,-0.091379864100430419) (0.97109872538255815,-0.23867816314101675) (-0.9155821770276934,-0.40213092035956288) (-0.92824563059488419,0.37196780678104951) (0.74813154342909793,0.66355044550237174) (-0.69309553751830411,0.72084573652912332) (-0.96380107542461602,-0.26662236779827037) (-0.41739385822248198,-0.90872568309592294) (0.11408665625364406,0.99347080222061046) (-0.88229222180634925,0.47070206642845058) (-0.99451291545906439,0.10461386612258898) (-0.65225964636841693,-0.75799561589718156) (-0.24914912681341397,0.96846513236569998) (0.87051645275332024,0.49213931511897918) (-0.96871573092726548,-0.24817298937244975) (0.28084500838231075,-0.9597531355857809) (-0.17881933193885163,0.98388192712588451) (0.83876083772059695,-0.54450000652547725) (0.63134775320453485,0.77549984817766915) (-0.24699308317882118,-0.96901724280934087) (-0.041634984262732516,0.99913288810119805) (-0.23624321794954689,-0.97169395489158183) (0.16115199438932926,-0.98692959966977534) (0.15739653181775529,-0.98753548380387002) (-0.39343381671694766,0.91935294194533246) (0.39836904784565963,0.91722521864509621) (0.012799602137873088,-0.99991808173725505) (0.93402305126290397,0.35721273732823949)
 (1,1.3877787807814457e-17) (-0.31006929788800086,0.95071395830041416) (0.059227662139093779,-0.9982445011306289) (-0.79686137666656531,0.60416218549083833) (0.89872441572937556,0.43851388184628148) (-0.89915426678141119,0.43763181389014966) (0.67642137885339781,0.7365148458992995) (0.52587909331689509,0.85055933315213328) (-0.68234691538723879,0.73102851316588335) (0.15135106793905462,0.98848007275498895) (-0.065494041072256579,-0.99785296040249583) (0.6607532038554621,-0.75060322647504196) (-0.99122181897223394,-0.13220932491082432) (0.44090305289137821,0.89755473256568719) (0.02019145570960991,-0.99979613177703808) (-0.51462897071235958,0.85741298246734177) (0.39334708008244967,-0.91939005573837518) (-0.99711276379885883,-0.075935079307278011) (-0.97363408208771951,-0.22811548434335749) (0.67934393443731333,-0.73382001794938367) (0.15394949678332426,-0.98807871773465594) (-0.97946284170379083,0.20162475473397282) (-0.98280932448307357,0.18462348634214124) (-0.71129791083330562,0.70289066151441859) (-0.30127634340132731,-0.95353687128853559) (0.19746728559160459,0.98030947721680373) (-0.93680662164791639,-0.34984761487913119) (-0.64582355790255841,-0.76348669409366987) (0.99855098697649491,-0.053813812430138989) (0.10846068759748997,-0.99410073898266504) (0.26270985001440489,0.96487488033703517) (0.7525946146749406,0.65848412734270267) (-0.62811146153561981,0.77812337831965328) (-0.54971120086935588,-0.8353547723205812) (-0.00028382491729724013,-0.99999995972170763) (-0.8894726233017145,-0.4569884598069936) (-0.72653304795613949,0.68713152323813798) (0.78935506634049324,0.61393695054345321) (0.93479935023793703,0.35517625877123393) (0.93417887558291701,0.35680502857252527) (0.94878491281283672,-0.31592275831085725) (0.45550690016456685,0.89023225278714069) (-0.71442874511379351,0.69970820214939045) (0.84082605610490424,-0.5413054067484222) (-0.38875136801571114,-0.92134270164033572) (-0.50603008562797946,-0.86251582735584487) (0.83936490003802711,0.54356836238338468) (0.7017698695582133,-0.71240371291863003) (0.16115199438932915,-0.986929599669775) (0.63528506306077015,-0.77227772766788605) (0.63710609958367193,0.77077611397427404) (-0.85469386444336259,-0.51913235121967949) (0.18801200065363582,0.98216673106464869)
 (1,-5.5511151231257827e-17) (0.64506680832961094,0.76412617596274446) (-0.4139513089234198,-0.91029902440933474) (0.92814427934486299,0.37222062908899073) (-0.38309193928994967,0.92371021757424876) (-0.10031210381660405,-0.99495602004706052) (0.85055571530061613,-0.52588494480205195) (-0.3107075023777624,0.95050557492640342) (0.008911762110757615,-0.99996028945957782) (-0.9855503796711913,-0.16938255261380789) (-0.56007964803456745,-0.82843876530343175) (-0.98602193210884959,-0.16661557370285179) (0.99949424715451385,0.031800155739110325) (-0.56647794194807755,0.8240769025317175) (-0.55040816338273801,0.8348957142551654) (-0.99919247954570511,0.040179457678111985) (0.03826833476735636,0.99926749899820855) (-0.30405419364578862,0.95265473668397327) (-0.44383571222892521,-0.89610817458063763) (-0.34693396795271769,-0.93788955740032864) (0.92985618823861405,-0.36792318382286981) (0.26036436559097087,0.96551043346533083) (-0.72169995351146021,0.69220602215059879) (0.64116788243089295,-0.76740064277995368) (0.66603656395909305,-0.74591909445298854) (-0.70864854497600716,0.70556164840741509) (-0.69342690075852853,-0.72052698305089202) (0.90012885734724868,0.43562373692297374) (0.81656300377586832,-0.5772563216323654) (0.54837013382458843,0.83623573011992436) (-0.32242487025327471,-0.94659505758384221) (0.23927422816759164,-0.97095202957448079) (0.11143120145391067,-0.99377215061730328) (0.46947475853541476,0.88294589364134501) (0.9962652668178863,0.086345342273247139) (-0.051944247976833002,-0.99864998628254364) (-0.36748032888009219,0.9300312940359472) (-0.39154483138205576,-0.92015903246014907) (-0.24162203639566293,-0.97037044036182962) (0.69457019294390254,-0.71942494193200668) (-0.34011803085601672,0.94038275456679188) (0.50088877089540618,0.86551166323215556) (0.76645085520336842,0.64230295543304528) (0.21507171239531003,0.97659825851132331) (-0.26330331789361444,0.96471309869111499) (-0.99209056410632612,0.12552415150556073) (-0.52853966677790443,0.84890860558855274) (0.83936490003802722,0.54356836238338468) (-0.23624321794954695,-0.9716939548915815) (-0.31854584570946165,-0.94790745549407041) (-0.98911279761719018,-0.14715934761303834) (-0.73063758370001319,0.6827654950896449) (0.78227998304447488,-0.62292698458803175)
 (1,0) (-0.97638175950904582,0.21605244663742426) (0.5736625168018491,-0.81909176336755163) (-0.36970240414696731,0.92915022056067376) (-0.32952510560456638,0.94414681314735038) (-0.31651834799074907,0.94858638794007821) (-0.96048188594421968,-0.27834249904215758) (-0.83515583131488347,0.55001339749204647) (0.20734258510798118,0.97826839486959716) (0.088396625577706223,0.99608535607470516) (-0.20943513192701219,0.97782254295690674) (0.12149547602327179,-0.99259198531213055) (0.99922868323156933,-0.03926879941252813) (0.55305085037147694,0.83314750008830019) (0.52628699382137434,-0.85030700346078569) (-0.84459647741234567,0.53540339029806083) (-0.13528560819064561,-0.99080664320364942) (0.93946198197961328,0.34265315468405694) (0.25360351681647408,-0.96730825296712675) (0.5320121913702357,0.8467366935673919) (0.83854203021133222,0.54483691465341955) (-0.30638893662647065,-0.95190641321135183) (-0.94222547660099698,0.33497932957724702) (0.8250488230738352,0.56506144758289489) (-0.43847079001190692,-0.8987454402144881) (0.67061624966510136,-0.74180445245705551) (0.76260774352528271,0.64686121348808334) (-0.98208524707121447,0.18843717118729364) (-0.52267640128727355,-0.85253116044950583) (-0.79085124935549056,0.61200841611276702) (-0.86075902647329938,0.50901267012200613) (-0.78845759681665939,-0.61508911388683896) (0.11754732441806015,-0.99306728197144467) (0.84037836852441905,-0.54200018239501901) (0.6155760927023618,-0.78807745437443544) (-0.49523932434832485,0.86875658939602529) (0.32694142319295161,-0.94504460519097566) (0.9373216795366669,-0.34846530540436615) (-0.73389899109863588,-0.67925861854260117) (0.60041800729864625,-0.79968632382423621) (-0.94360659959382176,0.33106885266207464) (0.58686963807022485,-0.80968143606687937) (-0.90405197637316559,0.42742253569012334) (-0.16747476251897475,0.98587636340426088) (0.89346844208499965,-0.44912597675730104) (-0.85378139028250766,0.52063167172893499) (-0.99209056410632623,0.12552415150556076) (-0.50603008562797958,-0.86251582735584498) (-0.041634984262732377,0.99913288810119816) (0.97104975961815976,-0.23887729977021929) (-0.37234624401904437,-0.92809389318371638) (0.84177483582792034,0.5398287930139285) (0.99645035966374751,0.084182425279797496)
 (1,-1.3877787807814457e-17) (-0.56155656380213836,0.82743835157112078) (0.94356871407853316,0.33117681351836886) (-0.61287079965634317,0.79018313252599204) (-0.9115854491105887,0.41111065295105548) (0.47242910438341768,0.88136867503416449) (0.99864023716291805,-0.05213134104537008) (0.87598698822484622,-0.48233473486859857) (0.28895959955915634,0.95734129223731401) (-0.8738389303657077,-0.48621551165847399) (0.69348670879722873,-0.72046941969911837) (-0.16968953845187304,0.98549757003251259) (0.74573656644650199,0.66624092749138397) (0.9877118415991899,0.15628601333687353) (-0.98384080740217206,-0.17904542912412522) (0.2186443936797122,-0.97580460601107588) (-0.98823607669030389,-0.15293611976166094) (-0.87544266009301186,0.48332199297080208) (-0.89624638372955134,0.44355655744414368) (0.56584506178794081,0.82451159242923999) (-0.92595429707404797,0.37763559118561024) (-0.11493440493546971,-0.9933730832683807) (0.41182371895603143,-0.91126353186398468) (0.96464459709091466,0.26355417147771454) (0.26154973545855176,-0.96518999988684018) (-0.93366053658414472,-0.35815918587327089) (-0.99440403762006324,0.10564378810376283) (0.49979683240298178,-0.8661426708804647) (0.93004774072047669,-0.36743870234466686) (0.97571925082215105,0.21902498390607883) (-0.97970451724067731,-0.20044714739353975) (0.29552904850730938,0.95533375397730091) (-0.97631886416081803,0.21633648671393341) (0.24486128829113174,-0.96955812074181624) (-0.98424158883327895,0.17682899878396541) (0.94341540061033424,0.33161330174051029) (-0.14586009463298499,0.98930522731543991) (-0.40307013176376394,0.91516909305326755) (0.036359598826994646,-0.99933877117478831) (-0.63865147201193906,-0.76949613208708445) (-0.34552739221137141,0.93840866429909187) (0.68655783047046237,-0.72707519928800357) (0.99891496645674738,-0.046571340851593146) (-0.98772643227248558,0.15619377385244038) (0.66931131885996664,-0.74298207141621253) (0.89346844208499965,-0.44912597675730104) (-0.2633033178936145,0.96471309869111521) (-0.38875136801571125,-0.92134270164033594) (-0.24699308317882132,-0.96901724280934087) (-0.75323770126025313,0.65774840585148309) (0.49295699941320192,-0.87005367462561134) (0.6561901391631656,0.75459558789130343) (-0.79650967486373192,-0.60462578331433203)
