# Created by Octave 5.2.0, Sat Sep 18 04:00:19 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
3.7338084404123649e-13


# name: H
# type: complex matrix
# rows: 55
# columns: 55
 (1,0) (0.99999999999999989,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,5.5511151231257827e-17) (1,0) (1,0) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (0.99999999999999989,1.3877787807814457e-16) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,0) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,0) (0.99999999999999978,2.7755575615628907e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (0.99999999999999989,2.775557561562891e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,8.3266726846886741e-17) (1,-2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (1,8.3266726846886741e-17) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (1,8.3266726846886741e-17) (1,1.3877787807814457e-17) (1,2.7755575615628914e-17) (1,3.4694469519536142e-17) (1,2.7755575615628914e-17) (0.99999999999999989,2.775557561562891e-17) (1,8.3266726846886741e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17) (1,2.7755575615628914e-17)
 (1,0) (0.060293178360652899,0.99818071141610998) (0.83449416805198706,0.5510167724191557) (0.86380913654916114,-0.50381918940647119) (0.37836623941091457,-0.92565597760401364) (0.91588554686791068,0.40143949112969651) (-0.20200573061130916,-0.97938433967477345) (-0.81522783076058236,-0.57914038363197895) (-0.99995648576048335,0.009328804079056785) (0.98140907626981688,0.19192765568105546) (0.991526543504193,0.12990424753112648) (-0.85226001124577977,-0.52311841224654354) (0.7076277668774511,0.70658541135805597) (-0.40090139697907651,0.91612120917497863) (-0.99891437127005678,0.046584105338074278) (-0.53093441351292636,0.84741291502294536) (-0.77037227841405431,-0.63759434803889115) (0.98037218854029151,0.19715570480389688) (-0.011276335089285161,-0.99993642011227646) (0.52824299463800695,-0.84909324494773342) (0.23446512278616055,-0.97212453224721751) (0.29881729152344799,0.95431034065789699) (0.97725723666213127,-0.21205728799429741) (0.77940348653302138,-0.62652231020145766) (-0.85289484323078046,0.52208273902739144) (0.59170006976346223,0.80615819008549106) (0.30810314018055401,-0.95135296026810301) (0.2965510096944905,-0.95501701484799673) (0.60116824923939638,0.79912247878935272) (-0.23689440659852193,0.9715354034322865) (-0.10795613682292088,-0.99415565809498485) (-0.8950977064829766,0.44587004367743194) (0.90043055969290386,-0.43499977835755865) (-0.30954782065260178,-0.9508838765744354) (-0.56400034622554429,-0.82577455122900589) (-0.72282421845769584,-0.69103194514510247) (-0.7172811398147213,-0.69678387356919647) (0.29652332438681023,0.95502561122442964) (-0.68445800238032461,0.72905229097612545) (-0.44720994133755498,0.89442901807178732) (0.66508047311352714,0.74677169488611983) (0.33414015795121954,0.94252339750498226) (0.92433069325910733,0.38159241279032052) (-0.055737848217389085,0.99844543780624151) (-0.28992533794483505,-0.95704926645265953) (0.49511312354181181,0.86882851869438071) (-0.83920270272519393,0.54381874162144428) (0.13713832586271024,0.99055190655491265) (-0.7964069176820292,-0.60476112761007617) (-0.83639821859060137,-0.54812226732588565) (-0.55943956402669925,-0.82887114451018151) (-0.95020801012909473,0.31161633058379246) (-0.31727811197708661,-0.94833253643448068) (-0.86784220605818629,-0.49683991927386606) (0.5502032297371735,0.83503078146065057)
 (1,0) (0.86668512095789152,0.49885559143924996) (0.44836588107868691,0.89385011981010198) (0.5957308941691154,-0.80318410201675861) (-0.90363095219690659,-0.4283119216548974) (-0.18598086229256502,-0.9825533669276767) (-0.70221665082918161,-0.71196332440530086) (0.54292841711440776,0.83977897919014599) (0.92872255390808756,-0.3707754278029215) (-0.6935495694872349,0.72040890795719048) (0.78704611699323701,-0.61689416412044928) (-0.95312033467109358,0.30259151943909895) (-0.94040458118133929,-0.34005767700957812) (-0.20745529394192525,0.97824449960910542) (-0.58289671561128931,-0.81254625648609791) (-0.4574156785582123,-0.88925299943780389) (0.25986811554666056,-0.96564411794523275) (-0.99516641667373806,0.098202867192114671) (-0.71805903182408093,-0.69598220294477731) (-0.90349748798043716,0.42859338447185585) (-0.98104951919695116,0.19375716988909428) (0.49325078970067981,-0.86988715271560113) (0.99785728618519454,0.06542810105084082) (-0.30330127663852879,-0.95289471380076352) (0.60021243082247366,0.7998406328051717) (-0.82542054835071921,0.56451830648828183) (0.25963098413797803,-0.96570790204675483) (-0.93090593303353286,0.36525900925640098) (0.23646354227238089,-0.9716403620558367) (-0.17589354642540334,0.98440919353990941) (0.65456620140328392,-0.75600468780324148) (0.99992442208433718,0.012294312477901026) (0.32364231998505921,0.94617950131816353) (-0.9834568874241435,0.18114234893590297) (0.32530291520339172,0.94560986318892337) (0.73420513852257285,0.67892769465315694) (0.85480004605244875,0.51895749466476715) (-0.49543454336939929,-0.86864527468717267) (-0.86007538731066668,0.51016696104550674) (-0.97382237513513092,-0.22731032023683678) (-0.31328437697081224,0.94965935953162184) (0.4668158279879171,0.88435455714320588) (0.80600006795439894,0.59191544198263935) (0.51491073918221431,0.85724379885469337) (0.3374677346634527,-0.94133709587008108) (-0.22749675280889664,-0.97377883909099594) (-0.87257930412464102,0.4884724741613985) (-0.99156900385736946,0.12957974606126799) (-0.45848942744116628,-0.88869986211581598) (0.97100549996582963,0.23905714596328165) (0.84243175072491472,0.53880306733588323) (0.94668998967734708,-0.32214602813740417) (0.99836773103060439,-0.057112814996308159) (0.7111221460689835,0.70306848412529699) (-0.86784220605818618,-0.49683991927386595)
 (1,-5.5511151231257827e-17) (-0.5482609889994785,-0.83630729277061433) (-0.83321125672593577,-0.55295479170108175) (-0.99832473116873521,-0.057859581202024502) (0.87456788526068796,0.48490309760883976) (0.94416077039765589,0.32948511292940846) (0.61340688248229536,-0.78976705206241116) (-0.62940398638169492,-0.77707825984699386) (0.89265561764797063,0.45073933518334153) (-0.76052727643908602,0.64930598471918222) (0.36787557765238621,-0.92987502352032436) (0.80552335527153307,-0.59256402532729968) (0.99908836463538875,-0.042690041580972532) (-0.23724134513726153,0.97145074201292525) (0.3500099132237533,0.93674599579880846) (-0.83506800433908512,0.55014673327134966) (-0.29902334198038732,-0.95424579692597056) (0.058578649266657984,0.99828279653117058) (-0.58881473296574471,-0.80826803118920876) (0.72177479125151722,-0.69212798723489766) (-0.66404862986840341,-0.74768938548697927) (0.85126807168254726,0.52473104552130123) (0.21609234199923083,0.97637293066189002) (-0.4252466318621913,0.90507751164740713) (-0.98135714148119035,-0.19219303021667572) (-0.22416882293306034,-0.9745503264710379) (-0.72194194159007774,-0.69195363498803086) (0.99904243974965823,0.043751612302295184) (0.99948902136793516,0.031963982307706473) (-0.99911556282887704,0.042048687412767127) (-0.89987774453570157,0.43614223011460362) (-0.26527682061787533,-0.96417229188712539) (-0.5754050088258762,0.81786861769974661) (-0.39544174062840987,0.91849106134397074) (-0.96391143885928565,-0.26622309823946921) (0.088254995389178581,0.9960979147598179) (0.5426131358629469,0.83998272886350411) (-0.27190583838874011,-0.96232386183140917) (-0.95982213277008055,0.28060911147839407) (0.55776371695523652,0.82999978075194702) (0.85118580105136987,0.52486448926226559) (0.85668028638358795,-0.51584773617971225) (-0.5762411556150121,-0.81727971379171982) (0.1684395093766668,-0.98571199225785444) (-0.21411949133005559,0.97680747511091404) (-0.76888992552642965,0.63938117146500573) (-0.96980763898102273,-0.24387116142351672) (0.91991506572894699,0.39211767601691527) (-0.99999990629823821,0.00043290127532319422) (-0.40422447919925986,-0.91465981130477492) (0.76578971393844264,0.64309106200139354) (0.96434701390472699,-0.26464095823027473) (0.92106517674335764,0.38940844904897509) (0.99836773103060472,-0.05711281499630802) (-0.31727811197708661,-0.94833253643448079)
 (0.99999999999999989,5.5511151231257827e-17) (-0.96573695167257911,-0.25952290876559392) (0.94728075634689013,0.32040469511988234) (0.37161670924360146,-0.92838624581095397) (-0.71875906118149813,-0.69525924083718005) (-0.94649570805746719,0.32271639968987442) (0.89816842874054381,0.43965153657611944) (0.030098077093874853,-0.9995469502505876) (-0.93331574856051813,0.35905669954607555) (-0.83248467317076558,0.55404807457093908) (-0.25083352006347343,-0.96803023982340952) (-0.31523968107855127,-0.94901208815983729) (-0.45580893927109961,0.89007764317533355) (-0.76955299614065908,-0.63858295164444745) (0.86990725185754214,0.4932153415757255) (0.50119490689450841,-0.86533442396740801) (-0.41840588636409914,0.9082601578049494) (0.9764087279204412,0.21593053522090744) (-0.25027970497384966,0.9681735739412658) (0.2472065387513514,-0.96896281001830908) (0.97907992550667766,-0.20347604151309945) (0.64941572770005085,0.76043356883807678) (-0.6143622315071855,0.78902411148044915) (-0.84080069013157188,0.54134480645358862) (0.97744314219239115,0.21119873053848068) (0.99317359690954643,-0.11664564458973414) (0.3985784970072318,-0.91713422230525055) (-0.18165342677286128,-0.98336261498069821) (-0.96151321657957889,0.27475868383509144) (-0.82871118777094543,-0.55967648446514995) (-0.98513642780000188,-0.17177374252618707) (0.55685559870782708,0.83060931982957431) (0.92273810106281928,-0.38542755071087453) (-0.58204369782830057,0.81315750861586433) (-0.12981706019356537,0.99153796240118808) (-0.97685888879104676,0.21388480869365939) (0.53575738607861989,0.84437196972791884) (-0.52416744489164335,-0.85161522398074019) (-0.71829251170225727,0.69574123611617589) (0.87658693115985131,0.48124354761363236) (-0.83953820828791659,-0.54330065049171095) (-0.86041083224781478,-0.50960102016246389) (-0.17152703290097032,0.98517941360149708) (0.23332659697722385,0.97239842613150573) (0.19666511295959699,-0.98047072028928506) (0.02068174289621999,-0.99978610988089645) (0.81097469863903271,0.58508122356415793) (0.90828019116885617,0.4183623959323608) (0.98094289072034635,-0.19429628186151848) (-0.78490486856945485,0.61961629037329757) (-0.63420695534601812,-0.77316333189742892) (0.64764702186766976,-0.76194050625094101) (0.96434701390472677,-0.26464095823027456) (0.9466899896773473,-0.32214602813740406) (-0.95020801012909473,0.31161633058379229)
 (1,-5.5511151231257827e-17) (0.25375834951657283,-0.96726764654392572) (0.39658373083692444,0.91799855361294946) (-0.99339067313171336,-0.1147822744805253) (0.46631648385337193,0.88461796097899081) (0.071971943727970888,0.99740665694390618) (-0.21345479290608552,-0.97695294225741547) (0.18003125779391921,0.98366088984829503) (0.33128699569213332,-0.94353003475526975) (0.98982672610188205,0.14227808086431104) (0.99020859068015743,-0.13959565517313682) (0.57602558003107673,-0.81743166757219721) (-0.70388023942089428,0.71031866690435952) (0.35986326254945367,0.93300505479191465) (-0.57110245421147854,-0.82087878934324199) (0.98412572125570508,-0.17747271554506536) (0.99929500076605093,-0.037543327556012973) (0.81168951774252596,-0.58408914284285929) (-0.49970810828851364,0.86619386196781423) (-0.42991952104297981,-0.902867213617914) (0.69429379274771852,0.71969169048418868) (-0.1902987284222728,-0.98172623167605544) (-0.56761158233286857,-0.82329647855531252) (0.29684575864054846,-0.95492543979994504) (-0.69351966816637134,0.72043769325765239) (-0.10328675382645419,-0.99465162066122115) (-0.49095038400040858,0.87118753460426213) (0.51658451903335467,0.85623620263048805) (-0.87238486232862456,0.48881965179385661) (-0.2741665004483414,0.9616822396363105) (0.71924987448617073,-0.6947514793446854) (-0.99962526119459116,-0.02737402384827381) (-0.66219162886781435,-0.74933453587659504) (0.38341864398795122,0.92357465504551528) (-0.94311723296580741,-0.33246035084340431) (-0.93561381318479886,0.35302520105199497) (-0.64310715995106049,-0.7657761949941263) (0.8527538618187831,-0.5223129819879575) (-0.86830749161191101,-0.49602630979680129) (-0.011085556065116076,0.9999385533355184) (0.091237739719446598,-0.99582913938631412) (-0.52316832703659832,0.852229371463885) (0.32183149309182602,0.94679696347965059) (0.85510665622811199,0.51845212553752595) (-0.97745341496091476,0.21115118181352152) (-0.9999951452728052,0.0031159959599247888) (-0.23518030383333732,-0.97195176047418153) (0.72034662970244501,-0.69361425380129627) (0.17193663685928867,0.98510801078131349) (0.76389362727840238,0.64534217761079715) (-0.81053773596067202,-0.58568641659487775) (-0.63420695534601834,-0.77316333189742892) (0.76578971393844253,0.64309106200139343) (0.84243175072491483,0.53880306733588346) (-0.55943956402669937,-0.82887114451018162)
 (1,5.5511151231257827e-17) (-0.86109357811532439,-0.50844650626053745) (0.13651322548308936,0.99063824843794657) (-0.94205315473969897,0.33546363982551242) (-0.45646700524888728,-0.88974034027861859) (-0.86698555010449818,-0.49833327794760013) (-0.31292375888236879,0.9497782483963978) (-0.54343432913429834,-0.83945168408810444) (0.91974643536109124,0.39251305028058059) (0.43162514748276992,0.90205306499145421) (-0.76222561946444922,0.64731144361276138) (0.84371258564921348,-0.53679518702864615) (-0.40906804607886332,0.91250388145871575) (0.97670696639021248,0.21457749603541493) (0.98402450962416621,0.17803304316592283) (-0.5189003914307927,0.85483471137581335) (0.89420995543471582,-0.44764780307898638) (-0.68500690658294039,0.72853657281818796) (0.99914626427774444,-0.041312741131856956) (-0.99473048688720245,-0.10252442858729088) (0.37646182766038283,-0.92643213044162309) (-0.45927757171890782,-0.88829280764620833) (0.98227453084941074,0.18744798223659637) (0.77316764245217695,-0.63420170030120759) (-0.94080248294879543,-0.33895528920107088) (0.66456127409564558,-0.74723377397730872) (0.71974625400257519,-0.69423722879809624) (-0.98677289372703625,0.16210877892813541) (-0.55977139831555378,-0.82864707905588464) (0.94855966360183319,0.31659842796131643) (-0.6912846811671659,0.72258251403117268) (-0.59439317875463982,-0.80417457622704935) (0.170216050497427,-0.98540676684963824) (-0.43023015581184071,-0.90271923266878495) (0.38850416881455524,0.92144696581719332) (-0.99223004469191012,-0.12441679312171372) (-0.84352389474335521,0.5370916486010564) (0.39483623877552609,0.91875151403934874) (-0.69813398361158652,-0.71596713676440316) (-0.0055730688003866602,0.99998447033148796) (-0.12249784030740152,-0.99246877992208082) (-0.33761455224459003,0.94128444909744724) (-0.034996798613413316,-0.99938742441898487) (0.31628699537737404,-0.94866355287591508) (0.66403005931767045,0.74770587821854861) (0.99062906635124359,-0.13657984075281376) (-0.015611990961418354,0.99987812544240673) (-0.21699354035922347,0.97617303970267943) (0.45883270521302466,-0.88852267760980497) (0.53943377584978347,0.84202802891141604) (0.76389362727840215,0.64534217761079715) (-0.78490486856945485,0.61961629037329768) (-0.4042244791992598,-0.91465981130477492) (0.97100549996582997,0.23905714596328176) (-0.83639821859060137,-0.54812226732588587)
 (1,0) (-0.59755418171637831,-0.80182853523260744) (0.85932684045466567,0.51142680930334583) (-0.94741945839770136,-0.31999432783942527) (-0.50913908265373731,-0.86068425947876492) (0.59803721670043464,0.80146833215118196) (-0.25886573248395334,-0.96591331523359014) (-0.34836485838847553,0.93735901630057261) (-0.91838101005211281,-0.395697258488937) (-0.99986600280841775,-0.016369985580822866) (-0.78092089285083344,-0.62462993773037812) (-0.74272626693026689,0.66959517054099971) (-0.93515835451806961,0.35422994223393489) (0.96796139758297228,0.25109904975769731) (0.91693764447689619,-0.39903052031287145) (0.15790876753546715,-0.98745370581887515) (-0.61060003549883657,0.7919391369599168) (-0.66313654292094171,0.74849844718800995) (-0.98670931682837715,-0.16249530480625299) (0.064866528159529646,0.99789394903693474) (-0.23842557519663959,-0.97116077201056261) (-0.87873234489261842,0.4773148500094252) (0.95539044377833693,0.29534572950532489) (-0.48131913786750824,0.87654542809969627) (-0.24312663161579851,-0.96999455720078953) (0.762699865901591,0.64675259145495079) (0.89605804526688115,0.44393690938296082) (0.86562533394169772,0.50069230195632453) (0.98332233128693602,0.18187136331051293) (-0.59377059624066431,0.80463437599943821) (0.35801695916512649,0.93371508339008635) (0.27539267533019041,0.9613318232402791) (0.99540797949892479,-0.095723321870208267) (0.74930384744573464,-0.66222635420452669) (-0.053265919741019241,-0.99858036321276744) (0.21452893283000923,0.97671763421104385) (-0.95063316729892922,-0.31031690452053351) (0.99248875328359099,0.1223359088967011) (0.97317464919901009,-0.23006760344816884) (-0.62998539474988924,0.77660698065483935) (0.26543038344579173,-0.964130028338408) (-0.50309793506807621,0.86422940688814698) (0.15515306604696219,-0.98789044235493306) (-0.84759767862649715,0.53063940221865746) (0.85123959910520286,-0.52477723360985673) (-0.25077631162551867,-0.96804506172362692) (0.27509625432047558,-0.96141668950504733) (0.7635026289421345,-0.64580471939933015) (-0.28411369609853054,0.95879059637088149) (0.45883270521302449,-0.88852267760980497) (0.17193663685928856,0.98510801078131327) (0.98094289072034624,-0.19429628186151837) (-0.99999990629823809,0.00043290127532319422) (-0.45848942744116633,-0.88869986211581598) (-0.79640691768202909,-0.60476112761007617)
 (1,0) (-0.65167879693009423,-0.75849505313597443) (0.64904699508516994,0.76074831460274128) (-0.80171578982154268,0.59770543945226007) (0.064244012524526162,-0.99793421970325602) (0.6965386804603515,0.71751924477504558) (-0.076799413585113496,0.99704656364333455) (-0.28943811257550323,-0.95719672951213552) (0.2983550186508801,0.95445496637915428) (0.9987744817743508,-0.049492772769126808) (0.87622575911447587,-0.48190083945170664) (-0.83881276325926701,-0.54442001083111569) (0.82619946216066464,-0.56337771408303772) (0.5638629568554292,0.82586837079903463) (0.90379043209866661,-0.42797529700545256) (-0.47962065324190473,-0.87747594211112634) (0.19913787311881284,-0.97997148299821157) (0.20435815765487711,-0.97889618622196295) (-0.99793610078224371,-0.064214786112947939) (0.070225258273742291,-0.99753115896215772) (-0.88805021627531033,0.45974646640662026) (-0.36825646895150327,0.92972424571771317) (0.20851303236919852,-0.97801958841947612) (-0.51761799942534525,0.85561183177355782) (0.6416119490683555,0.76702940413826826) (-0.042563597104188111,0.99909375946482182) (-0.35886495799379536,0.93338949100796642) (-0.11136926742055947,0.99377909329699976) (-0.69615660002889213,-0.71788995551979395) (-0.22545365969877462,-0.97425389264217388) (-0.99257988275270326,0.12159431053560654) (0.99567479025063588,0.092907007590122867) (-0.98156836118494695,-0.19111136104558687) (0.87238162016535969,0.48882543796089589) (0.92040630807380686,-0.39096320550397501) (0.060122421759064196,-0.99819101098027618) (0.094629700281869469,0.99551254126935207) (0.59316922664973026,0.80507780279657459) (0.22509179357957937,-0.97433756186607479) (-0.40590560615026011,-0.9139150063850523) (0.76771222569963127,-0.64079477097688475) (-0.75081025120877209,0.66051795333648589) (0.26599140911705577,-0.96397539920680686) (-0.90563703641231486,0.42405372098157412) (-0.99770064094102318,-0.067774855705281606) (-0.98890695524975358,0.1485363048505734) (-0.99569091699568446,-0.092734016478814574) (-0.87354981398523823,0.48673475578219616) (0.76350262894213461,-0.64580471939933015) (-0.21699354035922336,0.97617303970267932) (0.72034662970244501,-0.69361425380129604) (0.90828019116885628,0.41836239593236069) (0.91991506572894688,0.39211767601691516) (-0.99156900385736957,0.12957974606126793) (0.13713832586271021,0.99055190655491254)
 (0.99999999999999989,0) (0.99701831232088911,0.077165308894654283) (-0.99993549432736539,-0.011358132957885958) (0.45646912815284024,-0.88973925115361041) (0.99339094699743113,-0.11477990426702311) (-0.81680336144147736,-0.57691617132639261) (-0.74223254999632904,-0.67014240406494763) (-0.67330922407618155,-0.73936100030629914) (0.98635309443819641,-0.1646437763542693) (0.99961557330661677,0.027725540623860123) (0.21660081148879101,-0.97626025652097403) (-0.1841971208598871,0.98288932269453866) (-0.99734645921108456,0.072801375667727763) (0.99882914417028923,-0.048377068493747233) (-0.87367780149051888,0.48650498371824968) (0.96765740199498185,0.25226801692708373) (0.94645601451299344,0.32283279355136879) (-0.85949994170609445,-0.51113584320337158) (-0.32603209444987302,0.94535870091126262) (0.72596430188795791,0.6877323842777302) (-0.43002754538308008,0.90281576759148607) (-0.79994612242225271,0.6000718300517055) (0.95503301409222496,0.29649948059637821) (-0.94621816359185829,0.32352926743782046) (-0.99125512371592694,-0.13195938658133999) (0.92918147916467619,0.36962383415757483) (0.47357628669647051,-0.88075280338968176) (0.7213174476596167,-0.69260460560251591) (0.38553684399739696,0.92269244167302411) (-0.38322918837243797,-0.92365328407330582) (0.19671246528657499,0.98046122105919098) (-0.43178436626573347,-0.90197686281217848) (-0.2176684265864347,-0.97602277435897311) (0.99988526131348654,0.015148076051475556) (-0.99879520352384632,-0.049072817503771404) (-0.47838064782248235,0.8781525811548605) (0.56642541417236092,0.82411300813642685) (0.25538880874649145,0.96683843343500209) (-0.2536406800123352,0.96729850896343372) (0.7367509897014165,-0.67616416584582784) (-0.84576602054522254,-0.5335539696142273) (0.62266375713028832,-0.78248951785720089) (0.19123291370535689,0.98154468707021181) (0.44625025185748801,-0.89490821468859627) (0.82843217055972074,-0.56008940249009387) (-0.9515475578350564,0.30750161817158311) (-0.55344683505729031,-0.83288450625826316) (-0.99569091699568424,-0.092734016478814407) (0.27509625432047558,-0.96141668950504722) (-0.015611990961418243,0.9998781254424064) (-0.23518030383333727,-0.9719517604741813) (0.8109746986390326,0.58508122356415782) (-0.96980763898102251,-0.2438711614235165) (-0.87257930412464102,0.48847247416139855) (-0.83920270272519359,0.54381874162144439)
