# Created by Octave 5.2.0, Sat Sep 18 09:35:04 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
7.3890289799892506e-13


# name: H
# type: complex matrix
# rows: 56
# columns: 56
 (1,0) (1.0000000000000002,-2.775557561562892e-17) (1.0000000000000002,-2.775557561562892e-17) (1.0000000000000002,-5.5511151231257839e-17) (1,0) (1.0000000000000002,0) (1,5.5511151231257839e-17) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1,0) (1.0000000000000002,-2.775557561562892e-17) (1.0000000000000002,0) (1.0000000000000002,-5.5511151231257839e-17) (1,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,6.9388939039072299e-18) (1.0000000000000002,0) (1,0) (1.0000000000000002,0) (1,-6.9388939039072299e-18) (1.0000000000000002,5.5511151231257839e-17) (1,-2.775557561562892e-17) (1.0000000000000002,0) (1,0) (1,0) (1,-5.5511151231257839e-17) (1,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,-2.775557561562892e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,-2.775557561562892e-17) (1,0) (1.0000000000000002,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,0) (1.0000000000000002,5.5511151231257839e-17) (1.0000000000000002,0) (1.0000000000000002,-5.5511151231257839e-17) (1.0000000000000002,2.775557561562892e-17) (1,0)
 (1,0) (-0.60338716087961508,0.79744838960627218) (-0.99713570387799866,0.075633246999774251) (-0.23461924926927702,0.97208734580402867) (0.95589709751682994,0.29370178576048711) (-0.55823644176625276,0.8296819119904657) (0.91044145350179195,-0.41363795733170183) (0.33481589471525319,0.94228356488162612) (-0.92273929193198723,-0.38542469968186177) (-0.23903800594233543,-0.97101021195202297) (-0.53900066912530353,-0.84230533577941724) (0.80270393644230231,-0.59637772461757144) (0.59292415256258568,-0.8052583121632082) (-0.65045292512496322,0.75954657013008775) (-0.6274336206911777,-0.77867005312029225) (0.90410731381466525,-0.42730547048549594) (0.61749997445415283,0.78657090052271905) (0.84672848279090296,-0.53202525920356003) (0.40543892459883801,-0.91412213539555842) (-0.33427929178186488,-0.9424740606965355) (0.94636370722095797,-0.32310328635748042) (-0.99262110474495369,0.12125733963314578) (0.41156766602726713,0.91137920553459462) (0.8787315168655353,-0.47731637439668512) (0.68229011537366047,0.73108152655049097) (-0.69581764761600828,0.71821849131453408) (0.95125707808260307,0.30839904571471494) (0.079866922326995604,-0.99680553505586855) (0.62843852420132484,0.77785925545670576) (-0.6782526406368341,0.73482879330437179) (-0.25698283371973107,-0.96641596798344509) (0.94876430296796499,-0.3159846474335592) (-0.99409501295235014,-0.10851315691318697) (-0.94846970574355693,-0.316867823053607) (0.1411790500724277,-0.98998407856926907) (0.79407290922062757,0.60782251919609742) (-0.99994606998245683,0.010385428572831312) (-0.031555133652002076,0.99950201277446449) (-0.75837358740018579,0.65182014538810473) (-0.86322552355948967,-0.50481847774764077) (0.98485055186766779,0.17340527813752599) (0.96163829940500312,0.27432058092212847) (-0.98222367604868954,-0.18771427811809349) (-0.35723644982329689,-0.93401398218530285) (0.11178694925934285,0.9937321963060719) (0.64954467372075708,-0.76032342910171824) (-0.71432226261141674,-0.69981690829652554) (-0.22646749437833019,0.97401872363420172) (0.15746586063476253,-0.98752443146210545) (0.91219517257847338,0.40975598485504811) (-0.034994540438881561,0.99938750349375083) (-0.66082904127291164,-0.75053646028045939) (-0.78117443375898954,-0.62431282546598688) (-0.97487946322388552,-0.22273309629309618) (-0.25311887985586495,0.96743518266626638) (0.30033733158791692,0.9538330499907467)
 (1.0000000000000002,5.5511151231257827e-17) (0.5794129398553669,0.81503413740048958) (-0.63939700784596076,-0.76887675628648822) (-0.89329737019917843,-0.44946613709514577) (0.66748495404032515,0.74462328470830397) (0.3666393224654424,0.93036315878375253) (0.89117905848287338,0.45365172293465267) (0.89480154893539932,-0.44646409488648642) (-0.93614160754615217,-0.35162322252789985) (0.89634561138891566,0.44335600248990537) (0.48431404757049962,0.87489422407847761) (-0.6191120389846696,0.78530266979314778) (-0.95511436955935691,-0.2962373053165831) (0.99702804298750958,0.077039480115697445) (0.32874453931984771,-0.94441888368847282) (-0.68607429429906563,0.72753148571181336) (0.69525307146783755,-0.71876502879212101) (0.60462234502257961,-0.79651228483896996) (-0.98698484844464773,-0.1608132735214759) (-0.37246599964279808,0.9280458389056494) (-0.93419478869482397,0.35676336243430873) (0.14500399112756451,0.98943107013933829) (-0.97117523621691537,0.23836665152453607) (0.81577674812838685,-0.57836692264779055) (0.58700453486528448,-0.80958364363887081) (-0.3180893011324622,0.94806075570348392) (0.18166831972632508,0.98335986373647177) (-0.76580253886639182,-0.64307578983024183) (-0.29030525005886987,-0.95693409479872682) (-0.3624396715706612,0.93200723413058784) (0.71072586746220912,-0.70346907630690447) (-0.96205858166782687,0.27284296846224543) (-0.09214833875396411,0.99574529055621586) (0.67147602121541028,-0.74102628356403255) (0.71852028112116106,0.69550600688819808) (-0.45358353562142639,-0.89121376572243571) (-0.81223663784876687,0.5833280759025179) (-0.94726012783280267,-0.32046567712968077) (-0.93110145209823869,0.36476031294611666) (0.1239165876257709,-0.99229263794063371) (-0.84603536475169083,0.53312677815832454) (0.68690060614415427,-0.72675137239553644) (-0.69740050607876136,0.71668161279684406) (0.99174581983178389,0.12821945580207533) (-0.1714312279401301,-0.98519608915532098) (0.78333351652568617,-0.62160164244273253) (-0.21469207319980171,0.97668178733156075) (-0.25916684356835151,-0.96583256685349816) (0.63778551564624764,-0.77021401962821279) (-0.63301332252759823,-0.77414090029049154) (0.72329479159759613,0.69053938660136582) (-0.3726609165026975,-0.9279675863473712) (0.96706147781790786,0.25454291999708412) (0.9334505512803275,-0.35870610297910255) (-0.70698798034253951,-0.70722556207420639) (-0.2531188798558649,0.96743518266626649)
 (0.99999999999999978,5.5511151231257827e-17) (0.92420831074692233,0.3818887250840472) (-0.58199497075670359,0.81319238438016783) (-0.65394680344273404,-0.75654053312894542) (-0.48674701494859901,0.8735429831660414) (0.38431905521054766,0.92320033784768063) (0.49083952112611695,-0.87125000114816764) (0.99201535514852857,-0.12611714851493794) (0.31745508899250918,0.94827330789849562) (0.99049677548914827,-0.13753595073870178) (-0.93383300746647713,0.35770925926807301) (0.16951122136742042,-0.98552825724609538) (0.86562336700994358,-0.50069570248442119) (-0.72962114675688916,-0.68385157907630856) (-0.65467793837328425,0.75590792892210423) (-0.93503477415155112,0.35455601973081458) (0.16463090788309898,0.98635524237953209) (-0.99884238545513138,0.048102900310709296) (-0.72487148376076482,0.68888412090166817) (0.90677368460710328,-0.42161769994161291) (0.97941677919276704,-0.20184839022311807) (-0.67595527526907728,-0.73694264758928574) (0.73495022131746235,0.67812106012526407) (0.83831471961401138,0.54518660188827306) (-0.052697994591358155,-0.99861049532139823) (0.90905430081136174,-0.41667766699976372) (0.9281741202131879,0.37214621127518133) (-0.35099493460696113,-0.93637735762899332) (-0.97206103268771482,0.2347282444234039) (0.19370132138628188,-0.98106054761834516) (-0.14441072847638042,-0.98951783283623507) (-0.9773731273128593,-0.21152250472864373) (-0.41097418271938668,-0.91164698273955336) (-0.98741747087528964,-0.15813518966455664) (-0.58261980225191068,0.81274483451077162) (0.91939385248118866,-0.39333820564470601) (0.7404406554145746,-0.67212174180667206) (-0.66211223938787045,0.74940468536884808) (-0.59692570198991868,-0.80229652018679576) (-0.099939349088846496,-0.99499353088534948) (-0.99909192886353804,-0.042606545033992638) (0.51440334782584618,0.85754836350235264) (0.77115214477196181,0.6366509008975032) (0.14998564041514417,-0.98868817514384) (0.97149216990316778,-0.23707164279354892) (-0.27520260439391958,0.96138625252018417) (0.1509678938002828,0.98853866643723509) (-0.18780134926580505,0.98220703174735124) (0.35221645778503319,0.93591856850121513) (-0.65402488597553476,-0.75647303225210094) (-0.78725251673851238,-0.61663074435911724) (-0.97685012107627789,0.21392484884477131) (0.99933489938258524,0.036465859046450333) (-0.22416812926934143,0.97455048602926764) (0.93345055128032717,-0.35870610297910244) (-0.97487946322388519,-0.22273309629309612)
 (1,5.5511151231257827e-17) (0.41061160256355478,-0.9118103486143313) (0.9958152953445828,0.091388716796881986) (0.8060259241322677,0.59188023250208555) (0.59664156015916037,0.80250784961322386) (0.64022625327931459,0.76818639965306024) (-0.86519217251078473,-0.50144042978809233) (-0.99859721283102321,0.05294909372322737) (0.99900571647820779,0.044582266024293715) (-0.70452930042334283,0.70967490081374041) (0.80271897113709556,0.59635748790184817) (0.33479213921762263,-0.94229200544103442) (0.83624231938463889,0.5483600854093954) (-0.040827443857615553,-0.99916621231307334) (-0.14928143795274262,-0.98879474729731409) (0.047611027356539493,-0.99886595200459904) (0.94980645261941921,0.31283814115691727) (-0.81399186547976998,-0.58087627162138644) (0.14421572814227152,-0.98954627166009368) (-0.97004258338861804,-0.24293494275779837) (-0.54964881674305366,0.8353958213044631) (0.85282839315154302,-0.52219127897213613) (-0.17877920721803475,0.98388921889941039) (-0.99973579301681958,-0.02298573820939076) (-0.38840124140282428,-0.92149035571553561) (-0.88128674776125004,-0.47258191694181312) (-0.94245580130154083,0.33433076824167457) (-0.23445239266604723,0.97212760251582475) (-0.30315490521656674,0.95294129065915434) (-0.28003062663085126,0.95999106670256595) (0.95836318939429277,-0.28555209194470887) (0.63733032453221372,0.77059071979336768) (-0.99527566268655843,-0.09708941890766859) (-0.31998550801279474,-0.94742243728011555) (0.075764314323493231,-0.99712575369162304) (0.86774488219783985,-0.49700987859342882) (0.80253604532163147,-0.59660363388058324) (-0.80169604641586245,-0.59773192081498883) (0.20940390738610126,0.9778292302705176) (-0.32887227798098195,-0.94437440921257432) (0.14987048811268666,0.98870563707954262) (0.99540651068771269,0.095738594519198972) (0.54475279325760917,0.83859668150907452) (-0.1000552340731522,0.99498188432481816) (-0.98273619380569499,0.18501236008519317) (-0.24063291765500006,0.97061619548657807) (-0.73747531608167105,0.67537408757683326) (0.98910996204211421,-0.14717840530813853) (-0.99251479722098801,-0.1221244336624781) (-0.16165632533356464,-0.986847117075208) (-0.61964320658898764,0.78488361973487297) (-0.27835807302270932,-0.96047737255131727) (-0.97273663638456598,-0.23191256161587942) (0.99933489938258546,0.036465859046450444) (0.96706147781790786,0.25454291999708401) (-0.78117443375898943,-0.62431282546598699)
 (1,-2.7755575615628914e-17) (-0.026506633540815283,-0.99964863746134869) (-0.32104470454206424,-0.94706404096317387) (-0.33905129779721099,-0.94076788713370985) (-0.96709707596507566,-0.254407636795354) (0.75094624505063645,-0.66036333714429285) (-0.97486227494907651,0.22280831421001276) (0.47097750929694099,0.88214521805451473) (-0.94553653724986675,0.32551598536097565) (0.76499239532485541,0.64403931176220675) (-0.89527772580420517,0.44550846645024289) (-0.78115869430444507,0.6243325190253769) (0.95479753445985904,0.29725690604150878) (0.57641194051507083,-0.81715927139796285) (0.17652315454276715,-0.98429648780754475) (0.95378901009490247,0.30047716089943122) (-0.27502284933628207,0.96143769030704762) (-0.60815462084072502,0.79381859209146266) (0.35509171452744837,-0.93483146838023812) (0.64454246785763369,-0.76456851042139362) (0.72630307976765507,-0.68737459679567392) (0.2122376663472394,0.97721807851854336) (-0.99703334116494746,0.076970881542687442) (-0.83717869120641308,-0.5469294643643885) (0.98581361489585484,0.16784372697829289) (-0.95426946878202412,0.29894778967316704) (0.99136944400833071,0.13109777071563652) (-0.80471457648034628,-0.59366189906381539) (0.43825448841533698,-0.89885093501859858) (0.9289861818664672,0.37011440650312344) (-0.79588741757151205,0.60544464532387032) (-0.28160656063851158,0.95952996045217176) (0.9510305768302183,0.30909681644102516) (-0.96776823610403873,0.25184249281658921) (0.6537146765692351,-0.75674111929904853) (-0.054873392097148393,0.99849332037813254) (0.35789224872638498,-0.93376289190648887) (-0.95857414670114949,-0.28484312397557188) (-0.73606032308096969,0.67691594809542943) (0.34857020146433715,0.93728267595806425) (0.74134647905097351,0.6711224910541469) (-0.5199613703888486,-0.85418977593000289) (0.92508705332468832,-0.37975511026323266) (0.044841910946514629,0.99899409558948971) (0.77375449703602128,-0.63348557861764421) (-0.15275023385282846,-0.98826482587305597) (-0.33716832322707163,0.94144438062598346) (0.92735236757059603,0.37418923870310289) (0.61614793153544822,0.78763045044271041) (0.99160915002392158,-0.12927216865526511) (-0.69554461836458692,0.71848290436450901) (-0.74658227418457956,0.66529309922272262) (-0.27835807302270943,-0.96047737255131704) (-0.97685012107627789,0.21392484884477136) (-0.37266091650269756,-0.92796758634737109) (-0.66082904127291164,-0.75053646028045906)
 (0.99999999999999989,-5.5511151231257827e-17) (-0.19977833255098476,-0.97984111867340551) (-0.81404834998291375,-0.5807971107797425) (-0.5906929126922329,0.80689645116035003) (0.78126176025623206,0.6242035420929084) (-0.00062032560503605394,0.99999980759805374) (0.41307310760146027,0.91069786854723178) (0.98788480472611173,0.15518895769755314) (0.80967845982441244,0.5868737442554115) (-0.98892144315208419,-0.14843981701012027) (0.65814851656590823,0.75288812591386756) (-0.36980600186890855,-0.929108993058259) (-0.77610464716715555,-0.63060413624202094) (0.1604292255197497,-0.9870473461790642) (0.61153628835876728,-0.79121638508083469) (0.89699807084742045,0.44203445668409996) (-0.93534777167458694,-0.35372948141678096) (-0.90494509368836473,-0.42552835088787827) (-0.97538869302316655,-0.22049239787928798) (0.67730596065641735,-0.73570145824191968) (0.45952083025885532,0.88816699249533704) (-0.15685136167295932,-0.98762222045746728) (0.083786753962302063,-0.9964837077747235) (0.1467456939679429,-0.98917425224369215) (0.85266856754723885,0.52245221208924109) (0.089207421447680846,-0.99601307017461183) (0.66824154417500137,-0.74394437872640018) (0.59514430237565707,0.8036188520373293) (0.7788410146421999,0.62722139146485589) (-0.93931632269085086,-0.34305224955760838) (0.66660149228990773,0.74541428110606334) (-0.24730309468739364,-0.9689381710708056) (0.43917325985617256,0.89840238636554326) (0.97756888383725005,-0.21061594752817847) (-0.82022535319304934,-0.5720405317626841) (-0.49420916691225864,0.86934302742927172) (0.72038562231266345,0.69357375611047822) (-0.89987936729477092,0.43613888191396688) (-0.29626867777828814,0.95510463854360206) (-0.48602000878354151,0.87394768210805684) (-0.85762439852642514,-0.5142765705845358) (-0.98646242464388734,-0.16398745307402482) (-0.93449746122773114,-0.35596979500924486) (0.99945831202554514,-0.032910219127893769) (0.5354536369185311,-0.84456462317025738) (0.73653806733808569,0.67639609354421815) (-0.22513629930513596,-0.97432727906755656) (0.96201225700366766,-0.27300625885628993) (0.30241682512251999,0.95317577806132725) (-0.88687169818640521,-0.4620157908080243) (-0.80962138259619842,-0.58695248261083477) (-0.69554461836458681,0.71848290436450879) (-0.61964320658898742,0.78488361973487275) (-0.78725251673851249,-0.61663074435911736) (0.72329479159759602,0.6905393866013656) (-0.034994540438881505,0.99938750349375038)
 (0.99999999999999978,-3.4694469519536142e-18) (0.81807521165542785,0.5751112484336629) (0.95177098268273008,-0.30680938141320457) (-0.68109976346401602,-0.73219062559504455) (0.62550887161679047,0.78021705411294962) (0.33294745615725646,0.94294538094123614) (0.89568476571632416,-0.44468955515470826) (0.71891315551293611,0.69509990276969058) (-0.49382675682370653,0.8695603108726726) (-0.93909273191946796,-0.34366384863123073) (0.89814607909829958,-0.43969719194048912) (0.17751108735523755,-0.98411880068717428) (-0.21909167553461939,0.97570427779703395) (-0.21362686653208024,-0.97691532995223607) (0.52450120319805427,0.85140970621892287) (-0.98357606699318623,-0.18049410084049042) (0.97069346902107445,-0.24032101281376614) (0.23229536861556213,0.97264529080223272) (0.68075542318136439,0.73251078750361065) (0.98823849519039086,-0.15292049118359768) (-0.9286327133614356,-0.37100038231109211) (-0.80565631012892247,0.59238324583790292) (-0.57832737853107818,-0.81580478255607902) (-0.90100538408811504,0.43380790431276012) (-0.59608374375759343,-0.80292226923154353) (0.28261192632274484,0.95923432960885513) (-0.93310839441889959,-0.35959522280611855) (-0.70099588283236547,0.71316531901942282) (0.97615748061204055,0.21706352306446086) (0.18142515768245288,0.9834047550016709) (0.99847334242073082,0.055235717386253991) (0.46590765365832021,-0.88483335055964019) (0.98452209969492921,-0.17526047818115459) (-0.98604552365260334,0.16647590001157822) (-0.994434305649609,0.10535849157603129) (-0.94158471824293444,0.33677621408195013) (-0.89087087498500961,-0.45425662802368183) (0.72276815715487974,0.69109058089583342) (-0.93068730426517465,-0.36581572093011711) (-0.70031793124014585,-0.71383106907973881) (0.79800756879388457,0.6026474260690694) (-0.7054411213329469,0.70876852662383261) (0.31320344995579857,-0.94968605282787322) (0.99933913973797428,-0.036349467503175331) (0.98385462269549429,-0.17896949852057109) (-0.94481469932161377,0.32760522576083806) (-0.99614820210708854,0.087685571440330415) (-0.033628858032821542,-0.99943438999636547) (-0.98825813944806284,0.15279348747460597) (0.99680508835350556,0.079872497347726015) (-0.8868716981864051,-0.46201579080802435) (0.99160915002392136,-0.12927216865526492) (-0.16165632533356461,-0.98684711707520789) (-0.65402488597553465,-0.75647303225210105) (-0.63301332252759812,-0.77414090029049121) (0.91219517257847305,0.40975598485504811)
 (1,5.5511151231257827e-17) (-0.22364760509602505,0.97467007173443598) (-0.99341220919618956,-0.11459573560977276) (0.47696519492592859,0.87892218246513321) (-0.7664867554771162,-0.64226011372197389) (-0.87483005748071463,0.48442994388073291) (0.92764637480294598,0.37345977469461256) (0.94061045519409947,0.33948780770382403) (-0.73709123907972707,-0.6757932415109742) (0.98920373695065655,-0.14654680754917476) (0.59769356766568249,0.80172464049140213) (0.054340595681467652,-0.99852245826570274) (-0.92454533700952335,-0.38107206643093905) (-0.8742645926203102,-0.48544971118586711) (-0.25231390256736752,0.9676454384593689) (0.98801611933913736,0.15435073024132551) (-0.78720164283160343,-0.61669568956108811) (0.33812384171133764,-0.94110162451584722) (0.97153622504696013,-0.2368910370222968) (0.058941753410246656,-0.99826142352838876) (0.61790872495186855,-0.78624983791944603) (0.98663806291716338,-0.16292738506176929) (-0.99591466967165654,-0.090299339603315154) (-0.99941062329529751,-0.034327919315109034) (-0.99870000739184672,0.050973475803828938) (0.95788753786495673,-0.28714363096368783) (0.3849862352776906,0.92292231452420226) (-0.025596799062690689,0.99967234826104145) (-0.94767059999854464,0.31924979858787678) (-0.51585108189941264,0.85667827175854294) (0.64900468709984038,-0.76078440843805295) (0.77225268946431624,-0.63531549927191988) (-0.17036575092193823,0.9853808963607944) (-0.96217181552438347,0.27244338386261302) (0.43297345771688339,0.90140667010660869) (-0.99212586519619483,-0.12524483066657449) (0.71367671845446556,-0.70047522549770769) (0.080823178971373422,-0.99672845536834331) (-0.9326265464165393,0.36084307519911751) (0.8863039194534853,0.46310405133337834) (-0.85406103080141382,-0.52017281327115517) (0.87637592037912015,0.48162770495440843) (0.52242575661311141,-0.85268477694117362) (-0.89205253096453441,0.45193172271900539) (0.54010772843235844,0.84159588977586874) (0.10466788210845751,-0.99450723197718749) (0.99981593903310628,0.01918562105717192) (-0.27783098316233878,-0.96062997287980145) (-0.9560143118562503,0.29332002237491173) (-0.98825813944806273,0.15279348747460592) (0.30241682512251988,0.95317577806132725) (0.61614793153544811,0.78763045044271041) (-0.9925147972209879,-0.12212443366247822) (0.35221645778503308,0.93591856850121524) (0.63778551564624764,-0.77021401962821257) (0.15746586063476276,-0.98752443146210533)
 (1,0) (-0.88251264615017933,-0.47028866601801816) (0.99996576867482956,-0.008274145185766163) (0.981327418904542,0.19234473454229978) (-0.93687062581948588,0.34967617945265461) (0.42523209327363676,0.90508434239584623) (-0.88675714812478845,-0.46223561118718459) (-0.99318686970200354,0.11653257849861005) (0.5512956302810248,-0.8343099711935873) (-0.94190411010947039,-0.33588189495547943) (0.64141838244231764,-0.76719127905958373) (-0.13267788917999118,0.9911592090692295) (0.50633444051219667,-0.86233719295366029) (0.58897030980926002,0.80815467217803294) (-0.94620442246111791,0.32356945300046397) (-0.9412229729860927,0.33778590130912883) (-0.78461958461187509,0.61997750559474896) (-0.054549292336314475,-0.99851107890979729) (0.56815127172558144,-0.82292413528623776) (0.73972889371121198,-0.67290501841551464) (0.90973338514334279,-0.41519292859540835) (-0.92627186916051218,-0.3768559730213783) (-0.73444049046568738,0.67867309211764026) (-0.53566887840732968,-0.84442812169292014) (0.64124252825301764,-0.76733826957846674) (0.84702228222938247,0.531557384867266) (0.13544039558368814,0.99078549608082722) (0.4558836688199589,0.89003937019845125) (-0.72571188891561778,-0.68799873131171241) (0.96579085318479385,0.25932224722261399) (-0.12366060654311917,0.99232457109021932) (0.97442304438662608,0.22472145106397323) (-0.67267179833735058,-0.7399409785392288) (0.94424509162392856,0.32924338557383048) (-0.95755389513984535,0.28825429381451756) (-0.99887670214273039,-0.047384954536875495) (0.042921795523057027,0.99907843509359906) (-0.61955021337046712,0.78495702628399222) (-0.70583538899511344,0.70837589148849189) (-0.0018759813420254345,0.99999824034545237) (-0.47736766391404445,0.87870365507903048) (0.6184843410566021,-0.78579712386072142) (0.50831037242655108,-0.86117394600834185) (0.02625891111982849,-0.99965517534137782) (0.73909216403320055,-0.67360431490951711) (0.021701951772147662,0.99976448491095993) (-0.75056666066714717,-0.66079473960902968) (-0.99599645381714719,-0.089392751292634354) (-0.27783098316233906,-0.96062997287980156) (-0.033628858032821674,-0.99943438999636558) (0.96201225700366766,-0.27300625885629004) (0.92735236757059591,0.374189238703103) (0.98910996204211399,-0.14717840530813853) (-0.18780134926580516,0.98220703174735136) (-0.25916684356835151,-0.96583256685349805) (-0.22646749437833011,0.97401872363420183)
