# Created by Octave 5.2.0, Sat Sep 18 09:36:49 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
7.7138422585977186e-13


# name: H
# type: complex matrix
# rows: 57
# columns: 57
 (1,0) (1,0) (1,1.3877787807814457e-17) (1,-1.1102230246251565e-16) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,0) (1,0) (0.99999999999999989,-5.5511151231257827e-17) (1.0000000000000002,0) (1,-5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,5.5511151231257827e-17) (1,-1.3877787807814457e-17) (0.99999999999999989,0) (1,0) (0.99999999999999989,-1.3877787807814457e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,-5.5511151231257827e-17) (1.0000000000000002,0) (0.99999999999999989,0) (1,0) (1,0) (1,-5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999989,-5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (1,5.5511151231257827e-17) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,5.5511151231257827e-17) (1,5.5511151231257827e-17) (0.99999999999999989,0) (1,0)
 (1,0) (-0.239938945529828,0.97078798015737311) (-0.0647675270098097,0.99790037951943444) (0.20547314780370757,0.97866275372655043) (0.96000169568910887,0.27999418614327221) (0.15354728747225715,-0.98814130088257679) (-0.56181086278638959,0.82726570970590185) (-0.5549323258078136,-0.83189549450248279) (-0.95616115141297997,0.29284100213016884) (-0.90529370616793692,-0.42478618806726637) (0.95313205313443139,-0.30255460546443763) (-0.1171838690368926,-0.99311023599474768) (0.91288414928285533,0.40821872812024951) (0.95321892306547995,-0.30228080440194038) (-0.20605598861488222,0.97854020334166159) (0.66020927050993683,0.75108169937280223) (0.84859444699050124,0.52904391550880081) (-0.98584066667405235,-0.16768476356443163) (0.61530590479449776,-0.78828842660857434) (-0.96753651433511267,-0.25273126721531591) (-0.012888905896909109,-0.99991693460245801) (0.091656722743328423,-0.9957906633303778) (-0.99886953944874768,-0.047535704070127915) (0.20563803407040343,0.9786281208629044) (-0.86440577757252068,0.50279484056545642) (0.034725998622836318,-0.9993968706273022) (0.18937836533942315,0.98190418816774905) (-0.97026052480710712,0.24206303724656786) (-0.3572706922470385,-0.93400088461484976) (0.50623613930758982,-0.86239490447181166) (-0.48352412752441898,-0.8753310334392046) (0.76218923358495216,0.64735428646698723) (0.87798425473010089,-0.47868951152707334) (0.37443330435456462,-0.92725384905651265) (0.8799390757203619,-0.47508654266395989) (-0.37867649459679648,-0.92552909864567834) (-0.95985171265261915,0.28050791382388746) (-0.73153702268567466,-0.68180171929981159) (-0.97365800477105036,-0.22801335431341122) (0.79664876557274988,-0.60444250703554192) (0.44282606746443098,0.89660753620186906) (0.99948775209595542,-0.032003646826131715) (0.67845224172874619,0.73464450974143847) (-0.7811703919201507,-0.62431788280275646) (0.49019879935661237,0.87161065683556938) (-0.53265412183622196,0.84633302339615846) (0.23587077592870942,-0.97178442931690645) (0.39710045023081175,0.91777515352426398) (-0.88245524645383788,-0.47039636266248164) (-0.11918401328566769,0.99287218259810306) (0.51181519061191283,0.85909557713847384) (0.67646058353599403,0.73647883806810066) (-0.99595295211881518,0.089876121221476257) (-0.95324125827952089,0.30221036301502519) (-0.96509519451139436,0.2618993423646086) (0.99974865653367717,0.022419272046693584) (0.10706024770825173,-0.99425253500337818)
 (1,-5.5511151231257827e-17) (-0.99089633316556136,-0.13462710321122762) (0.19852234241030792,-0.98009636238684417) (-0.24682264569843371,-0.9690606697056825) (-0.99953719776350214,0.030420228254996351) (0.94582198249809291,0.3246856594051819) (-0.59997068076434745,0.80002198858729223) (0.098812781157699703,0.99510604172614769) (-0.54639358050650499,0.83752853992045118) (-0.034256410491509903,0.99941307693077353) (0.024085794725884957,-0.99970989516580389) (0.8617479602477548,-0.50733662691435522) (0.98089576891051966,0.1945340343832927) (-0.0061515955074677442,0.99998107875734865) (-0.97869142019582389,0.20533656283058599) (-0.58170271086576164,-0.81340147293413734) (-0.96353320928967978,0.26758877890511656) (0.57996716202048915,-0.8146398535413677) (-0.74916956911082522,-0.66237825803561912) (-0.68876635664592312,-0.72498338322523037) (-0.99085456385156079,-0.1349341813423578) (-0.028365741903600528,-0.99959761138483094) (-0.99948569451626024,-0.032067841482552595) (0.96461216212984424,-0.26367285918574795) (0.66656097896447619,-0.7454505089688519) (-0.82569577665555793,0.56411566581081041) (0.2600382967931853,0.96559830374794031) (0.85653091684254268,-0.51609571640624152) (-0.75371381117883685,0.65720277756433221) (0.058171969345391372,-0.99830657715076776) (-0.081038430475362022,-0.99671097755873495) (0.99575572376650712,0.092035528934421573) (-0.097525509043981773,0.99523302552001081) (0.97531753037339786,-0.22080696308390058) (0.97621444670105095,-0.21680718173566171) (0.54810945342695883,-0.83640661586575393) (-0.71094523097610807,0.70324738076464066) (-0.35099517407165132,0.93637726786718356) (-0.76625593339187281,0.6425354811539592) (-0.50233310297159173,-0.86467418931001372) (-0.34826203333031236,0.93739722430815653) (-0.82645022831589077,0.56300978687462677) (-0.63334467361226554,0.77386983686339283) (0.98408243061182377,-0.17771260439576919) (0.99850572842366236,0.054647143613649418) (-0.057817880834497071,-0.99832714710950743) (-0.63852657541081181,0.76959977422952841) (0.27395854728758401,0.96174150080366061) (0.99966509786888547,-0.025878409974178063) (0.87664983844050859,0.4811289440079759) (-0.50129451954833637,-0.86527672144280043) (-0.98324972158754365,-0.182263504295334) (0.58961883702129714,-0.80768163717497921) (0.48317192034063594,0.87552549671288515) (0.6282222212916021,0.77803395856186619) (-0.34274223645239693,-0.93942948609866939) (0.99974865653367739,0.022419272046693361)
 (1.0000000000000002,0) (-0.21811427861674521,0.97592323543580972) (0.1764993981362995,-0.98430074797163869) (0.99956436742555266,-0.029513986060127007) (0.011966536051447318,-0.99992839844407422) (-0.10113784637978301,0.99487242198669001) (-0.78632097901475306,0.6178181916723412) (0.99946338366462617,0.032755834803285755) (-0.40647459662727081,-0.91366208321058151) (0.8384085007047124,-0.54504237078054696) (0.29124670061425495,0.95664798091111458) (-0.99330419849084928,0.11552821845962541) (0.99103402270158913,-0.13360975206888201) (0.99107236141202093,-0.13332507058014861) (-0.98176298115149985,-0.190109044604717) (-0.81360514160047825,-0.58141781324729558) (-0.085662983580537089,-0.99632417076174673) (0.99221883234175068,-0.12450617955096696) (-0.30672963236179812,-0.95179668660444428) (0.57591789417022854,0.81750754074475251) (-0.70021589524660788,0.7139311591771238) (-0.20328462361177307,0.97911968716956355) (0.0032370675081695999,0.99999476068324922) (-0.1961826975142083,-0.98056736086617424) (-0.68508351966403813,0.72846452973685305) (-0.73718763262575915,-0.67568808950848869) (-0.725879365594433,-0.68782203120009522) (-0.50551140406234607,-0.86281992348514758) (-0.80165081351753065,-0.59779258375015332) (0.20719599559809376,0.97829945283032715) (-0.89206925421275063,0.45189871175774532) (0.5651042022245677,-0.82501953954323826) (0.90920876174041509,-0.41634051877575334) (0.89647598573195708,0.44309232334347382) (0.73838405892343761,-0.67438044272335751) (-0.58860299965917029,-0.80842223422678661) (-0.26996613651209139,0.96286981733603894) (0.99864032252221402,-0.052129705856943848) (0.53647057070624293,-0.84391902856027468) (-0.20014574816257019,0.97976613510186517) (0.53400636459141726,-0.84548045664926996) (-0.29674868333881083,0.95495561097711956) (-0.97912235963514438,-0.20327175126542119) (0.97295687457137425,-0.23098683993748836) (0.6544088359463085,0.7561409097750238) (-0.55966933358936677,0.82871601712506826) (-0.98756859872868319,-0.15718862174173454) (-0.96592419161452681,-0.2588251457139103) (0.18867435312201258,-0.98203970819615605) (-0.071105492405830195,0.99746880099065138) (0.057743334372269695,0.99833146165768627) (0.2766774649285742,-0.96096284028088097) (0.99748982102810135,0.070810005968987344) (-0.29662351426980504,0.95499449777589485) (-0.71153813572868319,-0.70264748018032264) (0.62822222129160199,0.77803395856186619) (-0.96509519451139447,0.26189934236460871)
 (1,0) (0.48581265688565067,-0.87406296249738347) (0.85268943042077017,0.52241816129294505) (-0.97240446114692725,-0.2333014443623434) (-0.86818688355642015,-0.49623737789548905) (0.90850092742330346,0.41788283629624906) (0.57116332020966643,0.82083644025291036) (-0.8356179962186483,-0.54931099060143707) (0.99999984617599613,0.00055466024231809463) (0.28127569373869493,-0.95962700259622502) (-0.814562539251797,0.58007574475034329) (-0.98906889109442342,0.14745415785676441) (0.842060181540495,0.53938358397710584) (-0.98453349973317816,0.17519642662776758) (0.33236421876949629,-0.94315111518872685) (0.26174946600412241,0.96513585419180969) (0.12751475380654986,0.99183667383377849) (0.34073853051916647,-0.94015810043824) (-0.71939683391083031,0.69459930561372896) (0.20722420251375714,-0.97829347840642311) (-0.93532277180725854,0.35379558015722273) (-0.42441997933353515,-0.90546544999934842) (-0.4944959049291191,0.86917995835634132) (0.99850776975746625,0.054609831843460799) (-0.4433232022242502,-0.89636183451195528) (-0.49371389146291145,-0.86962439787332713) (-0.72865661038590979,0.68487921865166634) (-0.7116287778498771,-0.70255567931366625) (0.80783366798861445,-0.58941052320437992) (0.99100237208653807,-0.13384430700950678) (-0.9011442895366315,0.43351928381044141) (0.87748417485400965,0.47960559096071748) (-0.35824530160008083,0.93362749738933215) (-0.21760361201855832,0.97603722676774707) (-0.97390012757992106,-0.22697696248697549) (0.76012240407128728,0.64977990953005582) (-0.60412166478939011,-0.79689209691908314) (-0.96043788734269464,0.27849428101256046) (0.90352413401205967,0.42853720872026502) (-0.18116720357318078,0.98345230913830795) (0.99996998279546667,0.0077481293248031213) (-0.71478224039088267,0.69934708751934282) (0.98395487926603797,-0.17841747551335152) (-0.41400576964864294,-0.91027425685758945) (-0.46215161568170382,-0.88680092699702939) (0.99358585328542792,0.11308029072773612) (-0.45618673816113975,-0.88988407105976364) (-0.014477092026845273,0.99989520141185118) (-0.52631510099135459,-0.85028960623334682) (-0.83958919116534225,-0.54322186082513846) (0.97983923624377123,-0.19978756497145073) (0.8598952692046431,-0.51047049473938355) (0.43975604538736512,-0.89811726436210204) (0.99958391265978797,0.028844437102287623) (-0.29662351426980504,0.95499449777589507) (0.48317192034063589,0.87552549671288504) (-0.95324125827952111,0.30221036301502524)
 (1,0) (0.52210189024109854,-0.85288311989783938) (-0.63783210567490456,-0.77017543778694664) (0.60498566382071395,-0.79623636350735094) (0.6776234791876794,0.73540901575489681) (0.83073526866560077,-0.5566676866812843) (0.97225788070615959,-0.23391155038767666) (-0.63003859332865408,0.77656382282234393) (-0.83018699263426898,-0.55748502873249317) (0.73421206637579406,0.67892020266610653) (-0.28092910703225998,0.9597285224593759) (-0.41620243718128624,-0.90927197871943688) (0.83672629215525895,0.54762132173255551) (-0.84210003837716485,-0.53932135630361999) (-0.33202357898214979,0.94327108669771165) (-0.99716798172028787,0.07520649062339041) (0.56435329913362919,-0.82553337531379423) (-0.34066905419029236,0.94018327762042875) (0.25060915764453873,0.9680883482950795) (-0.97898966670388132,0.20390986363348454) (0.87620876041254259,0.48193174638771707) (0.037161528650547115,-0.99930927184148421) (-0.08365910164340784,-0.99649443285560668) (0.81553125548385452,0.5787130302048934) (0.98638854460889858,-0.1644312593892614) (0.9930978776274979,-0.11728855635466368) (-0.92111016573812377,0.38930201974031076) (-0.7700231468791513,0.63801595063942407) (0.65987243608899449,-0.75137764678620522) (-0.20601063938570724,0.97854975165286961) (0.32585211970975009,0.94542075081979349) (0.84580490585358947,0.53349232537497715) (-0.95292532628678228,-0.30320508327076617) (-0.49132677371885208,-0.87097531619846869) (0.031301671100167905,-0.99950998263465896) (0.14708168021823698,-0.98912434978832797) (0.74518625997637433,0.66685638479542386) (0.39729755308357961,-0.91768984646981933) (-0.9677083360519213,-0.2520725616476765) (-0.99492218102704721,-0.10064717432884779) (0.99953687376552502,0.03043087220305557) (-0.96029191505627309,-0.27899720048336524) (0.93671525462816685,0.35009217607208437) (0.69534913508758955,0.71867209514001773) (-0.80675453127982977,0.59088672878942161) (-0.9255448948486108,-0.3786378845541945) (-0.61188989142467154,0.79094295671198966) (-0.83916505028179378,0.54387684119252144) (-0.72513338166979013,0.68860843647760595) (-0.99184692735120628,0.12743497441429549) (-0.33724038008374152,0.94141857111540528) (-0.59484806035792981,-0.80383815851725215) (0.94963765336625272,-0.31335016723952164) (0.43975604538736496,-0.89811726436210182) (0.99748982102810146,0.070810005968987288) (0.58961883702129714,-0.80768163717497909) (-0.99595295211881518,0.089876121221476313)
 (1,0) (0.32621855931368371,-0.94529437296500518) (-0.76217893309232221,-0.64736641398071237) (-0.69049023860356828,0.72334171066874287) (-0.85395200051195352,0.52035178564278028) (-0.87740437574496766,0.47975156218983139) (0.09605329277234774,-0.99537619267671196) (0.67012929048588576,0.74224438969444728) (-0.45680809859582006,0.8895652652038919) (-0.43561353385776647,-0.90013379512156222) (-0.86335417496416789,-0.50459842307714342) (-0.96707907293577544,-0.25447606309765186) (-0.081145376715452799,0.99670227642847564) (-0.9350373900621326,-0.35454912097732094) (-0.76250186119880625,0.64698602123102444) (0.95748223513400377,-0.28849223456236889) (0.84071526976729227,0.5414774558373644) (0.75661983397216614,-0.65385505032837987) (-0.45323963891081098,-0.89138870854414276) (-0.092059715460357849,0.99575348796243601) (-0.12789052591730027,-0.99178829060470097) (-0.63239507062598144,0.77464603184161496) (0.1738336618761539,-0.98477502913037207) (-0.97989235408666819,0.19952687639134337) (0.98378665873944071,0.17934271684762057) (0.040439820327552695,0.99918197588420921) (-0.21636585264223915,-0.97631235668222338) (-0.85023345148894225,0.52640581110887774) (-0.8233367744240514,-0.56755313044771205) (0.22733003064687624,0.97381777410667958) (-0.97861439716838261,0.20570333408761274) (0.44591186248907277,-0.89507687429154603) (-0.98823277096511475,-0.15295747902802873) (0.70458445238316192,-0.70962014448570865) (0.7947995676332984,0.60687201887211728) (0.9645505162343837,-0.26389827894850348) (-0.046691469222879034,-0.99890935860157326) (0.00059380607537196095,0.99999982369715634) (0.66582908577419064,-0.74610430137957351) (0.95407282069653054,-0.29957478666964432) (0.26473850864115134,0.96432023832462177) (-0.99609314287836737,-0.088308837104173241) (0.36432372837038896,0.93127236668243196) (0.43394885987068987,0.90093750450124199) (0.37052155087629463,-0.92882386938333117) (-0.019572289675093585,0.99980844439166161) (0.6567012458265864,-0.75415082956250035) (0.94272464358444052,0.33357195082708824) (-0.99998901445958122,-0.0046873190794156083) (0.52277477669542693,0.85247083988312722) (0.54390297075822447,0.83914811469750383) (0.95264893954014851,-0.30407235650914632) (-0.59484806035792992,-0.80383815851725215) (0.85989526920464288,-0.51047049473938366) (0.27667746492857415,-0.96096284028088119) (-0.98324972158754376,-0.182263504295334) (0.67646058353599436,0.73647883806810066)
 (1.0000000000000002,2.7755575615628914e-17) (0.55265556453066345,0.83340975935808104) (0.90865834721655603,-0.41754042682556486) (-0.32467998969949668,-0.94582392879897803) (-0.21637932103747359,0.9763093717809731) (0.93942743152433317,0.34274786782647337) (-0.66809723534386034,-0.74407397758952054) (-0.2482430368581249,0.96869778292894615) (-0.95863370207065302,0.28464262726147316) (0.085175856551037571,-0.9963659335107744) (-0.99988531049058771,0.01514482965041597) (0.40445898934958247,0.91455613602135721) (-0.98876474319370644,0.14948004086526662) (0.86925830848136676,0.49435816280922462) (-0.25502704928515074,-0.96693391921728788) (-0.77645458047016291,0.63017321782736901) (0.84564254578917419,-0.53374964613683984) (-0.99620257631442488,0.087065647327179446) (-0.76929991750642923,-0.63888781247148385) (0.86379028317817386,0.5038515125381382) (0.73267699092438621,-0.68057654012607927) (-0.64916783235358555,0.76064520338811703) (-0.09550964601933222,-0.99542850447295372) (0.65225209201287659,-0.75800211639864656) (0.015241446522414714,-0.99988384240765837) (-0.5751593680764302,-0.81804138117452274) (-0.48989231943277028,0.87178295197874744) (0.96095479962483143,0.27670539040285957) (0.9844175818211961,-0.17584659394286462) (-0.30171924204167677,0.95339682136128201) (0.0089346255673401487,-0.99996008543639803) (-0.94574236460820671,0.32491749689002042) (-0.76097782507193656,-0.64877788938032177) (0.28643553135967209,0.95809951799105908) (-0.51505792329091638,-0.85715537427892785) (-0.53465294849816125,-0.84507172752507953) (-0.19039190675928847,0.98170816531215577) (0.124015826660016,0.99228024002185677) (-0.56332719134878384,-0.82623391087941189) (-0.68040242342094037,-0.73283868770890304) (0.99979902499408346,-0.020047683678632772) (0.90346795766004817,0.42865563040928134) (-0.99632860220899289,-0.085611426925803563) (-0.50250931843113755,-0.86457179279101726) (0.2165145890953403,0.97627938250731949) (0.99357102325928226,0.11321051956202133) (0.84181345788803175,-0.53976856347752866) (0.867933773050649,-0.49667994281837602) (-0.99999804045791807,-0.0019796667202482132) (-0.64703929466346743,-0.762456655267302) (0.33768182953846093,0.94126031574668778) (0.54390297075822458,0.83914811469750394) (-0.33724038008374169,0.9414185711154055) (0.97983923624377123,-0.19978756497145067) (0.057743334372269639,0.99833146165768627) (-0.50129451954833626,-0.86527672144280077) (0.51181519061191283,0.85909557713847406)
 (1.0000000000000002,0) (0.71119526295082425,0.70299452199594659) (-0.016561240348106632,0.99986285325445223) (0.9949653964402938,-0.10021905949673215) (-0.88213932981974597,-0.47098853784903305) (0.78923233224633638,-0.61409472049269997) (0.086976379593427688,0.99621037406404256) (0.70514942367048428,0.70905873543535658) (-0.88187795550900994,-0.47147775301412653) (0.63452086761943605,-0.77290573070425528) (-0.95073321315357739,-0.31001025371215701) (0.91922165295125025,0.39374046368842169) (0.85698231681131731,0.5153458146455715) (-0.080083650193490841,0.99678814648433978) (0.30397365412940869,0.95268043833974769) (-0.42745582402680021,-0.90403623738518779) (-0.40135302494758357,0.91592344077735177) (-0.14226430078444502,0.98982870675804979) (0.44206722028578915,0.89698192442701685) (0.99639424527207332,-0.084844021525946334) (-0.49543657979319045,-0.86864411320334423) (-0.99287226259053285,0.11918334690030752) (-0.27583320984045256,-0.96120551410669464) (0.23238129569940252,-0.97262476495772487) (0.75113334845770197,0.66015050771375017) (-0.55409164227977181,0.83245567567030587) (-0.2629047139437552,-0.9648218029181107) (-0.69327625603051135,-0.72067193148083353) (-0.89943721205929228,-0.43704999892805235) (-0.62836597056051213,-0.77791786651390504) (0.33265308248296749,-0.94304927056574339) (-0.31500043768711861,-0.94909152575340339) (0.28862423717232705,0.95744245243079429) (-0.056233272077431395,0.99841765765207935) (0.96933887917462203,-0.24572777075554109) (0.38217121968733281,0.92409153163672042) (0.95199012188061727,-0.30612874389989364) (-0.091587345918121121,-0.99579704662530255) (-0.80030222391526273,-0.59959682320396346) (-0.75824665547357373,0.65196779787282289) (-0.62080054639323179,-0.78396854630645962) (0.46641910508156992,-0.88456385773719437) (0.97259651012065174,0.23249952365785431) (0.96282452745159097,-0.27012761676218922) (-0.48075905641179639,-0.87685274115899303) (-0.77124003159567556,0.6365444318068465) (-0.6302938641268695,-0.77635664796794268) (0.90423085693655059,-0.42704397591324794) (-0.48579015295786337,0.87407547001913777) (-0.79076165994267356,-0.61212416809394954) (-0.64703929466346755,-0.76245665526730189) (0.52277477669542682,0.85247083988312711) (-0.99184692735120628,0.12743497441429563) (-0.83958919116534214,-0.54322186082513835) (-0.071105492405830029,0.99746880099065127) (0.87664983844050837,0.4811289440079759) (-0.11918401328566752,0.99287218259810306)
 (0.99999999999999989,-5.5511151231257827e-17) (0.99246526717063188,0.12252629701384493) (0.74853640488591822,0.66309369666772189) (0.30491877908458553,0.95237835872176746) (0.063888925739767066,-0.99795701569146633) (0.86527371643316942,0.50129970641317079) (0.98309531480487733,-0.18309451659920223) (-0.71374876778865493,-0.70040181073450769) (-0.36301139171586227,0.93178470125051649) (0.7244411995312372,-0.6893366002336897) (-0.96624876880995458,-0.2576107854365704) (0.99693752203625285,0.07820215570057798) (0.64859053317285364,-0.7611375173242696) (0.11460626165052279,-0.99341099490114915) (-0.16745163312818512,0.98588029220727413) (0.91252942805703774,0.40901105477712285) (-0.99999326132371447,0.0036711452106894527) (-0.89515999944600266,-0.44574496675995318) (0.63348934776051058,-0.77375141116120827) (-0.94864619070630285,0.3163390662855603) (-0.97648237750544997,0.21559723194257388) (0.519289889446091,0.85459815745124779) (-0.19021554796689943,-0.9817423517968713) (-0.56961722058281206,-0.82191010579960322) (0.91641316537953998,-0.4002335697053066) (-0.80430933248035907,-0.59421081922580277) (-0.27373515040295682,0.96180510886242954) (0.8080327202862605,-0.58913760951647298) (0.94924832710183216,0.31452760370812016) (0.64965714608285641,0.76022732951629679) (0.96451367132450527,0.26403291050193239) (-0.60282794259573458,-0.7978712124307995) (-0.5905253977322189,0.80701905469028667) (-0.028468217698830289,-0.99959469815573254) (0.84817415830990772,-0.52971746919964691) (-0.72751434336286036,0.68609247204827029) (-0.69961631566002613,0.71451872674009764) (-0.31421614923430524,0.94935146893042988) (0.99982228880819668,0.018851811645994587) (0.12520717620015837,0.99213061792688384) (-0.27866464807444208,0.9603884703147707) (-0.68131366212943911,0.73199159407452852) (-0.37081230620946748,-0.92870783003246848) (-0.7099568089122491,0.7042452197062723) (0.61744066403613618,-0.78661745874002365) (-0.059219988325887429,-0.99824495640232636) (0.84116474657196472,-0.54077894663579484) (-0.93552949119689266,-0.35324859674297937) (0.070889745114143365,0.99748415728654671) (-0.48579015295786326,0.87407547001913766) (-0.99999804045791796,-0.0019796667202481855) (-0.99998901445958122,-0.0046873190794156083) (-0.72513338166979013,0.68860843647760595) (-0.52631510099135448,-0.8502896062333466) (0.18867435312201242,-0.98203970819615605) (0.99966509786888536,-0.025878409974178007) (-0.88245524645383788,-0.47039636266248158)
