# Created by Octave 5.2.0, Sat Sep 18 09:35:57 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
1.154981089414934e-12


# name: H
# type: complex matrix
# rows: 58
# columns: 58
 (1,0) (1,-8.3266726846886741e-17) (0.99999999999999989,-4.163336342344337e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (0.99999999999999989,-1.3877787807814457e-16) (1,0) (1,2.7755575615628914e-17) (1,-1.3877787807814457e-16) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (0.99999999999999989,2.7755575615628914e-17) (1,-8.3266726846886741e-17) (0.99999999999999989,-2.775557561562891e-17) (0.99999999999999989,-2.775557561562891e-17) (0.99999999999999989,-2.775557561562891e-17) (1,-2.0816681711721685e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1.0000000000000002,-5.5511151231257827e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (0.99999999999999989,-5.5511151231257827e-17) (0.99999999999999989,-3.4694469519536142e-17) (1,-4.163336342344337e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-1.3877787807814457e-17) (1.0000000000000002,-5.5511151231257827e-17) (1,-2.7755575615628914e-17) (1.0000000000000002,2.7755575615628907e-17) (1,-2.7755575615628914e-17) (0.99999999999999989,-2.775557561562891e-17) (1,-2.7755575615628914e-17) (1,-4.163336342344337e-17) (1,2.7755575615628914e-17) (1.0000000000000002,-2.775557561562892e-17) (1,2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1.0000000000000002,-2.775557561562892e-17) (0.99999999999999989,-2.775557561562891e-17) (1,-2.7755575615628914e-17) (1,2.7755575615628914e-17) (0.99999999999999989,-2.775557561562891e-17) (1,-8.3266726846886741e-17) (1,-8.3266726846886741e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (1,-2.7755575615628914e-17) (0.99999999999999989,-8.3266726846886741e-17)
 (1,0) (0.32181830747798146,-0.9468014453791298) (-0.98088788037851027,0.19457380637319194) (-0.97909960871614776,0.20338130742988358) (0.88940940008552416,-0.45711149519510524) (-0.12342490777123016,-0.99235391476109336) (0.46763501195125773,-0.88392165693422609) (0.85524334834342697,0.5182266059498718) (-0.89046599205189803,-0.45504979617513081) (0.91647237694027905,-0.40009796588514968) (-0.12488204382440843,0.9921715956074546) (0.98541101736067849,-0.17019144180654128) (0.16731166062005698,0.98590405629582634) (-0.96078232358340587,0.27730367233354092) (0.88925581364878159,-0.45741020746354921) (0.85642650744013304,0.51626895834816122) (0.55680155612265148,0.83064554841363836) (-0.6040052009570025,-0.79698037442391922) (0.69857966701439733,0.71553228357220389) (-0.54226596175129393,-0.84020689519066982) (0.86309678883704255,0.50503854615186494) (0.10807397828218956,0.99414285453261597) (0.96248773236738083,-0.27132520163504875) (-0.29587765979832609,-0.95522584263213328) (0.17173534603645157,0.98514312204965315) (-0.43501454266723383,0.90042342687649912) (-0.65613569646831538,-0.75464292736369054) (0.40219284353666762,0.91555497738141733) (0.14253940439612378,-0.98978912814518261) (-0.13941360537664838,0.99023423826682855) (-0.90258914022341075,-0.43050301270811259) (0.019082450716757682,-0.99981791345956894) (-0.40316988157845668,-0.91512515351071777) (0.22398380415736951,0.97459286652180754) (-0.94562963312711945,-0.3252454410931388) (0.93809266970215355,-0.34638438626919255) (-0.20472080721212971,0.97882040798831627) (0.58089264629016413,0.81398018003266448) (0.96479523902540543,0.26300218013148402) (0.21898840424277333,0.97572746133703037) (-0.71947033684387152,-0.69452317052907886) (-0.81320711560925074,0.58197438699867532) (0.85958234441505454,-0.51099725358353743) (-0.98338887265215669,-0.18151122594462832) (-0.60340184300796051,-0.79743728020114379) (0.048599544882926338,0.99881834396309155) (0.91812748987908033,0.39628514018108191) (-0.97861540808120284,-0.20569852470560174) (-0.89477393780380199,-0.4465194287229593) (0.93492726506133073,0.35483941303769873) (-0.90574463978676922,-0.42382384017129232) (-0.31330240538152443,-0.94965341192571495) (-0.80823581663341959,-0.58885895145688882) (0.15435186142169016,0.98801594262221304) (0.14293850115471685,0.98973157213845031) (-0.88058331353183439,-0.47389136722385439) (-0.87989636753161671,-0.47516563680959184) (0.71013196093849873,-0.70406860322957421)
 (1,5.5511151231257827e-17) (0.89514663693907282,-0.44577180078675782) (-0.79130297128220717,0.6114242452176315) (0.92848737849311258,0.37136395621948598) (-0.99484764833698647,-0.10138124381938735) (0.18161198754627744,-0.98337026901340185) (-0.41397158687639163,-0.91028980289743211) (0.97093157040601741,0.23935723425228717) (0.2255607750885627,-0.9742290986936516) (-0.66603553249147218,-0.74592001545661635) (-0.47476404333430022,0.88011311952320614) (-0.67080649334616849,0.74163242140875751) (-0.42773411229049441,0.90390460181540366) (0.32595513925232722,-0.94538523745349246) (-0.99968642961543597,-0.025040815536656991) (0.66109529909325815,0.75030194289818963) (-0.66915352853113264,0.7431241856206362) (0.89696662602633148,-0.44209826033919014) (0.80160762748677994,-0.59785049264428469) (0.84435747050523591,-0.53578023666611618) (0.67236980240058175,-0.74021540704027922) (-0.93285270050621949,0.36025801747949077) (-0.38762671303104562,0.92181643039422234) (0.20451372589024086,-0.97886369629407333) (0.95289763095543856,0.30329211153525326) (-0.4901153713621903,-0.87165757195959692) (0.87005691846073629,0.49295127410182121) (0.93989059154558807,-0.34147573255516017) (0.87263388050240631,0.48837496925959634) (0.48537310468236383,0.87430712524318743) (0.97910851050168113,-0.20333844856095987) (-0.94747432161674661,0.31983184625187921) (-0.92671720524434553,-0.37575952616549024) (0.99018354051913637,0.13977323093135097) (0.77485251708362368,-0.63214205426404979) (-0.72575311471824167,-0.68795524307673506) (-0.5920297209422255,0.80591613057505429) (-0.93324130709385,-0.35925013950416196) (-0.41452284817586504,0.91003890484977035) (-0.73554157879424154,0.6774795833564865) (0.97069113138619689,-0.24033045468309669) (0.59966559591053614,0.80025069389614389) (-0.92999821757294776,0.36756402885910877) (-0.91009248485803029,-0.41440519905635353) (-0.3106468432070445,0.95052540145200737) (0.99641240954759891,0.084630432466980154) (-0.90861644986335444,0.41763159248039972) (-0.17414851707936063,-0.98471939861011126) (0.1193513312378657,0.992852083510806) (0.035920607903360768,-0.99935464672349961) (0.010719409186744022,-0.99994254548283423) (-0.78339224392570561,0.62152762783085747) (-0.88759088715559398,0.46063262697983387) (0.95079306360381777,-0.30982664540491611) (-0.88574046913896876,-0.46418080672242823) (0.90500248690385798,-0.42540627486890192) (-0.19785706113656759,0.98023088267938052) (-0.87989636753161671,-0.47516563680959206)
 (0.99999999999999989,2.7755575615628914e-17) (0.16672075197076769,0.98600415357254201) (0.40573681920852978,-0.9139899526463876) (-0.21136828938180624,0.97740648976964173) (-0.83126351729153103,0.555878552221716) (-0.49456736994624939,-0.86913929642172605) (0.98488517592120917,0.17320851668047452) (0.36830846213419155,0.92970364994462162) (0.97611961090338106,0.21723375706789136) (0.62821542454074697,0.77803944653795531) (-0.45464338130682735,0.89067356300380751) (-0.17064112008609586,-0.98533324724976312) (0.99740615604050686,0.071978885046281638) (0.32797040246231168,0.9446879988169149) (0.59575961220003837,0.80316280072676727) (0.99738172247909573,0.072316662427352935) (-0.23494679662166884,-0.97200823183614038) (-0.91688141119753852,0.39915971465117794) (-0.98790273873468171,0.15507475229873785) (0.99045116218846119,-0.13786404650787856) (-0.86222150035306611,0.50653142481874902) (-0.99103971253170353,-0.13356754165994117) (0.4189875366212481,-0.9079919846320571) (-0.92204294989435231,0.3870875851149489) (-0.89526250956871611,0.44553904313845205) (0.26002468378515708,-0.96560196966577816) (-0.15167694896781683,-0.98843012052031987) (-0.38350121153060379,-0.92354037310480352) (0.64468586739202061,0.76444759950241226) (0.15432428736630363,-0.98802024995891913) (0.5285504744611742,0.84890187651275073) (0.62944212602741034,0.77704736662709117) (-0.94437283663380778,-0.32887679369061285) (0.3295588322478048,0.94413504123481662) (0.99972038478270264,-0.023646400358775965) (-0.037606487734918786,0.99929262585102852) (-0.45261348515686406,0.89170680890871123) (0.88634657682553664,-0.46302240307532661) (0.99043184134978701,0.13800278127802934) (0.95866847161394986,-0.28452550243058611) (-0.8907853151834616,0.45442438562813053) (0.21020369053346896,-0.97765761311724608) (-0.99461930802524956,0.10359745220502423) (-0.77187096890803042,0.63577921274368565) (-0.65608797761492932,-0.7546844145927184) (0.97414356614069719,-0.22592988413817286) (-0.99999563897073807,0.0029533099239924532) (-0.7525885668538923,0.65849103945369347) (-0.20583961339925791,-0.97858574154523881) (-0.24938630776251716,-0.96840408378970511) (-0.021559325589913053,-0.99976757072837286) (0.69447870852949367,-0.71951325449863079) (-0.85965765876140154,0.51087054106972096) (0.90391302027063469,0.42771632162593198) (-0.81550008640634619,-0.57875695163967156) (-0.88641150695466786,-0.46289808850151887) (0.90500248690385776,-0.42540627486890192) (-0.88058331353183439,-0.47389136722385439)
 (1,0) (0.16529319988606983,0.98624447175709262) (0.75590180794778661,0.65468500574037192) (-0.27705710913101755,-0.96085345307178271) (-0.68563435581867027,-0.7279461038573658) (-0.93450453160245162,-0.35595123319702959) (0.86561034049995866,-0.50071822257588228) (-0.97475885299757581,-0.22326033795292138) (0.3880044426956093,0.9216575027896613) (-0.7735650488380762,0.63371690463182773) (0.49951881657200781,-0.86630303698561784) (-0.19156535340977043,-0.98147985989167941) (-0.67244640235695896,0.74014582073885204) (0.76313231017651306,-0.64624227435588089) (-0.96434037775846959,-0.26466513904300809) (-0.55588483934487853,-0.83125931296228173) (-0.84781701082667271,-0.53028889876455709) (0.19024411765219124,-0.98173681590268558) (0.99428959916367277,-0.10671547682947979) (-0.939968991240552,-0.34125986506798772) (-0.99474302292152861,0.10240272627691388) (0.90575052738256867,0.42381125769167749) (0.80536443061635032,-0.59278000463747738) (0.93527932144056369,-0.35391042777189557) (0.8741905693638472,0.4855829985031539) (0.48418063936087624,0.87496806139887073) (0.58465349154568669,-0.81128311631849082) (-0.4889768068658259,0.87229678570272207) (0.73558771617563201,-0.67742948844254047) (0.49370809976886898,-0.86962768597982087) (0.10608886759957548,-0.99435665239965143) (-0.51352103769245216,0.85807700344856808) (0.018720362236621158,0.99982475866410492) (0.37508724725059739,0.92698951285868036) (0.47790627442313438,0.87841083376003926) (-0.64401036346781693,0.7650167656633764) (0.96893448460870646,-0.24731753786592198) (0.79979932704780499,-0.60026747076105802) (-0.75903016588562167,0.65105545637499029) (-0.54470524480964011,-0.8386275670861737) (0.99989546862669598,-0.014458624409080578) (0.015788055581365645,0.99987536088302775) (0.72996167750059415,0.68348807552181945) (-0.91513030912701043,0.40315817902791401) (-0.96647061711522242,0.2567772307914501) (-0.30777121132585789,0.95146039406746596) (-0.95106402794046008,0.30899387495170921) (-0.95839229815483684,0.28545437960818454) (-0.7319308438826756,0.68137892524879051) (0.33186878597149544,0.94332555827657227) (-0.3032373922199485,-0.95291504551017059) (0.67196740694954027,-0.74058072078438353) (0.78558242590045535,-0.61875702187236548) (0.92645134717062816,0.37641453389279994) (-0.19393289199082758,-0.98101479774979894) (-0.8155000864063463,-0.57875695163967189) (-0.88574046913896898,-0.46418080672242834) (0.14293850115471685,0.98973157213845031)
 (1,0) (-0.89107905652298813,-0.45384811889672755) (-0.97623486742736898,0.21671521316941278) (-0.6070836813887398,0.79463790734616713) (-0.81847478896370629,0.57454244388975551) (0.67116961873132708,0.74130381281364333) (0.54536245057512678,0.83820033255940163) (0.1630463658465551,-0.98661840778703835) (0.74532078824514181,-0.66670602412880353) (0.78589176200248956,-0.6183640824115042) (-0.91402031735599398,0.40566841072536902) (-0.87975529830243016,-0.47542677155246266) (-0.21572014365785441,-0.9764552317542442) (-0.82536252840262714,-0.56460313203950618) (-0.85950526343173406,-0.51112689435515601) (-0.81560562187312113,0.57860821768184101) (-0.86064119646802761,-0.50921187234989174) (0.99855022432714091,0.053827962029153242) (-0.4246452313794043,-0.90535983314190105) (-0.85944105759017453,0.51123484674685316) (-0.85269015394674708,0.52241698035407824) (-0.99772690275919373,0.06738714647870947) (0.30154169258575064,-0.95345299183154308) (-0.70281403149515376,0.71137362695951245) (0.92456271090566988,-0.38102991169035327) (0.45313785292115921,0.89144045580734033) (-0.88086351033076105,-0.47337033722844346) (0.346626247264325,-0.93800332872940717) (0.71552315636755082,-0.69858901558914765) (0.8956243364206341,-0.44481124987021164) (0.44928774596755472,0.89338710608749661) (-0.2655769029830114,0.96408967871352702) (0.26454767838835458,-0.96437260737711483) (0.10101929939394777,0.99488446623211324) (-0.9959338231528152,-0.090087845463284077) (0.75930364524965055,-0.6507364860760414) (-0.86709324458718628,0.49814586738350364) (0.74763276760260655,-0.6641123736287865) (-0.23213600468824575,-0.97268333764251125) (-0.70645325669193082,0.70775970223612139) (0.94436127721703134,0.32890998478765376) (0.47255164401539296,0.881302980670296) (0.91763685200403744,-0.39741993891112132) (-0.88124188399688652,0.47266557087397015) (0.60638030014486521,-0.79517478053332402) (-0.98643886792382829,0.16412909507200624) (0.64959357034243936,0.76028165397421055) (0.036464171603685813,-0.99933496095616348) (0.3115472878158741,-0.95023064960806802) (0.24107452048441969,0.97050660769167518) (-0.97066649519180936,-0.24042993805275145) (0.46472759661664453,0.88545370344412599) (0.060820489765632701,0.99814872039424385) (0.7783887852399618,-0.62778252525269862) (0.92645134717062816,0.37641453389279983) (0.90391302027063503,0.42771632162593198) (0.95079306360381777,-0.30982664540491639) (0.15435186142169016,0.98801594262221304)
 (1,-3.4694469519536142e-18) (-0.88578166773352995,-0.46410218390695812) (0.41707766561978821,-0.90887084937362972) (-0.26508031188998799,-0.96422633662864954) (0.9451927057195797,0.32651301513798342) (0.83601626536737828,-0.54870466012344121) (-0.09406145609732354,-0.99556639280203296) (0.99245410353122521,0.12261668884793181) (0.70300866511824434,0.71118128263380387) (-0.83406336585100338,-0.55166865213213856) (0.92624195802458265,-0.37692948305324958) (0.42028784632449279,0.90739083433320766) (-0.8859220292215001,-0.46383419250855051) (0.94160039944663865,-0.33673236815299828) (-0.27620481510275741,0.96109879831058564) (-0.94380349427759846,0.33050713182834035) (-0.49533139725091935,0.86870409628218559) (0.99917092707973765,0.040711896033189247) (0.84481064142768092,-0.53506539799406294) (0.75570521154995707,0.6549119278469695) (-0.14723979138230786,0.98910082591902315) (-0.87614174168589332,0.48205357427946371) (0.18614435727948878,0.98252240598014084) (-0.16021299528403146,0.98708246673827638) (-0.69017154436734041,0.72364579688242514) (0.97716464102653933,0.21248356248772371) (-0.85781201566963006,-0.51396356463547488) (-0.97270639163955763,-0.23203938386306458) (-0.60675345871060449,0.79489008066695477) (0.88764837334487812,-0.46052184019673809) (-0.13861018959253774,0.99034701763630251) (-0.28778472474889488,-0.95769512487075104) (0.0087954789794920524,-0.99996131902665208) (0.19553804520752702,-0.98069611647870913) (-0.92677936034654984,-0.37560619967679082) (0.10831961340859309,0.99411612065744659) (0.94025967552125989,-0.34045813632318378) (-0.55176887393205665,0.83399706819613306) (-0.30048575580990045,-0.95378630235254969) (-0.29559593609397111,-0.95531305997810356) (0.13598377853205013,-0.99071106382039642) (0.1306593106939902,0.99142732690246604) (0.64210377224297432,-0.76661773112245446) (0.07114892030529979,0.99746570424220127) (0.55277817579668365,-0.83332843967003145) (0.68736384537887696,-0.7263132547778266) (-0.38717304228230065,0.92200706902380491) (-0.94110897183719977,0.33810339118016464) (0.79346481276776493,0.60861612770235951) (-0.67152257637259538,-0.74098409525569986) (-0.93965990906931207,-0.3421100046591049) (0.99687230556363349,0.079029149054299141) (-0.95495423212472585,-0.29675312053468417) (0.060820489765632556,0.99814872039424385) (0.78558242590045524,-0.61875702187236536) (-0.85965765876140166,0.51087054106972096) (-0.88759088715559398,0.46063262697983398) (-0.8082358166334197,-0.58885895145688893)
 (0.99999999999999989,0) (0.29742742381177084,0.95474443049682023) (-0.94180089911922793,0.33617118618081582) (-0.39330994227748378,-0.91940594369716933) (0.98043874443974643,0.19682446088180058) (0.40846774444144085,0.91277275471550134) (0.6622720199536728,0.7492634860891626) (0.1781154665011882,0.98400959375052155) (0.99941208144588867,-0.03428544093337621) (-0.96888941736441569,0.24749403410838622) (-0.079841083803663393,0.99680760497553278) (-0.37430485698928051,0.92730570689187275) (0.33281313577356042,-0.94299279777555667) (-0.90966701689103413,0.41533831797772441) (-0.12231777157483381,0.99249098875353448) (0.19149528457017209,-0.98149353333956857) (0.99990507271486773,0.013778445452163279) (-0.72487243445548599,0.68888312054119583) (-0.97835025024687428,-0.20695600460455435) (0.98074286321183646,-0.19530344661333282) (-0.81743850573532728,-0.57601587594544712) (0.83085457388378114,-0.55648960193016983) (0.16265736072996928,-0.98668261513029731) (-0.43814980586378538,0.89890196774816922) (0.80130028745556481,-0.59826235827070962) (0.8352911682403612,0.54980784303214103) (0.90493078939168337,0.42555876963229006) (0.48272013934827385,0.87577466683364458) (-0.24977319919877139,-0.96830436793500752) (0.98687555654396319,0.16148261793780228) (0.78803893905608335,-0.61562539789336224) (-0.89088577195607321,0.45422741146504525) (0.23212228778670027,-0.97268661115113164) (-0.66242059233699879,0.74913213710793569) (-0.10139446553969789,-0.99484630087160952) (0.82628885868578972,-0.5632465907679669) (0.86179405919888086,-0.50725831637294594) (-0.99965996176504723,0.026076058826158655) (0.21917613412598527,-0.97568530901596973) (-0.40334594792174,0.9150475650451807) (-0.16126142106903713,-0.98691172557366702) (-0.89764406422550669,-0.44072115215940472) (-0.96275807306677197,-0.27036437033151328) (0.24751635022466556,-0.9688837166406824) (-0.22035721931374039,0.9754192410939615) (-0.99571839743397084,0.092438482308645986) (-0.51042084913799357,0.85992473901222832) (0.024902799187107472,0.99968987720825142) (-0.87192531557514596,0.48963889148961903) (-0.92589015536328112,-0.37779282709093259) (-0.80056955873126734,-0.59923983648688406) (-0.56394353211858206,-0.82581335214539953) (0.99687230556363338,0.079029149054299086) (0.46472759661664442,0.88545370344412588) (0.67196740694954005,-0.7405807207843832) (0.69447870852949367,-0.71951325449863068) (-0.7833922439257055,0.62152762783085747) (-0.31330240538152415,-0.94965341192571473)
 (0.99999999999999989,0) (0.79830677319182608,0.60225102397260877) (0.98399526256299441,-0.17819462184248636) (0.2269941596930396,0.97389611944254917) (0.84709295332056622,-0.53144475576924965) (0.92374669720525526,0.38300396786767577) (-0.37510227158466825,0.92698343342911205) (-0.9902720721632936,-0.13914461216094104) (0.818485875737472,0.57452664970240019) (0.12690424978769588,0.99191497185284028) (0.98128246622449966,0.19257393769762038) (-0.97421733735519511,-0.22561156795818679) (0.50916410556524661,-0.86066945664636441) (-0.92978530463059983,-0.36810227830452291) (-0.55197163247042491,-0.83386288857817337) (-0.55387757443080132,-0.83259812187072157) (0.079093626162720143,0.99686719190694295) (0.95046443902613853,-0.31083331569625861) (0.34862828092166998,-0.93726107448330476) (-0.99894216022624571,0.045984350843778082) (-0.60640236236810841,0.79515795595238714) (0.67912279477296689,0.73402467916259906) (0.51949157639306043,0.85447557136330921) (0.18067984794520089,-0.9835419627786619) (0.56432630485662272,-0.8255518285649126) (-0.9918965894847418,-0.12704784834281715) (0.98291488392010484,0.18406067197620163) (-0.94129943208968081,-0.33757277607598296) (0.04205056458526088,0.99911548382459825) (-0.20463589955777789,0.97883816262556111) (0.79916890659158157,-0.60110652860971014) (0.94751423352197262,-0.31971358631323404) (-0.84307840035358406,0.53779067568827044) (-0.32122930784153186,0.94700144233451666) (0.19554305679338799,0.98069511722038327) (0.99068272899622445,-0.1361900527520182) (-0.99730282998927389,0.073396630000205576) (-0.67254289418469537,0.74005814331150455) (0.53010308600629563,-0.84793320385901005) (-0.31348511676573898,0.94959311368942279) (0.069145144763290339,0.9976066103207526) (-0.89406599031304101,0.4479352687225695) (0.23646483145633754,-0.97164004831229733) (-0.69968963798585859,0.71444692629699136) (-0.078893625647336069,-0.99688304019690277) (0.47259276974033326,-0.88128092796177282) (0.59202167788735738,-0.80592203897860937) (0.48754545356899659,0.87309760663066793) (0.727150250029023,0.68647834188904389) (0.16892143453914477,-0.98562951911620245) (-0.91019008492141285,0.41419078853923857) (-0.80056955873126734,-0.59923983648688406) (-0.93965990906931207,-0.34211000465910485) (-0.97066649519180925,-0.24042993805275145) (-0.3032373922199485,-0.95291504551017059) (-0.021559325589913164,-0.99976757072837297) (0.010719409186743911,-0.99994254548283423) (-0.905744639786769,-0.42382384017129227)
 (1,-5.5511151231257827e-17) (0.10979181747688038,0.99395460500725075) (0.99991767102622831,0.012831647184918082) (0.68103255106003702,-0.73225314229210259) (-0.90921636599721811,-0.41632391211988928) (0.90084352662683298,0.43414391684615983) (-0.42774489063328974,0.90389950134797159) (0.47205487358632536,-0.88156916706710875) (-0.98483728564800788,-0.1734806064015802) (-0.97198540581903692,0.23504121101372255) (0.90487882575343659,-0.42566925036121533) (-0.91515568053540375,0.40310058345749966) (0.36924311511935259,0.92933283700564118) (-0.18339234302171009,-0.98303980006966363) (0.85987249457148263,-0.5105088570038836) (0.46169145434065922,0.88704058587462753) (0.04439652727562865,0.99901398807317032) (-0.39442312835577042,0.9189289394822886) (-0.99904735153322322,-0.043639310196755932) (0.79323828257751339,-0.60891134580780371) (0.99895305125902989,0.045747146143496287) (0.99443161775795863,0.10538385836209524) (-0.99375723655002002,-0.11156412866359239) (-0.28259986447556573,0.9592378832168742) (-0.90955836064701512,0.41557621271808931) (-0.81849578161766012,-0.57451253726449858) (-0.85521077250029409,-0.51828036293057489) (-0.61820540888626685,-0.78601658533631502) (0.04968026415111404,-0.99876517327842085) (0.94280244800473301,-0.33335198219941581) (-0.21186099437761124,0.97729981022270085) (0.87404385057077505,0.48584704103185727) (0.92386842442624895,0.38271024855385993) (0.94294832886750024,0.33293910717425246) (-0.21884990067961563,0.97575853620274411) (-0.83503050761549003,-0.55020364534544319) (-0.35984249874124996,-0.9330130631988236) (0.90481733356404637,0.42579994467125504) (0.5363523056766627,-0.84399419677822607) (-0.99503223991898992,0.099553209500235662) (-0.60435411924599436,0.79671582044690992) (0.9035646818385733,0.42845170758669182) (0.1319483045323101,-0.99125659893442419) (-0.016413331931513397,-0.99986529219435361) (-0.95219309102015193,0.30549683699423941) (-0.84445079454717797,0.53563313526016709) (-0.44577042632178249,0.89514732140407738) (0.39225296487614897,-0.91985738652568672) (0.46538320485113338,0.88510929982826525) (-0.77649371363191177,-0.63012499767119001) (0.16892143453914488,-0.98562951911620234) (-0.92589015536328123,-0.37779282709093259) (-0.67152257637259538,-0.74098409525569975) (0.24107452048441969,0.97050660769167518) (0.33186878597149538,0.94332555827657205) (-0.24938630776251719,-0.96840408378970499) (0.035920607903360713,-0.9993546467234995) (0.93492726506133073,0.35483941303769889)
