# Created by Octave 5.2.0, Sat Sep 18 11:30:11 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
7.6810686992114957e-13


# name: H
# type: complex matrix
# rows: 60
# columns: 60
 (1,0) (1,-5.5511151231257827e-17) (0.99999999999999989,2.7755575615628914e-17) (0.99999999999999989,0) (1,0) (0.99999999999999989,-1.3877787807814457e-17) (1,0) (1,-5.5511151231257827e-17) (1,0) (0.99999999999999989,-1.3877787807814457e-17) (1,0) (1,0) (1,-2.7755575615628914e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (1.0000000000000002,0) (1,5.5511151231257827e-17) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (1,-1.3877787807814457e-17) (1,-5.5511151231257827e-17) (1,0) (1,5.5511151231257827e-17) (0.99999999999999989,-2.7755575615628914e-17) (1,0) (1,0) (1,0) (1,-2.7755575615628914e-17) (1,0) (1,0) (1.0000000000000002,0) (1,0) (1,0) (1,5.5511151231257827e-17) (1,-5.5511151231257827e-17) (1,2.7755575615628914e-17) (1,-5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999989,0) (1,-2.7755575615628914e-17) (1,0) (1.0000000000000002,0) (1,-3.4694469519536142e-18) (0.99999999999999989,0) (1,-5.5511151231257827e-17) (1,-2.7755575615628914e-17) (1,0) (1,-1.1102230246251565e-16) (1,-1.3877787807814457e-17) (1,-5.5511151231257827e-17) (0.99999999999999989,0) (0.99999999999999989,0) (1,5.5511151231257827e-17)
 (1,2.7755575615628914e-17) (0.96083011101287674,0.27713804821962068) (-0.92732712749128121,0.37425178505755968) (0.36524076820643953,-0.93091309005726708) (0.51304096652429354,-0.85836412242580251) (-0.94040963147803391,0.34004371045991633) (-0.47008389850094978,-0.88262173572269731) (0.88256608976429829,0.47018836352908255) (-0.50571821718236121,0.86269872192434338) (-0.27778054141559178,0.96064456007977184) (-0.66400227903916442,0.74773054868100308) (-0.97941839188879998,0.20184056487722232) (0.96958432404779127,-0.24475750971275104) (0.064382991511957116,0.99792526293504125) (0.16534696560302492,-0.98623545919109579) (-0.9133961700913894,0.40707178293561663) (-0.83161721877034256,0.55534926077620661) (-0.25328318033296182,-0.96739218032833962) (-0.61456064322975024,-0.78886958097839976) (0.89575502103617877,-0.44454802022782003) (-0.24097019910358475,0.97053251524303785) (0.31077287686701327,-0.95048420239570519) (0.99999986619296977,0.00051731425906892392) (0.90452464517317166,-0.42642134828635037) (0.88298693825478569,-0.46939755737693789) (-0.55195060242401728,-0.83387680893748661) (-0.44741292388710935,-0.89432749903980235) (0.46249006895009576,-0.88662446172127085) (0.92685406180121632,-0.37542182691285658) (0.94326522499883281,-0.3320402314598358) (-0.99988173431226968,0.015379121843767135) (-0.92752936643052342,-0.37375028349018252) (-0.99961815384145913,0.027632345369014377) (0.4331756076341437,-0.90130954335943314) (0.96555327183205875,0.26020545585058075) (-0.65316372070841655,0.75721671531361145) (0.98217030801726146,0.18799331384195281) (0.38772874794368173,0.92177351774610106) (-0.99880040623895772,-0.04896681015640994) (-0.76174289082141389,0.64787943962054706) (-0.52865814165426994,0.84883483037788554) (-0.56974757291409039,0.82181975101508853) (0.82796425911041727,-0.56078087131760745) (-0.15213671901066192,-0.98835945825831673) (0.35673517424533963,0.93420555310710296) (0.99142137877061454,0.13070443648388924) (0.86872042152624962,0.49530276520856997) (-0.94069285605715347,-0.33925941484803923) (0.1098939003451436,0.99394332366937854) (0.87371308370507661,0.48644161763007643) (-0.98643070258631937,-0.16417816235742039) (-0.048681998470291504,-0.99881432860413932) (-0.65443722894029155,0.75611633587494509) (0.86290562152866035,0.50536510399337597) (0.38962297613314945,-0.92097444941168038) (-0.91706911627710896,0.39872827335256916) (-0.49857676766615122,0.86684554953207948) (0.12730774786640822,-0.99186326544195635) (0.79320097522142108,0.60895994359874372) (-0.9626559930598545,-0.27072761038716703)
 (1,0) (-0.99997778622077216,-0.0066653630809763165) (0.92980105208231134,-0.36806249951146264) (-0.28005092151935629,-0.95998514642475574) (0.803010649229563,0.59596467783243234) (-0.082295188775962647,-0.99660799811376521) (-0.89592001450930425,-0.44421540675852905) (0.27061366720523994,0.96268803000854308) (0.67839047378215855,-0.73470154830490164) (0.85896653343036766,0.51203173187471107) (0.74284058161234878,0.66946834899778729) (-0.24621502001352771,0.96921523095736317) (0.74872804254422554,-0.66287730260425359) (-0.55290444629064361,-0.8332446659127416) (-0.98516447544929953,0.17161280929087358) (-0.50318886052204681,-0.86417646962094707) (-0.2846283759458178,0.95863793353196958) (-0.89966617571559337,-0.43657848352074774) (0.36975566698959517,-0.92912902587804136) (0.98487434480299574,0.17327009248242858) (-0.47190743985724881,-0.88164809771664288) (-0.95959902615701076,-0.28137112324919683) (-0.042361911121732848,0.99910233133854409) (-0.75564097263782237,0.65498604601240684) (-0.35928953562110799,0.93322614065036014) (0.97516366659846965,0.22148549240577009) (0.24553876503491559,-0.96938677258622097) (0.96710152852177012,-0.25439071038631389) (0.17725738830442722,0.98416452805996335) (-0.54243257347670504,0.84009934128734964) (0.80920757954878009,-0.58752284483312023) (-0.99563014138760053,-0.093384268270968185) (-0.99669986563943869,-0.081174982810741758) (0.14570791046082363,-0.98932765291845493) (-0.42331328841723392,0.90598336621010256) (0.64486086993245983,-0.76429997934708227) (0.58649521759921019,-0.8099526898117283) (-0.46461206079148465,-0.8855143324458884) (0.58374109181146794,0.81193986090766179) (-0.59786629460276508,0.80159584191658506) (0.40951933442663069,0.91230143852279855) (0.63013533131640331,0.77648532776013546) (-0.26024770824287352,-0.96554188430866517) (0.85326112293106993,0.52148389821202445) (-0.70267271874646431,0.71151321163380754) (-0.48629106775949804,-0.87379688567614233) (-0.93046585845810736,-0.36637861051624576) (0.83084940389371753,0.55649732079269931) (0.038126338454670811,0.99927292684032887) (0.12343172004502659,-0.99235306745468599) (0.92153212775919702,0.38830212143073006) (-0.15726959050951,-0.98755570774562818) (-0.92468532884789501,-0.3807322453029941) (0.82437339701820644,-0.56604637821353654) (-0.60985563550794786,0.79251252598252142) (-0.28025169666808691,-0.95992655266674309) (0.16161045127822465,0.98685463065116519) (-0.93033847908746847,-0.3667019420854134) (-0.48665277333537116,0.87359548888772798) (0.7932009752214213,0.60895994359874384)
 (0.99999999999999989,-5.5511151231257827e-17) (0.93089735129040729,-0.36528088009161219) (0.51338378233028037,-0.85815912978902376) (-0.61136288022971641,-0.79135038300188154) (-0.92111080580324722,0.38930050530726723) (-0.93474853634323507,0.35530996862483138) (-0.33751281748049855,0.94132093253914906) (-0.95678649694067619,-0.29079133286944425) (-0.9216189167755765,0.38809608635158055) (0.93149173673630892,0.36376248348609946) (-0.57201342615511441,0.82024425648600918) (-0.99226079199848038,0.12417133591350357) (0.60776666379769306,0.79411566057862115) (0.99195078108330403,0.126624041588565) (-0.47618531315378537,0.87934495366530163) (0.31867869006126792,-0.94786280257262701) (0.98006257262241114,-0.19868908813706948) (0.81259671310467041,-0.582826373675286) (0.76095615420322971,0.64880330715882539) (-0.67182677847548844,-0.7407082959730138) (0.23501530260672876,0.97199167050992108) (-0.67473135394185646,0.73806341191511993) (-0.93268534215017029,0.36069107632185654) (0.86886590090617,0.49504751917620138) (0.28281237074157539,0.95917525142985627) (0.643339579613741,-0.765580946277018) (-0.78038523330492648,-0.62529903857243707) (-0.99725375197769828,-0.074060476412206089) (0.27056331893033231,-0.96270218159584608) (0.92130112692664046,0.38884988559044309) (-0.096647358636374803,-0.99531868668713874) (-0.62184972835012187,0.78313658792759699) (0.83157214289236348,-0.55541675448747552) (0.1251422294273441,0.99213881206913446) (-0.24283304791807125,-0.97006809598028765) (-0.88039320237202512,-0.47424446145119031) (0.23304832556828825,-0.97246515513401222) (0.91054736703422612,-0.41340475612531902) (0.8861448858833304,0.46340828782275678) (-0.91629037724306728,0.40051459969863107) (-0.85610718428869026,-0.51679830592726461) (-0.89135207938958783,0.45331167045186027) (0.93554108054984164,-0.35321790243931739) (-0.47945982473823062,0.87756383042032016) (0.45371559243352511,0.89114654304592189) (-0.25270764505193344,0.96754268439811342) (-0.60072326663543407,-0.79945703882250774) (0.99779003525160814,0.066445809142423429) (0.17381367830858294,0.98477855644446244) (0.18382061399973171,0.98295980684296524) (0.35795476020528172,0.93373893013324527) (-0.29997031850807832,-0.95394853530688983) (0.99508016231112217,-0.099073056755457467) (-0.96492353651040697,-0.26253108137561243) (-0.75537653453342724,-0.65529099724952045) (-0.3976920043740213,-0.91751897509368874) (0.91436931013026601,-0.40488117354589603) (0.77161705555072657,-0.63608735216417012) (-0.93033847908746847,-0.36670194208541318) (0.12730774786640825,-0.99186326544195647)
 (1,0) (-0.15256193197004328,0.9882939122111235) (-0.77402799984796067,-0.63315136851417075) (0.70708014358182492,-0.707133417787837) (-0.24421687532405953,-0.96972063905382244) (0.76721624393824683,0.6413885211299708) (-0.55678529261572007,0.83065645000013499) (-0.76088304196521417,-0.64888904787317991) (0.76637715818690011,0.64239088677328948) (0.97020130881439881,-0.24230026903581409) (-0.56463246395787003,-0.8253424626449708) (0.96158771152338474,0.27449785617964184) (-0.47891331120811731,-0.87786219895133588) (-0.74818805757176388,-0.66348672217836491) (0.98634919601484727,0.16466712944867182) (0.99872067058774827,-0.050567006444524304) (-0.9241079073082954,0.38213162084586055) (0.83440337784254637,-0.55115424614616615) (0.15844019353473437,-0.98736857610148643) (-0.11741550253570793,0.99308287658396721) (0.58181709308743523,0.81331966052179416) (0.048862947386609928,0.99880549276257724) (-0.81765880490771126,-0.57570311685528885) (-0.80590091759735172,-0.59205042945322595) (0.098214433048822825,0.99516527528893328) (0.84097393671782428,0.54107563035247352) (0.10712188409931647,-0.99424589611776337) (-0.51596533643246933,-0.85660946270755545) (-0.42447109734311883,-0.90544148762928356) (0.98159749686195141,-0.19096165624112002) (0.25355056709182666,-0.96732213348367635) (-0.98744992539359489,-0.15793240592159985) (0.86989229254491263,0.49324172509121372) (0.96416856152085095,-0.26529037859449878) (-0.99994889811797472,-0.010109458573615726) (-0.3323702803118635,0.94314897909366024) (0.52742775628286009,-0.84959988341714776) (0.28653605515696312,0.95806945943135358) (-0.4836830810720012,-0.87524321024769747) (-0.34347444569419072,-0.93916202284540296) (0.99985059378249541,0.017285546354996628) (0.52195808140390954,0.85297113741154851) (-0.92964933769201963,-0.36844553047741885) (0.80126340914290584,-0.59831174914812579) (0.0076140406659002402,-0.99997101277224054) (-0.89269543010219465,0.45066048093288463) (-0.7984940374794971,-0.60200271769294811) (-0.91065481668848569,0.41316801042924495) (-0.98536814444103416,0.17043949049686688) (-0.97892697769808734,-0.20421060779227093) (0.98912669750007221,-0.14706589098971873) (0.51622042357144449,0.85645576318203254) (-0.27743414749703188,0.96074465588032087) (-0.29830375866544212,0.95447098833126942) (-0.85862639147048403,-0.51260191169208202) (-0.17586454032757645,0.98441437588820901) (0.01469748560380954,0.99989198612496533) (0.91436931013026612,-0.40488117354589592) (0.16161045127822452,0.98685463065116508) (-0.49857676766615144,0.8668455495320796)
 (0.99999999999999989,5.5511151231257827e-17) (-0.23881168731992414,-0.97106589786657005) (-0.73006046326852214,0.68338255755627164) (0.85896413448027586,0.51203575624808817) (-0.71883715994461261,0.69517849325390058) (0.43961031439823933,-0.89818860573639014) (-0.9507854537217173,0.30984999756525478) (0.84828469327411327,0.5295404414743432) (-0.75549854182305243,-0.65515032878206081) (0.89731819973519955,0.44138424125016024) (0.99917862919105571,-0.040522425493557279) (0.24315340509706629,-0.96998784610411515) (-0.47164755500675504,-0.88178715337441194) (-0.88467671474747234,-0.46620500896452888) (0.93246358246649463,0.361263985713701) (0.7002742023024473,0.71387396758088317) (0.91733246906690313,0.39812201797391189) (0.39003140603143477,-0.92080155424995958) (0.195468994395465,0.98070988178463114) (-0.67964696645543254,0.73353936567026012) (0.16021038098139617,0.98708289106122893) (-0.73584327119511417,-0.67715188860171716) (0.8417275777617832,-0.53990247715238526) (0.34198177926057083,0.93970658327680978) (0.36809913641037306,0.92978654850128684) (-0.93385023163374759,-0.35766429074985501) (-0.9154743903754522,0.40237624254756305) (-0.066125021279642815,0.99781134567650875) (-0.12155280303066834,0.99258496667810991) (-0.26865537362088121,0.96323636259467793) (0.66648027462379922,0.74552266467048678) (0.99311162152113486,0.11717212637679653) (-0.38110904869701318,-0.92453009307499412) (-0.90395383128309692,-0.42763006314875651) (-0.50313818326487669,-0.86420597576094094) (-0.98008474749539432,-0.19857967601667875) (0.99998213117605494,0.0059780706416372453) (-0.35653108928845212,-0.93428345932633783) (-0.72236567320114842,0.691511268296224) (-0.16012277503314465,-0.9870971061226359) (-0.31034041580013327,-0.95062549214767023) (0.99485036437545626,0.10135458796729119) (-0.095487678130933895,-0.99543061200927552) (0.9561163843333399,-0.29298713215658512) (0.04266397592981408,-0.99908947805382375) (-0.9274495471792249,0.37394830850941063) (0.45402525455657433,0.89098881487078097) (0.45304696166935021,-0.89148665190353349) (-0.49061354420677017,0.8713772720474583) (0.18416219918781124,0.98289586650382565) (-0.15079664334675702,-0.98856480432764227) (-0.75295281128871683,0.65807451247743609) (0.34379011847796326,0.93904651345761747) (0.95853753881802639,0.28496629042165661) (0.18019140858339633,-0.98363156530925355) (-0.38376815882008919,-0.92342947769488015) (-0.17586454032757642,0.9844143758882089) (-0.39769200437402108,-0.91751897509368863) (-0.28025169666808669,-0.95992655266674298) (-0.91706911627710896,0.39872827335256922)
 (1,0) (-0.77064484535210576,-0.6372648761168529) (-0.21295861438593899,-0.97706122047639388) (0.031629944241903324,-0.99949964813763448) (-0.99644130251915186,0.08428956420540995) (-0.76128623444171872,0.64841596930485068) (0.93017442925963378,0.36711787092364973) (0.83393365529569252,0.5518647103821428) (0.99738072617051665,-0.072330402069772426) (-0.98645084225010615,0.16405711147053523) (0.99974388918677215,0.022630864625672285) (0.98619416377598579,0.16559308963293823) (-0.3972108224476707,0.91772739009492632) (-0.98943989561731205,0.14494375792286579) (0.87295892503816197,-0.48779372197294041) (0.93571814870019698,0.35274855944861927) (0.8159870970605676,0.57807011463201297) (-0.53417015080236152,0.84537698690689611) (0.98892499461962968,0.14841615483688514) (-0.24476330703639268,-0.96958286057902698) (0.169202052885319,0.98558138441195864) (-0.84446437232635752,-0.53561172865374218) (0.40434645052590135,0.91460589761224742) (-0.82492646895891852,0.56524005591516047) (-0.41460045712879956,-0.91000354996482813) (-0.85172081902148278,0.52399584582835701) (0.30698624902540023,-0.95171395014957993) (0.45895648361224678,-0.88845874757935783) (0.091323734557191463,-0.99582125680592248) (0.19231254212568266,-0.98133372821948617) (-0.6184327631340375,0.78583771701439709) (-0.063658059813098439,0.99797176884961591) (0.8776133646860852,0.47936915015921383) (0.89285663029478568,0.45034102382376895) (0.43996728777112881,0.89801380039023815) (-0.82833986852524921,-0.56022590283882057) (0.69731129914279777,0.71676840896330418) (0.017940532002559864,-0.99983905570419884) (0.094422883885608266,-0.9955321787861634) (-0.49040084972825504,0.87149699172504647) (-0.69214929881853071,-0.72175435443439839) (-0.76434123420909761,-0.64481197080056862) (-0.99650170744182986,0.083572406124950427) (0.98694430531785737,0.16106190797532849) (-0.24933225774609546,-0.96841800130276179) (-0.55127037290395831,0.83432666022267976) (0.85510113055040193,0.51846123917938636) (-0.28113950816830058,0.95966690937370891) (-0.71777586999715615,-0.69627422790867965) (0.99023545203925356,-0.13940498385859182) (-0.38003588736566091,0.92497174244092029) (0.97801957967596331,0.20851307338018582) (-0.39430287427700839,0.91898054567922638) (0.55551704487600695,-0.83150514902328065) (-0.89090013511134192,0.45419923960591763) (0.18019140858339636,-0.98363156530925355) (-0.85862639147048403,-0.51260191169208202) (-0.75537653453342712,-0.65529099724952034) (-0.60985563550794775,0.79251252598252131) (0.38962297613314956,-0.92097444941168016)
 (1,0) (0.11912442604108853,0.99287933361530833) (0.09273464391210326,0.99569085855926931) (-0.23860858327910217,-0.97111582418655829) (0.16931721453955831,-0.98556160683164074) (0.73899355546618462,0.67371249430261249) (0.02431115040799553,0.99970444030515271) (-0.44859319784658069,0.89373605882596963) (-0.75536150034781258,-0.65530832727221155) (-0.98178965594222711,0.18997123857269071) (0.98704591509365325,0.16043803008305157) (-0.54871482367230662,-0.8360095946113697) (0.46278330912695581,0.8864714370996406) (-0.056144580682807324,-0.99842264901190581) (-0.92882460011536749,0.37051971907109948) (-0.97091628711234479,-0.23941922107461716) (-0.58793060186214252,-0.80891137177939176) (0.99920277680089264,-0.039922560456268436) (0.4781308229517699,0.87828862917805295) (0.65329263869154175,0.75710549346272904) (0.39322116703803944,0.91944391552353022) (0.25150614651761999,0.96785570115790309) (0.16477226037985399,-0.98633163905925292) (-0.30865371616337389,0.95117447584475268) (-0.99670172071124574,-0.081152202257493034) (-0.98748584771143899,-0.15770764271150772) (-0.15454603687374022,0.98798558819783433) (0.38259577115388699,-0.92391583810169731) (0.9528648370736934,-0.30339512565056614) (0.79775305155842491,-0.60298430222454413) (-0.97544058930777666,0.22026269936349552) (0.79634174873815378,0.60484693866850225) (0.93442436853100341,-0.35616161990791984) (0.85371054458864182,0.52074783346468356) (-0.32419443767450906,0.94599046854654423) (-0.14353193707886966,-0.98964568560590715) (0.37421946699806868,-0.92734016979729805) (-0.99999970481162226,-0.00076835972511341) (-0.94496972098866105,0.3271578004795419) (-0.53147474135100625,0.84707414038316642) (0.62047357086589883,-0.78422735724847059) (0.52990302736537942,0.84805824186137291) (-0.29052317229872882,-0.95686795659457613) (-0.80410851705293196,0.59448254205059103) (-0.82350952703239511,0.56730244040272093) (0.86725546881993898,-0.49786338668545005) (-0.76365085891015982,-0.64562943372012982) (0.47147075880851541,-0.88188169478027001) (-0.22345452754049477,-0.97471435514290727) (0.76945271422352579,-0.63870378155609064) (-0.36641943065434401,-0.9304497841576107) (0.059053957858942713,0.9982547921553846) (-0.86618960742181172,-0.49971548304454894) (-0.86032369617258109,-0.50974811211415594) (0.55551704487600706,-0.83150514902328088) (0.95853753881802639,0.28496629042165667) (-0.29830375866544212,0.95447098833126942) (-0.96492353651040708,-0.26253108137561243) (0.82437339701820644,-0.56604637821353632) (0.86290562152866024,0.50536510399337597)
 (1,0) (0.96916160268604845,-0.24642602922379792) (-0.85873855272088662,-0.5124139909007519) (0.96921312159031547,-0.24622332330052746) (-0.97320526977917776,0.2299380413807959) (0.64927558189955281,0.76055323202849978) (-0.27632660647034984,-0.96106378901537004) (0.064569424109883145,0.99791321740425765) (-0.8935523912914044,-0.44895893355340832) (0.44955639635070554,-0.89325195017988523) (0.0052207957241705016,-0.99998637155313497) (-0.84087014580555819,0.54123691475446911) (-0.97742321370722896,-0.2112909399530184) (-0.47541118423710876,0.87976372163340977) (-0.91314221330257961,0.40764113909769428) (0.23981656132627133,-0.97081822032430076) (0.63959865503467006,-0.76870902198285518) (-0.15578341155398362,0.98779123740019048) (-0.94301142726923093,-0.33276034625485046) (0.99665653819368505,0.081705231630414654) (-0.54167743634839072,0.84058643514574638) (0.81507868805885242,-0.57935026734459938) (0.70578017777731339,0.70843090041063517) (-0.72069934944122171,-0.69324775348716428) (0.64775662346943808,0.76184733165606766) (0.85897535713233375,0.51201692925076259) (0.74150231874006334,0.67095030464491912) (0.99436983412385771,0.10596524422889808) (-0.49866043845212882,-0.86679741988698256) (0.38413604368120347,-0.92327650243302117) (-0.36941075850958172,0.92926621131803411) (0.93274628183345654,-0.36053345715184237) (-0.99575877848294725,-0.092002473195824941) (-0.43131408633377533,-0.90220183935195919) (0.96073514694088358,0.27746707450160352) (-0.87171247987434497,-0.49001770624266139) (-0.46595689947647045,-0.88480741849866695) (0.85542969846116945,-0.51791894249064685) (0.8869717110354195,-0.46182375840021544) (0.0028997090121081204,-0.99999579583498444) (-0.83229875288058408,-0.55432732744599955) (0.73458595336080368,0.67851564250575558) (0.99364217376986042,-0.11258432619996989) (-0.55925591820540854,0.82899506509521825) (-0.99921608040438792,-0.039588188406285696) (-0.53865872413158322,0.8425240524263593) (0.86141100962900896,-0.50790852767986761) (0.86872616202801112,0.49529269670375808) (0.98892543354397633,-0.14841323017122343) (-0.24464136843605938,-0.96961363483076679) (-0.49088356483958806,0.87122518660239545) (-0.57869871633462688,0.81554141262884516) (-0.99225432502950395,-0.12422300294325606) (-0.86618960742181139,-0.49971548304454877) (-0.39430287427700844,0.91898054567922638) (0.34379011847796315,0.93904651345761747) (-0.27743414749703188,0.96074465588032076) (0.99508016231112206,-0.099073056755457301) (-0.92468532884789489,-0.38073224530299399) (-0.65443722894029166,0.75611633587494498)
 (1,5.5511151231257827e-17) (-0.419254389782306,-0.90786879924814223) (0.97484369666088266,0.22288958495305189) (0.98037395546138995,0.19714691844659143) (-0.91165784916097936,0.41095007733686584) (-0.9615016416107951,-0.27479918700706463) (-0.94320097263142899,0.33222270426195194) (-0.87570435756532694,0.48284767591974304) (0.24530876707299154,0.96944500039823267) (-0.99943406806062129,-0.033638424454714322) (0.46088242343724617,-0.88746120578119336) (0.6125971071258689,-0.79039533421004804) (0.9992711849081779,0.038171966313021721) (-0.84460460189843456,0.53539057374218302) (-0.0518736343809581,-0.99865365670792383) (-0.99983360112538777,-0.018241986203213545) (0.48883362796791174,-0.87237703097211783) (0.2720614498139835,0.96227988003756382) (-0.9387023333939013,-0.34472877640377281) (0.74121494253703313,0.67126776249110998) (0.92556301923346607,-0.37859357816453915) (0.17410750724511564,-0.98472665035576767) (-0.97135123035445037,-0.23764845315906047) (-0.35853516498420673,-0.93351622132116585) (0.42237210880046933,0.90642252934679468) (-0.90813878423705519,0.41866925915863701) (-0.80222870324040974,0.5970168403799101) (-0.87621110414176451,-0.48192748518700135) (-0.83719026273461461,-0.54691175154895411) (0.0031601291796259923,0.99999500677931763) (0.94455949740421186,-0.32834030496346334) (-0.99884890211374144,-0.047967392530458286) (0.89566030944484443,0.44473881108484498) (0.9850224455627542,-0.17242616314692344) (-0.62461967119031481,0.78092910456846354) (0.96120077708601426,0.27584971656545004) (0.012209089506231952,0.99992546628907752) (-0.99967428414468928,0.025521081869709084) (0.93521581272023158,0.35407821683638585) (0.94685292667229515,-0.3216668078184442) (-0.15291709451642937,-0.98823902078629344) (-0.88684936506071665,-0.46205865827987891) (-0.53374809579498239,-0.84564352432643053) (-0.55785988626198468,0.82993514644203514) (0.46596144743373735,0.88480502344045098) (0.51650136992869977,0.85628636265082081) (0.931023304879675,0.36495973171149676) (0.78336648345394921,0.62156009572767035) (0.95373197060553083,-0.30065815845389759) (-0.34701761159151184,-0.93785861260923542) (0.69981126135549632,-0.71432779483933506) (-0.24646953151595041,-0.96915054043956839) (-0.57869871633462699,0.81554141262884527) (0.059053957858942685,0.9982547921553846) (0.97801957967596342,0.20851307338018571) (-0.75295281128871694,0.65807451247743609) (0.51622042357144449,0.85645576318203265) (-0.29997031850807804,-0.95394853530688972) (-0.15726959050950978,-0.98755570774562806) (-0.048681998470291366,-0.9988143286041391)
