# Created by Octave 5.2.0, Sun Sep 19 09:57:09 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
8.6840123998102568e-13


# name: H
# type: complex matrix
# rows: 66
# columns: 66
 (1,0) (1,5.5511151231257839e-17) (1.0000000000000004,5.5511151231257864e-17) (1.0000000000000002,4.1633363423443395e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,1.2325951644078309e-32) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1,1.1102230246251568e-16) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,-5.5511151231257827e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1,5.5511151231257839e-17) (1.0000000000000002,1.110223024625157e-16) (1.0000000000000004,5.5511151231257864e-17) (1.0000000000000002,1.2325951644078309e-32) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1,5.5511151231257839e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,1.2325951644078309e-32) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,1.110223024625157e-16) (1.0000000000000002,1.2325951644078309e-32) (1.0000000000000002,5.5511151231257852e-17) (1,1.1102230246251568e-16) (1.0000000000000002,5.5511151231257852e-17) (1,5.5511151231257839e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,2.7755575615628932e-17) (1.0000000000000002,1.2325951644078309e-32) (1.0000000000000002,2.7755575615628932e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,2.7755575615628932e-17) (1,5.5511151231257839e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,1.2325951644078309e-32) (1.0000000000000002,5.5511151231257852e-17) (1,5.5511151231257839e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,1.2325951644078309e-32) (1.0000000000000002,5.5511151231257852e-17) (1,5.5511151231257839e-17) (1.0000000000000002,1.2325951644078309e-32) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,1.110223024625157e-16) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,6.9388939039072308e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17) (1.0000000000000002,5.5511151231257852e-17)
 (0.99999999999999989,5.5511151231257827e-17) (0.43766358657302806,0.8991388018476526) (-0.96904655502531023,-0.24687805530986284) (-0.28510634983211747,0.95849588902895388) (0.89755046544934969,-0.44091173943506612) (0.38172262296624054,0.92427692772013526) (-0.14914761565263859,0.98881494160693884) (-0.40580046909414075,-0.91396169464752508) (-0.98223657030618672,0.18764679574439375) (0.09171671345471083,-0.99578513971291249) (0.65590186498948266,-0.7548461720796632) (-0.54115274670326019,-0.8409243157000007) (0.70262307993938078,0.71156223026274978) (0.13819294942932531,-0.99040532547438564) (-0.99902737841454359,0.044094185310140033) (-0.43000908640701163,-0.90282455970548703) (-0.43039290959591031,0.9026416472607306) (-0.98406755006200608,-0.17779498562940385) (0.031320408779941966,0.99950939565061647) (0.92055513599921945,0.39061264903412402) (0.097563360616409384,-0.99522931561787953) (0.56779945965568146,-0.82316691722561108) (0.4929945226375585,0.87003241356248662) (0.99596393432004726,0.089754339915858794) (-0.13509007959708563,-0.99083332119708889) (-0.18462483494878656,0.98280907114257632) (-0.52885457211635289,0.84871246105593823) (-0.650128688299346,0.75982411691796981) (-0.78627752567130615,-0.61787349241103273) (-0.13743246484626542,0.99051113956698233) (0.28931471453076951,-0.95723403405644614) (0.30268867447425557,-0.95308948496194046) (-0.78556771657691615,-0.61877569657520448) (0.93064705705646056,0.36591809902237715) (0.9318740961800589,0.36278184749046782) (-0.4889183867063891,0.87232953127841661) (-0.02612708617840892,0.99965862941697525) (-0.62818809912672369,0.77806150921090556) (0.9454644982080771,0.32572516425377718) (-0.92391443957484698,0.38259914838522102) (0.90093918396853634,-0.43394537304838909) (0.29497730107112896,-0.95550426051001536) (-0.69334857393647042,0.7206023556860357) (0.44704393454774338,-0.89451200136391307) (-0.97953646963677632,0.20126674998995614) (-0.7201403613020162,0.6938284081988868) (0.34153226876943305,-0.93987004920318917) (-0.35798008419508259,0.93372922162674088) (-0.53911822563497713,0.84223009848152319) (0.99755470869246321,0.069889936081626192) (0.83345244219187387,-0.55259119302102566) (-0.64714095802742044,0.76237036959954685) (0.74441972474649609,-0.66771196889703299) (-0.51910619975041516,-0.85470974803185784) (-0.88444081257099494,0.46665238567777434) (0.99936835034597771,0.035537308940856493) (-0.52665072939149926,-0.85008176620334763) (0.64901715586481534,-0.76077377149396042) (0.86269693644625067,-0.50572126299598574) (0.074952788529948577,0.9971870834961627) (-0.98415415442657395,0.17731497490317893) (0.34906561288993876,-0.93709828614599977) (0.47894354382698201,-0.87784570502250103) (0.65182643786617156,0.7583681789861032) (-0.98931431238555234,0.1457984612713808) (-0.14530552902442689,-0.98938683194943056)
 (1,5.5511151231257827e-17) (-0.95319102962457847,0.30236875011025127) (0.99833469255241891,-0.057687447909126111) (0.77480077907901557,0.63220546718495774) (-0.99976510474558311,0.021673378441134927) (-0.76326040376463489,0.64609098124416331) (-0.095983376619289795,-0.99538293707133652) (0.12202167192052399,0.99252743618588335) (-0.89569769863237869,0.44466350498400575) (-0.99880454884663084,-0.048882238116480792) (0.81518256716322501,-0.57920409372964166) (0.28536881717082535,-0.95841777852172816) (0.9338616531101529,0.35763446820793221) (0.47469616455844227,0.88014973234870952) (-0.97125474081405605,-0.23804249294237839) (-0.94182071776696386,0.33611565804782445) (-0.14572618240891222,0.98932496165846495) (0.71826207521740715,0.69577265777291242) (0.95731192253796604,0.28905688534727242) (-0.86990174018917044,-0.49322506263961663) (0.79919739264046674,0.60106865464494019) (0.74954251565932162,-0.66195620491018636) (-0.2319906153635668,0.97271802408675123) (-0.96110207258934166,0.27619342147211196) (0.99498491053086391,0.10002513592037415) (-0.19475486003954218,0.98085194830360622) (0.77629211899275463,-0.63037333857781319) (0.9872320028939946,-0.15928895900818635) (0.051163122458243449,0.99869030980595896) (0.581906040827191,0.81325602343224257) (-0.54568090661157154,0.83799304779907036) (0.67932691873574869,-0.73383577010186096) (-0.43521665231152851,-0.90032575524126013) (0.92748333999814059,-0.37386448617901019) (-0.77813577834915615,0.62809609969570246) (-0.51659871725914697,-0.85622763639478727) (0.63096872143283655,-0.77580827049820233) (0.75205478016109251,-0.65910060509519297) (-0.4022504946131048,-0.91552964975663831) (0.084890246028229144,-0.99639030812692531) (-0.64088718231909259,-0.76763508227483535) (0.99999347013944018,-0.0036138177152115203) (-0.93610198570527969,0.3517286914066482) (-0.9809718343488929,0.19415009712634751) (-0.91845942418388526,-0.39551521605092016) (0.73361130004145036,0.67956931982800117) (-0.96312171216230591,0.26906610258735719) (-0.75815056074360532,0.65207954058086881) (0.88257697930117329,-0.47016792277612585) (-0.70727620219704423,-0.70693731957347417) (0.36133693107879594,0.93243531799184698) (-0.96530694763836766,-0.26111778346389114) (-0.99298483446940411,-0.11824177989936413) (0.42565196639464176,-0.90488695620192106) (-0.63291401154135185,0.77422209603874925) (-0.29946837669051551,-0.95410622645612531) (0.93113286788118232,-0.36468010961850561) (0.29309059744237803,-0.95608467286682886) (0.94863736422993228,0.31636553413241358) (-0.89631019538809764,0.44342759684457) (0.99423184677905063,-0.1072522020767735) (-0.9479255984208812,-0.31849185210679054) (0.84246718321349001,-0.53874766376136418) (0.064672538526187817,0.9979065400930992) (0.7580433200468486,-0.65220420493305098) (-0.98931431238555234,0.14579846127138091)
 (1,0) (-0.30189379642790892,-0.95334156296594053) (-0.99607754103296098,-0.088484644146485297) (0.36880019953025478,-0.92950869432536387) (-0.9308360883252591,-0.36543696675532178) (0.26385281610936423,0.96456295358631472) (0.39532862187347717,0.91853975457114367) (0.93316887179309971,-0.35943825160435261) (0.16402776462033139,0.98645572249019786) (-0.220798155488865,-0.9753195243266245) (0.78987092765176981,-0.61327311831722442) (0.86403950049934453,0.50342401767976974) (-0.94162682543170606,0.33665846436322788) (-0.6057357435162174,0.7956658903251117) (0.38241381458619689,0.92399116576601226) (-0.05780068793195145,-0.99832814268385395) (-0.24591006276703262,0.96929264983796981) (-0.45405584872502902,0.89097322419845526) (0.77359162487252275,-0.63368446243149357) (-0.66682326538859793,-0.74521589672824784) (0.68879971781503257,-0.72495168717503666) (-0.98458543351461492,0.17490432845082871) (-0.88784196849018115,-0.46014849666980373) (0.45317060878576809,-0.89142380455804238) (-0.26578254055021855,-0.96403300832423322) (0.41887207298236562,-0.90804525574194594) (0.62194054031621526,0.78306447008606761) (0.17119234955398463,-0.98523762588229724) (0.79463820841208921,0.60708328731041683) (0.97297730753107647,0.23090075580122746) (-0.98362101588808093,0.18024898641406609) (-0.51393224350692757,-0.85783078114738665) (0.99994541981212004,-0.010447841727353163) (-0.070601453637316847,0.9975046038712293) (-0.99098201190878998,-0.13399497032801902) (0.021932865774262955,0.99975944576629461) (-0.93217404767881962,0.36201042089155944) (-0.062412208426468524,-0.99805045776219592) (-0.97097468699514156,0.23918226776808918) (-0.61332341522537348,-0.78983187346186778) (0.21584272202044921,0.97642814346515172) (0.96893674412267528,-0.24730868542966039) (0.78878623627328004,-0.61466761218225208) (0.24775351284119379,-0.96882309885491935) (-0.96848497068399564,0.24907200075323671) (-0.9772225876503785,0.21221690362903944) (-0.94644530331628252,0.32286419409799816) (-0.23770309547083693,0.97133786006908063) (-0.0053856657175496425,0.99998549719722452) (-0.962908628105825,0.26982767448754624) (0.94073389768621618,0.33914559372650116) (0.88678844316277294,0.46217556953277095) (0.9490367474054523,-0.31516543603967473) (-0.27728372545509739,-0.96078808048275721) (0.10033119804356253,-0.99495409476977636) (0.76250492997600494,-0.64698240452294087) (0.75674875338378689,-0.65370583923664338) (-0.46117822180652118,0.8873075271468025) (0.086332402443856315,0.9962663882156586) (0.38313937603782372,-0.923690542622011) (-0.88169354801351607,0.47182251683375243) (-0.38520958831791685,0.92282911368678544) (0.82483422545632146,-0.56537465499955775) (-0.90552702236964977,-0.42428859489545001) (0.064672538526187859,0.9979065400930992) (0.65182643786617178,0.7583681789861032)
 (1,0) (0.96715895243258032,0.2541723051976989) (0.79440494095857239,0.60738849987516752) (-0.46451609552313716,-0.88556467691520868) (-0.80738249982644339,-0.59002838827805681) (-0.7696949162720782,-0.6384118857484693) (-0.558587703765133,0.82944546366979055) (-0.11404109363985604,-0.99347603341068336) (-0.15295587051531401,0.98823301992743673) (0.59483773530653816,-0.80384579905314402) (-0.93302641356787075,0.3598078814932717) (-0.86681630126509412,0.49862761642441955) (0.89673061530833797,0.44257677703278453) (0.8750481695845993,0.48403584671658512) (-0.25149466962961725,-0.96785868345946424) (-0.12657930189386274,-0.99195649114871076) (0.88988153886470744,-0.45619167768360125) (-0.42014240410265713,-0.90745818651596133) (-0.91275456149046152,0.40850839707202513) (0.41230308516153286,-0.91104674192177382) (-0.077692985582560825,0.99697733173391023) (-0.87620964863827866,-0.48193013148503611) (-0.99982602906148288,-0.018652388885707138) (-0.95744861397327918,0.2886037969269386) (-0.86482659231047676,0.50207067752722567) (0.58644662076771881,-0.8099878770636777) (0.99173635424213269,0.12829264855992739) (-0.67909255398741231,0.73405265691151433) (0.022728987253728294,0.99974166320025748) (0.070493736243859462,0.99751222205563961) (-0.32810024095895984,-0.94464291236565756) (0.67024077347813693,0.74214372298593623) (0.66938838419771485,0.74291264028899895) (0.87919090516607912,-0.47646967613191127) (0.40675066968393803,0.91353921246527048) (-0.21389193383521427,-0.97685732870272934) (-0.65500237629749525,0.75562681731436299) (-0.52439754223817669,-0.8514735566619529) (-0.55759035106397903,-0.83011625715940984) (0.075786153357297048,-0.99712409406216995) (-0.92139612385745862,0.38862473279559595) (0.71166630896522542,-0.70251766147464989) (0.33780330694506083,0.94121672627348651) (-0.87201921139554495,-0.48947164877762833) (0.72641850641794237,0.68725261260581949) (-0.30365203062086599,-0.95278299958585733) (0.66396008167613041,0.74776801880036714) (-0.73349953915237265,-0.67968994847890307) (-0.9986785036828576,0.051393056746692867) (0.70715994116581382,0.70705361721043691) (0.14814643852489495,0.98896543557011518) (-0.18790700595658283,0.98218682393546231) (0.44332642677351652,-0.89636023970512158) (-0.98778733886712089,0.15580812935726418) (0.99840557189104429,-0.056447444733271512) (-0.66295646497226934,-0.74865794963485943) (-0.85341928663056899,0.5212250197438435) (-0.76238155273061081,-0.64712778340607591) (0.79054670733881538,0.61240175009201003) (-0.52143104467437262,0.85329342295003741) (0.60189412629576577,0.79857589541048246) (0.83907947106602632,0.54400886135756565) (0.99941934041496339,0.034073186004773104) (0.82483422545632146,-0.56537465499955764) (0.8424671832134899,-0.53874766376136407) (0.47894354382698201,-0.87784570502250125)
 (1,0) (-0.57968898626372622,0.81483782386713732) (0.0069981573163291899,-0.99997551259727135) (-0.90371156002809061,-0.42814181794306416) (0.13126325080047618,-0.99134754702338834) (0.96638581746030283,-0.25709619174849468) (0.9418546692599582,0.33602050829259411) (0.31895170137950879,0.94777097032306012) (-0.69490652034774669,0.7191000820318304) (0.25132254187069109,0.96790339391266311) (0.75325018882255956,-0.65773410512058683) (-0.13109772809881154,0.99136944964393914) (-0.22773071133132378,-0.97372415144974478) (0.9952354470729462,0.097500794301945193) (-0.038288974338848647,-0.99926670836372722) (-0.93137730352770676,-0.36405537830590406) (0.18044868942765302,0.98358439926822783) (-0.71345484495857092,-0.70070120893654719) (0.82169493615451039,0.56992756723818438) (-0.49598872820851769,-0.8683289592603104) (0.023246434304205699,-0.99972976513262712) (-0.18114504109298485,0.98345639155349418) (0.87170618379709297,-0.49002890642278274) (-0.3810411073333011,-0.92455809688856627) (-0.59965732747083755,0.80025688976136389) (0.66764734738214104,-0.7444776823609891) (-0.63225815898461502,0.77475778175981103) (-0.94376736590112298,-0.33061028275002879) (0.61128730604469217,0.79140876256749926) (-0.37492232184405516,-0.92705622946133182) (0.27298280900888122,0.96201891144905116) (-0.50227717391095905,-0.86470667891951514) (0.84362306963311595,-0.53693585872317684) (-0.65378771080183773,0.7566780221497732) (0.58496294368727586,0.81106001905698288) (-0.39631144398114915,-0.91811613610129694) (0.63567157033922883,0.7719596198393136) (0.77955636094976799,-0.62633208452286115) (0.75201692815626398,-0.65914379293627079) (-0.087146758391590695,0.99619548408022629) (0.64294486655745331,-0.76591246142585701) (-0.82581096497281004,0.56394702777004913) (-0.87164181098597682,0.49014340079316171) (0.37145434520839116,0.92845122081119769) (0.18946579590924612,0.98188732152954938) (-0.48690464143092788,-0.87345513345163717) (-0.44343502372092186,-0.89630652108395714) (-0.75748321442264044,-0.6528546391563298) (0.68420826991399175,0.72928666749180393) (-0.46259466121385368,-0.88656989539259645) (0.29513604544655242,0.95545523949485478) (0.055654849468418588,-0.99845006772028566) (-0.50488201468460869,0.86318836371212149) (-0.55299067186664996,-0.83318744399352784) (0.90921655041290106,0.41632350937133311) (0.49721293021923663,0.86762855071902589) (-0.97843116628663562,0.2065731174160243) (-0.94227186721313494,0.3348488140320493) (-0.3201214788268627,-0.94737650318851674) (-0.99642176919768011,-0.084520162499620521) (0.99166770630788958,-0.12882220408783362) (0.70947144210964941,0.7047341859388192) (0.83907947106602632,0.54400886135756565) (-0.38520958831791674,0.92282911368678522) (-0.94792559842088109,-0.31849185210679049) (0.34906561288993876,-0.93709828614599988)
 (1,0) (-0.68980812213208109,0.72399223382617306) (0.87214319412833918,0.48925070151775918) (0.06042139132844887,0.99817295869500189) (-0.36231684466696396,-0.93205498983191648) (0.57825645832210371,0.81585505355349441) (-0.89297523913370558,0.45010579011394691) (0.90823911714913186,-0.41845155762664632) (0.64485493425417417,-0.76430498740230868) (-0.48254832990655783,0.87586934488220913) (-0.1045650510719332,0.99451804915462705) (-0.075320038612464391,-0.99715941141996778) (-0.84371930764418313,-0.53678462152749751) (-0.43287866953418042,-0.90145219366437579) (-0.29841003980744207,-0.95443776546306069) (-0.74422580282182049,-0.6679281057226274) (0.89562029406886023,0.44481938902436036) (0.93615333357184793,-0.35159200224452658) (0.92548568231730144,0.37878259176694068) (-0.60609427224511225,0.79539281688462993) (-0.70173374580844905,-0.71243929565517483) (0.26721795134645326,-0.96363611725495402) (-0.63649973252941883,-0.7712769220519814) (0.7024410753522824,0.71174190241823554) (-0.77264703966200243,-0.63483584657889469) (0.45483697251965083,-0.89057471804961974) (-0.80264746565982692,0.59645372483525971) (0.86019116131663464,-0.50997173058194034) (-0.60232587255438053,0.798250301128413) (-0.7684344943161675,-0.63992845533313869) (-0.43260120832130566,-0.90158537840791575) (0.31983340608144994,0.9474737950752703) (-0.97684376132385742,0.21395388746797073) (0.52162581904461858,0.8531743695787104) (-0.74700084595846572,-0.66482308634503418) (-0.45338439789812829,-0.89131508892341205) (0.6727649191972972,0.73985631273744867) (-0.35809771315385408,-0.93368411565902654) (0.64546682848965975,0.76378830399496178) (-0.99480912335693505,-0.10175857745568745) (-0.75300211060895339,0.65801810113283332) (0.59815348226667053,-0.80138156433265495) (0.98207860775496136,-0.18847177027362949) (-0.9189564907355976,0.39435893312427478) (0.5899497460956844,-0.80743996500150761) (0.25399910217234795,-0.96720445413347766) (-0.49390018883216835,-0.86951860444245199) (0.43487330134352103,0.9004916500326845) (0.60250288767284488,0.79811670220957287) (-0.50609574229029852,0.86247730383798005) (0.14729500003921037,-0.98909260585824277) (0.047638486726584051,-0.99886464277318343) (0.51308506664351694,-0.85833776241489923) (0.36453502494079243,0.93118967755845361) (-0.14228658800518057,0.98982550324481045) (-0.108156973005122,0.99413382861180577) (0.99032964517172861,0.13873425638261655) (-0.98998485672516034,-0.14117359333410967) (-0.94189787664811597,-0.33589937476239951) (0.68707426774390934,0.72658719408214845) (0.435154810967189,0.90035564667086321) (0.99166770630788992,-0.12882220408783374) (0.60189412629576589,0.79857589541048268) (-0.88169354801351618,0.47182251683375248) (0.99423184677905074,-0.10725220207677355) (-0.98415415442657406,0.1773149749031791)
 (1,0) (-0.27129766288298912,-0.96249549511373156) (-0.92797402873418733,0.37264487383411515) (0.82971968430096776,-0.55818029836559324) (-0.33236962242868207,-0.94314921093462989) (-0.83417881204193023,0.55149407026758857) (0.95863578827133,-0.284635601155943) (-0.64916088896043989,-0.7606511291282565) (0.90379183209986258,-0.42797234049594141) (0.56452654982181805,0.8254149105427353) (-0.17272951170570275,-0.98496929687473522) (-0.95858825057416519,0.28479565632424947) (-0.7799495627269305,0.62584237600379056) (0.7729741157458444,-0.63443755909224708) (-0.30842291136459055,-0.9512493404704091) (0.84229377683886153,-0.53901873204789941) (-0.97672193746883973,0.21450933981324791) (0.68370009169816903,0.72976310170623981) (-0.21074709008503947,-0.97754062013846277) (-0.56691929309850919,-0.82377333964670507) (-0.60014237575645513,-0.79989319838425765) (0.9999909282688656,0.0042595046626656696) (-0.99777198494127162,0.066716310347273489) (0.40942035474735705,0.91234586266313933) (-0.74111394693131549,0.67137926514295054) (-0.86828951478822458,0.49605777738971923) (-0.35517313292543007,-0.93480053789454698) (-0.24443377943504987,0.96966598758082534) (0.95259529767132656,0.30424036361810219) (0.57143906200610184,0.82064450184814297) (0.9192509594572067,-0.39367203804309592) (0.99926304133241928,0.038384557143224141) (-0.49678217314383805,0.86787526318387642) (0.94366625136026872,0.33089878519519916) (0.00075344897054246962,-0.99999971615728345) (-0.98809899199196249,0.15381931616175021) (-0.96478509303911719,0.26303939676310817) (0.9928635711908721,0.11925572943094204) (-0.14331129552831789,0.9896776609452167) (0.79316263995333214,0.60900987396122019) (0.98580809786970025,-0.16787612747058706) (-0.23818287020433754,-0.97122032533366054) (0.014781245693907819,-0.99989075142024131) (-0.43686419811324628,0.89952747173550507) (-0.90906427828284264,0.41665589873430897) (0.042449632612853949,-0.99909860809182982) (0.70836515905939201,0.70584615988950583) (-0.99961383527266434,-0.02778813292528981) (0.95599906297521842,0.29336971825753699) (-0.38797080495190484,-0.9216716630693228) (0.12312619788825019,-0.99239102141927049) (-0.51488859172863699,-0.85725710152071588) (0.4839972659164623,0.87506950957360485) (0.98537629917364256,0.17039233852158639) (0.62908680423261609,0.77733505822161109) (0.34906526384717451,-0.93709841616305145) (-0.96429466809514619,0.26483163157612261) (-0.85405556602336474,0.52018178567161388) (0.97796551123133324,-0.20876651753104297) (-0.43117468406209714,0.90226846992674514) (0.68707426774390923,0.72658719408214834) (-0.99642176919768033,-0.084520162499620577) (-0.52143104467437262,0.85329342295003752) (0.38313937603782366,-0.923690542622011) (-0.89631019538809775,0.44342759684457) (0.074952788529948744,0.99718708349616281)
 (1,0) (0.92941370572436388,-0.36903951497327026) (0.99876325090043161,0.049718896315224942) (-0.99984305758105518,0.017716100218983372) (-0.82701783246102611,-0.56217568854537625) (-0.60951693366367021,-0.79277304922483161) (-0.93609925828909657,0.35173595015381021) (-0.80716789984563597,0.59032193035562153) (0.68205781091674766,-0.73129825828279871) (-0.96232217303125211,0.27191181528651764) (0.18938950682007019,-0.98190203926178499) (0.62128718922282067,0.78358294296622288) (-0.54630723034761386,0.83758486738355042) (0.89491692274473456,-0.44623278833485186) (0.61024198642945193,0.79221507054501172) (0.6311340539313971,0.77567377548046612) (0.99878399002835871,-0.049300519906298412) (0.037570135349256698,-0.9992939932421484) (0.65116868003639361,0.75893303402847212) (-0.96535888146586313,-0.26092571735070202) (0.41688836287302111,0.90895769588086661) (-0.035166924762545529,0.999381452400807) (0.90634443103472673,-0.42253966953688249) (-0.097975103368167699,0.9951888660550805) (-0.463817921129141,-0.88593054809022354) (-0.88913029903433694,0.45765413943185757) (-0.99359735820435569,-0.11297915634896534) (0.40746611367466024,-0.91322032730709146) (-0.55036569282772985,-0.83492371157983802) (0.86680730485769231,0.49864325548967942) (-0.23743487520205198,-0.97140345893855373) (-0.99975608684578576,0.022085443504770125) (-0.70370611442822661,0.71049117131483541) (0.56568766572619023,0.82461958795874757) (0.70578483030986461,-0.70842626525593821) (0.55355427029359405,-0.83281310618873394) (-0.99858099746375262,0.053254028057030112) (-0.88323753763173829,-0.46892584927493791) (0.50237381268520798,-0.8646505376903022) (-0.98493851783554143,0.17290493365988471) (0.27728529347112391,-0.96078762795148087) (-0.97890188692942504,-0.20433084878698415) (0.56518240107665918,-0.82496597112439929) (-0.52546611120941045,0.85081453088817194) (-0.9478160525674485,-0.31881770731165449) (-0.90076692463526564,-0.4343028292368436) (-0.44934521174750641,0.89335820401426347) (0.33918697484431148,0.9407189782798917) (-0.78245069722694449,-0.6227125391455286) (0.42839868386667118,-0.90358982268577315) (-0.61463291408695753,0.7888132737986705) (0.78474885255568427,-0.61981387400778276) (-0.36516573907485078,0.93094252400774957) (-0.82826188567207681,-0.56034118958268431) (0.23697503974598405,0.97151573869772689) (0.84200352500283471,-0.53947202326237687) (0.12274885264968444,0.99243776589425825) (0.87113581819974073,0.4910421430483014) (0.84268908738158577,0.53840050335042577) (0.97796551123133324,-0.208766517531043) (-0.94189787664811597,-0.33589937476239951) (-0.32012147882686282,-0.94737650318851685) (0.79054670733881538,0.61240175009201014) (0.086332402443856232,0.9962663882156586) (0.9486373642299325,0.31636553413241364) (0.86269693644625078,-0.50572126299598574)
 (1,-5.5511151231257827e-17) (-0.077142575148462511,0.99702007156298578) (-0.92039776973881482,-0.39098330585821234) (-0.76373188800737191,0.64553358025798668) (-0.99843875257812598,-0.055857473539683677) (0.67101189402783712,-0.74144658477409808) (0.9997005536130229,0.02447045373129425) (0.2445558209959913,0.96963521512833695) (0.95824226276265456,-0.28595762947595404) (-0.19686552698569015,-0.98043049946676186) (-0.82500748254635425,0.56512180434179682) (-0.98892731443667081,-0.14840069663270278) (-0.60642169429191906,0.79514321269323363) (0.31835419726857994,0.9479718377048324) (-0.99972252322938993,-0.02355581770737103) (0.84154947735632979,-0.54018004143182441) (-0.95763220088190248,-0.28799404131696987) (-0.79021131823136392,-0.61283445769558975) (0.85951758751270746,0.51110616974982537) (-0.22056287178071676,0.97537275930376488) (-0.77827730165390796,0.62792072885859729) (0.76224068019005753,0.64729370880875892) (-0.99875706166756439,-0.049843071425954177) (0.98314759515954486,0.18281358300739453) (0.88098989907860936,0.47313507344252226) (0.97283749957324184,0.23148909137167506) (0.57459824533080139,-0.81843561534354348) (0.97598383041372583,-0.21784297732759145) (-0.99898161352859705,-0.045119129333349661) (0.99636548415288495,0.085181112864222364) (0.97478634184904778,-0.22314028713916856) (-0.8264599470186571,-0.56299552038530143) (0.38525348957642619,0.92281078708973996) (-0.99343591390106689,-0.11439005626168497) (-0.29571343277873213,0.95527669587100061) (-0.25108527370796879,0.96796497112601876) (0.41489049481499574,0.90987135206696479) (0.91526323738960591,-0.40285630972233399) (-0.21893773276835532,-0.97573883245992099) (-0.61623407039574019,0.78756305809979299) (-0.99573159007295042,0.09229626498831206) (-0.44410875857809651,-0.89597288494363514) (0.99764295058772912,-0.068618824987081772) (0.023531587102292972,-0.99972309386571978) (0.77126726754736996,-0.63651143116994491) (0.99613858589734838,0.087794747487701719) (-0.97067638064973483,0.24039002485280572) (-0.2069364053563873,-0.978354395982445) (-0.72926094279671638,-0.68423568842266913) (-0.29401699041830209,-0.95580019321266352) (0.37784499927405452,-0.92586886572753424) (0.31947011502556905,-0.94759635162106204) (0.64527078645394065,-0.76395393326372207) (0.936521069004707,0.35061130516610661) (0.80238618753241964,0.59680516591027388) (-0.32074088696295006,0.94716697758643265) (-0.55988575711773159,-0.82856981539077668) (0.44156833073060497,0.89722762401510181) (0.87113581819974062,0.49104214304830129) (-0.85405556602336463,0.52018178567161366) (-0.98998485672516012,-0.14117359333410984) (-0.94227186721313505,0.33484881403204914) (-0.76238155273061081,-0.64712778340607591) (-0.46117822180652107,0.8873075271468025) (0.29309059744237798,-0.95608467286682863) (0.64901715586481534,-0.76077377149396042)
