# Created by Octave 5.2.0, Sun Sep 19 15:40:22 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
8.6558123678288301e-15


# name: H
# type: complex matrix
# rows: 9
# columns: 9
 (1,0) (0.99999999999999989,2.7755575615628914e-17) (1,0) (1,0) (1,0) (1,0) (1,0) (1,0) (1,5.5511151231257827e-17)
 (0.99999999999999989,0) (-0.75060170673338744,0.66075493024942744) (-0.67777580378840563,0.73526863104513107) (0.88879616132927841,-0.45830272048760423) (0.039581349192514714,0.99921635134544329) (0.039581349192514381,-0.99921635134544318) (0.88879616132927852,0.4583027204876044) (-0.67777580378840585,-0.73526863104513085) (-0.75060170673338755,-0.66075493024942733)
 (1.0000000000000002,0) (0.1268058443021485,-0.99192755675544142) (0.64338728370455889,0.76554085662835136) (-0.43782253663560117,-0.89906141415031704) (-0.9449691823364732,-0.32715935633011861) (-0.75060170673338744,0.66075493024942789) (0.20469076598853012,0.97882669064499328) (0.83628533549863038,0.54829448075823617) (-0.67777580378840585,-0.73526863104513085)
 (1,0) (0.022907302085353409,-0.99973759332695411) (-0.99895051102234067,-0.045802582112849377) (-0.90885482754225322,0.41711257767315163) (-0.24930873515831209,0.96842405720519076) (-0.43782253663560111,-0.89906141415031682) (0.47854238095534557,-0.87806445642081932) (0.20469076598853003,0.97882669064499317) (0.88879616132927852,0.45830272048760445)
 (1,-5.5511151231257827e-17) (-0.36430613352292968,0.93127924978363685) (0.95779717689267629,0.28744489547810653) (-0.61662285282793539,0.78725869786896485) (-0.81104852810745909,-0.58497887573375196) (0.98302323174212169,-0.18348113215062423) (-0.43782253663560122,-0.89906141415031693) (-0.75060170673338733,0.66075493024942777) (0.039581349192514437,-0.99921635134544351)
 (1,-5.5511151231257827e-17) (-0.68994695879605739,-0.72385992709091973) (0.88102725917582791,-0.47306550137283188) (0.22224673320821642,0.9749904561472772) (0.55241806282174277,-0.8335672041702894) (-0.81104852810745909,-0.58497887573375196) (-0.24930873515831226,0.96842405720519098) (-0.9449691823364732,-0.32715935633011844) (0.039581349192514714,0.99921635134544318)
 (1,1.3877787807814457e-17) (0.63052730227863407,0.77616707034067622) (0.022907302085353527,-0.99973759332695444) (-0.80117728189569271,-0.59842707406519491) (0.22224673320821647,0.97499045614727742) (-0.61662285282793561,0.78725869786896496) (-0.90885482754225355,0.41711257767315185) (-0.43782253663560133,-0.89906141415031715) (0.88879616132927863,-0.4583027204876044)
 (1,0) (-0.96995769774074947,0.24327364138653607) (-0.85843500930692029,-0.5129223477254895) (0.02290730208535352,-0.99973759332695411) (0.88102725917582791,-0.47306550137283182) (0.95779717689267618,0.28744489547810653) (-0.99895051102234078,-0.045802582112849322) (0.64338728370455889,0.76554085662835125) (-0.67777580378840552,0.73526863104513107)
 (0.99999999999999989,5.5511151231257827e-17) (0.99457204812698807,0.10405018541303912) (-0.96995769774074947,0.24327364138653595) (0.63052730227863396,0.77616707034067622) (-0.68994695879605716,-0.72385992709091962) (-0.36430613352292968,0.93127924978363674) (0.022907302085353465,-0.999737593326954) (0.12680584430214858,-0.99192755675544142) (-0.75060170673338744,0.66075493024942744)

