# Created by Octave 5.1.0, Thu Sep 16 15:43:56 2021 GMT <unknown@Ola>
# name: F_norm
# type: scalar
5.241678869032164e-06


# name: H
# type: complex matrix
# rows: 9
# columns: 9
 (1,0) (1,0) (0.99999999999999989,-5.5511151231257827e-17) (0.99999999999999989,-5.5511151231257827e-17) (1,0) (1,0) (1,0) (0.99999999999999989,0) (1.0000000000000002,0)
 (1,0) (-0.5289935054890792,0.84862577603662492) (-0.26542878430552008,-0.96413046662519997) (0.88879597059770732,0.45830294421852114) (-0.8590947345337685,0.51181633145332106) (-0.75060191006721455,0.66075489025985457) (0.22224673629430702,-0.97499029570423479) (-0.68994684011738028,-0.72386001169381808) (0.98302320185785153,0.18348129592551382)
 (1,0) (-0.36430593189476329,0.93127924020903052) (0.99457196903921063,0.1040501315343752) (0.02290755913742748,-0.99973751786752285) (-0.96995746683421413,0.24327370853278052) (0.12680560123649248,-0.99192757326049685) (0.63052725484942507,0.77616706993814644) (-0.75060158471382532,0.66075480089665206) (-0.68994684011738028,-0.72386001169381819)
 (1,0) (-0.2493088769028759,-0.96842395766703238) (-0.76151954817469902,0.64814184443015121) (-0.97388082152262001,0.22705920869686191) (-0.96964338690711505,-0.24452264609545388) (0.20469085261232262,0.97882661042137553) (0.89688783069226252,-0.44225775295533376) (0.63052725484942507,0.77616706993814644) (0.22224673629430713,-0.9749902957042349)
 (0.99999999999999989,0) (-0.94496927078364257,-0.32715932718961727) (-0.67777591213956856,-0.73526865737049796) (-0.43782249552967795,-0.89906146212642046) (0.83628533986658415,0.54829426464530107) (0.64338734430404809,0.76554092725570932) (0.20469085261232262,0.97882661042137542) (0.12680560123649254,-0.99192757326049685) (-0.75060191006721466,0.66075489025985457)
 (1,0) (0.9577969254031633,-0.28744501020695684) (0.70786506188850251,-0.7063476099372844) (-0.43782254668854681,0.89906129759346343) (-0.26542918980522845,-0.96413010694578871) (0.83628533986658393,0.54829426464530118) (-0.96964338690711471,-0.24452264609545371) (-0.96995746683421391,0.24327370853278041) (-0.8590947345337685,0.51181633145332106)
 (1,0) (0.8887963154581211,-0.45830254874428461) (0.022907102698679793,0.99973752806293859) (-0.97388084408891484,-0.22705977056123106) (-0.43782254668854692,0.89906129759346354) (-0.43782249552967772,-0.89906146212642057) (-0.97388082152262001,0.2270592086968618) (0.022907559137427536,-0.99973751786752296) (0.88879597059770732,0.45830294421852136)
 (1,-5.5511151231257827e-17) (-0.081239615337401538,0.99669458485191442) (-0.9393802363976359,-0.34287755570427747) (0.022907102698680071,0.99973752806293859) (0.70786506188850251,-0.7063476099372844) (-0.67777591213956856,-0.73526865737049807) (-0.76151954817469902,0.64814184443015121) (0.99457196903921052,0.1040501315343752) (-0.26542878430551997,-0.96413046662519997)
 (1,6.9388939039072284e-18) (-0.67777586493973285,-0.73526846613720143) (-0.081239615337401705,0.99669458485191431) (0.88879631545812099,-0.45830254874428472) (0.9577969254031633,-0.28744501020695667) (-0.94496927078364246,-0.32715932718961743) (-0.2493088769028759,-0.96842395766703215) (-0.36430593189476346,0.9312792402090303) (-0.52899350548907942,0.84862577603662492)


# name: argn
# type: sq_string
# elements: 1
# length: 27
exp (2j * pi * rand (1, 9))


# name: defect
# type: scalar
0


# name: info
# type: complex matrix
# rows: 1
# columns: 8
 (-2.9901269071874736e-07,1.6175993294842428e-07) (1.8223564013375437e-07,-9.2103574822477441e-08) (-3.9778942484414159e-07,-4.753603566332032e-08) (1.8809774293693238e-07,1.3070578269713806e-07) (-3.0034156348057728e-07,-4.6894933503072167e-07) (8.7153459109312603e-08,2.5532178704601449e-08) (1.6222450405223299e-07,-5.5775137397517938e-07) (-3.7394163854287399e-07,-3.0555381136387894e-07)


# name: is_convergent
# type: scalar
2.8852897346295305e-06


# name: is_unimodular
# type: matrix
# rows: 1
# columns: 9
 1.7206769214627602 1.7206769970228699 1.7206769352648219 1.7206769855080082 1.7206771613469738 1.7206768791822429 1.7206770821520498 1.7206770526528223 1.7206769864790541


# name: n
# type: scalar
9


# name: spectrum
# type: scalar
2.9999999382819591


# name: x
# type: complex matrix
# rows: 1
# columns: 9
 (0.87900909450877074,1.4792133314114744) (-1.5185560302032621,0.80914579107658413) (-0.64317239536155235,1.5959506212277443) (0.84153153550086168,-1.5008510796259862) (1.7149600463661514,0.14014968051653867) (0.27993603462395794,1.6977528498198309) (1.6805150682399801,0.36959264936097846) (1.7205707255453164,0.019128458444592763) (-1.5636012797228562,-0.71824809769861919)


# name: x0
# type: complex matrix
# rows: 1
# columns: 9
 (0.79373148944371708,0.60826829825781525) (0.14299512537997508,0.98972339273029475) (-0.99482806702904258,0.10157321030300652) (0.34011127064904051,-0.94038519957382094) (0.96328512903490204,0.26848046517430668) (0.80323186701143401,0.5956664904267539) (0.73290440467110751,0.68033163502345639) (0.15465265850634566,0.98796890397265014) (-0.97335150201978815,0.22931823633505971)


