# Created by Octave 5.2.0, Sun Sep 19 15:36:08 2021 CEST <ania@ania-bania>
# name: F_norm
# type: scalar
5.0395495542821479e-07


# name: H
# type: complex matrix
# rows: 10
# columns: 10
 (1,0) (1,0) (1,5.5511151231257827e-17) (1,0) (0.99999999999999989,0) (1,0) (1,-5.5511151231257827e-17) (1,0) (1,0) (0.99999999999999978,0)
 (1,0) (-0.80857680650640218,0.58839063369313782) (-0.91711034795274959,-0.39863345056326804) (0.93649167324388827,0.35068980220697771) (-0.9316369564756628,0.3633904386887864) (0.45170865594055387,-0.89216550681080953) (-0.40498360418483648,0.9143239432319813) (-0.99342434055099704,0.11449051390179027) (0.73589476878969973,-0.67709593584284111) (0.93163694306364864,-0.36339045138328924)
 (1,0) (-0.96711554883074946,0.25433735708733696) (0.98833905576155023,0.15226918626804015) (-0.41737783283129004,-0.90873304137167932) (-0.93649167476869499,-0.35068982061098491) (-0.45170867440053075,0.89216550629917268) (0.3081533147972999,0.95133669905156892) (0.62421265058743836,-0.78125446815206967) (-0.88390605100747432,0.46766451051417079) (0.7358947687896995,-0.677095935842841)
 (1,0) (-0.99342433187964851,-0.11449047820862979) (0.62421268309589029,0.78125444217979068) (0.310592014251174,0.95054330215615745) (0.058619680254653139,0.99828039219506626) (-0.9999999957594562,1.2436980334484815e-08) (0.058619678152638188,-0.99828038458686885) (0.31059194590014794,-0.95054332075429415) (0.62421265058743836,-0.78125446815206978) (-0.99342434055099715,0.11449051390179027)
 (1,5.5511151231257827e-17) (0.8706250284058924,-0.4919472040559475) (-0.80238797624719616,-0.59680275502229896) (-0.19972147615307018,-0.97985269422556187) (0.54213700859108915,0.84029010700794449) (-0.86543999815660722,-0.5010125958166276) (-0.50700197611112752,0.86194488361580546) (0.058619678152638133,-0.99828038458686863) (0.30815331479729979,0.95133669905156892) (-0.40498360418483648,0.9143239432319813)
 (1,0) (0.86543999992712461,0.50101257822356426) (0.49797277091543291,0.86719267553191526) (-0.54874075004721146,0.83599257213637268) (0.54874076833388752,-0.83599256956149592) (-0.49797277958901587,-0.86719266566126918) (-0.86543999815660733,-0.50101259581662749) (-0.9999999957594562,1.2436980334484815e-08) (-0.45170867440053081,0.89216550629917279) (0.45170865594055387,-0.89216550681080953)
 (1,0) (-0.89018296916182582,-0.45560319342332345) (0.4494192300243634,-0.89332097788632159) (-0.80706523994612667,0.59046228124461375) (0.96646015187741019,-0.25681665535886122) (0.54874076833388763,-0.83599256956149604) (0.54213700859108938,0.84029010700794449) (0.058619680254653111,0.99828039219506626) (-0.93649167476869521,-0.35068982061098497) (-0.93163695647566291,0.36339043868878651)
 (1,-5.5511151231257827e-17) (0.96711553696032815,-0.25433737123391242) (-0.31059200374636425,-0.95054331004980464) (-0.9307019359223172,0.36577846046939183) (-0.80706523994612667,0.59046228124461364) (-0.54874075004721135,0.8359925721363729) (-0.19972147615307034,-0.97985269422556165) (0.31059201425117389,0.95054330215615723) (-0.41737783283129015,-0.90873304137167932) (0.93649167324388805,0.35068980220697771)
 (0.99999999999999989,-1.3877787807814457e-17) (-0.55088285624375544,0.83458257656598567) (-0.9789705441463521,0.20400161943700026) (-0.31059200374636442,-0.95054331004980452) (0.44941923002436324,-0.89332097788632137) (0.49797277091543296,0.86719267553191515) (-0.80238797624719627,-0.59680275502229874) (0.62421268309589029,0.78125444217979045) (0.98833905576155023,0.15226918626804012) (-0.91711034795274937,-0.39863345056326793)
 (1,0) (0.50700195853076502,-0.8619448855082803) (-0.55088285624375555,0.83458257656598578) (0.96711553696032815,-0.25433737123391259) (-0.89018296916182571,-0.45560319342332323) (0.86543999992712473,0.50101257822356415) (0.87062502840589218,-0.49194720405594777) (-0.99342433187964851,-0.11449047820862968) (-0.96711554883074968,0.25433735708733707) (-0.80857680650640218,0.58839063369313793)


# name: N
# type: scalar
10


# name: argn
# type: sq_string
# elements: 1
# length: 28
exp (2j * pi * rand (1, 10))


# name: defect
# type: scalar
0


# name: info
# type: complex matrix
# rows: 1
# columns: 9
 (-1.3865264048007475e-08,-1.3700578893605098e-08) (6.1187763744641188e-09,-8.5899310442449917e-09) (-3.3905456220395536e-10,1.9466672780688032e-08) (1.1628236151750571e-09,-3.2944896810604973e-10) (7.2865646849606946e-09,-9.4153077001557506e-10) (1.2747073396823794e-09,-2.2933157595161902e-09) (-1.3093996997781687e-08,5.6309098495077592e-09) (1.0731582289480457e-08,7.6110798774564614e-09) (-2.3174050456375994e-09,-1.7110410810428078e-08)


# name: is_convergent
# type: scalar
1.0536448367774893e-07


# name: is_unimodular
# type: matrix
# rows: 1
# columns: 10
 1.9273981350217408 1.9273981498641717 1.9273981373451752 1.9273981506560929 1.9273981271782248 1.9273981308834687 1.9273981428464482 1.9273981496566637 1.9273981382584999 1.9273981299725125


# name: spectrum
# type: scalar
3.162277661559552


# name: x
# type: complex matrix
# rows: 1
# columns: 10
 (0.92827852997045623,-1.6891307059198153) (-1.6942437107249781,0.91891342180245061) (1.0979034732165922,-1.5841311635532564) (0.36401104772671139,-1.8927122307116391) (-0.93107527442746041,1.6875907009698643) (-1.9269204960140478,0.042906374515504421) (0.91891343210615317,1.6942436971530475) (-0.82090699504612452,-1.7438392508440315) (0.46954291275943,-1.8693295687063107) (1.0242164378488143,-1.6327413266839987)


# name: x0
# type: complex matrix
# rows: 1
# columns: 10
 (0.86876886762206995,-0.49521778507103947) (0.13013170353323211,0.99149671695651065) (0.63273417473137683,-0.77436907487773787) (-0.974402526885774,0.22481039922258605) (-0.9966617617793524,-0.081641488269612872) (-0.58827858182169335,-0.80865833957850042) (0.46293277291676538,0.88639339334157641) (-0.67685372377601882,-0.73611754265914409) (-0.35755335534895821,-0.93389271229553006) (0.86546454711860032,0.50097017643847419)


