N	|G|	group	restarts	converged	distinct	isolated	degenerate
5	4	Z2xZ2	5000	0	0	0	0
5	4	Z4	5000	5000	1	1	0
6	5	Z5	5000	5000	2	1	0
7	6	Z2xZ3	5000	5000	3	2	0
7	6	S3	5000	5000	1	0	0
8	7	Z7	5000	2147	1	1	1
9	8	Z2xZ2xZ2	5000	0	0	0	0
9	8	Z2xZ4	5000	0	0	0	0
9	8	D4	5000	4284	1	1	0
9	8	Z8	5000	4108	4	4	1
9	8	Q8	5000	1261	1	0	1
10	9	Z3xZ3	5000	1390	2	1	0
10	9	Z9	5000	1939	2	2	0
11	10	Z2xZ5	5000	2855	5	5	0
11	10	D5	5000	4175	2	2	0
12	11	Z11	5000	3243	2	2	1
13	12	Z2xZ2xZ3	5000	2816	2	2	0
13	12	Z3xZ4	5000	3515	5	5	0
13	12	D6	5000	3634	4	4	0
13	12	Dic3	5000	3644	5	5	0
13	12	A4	5000	1254	3	3	0
14	13	Z13	5000	2949	5	4	0
15	14	Z2xZ7	5000	2706	3	3	0
15	14	D7	5000	2977	2	2	0
16	15	Z3xZ5	5000	2834	4	4	1
17	16	Z2xZ2xZ2xZ2	5000	0	0	0	0
17	16	Z2xZ2xZ4	5000	891	1	1	0
17	16	Dih(Z2xZ4)	5000	1110	1	1	0
17	16	G(16,4)	5000	3612	8	7	0
17	16	Z4xZ4	5000	1498	2	2	0
17	16	Z2xZ8	5000	2569	4	4	0
17	16	D4oZ4	5000	1299	3	3	0
17	16	M16	5000	3447	11	10	0
17	16	Z2xQ8	5000	2663	6	5	0
17	16	Z4:Z4	5000	2625	6	5	0
17	16	SD16	5000	2884	4	4	0
17	16	D8	5000	2460	5	5	0
17	16	Z16	5000	2812	5	5	0
17	16	Q16	5000	3022	11	10	0
18	17	Z17	2500	1183	6	6	0
19	18	Z2xZ3xZ3	2500	1254	5	5	0
19	18	Z3:Z6	2500	1339	8	8	0
19	18	Dih(Z3xZ3)	2500	2102	4	4	0
19	18	Z2xZ9	2500	1231	4	4	0
19	18	D9	2500	1606	4	4	1
20	19	Z19	2500	1337	5	5	1
21	20	Z2xZ2xZ5	2500	1243	4	4	0
21	20	Z4xZ5	2500	1316	4	4	0
21	20	D10	2500	1246	8	8	0
21	20	Dic5	2500	1198	10	10	0
21	20	Z5:Z4	2500	1307	9	9	1
22	21	Z3xZ7	2500	1210	2	2	0
22	21	Z7:Z3	2500	1136	6	6	0
23	22	Z2xZ11	2500	1240	2	2	0
23	22	D11	2500	1152	8	8	0
24	23	Z23	2500	1165	4	4	0
25	24	Z2xZ2xZ2xZ3	2500	1194	5	5	0
25	24	Z2xZ3xZ4	2500	1218	2	2	0
25	24	Z4:Z6	2500	1218	11	11	0
25	24	Dih(Z2xZ2xZ3)	2500	1211	12	11	1
25	24	Z6:Z4	2500	1175	16	16	1
25	24	G(24,6)	2500	1162	16	16	0
25	24	Z3xZ8	2500	1248	4	4	0
25	24	Z12:Z2	2500	1174	14	12	0
25	24	Z3:Z8	2500	1240	15	12	3
25	24	Z3xQ8	2500	1148	12	11	0
25	24	D12	2500	1226	16	14	2
25	24	Dic6	2500	1112	16	16	0
25	24	Z2xA4	2500	1136	8	8	0
25	24	S4	2500	1121	8	8	0
25	24	SL(2,3)	2500	1099	17	17	0
26	25	Z5xZ5	1000	450	5	5	0
26	25	Z25	1000	474	5	5	0
27	26	Z2xZ13	1000	468	4	4	0
27	26	D13	1000	505	12	12	0
28	27	Z3xZ3xZ3	1000	179	6	6	1
28	27	Z3xZ9	1000	470	7	7	0
28	27	He3	1000	478	11	11	0
28	27	Z9:Z3	1000	428	8	8	0
28	27	Z27	1000	463	3	3	0
29	28	Z2xZ2xZ7	1000	475	5	5	0
29	28	Z4xZ7	1000	478	3	3	0
29	28	D14	1000	460	10	10	0
29	28	Dic7	1000	447	12	12	0
30	29	Z29	400	193	4	4	0
31	30	Z2xZ3xZ5	400	182	3	3	0
31	30	Z5:Z6	400	158	8	8	0
31	30	Z3:Z10	400	181	10	10	0
31	30	D15	400	206	10	10	0
32	31	Z31	400	202	3	3	0
33	32	Z2xZ2xZ2xZ2xZ2	400	269	6	6	0
33	32	Z2xZ2xZ2xZ4	400	196	6	6	0
33	32	Dih(Z2xZ2xZ4)	400	181	14	14	0
33	32	G(32,4)	400	189	17	17	0
33	32	G(32,5)	400	189	21	20	2
33	32	Z2xZ4xZ4	400	194	5	5	0
33	32	Z2xZ2xZ8	400	183	6	6	0
33	32	Z2xD4oZ4	400	165	14	14	0
33	32	G(32,9)	400	179	11	11	0
33	32	Z2xM16	400	177	14	14	0
33	32	Z4xD4	400	198	15	15	0
33	32	G(32,12)	400	174	14	14	0
33	32	Z2xZ2xQ8	400	154	17	17	0
33	32	Z2xZ4:Z4	400	197	15	15	0
33	32	G(32,15)	400	154	14	14	0
33	32	G(32,16)	400	150	15	15	0
33	32	G(32,17)	400	186	11	11	0
33	32	G(32,18)	400	189	17	15	2
33	32	Dih(Z4xZ4)	400	182	25	25	0
33	32	G(32,20)	400	157	15	15	0
33	32	Z2xSD16	400	203	16	16	0
33	32	Dih(Z2xZ8)	400	204	16	16	0
33	32	G(32,23)	400	166	12	12	0
33	32	G(32,24)	400	167	11	11	0
33	32	G(32,25)	400	177	14	14	0
33	32	G(32,26)	400	188	9	9	0
33	32	G(32,27)	400	188	12	12	0
33	32	G(32,28)	400	162	14	13	1
33	32	Z4xZ8	400	188	6	6	0
33	32	Z8:Z4	400	184	10	10	0
33	32	Z4xQ8	400	177	11	11	0
33	32	Z4:Z8	400	169	10	10	0
33	32	G(32,33)	400	186	11	11	0
33	32	G(32,34)	400	172	17	17	0
33	32	G(32,35)	400	164	13	13	0
33	32	Z2xZ16	400	187	6	6	0
33	32	G(32,37)	400	158	12	12	0
33	32	M32	400	187	9	9	0
33	32	Z8:Z4#2	400	175	11	11	0
33	32	G(32,40)	400	163	10	10	0
33	32	G(32,41)	400	173	12	12	0
33	32	Z2xQ16	400	156	10	10	0
33	32	Z8:Z4#3	400	175	19	18	0
33	32	G(32,44)	400	178	11	11	0
33	32	G(32,45)	400	181	12	12	0
33	32	G(32,46)	400	183	12	12	0
33	32	G(32,47)	400	177	11	11	0
33	32	D16	400	174	13	13	0
33	32	SD32	400	191	13	13	0
33	32	Z32	400	191	5	5	0
33	32	Q32	400	177	13	13	0
34	33	Z3xZ11	400	187	5	5	0
35	34	Z2xZ17	400	186	7	7	0
35	34	D17	400	180	13	13	0
