N	d	#L	group	butson	symmetric	latin	in_catalogue	file
5	0	5	Z4	yes	no	no	yes	
6	0	3	Z5	yes	no	no	yes	
7	0	7	Z2xZ3	yes	no	no	yes	
7	0	97	Z2xZ3	no	no	no	yes	
9	0	76	D4	no	no	no	yes	
9	0	76	Z8	no	no	no	yes	
9	0	105	Z8	no	no	no	yes	
9	0	201	Z8	no	no	no	yes	
10	0	9	Z3xZ3	no	no	no	yes	
10	0	99	Z9	no	no	no	yes	
10	0	271	Z9	no	no	no	yes	
11	0	11	Z2xZ5	yes	no	no	yes	
11	0	63	Z2xZ5	no	no	no	yes	
11	0	63	D5	no	no	no	yes	
11	0	139	Z2xZ5	no	no	no	no	GH_11_0_139_Z2xZ5.gen
11	0	139	D5	no	yes	no	no	GH_11_0_139_D5.gen
11	0	191	Z2xZ5	no	no	no	yes	
11	0	361	Z2xZ5	no	no	no	yes	
12	0	463	Z11	no	no	yes	no	GH_12_0_463_Z11.gen
13	0	6	A4	yes	no	no	yes	
13	0	13	Z3xZ4	yes	no	no	yes	
13	0	89	A4	no	no	no	no	GH_13_0_89_A4.gen
13	0	146	A4	no	no	no	no	GH_13_0_146_A4.gen
13	0	181	Dic3	no	no	no	no	GH_13_0_181_Dic3.gen
13	0	197	D6	no	no	no	no	GH_13_0_197_D6.gen
13	0	225	Z2xZ2xZ3	no	no	no	no	GH_13_0_225_Z2xZ2xZ3.gen
13	0	225	Dic3	no	no	no	no	GH_13_0_225_Dic3.gen
13	0	227	Z3xZ4	no	no	no	no	GH_13_0_227_Z3xZ4.gen
13	0	253	Z3xZ4	no	no	no	no	GH_13_0_253_Z3xZ4.gen
13	0	253	Dic3	no	no	no	no	GH_13_0_253_Dic3.gen
13	0	301	Z3xZ4	no	no	yes	no	GH_13_0_301_Z3xZ4.gen
13	0	415	Dic3	no	no	no	no	GH_13_0_415_Dic3.gen
13	0	421	D6	no	no	no	no	GH_13_0_421_D6.gen
13	0	463	Dic3	no	no	no	no	GH_13_0_463_Dic3.gen
13	0	475	D6	no	no	no	no	GH_13_0_475_D6.gen
13	0	589	Z3xZ4	no	no	yes	no	GH_13_0_589_Z3xZ4.gen
13	0	595	Z2xZ2xZ3	no	no	yes	no	GH_13_0_595_Z2xZ2xZ3.gen
14	0	9	Z13	no	no	no	yes	
14	0	103	Z13	no	no	no	no	GH_14_0_103_Z13.gen
14	0	110	Z13	no	no	no	no	GH_14_0_110_Z13.gen
14	0	729	Z13	no	no	yes	no	GH_14_0_729_Z13.gen
15	0	345	Z2xZ7	no	no	no	no	GH_15_0_345_Z2xZ7.gen
15	0	345	D7	no	yes	no	no	GH_15_0_345_D7.gen
15	0	463	Z2xZ7	no	no	no	yes	
15	0	723	D7	no	no	no	no	GH_15_0_723_D7.gen
15	0	897	Z2xZ7	no	no	yes	no	GH_15_0_897_Z2xZ7.gen
16	0	415	Z3xZ5	no	no	no	no	GH_16_0_415_Z3xZ5.gen
16	0	423	Z3xZ5	no	yes	no	no	GH_16_0_423_Z3xZ5.gen
16	0	1081	Z3xZ5	no	no	yes	no	GH_16_0_1081_Z3xZ5.gen
17	0	17	Z16	yes	no	no	yes	
17	0	121	M16	no	no	no	no	GH_17_0_121_M16.gen
17	0	121	Q16	no	no	no	no	GH_17_0_121_Q16.gen
17	0	191	Q16	no	no	no	no	GH_17_0_191_Q16.gen
17	0	244	Q16	no	no	no	no	GH_17_0_244_Q16.gen
17	0	255	M16	no	yes	no	no	GH_17_0_255_M16.gen
17	0	255	Z2xQ8	no	no	no	no	GH_17_0_255_Z2xQ8.gen
17	0	255	Q16	no	no	no	no	GH_17_0_255_Q16.gen
17	0	259	G(16,4)	no	no	no	no	GH_17_0_259_G16_4.gen
17	0	259	M16	no	no	no	no	GH_17_0_259_M16.gen
17	0	273	M16	no	no	no	no	GH_17_0_273_M16.gen
17	0	297	Q16	no	no	no	no	GH_17_0_297_Q16.gen
17	0	358	M16	no	no	no	no	GH_17_0_358_M16.gen
17	0	366	G(16,4)	no	no	no	no	GH_17_0_366_G16_4.gen
17	0	382	M16	no	no	no	no	GH_17_0_382_M16.gen
17	0	499	Z16	no	no	no	no	GH_17_0_499_Z16.gen
17	0	499	Q16	no	no	no	no	GH_17_0_499_Q16.gen
17	0	507	D8	no	yes	no	no	GH_17_0_507_D8.gen
17	0	507	Z16	no	yes	no	no	GH_17_0_507_Z16.gen
17	0	519	Z4xZ4	no	no	no	no	GH_17_0_519_Z4xZ4.gen
17	0	521	Z2xZ8	no	no	no	no	GH_17_0_521_Z2xZ8.gen
17	0	521	Z4:Z4	no	no	no	no	GH_17_0_521_Z4sZ4.gen
17	0	527	Z2xZ8	no	no	no	no	GH_17_0_527_Z2xZ8.gen
17	0	527	D4oZ4	no	no	no	no	GH_17_0_527_D4oZ4.gen
17	0	527	SD16	no	no	no	no	GH_17_0_527_SD16.gen
17	0	527	Q16	no	no	no	no	GH_17_0_527_Q16.gen
17	0	657	Z16	no	no	yes	no	GH_17_0_657_Z16.gen
17	0	859	M16	no	no	no	no	GH_17_0_859_M16.gen
17	0	859	Z4:Z4	no	no	no	no	GH_17_0_859_Z4sZ4.gen
17	0	867	D4oZ4	no	no	no	no	GH_17_0_867_D4oZ4.gen
17	0	875	Z2xQ8	no	no	no	no	GH_17_0_875_Z2xQ8.gen
17	0	879	Z4:Z4	no	no	no	no	GH_17_0_879_Z4sZ4.gen
17	0	887	G(16,4)	no	no	no	no	GH_17_0_887_G16_4.gen
17	0	891	G(16,4)	no	no	no	no	GH_17_0_891_G16_4.gen
17	0	959	Q16	no	no	no	no	GH_17_0_959_Q16.gen
17	0	975	D8	no	no	no	no	GH_17_0_975_D8.gen
17	0	1041	Q16	no	no	no	no	GH_17_0_1041_Q16.gen
17	0	1047	SD16	no	no	no	no	GH_17_0_1047_SD16__1.gen
17	0	1047	SD16	no	no	no	no	GH_17_0_1047_SD16__2.gen
